Gene stable ID	Ostreococcus lucimarinus gene stable ID	%id. target Ostreococcus lucimarinus gene identical to query gene	%id. query gene identical to target Ostreococcus lucimarinus gene
Os01g0150800	OSTLU_29682	30.6667	30.3965
Os01g0151200	OSTLU_3329	27.0153	46.9697
Os01g0152300	OSTLU_12804	59.4771	81.25
Os01g0152300	OSTLU_13105	59.4771	81.25
Os01g0152900	OSTLU_12804	59.4771	81.25
Os01g0152900	OSTLU_13105	59.4771	81.25
Os01g0153100	OSTLU_12804	60.1307	82.1429
Os01g0153100	OSTLU_13105	60.1307	82.1429
Os01g0153200	OSTLU_40222	26.3158	23.0769
Os01g0153300	OSTLU_12804	59.3548	82.1429
Os01g0153300	OSTLU_13105	59.3548	82.1429
Os01g0153400	OSTLU_16561	55.9896	34.5104
Os01g0156000	OSTLU_6612	22.8758	29.2887
Os01g0156000	OSTLU_9264	13.0719	62.5
Os01g0157800	OSTLU_38616	55.3571	55.8559
Os01g0158500	OSTLU_119542	40.8027	40.6667
Os01g0158800	OSTLU_29338	27.3109	24.3446
Os01g0159400	OSTLU_12783	21.0162	17.6015
Os01g0159400	OSTLU_36653	17.321	17.4825
Os01g0159400	OSTLU_41633	17.321	17.4825
Os01g0164400	OSTLU_26310	32.2917	28.5714
Os01g0164500	OSTLU_1733	41.2674	45.7976
Os01g0164600	OSTLU_28852	32.6284	36.1204
Os01g0164800	OSTLU_26389	22.1344	5.30806
Os01g0164900	OSTLU_26389	4.7817	2.18009
Os01g0165800	OSTLU_31598	5.91017	6.17284
Os01g0166800	OSTLU_40132	26.8007	28.3688
Os01g0167500	OSTLU_5074	42.4157	53.7367
Os01g0168200	OSTLU_10652	22.9008	46.1538
Os01g0168200	OSTLU_37753	22.1374	28.7129
Os01g0168300	OSTLU_92220	14.7368	24.4541
Os01g0168400	OSTLU_41951	17.3302	44.3114
Os01g0168500	OSTLU_3284	39.8082	47.2934
Os01g0169500	OSTLU_33410	15.7438	17.7914
Os01g0172000	OSTLU_47741	41.4815	13.2701
Os01g0172100	OSTLU_4751	41.7303	53.0744
Os01g0172100	OSTLU_49715	37.9135	45.5658
Os01g0172200	OSTLU_1794	28.722	51.7815
Os01g0172200	OSTLU_47095	30.0395	55.2058
Os01g0174000	OSTLU_29020	14.121	30.2469
Os01g0174500	OSTLU_37480	30.363	27.8788
Os01g0174600	OSTLU_37480	1.79211	1.51515
Os01g0174900	OSTLU_8492	28.1081	42.2764
Os01g0175000	OSTLU_32853	28.7938	32.7434
Os01g0175600	OSTLU_36876	16.9643	22.4409
Os01g0175600	OSTLU_38528	22.1726	25.4701
Os01g0175700	OSTLU_36876	17.1131	22.6378
Os01g0175700	OSTLU_38528	22.1726	25.4701
Os01g0177200	OSTLU_87099	42.5693	40.7229
Os01g0177900	OSTLU_35308	27.5596	30.9937
Os01g0178200	OSTLU_6328	32.4324	39.4161
Os01g0178400	OSTLU_35344	44.878	21.4452
Os01g0179200	OSTLU_6042	39.8256	52.2901
Os01g0179400	OSTLU_40935	14.192	32.7214
Os01g0179700	OSTLU_12689	80.7882	80.7882
Os01g0179800	OSTLU_24852	19.0024	26.8456
Os01g0180600	OSTLU_31967	17.6471	22.547
Os01g0183100	OSTLU_40396	39.8876	39.2265
Os01g0183300	OSTLU_49318	24.5499	29.8211
Os01g0184000	OSTLU_29087	25.5937	20.2083
Os01g0184500	OSTLU_31789	28.32	40.5963
Os01g0184800	OSTLU_34013	33.4661	32.9412
Os01g0184900	OSTLU_25566	10.4524	19.8225
Os01g0185200	OSTLU_23867	33.2915	48.9834
Os01g0185500	OSTLU_32579	24.6429	31.7972
Os01g0186200	OSTLU_35077	10.8861	39.0909
Os01g0186700	OSTLU_8318	5.88235	24.2424
Os01g0187900	OSTLU_9418	16.1202	76.6234
Os01g0188100	OSTLU_36774	32.3353	36
Os01g0188100	OSTLU_51291	32.3353	36
Os01g0188400	OSTLU_41212	38.0282	43.7838
Os01g0191100	OSTLU_27612	38.5965	39.2857
Os01g0191150	OSTLU_33083	32.7586	13.8686
Os01g0191500	OSTLU_51888	35.2475	39.7321
Os01g0191800	OSTLU_50582	69.5205	60.4167
Os01g0192000	OSTLU_24342	32.1244	22.3022
Os01g0192600	OSTLU_29706	26.2248	28.7975
Os01g0192600	OSTLU_51192	26.2248	28.7975
Os01g0192900	OSTLU_42674	24.3902	28.8889
Os01g0193600	OSTLU_39526	37.3429	38.806
Os01g0193900	OSTLU_27410	11.3879	12.0907
Os01g0193900	OSTLU_27481	11.3879	12.0907
Os01g0195500	OSTLU_44011	19.598	22.5434
Os01g0196500	OSTLU_44260	23.3831	24.2268
Os01g0197200	OSTLU_27227	48.3806	52.8761
Os01g0197200	OSTLU_36611	48.3806	52.8761
Os01g0198200	OSTLU_24026	63.3648	67.0549
Os01g0199400	OSTLU_6100	19.2405	30.0395
Os01g0199900	OSTLU_33376	44.0571	51.2915
Os01g0200000	OSTLU_12653	45.5696	49.6552
Os01g0200400	OSTLU_6169	18.7023	24.2574
Os01g0200500	OSTLU_92436	16.208	14.1711
Os01g0202500	OSTLU_33113	18.3616	26.971
Os01g0205100	OSTLU_15935	23.622	22.7848
Os01g0205500	OSTLU_30777	67.5824	69.4915
Os01g0205700	OSTLU_49296	61.3734	37.5328
Os01g0207300	OSTLU_27381	73.7805	31.2661
Os01g0207300	OSTLU_47517	73.7805	31.2661
Os01g0208700	OSTLU_51006	44.7732	45.0844
Os01g0209000	OSTLU_49335	33.2168	33.1588
Os01g0209200	OSTLU_27977	51.3619	51.9685
Os01g0209400	OSTLU_7913	25.6494	43.1694
Os01g0209400	OSTLU_7923	25.6494	43.1694
Os01g0209500	OSTLU_43913	14.7368	6.54206
Os01g0209800	OSTLU_43398	27.5974	33.5968
Os01g0210700	OSTLU_41686	17.8037	16.5123
Os01g0212100	OSTLU_38697	49.8571	48.9481
Os01g0214200	OSTLU_7211	33.1933	34.3478
Os01g0214300	OSTLU_13787	0	0
Os01g0214400	OSTLU_4617	37.4016	29.7806
Os01g0217500	OSTLU_44270	24.557	38.3399
Os01g0217800	OSTLU_44270	23.1308	39.1304
Os01g0218032	OSTLU_9330	2.71516	49.5327
Os01g0218700	OSTLU_27272	14.5266	20.1802
Os01g0218700	OSTLU_29639	15.4345	17.3977
Os01g0219100	OSTLU_8799	29.5181	37.9845
Os01g0220200	OSTLU_28974	18.1818	9.73451
Os01g0220300	OSTLU_29158	24.6575	28.5714
Os01g0221700	OSTLU_7690	27.9762	45.8537
Os01g0222500	OSTLU_7408	39.3939	42.1296
Os01g0224400	OSTLU_28374	29.3478	7.75862
Os01g0225000	OSTLU_36045	28.882	29.4304
Os01g0225400	OSTLU_119531	42.7536	18.0428
Os01g0225500	OSTLU_119531	6.26566	7.64526
Os01g0227100	OSTLU_39837	20.8333	33.9806
Os01g0227300	OSTLU_14983	70.0483	70.0483
Os01g0228400	OSTLU_19174	19.4969	19.7138
Os01g0228400	OSTLU_89032	19.4969	18.1552
Os01g0229100	OSTLU_50892	37.2361	38.6454
Os01g0229400	OSTLU_41392	46.729	52.356
Os01g0229500	OSTLU_9084	21.5569	33.9623
Os01g0231500	OSTLU_14134	45.5814	66.4407
Os01g0232300	OSTLU_37507	3.125	2.46085
Os01g0232400	OSTLU_29866	16.3059	23.251
Os01g0232700	OSTLU_13980	63.0021	69.4639
Os01g0232800	OSTLU_85990	24.1304	30.7479
Os01g0233400	OSTLU_33437	23.2143	35.1351
Os01g0234800	OSTLU_29604	57.5342	37.0044
Os01g0234850	OSTLU_6116	18.9011	35.102
Os01g0235100	OSTLU_92580	21.3483	31.1475
Os01g0235400	OSTLU_44428	30.8118	19.1076
Os01g0235800	OSTLU_15661	26.0684	18.7404
Os01g0236700	OSTLU_24740	14.7122	19.0871
Os01g0238500	OSTLU_43558	24.0964	26.3158
Os01g0238900	OSTLU_50969	47.6534	28.9474
Os01g0239100	OSTLU_30687	22.9226	19.802
Os01g0239200	OSTLU_18149	39.5683	53.5714
Os01g0242500	OSTLU_43202	37.8531	43.2258
Os01g0246400	OSTLU_14984	28.2178	17.8683
Os01g0248600	OSTLU_119492	25.1185	25.2381
Os01g0248701	OSTLU_17563	37.0192	49.359
Os01g0251100	OSTLU_6632	33.2288	50.237
Os01g0252100	OSTLU_49296	55.8824	59.8425
Os01g0253300	OSTLU_46552	66.73	66.8571
Os01g0253900	OSTLU_17468	20.2263	13.0356
Os01g0253900	OSTLU_32381	10.0424	19.2935
Os01g0254000	OSTLU_43732	81.8653	81.8653
Os01g0254900	OSTLU_39509	35	36.1624
Os01g0256400	OSTLU_39788	37.6923	53.8462
Os01g0256800	OSTLU_31151	16.4846	14.6256
Os01g0256900	OSTLU_12601	60.5442	77.3913
Os01g0259400	OSTLU_27420	29.1976	30.9449
Os01g0259400	OSTLU_27494	29.1976	31.3147
Os01g0262500	OSTLU_50142	33.9367	30.8642
Os01g0263600	OSTLU_43635	53.867	46.8713
Os01g0264000	OSTLU_9704	8.46774	63.6364
Os01g0264700	OSTLU_5754	30.8682	41.3793
Os01g0265000	OSTLU_119498	50.3282	49.7836
Os01g0265100	OSTLU_51064	94.4751	94.4751
Os01g0265200	OSTLU_38298	33.3333	37.9104
Os01g0265200	OSTLU_40647	39.895	47.205
Os01g0265700	OSTLU_15207	21.5768	24.6446
Os01g0266000	OSTLU_41993	7.25108	35.6383
Os01g0266500	OSTLU_31872	27.1845	21.9895
Os01g0266800	OSTLU_5872	17.381	28.0769
Os01g0267200	OSTLU_35481	74.2671	74.2671
Os01g0267600	OSTLU_24577	20.4396	5.54893
Os01g0267900	OSTLU_39965	91.9463	91.9463
Os01g0268100	OSTLU_32666	22.0165	21.063
Os01g0268100	OSTLU_93385	16.0494	15.415
Os01g0268300	OSTLU_30508	51.5775	56.7976
Os01g0268600	OSTLU_956	26.1803	42.2877
Os01g0268800	OSTLU_28631	25.6849	33.0396
Os01g0268900	OSTLU_6735	24.3902	35.8974
Os01g0269100	OSTLU_17984	31.2694	18.2971
Os01g0269900	OSTLU_42575	36.5967	31.2127
Os01g0271200	OSTLU_39738	47.4126	45.2603
Os01g0271400	OSTLU_119581	42.6175	50.5976
Os01g0271500	OSTLU_30829	54.3237	56.582
Os01g0272600	OSTLU_32501	23.3871	19.5067
Os01g0272600	OSTLU_37760	39.7849	46.5409
Os01g0272600	OSTLU_4701	21.2366	29.4776
Os01g0272800	OSTLU_93472	23.9234	10.4167
Os01g0273100	OSTLU_7340	46.5969	64.9635
Os01g0273300	OSTLU_13770	13.2216	17.7057
Os01g0273500	OSTLU_8481	21.6312	37.8882
Os01g0276000	OSTLU_37627	64.8649	64.8649
Os01g0276200	OSTLU_34552	36.2319	47.7707
Os01g0276400	OSTLU_46801	32.4519	38.2436
Os01g0276500	OSTLU_31034	44.7712	48.2394
Os01g0276700	OSTLU_27708	55.6863	53.8899
Os01g0276700	OSTLU_40662	54.7059	48.7762
Os01g0276800	OSTLU_7884	8.30619	36.4286
Os01g0277500	OSTLU_9704	6.85921	57.5758
Os01g0279000	OSTLU_28008	25.0608	30.3835
Os01g0279100	OSTLU_47501	58.3333	66.1111
Os01g0279200	OSTLU_19323	59.4533	59.0498
Os01g0279300	OSTLU_39965	90.604	90.604
Os01g0279400	OSTLU_32666	21.9316	21.4567
Os01g0279400	OSTLU_93385	18.7123	18.3794
Os01g0280500	OSTLU_119613	61.7886	59.375
Os01g0281200	OSTLU_39570	30.9693	38.7574
Os01g0281400	OSTLU_49385	57.0526	57.906
Os01g0282800	OSTLU_12139	89.7092	89.7092
Os01g0282800	OSTLU_28827	87.2483	87.8378
Os01g0284300	OSTLU_27759	20.1635	22.8395
Os01g0284300	OSTLU_4731	18.8011	25.8427
Os01g0286600	OSTLU_32279	45.5224	51.6949
Os01g0290000	OSTLU_44385	43.0303	46.9163
Os01g0290700	OSTLU_48483	50.6757	6
Os01g0292200	OSTLU_41712	32.1041	33.3333
Os01g0293000	OSTLU_27381	75.5051	77.261
Os01g0293000	OSTLU_47517	75.5051	77.261
Os01g0295700	OSTLU_16113	34.7368	38.3721
Os01g0295900	OSTLU_31766	39.5939	15.8537
Os01g0296100	OSTLU_49296	54.4118	58.2677
Os01g0299700	OSTLU_93442	16.4557	10.0257
Os01g0300000	OSTLU_93442	23.8806	12.3393
Os01g0302500	OSTLU_5313	28.5714	35.2459
Os01g0304000	OSTLU_26572	60	63.1579
Os01g0306800	OSTLU_32619	21.1236	29.1022
Os01g0306900	OSTLU_88941	26.3305	33.6918
Os01g0309900	OSTLU_24393	26.2992	24.0634
Os01g0311500	OSTLU_7942	6.47948	37.2671
Os01g0314300	OSTLU_43572	58.0111	59.322
Os01g0315600	OSTLU_31753	23.4177	9.68586
Os01g0315700	OSTLU_31753	22.6562	7.59162
Os01g0315800	OSTLU_29801	53.8824	67.3529
Os01g0315800	OSTLU_33309	53.8824	67.3529
Os01g0315800	OSTLU_43376	57.1765	74.5399
Os01g0316600	OSTLU_8794	15.3226	14.7287
Os01g0317800	OSTLU_31753	20.6687	17.801
Os01g0318000	OSTLU_31753	18.8235	8.37696
Os01g0319000	OSTLU_29431	21.5311	18.1452
Os01g0321300	OSTLU_36933	52.9167	27.2532
Os01g0322800	OSTLU_15280	53.9652	52.2472
Os01g0323600	OSTLU_27381	76.9036	78.2946
Os01g0323600	OSTLU_47517	76.9036	78.2946
Os01g0327600	OSTLU_86630	18.6535	26.2381
Os01g0328500	OSTLU_9112	18.1818	39.6694
Os01g0328600	OSTLU_37514	13.5484	13.7255
Os01g0328700	OSTLU_26614	58.4493	58.3333
Os01g0329400	OSTLU_88251	35.5623	35.7798
Os01g0330200	OSTLU_13119	25.2101	37.3444
Os01g0331900	OSTLU_37086	37.1585	37.3626
Os01g0337500	OSTLU_39838	50.4528	54.6985
Os01g0337600	OSTLU_723	26.7108	37.0031
Os01g0337900	OSTLU_15203	53.1194	64.5022
Os01g0338000	OSTLU_43732	81.8653	81.8653
Os01g0338100	OSTLU_9714	23.9264	51.3158
Os01g0338600	OSTLU_31722	46.6431	55
Os01g0339600	OSTLU_29413	34.1463	18.1818
Os01g0339900	OSTLU_10584	9.16442	41.9753
Os01g0339900	OSTLU_9505	4.85175	26.087
Os01g0342750	OSTLU_35308	31.9544	17.6656
Os01g0343200	OSTLU_46552	54.2553	58.2857
Os01g0343500	OSTLU_86822	15.6522	8.91089
Os01g0347000	OSTLU_7942	6.65901	36.0248
Os01g0347600	OSTLU_13119	28.2799	40.249
Os01g0348600	OSTLU_49128	51.5818	51.9391
Os01g0348700	OSTLU_16602	48.0263	60.3306
Os01g0349400	OSTLU_27323	60.9231	61.1111
Os01g0353600	OSTLU_28054	42.1687	43.75
Os01g0354200	OSTLU_49215	34.472	24.0781
Os01g0354450	OSTLU_32455	12.1739	7.93201
Os01g0354700	OSTLU_29087	21.0383	16.0417
Os01g0355500	OSTLU_24322	12.4473	20.1365
Os01g0355600	OSTLU_32201	13.5895	11.4625
Os01g0355900	OSTLU_7192	16.0966	39.801
Os01g0356500	OSTLU_12109	31.0861	33.6032
Os01g0357100	OSTLU_50765	47.8469	47.3934
Os01g0358300	OSTLU_88641	27.2527	31.3924
Os01g0358400	OSTLU_18526	65.283	68.3794
Os01g0360600	OSTLU_40654	30	34.3284
Os01g0361500	OSTLU_42354	31.2317	33.7559
Os01g0361700	OSTLU_42354	1.5625	0.158479
Os01g0362100	OSTLU_42354	31.6619	35.0238
Os01g0363900	OSTLU_31015	23.2053	23.2441
Os01g0367100	OSTLU_32836	39.7059	39.2442
Os01g0367400	OSTLU_32836	30.9028	25.8721
Os01g0367700	OSTLU_3057	33.1541	55.7229
Os01g0367900	OSTLU_12759	50.9485	58.9958
Os01g0368000	OSTLU_17607	27.9476	29.6984
Os01g0369000	OSTLU_50090	54.8387	54.7651
Os01g0372700	OSTLU_88630	55.0984	54.7069
Os01g0374200	OSTLU_30981	9.93197	16.6287
Os01g0374900	OSTLU_37681	15.3355	52.7473
Os01g0375000	OSTLU_34264	44.1624	43.7186
Os01g0375200	OSTLU_39392	45.776	44.2966
Os01g0375500	OSTLU_39392	45.2962	24.7148
Os01g0376700	OSTLU_28910	21.0402	28.4345
Os01g0377500	OSTLU_42531	23.185	32.8904
Os01g0377700	OSTLU_31250	38.0723	37.9808
Os01g0382700	OSTLU_35719	35.5491	42.1233
Os01g0388500	OSTLU_32063	28.0899	3.16189
Os01g0392800	OSTLU_16748	18.1818	2.7027
Os01g0497400	OSTLU_6061	18.8341	13.9535
Os01g0500900	OSTLU_119608	50.9054	52.2727
Os01g0501700	OSTLU_43950	50.4178	63.7324
Os01g0501800	OSTLU_29311	51.3514	56.6225
Os01g0502300	OSTLU_29285	26.7559	24.0964
Os01g0503400	OSTLU_27409	29.6364	33.3333
Os01g0507300	OSTLU_6328	39.1753	41.6058
Os01g0510100	OSTLU_27759	21.6901	23.7654
Os01g0510100	OSTLU_4731	29.5775	39.3258
Os01g0510600	OSTLU_15947	20.3704	20.122
Os01g0510600	OSTLU_26139	18.8272	24.3028
Os01g0510600	OSTLU_42883	23.1481	25.2525
Os01g0510800	OSTLU_41510	31.793	44.9086
Os01g0511300	OSTLU_29386	43.1169	41.7085
Os01g0511600	OSTLU_2540	18.5484	11.0312
Os01g0512100	OSTLU_3910	28.7841	34.8348
Os01g0512200	OSTLU_42302	20	30.3859
Os01g0512800	OSTLU_4906	26.8398	18.7879
Os01g0513100	OSTLU_40915	7.28477	3.45912
Os01g0513200	OSTLU_44261	37	10.7246
Os01g0513400	OSTLU_88941	27.1003	35.8423
Os01g0513700	OSTLU_8999	33.3333	44.4444
Os01g0513800	OSTLU_5921	42.5806	44.4444
Os01g0514000	OSTLU_119514	54.2683	51.1494
Os01g0514300	OSTLU_27700	16.4835	20
Os01g0517800	OSTLU_29623	33.9181	17.6829
Os01g0518000	OSTLU_29623	33.1797	21.9512
Os01g0521500	OSTLU_13896	24.0464	27.4621
Os01g0524500	OSTLU_8087	31.0458	60.1266
Os01g0526100	OSTLU_29530	33.6957	37.2372
Os01g0526200	OSTLU_89208	29.1169	27.051
Os01g0527700	OSTLU_87130	37.0115	44.3526
Os01g0530366	OSTLU_119610	65.3846	60.7143
Os01g0530400	OSTLU_8492	29.1892	43.9024
Os01g0531500	OSTLU_39889	31.3167	36.6667
Os01g0532200	OSTLU_27364	16.4882	14.2066
Os01g0532800	OSTLU_40141	25	12.1766
Os01g0534900	OSTLU_28050	18.6198	13.9648
Os01g0534900	OSTLU_29234	19.9219	11.7062
Os01g0535900	OSTLU_37097	38.4298	39.2405
Os01g0536000	OSTLU_41712	31.3901	31.5315
Os01g0540300	OSTLU_41392	44.9438	20.9424
Os01g0541900	OSTLU_51117	37.2907	35.7664
Os01g0543400	OSTLU_7211	22.4	12.1739
Os01g0544450	OSTLU_51954	43.7355	49.9338
Os01g0546250	OSTLU_32237	31.6327	29.2453
Os01g0546250	OSTLU_9256	32.6531	42.1053
Os01g0547200	OSTLU_14985	4.72441	2.84939
Os01g0547600	OSTLU_26062	34.8454	34.2105
Os01g0549200	OSTLU_17648	17.0799	6.85841
Os01g0549400	OSTLU_1794	28.0303	52.7316
Os01g0549400	OSTLU_47095	28.4091	54.4794
Os01g0549700	OSTLU_89708	61.1111	73.743
Os01g0550000	OSTLU_89708	61.1111	73.743
Os01g0550100	OSTLU_13360	42.1941	43.3839
Os01g0550200	OSTLU_7291	11.6041	23.7762
Os01g0552300	OSTLU_119508	27.7635	27.8351
Os01g0555100	OSTLU_8690	32.3741	32.3741
Os01g0555800	OSTLU_35850	47.1074	20.8029
Os01g0556400	OSTLU_9549	10.2632	56.5217
Os01g0558300	OSTLU_14596	29.1498	28.9157
Os01g0558600	OSTLU_12689	80.6931	80.2956
Os01g0558800	OSTLU_9086	14.5907	29.078
Os01g0558850	OSTLU_31795	29.6852	19.9597
Os01g0559000	OSTLU_41232	40.6863	40.0966
Os01g0559100	OSTLU_3486	42.8235	41.8391
Os01g0560000	OSTLU_31131	39.3665	39.2777
Os01g0560200	OSTLU_31153	37.5566	36.8889
Os01g0565900	OSTLU_29044	31.25	32.8947
Os01g0570500	OSTLU_14134	49.3644	78.983
Os01g0570700	OSTLU_42572	57.362	16.9231
Os01g0571000	OSTLU_5965	29.7059	34.3537
Os01g0574400	OSTLU_37796	49.6474	55.3459
Os01g0574500	OSTLU_37796	49.7902	55.9748
Os01g0574600	OSTLU_45774	50.4399	60.7774
Os01g0574600	OSTLU_50994	35.4839	37.931
Os01g0575000	OSTLU_49461	35.1117	34.0964
Os01g0575500	OSTLU_86011	16.196	14.9885
Os01g0578000	OSTLU_17626	39.255	38.2682
Os01g0578200	OSTLU_17094	18.75	9.28793
Os01g0579600	OSTLU_27748	19.2661	19.6262
Os01g0580100	OSTLU_87441	34.1772	35.7955
Os01g0581300	OSTLU_43511	32.7778	40.0452
Os01g0582400	OSTLU_7470	23.4469	52.9412
Os01g0583100	OSTLU_13696	20.7071	23.0986
Os01g0583100	OSTLU_32845	21.7172	24.9275
Os01g0583200	OSTLU_31166	24.0132	35.7843
Os01g0583300	OSTLU_31166	12.6214	12.7451
Os01g0583600	OSTLU_32455	5.26316	5.38244
Os01g0583700	OSTLU_48964	0.480769	0.321027
Os01g0583900	OSTLU_48964	0.423729	0.321027
Os01g0584200	OSTLU_40911	31.934	14.6593
Os01g0584800	OSTLU_119563	2.85714	0.0803858
Os01g0585100	OSTLU_34546	21.5633	23.1884
Os01g0587000	OSTLU_119494	43.3048	44.4444
Os01g0587300	OSTLU_24349	17.5926	19.4076
Os01g0588100	OSTLU_49504	36.9427	39.0572
Os01g0588400	OSTLU_49504	47.5884	49.8316
Os01g0588600	OSTLU_6010	29.8969	47.2826
Os01g0588700	OSTLU_6010	33.9394	60.8696
Os01g0588800	OSTLU_41366	37.3016	40.7809
Os01g0588900	OSTLU_119538	42.562	53.0928
Os01g0589300	OSTLU_27049	22	35.1064
Os01g0589800	OSTLU_14124	49.2754	26.5625
Os01g0590700	OSTLU_38163	21.5655	16.875
Os01g0590900	OSTLU_50484	43.0412	43.6031
Os01g0592900	OSTLU_40695	28.7968	38.9853
Os01g0593500	OSTLU_93468	19.9262	22.5941
Os01g0594800	OSTLU_30832	17.1004	10.9264
Os01g0597400	OSTLU_45915	32.0542	29.9578
Os01g0597600	OSTLU_45915	33.4906	29.9578
Os01g0598200	OSTLU_27748	37.6147	38.3178
Os01g0599900	OSTLU_32403	15.6746	11.8619
Os01g0600000	OSTLU_26185	32.7869	30.7692
Os01g0600200	OSTLU_86903	52.4655	51.8519
Os01g0609200	OSTLU_35308	27.3907	31.6246
Os01g0609300	OSTLU_35308	30.5491	31.1514
Os01g0609900	OSTLU_35308	28.098	30.7571
Os01g0610100	OSTLU_13768	65.9091	54.9763
Os01g0610400	OSTLU_17952	37.4302	34.5361
Os01g0610400	OSTLU_36663	37.4302	34.5361
Os01g0610500	OSTLU_6724	19.1781	27.7228
Os01g0610600	OSTLU_37444	11.2957	26.7016
Os01g0611100	OSTLU_41856	78.2805	78.6364
Os01g0612000	OSTLU_16070	32.1285	20.1005
Os01g0612000	OSTLU_87597	34.9398	23.4501
Os01g0612500	OSTLU_32853	27.572	29.646
Os01g0612700	OSTLU_29103	4.55581	16.5289
Os01g0613300	OSTLU_8006	27.4038	47.1074
Os01g0613500	OSTLU_13119	24.7222	36.9295
Os01g0613800	OSTLU_13119	21.4485	31.9502
Os01g0613900	OSTLU_2933	39.3684	50.9537
Os01g0614900	OSTLU_49932	23.3205	36.3772
