Gene stable ID	Oryza barthii gene stable ID	%id. target Oryza barthii gene identical to query gene	%id. query gene identical to target Oryza barthii gene
Os01g0104500	OBART01G00360	99.6875	98.4568
Os01g0104600	OBART01G00370	99.0215	90.3571
Os01g0104800	OBART01G00380	96.7442	97.8056
Os01g0104900	OBART01G00390	99.7863	99.7863
Os01g0105700	OBART01G00400	97.6804	97.6804
Os01g0105800	OBART01G00410	94.9275	96.3235
Os01g0105900	OBART01G00420	96.8338	97.09
Os01g0106200	OBART01G00430	96.9388	97.9381
Os01g0106300	OBART01G00440	99.6855	99.6855
Os01g0106400	OBART01G00450	100	100
Os01g0106500	OBART01G00460	96.2617	93.6364
Os01g0106600	OBART01G00470	98.2877	98.9655
Os01g0106700	OBART01G00480	93.3361	85.0913
Os01g0106800	OBART01G00490	100	100
Os01g0106900	OBART01G00500	99.7886	99.7886
Os01g0107000	OBART01G00510	97.3392	97.3392
Os01g0107700	OBART01G00560	98.1818	97.4729
Os01g0107900	OBART01G00570	91.2281	98.4509
Os01g0108000	OBART01G00580	98.4169	98.8079
Os01g0108200	OBART01G00590	94.5205	99.2806
Os01g0108400	OBART01G00600	78.1659	78.8546
Os01g0108500	OBART04G24300	21.2418	29.148
Os01g0108600	OBART01G00620	76.3393	75
Os01g0108800	OBART01G00630	94.3723	76.4912
Os01g0109300	OBART01G00650	99.3952	86.9489
Os01g0109500	OBART01G00670	97.0339	47.314
Os01g0109700	OBART01G00690	99.095	85.9948
Os01g0109750	OBART01G00700	99.2701	99.2701
Os01g0110100	OBART01G00740	98.4981	98.6216
Os01g0110400	OBART01G00760	99.2788	99.2788
Os01g0110500	OBART01G00770	74.3553	97.191
Os01g0110700	OBART01G00790	98.0676	98.9279
Os01g0110800	OBART01G00800	93.7778	93.7778
Os01g0111000	OBART01G00810	81.6327	67.7966
Os01g0111100	OBART01G00820	57.483	97.6879
Os01g0111200	OBART01G00830	87.7419	96.1131
Os01g0111500	OBART01G00850	97.2881	100
Os01g0111600	OBART01G00860	98.8506	98.8506
Os01g0111700	OBART01G00870	97.7143	97.1591
Os01g0111800	OBART01G00890	88.2883	88.2883
Os01g0112100	OBART01G00910	46.0106	81.2207
Os01g0112400	OBART01G00930	98.6014	99.2958
Os01g0112500	OBART01G00940	96.0674	92.9348
Os01g0112800	OBART01G00960	98.4683	63.6042
Os01g0113150	OBART01G00960	99.2051	44.0989
Os01g0113200	OBART01G00990	93.2161	62.0401
Os01g0113300	OBART01G00980	91.9575	48.5577
Os01g0113400	OBART01G01000	83.7518	96.1017
Os01g0113900	OBART01G01050	30.8235	3.36674
Os01g0114100	OBART01G01030	85.129	39.0397
Os01g0114800	OBART10G15150	35.3333	42.4
Os01g0114900	OBART01G01080	91.4474	18.6577
Os01g0115100	OBART04G09090	51.7241	57.2519
Os01g0115566	OBART01G01050	42.2311	2.72424
Os01g0115600	OBART01G01060	89.533	89.3891
Os01g0115700	OBART01G45980	92.3567	89.6445
Os01g0115800	OBART01G01050	35.786	2.74994
Os01g0116900	OBART01G01100	79.6116	62.2155
Os01g0117200	OBART01G01120	95.7123	99.5683
Os01g0117300	OBART01G01110	93.7028	28.9945
Os01g0117400	OBART01G01090	96.6184	11.1173
Os01g0117700	OBART01G01150	86.9362	86.6667
Os01g0117900	OBART01G01170	100	100
Os01g0118000	OBART01G01180	99.2268	99.2268
Os01g0118100	OBART01G01190	99.6333	65.3569
Os01g0118300	OBART01G01200	77.1765	89.1304
Os01g0118400	OBART01G01210	93.5154	96.4789
Os01g0118700	OBART01G01220	98.8417	35.9551
Os01g0119100	OBART01G01230	98.1067	84.5697
Os01g0119500	OBART01G01250	98.2833	98.2833
Os01g0120300	OBART01G01280	93.4509	81.3596
Os01g0120400	OBART01G01290	90.5303	95.6
Os01g0120500	OBART01G01300	98.4252	98.4252
Os01g0120600	OBART01G01310	76.9504	79.7794
Os01g0120700	OBART01G01320	99.2982	99.2982
Os01g0120800	OBART01G01340	91.0751	90.5242
Os01g0121000	OBART01G01360	67.1642	86.5385
Os01g0121100	OBART01G01370	99.4152	99.7067
Os01g0121200	OBART01G01380	99.2565	99.2565
Os01g0121300	OBART01G01390	99.2593	99.2593
Os01g0121500	OBART01G01400	83.3333	63.2911
Os01g0121600	OBART01G01410	97.9592	99.3103
Os01g0121700	OBART01G01420	98.2036	96.1877
Os01g0121800	OBART01G01430	98.5075	100
Os01g0121900	OBART01G01440	97.973	44.5469
Os01g0121950	OBART01G01460	45.2316	23.4795
Os01g0123900	OBART01G01550	81.8653	84.0426
Os01g0124000	OBART01G01560	58.6021	92.3729
Os01g0124100	OBART01G01570	93.0502	51.3859
Os01g0124200	OBART08G23100	96.0159	97.9675
Os01g0124401	OBART01G01580	50.7874	66.1538
Os01g0124401	OBART11G00420	37.4016	85.5856
Os01g0124600	OBART01G01600	91.0526	93.5135
Os01g0124650	OBART01G01610	97.8378	100
Os01g0125500	OBART01G01620	91.8149	28.8914
Os01g0125550	OBART01G01630	54.6154	60.6838
Os01g0125600	OBART01G01640	99.2857	99.0499
Os01g0125700	OBART01G01650	100	100
Os01g0125800	OBART01G01660	99.8361	99.8361
Os01g0125900	OBART01G01670	99.7178	97.337
Os01g0126000	OBART01G01690	59.1241	32.0158
Os01g0126100	OBART01G01680	91.2371	98.6989
Os01g0126200	OBART01G01700	96.99	99.4854
Os01g0126600	OBART01G01710	98.5112	33.0008
Os01g0127000	OBART01G01720	79.4007	90.9871
Os01g0127200	OBART01G01750	71.7425	97.234
Os01g0127300	OBART01G01760	98.7552	98.7552
Os01g0127400	OBART01G01770	76.6509	56.4236
Os01g0127500	OBART01G01780	98.8131	99.1071
Os01g0127600	OBART01G01790	98.8827	98.8827
Os01g0127900	OBART01G01810	99.2991	99.2991
Os01g0128000	OBART01G01830	99.7143	99.7143
Os01g0128100	OBART01G01840	96.9072	98.9474
Os01g0128200	OBART01G01850	99.3506	99.3506
Os01g0128300	OBART01G01860	100	100
Os01g0128400	OBART01G01870	100	100
Os01g0128800	OBART01G01900	90.9871	24.1183
Os01g0129200	OBART01G01920	93.9164	98.0159
Os01g0129500	OBART01G01930	99.2101	99.841
Os01g0129600	OBART01G01940	76.1062	83.7662
Os01g0129800	OBART01G01950	98.9691	96
Os01g0130000	OBART01G01960	92.0716	80
Os01g0130400	OBART01G01990	99.7854	99.7854
Os01g0130900	OBART01G02020	75.2874	98.4962
Os01g0131300	OBART01G02040	99.4286	98.8636
Os01g0131600	OBART01G02050	100	91.4201
Os01g0131800	OBART01G02070	98.8095	98.8095
Os01g0131900	OBART01G02080	96.0396	98.9796
Os01g0132000	OBART01G02110	99	99
Os01g0132100	OBART01G02120	63.388	65.1076
Os01g0132200	OBART01G02130	56.4315	78.1609
Os01g0132400	OBART01G02140	98.2456	97.7556
Os01g0132700	OBART01G02160	85.1351	100
Os01g0132700	OBART08G18280	50.6757	39.4737
Os01g0132800	OBART01G02170	90.7336	88.3459
Os01g0133100	OBART01G02180	89.2587	66.6667
Os01g0133200	OBART01G02190	73.1959	99.3007
Os01g0133400	OBART01G02200	99.0775	96.7568
Os01g0133500	OBART01G02210	93.346	99.7967
Os01g0133600	OBART01G02220	98.3254	50.2445
Os01g0134200	OBART05G16660	6.91964	7.11009
Os01g0134500	OBART01G02250	100	100
Os01g0134700	OBART01G02270	98.6301	98.6301
Os01g0134800	OBART01G02280	98.6413	32.4687
Os01g0135700	OBART01G02290	99.4475	99.4475
Os01g0135800	OBART01G02300	100	100
Os01g0135900	OBART01G02310	99.3976	99.3976
Os01g0136000	OBART01G02320	98.6577	98.6577
Os01g0136200	OBART01G02340	99.3333	99.3333
Os01g0136300	OBART01G02360	100	100
Os01g0136800	OBART01G02390	95.1952	30.1045
Os01g0136900	OBART01G02410	95.0382	20.0969
Os01g0138300	OBART01G02430	68.8427	23.2932
Os01g0138400	OBART11G04200	84.3338	42.3218
Os01g0138500	OBART01G02450	97.6119	96.1765
Os01g0138600	OBART01G02460	98.8095	61.4815
Os01g0138800	OBART01G02470	99.768	100
Os01g0138900	OBART01G02480	58.0718	99.2337
Os01g0139000	OBART01G02490	98.5916	98.5916
Os01g0139200	OBART01G02500	99.7019	99.7019
Os01g0139600	OBART01G02530	80.5112	99.6047
Os01g0139700	OBART01G02540	99	100
Os01g0139900	OBART01G02560	98.8235	98.8235
Os01g0140100	OBART01G02570	55.5556	99.6441
Os01g0140400	OBART01G02580	83.0721	93.8053
Os01g0140700	OBART01G02610	100	97.5385
Os01g0141000	OBART01G02620	84.6575	95.0769
Os01g0141100	OBART01G02630	99.67	38.2763
Os01g0141600	OBART01G02640	70.2786	47.6891
Os01g0141700	OBART01G02650	99.1424	98.6348
Os01g0141900	OBART01G02660	98.5149	98.6777
Os01g0142100	OBART01G02680	98.9011	100
Os01g0142200	OBART01G02690	98.8372	98.8372
Os01g0142300	OBART01G02700	99.7706	99.7706
Os01g0142500	OBART01G02710	95.5782	100
Os01g0143100	OBART01G02750	100	100
Os01g0143300	OBART01G02780	80.6818	99.5327
Os01g0143400	OBART01G02790	97.6155	61.5602
Os01g0143800	OBART01G02800	87.6364	96.7871
Os01g0144000	OBART01G02810	85.4599	61.4072
Os01g0144200	OBART01G02820	99.5413	99.5413
Os01g0144300	OBART01G02830	99.4065	99.4065
Os01g0144340	OBART01G02840	54.0616	93.4625
Os01g0144500	OBART01G02850	91.8033	80.2867
Os01g0144600	OBART01G02860	92	78.6325
Os01g0145200	OBART01G02910	99.2908	74.8663
Os01g0146200	OBART01G02960	90.9091	90.9091
Os01g0147200	OBART01G03040	99.8124	99.4393
Os01g0147300	OBART01G03050	100	60.8955
Os01g0147400	OBART01G03060	97.9167	51.31
Os01g0147600	OBART01G03080	46.332	52.4017
Os01g0147700	OBART01G03090	99.1429	99.1429
Os01g0147800	OBART01G03110	83.1915	49.6193
Os01g0147850	OBART01G03100	87.9032	76.7606
Os01g0148000	OBART01G03120	99.6255	40.0804
Os01g0148050	OBART01G03120	95.8203	46.0573
Os01g0148100	OBART01G03130	85.6021	88.1402
Os01g0148400	OBART01G03140	78.754	91.4657
Os01g0148500	OBART01G03150	98.7469	98.7469
Os01g0148700	OBART01G03170	95.0649	97.6
Os01g0149350	OBART01G03230	93.8384	86.4991
Os01g0149600	OBART01G03240	100	100
Os01g0149750	OBART01G03220	97.2603	88.1988
Os01g0149750	OBART01G03260	97.9452	97.9452
Os01g0149900	OBART01G03270	99.4609	99.4609
Os01g0150000	OBART01G03290	100	99.0415
Os01g0150100	OBART01G03300	97.3333	68.5446
Os01g0150200	OBART04G05790	88.2353	96.0591
Os01g0150400	OBART01G03310	72.0379	22.9955
Os01g0150800	OBART01G03320	68	64.0167
Os01g0150950	OBART06G20480	6.88705	22.5225
Os01g0151200	OBART01G03330	56.6449	81.25
Os01g0151400	OBART01G03340	33.3333	20.4678
Os01g0151500	OBART01G03350	57.6364	56.3055
Os01g0151600	OBART01G03360	94.9721	100
Os01g0151700	OBART01G03370	99.6885	99.6885
Os01g0151900	OBART01G03390	96.4419	96.4419
Os01g0152100	OBART01G03410	82.7887	96.2025
Os01g0152200	OBART01G03420	55.1807	55.1807
Os01g0152300	OBART01G03430	98.6928	97.4194
Os01g0152950	OBART01G03460	93.5035	93.5035
Os01g0153000	OBART01G03470	93.4741	98.0866
Os01g0153100	OBART01G03480	98.6928	98.6928
Os01g0153150	OBART01G03500	86.076	45.6376
Os01g0153250	OBART01G03510	95.9296	85.9961
Os01g0153300	OBART01G03520	99.3548	99.3548
Os01g0153400	OBART01G03530	99.7396	56.6568
Os01g0153500	OBART01G03560	83.5391	83.1967
Os01g0153600	OBART01G03550	78.2467	26.8673
Os01g0153800	OBART01G03570	61.5804	98.69
Os01g0154200	OBART01G03590	100	100
Os01g0154500	OBART01G03600	99.1597	27.5701
Os01g0155000	OBART01G03620	75.6677	48.4791
Os01g0155200	OBART01G03640	99.8797	99.8797
Os01g0155300	OBART01G03650	61.7647	70.9459
Os01g0155400	OBART01G03670	98.6517	65.3274
Os01g0155500	OBART01G03680	90.4915	95.4904
Os01g0155600	OBART01G03690	99.3827	99.3827
Os01g0156000	OBART01G03720	91.1765	95.8763
Os01g0156300	OBART01G03730	100	51.2129
Os01g0157400	OBART01G03770	99.0476	99.0476
Os01g0157500	OBART01G03780	82.9787	98.9848
Os01g0157600	OBART01G03790	96.6102	97.6027
Os01g0157700	OBART01G03800	60.7759	28.5425
Os01g0157800	OBART01G03810	66.0714	97.3684
Os01g0157900	OBART01G03820	70.2128	98.2143
Os01g0158000	OBART01G03830	98.6742	97.3832
Os01g0158100	OBART06G11720	29.9625	64
Os01g0158400	OBART01G03850	97.9508	97.9508
Os01g0158600	OBART01G03860	96.474	98.1076
Os01g0158800	OBART01G03870	40.3361	58.8957
Os01g0158900	OBART01G03880	97.9098	98.9989
Os01g0159000	OBART01G03890	94.4751	63.806
Os01g0159200	OBART01G03900	99.4681	94.4444
Os01g0159300	OBART01G03910	100	96.3462
Os01g0159400	OBART01G03920	99.7691	85.8847
Os01g0159500	OBART01G03930	55.5556	36.5854
Os01g0159600	OBART01G03940	98.9247	88.4615
Os01g0159800	OBART01G03950	78.1022	41.4729
Os01g0160100	OBART01G03960	90.9548	96.9643
Os01g0160200	OBART01G03970	57.5992	72.4726
Os01g0160700	OBART01G03990	94.0313	96.3892
Os01g0160800	OBART01G04020	50.3546	93.4211
Os01g0161300	OBART01G04010	52.6627	24.5743
Os01g0162800	OBART01G04070	97.4806	89.4222
Os01g0163000	OBART01G04090	78.4979	87.2
Os01g0164400	OBART01G04160	95.8333	39.1489
Os01g0164500	OBART01G04170	98.1453	97.9938
Os01g0164600	OBART01G04180	97.8852	99.0826
Os01g0164700	OBART01G04190	66.9231	26.284
Os01g0164800	OBART01G04200	98.419	16.3172
Os01g0164900	OBART01G04200	89.8129	28.3093
Os01g0165000	OBART01G04210	98.5401	95.0704
Os01g0165200	OBART01G04220	95.8571	50.8333
Os01g0165600	OBART05G04540	88.2353	87.2093
Os01g0166100	OBART01G04250	96.9789	96.3964
Os01g0166300	OBART01G04260	78.8288	40.2299
Os01g0166500	OBART01G04270	100	100
Os01g0166700	OBART01G04280	99.115	99.115
Os01g0166800	OBART01G04290	99.1625	96.732
Os01g0167400	OBART01G04310	98.8889	83.6991
Os01g0167500	OBART01G04320	98.3146	68.2261
Os01g0167600	OBART01G04330	56.7797	99.0148
Os01g0167700	OBART01G04340	74.0782	89.8374
Os01g0167750	OBART01G04350	42.8344	99.262
Os01g0167800	OBART01G04360	71.8615	53.7217
Os01g0167900	OBART01G04370	99.537	99.537
Os01g0168100	OBART01G04380	99.1568	99.1568
Os01g0168200	OBART01G04390	96.9466	90.0709
Os01g0168300	OBART01G04400	99.2105	99.2105
Os01g0168400	OBART01G04410	58.7822	100
Os01g0168500	OBART01G04420	100	100
Os01g0168600	OBART01G04430	64.0411	51.0929
Os01g0168800	OBART01G04440	77.381	99.6169
Os01g0169400	OBART01G04470	99.6016	89.9281
Os01g0169500	OBART01G04480	95.5483	99.6039
Os01g0169800	OBART01G04500	100	100
Os01g0169900	OBART01G04510	99.4828	99.4828
Os01g0170000	OBART01G04520	99.4083	40
Os01g0170100	OBART01G04540	100	60.4444
Os01g0170300	OBART01G04550	67.3232	99.2084
Os01g0170500	OBART01G04560	98.1265	99.2891
Os01g0170600	OBART01G04570	99.6324	59.6916
Os01g0170700	OBART01G04580	69.802	90.0958
Os01g0170800	OBART01G04590	99.2248	65.9794
Os01g0170900	OBART01G04600	98.2143	97.3451
Os01g0171000	OBART01G04610	99.5223	99.5223
Os01g0171100	OBART01G04620	82.3834	41.4602
Os01g0171800	OBART01G04640	80.4734	61.2613
Os01g0172000	OBART01G04660	94.0741	28.2222
Os01g0172100	OBART01G04670	99.4911	99.4911
Os01g0172200	OBART01G04680	87.8788	88.4615
Os01g0172300	OBART01G04690	97.8495	96.8085
Os01g0172400	OBART01G04700	100	97.3621
Os01g0172800	OBART01G04720	74.3456	73.1959
Os01g0172900	OBART01G04730	77.9661	52.3918
Os01g0173000	OBART01G04740	77.5956	77.5956
Os01g0173100	OBART01G04750	84.2105	99.2248
Os01g0173600	OBART01G04770	93.9535	94.3925
Os01g0173900	OBART01G04780	99.0698	99.1356
Os01g0174000	OBART01G04790	34.2939	59.5
Os01g0174300	OBART01G04800	96.7846	52.6224
Os01g0174500	OBART01G04810	78.2178	39.2384
Os01g0174600	OBART01G04810	96.7742	44.702
Os01g0174700	OBART01G04820	97.5659	97.5659
Os01g0174900	OBART01G04830	59.4595	88.7097
Os01g0175000	OBART01G04840	99.6109	99.6109
Os01g0175500	OBART01G04860	87.0293	93.2735
Os01g0175600	OBART01G04890	92.1131	41.7397
Os01g0176100	OBART01G04920	99.6008	98.8119
Os01g0176300	OBART01G04950	99.2481	98.9505
Os01g0176400	OBART01G04960	97.9381	46.4548
Os01g0176500	OBART01G04970	99.0385	99.0385
Os01g0176700	OBART01G04980	27.4633	94.2446
Os01g0176800	OBART01G04990	73.8335	99.8762
Os01g0176900	OBART01G05000	41.4474	78.2609
Os01g0177100	OBART01G05010	96.2372	99.7636
Os01g0177200	OBART01G05020	97.2292	99.6129
Os01g0177900	OBART01G05040	99.7195	97.1311
Os01g0178000	OBART01G05050	100	100
Os01g0178100	OBART01G05060	76.8868	86.7021
Os01g0178200	OBART01G05070	99.6997	99.1045
Os01g0178500	OBART01G05080	98.995	95.1691
Os01g0178600	OBART07G12120	54.902	91.8033
Os01g0178700	OBART01G05090	95.0704	100
Os01g0178850	OBART01G05100	64.557	91.0714
Os01g0179000	OBART01G05110	74.5995	89.5604
Os01g0179200	OBART01G05120	100	100
Os01g0179300	OBART01G05130	99.0937	99.696
Os01g0179400	OBART01G05140	99.6253	99.6253
Os01g0179500	OBART01G05150	99.7217	70.0782
Os01g0179700	OBART01G05170	100	74.9077
Os01g0179800	OBART01G05180	90.9739	68.3929
Os01g0179901	OBART01G05190	49.4382	50.5747
Os01g0180000	OBART01G05200	76.7308	79.0099
Os01g0180300	OBART01G05210	97.7807	91.9018
Os01g0180400	OBART01G05220	88.8298	46.3889
Os01g0180600	OBART01G05230	99.2647	99.5086
Os01g0180700	OBART01G05240	68.3908	99.4429
Os01g0180800	OBART01G05250	99.8817	99.8817
Os01g0180900	OBART01G05260	84.0855	80.6378
Os01g0181000	OBART01G05270	73.7815	99.5465
Os01g0182100	OBART01G05330	99.7802	99.7802
Os01g0182200	OBART01G05340	100	100
Os01g0182300	OBART01G05350	35.6725	64.8936
Os01g0182400	OBART01G05360	83.9286	98.3721
Os01g0182500	OBART01G05370	99.0099	91.7431
Os01g0182600	OBART01G05380	97.069	98.3406
Os01g0182700	OBART01G05390	38.2143	54.0404
Os01g0182832	OBART01G05400	97.7064	21.4934
Os01g0182900	OBART01G05400	100	10.9317
Os01g0183100	OBART01G05410	99.4382	99.4382
Os01g0183300	OBART01G05420	87.0704	99.2537
Os01g0183600	OBART01G05440	91.6832	48.0789
Os01g0183800	OBART01G05460	98.6301	99.1736
Os01g0183850	OBART01G05470	98.7952	98.7952
Os01g0184000	OBART01G05490	99.4723	99.4723
Os01g0184100	OBART01G05500	100	100
Os01g0184500	OBART01G05510	94.08	94.382
Os01g0184800	OBART01G05530	99.2032	99.2032
Os01g0184900	OBART01G05540	99.844	99.844
Os01g0185100	OBART01G05550	75.1269	52.1127
Os01g0185200	OBART01G05560	95.603	93.4889
Os01g0185300	OBART01G05570	97.136	99.7549
Os01g0185400	OBART01G05580	96.6981	80.0781
Os01g0185500	OBART01G05590	87.1429	94.9416
Os01g0185900	OBART01G05600	58.9744	97.7124
Os01g0186200	OBART01G05610	99.7468	99.7468
Os01g0186400	OBART01G05620	97.992	97.2112
Os01g0186700	OBART01G05660	96.6912	92.6056
Os01g0187000	OBART01G05670	66.0714	62.0805
Os01g0187400	OBART01G05680	79.1754	99.6482
Os01g0187500	OBART01G05690	3.19149	2.0979
Os01g0187600	OBART01G05700	98.7288	55.3444
Os01g0187900	OBART01G05710	99.4536	99.4536
Os01g0188100	OBART01G05720	93.4132	99.0476
Os01g0188200	OBART01G05730	83.0508	21.1938
Os01g0188400	OBART01G05740	99.8435	100
Os01g0188900	OBART01G04870	78.2313	22.4609
Os01g0189100	OBART01G04870	46.7043	48.4375
Os01g0190000	OBART01G05760	72.9825	95.4128
Os01g0190300	OBART01G05770	96.2185	92.7125
Os01g0190400	OBART01G05780	94.7598	88.2114
Os01g0191000	OBART01G05800	75.5682	78.6982
Os01g0191100	OBART01G05810	100	100
Os01g0191200	OBART01G05820	79.538	98.3673
Os01g0191200	OBART01G05830	79.538	98.3673
Os01g0191300	OBART01G05840	100	86.255
Os01g0191500	OBART01G05850	95.4455	99.177
Os01g0191700	OBART01G05860	100	100
Os01g0191800	OBART01G05870	99.3151	99.3151
Os01g0192000	OBART01G05890	99.4819	97.7099
Os01g0192300	OBART01G05900	98.0645	99.3464
Os01g0192600	OBART01G05920	99.7118	99.7118
Os01g0192900	OBART01G05940	85.7411	99.1323
Os01g0193400	OBART01G05960	97.319	98.1081
Os01g0193500	OBART01G05970	99.117	99.117
Os01g0193600	OBART01G05980	99.6409	99.6409
Os01g0193900	OBART01G05990	93.5943	88.3539
Os01g0194000	OBART01G06000	93.9959	79.0941
Os01g0194200	OBART01G06010	77.3756	96.338
Os01g0194300	OBART01G06020	71.4777	100
Os01g0194600	OBART01G06040	96.8	96.8
Os01g0195000	OBART01G06050	91.3758	99.1091
Os01g0195200	OBART01G06070	99.7768	41.9325
Os01g0195300	OBART01G06080	100	98.7013
Os01g0195400	OBART01G06090	78.8194	96.1864
Os01g0195500	OBART01G06100	85.9296	94.4751
Os01g0195700	OBART01G06110	91.4286	100
Os01g0195801	OBART01G06120	81.6609	53.8813
Os01g0196300	OBART01G06170	97.7221	89.9371
Os01g0196500	OBART01G06190	55.7214	98.2456
Os01g0196600	OBART01G06200	98.9562	99.1632
Os01g0197100	OBART01G06210	99.3878	99.3878
Os01g0197200	OBART01G06220	93.5223	96.4509
Os01g0197350	OBART01G06240	98.5611	98.5611
Os01g0197400	OBART01G06250	99.1701	99.1701
Os01g0197450	OBART01G06260	51.3344	99.0909
Os01g0197500	OBART01G06270	73.8854	40.5594
Os01g0197700	OBART01G06280	47.7876	98.1818
Os01g0197900	OBART01G06290	99.2248	40.2938
Os01g0198000	OBART01G06290	71.8381	44.7009
Os01g0198100	OBART01G06290	38.5965	18.468
Os01g0198200	OBART01G06330	99.2138	99.684
Os01g0198500	OBART01G06340	62.8692	64.5022
Os01g0198900	OBART01G06350	64.8148	66.6667
Os01g0199400	OBART01G06360	99.2405	99.2405
Os01g0199900	OBART01G06370	87.6387	97.8761
Os01g0200000	OBART10G18480	93.9873	97.0588
Os01g0200200	OBART01G06390	100	54.4872
Os01g0200300	OBART01G06400	98.6079	47.3802
Os01g0200400	OBART01G06410	82.4427	88.8889
Os01g0200500	OBART01G06420	76.7584	99.2095
Os01g0200600	OBART01G06440	99.5614	99.1266
Os01g0200700	OBART01G06450	100	100
Os01g0201200	OBART01G06470	99.2895	99.2895
Os01g0201250	OBART01G06480	33.9623	100
Os01g0201600	OBART01G06510	68.1063	83.6735
Os01g0201700	OBART01G06520	86.5942	84.1549
Os01g0201800	OBART01G06530	81.9672	98.0392
Os01g0201900	OBART01G06560	99.376	75.3846
Os01g0202700	OBART01G06570	75	95.6522
Os01g0202800	OBART01G06580	88.3895	66.2921
Os01g0203000	OBART01G06590	80.274	80.0546
Os01g0203300	OBART01G06600	90.4977	78.7402
Os01g0203400	OBART01G06610	65.7407	95.9459
Os01g0203800	OBART01G06640	38.6538	100
Os01g0204000	OBART01G06650	99.4141	81.051
Os01g0205100	OBART01G06730	90.5512	92.9919
Os01g0205200	OBART01G06740	98.6507	60.8133
Os01g0205300	OBART01G06750	98.2353	98.2353
Os01g0205500	OBART01G06760	99.4505	73.8775
Os01g0205700	OBART01G45990	99.5708	56.0386
Os01g0205900	OBART01G06770	83.4862	92.2297
Os01g0206200	OBART01G06780	99.5305	96.3636
Os01g0206300	OBART01G06790	78.865	99.7525
Os01g0206600	OBART01G06800	96.9231	96.9231
Os01g0206700	OBART01G06810	99.7831	99.7831
Os01g0206800	OBART01G06820	98.5359	99.4092
Os01g0207200	OBART01G06840	84.9117	35.2902
Os01g0207400	OBART01G06850	100	44.0415
Os01g0207600	OBART01G06860	81.2092	81.8781
Os01g0207700	OBART01G06870	55.2124	15.2778
Os01g0208000	OBART11G03090	99.3939	50.3067
Os01g0208400	OBART01G06890	64.7727	93.8824
Os01g0208600	OBART01G06900	99.4753	99.1779
Os01g0208700	OBART01G06910	94.0828	99.6865
Os01g0209000	OBART01G06920	99.4755	94.6755
Os01g0209200	OBART01G06940	95.7198	92.4812
Os01g0209400	OBART01G06950	92.2078	100
Os01g0209500	OBART01G06960	34.7368	3.65448
Os01g0209700	OBART01G06970	39.403	100
Os01g0209800	OBART01G06980	100	100
Os01g0210200	OBART01G07010	97.4359	61.6883
Os01g0210300	OBART01G07020	98.9619	98.9619
Os01g0210400	OBART01G07030	97.7956	98.1891
Os01g0210500	OBART01G07040	99.5413	98.6364
Os01g0210600	OBART01G07050	98.8024	99.3976
Os01g0210700	OBART01G07070	98.1697	98.0066
Os01g0210750	OBART01G07060	26.087	47.619
Os01g0210800	OBART01G07080	41.6667	13.1846
Os01g0211000	OBART01G07090	99.0421	51.3917
Os01g0211200	OBART01G07100	45.2381	95.7983
