Gene stable ID	Oryza sativa Indica gene stable ID	%id. target Oryza sativa Indica gene identical to query gene	%id. query gene identical to target Oryza sativa Indica gene
Os01g0104500	BGIOSGA002597	99.375	99.375
Os01g0104800	BGIOSGA002598	95.6589	99.5161
Os01g0104900	BGIOSGA002557	67.735	100
Os01g0105700	BGIOSGA002600	99.2268	99.4832
Os01g0105800	BGIOSGA002555	98.5507	98.5507
Os01g0105900	BGIOSGA002554	64.6438	100
Os01g0106200	BGIOSGA002602	81.1225	65.9751
Os01g0106300	BGIOSGA002552	99.6855	99.6855
Os01g0106400	BGIOSGA002551	100	100
Os01g0106500	BGIOSGA002550	100	99.0741
Os01g0106600	BGIOSGA002549	93.4931	98.556
Os01g0106700	BGIOSGA002603	97.1382	86.9693
Os01g0106900	BGIOSGA002548	99.7886	99.7886
Os01g0107000	BGIOSGA002547	86.2528	97.9849
Os01g0107700	BGIOSGA002613	96	98.5075
Os01g0107900	BGIOSGA002543	99.5215	99.84
Os01g0108200	BGIOSGA002616	99.4521	99.4521
Os01g0108400	BGIOSGA002617	58.0786	81.0976
Os01g0108600	BGIOSGA002618	100	100
Os01g0108600	BGIOSGA002619	67.8571	98.0645
Os01g0108800	BGIOSGA002620	96.1039	42.8571
Os01g0109300	BGIOSGA002621	100	100
Os01g0109500	BGIOSGA002623	100	100
Os01g0109700	BGIOSGA002542	95.4751	93.0882
Os01g0109750	BGIOSGA002541	83.9416	87.7863
Os01g0110100	BGIOSGA002625	37.0463	98.6667
Os01g0110100	BGIOSGA002626	99.6245	99.6245
Os01g0110200	BGIOSGA002539	100	100
Os01g0110400	BGIOSGA002627	99.7596	99.7596
Os01g0110500	BGIOSGA002538	99.7135	99.7135
Os01g0110600	BGIOSGA002628	99.6109	92.7536
Os01g0110700	BGIOSGA002537	97.2947	99.8018
Os01g0110800	BGIOSGA002536	99.7778	99.7778
Os01g0111000	BGIOSGA002629	87.0748	67.7249
Os01g0111100	BGIOSGA002534	98.6395	98.3051
Os01g0111100	BGIOSGA025870	30.6122	68.7023
Os01g0111200	BGIOSGA002630	99.0323	98.8728
Os01g0111400	BGIOSGA002631	98.0029	81.6885
Os01g0111500	BGIOSGA002533	96.6102	98.9583
Os01g0111600	BGIOSGA007632	98.8506	98.8506
Os01g0111700	BGIOSGA002532	90.8571	89.3258
Os01g0111800	BGIOSGA002632	100	100
Os01g0111900	BGIOSGA002633	100	100
Os01g0112000	BGIOSGA002634	100	100
Os01g0112100	BGIOSGA002530	97.0745	97.8552
Os01g0112400	BGIOSGA002528	97.9021	97.561
Os01g0112500	BGIOSGA002527	96.0674	92.6829
Os01g0112800	BGIOSGA002636	54.4858	55.4566
Os01g0112800	BGIOSGA002638	62.9103	52.7523
Os01g0113000	BGIOSGA040104	4.67365	100
Os01g0113000	BGIOSGA040408	26.2691	91.0615
Os01g0113150	BGIOSGA002636	60.4134	42.3163
Os01g0113150	BGIOSGA002638	85.8506	49.5413
Os01g0113200	BGIOSGA002525	93.7186	62.3746
Os01g0113350	BGIOSGA002639	97.546	63.4098
Os01g0113650	BGIOSGA002644	97.561	59.9813
Os01g0113900	BGIOSGA027538	50.3529	83.2685
Os01g0115566	BGIOSGA038354	60.9562	86.4407
Os01g0115900	BGIOSGA002648	92.4528	92.803
Os01g0116300	BGIOSGA002649	85.4839	93.9716
Os01g0116400	BGIOSGA002510	99.2614	99.115
Os01g0116600	BGIOSGA002509	84.8855	71.2821
Os01g0117000	BGIOSGA023803	41.2162	88.4058
Os01g0117266	BGIOSGA026278	47.3333	19.346
Os01g0117400	BGIOSGA023803	98.0676	58.8406
Os01g0117600	BGIOSGA023803	46.4534	96.8116
Os01g0117900	BGIOSGA002653	98.9305	98.6667
Os01g0118100	BGIOSGA002654	100	48.6905
Os01g0118300	BGIOSGA002655	95.0588	99.5074
Os01g0118400	BGIOSGA002507	95.3925	99.4662
Os01g0118600	BGIOSGA002506	89.6429	94.0075
Os01g0118700	BGIOSGA002505	100	100
Os01g0119000	BGIOSGA002504	91.4938	99.5485
Os01g0119100	BGIOSGA002503	99.6558	86.2891
Os01g0119500	BGIOSGA038091	99.3562	99.3562
Os01g0120300	BGIOSGA002499	97.733	82.0296
Os01g0120400	BGIOSGA002498	100	100
Os01g0120500	BGIOSGA002497	99.2126	83.1683
Os01g0120600	BGIOSGA002661	77.305	80.4428
Os01g0120700	BGIOSGA002491	99.2982	99.2982
Os01g0120700	BGIOSGA002496	99.2982	99.2982
Os01g0120800	BGIOSGA002495	99.8986	99.8986
Os01g0121000	BGIOSGA002662	100	100
Os01g0121100	BGIOSGA002663	99.7076	99.7076
Os01g0121200	BGIOSGA002494	100	100
Os01g0121300	BGIOSGA002493	100	100
Os01g0121500	BGIOSGA002492	85	64.557
Os01g0121600	BGIOSGA002490	98.6395	100
Os01g0121700	BGIOSGA002489	100	100
Os01g0121800	BGIOSGA002664	100	100
Os01g0121900	BGIOSGA002665	99.6622	46.9745
Os01g0121950	BGIOSGA002666	54.4959	60.241
Os01g0122200	BGIOSGA002667	100	100
Os01g0122701	BGIOSGA002668	96.0396	36.3296
Os01g0123700	BGIOSGA002485	88.0795	100
Os01g0123800	BGIOSGA002674	100	100
Os01g0123900	BGIOSGA002484	95.3368	98.3957
Os01g0124000	BGIOSGA002483	100	100
Os01g0124100	BGIOSGA002482	98.0695	100
Os01g0124200	BGIOSGA002481	98.008	100
Os01g0124401	BGIOSGA002480	97.6378	99.5984
Os01g0124600	BGIOSGA002478	100	100
Os01g0124650	BGIOSGA002477	97.8378	100
Os01g0124900	BGIOSGA002676	98.4848	76.4706
Os01g0125000	BGIOSGA002679	98.8201	80.3357
Os01g0125500	BGIOSGA002680	91.1032	89.5105
Os01g0125550	BGIOSGA002476	100	100
Os01g0125600	BGIOSGA002681	44.5238	87.7934
Os01g0125600	BGIOSGA002682	36.9048	99.359
Os01g0125700	BGIOSGA002475	100	100
Os01g0125800	BGIOSGA002683	100	100
Os01g0125900	BGIOSGA002684	96.9897	97.6326
Os01g0126100	BGIOSGA002685	100	100
Os01g0126200	BGIOSGA002688	87.4582	88.7946
Os01g0126600	BGIOSGA002689	100	71.9643
Os01g0126900	BGIOSGA002690	91.5966	97.3214
Os01g0127000	BGIOSGA002473	98.1273	80.245
Os01g0127200	BGIOSGA002472	100	100
Os01g0127300	BGIOSGA002471	55.6017	94.6996
Os01g0127400	BGIOSGA002691	87.2642	69.0299
Os01g0127500	BGIOSGA002692	100	100
Os01g0127600	BGIOSGA002693	100	100
Os01g0127900	BGIOSGA002696	62.1495	98.8848
Os01g0128000	BGIOSGA002469	99.4286	99.4286
Os01g0128100	BGIOSGA002468	89.3471	94.8905
Os01g0128200	BGIOSGA002698	95.7792	99.6622
Os01g0128300	BGIOSGA002467	77.193	98.324
Os01g0128400	BGIOSGA002466	100	100
Os01g0128700	BGIOSGA002465	93.6364	47.6852
Os01g0128800	BGIOSGA002700	90.9871	25.7908
Os01g0129200	BGIOSGA002701	30.4183	88.8889
Os01g0129200	BGIOSGA002702	28.1369	88.0952
Os01g0129500	BGIOSGA002463	98.5782	99.3631
Os01g0129600	BGIOSGA002703	75.8112	83.4416
Os01g0129800	BGIOSGA002462	100	100
Os01g0130000	BGIOSGA002461	100	100
Os01g0130200	BGIOSGA002459	100	96.9466
Os01g0130400	BGIOSGA002704	99.5708	99.8924
Os01g0130900	BGIOSGA002458	98.2759	98.2759
Os01g0131300	BGIOSGA002706	99.4286	100
Os01g0131600	BGIOSGA002708	100	91.1504
Os01g0131800	BGIOSGA002709	100	100
Os01g0131900	BGIOSGA002456	100	100
Os01g0132000	BGIOSGA002455	100	100
Os01g0132200	BGIOSGA002454	99.5851	99.5851
Os01g0132400	BGIOSGA002453	88.9724	99.7191
Os01g0132500	BGIOSGA002711	84.9057	63.8298
Os01g0132700	BGIOSGA002452	98.6487	98.6487
Os01g0132766	BGIOSGA002451	99.2509	99.2509
Os01g0132800	BGIOSGA002450	99.6139	99.6139
Os01g0133100	BGIOSGA002712	89.1074	66.5537
Os01g0133200	BGIOSGA002449	100	100
Os01g0133400	BGIOSGA002713	90.4059	99.5935
Os01g0133500	BGIOSGA002714	99.8099	99.6205
Os01g0133600	BGIOSGA002715	97.8469	99.5134
Os01g0133700	BGIOSGA002716	98.6425	53.1707
Os01g0134500	BGIOSGA002719	100	100
Os01g0134700	BGIOSGA002720	99.5434	99.5434
Os01g0134800	BGIOSGA002448	99.7283	64.7266
Os01g0134900	BGIOSGA002447	99.8205	99.8205
Os01g0135700	BGIOSGA002446	100	100
Os01g0135800	BGIOSGA002721	100	100
Os01g0135900	BGIOSGA002722	98.7952	98.7952
Os01g0136000	BGIOSGA002445	98.6577	98.6577
Os01g0136200	BGIOSGA002723	100	100
Os01g0136300	BGIOSGA002442	100	100
Os01g0136450	BGIOSGA002725	35.2174	36.9863
Os01g0136450	BGIOSGA002728	48.6957	49.5575
Os01g0136500	BGIOSGA002739	72.8745	75.6302
Os01g0136700	BGIOSGA002438	69.5238	39.7459
Os01g0136800	BGIOSGA002437	98.7988	98.7988
Os01g0136900	BGIOSGA002724	98.0916	77.6435
Os01g0137200	BGIOSGA002725	32.9412	38.3562
Os01g0137200	BGIOSGA002728	45.098	50.885
Os01g0137282	BGIOSGA002730	65	53.8217
Os01g0137550	BGIOSGA002793	3.63636	1.0101
Os01g0137700	BGIOSGA002438	70.5085	37.7495
Os01g0138300	BGIOSGA002732	99.4065	99.4065
Os01g0138400	BGIOSGA002733	98.8287	90.7258
Os01g0138500	BGIOSGA002734	99.7015	99.7015
Os01g0138600	BGIOSGA002433	100	62.2222
Os01g0138800	BGIOSGA002735	98.8399	100
Os01g0138900	BGIOSGA002432	99.7758	99.7758
Os01g0139000	BGIOSGA002736	99.5305	99.5305
Os01g0139200	BGIOSGA002431	99.7019	99.8507
Os01g0139600	BGIOSGA002737	98.0831	93.3131
Os01g0139700	BGIOSGA002430	99	99
Os01g0139900	BGIOSGA002429	98.8235	98.8235
Os01g0140100	BGIOSGA002744	97.8175	98.6
Os01g0140400	BGIOSGA002745	99.373	99.373
Os01g0140700	BGIOSGA002747	99.0536	99.3671
Os01g0141000	BGIOSGA002748	98.9041	97.832
Os01g0141000	BGIOSGA002753	95.6164	100
Os01g0141100	BGIOSGA002427	99.67	69.746
Os01g0141300	BGIOSGA002426	94.1423	99.5575
Os01g0141600	BGIOSGA002752	71.8266	60.1036
Os01g0141700	BGIOSGA002424	99.3139	98.3022
Os01g0141900	BGIOSGA002754	97.8548	98.8333
Os01g0142100	BGIOSGA002422	99.6337	99.8165
Os01g0142200	BGIOSGA002755	99.4186	99.4186
Os01g0142300	BGIOSGA002756	99.7706	99.7706
Os01g0142500	BGIOSGA002421	99.6599	99.6599
Os01g0143100	BGIOSGA002419	100	100
Os01g0143300	BGIOSGA002418	99.6212	99.6212
Os01g0143400	BGIOSGA002417	84.5007	89.8574
Os01g0143700	BGIOSGA002415	98.8417	98.8417
Os01g0143800	BGIOSGA002414	99.6364	98.2079
Os01g0143900	BGIOSGA002413	100	100
Os01g0144000	BGIOSGA002412	76.5579	100
Os01g0144100	BGIOSGA002411	96.4646	100
Os01g0144200	BGIOSGA002761	90.367	89.5455
Os01g0144340	BGIOSGA002410	94.6779	65.4405
Os01g0144500	BGIOSGA002409	93.4426	81.1388
Os01g0144600	BGIOSGA002762	97.5	97.99
Os01g0144700	BGIOSGA002763	100	72.2222
Os01g0144800	BGIOSGA002764	100	88.8889
Os01g0145000	BGIOSGA002765	100	100
Os01g0145200	BGIOSGA002769	97.8723	97.8723
Os01g0146200	BGIOSGA002767	91.8182	91.8182
Os01g0146600	BGIOSGA002407	90	55.0218
Os01g0147001	BGIOSGA002772	29.8246	98.0769
Os01g0147200	BGIOSGA002774	100	99.4403
Os01g0147300	BGIOSGA002775	99.5098	47.4299
Os01g0147400	BGIOSGA002402	69.1667	65.098
Os01g0147600	BGIOSGA002401	88.0309	63.5098
Os01g0147700	BGIOSGA002399	98.5714	98.5714
Os01g0147800	BGIOSGA002398	97.6596	87.931
Os01g0147900	BGIOSGA002397	100	100
Os01g0148000	BGIOSGA002777	99.7503	40.9954
Os01g0148050	BGIOSGA002777	96.3427	47.3063
Os01g0148100	BGIOSGA002396	90.8377	89.2031
Os01g0148400	BGIOSGA002779	71.885	79.7872
Os01g0148500	BGIOSGA002393	98.9975	98.9975
Os01g0148700	BGIOSGA002780	87.013	97.6676
Os01g0149350	BGIOSGA002392	85.5556	66.8508
Os01g0149500	BGIOSGA002391	99.4944	99.4944
Os01g0149600	BGIOSGA002785	100	100
Os01g0149800	BGIOSGA002385	59.7561	90.7407
Os01g0149900	BGIOSGA002388	100	100
Os01g0150000	BGIOSGA002387	100	100
Os01g0150100	BGIOSGA002786	98	42.3631
Os01g0150200	BGIOSGA002787	99.5475	99.5475
Os01g0150400	BGIOSGA002788	72.9858	77.7778
Os01g0150800	BGIOSGA002790	97.3333	97.3333
Os01g0150950	BGIOSGA020971	51.5152	93.9698
Os01g0151100	BGIOSGA002794	97.075	99.2523
Os01g0151200	BGIOSGA002795	99.3464	99.3464
Os01g0151400	BGIOSGA002796	64.7619	24.0283
Os01g0151500	BGIOSGA002797	80.9091	89
Os01g0151600	BGIOSGA002799	100	100
Os01g0151700	BGIOSGA002792	73.8318	56.2945
Os01g0151900	BGIOSGA002801	97.0037	96.8224
Os01g0152100	BGIOSGA002383	78.6492	94.0104
Os01g0152200	BGIOSGA002382	43.8554	48.7936
Os01g0152300	BGIOSGA002381	99.3464	99.3464
Os01g0152800	BGIOSGA002807	99.9049	99.9049
Os01g0152900	BGIOSGA002379	100	100
Os01g0152950	BGIOSGA002378	97.2158	97.2158
Os01g0153000	BGIOSGA002808	93.762	98.9868
Os01g0153100	BGIOSGA002377	98.6928	98.6928
Os01g0153150	BGIOSGA002809	87.3418	46.3087
Os01g0153250	BGIOSGA002376	95.4895	85.6016
Os01g0153300	BGIOSGA002810	100	100
Os01g0153400	BGIOSGA002811	99.7396	53.2684
Os01g0153500	BGIOSGA002812	86.0082	83.6
Os01g0153600	BGIOSGA002375	99.6753	99.6753
Os01g0153700	BGIOSGA002374	69.6507	64.0562
Os01g0153800	BGIOSGA002813	90.7357	75.3394
Os01g0153900	BGIOSGA002370	39.2157	38.61
Os01g0153900	BGIOSGA002372	0	0
Os01g0153900	BGIOSGA002373	88.6274	89.6825
Os01g0153950	BGIOSGA002370	0	0
Os01g0153950	BGIOSGA002372	99.2248	99.2248
Os01g0153950	BGIOSGA002373	0	0
Os01g0154100	BGIOSGA002370	40.824	42.0849
Os01g0154100	BGIOSGA002372	0	0
Os01g0154100	BGIOSGA002373	41.1985	43.6508
Os01g0154500	BGIOSGA002815	98.7395	98.7395
Os01g0154600	BGIOSGA002816	99.5851	99.5851
Os01g0155000	BGIOSGA002368	98.8131	97.9412
Os01g0155300	BGIOSGA002818	99.1176	99.1176
Os01g0155400	BGIOSGA002366	92.1348	63.4675
Os01g0155500	BGIOSGA002819	92.8419	96.9866
Os01g0155600	BGIOSGA002365	100	100
Os01g0155800	BGIOSGA002820	98.3871	96.8254
Os01g0156000	BGIOSGA002364	85.9477	95.6364
Os01g0156300	BGIOSGA002363	100	100
Os01g0157400	BGIOSGA002825	99.5238	99.5238
Os01g0157500	BGIOSGA002358	83.4043	99.4924
Os01g0157600	BGIOSGA002826	96.2712	99.3007
Os01g0157700	BGIOSGA002827	84.9138	37.5238
Os01g0157800	BGIOSGA002357	66.0714	97.3684
Os01g0157900	BGIOSGA002828	99.1489	98.3122
Os01g0158000	BGIOSGA002829	99.4318	99.4318
Os01g0158100	BGIOSGA022743	27.7154	56.4885
Os01g0158200	BGIOSGA002830	97.8769	97.2574
Os01g0158400	BGIOSGA002354	87.7049	96.3964
Os01g0158800	BGIOSGA002352	56.3025	65.6863
Os01g0158900	BGIOSGA002351	98.5699	98.8962
Os01g0159000	BGIOSGA002350	96.6851	65.0558
Os01g0159200	BGIOSGA002349	99.4681	69.5167
Os01g0159300	BGIOSGA002348	97.4052	100
Os01g0159400	BGIOSGA002347	100	100
Os01g0159500	BGIOSGA002832	55.5556	36.5854
Os01g0159600	BGIOSGA002346	100	100
Os01g0159800	BGIOSGA002833	78.1022	41.4729
Os01g0160100	BGIOSGA002345	99.1625	99.1625
Os01g0160700	BGIOSGA002834	78.2779	94.8992
Os01g0161000	BGIOSGA002835	86.3772	56.9034
Os01g0161300	BGIOSGA002836	96.6469	91.9325
Os01g0162200	BGIOSGA002838	57.6389	65.5263
Os01g0162400	BGIOSGA002839	67.1429	68.4466
Os01g0162500	BGIOSGA036571	41.9753	33.1169
Os01g0163000	BGIOSGA002841	97.5309	94.8949
Os01g0164075	BGIOSGA002333	98.3146	94.5946
Os01g0164300	BGIOSGA002330	95.8763	94.898
Os01g0164400	BGIOSGA002844	93.2292	40.6818
Os01g0164500	BGIOSGA002329	99.0726	98.9198
Os01g0164600	BGIOSGA002328	99.3958	99.3958
Os01g0164700	BGIOSGA002845	66.9231	26.3636
Os01g0164800	BGIOSGA002327	98.0237	16.7116
Os01g0164900	BGIOSGA002327	86.2786	27.965
Os01g0165000	BGIOSGA002846	99.635	96.1268
Os01g0165100	BGIOSGA002326	100	100
Os01g0165200	BGIOSGA002325	99.5714	100
Os01g0165600	BGIOSGA002848	100	100
Os01g0165800	BGIOSGA029875	4.49173	6.95971
Os01g0166100	BGIOSGA002850	97.281	96.6967
Os01g0166300	BGIOSGA002851	47.2973	23.8636
Os01g0166500	BGIOSGA002319	34.5528	81.7308
Os01g0166500	BGIOSGA002320	51.626	79.375
Os01g0166700	BGIOSGA002852	90.2655	77.8626
Os01g0166800	BGIOSGA002318	97.99	89.8617
Os01g0167400	BGIOSGA002853	99.2593	99.2593
Os01g0167500	BGIOSGA002316	100	100
Os01g0167600	BGIOSGA002854	43.7853	96.2733
Os01g0167700	BGIOSGA002315	94.4134	90.7626
Os01g0167750	BGIOSGA002314	99.5223	99.5223
Os01g0167900	BGIOSGA002312	99.7685	99.7685
Os01g0168100	BGIOSGA002311	99.3255	99.3255
Os01g0168200	BGIOSGA002310	96.1832	75.4491
Os01g0168300	BGIOSGA002309	62.3684	99.1632
Os01g0168400	BGIOSGA002855	99.0632	99.5294
Os01g0168500	BGIOSGA002856	100	100
Os01g0168600	BGIOSGA002857	98.2877	59.0535
Os01g0168800	BGIOSGA002308	99.7024	99.7024
Os01g0169400	BGIOSGA002306	88.8446	99.1111
Os01g0169500	BGIOSGA002305	99.7286	99.7286
Os01g0169800	BGIOSGA002304	99.8028	99.8028
Os01g0169900	BGIOSGA002303	100	100
Os01g0170000	BGIOSGA002302	100	43.1122
Os01g0170100	BGIOSGA002860	100	58.8745
Os01g0170300	BGIOSGA002861	99.5524	99.5524
Os01g0170500	BGIOSGA002301	96.4871	99.5169
Os01g0170600	BGIOSGA002862	99.6324	59.6916
Os01g0170800	BGIOSGA002863	96.6408	33.3631
Os01g0170900	BGIOSGA002300	100	100
Os01g0171000	BGIOSGA002299	100	100
Os01g0171100	BGIOSGA002298	94.5596	39.545
Os01g0171800	BGIOSGA002295	98.5207	100
Os01g0172000	BGIOSGA002294	94.8148	31.2958
Os01g0172100	BGIOSGA002865	99.7455	99.7455
Os01g0172200	BGIOSGA002293	93.9394	94.5623
Os01g0172300	BGIOSGA002292	96.7742	97.8261
Os01g0172400	BGIOSGA002291	99.8768	99.8768
Os01g0172600	BGIOSGA002866	96.9163	68.9655
Os01g0172800	BGIOSGA002867	99.4764	99.4764
Os01g0172900	BGIOSGA002868	38.6441	41.6058
Os01g0173000	BGIOSGA002290	89.6175	83.6735
Os01g0173100	BGIOSGA002289	79.6053	97.5806
Os01g0173600	BGIOSGA002869	98.6047	98.1481
Os01g0173900	BGIOSGA002870	14.2857	99.537
Os01g0173900	BGIOSGA002871	12.8239	73.1061
Os01g0174000	BGIOSGA002286	36.0231	64.433
Os01g0174100	BGIOSGA002285	94.5946	94.5946
Os01g0174300	BGIOSGA002284	97.7492	97.7492
Os01g0174300	BGIOSGA002288	74.9196	60.6771
Os01g0174500	BGIOSGA002283	85.4785	47.1767
Os01g0174600	BGIOSGA002283	95.3405	48.4517
Os01g0174700	BGIOSGA002282	97.5659	97.9633
Os01g0174900	BGIOSGA002873	85.9459	51.9608
Os01g0175000	BGIOSGA002281	99.6109	75.0733
Os01g0175100	BGIOSGA002280	33.3333	77.9661
Os01g0175500	BGIOSGA002874	95.6067	96.4135
Os01g0175700	BGIOSGA002276	97.3214	99.2413
Os01g0176000	BGIOSGA002875	98.3936	98.1964
Os01g0176100	BGIOSGA002876	99.8004	99.8004
Os01g0176200	BGIOSGA002877	96.3783	91.7625
Os01g0176300	BGIOSGA002274	63.4586	99.2941
Os01g0176500	BGIOSGA002273	54.2067	99.5585
Os01g0176700	BGIOSGA002879	89.3082	98.3834
Os01g0176800	BGIOSGA002880	99.9085	99.9085
Os01g0176900	BGIOSGA002271	34.8684	60.2273
Os01g0177100	BGIOSGA002881	94.9829	99.8801
Os01g0177200	BGIOSGA002882	99.1184	99.1184
Os01g0177400	BGIOSGA002270	98.3784	97.5871
Os01g0177900	BGIOSGA002266	99.8597	98.0041
Os01g0178000	BGIOSGA002265	100	100
Os01g0178100	BGIOSGA002883	97.4057	98.3333
Os01g0178200	BGIOSGA002884	100	100
Os01g0178300	BGIOSGA002264	100	100
Os01g0178400	BGIOSGA002263	100	51.7677
Os01g0178500	BGIOSGA002262	100	100
Os01g0178700	BGIOSGA002886	95.0704	100
Os01g0178900	BGIOSGA002887	96.7681	38.6484
Os01g0179000	BGIOSGA002260	99.7712	99.0909
Os01g0179200	BGIOSGA002888	100	100
Os01g0179300	BGIOSGA002889	99.6979	98.8024
Os01g0179400	BGIOSGA002890	96.9555	99.5192
Os01g0179500	BGIOSGA002891	99.7217	99.7217
Os01g0179600	BGIOSGA002259	98.5626	99.1736
Os01g0179700	BGIOSGA002258	100	100
Os01g0179800	BGIOSGA002257	99.7625	88.983
Os01g0180000	BGIOSGA002256	99.8077	99.8077
Os01g0180300	BGIOSGA002255	98.1723	92.2699
Os01g0180400	BGIOSGA002254	89.8936	43.3333
Os01g0180600	BGIOSGA002252	99.1013	99.7533
Os01g0180700	BGIOSGA002251	99.0421	99.0421
Os01g0180800	BGIOSGA002892	95.9763	99.754
Os01g0180900	BGIOSGA002893	75.2969	91.3545
Os01g0181000	BGIOSGA002250	99.8319	99.8319
Os01g0182100	BGIOSGA016925	99.7802	99.7802
Os01g0182200	BGIOSGA014542	88.2114	100
Os01g0182300	BGIOSGA002248	97.076	99.4012
Os01g0182400	BGIOSGA002247	89.0873	99.117
Os01g0182500	BGIOSGA002896	99.0099	99.0099
Os01g0182600	BGIOSGA002246	99.8276	98.4694
Os01g0182700	BGIOSGA002245	100	100
Os01g0182832	BGIOSGA002897	98.1651	21.3502
Os01g0182900	BGIOSGA002897	100	10.8081
Os01g0183000	BGIOSGA002898	99.7275	99.4565
Os01g0183100	BGIOSGA002899	99.8127	99.8127
Os01g0183300	BGIOSGA002244	99.509	99.509
Os01g0183400	BGIOSGA002900	56.7227	90
Os01g0183500	BGIOSGA002901	97.3822	99.4652
Os01g0183600	BGIOSGA002902	99.4059	99.4059
Os01g0183800	BGIOSGA002903	95.6164	99.7143
Os01g0183850	BGIOSGA002904	98.7952	98.7952
Os01g0184000	BGIOSGA002906	99.4723	99.4723
Os01g0184100	BGIOSGA002242	100	100
Os01g0184500	BGIOSGA002241	93.12	94.1748
Os01g0184800	BGIOSGA002239	98.4064	98.4064
Os01g0184900	BGIOSGA002908	99.844	99.844
Os01g0185000	BGIOSGA017597	96.5753	84.9398
Os01g0185100	BGIOSGA002909	76.1421	52.8169
Os01g0185200	BGIOSGA002238	99.3719	99.3719
Os01g0185300	BGIOSGA002910	100	100
Os01g0185400	BGIOSGA002911	96.934	80.2734
Os01g0185500	BGIOSGA002912	87.1429	99.187
Os01g0185900	BGIOSGA002913	99.4083	99.4083
Os01g0186000	BGIOSGA002237	97.4093	87.4419
Os01g0186200	BGIOSGA002236	99.7468	99.7468
Os01g0186400	BGIOSGA002914	99.1968	99.1968
Os01g0186600	BGIOSGA002917	100	100
