Gene stable ID	Musa acuminata gene stable ID	%id. target Musa acuminata gene identical to query gene	%id. query gene identical to target Musa acuminata gene
CAA33966	GSMUA_AchrUn_randomG22780_001	90.3226	87.5
CAA33977	GSMUA_AchrUn_randomG08500_001	15.814	35.0515
CAA33980	GSMUA_Achr11G02890_001	27.972	47.0588
CAA33986	GSMUA_AchrUn_randomG03270_001	6.4186	53.0769
CAA33990	GSMUA_AchrUn_randomG00820_001	16.1943	48.1928
CAA33992	GSMUA_AchrUn_randomG21760_001	40.5556	82.9545
CAA33993	GSMUA_AchrUn_randomG21750_001	23.4714	85
CAA33996	GSMUA_AchrUn_randomG21790_001	34.1333	96.6038
CAA34000	GSMUA_Achr6G26560_001	15.0407	20.904
CAA34003	GSMUA_AchrUn_randomG06570_001	12.6506	54.7826
CAA34008	GSMUA_Achr6G22780_001	20.8487	74.3421
Os01g0100100	GSMUA_Achr6G28710_001	44.302	58.9015
Os01g0100100	GSMUA_Achr9G08200_001	47.8632	58.0311
Os01g0100400	GSMUA_Achr11G03830_001	64.4182	63.9866
Os01g0100400	GSMUA_Achr5G19890_001	64.7555	64.5378
Os01g0100500	GSMUA_Achr3G19470_001	56.6794	56.3567
Os01g0100500	GSMUA_Achr8G17460_001	47.7099	59.2417
Os01g0100600	GSMUA_Achr9G07410_001	34.9296	40.7895
Os01g0100700	GSMUA_Achr11G15170_001	88.5	90.7692
Os01g0100700	GSMUA_Achr8G00980_001	88	90.2564
Os01g0100700	GSMUA_Achr8G08850_001	89	91.2821
Os01g0100700	GSMUA_AchrUn_randomG00810_001	88	90.2564
Os01g0100800	GSMUA_Achr2G21220_001	32.0225	42.3792
Os01g0100800	GSMUA_Achr3G02530_001	32.8652	36.2229
Os01g0100800	GSMUA_Achr6G27660_001	30.8989	44.3548
Os01g0100900	GSMUA_Achr6G06370_001	74.9536	75.3731
Os01g0101300	GSMUA_Achr6G27630_001	67.3219	63.8695
Os01g0101600	GSMUA_Achr6G27700_001	46.9325	38.8654
Os01g0101700	GSMUA_Achr3G17350_001	41.4894	38.6139
Os01g0101700	GSMUA_Achr8G28320_001	31.383	53.1532
Os01g0101800	GSMUA_Achr3G17320_001	14.9408	39.6078
Os01g0101900	GSMUA_Achr10G29080_001	58.3333	60.8696
Os01g0101900	GSMUA_Achr11G10910_001	54.1667	56.5217
Os01g0101900	GSMUA_Achr11G19560_001	55.5556	57.971
Os01g0101900	GSMUA_Achr7G22960_001	58.3333	60.8696
Os01g0102000	GSMUA_Achr11G10920_001	51.7045	58.8362
Os01g0102300	GSMUA_Achr3G02560_001	39.2996	45.4955
Os01g0102400	GSMUA_Achr10G20180_001	9.50119	31.746
Os01g0102500	GSMUA_Achr6G06070_001	66.8675	65.8754
Os01g0102600	GSMUA_Achr6G10980_001	40.5204	37.2014
Os01g0102700	GSMUA_Achr10G18470_001	49.7561	49.7561
Os01g0102700	GSMUA_Achr2G21470_001	48.7805	61.7284
Os01g0102700	GSMUA_Achr3G02310_001	45.3659	67.8832
Os01g0102800	GSMUA_AchrUn_randomG10700_001	61.723	51.1292
Os01g0102900	GSMUA_Achr6G28670_001	53.9062	51.4925
Os01g0103000	GSMUA_Achr10G12100_001	44.3966	57.5419
Os01g0103000	GSMUA_Achr10G12110_001	21.9828	66.2338
Os01g0103000	GSMUA_Achr6G16430_001	72.8448	71.6102
Os01g0103000	GSMUA_Achr6G23800_001	74.569	73.617
Os01g0103100	GSMUA_Achr9G01100_001	60.7261	61.8487
Os01g0103600	GSMUA_Achr6G06170_001	64.3836	63.5135
Os01g0103700	GSMUA_Achr3G02400_001	32.1429	4.65517
Os01g0103800	GSMUA_Achr5G22220_001	47.7407	54.9774
Os01g0103800	GSMUA_Achr6G36370_001	50.0982	52.9046
Os01g0103800	GSMUA_Achr7G20740_001	37.1316	50.5348
Os01g0103900	GSMUA_Achr8G16540_001	55.0209	42.08
Os01g0104000	GSMUA_Achr10G28980_001	73.1532	73.1532
Os01g0104100	GSMUA_Achr10G05060_001	61.0048	57.6923
Os01g0104400	GSMUA_Achr11G25060_001	40.6716	38.3803
Os01g0104400	GSMUA_Achr3G09540_001	34.3284	55.0898
Os01g0104400	GSMUA_Achr5G27780_001	41.4179	34.5794
Os01g0104400	GSMUA_Achr6G32300_001	42.9104	39.3836
Os01g0104400	GSMUA_Achr6G32310_001	48.5075	40.3727
Os01g0104500	GSMUA_Achr10G05070_001	36.875	51.7544
Os01g0104500	GSMUA_Achr3G09520_001	38.125	38.3648
Os01g0104500	GSMUA_Achr3G18020_001	39.375	43.0034
Os01g0104500	GSMUA_Achr5G07600_001	36.875	47.9675
Os01g0104500	GSMUA_Achr6G08600_001	39.375	36.3112
Os01g0104500	GSMUA_Achr6G32290_001	38.125	35.2601
Os01g0104500	GSMUA_Achr7G18330_001	38.75	40.2597
Os01g0104500	GSMUA_Achr8G21470_001	43.75	27.1318
Os01g0104500	GSMUA_Achr9G16920_001	36.875	38.5621
Os01g0104600	GSMUA_Achr7G07400_001	36.0078	76.3485
Os01g0104800	GSMUA_Achr6G08480_001	40.9302	39.9395
Os01g0104900	GSMUA_Achr10G20700_001	48.0769	53.8278
Os01g0104900	GSMUA_Achr8G18630_001	46.7949	52.6442
Os01g0105700	GSMUA_Achr2G23100_001	21.3918	38.4259
Os01g0105700	GSMUA_Achr3G14500_001	22.6804	30.3448
Os01g0105700	GSMUA_Achr3G20780_001	23.4536	26.2248
Os01g0105700	GSMUA_Achr8G18650_001	21.6495	30.7692
Os01g0105700	GSMUA_AchrUn_randomG23330_001	23.1959	28.0374
Os01g0105900	GSMUA_Achr2G22960_001	13.1926	66.6667
Os01g0105900	GSMUA_Achr3G01160_001	71.2401	51.7241
Os01g0106200	GSMUA_Achr10G20570_001	76.0204	78.4211
Os01g0106200	GSMUA_Achr2G22950_001	72.9592	74.8691
Os01g0106200	GSMUA_Achr6G03220_001	45.9184	81.0811
Os01g0106200	GSMUA_Achr6G09020_001	75	77.3684
Os01g0106300	GSMUA_Achr1G27480_001	30.1887	50.5263
Os01g0106300	GSMUA_Achr1G27490_001	17.6101	61.5385
Os01g0106300	GSMUA_Achr2G14320_001	53.1447	54.1667
Os01g0106300	GSMUA_Achr4G24530_001	55.3459	46.1942
Os01g0106300	GSMUA_Achr7G00040_001	52.5157	54.0453
Os01g0106400	GSMUA_Achr1G27480_001	31.5287	52.1053
Os01g0106400	GSMUA_Achr1G27490_001	17.1975	59.3407
Os01g0106400	GSMUA_Achr2G14320_001	57.3248	57.6923
Os01g0106400	GSMUA_Achr4G24530_001	55.0955	45.4068
Os01g0106400	GSMUA_Achr7G00040_001	56.6879	57.6052
Os01g0106700	GSMUA_Achr6G09140_001	48.8962	48.9762
Os01g0106900	GSMUA_Achr2G22890_001	84.3552	64.9837
Os01g0106900	GSMUA_Achr3G20790_001	82.8753	83.2272
Os01g0107000	GSMUA_Achr10G20380_001	32.3725	30.4802
Os01g0107700	GSMUA_Achr1G12110_001	44.3636	51.5856
Os01g0107700	GSMUA_Achr1G20600_001	49.2727	59.1703
Os01g0107700	GSMUA_Achr1G20610_001	50.3636	54.4204
Os01g0107700	GSMUA_Achr2G09610_001	44.3636	45.951
Os01g0107900	GSMUA_Achr10G20320_001	8.93142	37.3333
Os01g0107900	GSMUA_Achr10G20330_001	11.3238	50
Os01g0107900	GSMUA_Achr9G00820_001	48.0064	46.3077
Os01g0108000	GSMUA_Achr1G20630_001	51.5831	51.7196
Os01g0108000	GSMUA_Achr8G14450_001	53.6939	56.8436
Os01g0108200	GSMUA_Achr11G16750_001	73.9726	67.2478
Os01g0108200	GSMUA_Achr4G25790_001	70.137	70.7182
Os01g0108200	GSMUA_Achr5G18980_001	73.5616	73.0612
Os01g0108400	GSMUA_Achr2G14390_001	28.821	37.931
Os01g0108400	GSMUA_Achr2G14460_001	28.821	37.931
Os01g0108400	GSMUA_Achr3G20800_001	30.5677	41.6667
Os01g0108400	GSMUA_Achr4G24440_001	27.5109	36
Os01g0108400	GSMUA_Achr7G12070_001	29.2576	38.9535
Os01g0108600	GSMUA_Achr2G14390_001	39.2857	50.5747
Os01g0108600	GSMUA_Achr2G14460_001	39.2857	50.5747
Os01g0108600	GSMUA_Achr3G20800_001	39.7321	52.9762
Os01g0108600	GSMUA_Achr4G24440_001	38.3929	49.1429
Os01g0108600	GSMUA_Achr7G12070_001	40.625	52.907
Os01g0108800	GSMUA_Achr8G14440_001	57.1429	25.6809
Os01g0108800	GSMUA_Achr9G00810_001	52.8139	21.6312
Os01g0109300	GSMUA_Achr10G25340_001	67.7419	70.1461
Os01g0109700	GSMUA_Achr11G13590_001	61.9155	59.5791
Os01g0109700	GSMUA_Achr1G20690_001	64.3288	63.6092
Os01g0109700	GSMUA_Achr2G09580_001	60.0302	58.4435
Os01g0109700	GSMUA_Achr9G00800_001	64.6305	61.3897
Os01g0109750	GSMUA_Achr1G20680_001	33.5766	25
Os01g0109750	GSMUA_Achr2G09590_001	34.3066	29.1925
Os01g0110100	GSMUA_Achr1G20650_001	65.2065	65.4523
Os01g0110500	GSMUA_Achr10G20290_001	54.298	52.8591
Os01g0110500	GSMUA_Achr2G09600_001	53.7249	57.0776
Os01g0110500	GSMUA_Achr2G14510_001	51.7192	54.9467
Os01g0110500	GSMUA_Achr4G24400_001	48.8539	51.5885
Os01g0110700	GSMUA_Achr1G20720_001	73.1401	66.8728
Os01g0110800	GSMUA_Achr10G20250_001	41.7778	50.9485
Os01g0110800	GSMUA_Achr8G03860_001	46.6667	58.9888
Os01g0110800	GSMUA_Achr9G00780_001	50.8889	51.3453
Os01g0110800	GSMUA_AchrUn_randomG20550_001	44	53.5135
Os01g0111100	GSMUA_Achr8G14410_001	51.0204	41.3223
Os01g0111200	GSMUA_Achr1G20740_001	54.5161	57.3854
Os01g0111200	GSMUA_Achr2G07060_001	52.5806	54.9747
Os01g0111200	GSMUA_Achr9G00760_001	50.6452	52.2463
Os01g0111400	GSMUA_Achr6G09360_001	54.3509	58.7057
Os01g0111500	GSMUA_Achr10G20230_001	35.9322	35.5705
Os01g0111500	GSMUA_Achr2G22860_001	36.9492	33.8509
Os01g0111500	GSMUA_Achr3G01250_001	26.1017	63.6364
Os01g0111500	GSMUA_Achr6G09370_001	38.3051	33.3333
Os01g0111600	GSMUA_Achr3G20880_001	67.2414	68.0233
Os01g0111600	GSMUA_Achr6G09410_001	67.2414	68.0233
Os01g0111600	GSMUA_AchrUn_randomG20510_001	67.2414	68.0233
Os01g0112100	GSMUA_Achr6G27360_001	35.3723	32.8395
Os01g0112500	GSMUA_Achr10G20190_001	65.4494	61.1549
Os01g0112500	GSMUA_Achr6G09450_001	54.7753	55.3977
Os01g0112500	GSMUA_AchrUn_randomG12570_001	64.8876	60.4712
Os01g0113300	GSMUA_Achr10G20160_001	13.3536	48.3517
Os01g0113300	GSMUA_Achr10G20170_001	38.9985	43.6333
Os01g0113300	GSMUA_Achr1G12150_001	39.1502	39.8148
Os01g0113300	GSMUA_Achr1G12320_001	36.7223	40.8784
Os01g0113400	GSMUA_Achr10G20160_001	13.7371	51.0989
Os01g0113400	GSMUA_Achr10G20170_001	35.7459	41.0866
Os01g0113400	GSMUA_Achr1G12150_001	37.9616	39.6605
Os01g0113400	GSMUA_Achr1G12320_001	35.1551	40.2027
Os01g0113700	GSMUA_Achr10G20160_001	13.5766	51.0989
Os01g0113700	GSMUA_Achr10G20170_001	35.6204	41.4261
Os01g0113700	GSMUA_Achr1G12150_001	38.1022	40.2778
Os01g0113700	GSMUA_Achr1G12320_001	35.3285	40.8784
Os01g0114100	GSMUA_Achr10G20160_001	14.1123	51.0989
Os01g0114100	GSMUA_Achr10G20170_001	32.0182	35.8234
Os01g0114100	GSMUA_Achr1G12150_001	32.9287	33.4877
Os01g0114100	GSMUA_Achr1G12320_001	31.4112	34.9662
Os01g0114400	GSMUA_Achr10G20160_001	25.4438	47.2527
Os01g0114400	GSMUA_Achr10G20170_001	50	28.6927
Os01g0114400	GSMUA_Achr1G12150_001	50.5917	26.3889
Os01g0114400	GSMUA_Achr1G12320_001	44.9704	25.6757
Os01g0114600	GSMUA_Achr10G20160_001	13.8129	52.7473
Os01g0114600	GSMUA_Achr10G20170_001	35.8273	42.275
Os01g0114600	GSMUA_Achr1G12150_001	39.5683	42.4383
Os01g0114600	GSMUA_Achr1G12320_001	34.964	41.0473
Os01g0115200	GSMUA_Achr4G18280_001	1.28205	1.86916
Os01g0115500	GSMUA_Achr10G20160_001	25.0737	46.7033
Os01g0115500	GSMUA_Achr10G20170_001	51.0324	29.3718
Os01g0115500	GSMUA_Achr1G12150_001	53.0973	27.7778
Os01g0115500	GSMUA_Achr1G12320_001	48.9676	28.0405
Os01g0115700	GSMUA_Achr10G20160_001	15.1274	52.1978
Os01g0115700	GSMUA_Achr10G20170_001	37.8981	40.4075
Os01g0115700	GSMUA_Achr1G12150_001	41.242	39.9691
Os01g0115700	GSMUA_Achr1G12320_001	36.9427	39.1892
Os01g0115750	GSMUA_Achr10G20160_001	13.7168	51.0989
Os01g0115750	GSMUA_Achr10G20170_001	36.2832	41.7657
Os01g0115750	GSMUA_Achr1G12150_001	37.0206	38.7346
Os01g0115750	GSMUA_Achr1G12320_001	33.6283	38.5135
Os01g0116000	GSMUA_Achr10G20160_001	13.8889	52.1978
Os01g0116000	GSMUA_Achr10G20170_001	36.2573	42.1053
Os01g0116000	GSMUA_Achr1G12150_001	38.3041	40.4321
Os01g0116000	GSMUA_Achr1G12320_001	34.6491	40.0338
Os01g0116200	GSMUA_Achr10G20160_001	12.9577	50.5494
Os01g0116200	GSMUA_Achr10G20170_001	34.7887	41.9355
Os01g0116200	GSMUA_Achr1G12150_001	36.1972	39.6605
Os01g0116200	GSMUA_Achr1G12320_001	33.5211	40.2027
Os01g0116400	GSMUA_Achr10G20160_001	13.8848	51.6483
Os01g0116400	GSMUA_Achr10G20170_001	36.0414	41.4261
Os01g0116400	GSMUA_Achr1G12150_001	38.4047	40.1235
Os01g0116400	GSMUA_Achr1G12320_001	34.8597	39.8649
Os01g0116600	GSMUA_Achr1G00050_001	50.3817	75
Os01g0116800	GSMUA_Achr10G20160_001	25	51.6483
Os01g0116800	GSMUA_Achr10G20170_001	52.9255	33.7861
Os01g0116800	GSMUA_Achr1G12150_001	58.7766	34.1049
Os01g0116800	GSMUA_Achr1G12320_001	52.3936	33.277
Os01g0117000	GSMUA_Achr10G20160_001	10.2703	41.7582
Os01g0117000	GSMUA_Achr10G20170_001	31.2162	39.219
Os01g0117000	GSMUA_Achr1G12150_001	34.1892	39.0432
Os01g0117000	GSMUA_Achr1G12320_001	30	37.5
Os01g0117200	GSMUA_Achr10G20160_001	12.7248	50.5494
Os01g0117200	GSMUA_Achr10G20170_001	34.4398	42.275
Os01g0117200	GSMUA_Achr1G12150_001	35.9613	40.1235
Os01g0117200	GSMUA_Achr1G12320_001	33.8866	41.3851
Os01g0117400	GSMUA_Achr10G20160_001	25.1208	28.5714
Os01g0117400	GSMUA_Achr10G20170_001	49.2754	17.3175
Os01g0117400	GSMUA_Achr1G12150_001	53.1401	16.9753
Os01g0117400	GSMUA_Achr1G12320_001	42.029	14.6959
Os01g0117600	GSMUA_Achr10G20160_001	13.0737	51.6483
Os01g0117600	GSMUA_Achr10G20170_001	34.9096	42.6146
Os01g0117600	GSMUA_Achr1G12150_001	37.6912	41.821
Os01g0117600	GSMUA_Achr1G12320_001	33.7969	41.0473
Os01g0117900	GSMUA_Achr10G20140_001	72.1925	74.5856
Os01g0117900	GSMUA_Achr6G09500_001	70.8556	73.4072
Os01g0118000	GSMUA_Achr6G09510_001	82.732	91.1932
Os01g0118000	GSMUA_AchrUn_randomG16350_001	85.3093	84.4388
Os01g0118100	GSMUA_Achr3G20920_001	78.8509	51.5588
Os01g0118300	GSMUA_Achr10G20130_001	81.6471	81.4554
Os01g0118300	GSMUA_Achr3G20930_001	80.9412	80.7512
Os01g0118300	GSMUA_Achr6G09550_001	81.4118	81.2207
Os01g0118300	GSMUA_AchrUn_randomG16370_001	78.8235	78.6385
Os01g0118400	GSMUA_Achr10G20100_001	32.4232	34.5455
Os01g0118400	GSMUA_Achr10G25350_001	30.0341	28.6179
Os01g0118400	GSMUA_Achr2G22810_001	28.4983	40.048
Os01g0118400	GSMUA_Achr4G24380_001	31.7406	37.2
Os01g0118400	GSMUA_Achr7G12060_001	32.9352	20.4233
Os01g0118600	GSMUA_Achr10G20090_001	30.8929	37.9386
Os01g0118600	GSMUA_Achr11G13560_001	26.4286	34.7418
Os01g0118600	GSMUA_Achr1G12160_001	28.9286	34.1772
Os01g0118600	GSMUA_Achr1G20820_001	32.8571	34.1373
Os01g0118600	GSMUA_Achr1G20830_001	29.4643	37.7574
Os01g0118600	GSMUA_Achr1G20840_001	31.0714	30.2609
Os01g0118600	GSMUA_Achr1G26750_001	29.4643	44.4744
Os01g0118600	GSMUA_Achr3G01270_001	32.1429	34.9515
Os01g0118600	GSMUA_Achr3G20940_001	31.6071	33.4594
Os01g0118600	GSMUA_Achr6G09580_001	31.9643	34.1603
Os01g0118600	GSMUA_Achr9G00660_001	31.6071	34.9112
Os01g0118600	GSMUA_Achr9G00670_001	29.8214	37.9545
Os01g0118600	GSMUA_Achr9G00680_001	28.5714	38.0952
Os01g0118600	GSMUA_AchrUn_randomG16380_001	28.5714	39.1198
Os01g0118700	GSMUA_Achr10G20090_001	32.4324	36.8421
Os01g0118700	GSMUA_Achr11G13560_001	26.834	32.6291
Os01g0118700	GSMUA_Achr1G12160_001	35.1351	38.3966
Os01g0118700	GSMUA_Achr1G20820_001	32.2394	30.9833
Os01g0118700	GSMUA_Achr1G20830_001	31.4672	37.2998
Os01g0118700	GSMUA_Achr1G20840_001	36.4865	32.8696
Os01g0118700	GSMUA_Achr1G26750_001	31.0811	43.3962
Os01g0118700	GSMUA_Achr3G01270_001	36.6795	36.8932
Os01g0118700	GSMUA_Achr3G20940_001	38.9961	38.1853
Os01g0118700	GSMUA_Achr6G09580_001	35.5212	35.1145
Os01g0118700	GSMUA_Achr9G00660_001	37.2587	38.0671
Os01g0118700	GSMUA_Achr9G00670_001	33.5907	39.5455
Os01g0118700	GSMUA_Achr9G00680_001	28.3784	35
Os01g0118700	GSMUA_AchrUn_randomG16380_001	33.5907	42.5428
Os01g0119000	GSMUA_Achr10G20090_001	33.8174	35.7456
Os01g0119000	GSMUA_Achr11G13560_001	28.0083	31.6901
Os01g0119000	GSMUA_Achr1G12160_001	36.9295	37.5527
Os01g0119000	GSMUA_Achr1G20820_001	34.4398	30.7978
Os01g0119000	GSMUA_Achr1G20830_001	33.195	36.6133
Os01g0119000	GSMUA_Achr1G20840_001	35.4772	29.7391
Os01g0119000	GSMUA_Achr1G26750_001	30.7054	39.8922
Os01g0119000	GSMUA_Achr3G01270_001	33.195	31.068
Os01g0119000	GSMUA_Achr3G20940_001	36.5145	33.2703
Os01g0119000	GSMUA_Achr6G09580_001	34.6473	31.8702
Os01g0119000	GSMUA_Achr9G00660_001	36.9295	35.1085
Os01g0119000	GSMUA_Achr9G00670_001	35.6846	39.0909
Os01g0119000	GSMUA_Achr9G00680_001	29.4606	33.8095
Os01g0119000	GSMUA_AchrUn_randomG16380_001	32.5726	38.3863
Os01g0119100	GSMUA_Achr10G20090_001	30.4647	38.8158
Os01g0119100	GSMUA_Achr11G13560_001	28.0551	38.2629
Os01g0119100	GSMUA_Achr1G12160_001	32.5301	39.8734
Os01g0119100	GSMUA_Achr1G20820_001	32.8744	35.436
Os01g0119100	GSMUA_Achr1G20830_001	30.9811	41.1899
Os01g0119100	GSMUA_Achr1G20840_001	30.9811	31.3043
Os01g0119100	GSMUA_Achr1G26750_001	28.0551	43.9353
Os01g0119100	GSMUA_Achr3G01270_001	32.7022	36.8932
Os01g0119100	GSMUA_Achr3G20940_001	31.3253	34.4045
Os01g0119100	GSMUA_Achr6G09580_001	31.8417	35.3053
Os01g0119100	GSMUA_Achr9G00660_001	32.358	37.0809
Os01g0119100	GSMUA_Achr9G00670_001	29.9484	39.5455
Os01g0119100	GSMUA_Achr9G00680_001	28.5714	39.5238
Os01g0119100	GSMUA_AchrUn_randomG16380_001	32.358	45.9658
Os01g0120300	GSMUA_Achr2G22790_001	76.8262	63.9413
Os01g0120400	GSMUA_Achr10G20070_001	62.5	63.7066
Os01g0120500	GSMUA_Achr9G00620_001	58.2677	60.4082
Os01g0120600	GSMUA_Achr10G20060_001	46.8085	45.5172
Os01g0120600	GSMUA_Achr2G22780_001	46.4539	48.3395
Os01g0120800	GSMUA_Achr3G23190_001	68.8641	68.1727
Os01g0120800	GSMUA_Achr5G26490_001	68.4584	70.3858
Os01g0121000	GSMUA_Achr10G20050_001	36.8159	48.366
Os01g0121000	GSMUA_Achr6G09590_001	37.8109	48.1013
Os01g0121100	GSMUA_Achr3G17640_001	56.4327	58.3082
Os01g0121200	GSMUA_Achr10G25370_001	46.8401	48.8372
Os01g0121200	GSMUA_Achr2G14560_001	56.5056	60.0791
Os01g0121200	GSMUA_Achr2G22770_001	59.8513	59.6296
Os01g0121200	GSMUA_Achr3G01280_001	59.1078	44.5378
Os01g0121200	GSMUA_AchrUn_randomG16390_001	54.6468	61.5063
Os01g0121300	GSMUA_Achr10G20040_001	46.4815	44.5826
Os01g0121300	GSMUA_Achr5G10030_001	47.2222	46.3636
Os01g0121500	GSMUA_Achr1G20910_001	41.6667	32.6797
Os01g0121500	GSMUA_Achr6G26390_001	40	31.3725
Os01g0121500	GSMUA_Achr9G00610_001	39.1667	30.719
Os01g0121600	GSMUA_Achr1G20910_001	40.1361	38.5621
Os01g0121600	GSMUA_Achr6G26390_001	40.8163	39.2157
Os01g0121600	GSMUA_Achr9G00610_001	40.1361	38.5621
Os01g0121700	GSMUA_Achr10G20030_001	77.2455	77.0149
Os01g0121800	GSMUA_Achr10G20020_001	68.6567	67.3171
Os01g0121800	GSMUA_Achr2G07130_001	68.408	61.1111
Os01g0125600	GSMUA_Achr10G25390_001	41.1905	49.7126
Os01g0125600	GSMUA_Achr2G22760_001	38.0952	45.584
Os01g0125600	GSMUA_Achr3G01290_001	42.381	47.9784
Os01g0125600	GSMUA_Achr7G12020_001	40	48
Os01g0125700	GSMUA_Achr10G20000_001	67.3016	75.9857
Os01g0125800	GSMUA_Achr10G19980_001	75.4098	75.5337
Os01g0125800	GSMUA_Achr3G20980_001	68.6885	72.117
Os01g0125900	GSMUA_Achr1G26360_001	55.127	59.432
Os01g0125900	GSMUA_Achr8G34010_001	47.3189	49.1211
Os01g0126100	GSMUA_Achr3G01300_001	67.6976	68.2842
Os01g0126100	GSMUA_Achr3G20990_001	67.0103	67.591
Os01g0126200	GSMUA_Achr6G03290_001	58.0268	59.7246
Os01g0126600	GSMUA_Achr5G29050_001	11.4144	35.3846
Os01g0126900	GSMUA_Achr7G12010_001	66.5546	67.9245
Os01g0127000	GSMUA_Achr7G12010_001	59.5506	54.5455
Os01g0127200	GSMUA_Achr7G12010_001	53.8462	58.8336
Os01g0127300	GSMUA_Achr10G14420_001	48.3402	47.551
Os01g0127400	GSMUA_Achr1G20940_001	63.9151	59.2998
Os01g0127500	GSMUA_Achr6G09630_001	60.2374	63.4375
Os01g0127900	GSMUA_Achr11G13180_001	60.514	63.9506
Os01g0127900	GSMUA_Achr1G21030_001	60.0467	63.6139
Os01g0128000	GSMUA_Achr10G19840_001	34.8571	69.7143
Os01g0128000	GSMUA_Achr11G13200_001	45.1429	50.1587
Os01g0128000	GSMUA_Achr1G21020_001	36.8571	66.1538
Os01g0128000	GSMUA_Achr2G22640_001	43.1429	51.7123
Os01g0128000	GSMUA_Achr3G01370_001	30.2857	85.4839
Os01g0128000	GSMUA_Achr3G21060_001	41.1429	47.5248
Os01g0128000	GSMUA_Achr6G09760_001	44.2857	50.3247
Os01g0128000	GSMUA_Achr8G18460_001	41.7143	58.6345
Os01g0128100	GSMUA_Achr10G25450_001	66.323	67.0139
Os01g0128200	GSMUA_Achr1G21000_001	64.2857	60.1824
Os01g0128300	GSMUA_Achr10G25440_001	49.5614	47.0833
Os01g0128300	GSMUA_Achr7G11980_001	53.0702	50.4167
Os01g0128400	GSMUA_Achr10G19860_001	53.413	54.1522
Os01g0128400	GSMUA_Achr6G09730_001	19.6246	50.2183
Os01g0128400	GSMUA_Achr7G11990_001	52.901	53.5406
Os01g0128400	GSMUA_Achr8G18440_001	21.5017	44.523
Os01g0128400	GSMUA_Achr8G18450_001	30.0341	56.051
Os01g0128800	GSMUA_Achr10G19870_001	67.8112	19.1283
Os01g0129200	GSMUA_Achr10G19880_001	33.4601	39.2857
Os01g0129200	GSMUA_Achr11G13230_001	22.4335	46.4567
Os01g0129200	GSMUA_Achr1G20980_001	26.2357	41.8182
Os01g0129200	GSMUA_Achr2G22700_001	19.0114	26.455
Os01g0129200	GSMUA_Achr3G01350_001	21.2928	48.2759
Os01g0129200	GSMUA_Achr8G18430_001	28.1369	46.5409
Os01g0129500	GSMUA_Achr10G19890_001	29.2259	37.4494
Os01g0129500	GSMUA_Achr2G22710_001	29.2259	36.2035
Os01g0129500	GSMUA_Achr3G01340_001	35.861	35.085
Os01g0129500	GSMUA_Achr3G21050_001	29.2259	50.2717
Os01g0129500	GSMUA_Achr6G20590_001	35.0711	36.8771
Os01g0129500	GSMUA_AchrUn_randomG15730_001	31.4376	47.6077
