Gene stable ID	Amborella trichopoda gene stable ID	%id. target Amborella trichopoda gene identical to query gene	%id. query gene identical to target Amborella trichopoda gene
CAA34003	AMTR_s00012p00184530	34.3373	58.1633
CAA34003	AMTR_s00019p00029530	35.9438	80.9955
CAA34004	AMTR_s00081p00151960	10.9015	64.1975
CAA34007	AMTR_s00004p00270980	86.119	86.3636
CAA34007	AMTR_s00071p00011330	85.8357	86.0795
CAA34007	AMTR_s00390p00002060	98.017	98.017
CAA34013	AMTR_s00102p00106890	77.6204	85.8934
Os01g0100100	AMTR_s00066p00146980	48.433	50.8982
Os01g0100400	AMTR_s00085p00024720	63.575	63.468
Os01g0100400	AMTR_s00163p00059030	66.2732	66.3851
Os01g0100500	AMTR_s00020p00152550	45.6107	42.3009
Os01g0100600	AMTR_s00020p00156350	14.9296	29.1209
Os01g0100700	AMTR_s00068p00119380	88.5	89.8477
Os01g0100700	AMTR_s00090p00050460	88	88.8889
Os01g0100800	AMTR_s00013p00157940	27.5281	33.4471
Os01g0100900	AMTR_s00013p00166440	23.5622	69.0217
Os01g0101300	AMTR_s00013p00200700	61.4251	59.2417
Os01g0101600	AMTR_s00013p00253930	38.6503	58.1538
Os01g0101700	AMTR_s00064p00089690	40.4255	37.8109
Os01g0101800	AMTR_s00013p00248170	15.5325	11.0643
Os01g0102000	AMTR_s00013p00083070	56.8182	57.8035
Os01g0102300	AMTR_s00278p00013150	37.3541	42.6667
Os01g0102300	AMTR_s03074p00007770	15.1751	60
Os01g0102400	AMTR_s00213p00014190	11.639	25.9259
Os01g0102500	AMTR_s00016p00013560	56.3253	56.4955
Os01g0102600	AMTR_s00016p00187060	36.4312	29.697
Os01g0102700	AMTR_s00016p00171940	46.3415	51.0753
Os01g0102800	AMTR_s00067p00081580	68.2661	50.04
Os01g0102900	AMTR_s00016p00166750	43.75	40.5797
Os01g0103000	AMTR_s00030p00194030	63.7931	58.2677
Os01g0103000	AMTR_s00142p00090080	75.8621	74.8936
Os01g0103100	AMTR_s00016p00024040	65.1815	59.7579
Os01g0103600	AMTR_s00002p00072230	59.8174	59.8174
Os01g0103700	AMTR_s00142p00022670	24.4048	3.457
Os01g0103800	AMTR_s00022p00077030	37.3281	42.5056
Os01g0104000	AMTR_s00016p00259160	67.7477	68.3636
Os01g0104100	AMTR_s00119p00030390	30.3828	57.4661
Os01g0104100	AMTR_s00119p00032590	10.2871	58.1081
Os01g0104200	AMTR_s00119p00040230	40.118	38.0952
Os01g0104400	AMTR_s00010p00266400	41.791	38.488
Os01g0104400	AMTR_s00119p00043480	41.4179	34.1538
Os01g0104500	AMTR_s00119p00045570	42.8125	34.25
Os01g0104600	AMTR_s00027p00237750	60.274	61.6
Os01g0104800	AMTR_s00032p00138740	13.7984	52.0468
Os01g0104900	AMTR_s00014p00154350	44.4444	43.7895
Os01g0105700	AMTR_s00014p00103240	26.0309	26.2338
Os01g0105800	AMTR_s00036p00222220	33.3333	62.1622
Os01g0105800	AMTR_s00036p00224120	72.4638	73.5294
Os01g0105900	AMTR_s00011p00224000	66.2269	65.8793
Os01g0106200	AMTR_s00011p00228520	73.9796	75.1295
Os01g0106700	AMTR_s00058p00205060	26.6966	58.3557
Os01g0106700	AMTR_s00058p00206720	14.3091	24.4413
Os01g0106700	AMTR_s00058p00209330	5.96893	30.9979
Os01g0106900	AMTR_s00058p00194850	84.1438	83.9662
Os01g0107700	AMTR_s00111p00027680	51.8182	43.7788
Os01g0107900	AMTR_s00058p00181770	43.8596	43.3754
Os01g0108000	AMTR_s00058p00177950	40.2375	40.7754
Os01g0108200	AMTR_s00001p00185410	71.3699	71.2722
Os01g0108400	AMTR_s00068p00166340	20.9607	26.8156
Os01g0108600	AMTR_s00068p00166340	23.2143	29.0503
Os01g0108800	AMTR_s00058p00171710	50.2164	19.661
Os01g0109300	AMTR_s00058p00170360	63.7097	67.0913
Os01g0109700	AMTR_s00036p00199540	2.5641	26.9841
Os01g0109700	AMTR_s00090p00182010	59.8793	53.2886
Os01g0110100	AMTR_s00024p00253180	62.5782	63.3714
Os01g0110400	AMTR_s00061p00203040	72.3558	65.5773
Os01g0110700	AMTR_s00024p00252690	74.4928	71.0599
Os01g0110800	AMTR_s00024p00252070	44.2222	36.9202
Os01g0111100	AMTR_s00024p00252620	44.5578	35.8904
Os01g0111200	AMTR_s00024p00250820	45.3226	47.4662
Os01g0111400	AMTR_s00024p00250640	46.2197	48.7218
Os01g0111500	AMTR_s00024p00250370	35.5932	33.4395
Os01g0111600	AMTR_s00024p00249400	54.5977	54.5977
Os01g0112100	AMTR_s00078p00117800	27.1277	24.5192
Os01g0112400	AMTR_s00050p00166160	24.1259	30.3965
Os01g0112500	AMTR_s00147p00032390	50.5618	58.0645
Os01g0113300	AMTR_s00656p00003890	13.0501	58.1081
Os01g0113350	AMTR_s00002p00263020	35.4294	27.8313
Os01g0113400	AMTR_s00656p00003890	12.7031	58.1081
Os01g0113650	AMTR_s00002p00263020	35.2134	27.8313
Os01g0113700	AMTR_s00656p00003890	11.9708	55.4054
Os01g0114100	AMTR_s00656p00003890	13.0501	58.1081
Os01g0114400	AMTR_s00656p00003890	24.8521	56.7568
Os01g0114600	AMTR_s00656p00003890	12.3741	58.1081
Os01g0115200	AMTR_s00041p00208990	0	0
Os01g0115200	AMTR_s00041p00209130	18.5897	27.3585
Os01g0115500	AMTR_s00656p00003890	25.9587	59.4595
Os01g0115700	AMTR_s00656p00003890	14.172	60.1351
Os01g0115750	AMTR_s00656p00003890	12.8319	58.7838
Os01g0116000	AMTR_s00656p00003890	13.5965	62.8378
Os01g0116200	AMTR_s00656p00003890	12.2535	58.7838
Os01g0116400	AMTR_s00656p00003890	13.1462	60.1351
Os01g0116600	AMTR_s00002p00187140	53.1298	48.1328
Os01g0116800	AMTR_s00656p00003890	23.4043	59.4595
Os01g0117000	AMTR_s00656p00003890	11.7568	58.7838
Os01g0117200	AMTR_s00656p00003890	12.1715	59.4595
Os01g0117400	AMTR_s00656p00003890	11.1111	15.5405
Os01g0117600	AMTR_s00656p00003890	12.2392	59.4595
Os01g0117900	AMTR_s00006p00239950	54.2781	63.0435
Os01g0118000	AMTR_s00001p00172880	84.2784	83.4184
Os01g0118100	AMTR_s00006p00184140	77.5061	52.9215
Os01g0118300	AMTR_s00006p00177250	78.3529	78.5377
Os01g0120300	AMTR_s00106p00043170	26.5743	56.4171
Os01g0120300	AMTR_s00106p00044210	11.461	58.3333
Os01g0120300	AMTR_s00106p00046740	71.9144	59.0486
Os01g0120400	AMTR_s00045p00197400	55.303	47.7124
Os01g0120500	AMTR_s00006p00083160	52.7559	51.145
Os01g0120600	AMTR_s00006p00057170	40.4255	34.4411
Os01g0120700	AMTR_s00006p00028150	34.7368	34.9823
Os01g0120800	AMTR_s00111p00041460	64.503	66.5272
Os01g0121000	AMTR_s00105p00150760	29.8507	33.7079
Os01g0121100	AMTR_s00105p00145330	53.2164	54.0059
Os01g0121200	AMTR_s00105p00126340	51.3011	51.4925
Os01g0121300	AMTR_s00105p00121200	46.4815	45.8029
Os01g0121500	AMTR_s00105p00083010	32.5	24.6835
Os01g0121600	AMTR_s00105p00083010	31.9728	29.7468
Os01g0121700	AMTR_s00105p00057070	71.8563	71.7489
Os01g0121800	AMTR_s00105p00046400	30.3483	50.2058
Os01g0125600	AMTR_s00005p00268350	30.4762	35.5556
Os01g0125700	AMTR_s00143p00032830	57.7778	54.6547
Os01g0125800	AMTR_s00005p00267370	72.1311	72.0131
Os01g0125900	AMTR_s00001p00271430	47.7893	40.5104
Os01g0126200	AMTR_s00005p00266890	53.01	55.614
Os01g0127300	AMTR_s00009p00267810	28.8382	53.0534
Os01g0127400	AMTR_s00005p00266220	62.9717	64.6489
Os01g0127500	AMTR_s00005p00268810	49.5549	57.1918
Os01g0127900	AMTR_s00079p00142130	57.0093	57.9572
Os01g0128000	AMTR_s00079p00140660	36.5714	43.686
Os01g0128100	AMTR_s00079p00130410	62.8866	63.7631
Os01g0128300	AMTR_s00079p00127490	50.8772	48.9451
Os01g0128400	AMTR_s00106p00069950	44.3686	43.3333
Os01g0128800	AMTR_s00079p00116430	59.2275	16.6466
Os01g0129200	AMTR_s00079p00109960	30.038	29.0441
Os01g0129500	AMTR_s00079p00101030	29.5419	30.1127
Os01g0130000	AMTR_s00079p00063830	61.6368	61.3232
Os01g0130400	AMTR_s00079p00035080	45.9227	66.7707
Os01g0130400	AMTR_s00079p00035400	14.3777	59.0308
Os01g0130400	AMTR_s00079p00038550	57.4034	69.7523
Os01g0131300	AMTR_s00079p00027120	30.2857	25.8537
Os01g0131600	AMTR_s00079p00020610	21.6828	18.5596
Os01g0131800	AMTR_s00005p00269140	32.7381	49.1071
Os01g0132100	AMTR_s00029p00234330	33.5155	33.6996
Os01g0132100	AMTR_s00029p00236200	33.1512	34.5679
Os01g0132700	AMTR_s00137p00031080	56.0811	51.2346
Os01g0132766	AMTR_s00057p00086480	27.7154	32.5991
Os01g0132800	AMTR_s00062p00164830	58.3012	62.9167
Os01g0132800	AMTR_s00079p00167690	36.6795	56.8862
Os01g0133100	AMTR_s00079p00166070	18.1543	11.4177
Os01g0133400	AMTR_s00079p00172270	72.1402	71.6117
Os01g0133500	AMTR_s00079p00177100	48.289	52.3711
Os01g0134500	AMTR_s00079p00182550	68.6131	69.3727
Os01g0136050	AMTR_s00023p00249070	41.6667	44.9102
Os01g0136050	AMTR_s00074p00154530	37.7778	46.8966
Os01g0136400	AMTR_s00079p00188790	38.3234	46.2094
Os01g0136800	AMTR_s00079p00188790	33.7838	40.6137
Os01g0138600	AMTR_s00007p00111110	20.8333	10.7362
Os01g0138800	AMTR_s00044p00212310	63.5731	65.0831
Os01g0138900	AMTR_s00044p00222680	58.9686	68.8482
Os01g0139000	AMTR_s00044p00221140	36.6197	35.9447
Os01g0139200	AMTR_s00007p00243380	35.7675	34.7323
Os01g0139600	AMTR_s00007p00242740	59.7444	58.805
Os01g0140100	AMTR_s00007p00241440	61.5079	62.5
Os01g0140400	AMTR_s00007p00239300	55.0157	56.3403
Os01g0140500	AMTR_s00022p00214810	49.6124	43.5374
Os01g0140500	AMTR_s00065p00088770	49.6124	43.5374
Os01g0140700	AMTR_s00007p00238950	51.1041	41.8605
Os01g0141000	AMTR_s00007p00238950	50.411	47.5452
Os01g0141100	AMTR_s00168p00030500	91.4191	63.8249
Os01g0141300	AMTR_s00168p00030500	66.9456	73.7327
Os01g0141600	AMTR_s00029p00242750	60.3715	34.9462
Os01g0141700	AMTR_s00029p00242040	56.4322	59.9271
Os01g0141900	AMTR_s00029p00238480	49.3399	47.3851
Os01g0142100	AMTR_s00029p00233910	54.9451	63.1579
Os01g0142200	AMTR_s00029p00239730	72.6744	73.0994
Os01g0142300	AMTR_s00029p00223030	47.7064	75.9124
Os01g0142500	AMTR_s00029p00215750	38.7755	40
Os01g0143300	AMTR_s00012p00263410	48.1061	47.2119
Os01g0143700	AMTR_s00012p00263410	38.61	37.1747
Os01g0143800	AMTR_s00012p00263410	35.2727	36.0595
Os01g0144000	AMTR_s00137p00066590	48.9614	62.9771
Os01g0144000	AMTR_s00155p00007590	49.2582	63.6015
Os01g0144100	AMTR_s00012p00257960	68.1818	59.7345
Os01g0144200	AMTR_s00012p00253320	66.055	64.574
Os01g0144340	AMTR_s00012p00244490	58.9636	58.2296
Os01g0144500	AMTR_s00049p00221350	33.1967	28.8256
Os01g0144500	AMTR_s00181p00063450	17.2131	19.8113
Os01g0144600	AMTR_s00012p00240300	35.5	38.7978
Os01g0147200	AMTR_s00012p00237600	56.0976	61.0204
Os01g0147300	AMTR_s00012p00233600	61.2745	52.0833
Os01g0147300	AMTR_s00012p00233870	0	0
Os01g0147800	AMTR_s00012p00225450	41.9149	41.2134
Os01g0148000	AMTR_s00012p00210330	40.3246	15.8411
Os01g0148050	AMTR_s00012p00210330	44.4096	20.8436
Os01g0148400	AMTR_s00022p00215770	9.74441	19.4888
Os01g0149600	AMTR_s00010p00228620	79.7386	81.3333
Os01g0149600	AMTR_s00012p00067980	80.3922	83.1081
Os01g0149600	AMTR_s00012p00085300	76.4706	84.1727
Os01g0149600	AMTR_s00012p00085960	81.0458	83.7838
Os01g0149600	AMTR_s00012p00088340	76.4706	84.1727
Os01g0149600	AMTR_s00085p00145460	75.1634	84.5588
Os01g0149900	AMTR_s00012p00197050	16.9811	14.4495
Os01g0150000	AMTR_s00012p00190030	73.5484	72.6115
Os01g0150100	AMTR_s00012p00169450	41.3333	19.0769
Os01g0150200	AMTR_s00033p00239320	71.4932	64.4898
Os01g0150400	AMTR_s00033p00239320	35.0711	30.2041
Os01g0150500	AMTR_s00033p00239320	34.8416	31.4286
Os01g0150800	AMTR_s00033p00239320	54.2222	49.7959
Os01g0151100	AMTR_s00012p00152990	59.2322	61.9503
Os01g0151200	AMTR_s00012p00154880	63.3987	64.2384
Os01g0151400	AMTR_s00010p00064690	61.4286	21.1823
Os01g0151400	AMTR_s00010p00066490	23.8095	12.5313
Os01g0151500	AMTR_s00010p00064690	47.4545	42.8571
Os01g0151500	AMTR_s00010p00066490	35.0909	48.3709
Os01g0151600	AMTR_s00012p00053550	55.0279	64.1694
Os01g0151700	AMTR_s00012p00077460	69.7819	69.5652
Os01g0151900	AMTR_s00022p00129420	46.0674	44.7273
Os01g0152300	AMTR_s00010p00228620	79.085	80.6667
Os01g0152300	AMTR_s00012p00067980	79.7386	82.4324
Os01g0152300	AMTR_s00012p00085300	75.817	83.4532
Os01g0152300	AMTR_s00012p00085960	80.3922	83.1081
Os01g0152300	AMTR_s00012p00088340	75.817	83.4532
Os01g0152300	AMTR_s00085p00145460	74.5098	83.8235
Os01g0152687	AMTR_s00029p00235340	29.703	11.4943
Os01g0152687	AMTR_s00029p00236560	42.5743	14.7766
Os01g0152687	AMTR_s00029p00240040	27.7228	20.8955
Os01g0152900	AMTR_s00010p00228620	79.7386	81.3333
Os01g0152900	AMTR_s00012p00067980	80.3922	83.1081
Os01g0152900	AMTR_s00012p00085300	76.4706	84.1727
Os01g0152900	AMTR_s00012p00085960	81.0458	83.7838
Os01g0152900	AMTR_s00012p00088340	76.4706	84.1727
Os01g0152900	AMTR_s00085p00145460	75.1634	84.5588
Os01g0153100	AMTR_s00010p00228620	80.3922	82
Os01g0153100	AMTR_s00012p00067980	81.0458	83.7838
Os01g0153100	AMTR_s00012p00085300	77.1242	84.8921
Os01g0153100	AMTR_s00012p00085960	80.3922	83.1081
Os01g0153100	AMTR_s00012p00088340	77.1242	84.8921
Os01g0153100	AMTR_s00085p00145460	76.4706	86.0294
Os01g0153250	AMTR_s00019p00203030	38.9439	38.9868
Os01g0153300	AMTR_s00010p00228620	79.3548	82
Os01g0153300	AMTR_s00012p00067980	80	83.7838
Os01g0153300	AMTR_s00012p00085300	76.129	84.8921
Os01g0153300	AMTR_s00012p00085960	79.3548	83.1081
Os01g0153300	AMTR_s00012p00088340	76.129	84.8921
Os01g0153300	AMTR_s00085p00145460	74.8387	85.2941
Os01g0153400	AMTR_s00033p00135980	72.9167	41.7288
Os01g0153800	AMTR_s00004p00146330	38.4196	43.1193
Os01g0153800	AMTR_s00004p00146770	32.97	41.1565
Os01g0155000	AMTR_s00004p00146330	40.0593	41.2844
Os01g0155000	AMTR_s00004p00146770	35.0148	40.1361
Os01g0155200	AMTR_s00024p00153080	39.3502	41.4449
Os01g0155200	AMTR_s00024p00153540	21.2996	58.2237
Os01g0155200	AMTR_s00072p00040840	32.3706	45.4392
Os01g0155200	AMTR_s00072p00045010	42.7196	44.2643
Os01g0155200	AMTR_s00072p00048160	30.3249	50
Os01g0155300	AMTR_s00034p00239800	33.5294	36.6559
Os01g0155300	AMTR_s00034p00240460	37.9412	34.5844
Os01g0155400	AMTR_s00034p00227920	49.2135	32.1114
Os01g0155500	AMTR_s00080p00131040	38.9957	43.2977
Os01g0155600	AMTR_s00007p00189640	62.963	63.75
Os01g0157700	AMTR_s00080p00165150	29.7414	19.7708
Os01g0157800	AMTR_s00014p00248230	75	74.3363
Os01g0157900	AMTR_s00023p00246550	45.9574	45.7627
Os01g0158000	AMTR_s00108p00104150	61.7424	61.2782
Os01g0158400	AMTR_s00032p00088190	18.0328	23.7838
Os01g0158400	AMTR_s00032p00090150	18.0328	27.673
Os01g0158500	AMTR_s00056p00173860	66.2207	61.3953
Os01g0158600	AMTR_s00029p00234330	37.0225	34.6154
Os01g0158600	AMTR_s00029p00236200	37.1205	35.9924
Os01g0158900	AMTR_s00007p00070690	17.3817	42.0213
Os01g0159000	AMTR_s00130p00113960	38.674	27.451
Os01g0159000	AMTR_s00130p00117930	17.1271	31.6327
Os01g0159200	AMTR_s00007p00166710	54.2553	41.6327
Os01g0159400	AMTR_s00007p00127410	76.9053	76.9053
Os01g0159800	AMTR_s00007p00170710	18.9781	11.8182
Os01g0160100	AMTR_s00016p00121780	11.5578	38.1215
Os01g0160200	AMTR_s00029p00234330	36.8829	34.8901
Os01g0160200	AMTR_s00029p00236200	36.6893	35.9924
Os01g0160700	AMTR_s00029p00234330	36.3992	34.0659
Os01g0160700	AMTR_s00029p00236200	36.3014	35.2327
Os01g0161000	AMTR_s00029p00234330	37.2754	22.8022
Os01g0161000	AMTR_s00029p00236200	37.1257	23.5518
Os01g0161300	AMTR_s00029p00234330	33.432	31.044
Os01g0161300	AMTR_s00029p00236200	32.9389	31.7189
Os01g0162800	AMTR_s00029p00234330	34.6899	32.7839
Os01g0162800	AMTR_s00029p00236200	34.7868	34.0931
Os01g0163000	AMTR_s00029p00234330	38.0658	33.8828
Os01g0163000	AMTR_s00029p00236200	38.2716	35.3276
Os01g0164075	AMTR_s00153p00017940	30.8989	31.4286
Os01g0164300	AMTR_s00153p00017940	37.1134	41.1429
Os01g0164400	AMTR_s00153p00073330	60.9375	25.9424
Os01g0164500	AMTR_s00002p00261540	59.9691	60.4361
Os01g0164500	AMTR_s00068p00202400	41.4219	58.5153
Os01g0164600	AMTR_s00153p00091840	54.6828	50.2778
Os01g0164700	AMTR_s00001p00176140	36.1538	11.809
Os01g0164800	AMTR_s00023p00030650	47.4308	8.26446
Os01g0164900	AMTR_s00023p00030650	19.3347	6.40496
Os01g0165000	AMTR_s00023p00044590	35.4015	25.3927
Os01g0165100	AMTR_s00023p00065960	42.4303	40.4943
Os01g0165200	AMTR_s00023p00077180	36.2857	29.0286
Os01g0165600	AMTR_s00010p00060450	35.2941	30.4569
Os01g0165600	AMTR_s00023p00096640	36.4706	36.4706
Os01g0166100	AMTR_s00023p00110360	57.4018	58.104
Os01g0166300	AMTR_s00023p00110360	53.6036	36.3914
Os01g0166400	AMTR_s00044p00153590	37.8788	39.0625
Os01g0166500	AMTR_s00007p00226200	23.1707	31.6667
Os01g0166700	AMTR_s00007p00225690	33.6283	35.514
Os01g0166800	AMTR_s00007p00218580	52.2613	52.8814
Os01g0167500	AMTR_s00077p00047910	81.7416	82.6705
Os01g0167750	AMTR_s00038p00179320	42.9936	38.0818
Os01g0167900	AMTR_s00077p00125570	24.0741	21.2679
Os01g0168100	AMTR_s00077p00125570	25.6324	31.0838
Os01g0168200	AMTR_s00077p00139260	62.5954	57.3427
Os01g0168300	AMTR_s00077p00157770	53.4211	66.3399
Os01g0168400	AMTR_s00077p00163180	53.63	55.8537
Os01g0168500	AMTR_s00077p00166590	69.7842	69.1211
Os01g0168600	AMTR_s00119p00025950	64.3836	35.6736
Os01g0168800	AMTR_s00024p00233790	27.381	37.8601
Os01g0169500	AMTR_s00082p00059940	37.6222	37.419
Os01g0169800	AMTR_s00011p00049200	44.7732	49.3478
Os01g0169900	AMTR_s00082p00053170	40.5172	33.813
Os01g0170000	AMTR_s00085p00038660	62.426	26.8107
Os01g0170100	AMTR_s00085p00040790	47.0588	27.7657
Os01g0170300	AMTR_s00032p00237810	51.6562	51.8885
Os01g0170500	AMTR_s00085p00068720	22.0141	70.1493
Os01g0170600	AMTR_s00085p00099740	0	0
Os01g0170800	AMTR_s00023p00121520	12.1447	33.0986
Os01g0170800	AMTR_s00023p00136270	11.8863	32.3944
Os01g0170800	AMTR_s00048p00164960	36.9509	25.4448
Os01g0171000	AMTR_s00085p00173590	72.4522	72.337
Os01g0171800	AMTR_s00096p00046760	34.0237	39.3836
Os01g0172000	AMTR_s00045p00202440	51.8519	17.0732
Os01g0172200	AMTR_s00096p00079870	46.6403	46.2141
Os01g0172300	AMTR_s00078p00048610	37.6344	39.1061
Os01g0172800	AMTR_s00023p00176320	17.801	16.6667
Os01g0172900	AMTR_s00019p00250890	28.8136	21.4646
Os01g0173000	AMTR_s00104p00071110	44.8087	45.0549
Os01g0173600	AMTR_s00081p00168190	47.907	60.2339
Os01g0173900	AMTR_s00090p00174380	60.0664	60.1064
Os01g0173900	AMTR_s00090p00176020	59.3355	60.3378
Os01g0173900	AMTR_s00705p00001490	11.9601	75
Os01g0174000	AMTR_s00045p00145150	17.8674	39.7436
Os01g0174300	AMTR_s00081p00094290	69.1318	63.4218
Os01g0174700	AMTR_s00081p00063880	55.3753	58.7097
Os01g0174900	AMTR_s00033p00147490	21.0811	37.5
Os01g0174900	AMTR_s00051p00010280	18.9189	44.8718
Os01g0175000	AMTR_s00042p00153000	77.0428	77.0428
Os01g0175100	AMTR_s00042p00213860	26.8116	29.6
Os01g0175600	AMTR_s00052p00085150	67.1131	67.0134
Os01g0175700	AMTR_s00052p00085150	66.6667	66.5676
Os01g0176000	AMTR_s00009p00235050	41.1647	42.6195
Os01g0176000	AMTR_s00016p00225760	35.5422	36.1224
Os01g0176000	AMTR_s00169p00014200	43.3735	43.2
Os01g0176000	AMTR_s00169p00018080	43.3735	43.2
Os01g0176000	AMTR_s00169p00020090	41.9679	43.0041
Os01g0176100	AMTR_s00009p00235050	40.9182	42.6195
Os01g0176100	AMTR_s00016p00225760	35.3293	36.1224
Os01g0176100	AMTR_s00169p00014200	41.9162	42
Os01g0176100	AMTR_s00169p00018080	41.9162	42
Os01g0176100	AMTR_s00169p00020090	41.1178	42.3868
Os01g0176200	AMTR_s00009p00235050	42.0523	43.4511
Os01g0176200	AMTR_s00016p00225760	36.8209	37.3469
Os01g0176200	AMTR_s00169p00014200	43.4608	43.2
Os01g0176200	AMTR_s00169p00018080	43.4608	43.2
Os01g0176200	AMTR_s00169p00020090	42.8571	43.8272
Os01g0176400	AMTR_s00122p00139490	3.09278	2.37154
Os01g0176400	AMTR_s00122p00139890	35.0515	32.5359
Os01g0176500	AMTR_s00122p00134120	33.4135	32.9384
Os01g0176700	AMTR_s00122p00127250	27.673	34.555
Os01g0176800	AMTR_s00122p00129500	47.5755	49.1029
Os01g0176900	AMTR_s00122p00129760	22.6974	33.8235
Os01g0177100	AMTR_s00122p00094620	63.626	65.1869
Os01g0177200	AMTR_s00072p00067600	72.67	67.3279
Os01g0177400	AMTR_s00122p00090120	38.6486	38.7534
Os01g0177900	AMTR_s00122p00085720	73.0014	73.0014
Os01g0178000	AMTR_s00118p00074890	71.3198	68.3698
Os01g0178100	AMTR_s00042p00025510	45.7547	43.2071
Os01g0178200	AMTR_s00122p00036770	51.0511	59.8592
Os01g0178400	AMTR_s00031p00154390	26.3415	33.1288
Os01g0178400	AMTR_s00042p00019010	59.5122	24.9489
Os01g0178400	AMTR_s00055p00024880	14.1463	21.8045
Os01g0178500	AMTR_s00122p00021940	44.7236	35.3175
Os01g0178700	AMTR_s00142p00106560	49.061	46.3415
Os01g0179200	AMTR_s00173p00012350	71.2209	69.6023
Os01g0179300	AMTR_s00142p00083960	27.1903	43.6893
Os01g0179400	AMTR_s00142p00090900	55.363	52.9333
Os01g0179500	AMTR_s00142p00066900	29.0352	17.3311
Os01g0179600	AMTR_s00032p00176750	35.1129	38
Os01g0179700	AMTR_s00036p00210020	87.6847	83.9623
Os01g0179700	AMTR_s00111p00145590	90.6404	92
Os01g0179800	AMTR_s00078p00195500	57.7197	57.5829
Os01g0180000	AMTR_s00078p00197410	56.5385	33.6384
Os01g0180300	AMTR_s00142p00033030	30.6789	32.2802
Os01g0180400	AMTR_s00142p00035060	30.8511	13.9423
Os01g0180600	AMTR_s00022p00172100	13.5621	58.2456
Os01g0180600	AMTR_s00078p00191830	46.4869	42.5262
Os01g0180700	AMTR_s00078p00190280	36.9732	35.1548
Os01g0180800	AMTR_s00078p00190750	73.3728	72.5146
Os01g0181000	AMTR_s00078p00186900	25.8824	27.1127
Os01g0182200	AMTR_s00011p00246130	60.9756	62.2407
Os01g0182200	AMTR_s00045p00046870	56.0976	56.7901
Os01g0182300	AMTR_s00078p00182690	18.1287	31
Os01g0182300	AMTR_s00078p00182910	22.807	32.2314
Os01g0182300	AMTR_s00078p00184130	21.6374	30.5785
