Gene stable ID	Phaseolus vulgaris gene stable ID	%id. target Phaseolus vulgaris gene identical to query gene	%id. query gene identical to target Phaseolus vulgaris gene
CAA33989	PHAVU_002G165900g	34.7458	65.6
CAA33989	PHAVU_003G256700g	69.4915	73.8739
CAA33990	PHAVU_003G256800g	87.0445	87.0445
CAA33991	PHAVU_005G066100g	74.0741	74.0741
CAA33994	PHAVU_008G237300g	49.5146	73.913
CAA33994	PHAVU_010G068900g	43.6893	53.5714
CAA33996	PHAVU_010G068700g	22.9333	73.8197
CAA33996	PHAVU_010G068800g	7.86667	86.7647
CAA33998	PHAVU_008G1505000g	32.3383	67.7083
CAA33998	PHAVU_009G149000g	37.8109	71.028
CAA33999	PHAVU_005G068600g	23.2704	52.8571
CAA34000	PHAVU_009G076900g	30.8943	35.6808
CAA34001	PHAVU_005G060800g	30	47.3684
CAA34002	PHAVU_010G031400g	32.8467	60
CAA34004	PHAVU_011G145300g	38.1551	78.7879
CAA34007	PHAVU_009G011900g	51.2748	70.155
CAA34007	PHAVU_009G224400g	13.0312	54.7619
CAA34013	PHAVU_006G102000g	32.5779	70.9877
CAA34013	PHAVU_008G014100g	15.2975	73.9726
CAA34013	PHAVU_011G143800g	12.7479	62.5
CAA34015	PHAVU_010G069000g	80.6452	80.6452
Os01g0100100	PHAVU_005G155000g	49.0028	49.2837
Os01g0100400	PHAVU_003G217800g	62.0573	62.2673
Os01g0100400	PHAVU_005G008000g	58.8533	58.9527
Os01g0100400	PHAVU_008G134900g	69.9831	66.4
Os01g0100500	PHAVU_008G055900g	45.4198	39.0805
Os01g0100600	PHAVU_007G119000g	34.6479	38.6792
Os01g0100700	PHAVU_005G107000g	88	85.0242
Os01g0100700	PHAVU_007G264200g	88.5	85.5072
Os01g0100800	PHAVU_008G017700g	29.2135	29.9712
Os01g0100900	PHAVU_008G017200g	71.4286	71.4286
Os01g0101150	PHAVU_001G085300g	49.0123	46.0557
Os01g0101300	PHAVU_009G166600g	61.4251	57.8704
Os01g0101600	PHAVU_003G050400g	42.8425	43.7827
Os01g0101700	PHAVU_003G050500g	36.1702	34.6939
Os01g0101800	PHAVU_003G291400g	19.5266	13.4283
Os01g0102000	PHAVU_009G165500g	57.3864	58.835
Os01g0102300	PHAVU_009G165800g	38.9105	45.2489
Os01g0102400	PHAVU_008G008900g	10.6888	17.1103
Os01g0102500	PHAVU_008G017000g	64.4578	60.1124
Os01g0102600	PHAVU_004G081400g	34.2007	31.7241
Os01g0102700	PHAVU_001G087200g	45.8537	48.4536
Os01g0102800	PHAVU_007G191600g	67.7208	50.86
Os01g0102900	PHAVU_001G085200g	42.9688	39.5683
Os01g0103000	PHAVU_007G137700g	74.569	72.9958
Os01g0103100	PHAVU_008G003500g	64.6865	62.0253
Os01g0103600	PHAVU_004G160000g	58.9041	57.3333
Os01g0103700	PHAVU_004G026300g	23.2143	3.44523
Os01g0103700	PHAVU_005G124500g	22.619	3.48624
Os01g0103800	PHAVU_001G000300g	42.6326	45.8774
Os01g0103900	PHAVU_002G279800g	41.841	32.3625
Os01g0104000	PHAVU_009G224500g	60.5405	61.6514
Os01g0104100	PHAVU_005G012800g	54.5455	62.1253
Os01g0104400	PHAVU_001G100400g	44.7761	39.7351
Os01g0104500	PHAVU_001G100500g	41.5625	33.4171
Os01g0104500	PHAVU_004G076900g	40	32.4051
Os01g0104800	PHAVU_003G296300g	36.2791	34.4118
Os01g0104900	PHAVU_009G061200g	47.6496	51.2644
Os01g0105700	PHAVU_003G257100g	18.5567	19.3548
Os01g0105800	PHAVU_001G1896000g	52.1739	70.5882
Os01g0105900	PHAVU_001G013100g	65.1715	67.6712
Os01g0105900	PHAVU_009G059500g	65.4354	67.9452
Os01g0106200	PHAVU_009G023300g	66.8367	67.5258
Os01g0106200	PHAVU_011G044200g	70.4082	71.134
Os01g0106700	PHAVU_009G178400g	50.1227	40.422
Os01g0106900	PHAVU_003G200300g	80.3383	80.8511
Os01g0106900	PHAVU_010G023000g	70.1903	71.3979
Os01g0107700	PHAVU_003G222300g	51.4545	51.6423
Os01g0107900	PHAVU_009G179300g	48.1659	46.8217
Os01g0108000	PHAVU_007G115200g	48.153	48.7316
Os01g0108200	PHAVU_001G001700g	71.2329	66.6667
Os01g0108200	PHAVU_009G020800g	70.9589	70.9589
Os01g0108400	PHAVU_003G199500g	24.0175	28.0612
Os01g0108400	PHAVU_009G179600g	21.8341	26.178
Os01g0108600	PHAVU_003G199500g	29.9107	34.1837
Os01g0108600	PHAVU_009G179600g	32.5893	38.2199
Os01g0108800	PHAVU_002G071800g	52.381	20.6838
Os01g0109300	PHAVU_004G016800g	61.8952	64.7679
Os01g0109700	PHAVU_002G077800g	58.9744	54.7619
Os01g0109700	PHAVU_003G056400g	56.9382	53.4324
Os01g0109700	PHAVU_004G022900g	52.4133	49.9282
Os01g0110100	PHAVU_003G024600g	61.8273	62.6904
Os01g0110400	PHAVU_008G288400g	72.1154	73.7101
Os01g0110500	PHAVU_003G024000g	48.5673	46.0598
Os01g0110700	PHAVU_003G024800g	72.8502	71.4692
Os01g0110700	PHAVU_007G101300g	71.6908	66.3685
Os01g0110800	PHAVU_003G025400g	46.8889	44.7034
Os01g0110800	PHAVU_003G178800g	46.2222	43.8819
Os01g0110800	PHAVU_007G101600g	48.6667	46.0084
Os01g0111100	PHAVU_003G178500g	47.2789	36.0104
Os01g0111200	PHAVU_003G025600g	44.8387	45.6486
Os01g0111200	PHAVU_003G025700g	46.129	45.1104
Os01g0111400	PHAVU_003G178000g	50.214	50.1424
Os01g0111500	PHAVU_001G231500g	32.5424	29.1793
Os01g0111500	PHAVU_008G234300g	33.5593	33.7884
Os01g0111600	PHAVU_002G327700g	56.3218	56.9767
Os01g0111700	PHAVU_008G234000g	25.7143	32.6087
Os01g0112100	PHAVU_003G192200g	33.2447	31.6456
Os01g0112400	PHAVU_007G178300g	27.2727	26.2626
Os01g0112500	PHAVU_001G231600g	64.3258	59.1731
Os01g0112500	PHAVU_008G234200g	60.3933	58.7432
Os01g0113300	PHAVU_001G047800g	25.1897	50.1511
Os01g0113300	PHAVU_001G047900g	35.2049	34.9925
Os01g0113300	PHAVU_001G048000g	24.431	52.9605
Os01g0113300	PHAVU_001G048200g	33.5357	37.4576
Os01g0113300	PHAVU_001G048400g	23.824	52.5084
Os01g0113300	PHAVU_001G048500g	28.8316	41.3943
Os01g0113300	PHAVU_001G0486001g	16.085	50
Os01g0113300	PHAVU_001G048700g	33.5357	39.3238
Os01g0113300	PHAVU_001G048800g	34.1426	36.2319
Os01g0113300	PHAVU_001G048900g	34.9014	36.3349
Os01g0113300	PHAVU_001G0490001g	26.7071	47.0588
Os01g0113300	PHAVU_001G049100g	34.5979	36.953
Os01g0113300	PHAVU_001G049200g	26.2519	52.4242
Os01g0113300	PHAVU_001G068800g	27.3141	43.3735
Os01g0113300	PHAVU_001G069200g	26.8589	46.0938
Os01g0113300	PHAVU_001G069500g	26.1002	50.7375
Os01g0113300	PHAVU_001G069800g	21.8513	48.6486
Os01g0113300	PHAVU_001G069900g	25.9484	48.7179
Os01g0113300	PHAVU_001G070200g	27.4659	42.2897
Os01g0113300	PHAVU_001G075600g	35.9636	33.9542
Os01g0113300	PHAVU_001G075800g	31.4112	35.1443
Os01g0113300	PHAVU_001G076100g	34.9014	32.8571
Os01g0113300	PHAVU_008G174900g	33.0804	34.4392
Os01g0113300	PHAVU_008G175100g	35.8118	34.757
Os01g0113300	PHAVU_011G197500g	35.9636	35.6928
Os01g0113300	PHAVU_011G197700g	35.5083	33.864
Os01g0113300	PHAVU_011G198200g	23.5205	41.6667
Os01g0113300	PHAVU_011G198500g	36.4188	31.8302
Os01g0113300	PHAVU_011G200400g	36.7223	34.2776
Os01g0113300	PHAVU_L0007001g	27.7693	44.4175
Os01g0113300	PHAVU_L000900g	27.3141	45.1128
Os01g0113300	PHAVU_L0011001g	16.5402	45.9916
Os01g0113400	PHAVU_001G047800g	23.486	48.0363
Os01g0113400	PHAVU_001G047900g	32.644	33.3333
Os01g0113400	PHAVU_001G048000g	22.8951	50.9868
Os01g0113400	PHAVU_001G048200g	31.3146	35.9322
Os01g0113400	PHAVU_001G048400g	22.452	50.8361
Os01g0113400	PHAVU_001G048500g	26.5879	39.2157
Os01g0113400	PHAVU_001G0486001g	14.9188	47.6415
Os01g0113400	PHAVU_001G048700g	31.0192	37.3665
Os01g0113400	PHAVU_001G048800g	32.2009	35.1047
Os01g0113400	PHAVU_001G048900g	31.7578	33.9652
Os01g0113400	PHAVU_001G0490001g	25.1108	45.4545
Os01g0113400	PHAVU_001G049100g	31.7578	34.846
Os01g0113400	PHAVU_001G049200g	24.0768	49.3939
Os01g0113400	PHAVU_001G068800g	25.2585	41.2048
Os01g0113400	PHAVU_001G069200g	24.6677	43.4896
Os01g0113400	PHAVU_001G069500g	24.3722	48.6726
Os01g0113400	PHAVU_001G069800g	20.0886	45.9459
Os01g0113400	PHAVU_001G069900g	24.0768	46.4387
Os01g0113400	PHAVU_001G070200g	25.5539	40.4206
Os01g0113400	PHAVU_001G075600g	33.0872	32.0917
Os01g0113400	PHAVU_001G075800g	28.2127	32.4278
Os01g0113400	PHAVU_001G076100g	32.644	31.5714
Os01g0113400	PHAVU_008G174900g	31.3146	33.4913
Os01g0113400	PHAVU_008G175100g	33.3826	33.2842
Os01g0113400	PHAVU_011G197500g	33.0872	33.7349
Os01g0113400	PHAVU_011G197700g	32.644	31.9826
Os01g0113400	PHAVU_011G198200g	22.452	40.8602
Os01g0113400	PHAVU_011G198500g	33.678	30.2387
Os01g0113400	PHAVU_011G200400g	33.8257	32.4363
Os01g0113400	PHAVU_L0007001g	25.8493	42.4757
Os01g0113400	PHAVU_L000900g	24.9631	42.3559
Os01g0113400	PHAVU_L0011001g	15.0665	43.038
Os01g0113700	PHAVU_001G047800g	23.3577	48.3384
Os01g0113700	PHAVU_001G047900g	33.4307	34.54
Os01g0113700	PHAVU_001G048000g	22.7737	51.3158
Os01g0113700	PHAVU_001G048200g	31.9708	37.1186
Os01g0113700	PHAVU_001G048400g	22.3358	51.1706
Os01g0113700	PHAVU_001G048500g	27.1533	40.5229
Os01g0113700	PHAVU_001G0486001g	15.3285	49.5283
Os01g0113700	PHAVU_001G048700g	31.5328	38.4342
Os01g0113700	PHAVU_001G048800g	32.8467	36.2319
Os01g0113700	PHAVU_001G048900g	32.2628	34.9131
Os01g0113700	PHAVU_001G0490001g	25.1095	45.9893
Os01g0113700	PHAVU_001G049100g	32.1168	35.6564
Os01g0113700	PHAVU_001G049200g	24.2336	50.303
Os01g0113700	PHAVU_001G068800g	25.5474	42.1687
Os01g0113700	PHAVU_001G069200g	24.9635	44.5312
Os01g0113700	PHAVU_001G069500g	24.3796	49.2625
Os01g0113700	PHAVU_001G069800g	20.438	47.2973
Os01g0113700	PHAVU_001G069900g	24.0876	47.0085
Os01g0113700	PHAVU_001G070200g	25.8394	41.3551
Os01g0113700	PHAVU_001G075600g	33.4307	32.808
Os01g0113700	PHAVU_001G075800g	28.0292	32.5976
Os01g0113700	PHAVU_001G076100g	32.7007	32
Os01g0113700	PHAVU_008G174900g	31.6788	34.2812
Os01g0113700	PHAVU_008G175100g	33.7226	34.0206
Os01g0113700	PHAVU_011G197500g	33.8686	34.9398
Os01g0113700	PHAVU_011G197700g	32.9927	32.7062
Os01g0113700	PHAVU_011G198200g	22.4818	41.3979
Os01g0113700	PHAVU_011G198500g	34.7445	31.565
Os01g0113700	PHAVU_011G200400g	34.4526	33.4278
Os01g0113700	PHAVU_L0007001g	26.1314	43.4466
Os01g0113700	PHAVU_L000900g	25.2555	43.3584
Os01g0113700	PHAVU_L0011001g	15.3285	44.3038
Os01g0114100	PHAVU_001G047800g	24.2792	48.3384
Os01g0114100	PHAVU_001G047900g	27.1624	26.9985
Os01g0114100	PHAVU_001G048000g	24.5827	53.2895
Os01g0114100	PHAVU_001G048200g	27.1624	30.339
Os01g0114100	PHAVU_001G048400g	23.9757	52.8428
Os01g0114100	PHAVU_001G048500g	26.2519	37.6906
Os01g0114100	PHAVU_001G0486001g	16.5402	51.4151
Os01g0114100	PHAVU_001G048700g	26.5554	31.1388
Os01g0114100	PHAVU_001G048800g	27.3141	28.9855
Os01g0114100	PHAVU_001G048900g	27.4659	28.594
Os01g0114100	PHAVU_001G0490001g	24.7344	43.5829
Os01g0114100	PHAVU_001G049100g	26.7071	28.5251
Os01g0114100	PHAVU_001G049200g	25.0379	50
Os01g0114100	PHAVU_001G068800g	26.8589	42.6506
Os01g0114100	PHAVU_001G069200g	25.9484	44.5312
Os01g0114100	PHAVU_001G069500g	25.4932	49.5575
Os01g0114100	PHAVU_001G069800g	21.6995	48.3108
Os01g0114100	PHAVU_001G069900g	25.3414	47.5783
Os01g0114100	PHAVU_001G070200g	26.5554	40.8879
Os01g0114100	PHAVU_001G075600g	27.4659	25.9312
Os01g0114100	PHAVU_001G075800g	28.5281	31.9185
Os01g0114100	PHAVU_001G076100g	28.6798	27
Os01g0114100	PHAVU_008G174900g	25.7967	26.8562
Os01g0114100	PHAVU_008G175100g	27.7693	26.9514
Os01g0114100	PHAVU_011G197500g	28.8316	28.6145
Os01g0114100	PHAVU_011G197700g	28.8316	27.4964
Os01g0114100	PHAVU_011G198200g	23.6722	41.9355
Os01g0114100	PHAVU_011G198500g	28.9833	25.3316
Os01g0114100	PHAVU_011G200400g	28.5281	26.6289
Os01g0114100	PHAVU_L0007001g	27.0106	43.2039
Os01g0114100	PHAVU_L000900g	26.4036	43.609
Os01g0114100	PHAVU_L0011001g	16.5402	45.9916
Os01g0114400	PHAVU_001G047800g	44.9704	45.9215
Os01g0114400	PHAVU_001G047900g	45.858	23.3786
Os01g0114400	PHAVU_001G048000g	45.858	50.9868
Os01g0114400	PHAVU_001G048200g	44.6746	25.5932
Os01g0114400	PHAVU_001G048400g	44.9704	50.8361
Os01g0114400	PHAVU_001G048500g	46.1538	33.9869
Os01g0114400	PHAVU_001G0486001g	30.4734	48.5849
Os01g0114400	PHAVU_001G048700g	45.858	27.5801
Os01g0114400	PHAVU_001G048800g	45.5621	24.7987
Os01g0114400	PHAVU_001G048900g	45.858	24.4866
Os01g0114400	PHAVU_001G0490001g	46.1538	41.7112
Os01g0114400	PHAVU_001G049100g	44.9704	24.6353
Os01g0114400	PHAVU_001G049200g	47.0414	48.1818
Os01g0114400	PHAVU_001G068800g	47.929	39.0361
Os01g0114400	PHAVU_001G069200g	46.4497	40.8854
Os01g0114400	PHAVU_001G069500g	47.929	47.7876
Os01g0114400	PHAVU_001G069800g	42.6035	48.6486
Os01g0114400	PHAVU_001G069900g	47.929	46.1538
Os01g0114400	PHAVU_001G070200g	47.0414	37.1495
Os01g0114400	PHAVU_001G075600g	45.858	22.2063
Os01g0114400	PHAVU_001G075800g	45.858	26.3158
Os01g0114400	PHAVU_001G076100g	48.5207	23.4286
Os01g0114400	PHAVU_008G174900g	45.858	24.4866
Os01g0114400	PHAVU_008G175100g	46.4497	23.1222
Os01g0114400	PHAVU_011G197500g	46.1538	23.494
Os01g0114400	PHAVU_011G197700g	47.3373	23.1548
Os01g0114400	PHAVU_011G198200g	39.0533	35.4839
Os01g0114400	PHAVU_011G198500g	46.4497	20.8223
Os01g0114400	PHAVU_011G200400g	47.0414	22.5212
Os01g0114400	PHAVU_L0007001g	47.3373	38.835
Os01g0114400	PHAVU_L000900g	46.1538	39.0977
Os01g0114400	PHAVU_L0011001g	32.2485	45.9916
Os01g0114600	PHAVU_001G047800g	23.0216	48.3384
Os01g0114600	PHAVU_001G047900g	31.6547	33.1825
Os01g0114600	PHAVU_001G048000g	22.446	51.3158
Os01g0114600	PHAVU_001G048200g	30.0719	35.4237
Os01g0114600	PHAVU_001G048400g	21.5827	50.1672
Os01g0114600	PHAVU_001G048500g	26.6187	40.305
Os01g0114600	PHAVU_001G0486001g	15.2518	50
Os01g0114600	PHAVU_001G048700g	30.9353	38.2562
Os01g0114600	PHAVU_001G048800g	30.6475	34.2995
Os01g0114600	PHAVU_001G048900g	30.9353	33.9652
Os01g0114600	PHAVU_001G0490001g	24.3165	45.1872
Os01g0114600	PHAVU_001G049100g	31.223	35.1702
Os01g0114600	PHAVU_001G049200g	23.8849	50.303
Os01g0114600	PHAVU_001G068800g	24.8921	41.6867
Os01g0114600	PHAVU_001G069200g	24.3165	44.0104
Os01g0114600	PHAVU_001G069500g	23.8849	48.9676
Os01g0114600	PHAVU_001G069800g	20.5755	48.3108
Os01g0114600	PHAVU_001G069900g	23.8849	47.2934
Os01g0114600	PHAVU_001G070200g	25.036	40.6542
Os01g0114600	PHAVU_001G075600g	32.8058	32.6648
Os01g0114600	PHAVU_001G075800g	28.3453	33.4465
Os01g0114600	PHAVU_001G076100g	33.3813	33.1429
Os01g0114600	PHAVU_008G174900g	30.6475	33.6493
Os01g0114600	PHAVU_008G175100g	32.9496	33.7261
Os01g0114600	PHAVU_011G197500g	33.5252	35.0904
Os01g0114600	PHAVU_011G197700g	33.0935	33.2851
Os01g0114600	PHAVU_011G198200g	22.7338	42.4731
Os01g0114600	PHAVU_011G198500g	33.0935	30.504
Os01g0114600	PHAVU_011G200400g	33.6691	33.1445
Os01g0114600	PHAVU_L0007001g	25.8993	43.6893
Os01g0114600	PHAVU_L000900g	24.4604	42.6065
Os01g0114600	PHAVU_L0011001g	15.5396	45.5696
Os01g0115200	PHAVU_002G171800g	39.1026	11.8447
Os01g0115500	PHAVU_001G047800g	46.3127	47.432
Os01g0115500	PHAVU_001G047900g	48.0826	24.5852
Os01g0115500	PHAVU_001G048000g	46.6077	51.9737
Os01g0115500	PHAVU_001G048200g	45.7227	26.2712
Os01g0115500	PHAVU_001G048400g	45.4277	51.505
Os01g0115500	PHAVU_001G048500g	45.7227	33.7691
Os01g0115500	PHAVU_001G0486001g	31.2684	50
Os01g0115500	PHAVU_001G048700g	47.1976	28.4698
Os01g0115500	PHAVU_001G048800g	46.3127	25.2818
Os01g0115500	PHAVU_001G048900g	48.0826	25.7504
Os01g0115500	PHAVU_001G0490001g	47.1976	42.7808
Os01g0115500	PHAVU_001G049100g	47.1976	25.9319
Os01g0115500	PHAVU_001G049200g	47.1976	48.4848
Os01g0115500	PHAVU_001G068800g	46.9027	38.3133
Os01g0115500	PHAVU_001G069200g	45.7227	40.3646
Os01g0115500	PHAVU_001G069500g	46.9027	46.9027
Os01g0115500	PHAVU_001G069800g	41.0029	46.9595
Os01g0115500	PHAVU_001G069900g	46.9027	45.2991
Os01g0115500	PHAVU_001G070200g	46.9027	37.1495
Os01g0115500	PHAVU_001G075600g	47.7876	23.2092
Os01g0115500	PHAVU_001G075800g	46.0177	26.4856
Os01g0115500	PHAVU_001G076100g	48.9676	23.7143
Os01g0115500	PHAVU_008G174900g	49.2625	26.3823
Os01g0115500	PHAVU_008G175100g	49.5575	24.7423
Os01g0115500	PHAVU_011G197500g	49.5575	25.3012
Os01g0115500	PHAVU_011G197700g	49.2625	24.1679
Os01g0115500	PHAVU_011G198200g	41.2979	37.6344
Os01g0115500	PHAVU_011G198500g	49.2625	22.1485
Os01g0115500	PHAVU_011G200400g	49.5575	23.796
Os01g0115500	PHAVU_L0007001g	46.6077	38.3495
Os01g0115500	PHAVU_L000900g	47.1976	40.1003
Os01g0115500	PHAVU_L0011001g	30.9735	44.3038
Os01g0115700	PHAVU_001G047800g	25.1592	47.7341
Os01g0115700	PHAVU_001G047900g	35.0318	33.1825
Os01g0115700	PHAVU_001G048000g	25	51.6447
Os01g0115700	PHAVU_001G048200g	34.3949	36.6102
Os01g0115700	PHAVU_001G048400g	24.5223	51.505
Os01g0115700	PHAVU_001G048500g	29.7771	40.7407
Os01g0115700	PHAVU_001G0486001g	16.7197	49.5283
Os01g0115700	PHAVU_001G048700g	33.5987	37.5445
Os01g0115700	PHAVU_001G048800g	35.0318	35.4267
Os01g0115700	PHAVU_001G048900g	35.6688	35.387
Os01g0115700	PHAVU_001G0490001g	26.7516	44.9198
Os01g0115700	PHAVU_001G049100g	34.5541	35.1702
Os01g0115700	PHAVU_001G049200g	26.7516	50.9091
Os01g0115700	PHAVU_001G068800g	27.5478	41.6867
Os01g0115700	PHAVU_001G069200g	26.9108	44.0104
Os01g0115700	PHAVU_001G069500g	26.2739	48.6726
Os01g0115700	PHAVU_001G069800g	22.6115	47.973
Os01g0115700	PHAVU_001G069900g	26.1146	46.7236
Os01g0115700	PHAVU_001G070200g	28.3439	41.5888
Os01g0115700	PHAVU_001G075600g	35.6688	32.0917
Os01g0115700	PHAVU_001G075800g	30.5732	32.5976
Os01g0115700	PHAVU_001G076100g	37.1019	33.2857
Os01g0115700	PHAVU_008G174900g	34.2357	33.9652
Os01g0115700	PHAVU_008G175100g	36.465	33.7261
Os01g0115700	PHAVU_011G197500g	35.828	33.8855
Os01g0115700	PHAVU_011G197700g	35.0318	31.8379
Os01g0115700	PHAVU_011G198200g	24.2038	40.8602
Os01g0115700	PHAVU_011G198500g	36.1465	30.1061
Os01g0115700	PHAVU_011G200400g	36.465	32.4363
Os01g0115700	PHAVU_L0007001g	28.1847	42.9612
Os01g0115700	PHAVU_L000900g	27.3885	43.1078
Os01g0115700	PHAVU_L0011001g	17.0382	45.1477
Os01g0115750	PHAVU_001G047800g	24.0413	49.2447
Os01g0115750	PHAVU_001G047900g	31.8584	32.5792
Os01g0115750	PHAVU_001G048000g	23.8938	53.2895
Os01g0115750	PHAVU_001G048200g	31.2684	35.9322
Os01g0115750	PHAVU_001G048400g	23.4513	53.1773
Os01g0115750	PHAVU_001G048500g	27.1386	40.0871
Os01g0115750	PHAVU_001G0486001g	15.9292	50.9434
Os01g0115750	PHAVU_001G048700g	31.4159	37.9004
Os01g0115750	PHAVU_001G048800g	31.1209	33.9775
Os01g0115750	PHAVU_001G048900g	31.5634	33.8073
Os01g0115750	PHAVU_001G0490001g	25.5162	46.2567
Os01g0115750	PHAVU_001G049100g	31.8584	35.0081
Os01g0115750	PHAVU_001G049200g	25.0737	51.5152
Os01g0115750	PHAVU_001G068800g	25.9587	42.4096
Os01g0115750	PHAVU_001G069200g	25.5162	45.0521
Os01g0115750	PHAVU_001G069500g	25.2212	50.4425
Os01g0115750	PHAVU_001G069800g	21.3864	48.9865
Os01g0115750	PHAVU_001G069900g	25.3687	49.0028
Os01g0115750	PHAVU_001G070200g	26.2537	41.5888
Os01g0115750	PHAVU_001G075600g	33.1858	32.235
Os01g0115750	PHAVU_001G075800g	28.9086	33.2767
Os01g0115750	PHAVU_001G076100g	32.4484	31.4286
Os01g0115750	PHAVU_008G174900g	30.826	33.0174
Os01g0115750	PHAVU_008G175100g	32.5959	32.5479
Os01g0115750	PHAVU_011G197500g	33.7758	34.488
Os01g0115750	PHAVU_011G197700g	33.0383	32.4168
Os01g0115750	PHAVU_011G198200g	23.1563	42.2043
Os01g0115750	PHAVU_011G198500g	34.0708	30.6366
Os01g0115750	PHAVU_011G200400g	33.7758	32.4363
Os01g0115750	PHAVU_L0007001g	26.5487	43.6893
Os01g0115750	PHAVU_L000900g	25.9587	44.1103
Os01g0115750	PHAVU_L0011001g	16.0767	45.9916
Os01g0116000	PHAVU_001G047800g	24.4152	50.4532
Os01g0116000	PHAVU_001G047900g	32.6023	33.635
Os01g0116000	PHAVU_001G048000g	23.8304	53.6184
Os01g0116000	PHAVU_001G048200g	31.1404	36.1017
Os01g0116000	PHAVU_001G048400g	23.0994	52.8428
Os01g0116000	PHAVU_001G048500g	27.193	40.5229
Os01g0116000	PHAVU_001G0486001g	15.2047	49.0566
Os01g0116000	PHAVU_001G048700g	30.5556	37.1886
Os01g0116000	PHAVU_001G048800g	31.8713	35.1047
Os01g0116000	PHAVU_001G048900g	32.0175	34.5972
Os01g0116000	PHAVU_001G0490001g	25.4386	46.5241
Os01g0116000	PHAVU_001G049100g	32.0175	35.4943
Os01g0116000	PHAVU_001G049200g	25	51.8182
Os01g0116000	PHAVU_001G068800g	26.3158	43.3735
Os01g0116000	PHAVU_001G069200g	25.731	45.8333
Os01g0116000	PHAVU_001G069500g	24.8538	50.1475
Os01g0116000	PHAVU_001G069800g	21.0526	48.6486
Os01g0116000	PHAVU_001G069900g	25	48.7179
Os01g0116000	PHAVU_001G070200g	26.3158	42.0561
Os01g0116000	PHAVU_001G075600g	32.7485	32.0917
Os01g0116000	PHAVU_001G075800g	29.0936	33.7861
Os01g0116000	PHAVU_001G076100g	33.6257	32.8571
Os01g0116000	PHAVU_008G174900g	31.4327	33.9652
Os01g0116000	PHAVU_008G175100g	33.6257	33.8733
Os01g0116000	PHAVU_011G197500g	32.8947	33.8855
Os01g0116000	PHAVU_011G197700g	32.8947	32.5615
Os01g0116000	PHAVU_011G198200g	22.5146	41.3979
Os01g0116000	PHAVU_011G198500g	33.4795	30.3714
Os01g0116000	PHAVU_011G200400g	33.6257	32.5779
Os01g0116000	PHAVU_L0007001g	26.6082	44.1748
Os01g0116000	PHAVU_L000900g	25.8772	44.3609
Os01g0116000	PHAVU_L0011001g	15.9357	45.9916
Os01g0116200	PHAVU_001G047800g	22.9577	49.2447
Os01g0116200	PHAVU_001G047900g	31.6901	33.9367
Os01g0116200	PHAVU_001G048000g	22.2535	51.9737
Os01g0116200	PHAVU_001G048200g	30.9859	37.2881
Os01g0116200	PHAVU_001G048400g	21.831	51.8395
Os01g0116200	PHAVU_001G048500g	26.338	40.7407
Os01g0116200	PHAVU_001G0486001g	14.507	48.5849
Os01g0116200	PHAVU_001G048700g	30.1408	38.0783
