Gene stable ID	Leersia perrieri gene stable ID	%id. target Leersia perrieri gene identical to query gene	%id. query gene identical to target Leersia perrieri gene
Os01g0126100	LPERR01G01590	81.0997	76.4992
Os01g0126200	LPERR01G01600	81.7726	80.9603
Os01g0126600	LPERR01G01610	80.1489	56.7663
Os01g0126900	LPERR01G01620	79.8319	86.9963
Os01g0127000	LPERR01G01640	70.2247	58.3204
Os01g0127200	LPERR01G01640	72.3705	71.6952
Os01g0127300	LPERR01G01670	83.8174	83.8174
Os01g0127400	LPERR01G01680	91.9811	92.4171
Os01g0127500	LPERR01G01690	81.0089	80.7692
Os01g0127600	LPERR01G01700	62.0112	58.7302
Os01g0127900	LPERR01G01740	88.3178	88.1119
Os01g0128000	LPERR01G01750	70	70.6052
Os01g0128100	LPERR01G01760	84.8797	86.3636
Os01g0128200	LPERR01G01770	85.0649	78.4431
Os01g0128300	LPERR01G01780	78.0702	58.9404
Os01g0128400	LPERR01G01790	86.5188	87.5648
Os01g0128800	LPERR01G01800	87.1245	24.6959
Os01g0129200	LPERR01G01810	68.8213	73.5772
Os01g0129500	LPERR01G01820	65.2449	66.1859
Os01g0129600	LPERR01G01830	62.2419	66.5615
Os01g0130000	LPERR01G01840	89.7698	90.9326
Os01g0130400	LPERR01G01850	88.1974	88.3871
Os01g0130900	LPERR01G01860	69.5402	76.1006
Os01g0131300	LPERR01G01870	74.2857	71.4286
Os01g0131600	LPERR01G01880	82.2006	72.3647
Os01g0131900	LPERR01G01900	89.1089	88.2353
Os01g0132000	LPERR01G01920	94	93.0693
Os01g0132100	LPERR01G01930	51.7304	65.2124
Os01g0132200	LPERR01G01940	73.8589	76.3949
Os01g0132400	LPERR01G01950	58.396	61.6402
Os01g0132700	LPERR01G01970	89.8649	88.6667
Os01g0132766	LPERR01G01980	81.2734	81.8868
Os01g0132800	LPERR01G01990	78.3784	78.6822
Os01g0133100	LPERR01G02010	68.6838	50.8399
Os01g0133200	LPERR01G02020	82.4742	86.4865
Os01g0133400	LPERR01G02030	95.2029	49.0028
Os01g0133600	LPERR01G02040	77.2727	77.0883
Os01g0133600	LPERR01G02050	72.0096	76.5903
Os01g0133700	LPERR01G02040	80.9955	42.7208
Os01g0133700	LPERR01G02050	82.3529	46.3104
Os01g0134200	LPERR09G03710	2.45536	6.01093
Os01g0134500	LPERR01G02070	91.6058	90.2878
Os01g0134700	LPERR01G02090	87.2146	86.6213
Os01g0134800	LPERR01G02100	79.0761	26.7956
Os01g0135700	LPERR01G02110	86.1878	87.6404
Os01g0135800	LPERR01G02130	86	86.5772
Os01g0136100	LPERR01G02150	100	100
Os01g0136300	LPERR01G02160	64.1026	67.5676
Os01g0136400	LPERR01G02180	79.491	41.1628
Os01g0136500	LPERR01G02230	43.3198	50.9524
Os01g0136800	LPERR01G02190	78.6787	79.7565
Os01g0136900	LPERR01G02210	87.9771	31.2542
Os01g0137950	LPERR01G00830	28.9216	33.908
Os01g0138300	LPERR01G02240	52.3739	70.7415
Os01g0138400	LPERR01G02250	80.3807	83.308
Os01g0138500	LPERR01G02260	68.0597	72.8435
Os01g0138600	LPERR01G10290	62.5	39.0335
Os01g0138800	LPERR01G02270	85.8469	84.8624
Os01g0138900	LPERR01G02280	78.9238	82.243
Os01g0139000	LPERR01G02290	89.2019	89.2019
Os01g0139200	LPERR01G02300	93.4426	93.722
Os01g0139600	LPERR01G02310	72.8435	88.716
Os01g0140100	LPERR01G02330	83.7302	84.4
Os01g0140400	LPERR01G02340	94.6708	85.3107
Os01g0140700	LPERR01G02360	74.448	77.3771
Os01g0141000	LPERR01G02380	77.5342	81.0888
Os01g0141100	LPERR01G02390	97.6898	69.3208
Os01g0141600	LPERR01G02400	90.7121	61.6842
Os01g0141700	LPERR01G02410	87.307	88.3681
Os01g0141900	LPERR01G02420	93.3993	93.864
Os01g0142100	LPERR01G02440	87.7289	85.5357
Os01g0142300	LPERR01G02450	93.8073	65.0238
Os01g0142500	LPERR01G02460	88.0952	71.9444
Os01g0143100	LPERR01G02490	95.9627	94.4954
Os01g0143300	LPERR01G02540	66.6667	81.8605
Os01g0143700	LPERR01G02530	48.6486	49.0272
Os01g0143800	LPERR01G02560	84.7273	87.2659
Os01g0144000	LPERR01G02570	79.5252	57.0213
Os01g0144200	LPERR01G02580	94.0367	94.0367
Os01g0144300	LPERR01G02590	84.273	83.7758
Os01g0144340	LPERR01G02600	60.2241	93.0736
Os01g0144500	LPERR01G02610	55.3279	48.0427
Os01g0144600	LPERR01G02620	88	88.4422
Os01g0144700	LPERR01G02630	96.7033	96.7033
Os01g0144800	LPERR01G02650	41.9643	17.5373
Os01g0145000	LPERR01G02650	61.2613	25.3731
Os01g0145200	LPERR01G02650	29.7872	15.6716
Os01g0146200	LPERR01G02650	67.2727	27.6119
Os01g0147200	LPERR01G02690	96.06	95.7009
Os01g0147300	LPERR01G02700	59.8039	35.4651
Os01g0147400	LPERR01G02710	78.3333	39.5789
Os01g0147600	LPERR01G02730	22.3938	33.1429
Os01g0147700	LPERR01G02750	89.8571	87.972
Os01g0147800	LPERR01G02790	89.7872	53.9642
Os01g0148000	LPERR01G02810	89.1386	34.4428
Os01g0148050	LPERR01G02810	89.2372	41.1963
Os01g0149350	LPERR01G02820	85.2525	85.4251
Os01g0149500	LPERR01G02820	86.0465	86.1336
Os01g0149600	LPERR01G03010	95.4248	95.4248
Os01g0149600	LPERR01G03030	94.1176	95.3642
Os01g0149600	LPERR02G28020	94.7712	78.3784
Os01g0149600	LPERR03G11140	86.2745	39.0533
Os01g0149700	LPERR02G28040	46.7742	56.129
Os01g0149800	LPERR01G02830	91.4634	92.5926
Os01g0149900	LPERR01G02840	82.345	82.2342
Os01g0150000	LPERR01G02850	89.0323	91.3907
Os01g0150100	LPERR01G02860	84.6667	36.4943
Os01g0150950	LPERR02G17620	24.2424	26.9939
Os01g0151100	LPERR01G02870	90.128	92.8437
Os01g0151200	LPERR01G02880	77.5599	79.1111
Os01g0151400	LPERR01G02900	83.8095	37.2093
Os01g0151500	LPERR01G02900	51.6364	60.0423
Os01g0151600	LPERR01G02910	91.8994	77.0492
Os01g0151700	LPERR01G02920	85.0467	85.0467
Os01g0151900	LPERR01G02940	54.8689	81.8436
Os01g0151900	LPERR01G02960	84.0824	84.3985
Os01g0152000	LPERR01G02980	84.9765	42.9113
Os01g0152000	LPERR01G02990	68.2629	81.411
Os01g0152100	LPERR01G09960	18.9542	29.097
Os01g0152200	LPERR01G09960	16.8675	23.4114
Os01g0152300	LPERR01G03010	94.1176	94.1176
Os01g0152300	LPERR01G03030	92.8105	94.0397
Os01g0152300	LPERR02G28020	93.4641	77.2973
Os01g0152300	LPERR03G11140	85.6209	38.7574
Os01g0152500	LPERR12G15180	34.555	31.466
Os01g0152600	LPERR01G03050	42	79.6029
Os01g0152900	LPERR01G03010	95.4248	95.4248
Os01g0152900	LPERR01G03030	94.1176	95.3642
Os01g0152900	LPERR02G28020	94.7712	78.3784
Os01g0152900	LPERR03G11140	85.6209	38.7574
Os01g0152950	LPERR01G03070	64.0371	35.5212
Os01g0153000	LPERR01G03060	70.1535	70.9709
Os01g0153100	LPERR01G03010	94.1176	94.1176
Os01g0153100	LPERR01G03030	92.8105	94.0397
Os01g0153100	LPERR02G28020	94.1176	77.8378
Os01g0153100	LPERR03G11140	84.9673	38.4615
Os01g0153250	LPERR01G03090	84.4884	86.6817
Os01g0153300	LPERR01G03010	94.8387	96.0784
Os01g0153300	LPERR01G03030	93.5484	96.0265
Os01g0153300	LPERR02G28020	94.1936	78.9189
Os01g0153300	LPERR03G11140	85.1613	39.0533
Os01g0153400	LPERR01G03130	86.7188	40.5603
Os01g0153500	LPERR01G03190	72.0165	12.0606
Os01g0153800	LPERR01G03180	69.4823	43.9655
Os01g0153800	LPERR01G03250	66.2125	71.4706
Os01g0153900	LPERR01G03140	18.0392	47.9167
Os01g0153950	LPERR01G03140	0	0
Os01g0154100	LPERR01G03140	15.7303	43.75
Os01g0154500	LPERR01G03240	60.5042	66.9767
Os01g0154600	LPERR01G03230	75.9336	38.9362
Os01g0155000	LPERR01G03260	73.8872	74.1071
Os01g0155200	LPERR01G03280	83.6342	84.2424
Os01g0155300	LPERR01G03290	67.0588	72.381
Os01g0155400	LPERR01G03300	90.1124	58.3697
Os01g0155500	LPERR01G03310	77.9915	82.7664
Os01g0155600	LPERR01G03320	94.7531	84.8066
Os01g0156000	LPERR01G03340	81.6993	83.0565
Os01g0156300	LPERR01G03360	48.9474	49.7326
Os01g0156300	LPERR01G03380	50.5263	50
Os01g0157200	LPERR03G33140	5.11628	8.73016
Os01g0157400	LPERR01G03410	34.7619	60.3306
Os01g0157500	LPERR01G03420	50.6383	61.658
Os01g0157600	LPERR01G03430	68.8136	67.4419
Os01g0157700	LPERR01G03440	68.9655	30.5344
Os01g0157800	LPERR01G03450	93.75	25.9259
Os01g0157900	LPERR01G03460	74.0426	79.4521
Os01g0158000	LPERR01G03470	91.8561	91.8561
Os01g0158100	LPERR01G03480	76.03	79.2969
Os01g0158200	LPERR01G03490	89.3843	92.1225
Os01g0158400	LPERR01G03500	77.8689	77.551
Os01g0158500	LPERR01G03510	70.5686	55.1634
Os01g0158800	LPERR01G03520	38.2353	44.6078
Os01g0158900	LPERR01G03530	91.6392	91.2377
Os01g0159000	LPERR01G03540	80.1105	54.5113
Os01g0159200	LPERR01G03550	89.3617	61.7647
Os01g0159300	LPERR01G03560	78.0439	80.1229
Os01g0159400	LPERR01G03570	95.1501	81.5842
Os01g0159600	LPERR01G03580	91.3979	85.8586
Os01g0159800	LPERR01G03590	72.2628	38.9764
Os01g0160100	LPERR01G03600	96.8174	97.6351
Os01g0160200	LPERR01G03610	57.5992	75.0315
Os01g0160800	LPERR01G03640	69.5035	72.5926
Os01g0160800	LPERR01G03950	51.773	50.6944
Os01g0160800	LPERR01G03960	67.3759	32.59
Os01g0160800	LPERR01G03980	69.5035	69.5035
Os01g0161300	LPERR01G03650	53.5503	58.1994
Os01g0162900	LPERR01G03670	59.2814	44.7964
Os01g0164075	LPERR01G03700	52.809	50.8108
Os01g0164300	LPERR01G03700	64.433	67.5676
Os01g0164400	LPERR01G03710	92.7083	38.3621
Os01g0164500	LPERR01G03720	95.0541	95.0541
Os01g0164600	LPERR01G03730	85.1964	92.1569
Os01g0164700	LPERR01G03740	58.4615	23.4568
Os01g0164800	LPERR01G03750	81.0277	13.2088
Os01g0164900	LPERR01G03750	77.131	23.9046
Os01g0165000	LPERR01G03760	85.7664	85.1449
Os01g0165100	LPERR01G03770	89.4422	89.4422
Os01g0165200	LPERR01G03780	68	71.6867
Os01g0165200	LPERR09G08500	16.7143	23.8776
Os01g0165600	LPERR01G03790	46.4706	75.9615
Os01g0166100	LPERR01G03870	92.145	91.0448
Os01g0166300	LPERR01G03880	78.8288	64.1026
Os01g0166400	LPERR01G03890	71.7172	71
Os01g0166500	LPERR01G03900	51.2195	50.1992
Os01g0166700	LPERR01G03910	62.8319	64.8402
Os01g0166700	LPERR01G03920	69.469	70.0893
Os01g0166800	LPERR01G03930	93.6348	93.6348
Os01g0167500	LPERR01G03990	97.4719	97.4719
Os01g0167600	LPERR01G04000	44.3503	73.0233
Os01g0167700	LPERR01G04010	63.7989	43.2904
Os01g0167800	LPERR01G04020	80.5195	38.9937
Os01g0167900	LPERR01G04030	90.9722	90.9722
Os01g0168100	LPERR01G04040	83.8111	78.8889
Os01g0168200	LPERR01G04050	90.0763	90.0763
Os01g0168300	LPERR01G04060	76.0526	87.3112
Os01g0168400	LPERR01G04070	83.3724	83.1776
Os01g0168500	LPERR01G04080	97.1223	97.1223
Os01g0168600	LPERR01G04090	93.1507	54.9495
Os01g0168800	LPERR01G04100	78.869	80.303
Os01g0169400	LPERR01G04140	90.4382	80.7829
Os01g0169500	LPERR01G04150	84.202	87.3311
Os01g0169800	LPERR01G04160	81.6568	82.4701
Os01g0169900	LPERR01G04170	86.8966	88.1119
Os01g0170000	LPERR01G04180	84.9112	36.3291
Os01g0170100	LPERR01G04190	87.8676	52.7594
Os01g0170300	LPERR01G04200	82.7216	86.2745
Os01g0170500	LPERR01G04210	88.5246	79.0795
Os01g0170700	LPERR02G19630	27.7228	24.8889
Os01g0170800	LPERR01G04240	48.8372	42.5676
Os01g0170900	LPERR01G04250	56.25	67.7419
Os01g0171000	LPERR01G04260	96.9745	96.3608
Os01g0171100	LPERR01G04270	72.5389	49.6454
Os01g0171200	LPERR01G04300	33.3333	34.5538
Os01g0171800	LPERR01G04330	72.7811	71.3043
Os01g0172000	LPERR01G04360	85.9259	24.8927
Os01g0172100	LPERR01G04370	81.9338	82.3529
Os01g0172200	LPERR01G04380	84.7167	91.0765
Os01g0172300	LPERR01G04390	82.7957	84.6154
Os01g0172400	LPERR01G04400	95.4434	95.4434
Os01g0172600	LPERR01G04410	89.8678	59.824
Os01g0172900	LPERR01G04420	60.678	45.8974
Os01g0173000	LPERR01G04430	47.541	40.6542
Os01g0173600	LPERR01G04440	58.1395	71.4286
Os01g0173900	LPERR01G04450	90.6312	90.6915
Os01g0174000	LPERR01G04460	40.3458	70.7071
Os01g0174100	LPERR01G04470	80.1802	74.1667
Os01g0174300	LPERR01G04490	95.4984	95.4984
Os01g0174500	LPERR01G04500	79.868	76.3407
Os01g0174600	LPERR01G04500	8.24373	7.25552
Os01g0174700	LPERR01G04520	87.0183	84.1176
Os01g0174900	LPERR01G04530	76.2162	60.2564
Os01g0175000	LPERR01G04540	96.1089	85.7639
Os01g0175100	LPERR01G04550	73.913	77.2727
Os01g0175500	LPERR01G06430	60.0418	58.5714
Os01g0175600	LPERR01G04600	91.369	91.369
Os01g0175700	LPERR01G04600	92.8571	92.8571
Os01g0176000	LPERR01G04650	75.7028	76.0081
Os01g0176100	LPERR01G04610	84.6307	42.0635
Os01g0176300	LPERR01G04620	87.5188	87.3874
Os01g0176400	LPERR01G04630	85.0515	87.766
Os01g0176500	LPERR01G04640	89.4231	90.401
Os01g0176700	LPERR01G04660	76.5199	70.3276
Os01g0176800	LPERR01G04670	82.2507	81.2839
Os01g0176900	LPERR01G04680	35.8553	64.881
Os01g0177100	LPERR01G04700	72.52	87.1233
Os01g0177200	LPERR01G04710	92.4433	93.2656
Os01g0177900	LPERR01G04730	96.5638	97.1771
Os01g0178000	LPERR01G04740	80.7107	94.0828
Os01g0178100	LPERR01G04750	80.1887	75.8929
Os01g0178200	LPERR01G04760	85.2853	94.3522
Os01g0178700	LPERR01G04820	86.385	92.2306
Os01g0178850	LPERR01G04830	78.481	86.1111
Os01g0179000	LPERR01G04840	76.4302	83.2918
Os01g0179200	LPERR01G04850	88.9535	89.7361
Os01g0179300	LPERR01G04860	60.423	80
Os01g0179400	LPERR01G04870	83.185	92.5482
Os01g0179500	LPERR01G04880	75.1391	55.9006
Os01g0179600	LPERR01G04890	75.5647	74.3434
Os01g0179700	LPERR02G21410	97.5369	38.8998
Os01g0179800	LPERR01G04900	90.2613	77.7096
Os01g0180000	LPERR01G04910	60.5769	77.0171
Os01g0180050	LPERR03G31510	22.7891	28.5106
Os01g0180300	LPERR01G04920	80.8094	81.2336
Os01g0180400	LPERR01G04930	69.6809	57.4561
Os01g0180600	LPERR01G04940	86.2745	85.3678
Os01g0180700	LPERR01G04950	77.7778	77.1863
Os01g0180800	LPERR01G04960	92.7811	92.7811
Os01g0180900	LPERR01G04970	54.6318	60.8466
Os01g0181000	LPERR01G04980	62.1849	78.8913
Os01g0182100	LPERR01G01210	37.3626	58.2192
Os01g0182100	LPERR03G07390	55.3846	53.8462
Os01g0182200	LPERR01G04990	91.4634	90.7258
Os01g0182300	LPERR01G05000	71.345	75.7764
Os01g0182400	LPERR01G05010	73.4127	81.4978
Os01g0182500	LPERR01G05020	74.7525	53.5461
Os01g0182600	LPERR01G05030	88.7931	92.7093
Os01g0182700	LPERR01G05040	68.2143	73.4615
Os01g0183100	LPERR01G05050	89.7004	11.4456
Os01g0183300	LPERR01G05060	77.5777	78.8686
Os01g0183600	LPERR01G05070	81.9802	40.1942
Os01g0183800	LPERR01G05100	78.3562	81.4815
Os01g0183850	LPERR01G05110	65.0602	56.5445
Os01g0184000	LPERR01G05130	90.5013	93.7158
Os01g0184100	LPERR01G05140	89.1566	92.5
Os01g0184500	LPERR01G05150	80.48	80.8682
Os01g0184800	LPERR01G05190	94.4223	94.8
Os01g0184900	LPERR01G05200	97.8159	97.8159
Os01g0185100	LPERR01G05210	61.4213	42.1603
Os01g0185200	LPERR01G05220	95.7286	96.4557
Os01g0185300	LPERR01G05230	93.5561	93.1116
Os01g0185400	LPERR01G05240	84.1981	70.9742
Os01g0185500	LPERR01G05250	82.8571	81.4035
Os01g0185900	LPERR01G05260	78.3037	78.6139
Os01g0186000	LPERR01G05270	58.5492	60.1064
Os01g0186200	LPERR01G05280	87.5949	86.5
Os01g0186600	LPERR01G05290	46.1538	40.1674
Os01g0186700	LPERR01G05310	94.3015	97.7143
Os01g0187000	LPERR07G21510	51.0714	42.1829
Os01g0187000	LPERR07G22200	51.7857	42.029
Os01g0187000	LPERR12G16960	28.2143	31.1024
Os01g0187400	LPERR01G05340	93.4312	93.5619
Os01g0187500	LPERR01G05360	31.9149	13.8568
Os01g0187600	LPERR01G05370	74.1525	32.4074
Os01g0187900	LPERR01G05380	88.2514	90.7303
Os01g0188100	LPERR01G05390	87.7245	93.9103
Os01g0188200	LPERR01G00210	55.9322	14.5503
Os01g0188400	LPERR01G05400	82.6291	80.9816
Os01g0188900	LPERR01G04590	74.8299	27.2953
Os01g0189100	LPERR01G04590	51.2241	67.4938
Os01g0189800	LPERR01G06430	54.2169	55.102
Os01g0190000	LPERR01G05430	86.6667	74.6224
Os01g0190300	LPERR01G05440	77.3109	73.0159
Os01g0190400	LPERR01G05450	85.5895	84.6652
Os01g0190500	LPERR01G05460	76.9893	85.6459
Os01g0191000	LPERR01G05480	73.2955	84.8684
Os01g0191100	LPERR01G05490	82.4561	82.4561
Os01g0191200	LPERR01G05520	72.9373	80.9524
Os01g0191300	LPERR01G05530	90.7621	83.7953
Os01g0191500	LPERR01G05540	95.2475	95.2475
Os01g0191700	LPERR01G05550	96.6102	96.0674
Os01g0191800	LPERR01G05560	95.8904	95.5631
Os01g0192000	LPERR01G05580	74.3523	85.6716
Os01g0192300	LPERR01G05630	83.871	86.6667
Os01g0192500	LPERR04G20820	51.751	50.5703
Os01g0192600	LPERR01G05640	80.6916	88.3281
Os01g0192900	LPERR01G05650	70.7317	81.9565
Os01g0193400	LPERR01G05660	69.9732	59.589
Os01g0193500	LPERR01G05670	23.6203	63.3136
Os01g0193500	LPERR01G05680	38.1898	80.8411
Os01g0193600	LPERR01G05690	85.0987	88.9306
Os01g0193900	LPERR01G05700	64.1756	60.5145
Os01g0193900	LPERR08G04910	58.1257	70.3013
Os01g0194000	LPERR01G05710	56.7288	54.0434
Os01g0194200	LPERR01G05720	92.5339	93.8073
Os01g0194300	LPERR01G05730	68.2131	92.5408
Os01g0194600	LPERR01G05740	73.6	77.9661
Os01g0195000	LPERR01G05760	76.386	76.2295
Os01g0195200	LPERR01G05780	95.9821	40.2999
Os01g0195300	LPERR01G05790	61.8421	56.6265
Os01g0195400	LPERR01G05800	71.5278	66.8831
Os01g0195500	LPERR01G05810	91.9598	89.7059
Os01g0195801	LPERR01G05820	50.8651	37.3096
Os01g0196300	LPERR01G05820	54.6697	60.9137
Os01g0196600	LPERR01G05850	85.8038	81.8725
Os01g0197100	LPERR01G05860	83.2653	84.472
Os01g0197200	LPERR01G05870	96.7611	89.8496
Os01g0197400	LPERR01G05880	46.888	42.6415
Os01g0197450	LPERR01G05890	60.7535	42.6681
Os01g0197700	LPERR01G05900	80.708	80
Os01g0197900	LPERR01G05910	83.7209	27.7635
Os01g0198000	LPERR01G05910	68.9713	35.0471
Os01g0198100	LPERR01G05910	62.2807	24.3359
Os01g0198200	LPERR01G05930	93.5535	93.9968
Os01g0198500	LPERR01G05940	64.135	61.2903
Os01g0198900	LPERR01G05950	55.0926	63.2979
Os01g0199300	LPERR01G05970	57.8125	61.6667
Os01g0199400	LPERR01G05980	88.8608	91.8848
