Gene stable ID	Theobroma cacao gene stable ID	%id. target Theobroma cacao gene identical to query gene	%id. query gene identical to target Theobroma cacao gene
Os01g0111200	TCM_012240	37.9032	32.5035
Os01g0111200	TCM_019522	45.3226	46.7554
Os01g0111400	TCM_012243	49.2154	50.7353
Os01g0111500	TCM_019210	36.2712	33.0247
Os01g0111600	TCM_012687	58.6207	45.3333
Os01g0111700	TCM_019235	29.7143	37.4101
Os01g0112100	TCM_013856	33.5106	32.2251
Os01g0112400	TCM_020531	27.2727	25.8278
Os01g0112500	TCM_019211	63.2022	57.9897
Os01g0113300	TCM_011215	35.2049	37.0607
Os01g0113350	TCM_001775	27.454	29.4893
Os01g0113350	TCM_001779	34.2025	27.362
Os01g0113350	TCM_014432	35.1227	30.092
Os01g0113400	TCM_011215	32.3486	34.984
Os01g0113650	TCM_001775	25.9146	28.0066
Os01g0113650	TCM_001779	32.4695	26.135
Os01g0113650	TCM_014432	33.689	29.0407
Os01g0113700	TCM_011215	32.7007	35.7827
Os01g0114100	TCM_011215	28.9833	30.5112
Os01g0114400	TCM_011215	44.6746	24.1214
Os01g0114600	TCM_011215	34.8201	38.6581
Os01g0115200	TCM_006681	40.3846	12.0921
Os01g0115200	TCM_006683	42.9487	7.21206
Os01g0115200	TCM_025833	42.3077	11.8919
Os01g0115500	TCM_011215	47.1976	25.5591
Os01g0115700	TCM_011215	36.465	36.5815
Os01g0115750	TCM_011215	34.5133	37.3802
Os01g0116000	TCM_011215	33.6257	36.7412
Os01g0116200	TCM_011215	33.0986	37.5399
Os01g0116400	TCM_011215	33.9734	36.7412
Os01g0116600	TCM_036809	53.8931	45.3727
Os01g0116800	TCM_011215	46.8085	28.115
Os01g0117000	TCM_011215	30.2703	35.7827
Os01g0117200	TCM_011215	33.0567	38.1789
Os01g0117400	TCM_011215	43.4783	14.377
Os01g0117600	TCM_011215	33.6579	38.6581
Os01g0117900	TCM_012526	48.9305	47.0437
Os01g0118000	TCM_008998	84.7938	83.5025
Os01g0118100	TCM_009016	73.9609	49.1071
Os01g0118100	TCM_012528	77.3839	53.0595
Os01g0118300	TCM_009019	80.2353	80.047
Os01g0118400	TCM_012531	26.4505	35.2273
Os01g0118400	TCM_012535	28.157	22.9167
Os01g0118400	TCM_012547	21.1604	39.3651
Os01g0118600	TCM_012531	30.1786	38.4091
Os01g0118600	TCM_012535	31.7857	24.7222
Os01g0118600	TCM_012547	22.6786	40.3175
Os01g0118700	TCM_012531	29.1506	34.3182
Os01g0118700	TCM_012535	30.888	22.2222
Os01g0118700	TCM_012547	24.9035	40.9524
Os01g0119000	TCM_012531	30.9129	33.8636
Os01g0119000	TCM_012535	31.9502	21.3889
Os01g0119000	TCM_012547	25.3112	38.7302
Os01g0119100	TCM_012531	28.3993	37.5
Os01g0119100	TCM_012535	32.358	26.1111
Os01g0119100	TCM_012547	21.1704	39.0476
Os01g0120300	TCM_030285	73.0479	59.1837
Os01g0120400	TCM_021201	56.4394	57.9767
Os01g0120500	TCM_012562	53.937	53.1008
Os01g0120500	TCM_012567	26.378	38.7283
Os01g0120600	TCM_009162	45.3901	43.3898
Os01g0120700	TCM_009154	39.2982	40.5797
Os01g0120800	TCM_001471	65.8215	65.4234
Os01g0120800	TCM_026722	66.1258	66.5306
Os01g0121000	TCM_012897	32.8358	40.2439
Os01g0121100	TCM_019313	55.2632	54.1547
Os01g0121200	TCM_010811	52.0446	52.8302
Os01g0121200	TCM_019300	54.6468	45.9375
Os01g0121300	TCM_010813	44.8148	41.3675
Os01g0121500	TCM_010818	35.8333	28.4768
Os01g0121500	TCM_010819	39.1667	31.7568
Os01g0121500	TCM_019294	30.8333	25.3425
Os01g0121500	TCM_019295	35	28.7671
Os01g0121500	TCM_019296	31.6667	26.2069
Os01g0121600	TCM_010818	36.7347	35.7616
Os01g0121600	TCM_010819	34.0136	33.7838
Os01g0121600	TCM_019294	33.3333	33.5616
Os01g0121600	TCM_019295	31.2925	31.5068
Os01g0121600	TCM_019296	27.8912	28.2759
Os01g0121700	TCM_010820	73.0539	69.914
Os01g0121800	TCM_010822	58.4577	59.3434
Os01g0125600	TCM_010831	38.5714	41.2214
Os01g0125600	TCM_019273	14.2857	21.5827
Os01g0125700	TCM_011054	65.0794	63.8629
Os01g0125800	TCM_010832	67.8689	67.9803
Os01g0125800	TCM_012627	70	67.8855
Os01g0125900	TCM_006599	49.953	43.6678
Os01g0126200	TCM_010834	50.8361	52.4138
Os01g0127300	TCM_015750	44.1909	37.2378
Os01g0127400	TCM_010837	62.0283	63.5266
Os01g0127500	TCM_009973	56.6766	59.3168
Os01g0127900	TCM_019440	58.4112	58.9623
Os01g0128000	TCM_009642	36	39.7476
Os01g0128000	TCM_012363	36.5714	41.1576
Os01g0128100	TCM_009671	63.2302	64.1115
Os01g0128300	TCM_047044	53.0702	49.187
Os01g0128400	TCM_002449	15.3584	32.3741
Os01g0128400	TCM_010966	47.7816	48.11
Os01g0128400	TCM_019149	50.1706	50.7772
Os01g0128800	TCM_012358	55.794	15.8343
Os01g0129200	TCM_009828	36.5019	26.158
Os01g0129500	TCM_012349	34.7551	36.7279
Os01g0129600	TCM_009888	23.3038	33.4746
Os01g0130000	TCM_033518	58.312	55.3398
Os01g0130000	TCM_033521	63.4271	61.2346
Os01g0130000	TCM_033524	60.1023	50.5376
Os01g0130400	TCM_011813	66.4163	66.7026
Os01g0131300	TCM_011817	38.2857	35.0785
Os01g0131300	TCM_012326	33.1429	25.3275
Os01g0132100	TCM_017215	21.8579	33.7553
Os01g0132100	TCM_017219	29.6903	27.0989
Os01g0132100	TCM_019545	23.4062	30.1643
Os01g0132100	TCM_019546	25.6831	30.3552
Os01g0132100	TCM_019574	26.9581	30.7373
Os01g0132100	TCM_020252	13.9344	27.3703
Os01g0132100	TCM_021646	33.2423	34.434
Os01g0132100	TCM_021647	32.7869	33.8346
Os01g0132100	TCM_025238	27.1403	32.0775
Os01g0132100	TCM_030697	29.7814	31.7784
Os01g0132100	TCM_030700	29.6903	31.8049
Os01g0132100	TCM_031781	23.133	31.3968
Os01g0132100	TCM_031783	26.776	30.3093
Os01g0132100	TCM_031790	23.224	27.7476
Os01g0132100	TCM_031842	27.5046	29.8714
Os01g0132100	TCM_031844	23.9526	29.2222
Os01g0132100	TCM_031847	27.7778	30.3483
Os01g0132100	TCM_031854	28.2332	31.0621
Os01g0132100	TCM_031917	29.1439	32.3232
Os01g0132100	TCM_031926	28.8707	30.3931
Os01g0132100	TCM_032035	22.3133	29.733
Os01g0132100	TCM_032520	31.6029	28.6777
Os01g0132100	TCM_044531	26.776	31.1111
Os01g0132100	TCM_044741	26.0474	31.4978
Os01g0132100	TCM_044742	28.6885	31.4058
Os01g0132100	TCM_045328	29.0528	32.8189
Os01g0132100	TCM_045334	28.7796	32.951
Os01g0132100	TCM_046011	28.5064	31.3627
Os01g0132100	TCM_046012	18.2149	35.1494
Os01g0132100	TCM_046013	23.6794	26.2361
Os01g0132100	TCM_046015	28.5975	31.4629
Os01g0132100	TCM_046017	21.0383	37.0192
Os01g0132100	TCM_046023	18.3971	26.3021
Os01g0132500	TCM_005685	21.6981	16.0279
Os01g0132500	TCM_015920	21.6981	20.2643
Os01g0132700	TCM_025935	61.4865	61.4865
Os01g0132700	TCM_036681	60.1351	60.1351
Os01g0132766	TCM_009626	40.4494	45.5696
Os01g0132766	TCM_019421	32.5843	40.8451
Os01g0132800	TCM_019422	59.4595	63.1148
Os01g0133100	TCM_019426	18.7595	12.666
Os01g0133400	TCM_019409	74.1697	73.224
Os01g0133500	TCM_009592	48.6692	49.4208
Os01g0134500	TCM_019400	70.073	70.3297
Os01g0134700	TCM_012384	44.2922	41.3646
Os01g0135700	TCM_012743	40.884	43.787
Os01g0135800	TCM_017043	50.6667	43.9306
Os01g0136400	TCM_009541	41.4671	38.2597
Os01g0136400	TCM_012417	27.8443	18.1463
Os01g0136400	TCM_019383	42.2156	28.4274
Os01g0136800	TCM_009541	40.3904	37.1547
Os01g0136800	TCM_012417	26.4264	17.1707
Os01g0136800	TCM_019383	41.1411	27.621
Os01g0136900	TCM_009574	29.9618	27.9857
Os01g0136900	TCM_009581	35.4962	31.4721
Os01g0136900	TCM_012403	28.2443	42.6513
Os01g0136900	TCM_012406	35.8779	30.08
Os01g0136900	TCM_012416	27.8626	35.6098
Os01g0136900	TCM_019390	33.0153	28.9782
Os01g0136900	TCM_019396	29.0076	38.8747
Os01g0136900	TCM_019398	36.6412	30
Os01g0136900	TCM_031960	39.6947	29.0098
Os01g0137250	TCM_009574	44.3864	30.303
Os01g0137250	TCM_009581	51.6971	33.5025
Os01g0137250	TCM_012403	48.564	53.6023
Os01g0137250	TCM_012406	51.436	31.52
Os01g0137250	TCM_012416	48.0418	44.878
Os01g0137250	TCM_019390	42.2976	27.1357
Os01g0137250	TCM_019396	49.3473	48.3376
Os01g0137250	TCM_019398	49.0862	29.375
Os01g0137250	TCM_031960	49.8695	26.6388
Os01g0137400	TCM_009574	31.0832	35.2941
Os01g0137400	TCM_009581	33.9089	36.5482
Os01g0137400	TCM_012403	29.9843	55.0432
Os01g0137400	TCM_012406	35.0079	35.68
Os01g0137400	TCM_012416	31.3972	48.7805
Os01g0137400	TCM_019390	33.595	35.8459
Os01g0137400	TCM_019396	31.5542	51.4067
Os01g0137400	TCM_019398	38.1476	37.9688
Os01g0137400	TCM_031960	37.6766	33.4728
Os01g0137500	TCM_009574	44.5104	26.738
Os01g0137500	TCM_009581	52.2255	29.78
Os01g0137500	TCM_012403	51.632	50.1441
Os01g0137500	TCM_012406	52.5223	28.32
Os01g0137500	TCM_012416	53.7092	44.1463
Os01g0137500	TCM_019390	46.2908	26.1307
Os01g0137500	TCM_019396	54.0059	46.5473
Os01g0137500	TCM_019398	52.2255	27.5
Os01g0137500	TCM_031960	52.819	24.8257
Os01g0137950	TCM_043630	29.902	41.2162
Os01g0138300	TCM_009574	29.9703	36.0071
Os01g0138300	TCM_009581	34.4214	39.2555
Os01g0138300	TCM_012403	28.3383	55.0432
Os01g0138300	TCM_012406	34.5697	37.28
Os01g0138300	TCM_012416	29.3769	48.2927
Os01g0138300	TCM_019390	31.8991	36.0134
Os01g0138300	TCM_019396	29.2285	50.3836
Os01g0138300	TCM_019398	34.5697	36.4062
Os01g0138300	TCM_031960	36.6469	34.4491
Os01g0138400	TCM_009574	27.8184	33.8681
Os01g0138400	TCM_009581	33.2357	38.4095
Os01g0138400	TCM_012403	27.2328	53.6023
Os01g0138400	TCM_012406	32.6501	35.68
Os01g0138400	TCM_012416	27.2328	45.3659
Os01g0138400	TCM_019390	31.918	36.5159
Os01g0138400	TCM_019396	28.8433	50.3836
Os01g0138400	TCM_019398	34.1142	36.4062
Os01g0138400	TCM_031960	37.3353	35.5649
Os01g0138600	TCM_040798	24.4048	12.1662
Os01g0138800	TCM_019376	39.6752	33.2039
Os01g0138800	TCM_019377	69.1415	69.7892
Os01g0138900	TCM_012436	58.5202	53.8144
Os01g0138900	TCM_019371	49.5516	43.2485
Os01g0139000	TCM_012437	41.3146	39.819
Os01g0139200	TCM_012488	34.4262	32.4438
Os01g0139200	TCM_019364	21.4605	30.3158
Os01g0139600	TCM_009409	58.4665	43.5714
Os01g0139600	TCM_019363	61.0224	50.6631
Os01g0140100	TCM_011849	54.7619	56.4417
Os01g0140100	TCM_012281	53.1746	54.5825
Os01g0140400	TCM_011864	55.4859	56.8218
Os01g0140500	TCM_000792	48.8372	43.1507
Os01g0140500	TCM_025183	48.8372	43.1507
Os01g0140700	TCM_019508	44.4795	44.6203
Os01g0141000	TCM_019508	41.9178	48.4177
Os01g0141100	TCM_041448	93.3993	64.7597
Os01g0141100	TCM_043963	87.7888	60.5923
Os01g0141300	TCM_041448	67.1548	73.4554
Os01g0141300	TCM_043963	64.8536	70.615
Os01g0141600	TCM_021703	60.3715	39.6341
Os01g0141700	TCM_041629	57.976	61.0108
Os01g0141900	TCM_021711	50.9901	55.5755
Os01g0141900	TCM_042539	56.2706	57.6988
Os01g0142100	TCM_042565	59.3407	61.597
Os01g0142200	TCM_007059	75	66.4948
Os01g0142200	TCM_038578	22.6744	46.4286
Os01g0142300	TCM_021743	75.2294	63.3205
Os01g0143300	TCM_042688	51.1364	52.3256
Os01g0143700	TCM_042688	41.6988	41.8605
Os01g0143800	TCM_042688	34.1818	36.4341
Os01g0144000	TCM_000855	51.632	66.1597
Os01g0144000	TCM_006340	48.9614	63.7066
Os01g0144000	TCM_034638	47.4777	61.3027
Os01g0144100	TCM_042732	73.2323	65.0224
Os01g0144200	TCM_021893	71.5596	72.5581
Os01g0144340	TCM_042708	63.8655	62.8966
Os01g0144500	TCM_012308	36.0656	28.8525
Os01g0144500	TCM_012312	33.6066	30.0366
Os01g0144500	TCM_012323	36.8852	30
Os01g0144600	TCM_041809	38.5	43.75
Os01g0144700	TCM_037474	39.5604	36
Os01g0147200	TCM_016608	58.9118	63.6917
Os01g0147200	TCM_030593	33.7711	44.8878
Os01g0147200	TCM_030595	25.3283	45.9184
Os01g0147200	TCM_030624	33.2083	44.1397
Os01g0147200	TCM_030627	30.7692	50.6173
Os01g0147200	TCM_030629	30.7692	50.4615
Os01g0147200	TCM_045027	29.2683	44.4444
Os01g0147300	TCM_021923	61.7647	32.8982
Os01g0147300	TCM_041822	64.7059	32.4324
Os01g0147800	TCM_042749	44.4681	39.6584
Os01g0147900	TCM_042755	81.8182	69.9324
Os01g0148000	TCM_021934	43.8202	17.0886
Os01g0148050	TCM_021934	44.6186	20.7887
Os01g0148400	TCM_031378	11.0224	21.6301
Os01g0149350	TCM_000309	21.3131	24.7944
Os01g0149350	TCM_031176	21.8182	25.5319
Os01g0149500	TCM_000309	21.8402	25.3819
Os01g0149500	TCM_031176	22.2447	26.0047
Os01g0149600	TCM_021991	75.817	83.4532
Os01g0149600	TCM_041584	81.0458	87.3239
Os01g0149600	TCM_041887	78.4314	79.4702
Os01g0149600	TCM_041892	79.085	81.7568
Os01g0149600	TCM_043377	77.7778	83.2168
Os01g0149800	TCM_021938	64.6341	64.6341
Os01g0149900	TCM_021940	16.7116	13.7168
Os01g0149900	TCM_041612	13.8814	11.7045
Os01g0149900	TCM_041843	7.95148	22.1805
Os01g0150000	TCM_042773	80.6452	80.6452
Os01g0150100	TCM_042787	56.6667	22.3684
Os01g0150200	TCM_000991	67.8733	54.5455
Os01g0150400	TCM_000991	32.2275	24.7273
Os01g0150500	TCM_000991	33.4842	26.9091
Os01g0150800	TCM_000991	52.8889	43.2727
Os01g0151100	TCM_021960	59.9634	65.4691
Os01g0151100	TCM_041867	58.5009	63.745
Os01g0151100	TCM_042792	58.5009	63.1164
Os01g0151200	TCM_041869	66.6667	67.8492
Os01g0151400	TCM_037741	62.8571	20.9192
Os01g0151500	TCM_037741	50.3636	43.8986
Os01g0151600	TCM_041882	67.5978	67.5978
Os01g0151700	TCM_021980	68.5358	56.266
Os01g0151900	TCM_031610	44.9438	44.9438
Os01g0152000	TCM_019542	36.0563	40.8077
Os01g0152000	TCM_021718	42.0657	42.5047
Os01g0152000	TCM_024506	39.8122	41.4873
Os01g0152000	TCM_026283	39.5305	40.5197
Os01g0152000	TCM_041642	40.939	41.327
Os01g0152000	TCM_042542	40.8451	41.3105
Os01g0152000	TCM_042545	41.1268	25.6591
Os01g0152000	TCM_042547	41.5023	43.2485
Os01g0152000	TCM_042548	41.4085	42.774
Os01g0152000	TCM_042549	38.5915	41.0589
Os01g0152000	TCM_042555	36.0563	36.2264
Os01g0152000	TCM_042556	41.3146	43.4783
Os01g0152000	TCM_042561	40.7512	42.5908
Os01g0152000	TCM_047097	39.4366	39.2523
Os01g0152300	TCM_021991	75.1634	82.7338
Os01g0152300	TCM_041584	80.3922	86.6197
Os01g0152300	TCM_041887	77.7778	78.8079
Os01g0152300	TCM_041892	78.4314	81.0811
Os01g0152300	TCM_043377	77.1242	82.5175
Os01g0152600	TCM_019542	37.1429	41.4453
Os01g0152600	TCM_021718	41.3333	41.1765
Os01g0152600	TCM_024506	38.2857	39.3346
Os01g0152600	TCM_026283	38.7619	39.1723
Os01g0152600	TCM_041642	42	41.8009
Os01g0152600	TCM_042542	40.8571	40.7407
Os01g0152600	TCM_042545	41.3333	25.4247
Os01g0152600	TCM_042547	39.4286	40.5088
Os01g0152600	TCM_042548	41.9048	42.677
Os01g0152600	TCM_042549	40	41.958
Os01g0152600	TCM_042555	37.5238	37.1698
Os01g0152600	TCM_042556	41.619	43.1818
Os01g0152600	TCM_042561	40.8571	42.1001
Os01g0152600	TCM_047097	39.8095	39.0654
Os01g0152700	TCM_041564	65.8537	33.3333
Os01g0152800	TCM_019542	36.156	40.3826
Os01g0152800	TCM_021718	41.1989	41.0816
Os01g0152800	TCM_024506	39.5814	40.7045
Os01g0152800	TCM_026283	39.7716	40.231
Os01g0152800	TCM_041642	41.1037	40.9479
Os01g0152800	TCM_042542	40.4377	40.3609
Os01g0152800	TCM_042545	40.9134	25.1904
Os01g0152800	TCM_042547	39.9619	41.0959
Os01g0152800	TCM_042548	40.2474	41.0281
Os01g0152800	TCM_042549	38.2493	40.1598
Os01g0152800	TCM_042555	35.9657	35.6604
Os01g0152800	TCM_042556	39.9619	41.502
Os01g0152800	TCM_042561	39.5814	40.8243
Os01g0152800	TCM_047097	40.0571	39.3458
Os01g0152900	TCM_021991	75.817	83.4532
Os01g0152900	TCM_041584	80.3922	86.6197
Os01g0152900	TCM_041887	78.4314	79.4702
Os01g0152900	TCM_041892	79.085	81.7568
Os01g0152900	TCM_043377	77.1242	82.5175
Os01g0153000	TCM_019542	35.4127	39.2136
Os01g0153000	TCM_021718	40.9789	40.5123
Os01g0153000	TCM_024506	38.1958	38.9432
Os01g0153000	TCM_026283	38.7716	38.8835
Os01g0153000	TCM_041642	41.2668	40.7583
Os01g0153000	TCM_042542	40.1152	39.6961
Os01g0153000	TCM_042545	41.3628	25.249
Os01g0153000	TCM_042547	38.9635	39.726
Os01g0153000	TCM_042548	40.595	41.0281
Os01g0153000	TCM_042549	37.3321	38.8611
Os01g0153000	TCM_042555	35.0288	34.434
Os01g0153000	TCM_042556	39.7313	40.9091
Os01g0153000	TCM_042561	38.5797	39.4504
Os01g0153000	TCM_047097	38.2917	37.2897
Os01g0153100	TCM_021991	77.7778	85.6115
Os01g0153100	TCM_041584	82.3529	88.7324
Os01g0153100	TCM_041887	80.3922	81.457
Os01g0153100	TCM_041892	81.0458	83.7838
Os01g0153100	TCM_043377	79.085	84.6154
Os01g0153200	TCM_041895	30.7018	26.9231
Os01g0153200	TCM_043783	30.7018	26.9231
Os01g0153200	TCM_043789	30.7018	26.9231
Os01g0153250	TCM_041888	42.5743	42.5275
Os01g0153300	TCM_021991	75.4839	84.1727
Os01g0153300	TCM_041584	80.6452	88.0282
Os01g0153300	TCM_041887	78.0645	80.1325
Os01g0153300	TCM_041892	78.7097	82.4324
Os01g0153300	TCM_043377	77.4194	83.9161
Os01g0153400	TCM_006321	74.2188	41.0663
Os01g0153500	TCM_042950	34.1564	40.4878
Os01g0153500	TCM_042953	30.4527	44.3114
Os01g0153500	TCM_042954	45.679	43.7008
Os01g0153500	TCM_042955	15.2263	52.8571
Os01g0153600	TCM_042950	8.76623	13.1707
Os01g0153600	TCM_042953	8.11688	14.9701
Os01g0153600	TCM_042954	13.961	16.9291
Os01g0153600	TCM_042955	11.3636	50
Os01g0153800	TCM_025062	38.9646	45.3968
Os01g0153800	TCM_026678	38.4196	43.5185
Os01g0153800	TCM_041202	40.327	44.713
Os01g0153900	TCM_042950	30.9804	38.5366
Os01g0153900	TCM_042953	26.6667	40.7186
Os01g0153900	TCM_042954	36.4706	36.6142
Os01g0153900	TCM_042955	9.80392	35.7143
Os01g0153950	TCM_042950	0	0
Os01g0153950	TCM_042953	0	0
Os01g0153950	TCM_042954	0	0
Os01g0153950	TCM_042955	0	0
Os01g0154100	TCM_042950	26.5918	34.6341
Os01g0154100	TCM_042953	25.8427	41.3174
Os01g0154100	TCM_042954	37.4532	39.3701
Os01g0154100	TCM_042955	10.4869	40
Os01g0154200	TCM_042950	25.8687	32.6829
Os01g0154200	TCM_042953	23.166	35.9281
Os01g0154200	TCM_042954	37.8378	38.5827
Os01g0154200	TCM_042955	11.9691	44.2857
Os01g0154500	TCM_042950	28.9916	33.6585
Os01g0154500	TCM_042953	23.1092	32.9341
Os01g0154500	TCM_042954	35.7143	33.4646
Os01g0154500	TCM_042955	13.0252	44.2857
Os01g0154600	TCM_042950	30.2905	35.6098
Os01g0154600	TCM_042953	22.8216	32.9341
Os01g0154600	TCM_042954	32.7801	31.1024
Os01g0154600	TCM_042955	12.0332	41.4286
Os01g0155000	TCM_025062	39.7626	42.5397
Os01g0155000	TCM_026678	39.1691	40.7407
Os01g0155000	TCM_041202	40.9496	41.6918
Os01g0155200	TCM_007853	47.0517	41.4195
Os01g0155200	TCM_031521	40.1925	42.4396
Os01g0155300	TCM_041917	44.1176	49.8339
Os01g0155300	TCM_042974	41.7647	47.3333
Os01g0155400	TCM_022026	43.5955	25.7294
Os01g0155400	TCM_042992	53.0337	35.0148
Os01g0155500	TCM_041936	40.1709	45.1923
Os01g0155500	TCM_043009	36.7521	41.8491
Os01g0155600	TCM_043024	62.037	66.1184
Os01g0157700	TCM_022098	35.3448	22.4044
Os01g0157800	TCM_022096	75.8929	68.5484
Os01g0157800	TCM_043084	80.3571	59.6026
Os01g0157900	TCM_022112	60.8511	51.0714
Os01g0158000	TCM_022105	64.7727	65.896
Os01g0158200	TCM_043104	54.7771	55.6034
Os01g0158400	TCM_025747	28.2787	37.0968
Os01g0158400	TCM_025750	23.7705	29.1457
Os01g0158500	TCM_037764	67.3913	62.1914
Os01g0158600	TCM_017215	19.7845	28.4107
Os01g0158600	TCM_017219	31.8315	27.0158
Os01g0158600	TCM_019545	27.522	32.9812
Os01g0158600	TCM_019546	30.95	34.0151
Os01g0158600	TCM_019574	32.0274	33.9564
Os01g0158600	TCM_020252	14.6915	26.8336
Os01g0158600	TCM_021646	36.8266	35.4717
Os01g0158600	TCM_021647	36.6308	35.1504
Os01g0158600	TCM_025238	30.8521	33.9074
Os01g0158600	TCM_030697	32.4192	32.1672
Os01g0158600	TCM_030700	33.0069	32.878
Os01g0158600	TCM_031781	28.0118	35.3523
Os01g0158600	TCM_031783	32.0274	33.7113
Os01g0158600	TCM_031790	25.1714	27.9652
Os01g0158600	TCM_031842	29.7747	30.0692
Os01g0158600	TCM_031844	26.4447	30
Os01g0158600	TCM_031847	29.4809	29.9502
Os01g0158600	TCM_031854	30.3624	31.0621
Os01g0158600	TCM_031917	31.3418	32.3232
Os01g0158600	TCM_031926	32.1254	31.4477
Os01g0158600	TCM_032035	25.4652	31.5534
Os01g0158600	TCM_032520	33.5945	28.3471
Os01g0158600	TCM_044531	31.5377	34.0741
Os01g0158600	TCM_044741	30.4603	34.2511
Os01g0158600	TCM_044742	33.0069	33.5992
Os01g0158600	TCM_045328	32.811	34.465
Os01g0158600	TCM_045334	32.5171	34.6194
Os01g0158600	TCM_046011	30.95	31.6633
Os01g0158600	TCM_046012	17.1401	30.7557
Os01g0158600	TCM_046013	24.8776	25.6307
Os01g0158600	TCM_046015	30.8521	31.5631
Os01g0158600	TCM_046017	20.0784	32.8526
Os01g0158600	TCM_046023	19.4907	25.9115
Os01g0158800	TCM_021689	27.7311	27.6151
Os01g0158900	TCM_042496	53.5754	55.4039
Os01g0159000	TCM_001605	43.0939	31.8367
Os01g0159200	TCM_022129	45.7447	34.8178
Os01g0159200	TCM_041052	47.8723	36.1446
Os01g0159300	TCM_022121	22.1557	20.1087
Os01g0159300	TCM_043109	23.3533	21.2727
Os01g0159400	TCM_021674	77.1363	70.021
Os01g0159800	TCM_042475	25.5474	13.5659
Os01g0160100	TCM_021649	80.2345	79.1736
Os01g0160100	TCM_021650	75.5444	73.4528
Os01g0160100	TCM_021652	56.9514	76.0626
Os01g0160100	TCM_021653	42.3786	69.8895
Os01g0160100	TCM_042172	81.2395	80.1653
Os01g0160200	TCM_017215	19.8451	28.8326
Os01g0160200	TCM_017219	32.1394	27.5977
