Gene stable ID	Beta vulgaris subsp. vulgaris gene stable ID	%id. target Beta vulgaris subsp. vulgaris gene identical to query gene	%id. query gene identical to target Beta vulgaris subsp. vulgaris gene
Os01g0102800	BVRB_5g121290	69.0294	52.0988
Os01g0102900	BVRB_6g151890	37.5	33.8028
Os01g0103000	BVRB_4g097630	74.569	74.2489
Os01g0103100	BVRB_6g149600	62.0462	59.4937
Os01g0103600	BVRB_8g193480	36.9863	37.6744
Os01g0103600	BVRB_8g193490	26.484	38.6667
Os01g0103600	BVRB_8g193500	15.0685	32.3529
Os01g0103600	BVRB_8g193510	23.7443	39.0977
Os01g0103600	BVRB_8g193520	29.6804	41.4013
Os01g0103600	BVRB_8g193590	48.4018	49.3023
Os01g0103700	BVRB_2g029630	20.8333	3.0837
Os01g0103800	BVRB_014550	41.2574	45.7516
Os01g0103900	BVRB_5g126860	38.7029	25.5525
Os01g0104000	BVRB_1g012420	51.7117	70.1712
Os01g0104100	BVRB_9g209770	53.3493	61.4325
Os01g0104600	BVRB_3g069140	66.5362	63.4328
Os01g0104800	BVRB_9g217260	35.0388	32.659
Os01g0104900	BVRB_1g006980	48.9316	48.8273
Os01g0105700	BVRB_1g007010	20.1031	31.5789
Os01g0105700	BVRB_6g129340	22.1649	22.2222
Os01g0105800	BVRB_1g017530	70.2899	71.3235
Os01g0105800	BVRB_3g055060	71.0145	73.1343
Os01g0105900	BVRB_6g129120	59.1029	59.893
Os01g0106200	BVRB_6g129070	55.102	58.6957
Os01g0106200	BVRB_9g217230	68.8775	70.3125
Os01g0106700	BVRB_5g117140	41.3328	43.6529
Os01g0106700	BVRB_5g117150	7.31807	23.5837
Os01g0106900	BVRB_5g117060	83.2981	83.2981
Os01g0107700	BVRB_006270	50.1818	52.8736
Os01g0107900	BVRB_5g116980	47.5279	45.2888
Os01g0108000	BVRB_7g166890	42.2164	45.7143
Os01g0108200	BVRB_008170	64.7945	64.7945
Os01g0108200	BVRB_008180	70.274	62.561
Os01g0108800	BVRB_6g148900	49.7836	19.2953
Os01g0109300	BVRB_4g096270	60.6855	63.7712
Os01g0109700	BVRB_2g026010	52.2624	51.2953
Os01g0110100	BVRB_6g140970	59.8248	60.9694
Os01g0110400	BVRB_9g206140	73.3173	75.3086
Os01g0110500	BVRB_6g140850	51.2894	43.289
Os01g0110700	BVRB_6g141100	73.6232	73.6944
Os01g0110800	BVRB_6g141180	47.3333	43.5583
Os01g0111100	BVRB_5g125980	49.3197	44.7531
Os01g0111200	BVRB_2g026330	37.7419	39.3939
Os01g0111200	BVRB_6g141210	45.4839	47.5548
Os01g0111400	BVRB_5g126020	47.7889	49.1924
Os01g0111500	BVRB_2g027790	33.5593	29.7297
Os01g0111600	BVRB_8g181350	45.977	46.7836
Os01g0111600	BVRB_8g181360	55.7471	54.4944
Os01g0112100	BVRB_5g122170	32.1809	30.3258
Os01g0112400	BVRB_3g069870	27.6224	27.3356
Os01g0112500	BVRB_2g027780	61.5169	59.1892
Os01g0113350	BVRB_4g074270	27.1472	22.9275
Os01g0113350	BVRB_4g074280	21.4724	42.9448
Os01g0113650	BVRB_4g074270	27.7439	23.5751
Os01g0113650	BVRB_4g074280	21.189	42.638
Os01g0115200	BVRB_4g082130	41.6667	12.6953
Os01g0116600	BVRB_2g034750	54.3511	47.8495
Os01g0117900	BVRB_5g126140	56.9519	57.4124
Os01g0118000	BVRB_4g078150	81.9588	80.1008
Os01g0118000	BVRB_7g159930	84.0206	81.2968
Os01g0118100	BVRB_5g126350	75.3056	51.5481
Os01g0118100	BVRB_6g143010	73.5941	49.0228
Os01g0118300	BVRB_1g011180	76.9412	76.9412
Os01g0120300	BVRB_8g185660	71.7884	57.634
Os01g0120400	BVRB_008010	51.1364	52.3256
Os01g0120500	BVRB_5g112010	36.6142	43.662
Os01g0120600	BVRB_6g142970	41.844	42.2939
Os01g0120700	BVRB_4g079210	22.807	39.3939
Os01g0120700	BVRB_6g142950	38.9474	32.3615
Os01g0120800	BVRB_4g076280	66.1258	66.8033
Os01g0121000	BVRB_1g015550	28.8557	35.3659
Os01g0121100	BVRB_2g027420	51.1696	50
Os01g0121200	BVRB_2g027450	35.6877	42.2907
Os01g0121200	BVRB_6g142750	47.5836	48.6692
Os01g0121300	BVRB_6g142770	41.1111	39.0158
Os01g0121500	BVRB_2g027480	25.8333	38.75
Os01g0121600	BVRB_2g027480	21.0884	38.75
Os01g0121700	BVRB_6g142820	71.8563	64.9526
Os01g0121800	BVRB_6g142830	55.9701	55.5556
Os01g0125600	BVRB_2g027590	16.1905	25.1852
Os01g0125700	BVRB_2g027580	63.1746	60.4863
Os01g0125800	BVRB_6g142710	64.4262	64.4262
Os01g0125900	BVRB_9g213850	49.0122	45.542
Os01g0126200	BVRB_014180	35.4515	55.643
Os01g0126200	BVRB_6g156330	17.7258	53
Os01g0127300	BVRB_008370	45.2282	43.9516
Os01g0127300	BVRB_5g106470	44.3983	43.1452
Os01g0127400	BVRB_007340	62.9717	64.8058
Os01g0127500	BVRB_6g141920	56.9733	56.4706
Os01g0127900	BVRB_2g026950	51.4019	45.929
Os01g0128000	BVRB_6g141520	34	43.2727
Os01g0128300	BVRB_2g026900	47.807	49.0991
Os01g0128400	BVRB_6g156140	44.7099	44.6337
Os01g0128800	BVRB_5g111000	49.3562	14.1975
Os01g0129500	BVRB_5g110920	31.7536	31.3573
Os01g0129600	BVRB_016000	4.71976	21.6216
Os01g0130000	BVRB_1g021200	63.1714	65.3439
Os01g0130400	BVRB_6g142010	65.3433	64.1053
Os01g0131300	BVRB_6g142040	28	27.2222
Os01g0132100	BVRB_4g092510	26.4117	30.2083
Os01g0132100	BVRB_5g103080	34.6995	34.1092
Os01g0132100	BVRB_5g119800	26.9581	29.5409
Os01g0132100	BVRB_9g225680	24.6812	28.7992
Os01g0132500	BVRB_5g104720	21.6981	21.1009
Os01g0132700	BVRB_5g102410	57.4324	56.2914
Os01g0132766	BVRB_6g141700	37.8277	40.8907
Os01g0132800	BVRB_2g027010	60.6178	64.0816
Os01g0133100	BVRB_2g026990	17.2466	12.1535
Os01g0133400	BVRB_2g027020	72.8782	71.6878
Os01g0133500	BVRB_6g142560	34.4106	62.1993
Os01g0134500	BVRB_2g027040	65.6934	64.7482
Os01g0134500	BVRB_3g050450	47.0803	48.4962
Os01g0134500	BVRB_3g050460	35.7664	48.7562
Os01g0134700	BVRB_5g111120	38.5845	38.2353
Os01g0135700	BVRB_1g005460	35.9116	37.7907
Os01g0136000	BVRB_2g025750	76.5101	71.25
Os01g0136100	BVRB_2g025750	76	71.25
Os01g0136200	BVRB_2g025750	76.6667	71.875
Os01g0136400	BVRB_2g027100	39.521	38.3164
Os01g0136800	BVRB_2g027100	37.0871	35.8491
Os01g0136900	BVRB_2g027140	37.2137	30.1391
Os01g0136900	BVRB_3g060090	25.3817	62.1495
Os01g0136900	BVRB_4g077880	27.2901	25.1761
Os01g0136900	BVRB_4g077890	34.3511	27.6498
Os01g0137250	BVRB_2g027140	47.7807	28.2844
Os01g0137250	BVRB_3g060090	33.9426	60.7477
Os01g0137250	BVRB_4g077880	34.7258	23.4155
Os01g0137250	BVRB_4g077890	48.0418	28.2642
Os01g0137400	BVRB_2g027140	35.7928	35.2396
Os01g0137400	BVRB_3g060090	21.6641	64.486
Os01g0137400	BVRB_4g077880	26.2166	29.4014
Os01g0137400	BVRB_4g077890	32.967	32.2581
Os01g0137500	BVRB_2g027140	48.9614	25.5023
Os01g0137500	BVRB_3g060090	38.5757	60.7477
Os01g0137500	BVRB_4g077880	35.3116	20.9507
Os01g0137500	BVRB_4g077890	51.3353	26.5745
Os01g0138300	BVRB_2g027140	34.7181	36.1669
Os01g0138300	BVRB_3g060090	20.3264	64.0187
Os01g0138300	BVRB_4g077880	26.7062	31.6901
Os01g0138300	BVRB_4g077890	32.3442	33.4869
Os01g0138400	BVRB_2g027140	33.0893	34.9304
Os01g0138400	BVRB_3g060090	19.1801	61.215
Os01g0138400	BVRB_4g077880	25.3294	30.4577
Os01g0138400	BVRB_4g077890	31.0395	32.5653
Os01g0138600	BVRB_4g073350	22.0238	12.4161
Os01g0138800	BVRB_2g027190	21.3457	48.4211
Os01g0138800	BVRB_2g027200	61.7169	63.3333
Os01g0138800	BVRB_6g142430	65.4292	64.977
Os01g0139000	BVRB_6g142390	38.4977	37.6147
Os01g0139200	BVRB_5g126220	28.614	31.2195
Os01g0139600	BVRB_4g080520	18.5304	24.7863
Os01g0139600	BVRB_6g143240	50.4792	53.7415
Os01g0140100	BVRB_5g110770	52.5794	52.2682
Os01g0140400	BVRB_6g155650	51.5674	52.5559
Os01g0140500	BVRB_6g128160	47.2868	41.7808
Os01g0140700	BVRB_6g142620	52.6814	41.8546
Os01g0141000	BVRB_6g142620	49.589	45.3634
Os01g0141100	BVRB_7g176290	90.099	62.9032
Os01g0141300	BVRB_7g176290	66.318	73.0415
Os01g0141600	BVRB_5g102560	60.3715	39.1566
Os01g0141700	BVRB_1g015970	56.9468	60.6947
Os01g0141900	BVRB_2g023960	51.4851	50.9804
Os01g0142100	BVRB_2g023530	56.9597	58.0224
Os01g0142200	BVRB_5g126330	69.7674	70.1754
Os01g0142300	BVRB_5g111830	74.5413	75.0577
Os01g0142300	BVRB_5g112050	13.5321	85.5072
Os01g0143300	BVRB_2g025510	47.7273	49.0272
Os01g0143700	BVRB_2g025510	38.61	38.9105
Os01g0143800	BVRB_2g025510	35.2727	37.7432
Os01g0144000	BVRB_6g128620	46.8843	61.2403
Os01g0144000	BVRB_9g222470	43.6202	62.0253
Os01g0144100	BVRB_2g025360	71.2121	60.7759
Os01g0144200	BVRB_5g111500	72.0183	73.3645
Os01g0144340	BVRB_2g025000	60.2241	56.5789
Os01g0144500	BVRB_3g059920	30.3279	18.2716
Os01g0144600	BVRB_7g173600	38	40.8602
Os01g0144700	BVRB_8g190880	38.4615	38.0435
Os01g0147200	BVRB_9g203320	57.7861	59.6899
Os01g0147300	BVRB_5g111760	60.2941	31.7829
Os01g0147300	BVRB_7g173750	55.8824	32.3864
Os01g0147800	BVRB_2g024840	39.3617	38.8655
Os01g0147900	BVRB_2g024780	85.3755	85.3755
Os01g0148000	BVRB_022800	5.99251	24
Os01g0148000	BVRB_9g205650	41.9476	14.9533
Os01g0148050	BVRB_022800	1.25392	6
Os01g0148050	BVRB_9g205650	41.3793	17.6235
Os01g0148400	BVRB_9g204350	9.90415	19.375
Os01g0149350	BVRB_9g203570	21.8182	25.5924
Os01g0149500	BVRB_9g203570	22.1436	25.9479
Os01g0149600	BVRB_4g083040	75.1634	84.5588
Os01g0149600	BVRB_7g161360	75.1634	82.7338
Os01g0149600	BVRB_7g174370	83.0065	83.0065
Os01g0149600	BVRB_7g174410	83.6601	85.906
Os01g0149600	BVRB_7g174420	78.4314	84.507
Os01g0149600	BVRB_7g174430	83.6601	85.906
Os01g0149900	BVRB_5g110240	13.7466	14.7612
Os01g0149900	BVRB_7g173910	14.2857	17.2078
Os01g0150000	BVRB_2g024650	80	79.7428
Os01g0150100	BVRB_2g037590	53.3333	22.7273
Os01g0150200	BVRB_6g133690	71.9457	71.9457
Os01g0150400	BVRB_6g133690	35.0711	33.4842
Os01g0150500	BVRB_6g133690	38.009	38.009
Os01g0150800	BVRB_6g133690	52.4444	53.3937
Os01g0151100	BVRB_2g037640	31.6271	61.3475
Os01g0151100	BVRB_7g174150	57.0384	61.0568
Os01g0151200	BVRB_7g174170	61.6558	64.3182
Os01g0151400	BVRB_8g197940	60.9524	20.5128
Os01g0151500	BVRB_8g197940	50.5455	44.5513
Os01g0151600	BVRB_7g174320	64.2458	63.7119
Os01g0151700	BVRB_7g162190	70.7165	69.2073
Os01g0151900	BVRB_1g008910	41.7603	43.4698
Os01g0151900	BVRB_1g008930	41.573	43.2749
Os01g0151900	BVRB_1g008940	36.7041	43.9462
Os01g0152000	BVRB_1g021560	39.1549	41.9095
Os01g0152000	BVRB_3g054710	40.0939	41.74
Os01g0152000	BVRB_6g138300	33.4272	39.2936
Os01g0152000	BVRB_6g138830	37.8404	39.901
Os01g0152000	BVRB_9g217940	41.3146	42.7184
Os01g0152000	BVRB_9g217950	41.5962	43.3888
Os01g0152000	BVRB_9g217970	41.3146	42.5121
Os01g0152000	BVRB_9g217980	41.5023	43.2063
Os01g0152000	BVRB_9g217990	39.9061	45.0689
Os01g0152000	BVRB_9g218000	40.8451	42.8571
Os01g0152000	BVRB_9g218020	40.7512	42.2179
Os01g0152000	BVRB_9g218030	39.6244	41.2916
Os01g0152000	BVRB_9g220540	38.3099	39.3822
Os01g0152300	BVRB_4g083040	75.1634	84.5588
Os01g0152300	BVRB_7g161360	75.1634	82.7338
Os01g0152300	BVRB_7g174370	82.3529	82.3529
Os01g0152300	BVRB_7g174410	83.0065	85.2349
Os01g0152300	BVRB_7g174420	77.7778	83.8028
Os01g0152300	BVRB_7g174430	83.0065	85.2349
Os01g0152600	BVRB_1g021560	38.381	40.5025
Os01g0152600	BVRB_3g054710	40.2857	41.349
Os01g0152600	BVRB_6g138300	34.7619	40.287
Os01g0152600	BVRB_6g138830	38.7619	40.297
Os01g0152600	BVRB_9g217940	42.2857	43.1068
Os01g0152600	BVRB_9g217950	41.5238	42.7032
Os01g0152600	BVRB_9g217970	41.4286	42.029
Os01g0152600	BVRB_9g217980	41.1429	42.2287
Os01g0152600	BVRB_9g217990	40.2857	44.8568
Os01g0152600	BVRB_9g218000	41.8095	43.2512
Os01g0152600	BVRB_9g218020	39.2381	40.0778
Os01g0152600	BVRB_9g218030	41.2381	42.3679
Os01g0152600	BVRB_9g220540	38.9524	39.4788
Os01g0152700	BVRB_9g210490	60.9756	23.3645
Os01g0152800	BVRB_1g021560	37.8687	40
Os01g0152800	BVRB_3g054710	39.2959	40.3715
Os01g0152800	BVRB_6g138300	34.4434	39.9558
Os01g0152800	BVRB_6g138830	38.5347	40.099
Os01g0152800	BVRB_9g217940	41.294	42.1359
Os01g0152800	BVRB_9g217950	41.8649	43.095
Os01g0152800	BVRB_9g217970	41.8649	42.5121
Os01g0152800	BVRB_9g217980	40.5328	41.6422
Os01g0152800	BVRB_9g217990	40.3425	44.9629
Os01g0152800	BVRB_9g218000	41.3892	42.8571
Os01g0152800	BVRB_9g218020	40.0571	40.9533
Os01g0152800	BVRB_9g218030	40.3425	41.4873
Os01g0152800	BVRB_9g220540	38.5347	39.0927
Os01g0152900	BVRB_4g083040	75.1634	84.5588
Os01g0152900	BVRB_7g161360	75.1634	82.7338
Os01g0152900	BVRB_7g174370	83.0065	83.0065
Os01g0152900	BVRB_7g174410	83.6601	85.906
Os01g0152900	BVRB_7g174420	78.4314	84.507
Os01g0152900	BVRB_7g174430	83.6601	85.906
Os01g0153000	BVRB_1g021560	37.2361	38.995
Os01g0153000	BVRB_3g054710	39.9232	40.6647
Os01g0153000	BVRB_6g138300	34.5489	39.7351
Os01g0153000	BVRB_6g138830	37.7159	38.9109
Os01g0153000	BVRB_9g217940	41.0749	41.5534
Os01g0153000	BVRB_9g217950	40.595	41.43
Os01g0153000	BVRB_9g217970	41.7466	42.029
Os01g0153000	BVRB_9g217980	41.2668	42.0332
Os01g0153000	BVRB_9g217990	40.4031	44.6448
Os01g0153000	BVRB_9g218000	42.3225	43.4483
Os01g0153000	BVRB_9g218020	40.0192	40.5642
Os01g0153000	BVRB_9g218030	40.3071	41.0959
Os01g0153000	BVRB_9g220540	38.2917	38.5135
Os01g0153100	BVRB_4g083040	75.817	85.2941
Os01g0153100	BVRB_7g161360	75.817	83.4532
Os01g0153100	BVRB_7g174370	83.6601	83.6601
Os01g0153100	BVRB_7g174410	84.3137	86.5772
Os01g0153100	BVRB_7g174420	79.085	85.2113
Os01g0153100	BVRB_7g174430	84.3137	86.5772
Os01g0153200	BVRB_2g037330	31.5789	27.6923
Os01g0153200	BVRB_7g174440	31.5789	27.6923
Os01g0153250	BVRB_6g145180	39.0539	41.1833
Os01g0153300	BVRB_4g083040	73.5484	83.8235
Os01g0153300	BVRB_7g161360	73.5484	82.0144
Os01g0153300	BVRB_7g174370	81.2903	82.3529
Os01g0153300	BVRB_7g174410	81.9355	85.2349
Os01g0153300	BVRB_7g174420	76.7742	83.8028
Os01g0153300	BVRB_7g174430	81.9355	85.2349
Os01g0153400	BVRB_1g017060	71.875	40.7681
Os01g0153500	BVRB_2g024460	43.2099	43.9331
Os01g0153500	BVRB_2g024470	39.5062	38.7097
Os01g0153500	BVRB_2g024480	34.1564	36.4035
Os01g0153500	BVRB_2g024490	27.1605	36.0656
Os01g0153500	BVRB_2g024500	40.3292	40.4959
Os01g0153600	BVRB_2g024460	13.3117	17.1548
Os01g0153600	BVRB_2g024470	12.3377	15.3226
Os01g0153600	BVRB_2g024480	11.6883	15.7895
Os01g0153600	BVRB_2g024490	10.3896	17.4863
Os01g0153600	BVRB_2g024500	12.987	16.5289
Os01g0153800	BVRB_5g109250	38.4196	39.9433
Os01g0153900	BVRB_2g024460	34.5098	36.8201
Os01g0153900	BVRB_2g024470	34.5098	35.4839
Os01g0153900	BVRB_2g024480	29.4118	32.8947
Os01g0153900	BVRB_2g024490	20.3922	28.4153
Os01g0153900	BVRB_2g024500	29.0196	30.5785
Os01g0153950	BVRB_2g024460	0	0
Os01g0153950	BVRB_2g024470	0	0
Os01g0153950	BVRB_2g024480	0	0
Os01g0153950	BVRB_2g024490	0	0
Os01g0153950	BVRB_2g024500	0	0
Os01g0154100	BVRB_2g024460	34.4569	38.4937
Os01g0154100	BVRB_2g024470	35.5805	38.3064
Os01g0154100	BVRB_2g024480	29.9625	35.0877
Os01g0154100	BVRB_2g024490	22.4719	32.7869
Os01g0154100	BVRB_2g024500	33.7079	37.1901
Os01g0154200	BVRB_2g024460	35.1351	38.0753
Os01g0154200	BVRB_2g024470	35.5212	37.0968
Os01g0154200	BVRB_2g024480	32.0463	36.4035
Os01g0154200	BVRB_2g024490	23.5521	33.3333
Os01g0154200	BVRB_2g024500	35.5212	38.0165
Os01g0154500	BVRB_2g024460	32.7731	32.636
Os01g0154500	BVRB_2g024470	31.9328	30.6452
Os01g0154500	BVRB_2g024480	31.0924	32.4561
Os01g0154500	BVRB_2g024490	23.1092	30.0546
Os01g0154500	BVRB_2g024500	31.9328	31.405
Os01g0154600	BVRB_2g024460	31.9502	32.2176
Os01g0154600	BVRB_2g024470	31.5353	30.6452
Os01g0154600	BVRB_2g024480	31.9502	33.7719
Os01g0154600	BVRB_2g024490	25.3112	33.3333
Os01g0154600	BVRB_2g024500	32.3651	32.2314
Os01g0155000	BVRB_5g109250	39.1691	37.3938
Os01g0155200	BVRB_000730	30.8063	36.6762
Os01g0155200	BVRB_6g139100	44.5247	44.7942
Os01g0155200	BVRB_9g204830	38.1468	45.0925
Os01g0155200	BVRB_9g206780	44.5247	44.5247
Os01g0155300	BVRB_7g174660	40.8824	38.1868
Os01g0155400	BVRB_2g036950	49.2135	32.2533
Os01g0155400	BVRB_7g162530	33.9326	17.9976
Os01g0155500	BVRB_2g036910	36.4316	42.1508
Os01g0155500	BVRB_3g061150	38.141	42.6014
Os01g0155500	BVRB_7g174790	38.2479	43.2367
Os01g0155600	BVRB_2g036730	63.2716	61.3772
Os01g0157700	BVRB_012600	34.0517	22.7011
Os01g0157800	BVRB_013150	75	75
Os01g0157800	BVRB_2g036500	75.8929	77.2727
Os01g0157800	BVRB_6g128630	66.0714	66.0714
Os01g0157900	BVRB_7g179840	52.766	49.0119
Os01g0158000	BVRB_7g179780	63.447	64.5472
Os01g0158400	BVRB_1g006960	27.459	37.6404
Os01g0158500	BVRB_5g115640	63.8796	64.8557
Os01g0158500	BVRB_8g197660	65.3846	60.3395
Os01g0158600	BVRB_4g092510	29.4809	31.3542
Os01g0158600	BVRB_5g103080	36.141	33.0349
Os01g0158600	BVRB_5g119800	31.7336	32.3353
Os01g0158600	BVRB_9g225680	27.9138	30.2869
Os01g0158900	BVRB_2g023730	50.165	50.7795
Os01g0159000	BVRB_4g078280	46.9613	29.5139
Os01g0159000	BVRB_4g078290	38.1215	33.3333
Os01g0159200	BVRB_7g162300	50.5319	38.4615
Os01g0159300	BVRB_7g162360	19.9601	17.2414
Os01g0159400	BVRB_5g102830	76.4434	75.5708
Os01g0160100	BVRB_5g103060	79.8995	78.5832
Os01g0160200	BVRB_4g092510	30.4937	32.8125
Os01g0160200	BVRB_5g103080	36.2052	33.4825
Os01g0160200	BVRB_5g119800	31.6554	32.6347
Os01g0160200	BVRB_9g225680	28.848	31.6684
Os01g0160700	BVRB_4g092510	30.137	32.0833
Os01g0160700	BVRB_5g103080	36.8885	33.7511
Os01g0160700	BVRB_5g119800	32.2896	32.9341
Os01g0160700	BVRB_9g225680	29.6477	32.1998
Os01g0161000	BVRB_4g092510	31.8862	22.1875
Os01g0161000	BVRB_5g103080	39.521	23.6347
Os01g0161000	BVRB_5g119800	35.0299	23.3533
Os01g0161000	BVRB_9g225680	32.3353	22.9543
Os01g0161300	BVRB_4g092510	25.1479	26.5625
Os01g0161300	BVRB_5g103080	34.1223	30.9758
Os01g0161300	BVRB_5g119800	25.9369	26.2475
Os01g0161300	BVRB_9g225680	23.8659	25.7173
Os01g0162800	BVRB_4g092510	27.8101	29.8958
Os01g0162800	BVRB_5g103080	35.7558	33.0349
Os01g0162800	BVRB_5g119800	29.2636	30.1397
Os01g0162800	BVRB_9g225680	27.5194	30.1807
Os01g0163000	BVRB_4g092510	31.1728	31.5625
Os01g0163000	BVRB_5g103080	38.2716	33.3035
Os01g0163000	BVRB_5g119800	32.2016	31.2375
Os01g0163000	BVRB_9g225680	29.5267	30.4995
Os01g0164075	BVRB_2g045700	30.8989	29.8913
Os01g0164300	BVRB_2g045700	38.6598	40.7609
Os01g0164400	BVRB_7g175210	68.75	29.0749
Os01g0164500	BVRB_2g025700	58.5781	63.9123
Os01g0164500	BVRB_2g044680	59.0417	64.4182
Os01g0164600	BVRB_7g175120	54.6828	63.7324
Os01g0164700	BVRB_2g036590	40.7692	16.4596
Os01g0164800	BVRB_5g103340	46.2451	10.5596
Os01g0164900	BVRB_5g103340	7.48441	3.2491
Os01g0165000	BVRB_2g044600	27.3723	25.0836
Os01g0165100	BVRB_2g044530	49.004	49.497
Os01g0165200	BVRB_2g044510	32.7143	34.4361
Os01g0165200	BVRB_5g103480	32.4286	35.3033
Os01g0165600	BVRB_7g174920	43.5294	35.7488
Os01g0166100	BVRB_2g029580	60.7251	60.1796
Os01g0166100	BVRB_2g044460	59.2145	60.6811
Os01g0166300	BVRB_2g029580	55.4054	36.8263
Os01g0166300	BVRB_2g044460	54.0541	37.1517
Os01g0166500	BVRB_2g029940	21.9512	26.2136
Os01g0166500	BVRB_7g157570	25.2033	34.0659
Os01g0166700	BVRB_7g157510	38.0531	40.1869
Os01g0166800	BVRB_2g030060	51.4238	51.9459
Os01g0167500	BVRB_2g042710	75	79.9401
Os01g0167500	BVRB_7g175770	76.9663	77.6204
Os01g0167750	BVRB_6g138050	38.8535	37.8295
Os01g0167900	BVRB_7g175820	32.1759	23.7201
Os01g0168100	BVRB_7g175820	32.8836	33.2765
Os01g0168200	BVRB_2g033300	40.458	40.458
Os01g0168200	BVRB_2g038640	47.3282	46.6165
Os01g0168200	BVRB_7g156730	53.4351	51.8519
Os01g0168300	BVRB_2g038610	50.7895	48.4925
Os01g0168400	BVRB_7g156600	65.808	59.5339
Os01g0168500	BVRB_2g038550	67.8657	69.1932
Os01g0169400	BVRB_5g117760	47.4104	62.963
Os01g0169500	BVRB_4g096380	36.5907	36.4324
Os01g0169800	BVRB_5g117730	44.1815	48.3801
Os01g0169800	BVRB_6g148050	34.3195	23.0769
Os01g0169800	BVRB_6g148060	32.3471	39.0476
