Gene stable ID	Solanum tuberosum gene stable ID	%id. target Solanum tuberosum gene identical to query gene	%id. query gene identical to target Solanum tuberosum gene
Os01g0133100	PGSC0003DMG400026403	16.4902	11.3188
Os01g0133400	PGSC0003DMG400026402	73.0627	72.5275
Os01g0133500	PGSC0003DMG401014554	30.6084	45.3521
Os01g0134500	PGSC0003DMG400010415	70.8029	71.5867
Os01g0134500	PGSC0003DMG400026401	70.073	70.8487
Os01g0134500	PGSC0003DMG402026400	62.4088	63.3333
Os01g0134700	PGSC0003DMG400005390	41.7808	41.2162
Os01g0134700	PGSC0003DMG400005649	41.7808	41.2162
Os01g0135700	PGSC0003DMG400005745	40.884	45.122
Os01g0135700	PGSC0003DMG400028797	39.2265	46.1039
Os01g0135800	PGSC0003DMG400017098	44	47.1429
Os01g0136400	PGSC0003DMG400001269	36.5269	19.52
Os01g0136400	PGSC0003DMG400001270	9.28144	46.6165
Os01g0136400	PGSC0003DMG400005975	26.7964	59.8662
Os01g0136400	PGSC0003DMG400026384	41.3174	39.2045
Os01g0136400	PGSC0003DMG400030533	37.7246	38.1241
Os01g0136400	PGSC0003DMG400030534	38.1737	40.8654
Os01g0136400	PGSC0003DMG400030535	37.7246	40.2556
Os01g0136400	PGSC0003DMG400030536	39.2216	39.697
Os01g0136400	PGSC0003DMG401005729	41.3174	41.3793
Os01g0136400	PGSC0003DMG401030531	38.6228	37.9412
Os01g0136400	PGSC0003DMG401030532	38.1737	37.9464
Os01g0136400	PGSC0003DMG402005729	42.0659	41.8155
Os01g0136400	PGSC0003DMG402015827	33.0838	57.2539
Os01g0136400	PGSC0003DMG402030531	39.6707	40.0302
Os01g0136400	PGSC0003DMG402030532	38.4731	40.0312
Os01g0136400	PGSC0003DMG403005729	33.2335	62.7119
Os01g0136400	PGSC0003DMG403030532	32.9341	48.0349
Os01g0136800	PGSC0003DMG400001269	33.6336	17.92
Os01g0136800	PGSC0003DMG400001270	9.30931	46.6165
Os01g0136800	PGSC0003DMG400005975	24.4745	54.515
Os01g0136800	PGSC0003DMG400026384	39.6396	37.5
Os01g0136800	PGSC0003DMG400030533	35.5856	35.8548
Os01g0136800	PGSC0003DMG400030534	34.8348	37.1795
Os01g0136800	PGSC0003DMG400030535	34.2342	36.4217
Os01g0136800	PGSC0003DMG400030536	35.7357	36.0606
Os01g0136800	PGSC0003DMG401005729	40.6907	40.6297
Os01g0136800	PGSC0003DMG401030531	37.6877	36.9118
Os01g0136800	PGSC0003DMG401030532	35.1351	34.8214
Os01g0136800	PGSC0003DMG402005729	40.0901	39.7321
Os01g0136800	PGSC0003DMG402015827	31.0811	53.6269
Os01g0136800	PGSC0003DMG402030531	35.8859	36.1027
Os01g0136800	PGSC0003DMG402030532	35.1351	36.4486
Os01g0136800	PGSC0003DMG403005729	30.3303	57.0621
Os01g0136800	PGSC0003DMG403030532	30.4805	44.3231
Os01g0136900	PGSC0003DMG400001271	38.7405	37.8026
Os01g0136900	PGSC0003DMG400005730	40.0763	31.25
Os01g0136900	PGSC0003DMG400006000	31.8702	30.6422
Os01g0136900	PGSC0003DMG400012083	27.2901	28.0943
Os01g0136900	PGSC0003DMG400014577	35.8779	29.9841
Os01g0136900	PGSC0003DMG400015834	33.3969	29.8126
Os01g0136900	PGSC0003DMG400015835	35.8779	27.4052
Os01g0136900	PGSC0003DMG400026388	38.9313	31.145
Os01g0136900	PGSC0003DMG400030578	32.6336	35.3306
Os01g0136900	PGSC0003DMG400030579	35.4962	28.7481
Os01g0136900	PGSC0003DMG400030581	31.4886	34.7368
Os01g0137250	PGSC0003DMG400001271	39.4256	28.1192
Os01g0137250	PGSC0003DMG400005730	53.7859	30.6548
Os01g0137250	PGSC0003DMG400006000	44.3864	31.1927
Os01g0137250	PGSC0003DMG400012083	45.953	34.5776
Os01g0137250	PGSC0003DMG400014577	49.8695	30.4625
Os01g0137250	PGSC0003DMG400015834	52.2193	34.0715
Os01g0137250	PGSC0003DMG400015835	53.5248	29.8834
Os01g0137250	PGSC0003DMG400026388	51.6971	30.229
Os01g0137250	PGSC0003DMG400030578	50.1305	39.6694
Os01g0137250	PGSC0003DMG400030579	48.564	28.7481
Os01g0137250	PGSC0003DMG400030581	49.3473	39.7895
Os01g0137400	PGSC0003DMG400001271	30.2983	35.9404
Os01g0137400	PGSC0003DMG400005730	39.0895	37.0536
Os01g0137400	PGSC0003DMG400006000	32.1821	37.6147
Os01g0137400	PGSC0003DMG400012083	29.1994	36.5422
Os01g0137400	PGSC0003DMG400014577	35.1648	35.7257
Os01g0137400	PGSC0003DMG400015834	36.7347	39.8637
Os01g0137400	PGSC0003DMG400015835	37.2057	34.5481
Os01g0137400	PGSC0003DMG400026388	37.5196	36.4885
Os01g0137400	PGSC0003DMG400030578	30.9262	40.7025
Os01g0137400	PGSC0003DMG400030579	35.1648	34.6213
Os01g0137400	PGSC0003DMG400030581	31.7111	42.5263
Os01g0137500	PGSC0003DMG400001271	45.1039	28.3054
Os01g0137500	PGSC0003DMG400005730	54.3027	27.2321
Os01g0137500	PGSC0003DMG400006000	46.2908	28.6239
Os01g0137500	PGSC0003DMG400012083	49.5549	32.8094
Os01g0137500	PGSC0003DMG400014577	53.1157	28.5486
Os01g0137500	PGSC0003DMG400015834	54.8961	31.5162
Os01g0137500	PGSC0003DMG400015835	55.1929	27.1137
Os01g0137500	PGSC0003DMG400026388	52.2255	26.8702
Os01g0137500	PGSC0003DMG400030578	51.3353	35.7438
Os01g0137500	PGSC0003DMG400030579	51.3353	26.7388
Os01g0137500	PGSC0003DMG400030581	52.2255	37.0526
Os01g0137950	PGSC0003DMG400016052	15.6863	25.3968
Os01g0137950	PGSC0003DMG400017738	28.9216	22.8682
Os01g0137950	PGSC0003DMG400019713	14.7059	24.3902
Os01g0137950	PGSC0003DMG400019722	28.9216	25.2137
Os01g0137950	PGSC0003DMG400025605	15.1961	23.8462
Os01g0138300	PGSC0003DMG400001271	31.0089	38.9199
Os01g0138300	PGSC0003DMG400005730	36.6469	36.756
Os01g0138300	PGSC0003DMG400006000	30.1187	37.2477
Os01g0138300	PGSC0003DMG400012083	28.1899	37.3281
Os01g0138300	PGSC0003DMG400014577	35.0148	37.6396
Os01g0138300	PGSC0003DMG400015834	33.8279	38.8416
Os01g0138300	PGSC0003DMG400015835	35.1632	34.5481
Os01g0138300	PGSC0003DMG400026388	35.905	36.9466
Os01g0138300	PGSC0003DMG400030578	31.0089	43.1818
Os01g0138300	PGSC0003DMG400030579	34.4214	35.8578
Os01g0138300	PGSC0003DMG400030581	31.0089	44
Os01g0138400	PGSC0003DMG400001271	27.5256	35.0093
Os01g0138400	PGSC0003DMG400005730	35.1391	35.7143
Os01g0138400	PGSC0003DMG400006000	28.6969	35.9633
Os01g0138400	PGSC0003DMG400012083	25.4758	34.1847
Os01g0138400	PGSC0003DMG400014577	33.5285	36.5231
Os01g0138400	PGSC0003DMG400015834	32.7965	38.1601
Os01g0138400	PGSC0003DMG400015835	34.8463	34.6939
Os01g0138400	PGSC0003DMG400026388	35.5783	37.0992
Os01g0138400	PGSC0003DMG400030578	30.0146	42.3554
Os01g0138400	PGSC0003DMG400030579	33.0893	34.9304
Os01g0138400	PGSC0003DMG400030581	29.7218	42.7368
Os01g0138600	PGSC0003DMG400026385	17.8571	7.61421
Os01g0138800	PGSC0003DMG400024374	64.5012	65.566
Os01g0138800	PGSC0003DMG400026382	66.8213	67.4473
Os01g0138800	PGSC0003DMG400030530	66.5893	50.6173
Os01g0138900	PGSC0003DMG400005732	60.3139	59.3819
Os01g0139000	PGSC0003DMG400005651	18.7793	42.5532
Os01g0139000	PGSC0003DMG400030573	25.8216	35.7143
Os01g0139200	PGSC0003DMG400005666	33.532	32.8467
Os01g0139200	PGSC0003DMG400026379	24.4411	29.4434
Os01g0139600	PGSC0003DMG400030528	56.869	55.2795
Os01g0139600	PGSC0003DMG400030590	57.1885	46.0154
Os01g0139600	PGSC0003DMG402030570	58.147	56.5217
Os01g0140100	PGSC0003DMG400004070	47.2222	48.4725
Os01g0140100	PGSC0003DMG400005628	50.9921	52.8807
Os01g0140100	PGSC0003DMG401012961	52.5794	54.9793
Os01g0140400	PGSC0003DMG400000810	51.4107	51.8987
Os01g0140500	PGSC0003DMG400009063	51.938	45.8904
Os01g0140500	PGSC0003DMG400021420	48.8372	43.1507
Os01g0140500	PGSC0003DMG400035337	48.8372	43.1507
Os01g0140700	PGSC0003DMG400000811	53.3123	42.4623
Os01g0141000	PGSC0003DMG400000811	50.411	46.2312
Os01g0141100	PGSC0003DMG400019489	87.1287	60.6897
Os01g0141100	PGSC0003DMG401007403	89.4389	62.7315
Os01g0141100	PGSC0003DMG402007403	62.3762	87.0968
Os01g0141100	PGSC0003DMG403007403	10.231	17.9191
Os01g0141300	PGSC0003DMG400019489	65.272	71.7241
Os01g0141300	PGSC0003DMG401007403	65.4812	72.4537
Os01g0141300	PGSC0003DMG402007403	32.0084	70.5069
Os01g0141300	PGSC0003DMG403007403	23.0126	63.5838
Os01g0141600	PGSC0003DMG400011791	62.2291	39.881
Os01g0141700	PGSC0003DMG400022078	13.2075	53.1034
Os01g0141900	PGSC0003DMG400008491	39.769	45.0467
Os01g0141900	PGSC0003DMG401011931	31.8482	46.0621
Os01g0141900	PGSC0003DMG401023302	16.8317	58.2857
Os01g0141900	PGSC0003DMG401027184	12.3762	47.1698
Os01g0141900	PGSC0003DMG402011931	11.5512	45.1613
Os01g0141900	PGSC0003DMG402027184	15.8416	60
