Gene stable ID	Manihot esculenta gene stable ID	%id. target Manihot esculenta gene identical to query gene	%id. query gene identical to target Manihot esculenta gene
Os01g0102600	MANES_11G079700	36.0595	32.1192
Os01g0102700	MANES_04G090900	13.1707	33.75
Os01g0102700	MANES_04G091200	32.1951	56.8966
Os01g0102700	MANES_11G078900	47.8049	49
Os01g0102800	MANES_13G035800	68.9204	52.1022
Os01g0102900	MANES_09G187300	46.875	28.5714
Os01g0103000	MANES_10G060100	75	73.4177
Os01g0103100	MANES_09G189000	63.6964	60.5016
Os01g0103600	MANES_12G130500	57.0776	56.8182
Os01g0103700	MANES_16G050600	27.9762	4.02742
Os01g0103800	MANES_18G000200	44.9902	48.4144
Os01g0103900	MANES_06G128600	37.0293	32.2993
Os01g0103900	MANES_14G042700	36.8201	38.2609
Os01g0104000	MANES_06G013000	62.5225	62.7486
Os01g0104000	MANES_14G164800	64.3243	65.2651
Os01g0104100	MANES_04G153300	51.4354	56.4304
Os01g0104400	MANES_08G147900	45.8955	41.1371
Os01g0104500	MANES_08G148000	43.125	37.7049
Os01g0104500	MANES_09G143800	42.8125	35.4922
Os01g0104600	MANES_15G189200	67.1233	63.5185
Os01g0104800	MANES_16G069500	39.5349	37.89
Os01g0104900	MANES_05G155400	48.2906	49.8896
Os01g0104900	MANES_18G020700	48.5043	50.3326
Os01g0105700	MANES_01G139800	19.8454	20.3704
Os01g0105700	MANES_02G097700	21.134	21.4099
Os01g0105700	MANES_05G155600	25.2577	23.0588
Os01g0105700	MANES_18G020600	24.4845	24.2347
Os01g0105800	MANES_09G055900	39.8551	50.9259
Os01g0105900	MANES_05G157500	66.4908	68.6648
Os01g0105900	MANES_18G022600	67.0185	69.2098
Os01g0106200	MANES_01G137100	72.449	74.7368
Os01g0106200	MANES_02G095800	70.9184	73.1579
Os01g0106200	MANES_04G089400	69.3878	70.1031
Os01g0106200	MANES_05G157700	73.9796	74.7423
Os01g0106200	MANES_11G085700	66.8367	67.5258
Os01g0106200	MANES_18G022800	72.449	73.1959
Os01g0106200	MANES_18G0244001	31.1224	68.5393
Os01g0106700	MANES_06G105000	43.8267	42.4386
Os01g0106900	MANES_06G104700	83.2981	83.6518
Os01g0106900	MANES_14G065900	83.2981	83.6518
Os01g0107700	MANES_01G082900	50.1818	51.1111
Os01g0107900	MANES_06G104200	50.5582	48.3232
Os01g0107900	MANES_14G066600	49.7608	47.2012
Os01g0108000	MANES_01G184200	48.153	46.7949
Os01g0108000	MANES_02G143700	49.0765	47.1483
Os01g0108200	MANES_05G141200	56.7123	72.8873
Os01g0108200	MANES_18G007900	70.411	70.3146
Os01g0108400	MANES_06G103800	26.2009	32.0856
Os01g0108400	MANES_14G067000	26.6376	34.0782
Os01g0108600	MANES_06G103800	37.5	44.9198
Os01g0108600	MANES_14G067000	35.2679	44.1341
Os01g0108800	MANES_12G029000	51.5152	20.2037
Os01g0109300	MANES_15G182900	63.3064	66.6667
Os01g0109700	MANES_01G194400	60.7089	55.9416
Os01g0109700	MANES_05G093400	61.9155	57.1727
Os01g0109700	MANES_S022900	53.7707	53.609
Os01g0110100	MANES_06G075400	62.3279	63.4395
Os01g0110500	MANES_06G076000	52.2923	47.3411
Os01g0110500	MANES_14G095000	51.7192	50.5602
Os01g0110700	MANES_06G074600	75.3623	74.0038
Os01g0110700	MANES_14G095900	73.43	74.5098
Os01g0110800	MANES_06G074100	51.3333	48.2255
Os01g0110800	MANES_14G096200	51.7778	48.3402
Os01g0111100	MANES_05G117800	47.2789	43.9873
Os01g0111200	MANES_06G073900	46.4516	48.3221
Os01g0111200	MANES_14G096300	47.7419	47.2843
Os01g0111400	MANES_05G118100	50.6419	50.6419
Os01g0111500	MANES_02G075100	35.2542	31.7073
Os01g0111600	MANES_06G008200	59.1954	59.8837
Os01g0111700	MANES_01G115600	32	36.8421
Os01g0112100	MANES_14G075600	31.6489	29.9748
Os01g0112400	MANES_03G183400	27.2727	26.087
Os01g0112500	MANES_02G075000	64.3258	59.7911
Os01g0113300	MANES_14G108500	37.6328	38.6895
Os01g0113350	MANES_02G087600	37.1166	29.1215
Os01g0113350	MANES_16G042300	36.5031	28.744
Os01g0113350	MANES_17G060100	37.1166	28.8095
Os01g0113350	MANES_17G060200	28.681	53.125
Os01g0113350	MANES_17G060300	33.589	33.0317
Os01g0113400	MANES_14G108500	34.5643	36.5055
Os01g0113650	MANES_02G087600	36.7378	29.0012
Os01g0113650	MANES_16G042300	37.1951	29.4686
Os01g0113650	MANES_17G060100	37.6524	29.4048
Os01g0113650	MANES_17G060200	28.0488	52.2727
Os01g0113650	MANES_17G060300	34.6037	34.2383
Os01g0113700	MANES_14G108500	34.4526	36.8175
Os01g0114100	MANES_14G108500	29.742	30.5772
Os01g0114400	MANES_14G108500	46.4497	24.493
Os01g0114600	MANES_14G108500	35.1079	38.0655
Os01g0115200	MANES_04G077700	41.0256	12.549
Os01g0115200	MANES_11G090900	39.7436	12.0388
Os01g0115200	MANES_S036100	38.4615	11.7417
Os01g0115200	MANES_S085600	39.7436	12.0388
Os01g0115500	MANES_14G108500	49.8525	26.3651
Os01g0115700	MANES_14G108500	37.8981	37.1295
Os01g0115750	MANES_14G108500	35.2507	37.2855
Os01g0116000	MANES_14G108500	35.0877	37.4415
Os01g0116200	MANES_14G108500	34.7887	38.5335
Os01g0116400	MANES_14G108500	35.1551	37.1295
Os01g0116600	MANES_03G003000	50.229	45.3793
Os01g0116800	MANES_14G108500	50.7979	29.7972
Os01g0117000	MANES_14G108500	30.5405	35.2574
Os01g0117200	MANES_14G108500	33.61	37.9095
Os01g0117400	MANES_14G108500	48.7923	15.7566
Os01g0117600	MANES_14G108500	33.7969	37.9095
Os01g0117900	MANES_04G059500	59.893	61.3699
Os01g0118000	MANES_06G063500	86.3402	85.0254
Os01g0118000	MANES_14G108900	86.5979	85.2792
Os01g0118100	MANES_01G132500	75.9169	51.4499
Os01g0118100	MANES_14G109000	73.7164	49.0244
Os01g0118300	MANES_06G063400	79.0588	79.0588
Os01g0118300	MANES_14G109300	80.2353	80.4245
Os01g0118400	MANES_S045700	26.6212	29.3233
Os01g0118600	MANES_S045700	28.75	30.2632
Os01g0118700	MANES_S045700	31.0811	30.2632
Os01g0119000	MANES_S045700	29.4606	26.6917
Os01g0119100	MANES_S045700	29.7762	32.5188
Os01g0120300	MANES_17G028300	73.2998	59.2668
Os01g0120400	MANES_03G194700	55.303	54.6816
Os01g0120500	MANES_14G168100	53.5433	49.635
Os01g0120600	MANES_14G110200	46.0993	42.9043
Os01g0120700	MANES_14G110300	47.0175	39.881
Os01g0120800	MANES_08G114400	66.8357	65.7029
Os01g0120800	MANES_09G174300	67.2414	65.4492
Os01g0121000	MANES_06G004900	30.3483	39.1026
Os01g0121000	MANES_14G171900	29.8507	33.5196
Os01g0121100	MANES_01G114300	54.386	54.8673
Os01g0121200	MANES_02G073300	55.0186	55.4307
Os01g0121200	MANES_06G062000	48.6989	50.9728
Os01g0121200	MANES_14G135700	49.0706	49.6241
Os01g0121300	MANES_06G061800	45.9259	44.0497
Os01g0121500	MANES_01G114700	36.6667	28.9474
Os01g0121500	MANES_02G073500	32.5	26.7123
Os01g0121500	MANES_02G073600	36.6667	29.7297
Os01g0121500	MANES_02G073700	28.3333	20.9877
Os01g0121500	MANES_06G061500	35	28.3784
Os01g0121500	MANES_14G135200	34.1667	27.5168
Os01g0121500	MANES_14G135300	30.8333	23.125
Os01g0121600	MANES_01G114700	31.9728	30.9211
Os01g0121600	MANES_02G073500	31.2925	31.5068
Os01g0121600	MANES_02G073600	28.5714	28.3784
Os01g0121600	MANES_02G073700	25.8503	23.4568
Os01g0121600	MANES_06G061500	33.3333	33.1081
Os01g0121600	MANES_14G135200	39.4558	38.9262
Os01g0121600	MANES_14G135300	29.932	27.5
Os01g0121700	MANES_06G061400	73.0539	67.59
Os01g0121800	MANES_15G126100	58.4577	57.7396
Os01g0121800	MANES_17G075100	60.9453	61.8687
Os01g0125600	MANES_01G115100	15.2381	23.2727
Os01g0125600	MANES_15G126600	38.5714	41.0127
Os01g0125600	MANES_17G075400	32.1429	38.3523
Os01g0125700	MANES_01G115200	64.7619	64.1509
Os01g0125800	MANES_06G008300	69.5082	69.6223
Os01g0125800	MANES_15G126700	67.2131	67.3235
Os01g0125900	MANES_04G071900	50.047	46.0208
Os01g0126100	MANES_14G169400	62.0275	60.8769
Os01g0126200	MANES_15G126800	52.5084	55.0877
Os01g0126900	MANES_14G169400	54.6218	54.8061
Os01g0127000	MANES_14G169400	53.1835	47.8921
Os01g0127200	MANES_14G169400	48.1947	51.7707
Os01g0127300	MANES_S086500	44.6058	44.6058
Os01g0127400	MANES_15G114900	62.9717	65.602
Os01g0127500	MANES_06G068800	58.457	61.5625
Os01g0127900	MANES_01G110800	58.4112	57.6037
Os01g0127900	MANES_02G069000	58.1776	57.3733
Os01g0128000	MANES_05G114400	37.1429	41.8006
Os01g0128000	MANES_06G066600	36.8571	40.9524
Os01g0128000	MANES_14G104200	36.5714	39.7516
Os01g0128000	MANES_S048300	33.1429	36.9427
Os01g0128100	MANES_06G066800	63.9175	64.1379
Os01g0128300	MANES_02G068600	51.3158	47.561
Os01g0128400	MANES_02G076500	46.2457	46.6437
Os01g0128400	MANES_15G131000	48.4642	47.3333
Os01g0128400	MANES_17G080400	47.7816	47.2175
Os01g0128800	MANES_S015600	55.794	15.7959
Os01g0129200	MANES_06G067400	34.2205	37.1901
Os01g0129200	MANES_14G103000	35.3612	30.2932
Os01g0129500	MANES_01G011300	31.5956	33.557
Os01g0129600	MANES_06G068500	23.8938	33.8912
Os01g0129600	MANES_14G102500	23.3038	32.6446
Os01g0130000	MANES_16G046900	60.1023	58.4577
Os01g0130000	MANES_S031300	62.9156	59.5642
Os01g0130400	MANES_06G069100	64.6996	64.8387
Os01g0130400	MANES_06G069200	65.6652	66.2338
Os01g0130400	MANES_14G101700	65.1288	65.8351
Os01g0131300	MANES_01G012400	32	23.9316
Os01g0131300	MANES_05G137800	30.8571	22.5941
Os01g0131300	MANES_06G069300	37.1429	36.7232
Os01g0131300	MANES_14G101400	34.8571	33.5165
Os01g0132100	MANES_01G180200	28.1421	31.6274
Os01g0132100	MANES_01G180300	27.3224	31.4795
Os01g0132100	MANES_02G140900	15.3916	27.5244
Os01g0132100	MANES_03G091100	30.7832	32.8474
Os01g0132100	MANES_03G143500	23.5883	35.0474
Os01g0132100	MANES_06G117200	30.2368	32.645
Os01g0132100	MANES_06G117300	27.1403	31.9058
Os01g0132100	MANES_08G094500	33.7887	34.8684
Os01g0132100	MANES_08G094600	34.6084	35.6139
Os01g0132100	MANES_08G094700	33.8798	32.9787
Os01g0132100	MANES_08G116000	20.8561	26.69
Os01g0132100	MANES_09G108500	34.3352	33.5111
Os01g0132100	MANES_10G020900	21.2204	28.0385
Os01g0132100	MANES_10G023900	21.4936	26.9406
Os01g0132100	MANES_10G024100	23.9526	28.0983
Os01g0132100	MANES_10G024300	20.8561	27.9609
Os01g0132100	MANES_10G024400	23.4062	29.5063
Os01g0132100	MANES_10G026700	21.5847	27.5581
Os01g0132100	MANES_10G0285001	10.2004	37.9661
Os01g0132100	MANES_12G064900	25.4098	28.9419
Os01g0132100	MANES_S111500	23.8616	32.5062
Os01g0132500	MANES_01G084300	25.4717	19.0141
Os01g0132500	MANES_01G271700	25.9434	20
Os01g0132500	MANES_02G041700	26.4151	20.1439
Os01g0132500	MANES_05G052800	27.8302	20.922
Os01g0132700	MANES_03G077300	56.7568	53.1646
Os01g0132766	MANES_01G111600	26.9663	25.8993
Os01g0132766	MANES_02G069800	27.7154	37
Os01g0132766	MANES_06G066000	40.824	32.9305
Os01g0132766	MANES_14G104900	40.824	44.4898
Os01g0132800	MANES_01G111400	55.9846	59.4262
Os01g0132800	MANES_02G069700	57.9151	61.4754
Os01g0133100	MANES_01G111200	17.7005	12.0993
Os01g0133400	MANES_01G111700	72.5092	70.9386
Os01g0133400	MANES_02G069900	72.1402	70.4504
Os01g0133500	MANES_14G105200	47.7186	47.9008
Os01g0134500	MANES_01G111800	68.6131	68.8645
Os01g0134500	MANES_02G070100	60.9489	61.1722
Os01g0134700	MANES_01G014500	39.0411	39.3103
Os01g0134700	MANES_S034100	42.6941	44.3128
Os01g0135700	MANES_06G007600	35.3591	38.7879
Os01g0135700	MANES_14G170600	38.1215	40.1163
Os01g0135800	MANES_15G154400	51.3333	56.6176
Os01g0136400	MANES_01G112300	41.7665	40.0862
Os01g0136400	MANES_02G070600	41.7665	40.2597
Os01g0136400	MANES_05G132300	42.8144	42.8144
Os01g0136400	MANES_06G065400	42.515	41.4599
Os01g0136400	MANES_06G065500	37.1257	39.3651
Os01g0136400	MANES_14G105800	36.5269	39.9345
Os01g0136400	MANES_14G105900	35.3293	40.0679
Os01g0136400	MANES_14G106100	43.5629	42.4198
Os01g0136800	MANES_01G112300	42.3423	40.5172
Os01g0136800	MANES_02G070600	43.0931	41.4141
Os01g0136800	MANES_05G132300	40.2402	40.1198
Os01g0136800	MANES_06G065400	39.4895	38.3942
Os01g0136800	MANES_06G065500	34.6847	36.6667
Os01g0136800	MANES_14G105800	33.9339	36.9885
Os01g0136800	MANES_14G105900	34.8348	39.3888
Os01g0136800	MANES_14G106100	41.2913	40.0875
Os01g0136900	MANES_01G014600	33.3969	31.5884
Os01g0136900	MANES_01G112000	38.1679	30.4878
Os01g0136900	MANES_02G070200	39.5038	31.0345
Os01g0136900	MANES_05G133200	37.9771	31.388
Os01g0136900	MANES_14G106000	34.9237	32.973
Os01g0137250	MANES_01G014600	50.3916	34.8375
Os01g0137250	MANES_01G112000	51.1749	29.878
Os01g0137250	MANES_02G070200	50.1305	28.7856
Os01g0137250	MANES_05G133200	50.9138	30.7571
Os01g0137250	MANES_14G106000	49.0862	33.8739
Os01g0137400	MANES_01G014600	33.281	38.2671
Os01g0137400	MANES_01G112000	36.7347	35.6707
Os01g0137400	MANES_02G070200	38.4615	36.7316
Os01g0137400	MANES_05G133200	36.8917	37.0662
Os01g0137400	MANES_14G106000	35.1648	40.3604
Os01g0137500	MANES_01G014600	51.9288	31.5884
Os01g0137500	MANES_01G112000	52.819	27.1341
Os01g0137500	MANES_02G070200	51.632	26.087
Os01g0137500	MANES_05G133200	52.5223	27.918
Os01g0137500	MANES_14G106000	52.819	32.0721
Os01g0138300	MANES_01G014600	32.3442	39.3502
Os01g0138300	MANES_01G112000	35.7567	36.7378
Os01g0138300	MANES_02G070200	36.6469	37.0315
Os01g0138300	MANES_05G133200	33.8279	35.9621
Os01g0138300	MANES_14G106000	33.6795	40.9009
Os01g0138400	MANES_01G014600	32.9429	40.6137
Os01g0138400	MANES_01G112000	35.1391	36.5854
Os01g0138400	MANES_02G070200	35.4319	36.2819
Os01g0138400	MANES_05G133200	33.2357	35.8044
Os01g0138400	MANES_14G106000	30.7467	37.8378
Os01g0138600	MANES_06G161200	20.8333	11.3269
Os01g0138600	MANES_09G003800	21.4286	11.6505
Os01g0138800	MANES_02G070700	67.0534	68
Os01g0138800	MANES_14G106500	64.9652	65.4206
Os01g0138900	MANES_01G014900	60.9865	64.1509
Os01g0138900	MANES_02G071200	50.4484	51.2528
Os01g0139000	MANES_05G132800	40.8451	39.726
Os01g0139000	MANES_06G065100	39.9061	37.9464
Os01g0139000	MANES_14G106700	34.2723	39.0374
Os01g0139200	MANES_02G071700	19.6721	25.7812
Os01g0139200	MANES_05G120200	33.8301	33.3333
Os01g0139600	MANES_02G071800	55.5911	51.9403
Os01g0139600	MANES_14G107600	61.3419	57.485
Os01g0140100	MANES_05G138600	52.9762	53.7223
Os01g0140100	MANES_06G071000	54.7619	57.1429
Os01g0140400	MANES_06G071800	52.9781	54.6042
Os01g0140400	MANES_14G097900	52.8213	54.4426
Os01g0140500	MANES_12G113600	48.062	42.4658
Os01g0140500	MANES_13G112100	48.062	42.4658
Os01g0140700	MANES_06G071700	51.4196	44.1734
Os01g0140700	MANES_14G098000	52.6814	45.6284
Os01g0141000	MANES_06G071700	50.9589	50.4065
Os01g0141000	MANES_14G098000	52.0548	51.9126
Os01g0141100	MANES_04G005000	91.4191	64.2691
Os01g0141100	MANES_11G160400	92.0792	64.7332
Os01g0141300	MANES_04G005000	66.7364	74.0139
Os01g0141300	MANES_11G160400	67.1548	74.478
Os01g0141600	MANES_09G104000	61.3003	40.1623
Os01g0141700	MANES_02G119900	59.0051	61.1012
Os01g0141900	MANES_07G128300	55.6106	58.6087
Os01g0141900	MANES_08G091400	46.2046	54.3689
Os01g0141900	MANES_10G014000	56.2706	56.6445
Os01g0142100	MANES_07G127800	61.1722	62.782
Os01g0142200	MANES_01G064000	72.093	72.5146
Os01g0142300	MANES_08G089200	76.8349	64.7969
Os01g0142300	MANES_09G103000	72.9358	73.4411
Os01g0143300	MANES_07G120600	48.4848	50.1961
Os01g0143300	MANES_08G086600	41.2879	42.7451
Os01g0143300	MANES_09G096100	41.2879	42.5781
Os01g0143300	MANES_09G096200	45.0758	46.3035
Os01g0143400	MANES_16G012100	23.5469	24.6875
Os01g0143700	MANES_07G120600	38.2239	38.8235
Os01g0143700	MANES_08G086600	34.749	35.2941
Os01g0143700	MANES_09G096100	34.3629	34.7656
Os01g0143700	MANES_09G096200	38.9961	39.2996
Os01g0143800	MANES_07G120600	31.2727	33.7255
Os01g0143800	MANES_08G086600	30.9091	33.3333
Os01g0143800	MANES_09G096100	28.7273	30.8594
Os01g0143800	MANES_09G096200	31.6364	33.8521
Os01g0144000	MANES_07G050100	49.5549	64.2308
Os01g0144000	MANES_12G118400	49.2582	63.3588
Os01g0144100	MANES_07G118800	71.7172	66.6667
Os01g0144200	MANES_09G092200	71.5596	72.8972
Os01g0144340	MANES_10G029000	63.5854	62.6207
Os01g0144500	MANES_01G171500	39.7541	30.8917
Os01g0144600	MANES_01G171600	40	42.1053
Os01g0144700	MANES_03G043400	38.4615	36.0825
Os01g0144700	MANES_16G092000	35.1648	32.9897
Os01g0147200	MANES_15G170300	63.0394	64.7399
Os01g0147200	MANES_S050600	13.1332	69.3069
Os01g0147300	MANES_01G172500	62.7451	31.9202
Os01g0147300	MANES_01G172600	52.451	28.3069
Os01g0147300	MANES_02G131700	64.7059	33.3333
Os01g0147300	MANES_09G093300	65.1961	33.8422
Os01g0147800	MANES_07G117000	42.5532	38.3877
Os01g0147900	MANES_07G116700	83.004	82.6772
Os01g0148000	MANES_09G091600	0	0
Os01g0148000	MANES_09G091700	42.5718	40.0705
Os01g0148050	MANES_09G091600	40.6479	31.8331
Os01g0148050	MANES_09G091700	0.626959	0.705053
Os01g0148400	MANES_12G076100	9.90415	19.9357
Os01g0149350	MANES_02G097400	22.4242	24.1567
Os01g0149350	MANES_03G120100	9.59596	23.8095
Os01g0149350	MANES_05G098000	19.596	22.7967
Os01g0149350	MANES_15G108800	18.2828	20.4059
Os01g0149500	MANES_02G097400	22.548	24.2655
Os01g0149500	MANES_03G120100	9.80789	24.3108
Os01g0149500	MANES_05G098000	19.7169	22.9142
Os01g0149500	MANES_15G108800	18.4024	20.5186
Os01g0149600	MANES_04G012600	79.085	84.6154
Os01g0149600	MANES_04G031500	79.085	82.3129
Os01g0149600	MANES_06G025200	79.085	87.0504
Os01g0149600	MANES_07G093700	78.4314	85.7143
Os01g0149600	MANES_10G052900	80.3922	88.4892
Os01g0149600	MANES_11G133700	79.085	82.3129
Os01g0149600	MANES_11G152700	78.4314	82.7586
Os01g0149600	MANES_S022500	76.4706	84.1727
Os01g0149800	MANES_01G174200	48.7805	51.2821
Os01g0149800	MANES_01G174400	48.7805	51.2821
Os01g0149800	MANES_02G133200	48.7805	51.2821
Os01g0149800	MANES_07G090700	29.2683	34.7826
Os01g0149800	MANES_07G091300	48.7805	43.0108
Os01g0149800	MANES_08G079000	65.8537	68.3544
Os01g0149800	MANES_08G079100	63.4146	63.4146
Os01g0149800	MANES_08G079200	57.3171	58.0247
Os01g0149900	MANES_04G034800	16.0377	13.2664
Os01g0149900	MANES_09G091300	16.8464	14.8104
Os01g0149900	MANES_11G128400	17.655	15.1972
Os01g0150000	MANES_07G115800	81.2903	81.2903
Os01g0150000	MANES_10G030900	81.2903	81.2903
Os01g0150100	MANES_10G031500	58	23.1383
Os01g0150200	MANES_03G203600	17.1946	45.7831
Os01g0150200	MANES_13G099500	72.8507	72.8507
Os01g0150400	MANES_03G203600	5.6872	14.4578
Os01g0150400	MANES_13G099500	36.019	34.3891
Os01g0150500	MANES_03G203600	2.71493	7.22892
Os01g0150500	MANES_13G099500	35.7466	35.7466
Os01g0150800	MANES_03G203600	13.7778	37.3494
Os01g0150800	MANES_13G099500	54.2222	55.2036
Os01g0151100	MANES_02G176200	60.5119	65.9363
Os01g0151100	MANES_07G114300	55.9415	62.7049
Os01g0151100	MANES_07G114400	57.5868	63
Os01g0151100	MANES_10G031800	57.2212	62.6
Os01g0151200	MANES_04G033500	68.4096	69.3157
Os01g0151200	MANES_11G131900	28.3224	53.2787
Os01g0151400	MANES_03G029500	59.5238	19.8728
Os01g0151400	MANES_16G106400	61.9048	20.7006
Os01g0151500	MANES_03G029500	48.1818	42.1304
Os01g0151500	MANES_16G106400	48.3636	42.3567
Os01g0151600	MANES_04G032300	67.0391	67.4157
Os01g0151600	MANES_11G133000	67.3184	67.3184
Os01g0151700	MANES_08G078300	69.1589	68.5185
Os01g0151700	MANES_09G087300	69.4704	69.2547
Os01g0151900	MANES_15G089400	42.5094	42.3507
Os01g0152000	MANES_01G129300	41.2207	43.0815
Os01g0152000	MANES_01G129500	41.1268	42.7317
Os01g0152000	MANES_07G016600	30.0469	43.3604
Os01g0152000	MANES_07G016700	38.6854	41.7004
Os01g0152000	MANES_07G027500	39.7183	41.068
Os01g0152000	MANES_07G059800	38.0282	41.3265
Os01g0152000	MANES_07G127100	41.4085	42.04
Os01g0152000	MANES_07G128000	39.9061	41.7076
Os01g0152000	MANES_07G128100	39.6244	43.6853
Os01g0152000	MANES_10G014300	41.9718	43.8665
Os01g0152000	MANES_10G015500	38.216	43.9525
Os01g0152000	MANES_10G015800	41.5023	43.3759
Os01g0152000	MANES_10G015900	37.4648	43.8462
Os01g0152000	MANES_10G016000	41.9718	43.8665
Os01g0152000	MANES_10G113800	40	43.6029
Os01g0152000	MANES_10G114600	40.8451	43.2836
Os01g0152000	MANES_10G114700	41.1268	42.8153
Os01g0152000	MANES_10G114900	37.5587	41.7537
Os01g0152000	MANES_10G128200	40.939	42.1256
Os01g0152000	MANES_10G128300	40.4695	43.89
Os01g0152000	MANES_11G121300	40.7512	42.9278
Os01g0152000	MANES_11G121400	41.0329	43.3962
Os01g0152000	MANES_11G122200	40.6573	40.5811
Os01g0152000	MANES_18G127200	35.0235	41.7693
Os01g0152000	MANES_S057300	39.1549	44.4563
Os01g0152000	MANES_S072800	32.6761	44.2186
Os01g0152000	MANES_S077600	40.7512	43.0983
Os01g0152000	MANES_S086800	41.5962	43.474
Os01g0152300	MANES_04G012600	78.4314	83.9161
Os01g0152300	MANES_04G031500	78.4314	81.6327
Os01g0152300	MANES_06G025200	78.4314	86.3309
Os01g0152300	MANES_07G093700	77.7778	85
Os01g0152300	MANES_10G052900	79.7386	87.7698
Os01g0152300	MANES_11G133700	78.4314	81.6327
Os01g0152300	MANES_11G152700	77.7778	82.069
Os01g0152300	MANES_S022500	75.817	83.4532
Os01g0152600	MANES_01G129300	41.5238	42.787
Os01g0152600	MANES_01G129500	41.4286	42.439
Os01g0152600	MANES_07G016600	30.9524	44.0379
Os01g0152600	MANES_07G016700	40.5714	43.1174
Os01g0152600	MANES_07G027500	40.7619	41.5534
Os01g0152600	MANES_07G059800	39.9048	42.7551
