Gene stable ID	Brassica oleracea gene stable ID	%id. target Brassica oleracea gene identical to query gene	%id. query gene identical to target Brassica oleracea gene
Os01g0100700	Bo3g064690	74.5	78.4211
Os01g0100700	Bo4g030710	85	82.1256
Os01g0100700	Bo4g186790	84.5	81.6425
Os01g0100700	Bo5g135030	84	81.1594
Os01g0100800	Bo3g141390	27.2472	28.1159
Os01g0100800	Bo5g051890	26.4045	26.5537
Os01g0100800	Bo5g051900	26.9663	28.7425
Os01g0100900	Bo00579s270	7.60668	54.6667
Os01g0100900	Bo3g143000	70.3154	69.6691
Os01g0101150	Bo6g064550	47.1605	37.2683
Os01g0101300	Bo7g109820	62.1622	60.2381
Os01g0101600	Bo1g101230	23.2106	42.4299
Os01g0101600	Bo2g092700	4.70348	44.2308
Os01g0101600	Bo2g092710	9.40695	54.1176
Os01g0101600	Bo2g092720	2.76074	11.0656
Os01g0101600	Bo7g038830	40.4908	45.4128
Os01g0101700	Bo4g129610	35.6383	33.5
Os01g0101700	Bo8g023080	36.7021	34.5
Os01g0101800	Bo7g039100	17.7515	18.9873
Os01g0102000	Bo1g078280	17.2348	55.8282
Os01g0102000	Bo1g078290	38.447	56.0773
Os01g0102000	Bo8g077160	54.5455	52.6508
Os01g0102300	Bo1g039440	35.4086	37.7593
Os01g0102500	Bo9g169050	61.4458	58.2857
Os01g0102600	Bo7g084000	30.4833	29.927
Os01g0102700	Bo00285s560	39.0244	41.6667
Os01g0102700	Bo2g011640	40.9756	35.5932
Os01g0102700	Bo3g009560	39.5122	41.1168
Os01g0102700	Bo9g166220	40.4878	36.4035
Os01g0102800	Bo7g113190	66.9575	52.8854
Os01g0102900	Bo00285s430	39.8438	36.6906
Os01g0102900	Bo9g008010	39.8438	36.9565
Os01g0103000	Bo00798s060	25.431	55.1402
Os01g0103000	Bo3g092120	25.431	39.3333
Os01g0103000	Bo7g024260	24.569	23.75
Os01g0103000	Bo7g092950	35.7759	27.9461
Os01g0103000	Bo9g154840	21.5517	28.4091
Os01g0103100	Bo2g011250	63.8614	62.2187
Os01g0103600	Bo5g029120	39.726	54.375
Os01g0103700	Bo1g022170	22.0238	3.28889
Os01g0103800	Bo00816s030	34.7741	43.0657
Os01g0103800	Bo2g091090	35.5599	48.9189
Os01g0103800	Bo6g083770	40.4715	52.4173
Os01g0103800	Bo6g120760	36.7387	50.2688
Os01g0103900	Bo9g175440	39.749	29.6412
Os01g0104000	Bo3g181060	58.7387	59.1652
Os01g0104100	Bo6g067990	50.2392	52.7638
Os01g0104100	Bo6g068020	50.2392	52.7638
Os01g0104100	Bo8g083610	51.4354	52.5672
Os01g0104400	Bo3g034100	48.8806	41.195
Os01g0104500	Bo1g152230	39.0625	36.3372
Os01g0104500	Bo2g015440	40.9375	38.8724
Os01g0104500	Bo3g013050	41.25	39.2857
Os01g0104500	Bo5g148430	40	37.2093
Os01g0104500	Bo9g157320	39.0625	31.6456
Os01g0104600	Bo3g044580	62.4266	59.5149
Os01g0104800	Bo4g194480	12.7132	27.1523
Os01g0104900	Bo3g141730	46.3675	49.2063
Os01g0104900	Bo5g052150	29.0598	46.5753
Os01g0105700	Bo3g141780	28.866	25.3394
Os01g0105800	Bo3g091500	67.3913	68.3824
Os01g0105800	Bo9g024200	63.0435	56.8627
Os01g0105900	Bo5g027630	65.4354	69.4678
Os01g0106200	Bo01042s020	66.3265	65.9898
Os01g0106200	Bo3g150070	68.8775	60.8108
Os01g0106200	Bo4g190780	41.8367	62.1212
Os01g0106200	Bo7g011400	58.1633	55.0725
Os01g0106200	Bo7g119300	58.6735	64.6067
Os01g0106200	Bo8g101630	67.3469	42.4437
Os01g0106700	Bo3g113660	39.166	45.1461
Os01g0106900	Bo3g107120	83.5095	81.7805
Os01g0106900	Bo9g015200	84.5666	84.2105
Os01g0107700	Bo1g053280	48.9091	49.1773
Os01g0107900	Bo3g141640	42.4242	41.6275
Os01g0108000	Bo7g097620	40.5013	40.988
Os01g0108000	Bo9g014090	39.8417	41.3699
Os01g0108200	Bo2g087660	69.3151	63.9697
Os01g0108200	Bo5g030250	66.4384	66.1664
Os01g0108800	Bo5g039820	48.0519	21.47
Os01g0109300	Bo4g139920	62.5	65.678
Os01g0109700	Bo1g158840	46.4555	45.3274
Os01g0109700	Bo2g012340	46.9834	47.0899
Os01g0109700	Bo3g010030	47.8884	47.247
Os01g0109700	Bo6g094980	49.7738	51.0046
Os01g0109700	Bo6g110720	49.7738	51.1628
Os01g0109700	Bo9g165490	7.91855	30
Os01g0109700	Bo9g165500	12.6697	46.9274
Os01g0110100	Bo2g061160	59.4493	61.5285
Os01g0110100	Bo6g095920	58.9487	59.3199
Os01g0110100	Bo6g107200	60.9512	61.7237
Os01g0110500	Bo5g042970	48.1375	44.0945
Os01g0110500	Bo6g018430	25.3582	67.0455
Os01g0110500	Bo6g095970	44.2693	39.9741
Os01g0110500	Bo6g107170	46.8481	43.8926
Os01g0110700	Bo5g043080	73.0435	66.3158
Os01g0110700	Bo6g018460	31.6908	65.996
Os01g0110700	Bo6g095900	70.8213	70.6166
Os01g0110700	Bo7g034290	1.93237	23.2558
Os01g0110700	Bo9g097380	1.83575	26.7606
Os01g0110800	Bo5g015250	42.6667	45.7143
Os01g0110800	Bo6g107220	44	45.9397
Os01g0110800	Bo7g081950	43.5556	41.4376
Os01g0111100	Bo2g080890	50	46.3722
Os01g0111200	Bo3g138470	42.4194	44.1275
Os01g0111200	Bo7g052840	42.4194	43.6877
Os01g0111400	Bo8g104310	46.505	47.2464
Os01g0111500	Bo00835s050	32.5424	31.4754
Os01g0111500	Bo6g101000	33.2203	33.91
Os01g0111600	Bo5g025100	56.3218	56.3218
Os01g0111600	Bo8g104520	59.1954	59.5376
Os01g0112100	Bo5g025920	33.2447	29.8329
Os01g0112400	Bo5g144770	24.8252	26.1029
Os01g0112500	Bo1g154750	59.2697	52.8822
Os01g0112500	Bo5g149930	57.8652	51.2438
Os01g0115200	Bo2g132350	40.3846	13.6659
Os01g0116600	Bo2g009960	52.2137	47.3029
Os01g0116600	Bo3g006740	51.6031	53.9936
Os01g0116600	Bo6g034530	10.687	52.2388
Os01g0117900	Bo1g117760	58.5561	60.6648
Os01g0117900	Bo3g071440	57.2192	60.9687
Os01g0117900	Bo6g015610	57.754	58.6957
Os01g0118000	Bo2g133780	82.2165	82.0051
Os01g0118100	Bo6g015600	73.7164	51.0584
Os01g0118100	Bo7g078060	70.2934	50.6608
Os01g0118300	Bo3g179790	19.2941	36.9369
Os01g0118300	Bo4g176370	16.7059	45.5128
Os01g0118300	Bo5g020540	76.7059	76.5258
Os01g0118300	Bo8g099830	13.8824	39.8649
Os01g0118300	Bo8g106230	74.8235	78.5185
Os01g0118400	Bo1g118880	26.7918	28.9134
Os01g0118400	Bo5g120070	29.1809	22.649
Os01g0118400	Bo5g120090	27.1331	30.4598
Os01g0118600	Bo1g118880	29.4643	30.3867
Os01g0118600	Bo5g120070	31.9643	23.7086
Os01g0118600	Bo5g120090	29.4643	31.6092
Os01g0118700	Bo1g118880	30.695	29.2818
Os01g0118700	Bo5g120070	31.2741	21.457
Os01g0118700	Bo5g120090	30.3089	30.0766
Os01g0119000	Bo1g118880	32.7801	29.0976
Os01g0119000	Bo5g120070	34.6473	22.1192
Os01g0119000	Bo5g120090	31.9502	29.5019
Os01g0119100	Bo1g118880	30.9811	33.1492
Os01g0119100	Bo5g120070	31.8417	24.5033
Os01g0119100	Bo5g120090	29.432	32.7586
Os01g0120300	Bo3g048610	72.0403	59.7701
Os01g0120400	Bo5g124850	55.303	57.4803
Os01g0120500	Bo8g067630	52.3622	58.8496
Os01g0120600	Bo2g147640	9.57447	16.9811
Os01g0120600	Bo5g020580	42.5532	43.6364
Os01g0120600	Bo5g126930	15.2482	26.3804
Os01g0120600	Bo8g063790	43.9716	40.9241
Os01g0120700	Bo2g133640	33.3333	54.9133
Os01g0120700	Bo2g133750	38.9474	48.0519
Os01g0120800	Bo2g108840	63.5903	63.142
Os01g0120800	Bo3g045300	64.4016	64.7299
Os01g0120800	Bo7g108690	49.2901	57.5148
Os01g0120800	Bo9g092550	63.8945	65.0826
Os01g0121000	Bo5g025260	30.3483	35.2601
Os01g0121000	Bo8g067760	28.3582	34.5455
Os01g0121000	Bo8g104450	27.3632	30.8989
Os01g0121100	Bo6g101120	52.3392	53.1157
Os01g0121200	Bo6g058750	39.0335	43.2099
Os01g0121300	Bo2g151620	21.6667	40.625
Os01g0121300	Bo3g149250	17.7778	37.2093
Os01g0121300	Bo6g112730	43.7037	42.1429
Os01g0121500	Bo2g134060	39.1667	30.9211
Os01g0121500	Bo5g020480	34.1667	28.6713
Os01g0121500	Bo7g078180	36.6667	27.8481
Os01g0121500	Bo8g063760	35.8333	30.9353
Os01g0121500	Bo9g069900	41.6667	32.4675
Os01g0121600	Bo2g134060	33.3333	32.2368
Os01g0121600	Bo5g020480	29.2517	30.0699
Os01g0121600	Bo7g078180	32.6531	30.3797
Os01g0121600	Bo8g063760	29.932	31.6547
Os01g0121600	Bo9g069900	35.3741	33.7662
Os01g0121700	Bo2g134070	70.9581	64.2276
Os01g0121800	Bo2g070790	52.7363	53.6709
Os01g0121800	Bo6g094440	54.9751	55.8081
Os01g0121800	Bo6g112700	53.9801	54.66
Os01g0125600	Bo01260s020	26.9048	31.7416
Os01g0125700	Bo2g013750	58.4127	60.1307
Os01g0125700	Bo9g160200	17.1429	49.5413
Os01g0125800	Bo00679s010	35.2459	66.358
Os01g0125800	Bo5g121250	57.7049	68.75
Os01g0125800	Bo9g069910	62.7869	62.5817
Os01g0125900	Bo3g091790	46.9426	45.4877
Os01g0125900	Bo7g016200	46.9426	44.7935
Os01g0125900	Bo7g118130	6.11477	54.1667
Os01g0126200	Bo01428s010	54.0134	55.5938
Os01g0126200	Bo6g112680	51.3378	35.7392
Os01g0127300	Bo5g087060	41.2863	41.4583
Os01g0127450	Bo2g070770	26.8421	24.1706
Os01g0127450	Bo6g112670	23.6842	22.9592
Os01g0127500	Bo5g043200	52.819	55.4517
Os01g0127500	Bo5g043210	39.4659	52.1569
Os01g0127500	Bo6g106980	56.9733	59.8131
Os01g0127900	Bo1g156290	55.8411	54.9425
Os01g0127900	Bo2g055350	53.7383	51.8018
Os01g0127900	Bo5g152580	55.8411	54.9425
Os01g0127900	Bo9g091250	15.8879	31.0502
Os01g0128000	Bo2g057760	35.7143	43.8596
Os01g0128000	Bo5g043390	35.1429	42.7083
Os01g0128000	Bo6g097180	35.4286	44.7653
Os01g0128000	Bo6g106730	35.4286	43.5088
Os01g0128000	Bo7g050560	34.2857	41.8118
Os01g0128100	Bo6g106700	64.9485	64.5051
Os01g0128300	Bo2g055390	50.4386	46.5587
Os01g0128400	Bo02914s010	23.7201	44.2675
Os01g0128400	Bo2g068520	47.4403	46.8803
Os01g0128400	Bo5g034910	4.94881	24.3697
Os01g0128400	Bo5g034930	9.89761	15.1042
Os01g0128400	Bo5g039300	47.6109	42.9231
Os01g0128400	Bo6g112360	27.3038	40.1003
Os01g0128400	Bo6g112370	47.099	43.6019
Os01g0128400	Bo6g114580	26.7918	32.2382
Os01g0128400	Bo6g114590	27.9863	23.8719
Os01g0128400	Bo6g114600	27.6451	36.0802
Os01g0128400	Bo8g070030	7.33788	25.2941
Os01g0128400	Bo8g117480	0	0
Os01g0128400	Bo8g117650	9.72696	7.37387
Os01g0128400	Bo9g024650	11.7747	12.1053
Os01g0128800	Bo5g118670	47.6395	13.2616
Os01g0129200	Bo2g057950	29.6578	31.3253
Os01g0129200	Bo5g015030	13.6882	24
Os01g0129200	Bo6g106910	29.6578	31.3253
Os01g0129200	Bo8g065450	26.2357	30.8036
Os01g0129500	Bo3g099250	8.68878	12.2222
Os01g0129500	Bo6g118170	29.0679	29.0221
Os01g0129600	Bo6g106960	20.059	28.692
Os01g0130000	Bo5g021260	34.7826	65.3846
Os01g0130000	Bo5g021680	63.4271	62
Os01g0130000	Bo6g121560	11.2532	42.7184
Os01g0130000	Bo6g123930	11.2532	73.3333
Os01g0130000	Bo6g123940	64.7059	62.9353
Os01g0130000	Bo8g105550	64.1944	62.5935
Os01g0130400	Bo2g061040	64.1631	64.5092
Os01g0130400	Bo6g096050	64.9142	65.4762
Os01g0130400	Bo6g107000	63.8412	64.3243
Os01g0131300	Bo2g138720	28.5714	29.0698
Os01g0131300	Bo5g015060	34.2857	31.5789
Os01g0131300	Bo8g065410	34.2857	32.6087
Os01g0132100	Bo1g058800	21.8579	27.8422
Os01g0132100	Bo1g058820	21.4936	27.4738
Os01g0132100	Bo1g141230	23.9526	28.9329
Os01g0132100	Bo1g141280	23.4973	29.3182
Os01g0132100	Bo1g141290	21.949	23.9325
Os01g0132100	Bo2g149860	28.5975	30.6341
Os01g0132100	Bo3g042800	24.1348	16.9654
Os01g0132100	Bo3g063960	21.7668	26.7637
Os01g0132100	Bo3g074860	23.4973	27.5053
Os01g0132100	Bo3g080000	19.9454	21.5128
Os01g0132100	Bo4g129620	22.2222	29.3976
Os01g0132100	Bo4g129630	22.3133	26.9231
Os01g0132100	Bo4g151370	21.4025	28.416
Os01g0132100	Bo4g158850	22.0401	27.9123
Os01g0132100	Bo5g098210	25.1366	28.1633
Os01g0132100	Bo7g014100	25.9563	28.1621
Os01g0132100	Bo7g016360	27.9599	32.5212
Os01g0132100	Bo8g023100	21.4025	28.6935
Os01g0132100	Bo8g093300	25.3188	30.2832
Os01g0132100	Bo9g169800	22.8597	27.9199
Os01g0132500	Bo1g051540	15.0943	15.8416
Os01g0132500	Bo7g105110	18.3962	17.6471
Os01g0132500	Bo9g042180	18.3962	17.5676
Os01g0132500	Bo9g169930	18.3962	17.5676
Os01g0132766	Bo6g103520	26.5918	36.2245
Os01g0132800	Bo6g059910	57.1429	56.2738
Os01g0132800	Bo9g163440	56.3707	60.8333
Os01g0133100	Bo2g055280	14.6747	12.7632
Os01g0133100	Bo6g103570	14.5234	12.1982
Os01g0133400	Bo3g010880	71.0332	70.3839
Os01g0133400	Bo9g163430	72.5092	72.5092
Os01g0133500	Bo5g043360	47.1483	47.6008
Os01g0134500	Bo1g156260	39.4161	47.5771
Os01g0134500	Bo1g156270	67.1533	65.2482
Os01g0134500	Bo3g055720	65.3285	63.4752
Os01g0134500	Bo3g055730	59.1241	57.8571
Os01g0134500	Bo3g055740	63.1387	62.6812
Os01g0134500	Bo5g152600	67.5182	58.3596
Os01g0134700	Bo6g087500	39.0411	36.8534
Os01g0134700	Bo6g118100	36.758	34.5494
Os01g0135700	Bo5g025170	37.0166	37.8531
Os01g0135700	Bo6g117890	35.9116	40.8805
Os01g0135700	Bo8g067730	37.5691	38.4181
Os01g0136400	Bo2g053980	39.9701	38.307
Os01g0136400	Bo4g137030	38.4731	35.3508
Os01g0136400	Bo4g143980	37.5749	36.4296
Os01g0136400	Bo5g025350	38.3234	28.9921
Os01g0136400	Bo5g043340	38.6228	40.9524
Os01g0136400	Bo6g101350	38.7725	36.8946
Os01g0136400	Bo6g102350	39.521	37.5533
Os01g0136400	Bo6g102370	38.6228	37.1223
Os01g0136400	Bo7g050590	38.7725	41.44
Os01g0136400	Bo8g104420	39.3713	40.0304
Os01g0136400	Bo9g091120	38.6228	37.2294
Os01g0136800	Bo2g053980	38.5886	36.8723
Os01g0136800	Bo4g137030	37.0871	33.9752
Os01g0136800	Bo4g143980	36.9369	35.7039
Os01g0136800	Bo5g025350	38.4384	28.9921
Os01g0136800	Bo5g043340	35.1351	37.1429
Os01g0136800	Bo6g101350	38.5886	36.6097
Os01g0136800	Bo6g102350	37.2372	35.2774
Os01g0136800	Bo6g102370	35.7357	34.2446
Os01g0136800	Bo7g050590	35.5856	37.92
Os01g0136800	Bo8g104420	37.8378	38.3562
Os01g0136800	Bo9g091120	37.8378	36.3636
Os01g0136900	Bo02126s010	27.0992	21.6134
Os01g0136900	Bo1g019330	25.5725	35.1706
Os01g0136900	Bo1g019360	24.8092	31.8627
Os01g0136900	Bo1g053730	33.2061	26.3636
Os01g0136900	Bo2g055090	25.5725	24.7232
Os01g0136900	Bo2g055150	27.0992	21.6134
Os01g0136900	Bo2g055170	25.9542	32.5359
Os01g0136900	Bo2g055200	27.0992	21.9136
Os01g0136900	Bo2g055210	25.7634	38.9049
Os01g0136900	Bo2g055260	34.1603	20.7657
Os01g0136900	Bo2g136130	26.145	33.7438
Os01g0136900	Bo3g137270	30.5344	22.5989
Os01g0136900	Bo4g065730	26.7176	33.0189
Os01g0136900	Bo4g142220	28.8168	19.1381
Os01g0136900	Bo4g143990	34.1603	26.0174
Os01g0136900	Bo4g194440	31.1069	24.5852
Os01g0136900	Bo5g043300	28.2443	25.7391
Os01g0136900	Bo5g043320	10.687	16.1383
Os01g0136900	Bo5g043330	13.5496	28.7449
Os01g0136900	Bo6g026180	28.2443	24.5439
Os01g0136900	Bo6g058880	30.5344	26.2726
Os01g0136900	Bo6g059890	22.5191	37.9421
Os01g0136900	Bo6g103440	31.6794	29.3286
Os01g0136900	Bo6g103450	27.8626	29.0258
Os01g0136900	Bo6g103470	33.5878	19.1304
Os01g0136900	Bo6g103490	28.626	22.4215
Os01g0136900	Bo7g105860	25.1908	33.7596
Os01g0136900	Bo8g075100	33.3969	27.8219
Os01g0136900	Bo9g163940	27.4809	44.7205
Os01g0137250	Bo02126s010	43.6031	25.4186
Os01g0137250	Bo1g019330	43.0809	43.3071
Os01g0137250	Bo1g019360	44.1253	41.4216
Os01g0137250	Bo1g053730	46.7363	27.1212
Os01g0137250	Bo2g055090	39.9478	28.2288
Os01g0137250	Bo2g055150	43.6031	25.4186
Os01g0137250	Bo2g055170	43.6031	39.9522
Os01g0137250	Bo2g055200	43.6031	25.7716
Os01g0137250	Bo2g055210	45.6919	50.4323
Os01g0137250	Bo2g055260	46.9974	20.8817
Os01g0137250	Bo2g136130	47.2585	44.5813
Os01g0137250	Bo3g137270	44.3864	24.0113
Os01g0137250	Bo4g065730	46.9974	42.4528
Os01g0137250	Bo4g142220	43.8642	21.2928
Os01g0137250	Bo4g143990	47.5196	26.4535
Os01g0137250	Bo4g194440	45.1697	26.0935
Os01g0137250	Bo5g043300	45.953	30.6087
Os01g0137250	Bo5g043320	12.0104	13.2565
Os01g0137250	Bo5g043330	29.2428	45.3441
Os01g0137250	Bo6g026180	41.2533	26.2023
Os01g0137250	Bo6g058880	41.2533	25.9442
Os01g0137250	Bo6g059890	38.9034	47.91
Os01g0137250	Bo6g103440	44.9086	30.3887
Os01g0137250	Bo6g103450	47.2585	35.9841
Os01g0137250	Bo6g103470	43.6031	18.1522
Os01g0137250	Bo6g103490	45.4308	26.009
Os01g0137250	Bo7g105860	45.1697	44.2455
Os01g0137250	Bo8g075100	45.4308	27.663
Os01g0137250	Bo9g163940	39.6867	47.205
Os01g0137400	Bo02126s010	27.4725	26.6362
Os01g0137400	Bo1g019330	26.2166	43.832
Os01g0137400	Bo1g019360	27.3155	42.6471
Os01g0137400	Bo1g053730	32.0251	30.9091
Os01g0137400	Bo2g055090	26.5306	31.1808
Os01g0137400	Bo2g055150	27.4725	26.6362
Os01g0137400	Bo2g055170	27.9435	42.5837
Os01g0137400	Bo2g055200	27.4725	27.0062
Os01g0137400	Bo2g055210	28.7284	52.7378
Os01g0137400	Bo2g055260	34.0659	25.174
Os01g0137400	Bo2g136130	29.5133	46.3054
Os01g0137400	Bo3g137270	30.9262	27.8249
Os01g0137400	Bo4g065730	29.0424	43.6321
Os01g0137400	Bo4g142220	30.2983	24.4613
Os01g0137400	Bo4g143990	33.124	30.6686
Os01g0137400	Bo4g194440	30.2983	29.1101
Os01g0137400	Bo5g043300	27.9435	30.9565
Os01g0137400	Bo5g043320	7.84929	14.4092
Os01g0137400	Bo5g043330	18.5243	47.7733
Os01g0137400	Bo6g026180	25.9027	27.3632
Os01g0137400	Bo6g058880	30.9262	32.3481
Os01g0137400	Bo6g059890	24.3328	49.8392
Os01g0137400	Bo6g103440	30.2983	34.0989
Os01g0137400	Bo6g103450	28.2575	35.7853
Os01g0137400	Bo6g103470	30.2983	20.9783
Os01g0137400	Bo6g103490	29.3564	27.9522
Os01g0137400	Bo7g105860	26.6876	43.4783
Os01g0137400	Bo8g075100	32.1821	32.5914
Os01g0137400	Bo9g163940	25.4317	50.3106
Os01g0137500	Bo02126s010	47.4777	24.3531
Os01g0137500	Bo1g019330	46.2908	40.9449
Os01g0137500	Bo1g019360	45.1039	37.2549
Os01g0137500	Bo1g053730	49.2582	25.1515
Os01g0137500	Bo2g055090	39.7626	24.7232
Os01g0137500	Bo2g055150	47.4777	24.3531
Os01g0137500	Bo2g055170	49.5549	39.9522
Os01g0137500	Bo2g055200	47.4777	24.6914
Os01g0137500	Bo2g055210	48.0712	46.6859
Os01g0137500	Bo2g055260	48.6647	19.0255
Os01g0137500	Bo2g136130	49.8516	41.3793
Os01g0137500	Bo3g137270	45.6973	21.7514
Os01g0137500	Bo4g065730	50.1484	39.8585
Os01g0137500	Bo4g142220	45.4006	19.3916
Os01g0137500	Bo4g143990	47.181	23.1105
Os01g0137500	Bo4g194440	45.9941	23.3786
Os01g0137500	Bo5g043300	46.8843	27.4783
Os01g0137500	Bo5g043320	12.7596	12.3919
Os01g0137500	Bo5g043330	28.7834	39.2713
Os01g0137500	Bo6g026180	42.1365	23.5489
Os01g0137500	Bo6g058880	44.8071	24.7947
Os01g0137500	Bo6g059890	40.9496	44.373
Os01g0137500	Bo6g103440	47.4777	28.2686
Os01g0137500	Bo6g103450	48.6647	32.6044
Os01g0137500	Bo6g103470	45.1039	16.5217
Os01g0137500	Bo6g103490	47.7745	24.0658
Os01g0137500	Bo7g105860	45.6973	39.3862
Os01g0137500	Bo8g075100	48.368	25.9142
Os01g0137500	Bo9g163940	45.4006	47.5155
Os01g0138300	Bo02126s010	26.7062	27.3973
Os01g0138300	Bo1g019330	24.7774	43.832
Os01g0138300	Bo1g019360	26.2611	43.3824
Os01g0138300	Bo1g053730	31.454	32.1212
Os01g0138300	Bo2g055090	26.1128	32.4723
Os01g0138300	Bo2g055150	26.7062	27.3973
Os01g0138300	Bo2g055170	26.7062	43.0622
Os01g0138300	Bo2g055200	26.7062	27.7778
Os01g0138300	Bo2g055210	26.7062	51.8732
Os01g0138300	Bo2g055260	33.6795	26.3341
Os01g0138300	Bo2g136130	27.4481	45.5665
Os01g0138300	Bo3g137270	28.1899	26.8362
Os01g0138300	Bo4g065730	27.1513	43.1604
Os01g0138300	Bo4g142220	28.1899	24.0811
Os01g0138300	Bo4g143990	31.454	30.814
Os01g0138300	Bo4g194440	28.7834	29.2609
Os01g0138300	Bo5g043300	25.9644	30.4348
Os01g0138300	Bo5g043320	7.56677	14.6974
Os01g0138300	Bo5g043330	16.9139	46.1538
Os01g0138300	Bo6g026180	23.8872	26.6998
Os01g0138300	Bo6g058880	30.2671	33.4975
Os01g0138300	Bo6g059890	22.7003	49.1961
Os01g0138300	Bo6g103440	30.1187	35.8657
Os01g0138300	Bo6g103450	27.2997	36.5805
Os01g0138300	Bo6g103470	30.5638	22.3913
Os01g0138300	Bo6g103490	28.635	28.849
Os01g0138300	Bo7g105860	24.6291	42.4552
Os01g0138300	Bo8g075100	32.1958	34.4992
Os01g0138300	Bo9g163940	24.0356	50.3106
Os01g0138400	Bo02126s010	26.3543	27.3973
Os01g0138400	Bo1g019330	24.1581	43.3071
Os01g0138400	Bo1g019360	24.7438	41.4216
Os01g0138400	Bo1g053730	32.6501	33.7879
Os01g0138400	Bo2g055090	26.3543	33.2103
Os01g0138400	Bo2g055150	26.3543	27.3973
Os01g0138400	Bo2g055170	26.6471	43.5407
Os01g0138400	Bo2g055200	26.3543	27.7778
Os01g0138400	Bo2g055210	25.7687	50.7205
Os01g0138400	Bo2g055260	33.5285	26.5661
Os01g0138400	Bo2g136130	25.9151	43.5961
Os01g0138400	Bo3g137270	27.8184	26.8362
Os01g0138400	Bo4g065730	26.5007	42.6887
Os01g0138400	Bo4g142220	27.5256	23.8276
Os01g0138400	Bo4g143990	30.8931	30.6686
Os01g0138400	Bo4g194440	30.0146	30.9201
Os01g0138400	Bo5g043300	25.9151	30.7826
Os01g0138400	Bo5g043320	7.61347	14.9856
Os01g0138400	Bo5g043330	15.3734	42.5101
Os01g0138400	Bo6g026180	22.9868	26.0365
