Gene stable ID	Chlamydomonas reinhardtii gene stable ID	%id. target Chlamydomonas reinhardtii gene identical to query gene	%id. query gene identical to target Chlamydomonas reinhardtii gene
Os01g0100700	CHLREDRAFT_191776	81.5	84.456
Os01g0100900	CHLREDRAFT_175809	32.0965	37.8556
Os01g0101300	CHLREDRAFT_153740	34.1523	33.494
Os01g0101600	CHLREDRAFT_191512	5.93047	34.9398
Os01g0102300	CHLREDRAFT_206051	15.9533	26.1146
Os01g0102400	CHLREDRAFT_117655	7.36342	36.4706
Os01g0102600	CHLREDRAFT_196593	15.2416	12.5382
Os01g0102800	CHLREDRAFT_7539	44.4929	21.7368
Os01g0103000	CHLREDRAFT_143567	33.6207	46.988
Os01g0103600	CHLREDRAFT_160258	35.6164	36.6197
Os01g0104600	CHLREDRAFT_143449	15.0685	19.25
Os01g0104800	CHLREDRAFT_148918	9.76744	29.0323
Os01g0105400	CHLREDRAFT_98837	35.2273	8.05195
Os01g0105800	CHLREDRAFT_196772	56.5217	60.4651
Os01g0105900	CHLREDRAFT_169453	28.496	32.5301
Os01g0106200	CHLREDRAFT_190919	52.551	56.5934
Os01g0106700	CHLREDRAFT_206149	8.54456	22
Os01g0106800	CHLREDRAFT_79815	43.6508	42.3077
Os01g0106900	CHLREDRAFT_196606	54.9683	62.6506
Os01g0107900	CHLREDRAFT_205932	22.9665	19.3289
Os01g0108200	CHLREDRAFT_103061	49.589	49.589
Os01g0108200	CHLREDRAFT_147894	48.7671	45.0063
Os01g0109300	CHLREDRAFT_145491	31.6532	25.0399
Os01g0109300	CHLREDRAFT_175359	32.2581	36.2812
Os01g0109700	CHLREDRAFT_140464	17.27	42.2509
Os01g0110400	CHLREDRAFT_118204	55.0481	54.7847
Os01g0111100	CHLREDRAFT_30719	35.3741	33.2268
Os01g0111200	CHLREDRAFT_118061	7.74194	60
Os01g0116600	CHLREDRAFT_99082	29.6183	43.9909
Os01g0118000	CHLREDRAFT_24459	68.5567	70.557
Os01g0120300	CHLREDRAFT_143575	3.4005	47.3684
Os01g0120500	CHLREDRAFT_184532	27.9528	29.9578
Os01g0120600	CHLREDRAFT_153076	33.6879	29.595
Os01g0120800	CHLREDRAFT_187852	37.2211	43.4834
Os01g0121200	CHLREDRAFT_95634	17.1004	38.0165
Os01g0121700	CHLREDRAFT_79831	48.3533	46.408
Os01g0125900	CHLREDRAFT_188669	7.14958	34.3891
Os01g0126100	CHLREDRAFT_169463	22.6804	9.92481
Os01g0126100	CHLREDRAFT_188467	22.8522	10.1994
Os01g0126200	CHLREDRAFT_169463	20.4013	9.17293
Os01g0126200	CHLREDRAFT_188467	19.5652	8.97239
Os01g0126900	CHLREDRAFT_169463	20.8403	9.32331
Os01g0126900	CHLREDRAFT_188467	20.6723	9.43252
Os01g0127000	CHLREDRAFT_169463	20.5993	8.27068
Os01g0127000	CHLREDRAFT_188467	20.0375	8.20552
Os01g0127200	CHLREDRAFT_169463	18.5243	8.87218
Os01g0127200	CHLREDRAFT_188467	19.1523	9.35583
Os01g0127300	CHLREDRAFT_196775	32.9876	32.9876
Os01g0127500	CHLREDRAFT_107266	15.4303	43.3333
Os01g0127500	CHLREDRAFT_167932	31.454	28.0423
Os01g0127500	CHLREDRAFT_179737	35.0148	29.5
Os01g0127500	CHLREDRAFT_181368	23.1454	25.7426
Os01g0127500	CHLREDRAFT_194674	32.3442	30.0275
Os01g0127500	CHLREDRAFT_206056	29.6736	31.25
Os01g0127500	CHLREDRAFT_206212	32.0475	29.2683
Os01g0127900	CHLREDRAFT_196572	42.9907	50.411
Os01g0128300	CHLREDRAFT_183917	27.6316	24.4186
Os01g0128300	CHLREDRAFT_187252	24.5614	10.1083
Os01g0130000	CHLREDRAFT_150292	27.6215	19.0141
Os01g0130000	CHLREDRAFT_150298	22.7621	30.4795
Os01g0130000	CHLREDRAFT_195957	29.4118	25.1092
Os01g0130400	CHLREDRAFT_196947	31.9742	28.1398
Os01g0131800	CHLREDRAFT_190234	38.0952	38.0952
Os01g0132800	CHLREDRAFT_97157	24.3243	36.6279
Os01g0133400	CHLREDRAFT_196325	39.4834	37.6098
Os01g0134500	CHLREDRAFT_59933	50.7299	39.6011
Os01g0139200	CHLREDRAFT_122213	2.08644	7.69231
Os01g0139200	CHLREDRAFT_150994	6.40835	8.38207
Os01g0139200	CHLREDRAFT_168632	9.83607	5.73414
Os01g0139200	CHLREDRAFT_195856	11.6244	6.67808
Os01g0139600	CHLREDRAFT_108112	17.8914	31.1111
Os01g0140500	CHLREDRAFT_136811	41.8605	37.2414
Os01g0141100	CHLREDRAFT_181992	68.3168	47.4771
Os01g0141300	CHLREDRAFT_181992	50.4184	55.2752
Os01g0141600	CHLREDRAFT_115526	30.9598	46.2963
Os01g0141700	CHLREDRAFT_168655	16.4666	51.3369
Os01g0142100	CHLREDRAFT_146875	27.6557	36.8293
Os01g0142200	CHLREDRAFT_56408	41.2791	40.3409
Os01g0142300	CHLREDRAFT_121326	10.7798	11.8987
Os01g0142800	CHLREDRAFT_136180	9.19932	21.6
Os01g0143100	CHLREDRAFT_148004	27.0186	39.0135
Os01g0143300	CHLREDRAFT_113438	15.5303	32.5397
Os01g0143300	CHLREDRAFT_183418	25.7576	26.7717
Os01g0143700	CHLREDRAFT_113438	15.0579	30.9524
Os01g0143700	CHLREDRAFT_183418	22.0077	22.4409
Os01g0143800	CHLREDRAFT_113438	13.0909	28.5714
Os01g0143800	CHLREDRAFT_183418	22.9091	24.8032
Os01g0144100	CHLREDRAFT_115715	26.7677	42.7419
Os01g0144500	CHLREDRAFT_106366	29.918	30.9322
Os01g0147200	CHLREDRAFT_144201	23.0769	23.2955
Os01g0147300	CHLREDRAFT_149870	21.0784	11.4973
Os01g0147300	CHLREDRAFT_206025	17.6471	6.16438
Os01g0147800	CHLREDRAFT_151335	15.1064	12.4343
Os01g0147900	CHLREDRAFT_26265	55.7312	50
Os01g0148400	CHLREDRAFT_112251	7.82748	17.4377
Os01g0149600	CHLREDRAFT_100005	67.3203	67.7632
Os01g0149600	CHLREDRAFT_100008	67.9739	67.9739
Os01g0149600	CHLREDRAFT_100162	67.9739	67.9739
Os01g0149600	CHLREDRAFT_100236	67.9739	67.9739
Os01g0149600	CHLREDRAFT_100672	68.6274	68.6274
Os01g0149600	CHLREDRAFT_100722	67.3203	67.3203
Os01g0149600	CHLREDRAFT_102205	67.3203	66.4516
Os01g0149600	CHLREDRAFT_107058	67.9739	67.9739
Os01g0149600	CHLREDRAFT_107697	67.9739	67.9739
Os01g0149600	CHLREDRAFT_108915	67.3203	67.3203
Os01g0149600	CHLREDRAFT_109462	39.8693	83.5616
Os01g0149600	CHLREDRAFT_109944	60.7843	65.493
Os01g0149600	CHLREDRAFT_112444	67.9739	67.9739
Os01g0149600	CHLREDRAFT_112576	68.6274	68.6274
Os01g0149600	CHLREDRAFT_112705	67.3203	67.3203
Os01g0149600	CHLREDRAFT_112775	67.9739	67.9739
Os01g0149600	CHLREDRAFT_115268	67.3203	67.3203
Os01g0149600	CHLREDRAFT_121856	67.3203	67.3203
Os01g0149600	CHLREDRAFT_121902	62.7451	79.3388
Os01g0149600	CHLREDRAFT_123644	67.3203	67.3203
Os01g0149600	CHLREDRAFT_124679	67.9739	67.9739
Os01g0149600	CHLREDRAFT_124894	55.5556	81.7308
Os01g0149600	CHLREDRAFT_125122	68.6274	68.6274
Os01g0149600	CHLREDRAFT_160509	66.6667	67.1053
Os01g0149600	CHLREDRAFT_168516	67.9739	66.6667
Os01g0149600	CHLREDRAFT_172560	67.3203	66.4516
Os01g0149600	CHLREDRAFT_181233	56.8627	72.5
Os01g0149600	CHLREDRAFT_60	67.9739	67.9739
Os01g0149600	CHLREDRAFT_648	67.9739	67.9739
Os01g0149600	CHLREDRAFT_654	67.9739	67.9739
Os01g0149600	CHLREDRAFT_885	67.9739	67.9739
Os01g0149600	CHLREDRAFT_97627	67.9739	67.9739
Os01g0149600	CHLREDRAFT_97907	67.9739	67.9739
Os01g0149600	CHLREDRAFT_98035	67.9739	67.9739
Os01g0149600	CHLREDRAFT_98097	67.9739	67.9739
Os01g0150000	CHLREDRAFT_602	47.0968	49.1582
Os01g0151200	CHLREDRAFT_187295	38.3442	35.5556
Os01g0151400	CHLREDRAFT_170508	15.2381	10.3896
Os01g0151500	CHLREDRAFT_170508	17.0909	30.5195
Os01g0152300	CHLREDRAFT_100005	66.6667	67.1053
Os01g0152300	CHLREDRAFT_100008	67.3203	67.3203
Os01g0152300	CHLREDRAFT_100162	67.3203	67.3203
Os01g0152300	CHLREDRAFT_100236	67.3203	67.3203
Os01g0152300	CHLREDRAFT_100672	67.9739	67.9739
Os01g0152300	CHLREDRAFT_100722	66.6667	66.6667
Os01g0152300	CHLREDRAFT_102205	66.6667	65.8064
Os01g0152300	CHLREDRAFT_107058	67.3203	67.3203
Os01g0152300	CHLREDRAFT_107697	67.3203	67.3203
Os01g0152300	CHLREDRAFT_108915	66.6667	66.6667
Os01g0152300	CHLREDRAFT_109462	39.8693	83.5616
Os01g0152300	CHLREDRAFT_109944	60.1307	64.7887
Os01g0152300	CHLREDRAFT_112444	67.3203	67.3203
Os01g0152300	CHLREDRAFT_112576	67.9739	67.9739
Os01g0152300	CHLREDRAFT_112705	66.6667	66.6667
Os01g0152300	CHLREDRAFT_112775	67.3203	67.3203
Os01g0152300	CHLREDRAFT_115268	66.6667	66.6667
Os01g0152300	CHLREDRAFT_121856	66.6667	66.6667
Os01g0152300	CHLREDRAFT_121902	62.0915	78.5124
Os01g0152300	CHLREDRAFT_123644	66.6667	66.6667
Os01g0152300	CHLREDRAFT_124679	67.3203	67.3203
Os01g0152300	CHLREDRAFT_124894	55.5556	81.7308
Os01g0152300	CHLREDRAFT_125122	67.9739	67.9739
Os01g0152300	CHLREDRAFT_160509	66.0131	66.4474
Os01g0152300	CHLREDRAFT_168516	67.3203	66.0256
Os01g0152300	CHLREDRAFT_172560	66.6667	65.8064
Os01g0152300	CHLREDRAFT_181233	56.8627	72.5
Os01g0152300	CHLREDRAFT_60	67.3203	67.3203
Os01g0152300	CHLREDRAFT_648	67.3203	67.3203
Os01g0152300	CHLREDRAFT_654	67.3203	67.3203
Os01g0152300	CHLREDRAFT_885	67.3203	67.3203
Os01g0152300	CHLREDRAFT_97627	67.3203	67.3203
Os01g0152300	CHLREDRAFT_97907	67.3203	67.3203
Os01g0152300	CHLREDRAFT_98035	67.3203	67.3203
Os01g0152300	CHLREDRAFT_98097	67.3203	67.3203
Os01g0152900	CHLREDRAFT_100005	67.3203	67.7632
Os01g0152900	CHLREDRAFT_100008	67.9739	67.9739
Os01g0152900	CHLREDRAFT_100162	67.9739	67.9739
Os01g0152900	CHLREDRAFT_100236	67.9739	67.9739
Os01g0152900	CHLREDRAFT_100672	67.9739	67.9739
Os01g0152900	CHLREDRAFT_100722	67.3203	67.3203
Os01g0152900	CHLREDRAFT_102205	66.6667	65.8064
Os01g0152900	CHLREDRAFT_107058	67.9739	67.9739
Os01g0152900	CHLREDRAFT_107697	67.9739	67.9739
Os01g0152900	CHLREDRAFT_108915	67.3203	67.3203
Os01g0152900	CHLREDRAFT_109462	39.8693	83.5616
Os01g0152900	CHLREDRAFT_109944	60.7843	65.493
Os01g0152900	CHLREDRAFT_112444	67.9739	67.9739
Os01g0152900	CHLREDRAFT_112576	68.6274	68.6274
Os01g0152900	CHLREDRAFT_112705	67.3203	67.3203
Os01g0152900	CHLREDRAFT_112775	67.9739	67.9739
Os01g0152900	CHLREDRAFT_115268	67.3203	67.3203
Os01g0152900	CHLREDRAFT_121856	67.3203	67.3203
Os01g0152900	CHLREDRAFT_121902	62.7451	79.3388
Os01g0152900	CHLREDRAFT_123644	67.3203	67.3203
Os01g0152900	CHLREDRAFT_124679	67.9739	67.9739
Os01g0152900	CHLREDRAFT_124894	55.5556	81.7308
Os01g0152900	CHLREDRAFT_125122	67.9739	67.9739
Os01g0152900	CHLREDRAFT_160509	66.6667	67.1053
Os01g0152900	CHLREDRAFT_168516	67.3203	66.0256
Os01g0152900	CHLREDRAFT_172560	66.6667	65.8064
Os01g0152900	CHLREDRAFT_181233	56.8627	72.5
Os01g0152900	CHLREDRAFT_60	67.9739	67.9739
Os01g0152900	CHLREDRAFT_648	67.9739	67.9739
Os01g0152900	CHLREDRAFT_654	67.9739	67.9739
Os01g0152900	CHLREDRAFT_885	67.9739	67.9739
Os01g0152900	CHLREDRAFT_97627	67.9739	67.9739
Os01g0152900	CHLREDRAFT_97907	67.9739	67.9739
Os01g0152900	CHLREDRAFT_98035	67.9739	67.9739
Os01g0152900	CHLREDRAFT_98097	67.9739	67.9739
Os01g0153100	CHLREDRAFT_100005	68.6274	69.0789
Os01g0153100	CHLREDRAFT_100008	69.281	69.281
Os01g0153100	CHLREDRAFT_100162	69.281	69.281
Os01g0153100	CHLREDRAFT_100236	69.281	69.281
Os01g0153100	CHLREDRAFT_100672	69.281	69.281
Os01g0153100	CHLREDRAFT_100722	68.6274	68.6274
Os01g0153100	CHLREDRAFT_102205	67.9739	67.0968
Os01g0153100	CHLREDRAFT_107058	69.281	69.281
Os01g0153100	CHLREDRAFT_107697	69.281	69.281
Os01g0153100	CHLREDRAFT_108915	68.6274	68.6274
Os01g0153100	CHLREDRAFT_109462	41.1765	86.3014
Os01g0153100	CHLREDRAFT_109944	62.0915	66.9014
Os01g0153100	CHLREDRAFT_112444	69.281	69.281
Os01g0153100	CHLREDRAFT_112576	69.9346	69.9346
Os01g0153100	CHLREDRAFT_112705	68.6274	68.6274
Os01g0153100	CHLREDRAFT_112775	69.281	69.281
Os01g0153100	CHLREDRAFT_115268	68.6274	68.6274
Os01g0153100	CHLREDRAFT_121856	68.6274	68.6274
Os01g0153100	CHLREDRAFT_121902	64.0523	80.9917
Os01g0153100	CHLREDRAFT_123644	68.6274	68.6274
Os01g0153100	CHLREDRAFT_124679	69.281	69.281
Os01g0153100	CHLREDRAFT_124894	56.8627	83.6538
Os01g0153100	CHLREDRAFT_125122	69.281	69.281
Os01g0153100	CHLREDRAFT_160509	67.9739	68.4211
Os01g0153100	CHLREDRAFT_168516	68.6274	67.3077
Os01g0153100	CHLREDRAFT_172560	67.9739	67.0968
Os01g0153100	CHLREDRAFT_181233	58.1699	74.1667
Os01g0153100	CHLREDRAFT_60	69.281	69.281
Os01g0153100	CHLREDRAFT_648	69.281	69.281
Os01g0153100	CHLREDRAFT_654	69.281	69.281
Os01g0153100	CHLREDRAFT_885	69.281	69.281
Os01g0153100	CHLREDRAFT_97627	69.281	69.281
Os01g0153100	CHLREDRAFT_97907	69.281	69.281
Os01g0153100	CHLREDRAFT_98035	69.281	69.281
Os01g0153100	CHLREDRAFT_98097	69.281	69.281
Os01g0153200	CHLREDRAFT_59755	28.0702	24.6154
Os01g0153300	CHLREDRAFT_100005	67.0968	68.4211
Os01g0153300	CHLREDRAFT_100008	67.7419	68.6274
Os01g0153300	CHLREDRAFT_100162	67.7419	68.6274
Os01g0153300	CHLREDRAFT_100236	67.7419	68.6274
Os01g0153300	CHLREDRAFT_100672	67.7419	68.6274
Os01g0153300	CHLREDRAFT_100722	67.0968	67.9739
Os01g0153300	CHLREDRAFT_102205	66.4516	66.4516
Os01g0153300	CHLREDRAFT_107058	67.7419	68.6274
Os01g0153300	CHLREDRAFT_107697	67.7419	68.6274
Os01g0153300	CHLREDRAFT_108915	67.0968	67.9739
Os01g0153300	CHLREDRAFT_109462	40	84.9315
Os01g0153300	CHLREDRAFT_109944	60.6452	66.1972
Os01g0153300	CHLREDRAFT_112444	67.7419	68.6274
Os01g0153300	CHLREDRAFT_112576	68.3871	69.281
Os01g0153300	CHLREDRAFT_112705	67.0968	67.9739
Os01g0153300	CHLREDRAFT_112775	67.7419	68.6274
Os01g0153300	CHLREDRAFT_115268	67.0968	67.9739
Os01g0153300	CHLREDRAFT_121856	67.0968	67.9739
Os01g0153300	CHLREDRAFT_121902	62.5806	80.1653
Os01g0153300	CHLREDRAFT_123644	67.0968	67.9739
Os01g0153300	CHLREDRAFT_124679	67.7419	68.6274
Os01g0153300	CHLREDRAFT_124894	55.4839	82.6923
Os01g0153300	CHLREDRAFT_125122	67.7419	68.6274
Os01g0153300	CHLREDRAFT_160509	66.4516	67.7632
Os01g0153300	CHLREDRAFT_168516	67.0968	66.6667
Os01g0153300	CHLREDRAFT_172560	66.4516	66.4516
Os01g0153300	CHLREDRAFT_181233	56.7742	73.3333
Os01g0153300	CHLREDRAFT_60	67.7419	68.6274
Os01g0153300	CHLREDRAFT_648	67.7419	68.6274
Os01g0153300	CHLREDRAFT_654	67.7419	68.6274
Os01g0153300	CHLREDRAFT_885	67.7419	68.6274
Os01g0153300	CHLREDRAFT_97627	67.7419	68.6274
Os01g0153300	CHLREDRAFT_97907	67.7419	68.6274
Os01g0153300	CHLREDRAFT_98035	67.7419	68.6274
Os01g0153300	CHLREDRAFT_98097	67.7419	68.6274
Os01g0153400	CHLREDRAFT_196583	54.6875	29.4118
Os01g0157800	CHLREDRAFT_137795	57.1429	56.1404
Os01g0158000	CHLREDRAFT_145807	17.6136	19.0574
Os01g0158200	CHLREDRAFT_119383	39.2781	43.2243
Os01g0158500	CHLREDRAFT_119290	46.8227	47.5382
Os01g0158800	CHLREDRAFT_112975	24.7899	44.697
Os01g0158800	CHLREDRAFT_127913	27.3109	28.1385
Os01g0158900	CHLREDRAFT_114109	34.4334	46.5774
Os01g0159300	CHLREDRAFT_161785	7.18563	18.9474
Os01g0159400	CHLREDRAFT_111185	11.3164	73.1343
Os01g0159400	CHLREDRAFT_40101	39.7229	53.0864
Os01g0162101	CHLREDRAFT_145089	18.4211	1.07034
Os01g0162101	CHLREDRAFT_192277	44.7368	4.6832
Os01g0164500	CHLREDRAFT_118990	43.4312	48.3649
Os01g0164600	CHLREDRAFT_178269	29.6073	10.3704
Os01g0164600	CHLREDRAFT_178366	22.9607	10.174
Os01g0164600	CHLREDRAFT_193906	31.1178	7.04033
Os01g0164600	CHLREDRAFT_205673	32.6284	6.8615
Os01g0164700	CHLREDRAFT_163582	22.3077	40.8451
Os01g0166800	CHLREDRAFT_146531	22.7806	18.3042
Os01g0168200	CHLREDRAFT_195613	29.0076	25.3333
Os01g0168200	CHLREDRAFT_195887	31.2977	36.2832
Os01g0168200	CHLREDRAFT_196118	34.3511	29.6053
Os01g0168400	CHLREDRAFT_177885	21.3115	23.4536
Os01g0172100	CHLREDRAFT_182319	45.0382	44.1397
Os01g0172100	CHLREDRAFT_191135	46.8193	46.1153
Os01g0172200	CHLREDRAFT_136620	38.0764	50.97
Os01g0173100	CHLREDRAFT_191820	39.4737	41.958
Os01g0173600	CHLREDRAFT_104003	33.0233	48.2993
Os01g0174900	CHLREDRAFT_195767	28.6486	34.1936
Os01g0175000	CHLREDRAFT_144069	19.4553	26.455
Os01g0175600	CHLREDRAFT_114486	35.8631	48.4909
Os01g0175700	CHLREDRAFT_114486	36.0119	48.6922
Os01g0177100	CHLREDRAFT_115105	6.72748	19.4079
Os01g0177200	CHLREDRAFT_111890	34.6348	43.7202
Os01g0177900	CHLREDRAFT_131711	39.1304	40.4641
Os01g0177900	CHLREDRAFT_60710	33.5905	35.907
Os01g0178000	CHLREDRAFT_146923	47.7157	42.3423
Os01g0178200	CHLREDRAFT_165256	33.033	30.7263
Os01g0178400	CHLREDRAFT_127638	48.2927	19.7211
Os01g0179200	CHLREDRAFT_195412	42.7326	43.3628
Os01g0179400	CHLREDRAFT_167592	7.72834	21.5405
Os01g0179700	CHLREDRAFT_60490	83.2512	83.2512
Os01g0179800	CHLREDRAFT_154748	27.791	29.8469
Os01g0180800	CHLREDRAFT_15589	42.4852	44.7073
Os01g0183100	CHLREDRAFT_144515	43.2584	42.5414
Os01g0183300	CHLREDRAFT_195668	21.6039	19.2701
Os01g0184500	CHLREDRAFT_189941	23.68	27.9245
Os01g0184800	CHLREDRAFT_205701	38.247	45.7143
Os01g0184900	CHLREDRAFT_189879	34.0094	39.4928
Os01g0185200	CHLREDRAFT_193475	21.1055	45.5285
Os01g0186200	CHLREDRAFT_96963	10.3797	39.4231
Os01g0186200	CHLREDRAFT_99299	11.6456	40
Os01g0186700	CHLREDRAFT_116419	50.9191	57.7083
Os01g0187500	CHLREDRAFT_169764	11.1702	6.81818
Os01g0188100	CHLREDRAFT_187819	46.7066	47.1299
Os01g0188400	CHLREDRAFT_126820	41.4711	42.9498
Os01g0190400	CHLREDRAFT_21582	34.7162	24.1641
Os01g0191100	CHLREDRAFT_195600	48.2456	50.4587
Os01g0191150	CHLREDRAFT_181887	34.4828	15.2672
Os01g0191500	CHLREDRAFT_10419	29.3069	30.5155
Os01g0191500	CHLREDRAFT_206036	32.0792	31.9527
Os01g0191800	CHLREDRAFT_145741	67.4658	67.4658
Os01g0192000	CHLREDRAFT_119209	17.8756	64.486
Os01g0192000	CHLREDRAFT_182666	20.7254	65.0406
Os01g0192000	CHLREDRAFT_205729	26.4249	13.4565
Os01g0192900	CHLREDRAFT_170056	22.7017	16.5753
Os01g0193600	CHLREDRAFT_188565	32.8546	24.5308
Os01g0195500	CHLREDRAFT_122741	27.1357	49.0909
Os01g0196500	CHLREDRAFT_171434	26.8657	26.601
Os01g0197200	CHLREDRAFT_136376	64.7773	62.3782
Os01g0198200	CHLREDRAFT_153736	66.6667	70.3151
Os01g0198200	CHLREDRAFT_15736	57.3899	52.2175
Os01g0199400	CHLREDRAFT_146499	22.2785	26.0355
Os01g0199400	CHLREDRAFT_157360	18.9873	25.7732
Os01g0199900	CHLREDRAFT_196726	45.9588	44.5469
Os01g0200000	CHLREDRAFT_186904	50	51.634
Os01g0200400	CHLREDRAFT_141005	22.5191	22.9572
Os01g0200500	CHLREDRAFT_148095	19.2661	33.5106
Os01g0204000	CHLREDRAFT_190579	14.4531	23.1975
Os01g0205500	CHLREDRAFT_195587	68.1319	69.6629
Os01g0205700	CHLREDRAFT_114692	67.8112	40.8269
Os01g0207300	CHLREDRAFT_182408	79.2683	33.3333
Os01g0208700	CHLREDRAFT_80312	23.2742	50.1062
Os01g0209400	CHLREDRAFT_144221	44.4805	29.5259
Os01g0209800	CHLREDRAFT_205765	29.7078	30.86
Os01g0210500	CHLREDRAFT_145011	24.7706	31.5789
Os01g0210700	CHLREDRAFT_146216	18.3028	7.39247
Os01g0210700	CHLREDRAFT_151393	10.3161	22.2222
Os01g0210700	CHLREDRAFT_171437	20.2995	4.25235
Os01g0210900	CHLREDRAFT_196874	36.9863	36.699
Os01g0211000	CHLREDRAFT_196874	37.5479	38.0583
Os01g0211200	CHLREDRAFT_196874	39.6825	38.835
Os01g0211600	CHLREDRAFT_196874	42.4084	31.4563
Os01g0212100	CHLREDRAFT_121004	21.2857	62.0833
Os01g0214200	CHLREDRAFT_149530	39.916	17.6252
Os01g0214400	CHLREDRAFT_101710	32.2835	37.6147
Os01g0215100	CHLREDRAFT_126671	30.8943	8.20734
Os01g0215100	CHLREDRAFT_189662	34.9594	10.3865
Os01g0218200	CHLREDRAFT_186231	8.48214	16.1017
Os01g0218700	CHLREDRAFT_99858	36.965	54.1825
Os01g0219100	CHLREDRAFT_184074	27.7108	29.2994
Os01g0220200	CHLREDRAFT_148361	32.2314	26.7123
Os01g0220300	CHLREDRAFT_194972	20.5479	24.5902
Os01g0221700	CHLREDRAFT_205883	37.2024	36.7647
Os01g0221900	CHLREDRAFT_95256	8.18182	3.9823
Os01g0222500	CHLREDRAFT_190371	44.5887	44.3966
Os01g0224400	CHLREDRAFT_196379	23.913	6.41399
Os01g0225000	CHLREDRAFT_196089	33.8509	24.3848
Os01g0225400	CHLREDRAFT_196344	57.971	18.1406
Os01g0225500	CHLREDRAFT_196344	8.77193	7.93651
Os01g0226400	CHLREDRAFT_144746	9.7619	28.6713
Os01g0227300	CHLREDRAFT_195521	72.4638	72.8155
Os01g0228300	CHLREDRAFT_148797	34.6847	34.0708
Os01g0228300	CHLREDRAFT_148800	29.7297	22.9167
Os01g0229100	CHLREDRAFT_128430	44.9136	44.3182
Os01g0229200	CHLREDRAFT_174889	10.5485	29.2969
Os01g0229900	CHLREDRAFT_188669	9.92647	12.2172
