Gene stable ID	Prunus persica gene stable ID	%id. target Prunus persica gene identical to query gene	%id. query gene identical to target Prunus persica gene
Os01g0108600	PRUPE_5G175300	33.0357	39.7849
Os01g0108800	PRUPE_1G254000	51.5152	19.933
Os01g0109300	PRUPE_3G283700	62.0968	65.3928
Os01g0109700	PRUPE_1G262300	62.5189	57.3306
Os01g0109700	PRUPE_3G276300	53.9216	51.2178
Os01g0110100	PRUPE_1G301900	62.7034	60.4343
Os01g0110400	PRUPE_3G196800	73.0769	74.5098
Os01g0110500	PRUPE_1G301200	47.851	46.9761
Os01g0110700	PRUPE_1G302700	73.5266	72.7533
Os01g0110800	PRUPE_1G303600	50.4444	47.3904
Os01g0110800	PRUPE_5G215600	48.4444	40.3704
Os01g0111100	PRUPE_5G215800	52.0408	46.5046
Os01g0111200	PRUPE_1G303800	47.2581	48.9149
Os01g0111400	PRUPE_5G216200	48.3595	50.0739
Os01g0111500	PRUPE_3G159800	34.5763	35.1724
Os01g0111600	PRUPE_5G230900	58.6207	59.3023
Os01g0111700	PRUPE_3G159000	27.4286	40
Os01g0112100	PRUPE_5G187600	30.5851	29.3367
Os01g0112400	PRUPE_1G152300	27.2727	26.1745
Os01g0112500	PRUPE_3G159600	62.6404	58.2245
Os01g0113300	PRUPE_1G318900	25.9484	41.9118
Os01g0113400	PRUPE_1G318900	24.0768	39.951
Os01g0113700	PRUPE_1G318900	24.0876	40.4412
Os01g0114100	PRUPE_1G318900	19.4234	31.3725
Os01g0114400	PRUPE_1G318900	25.7396	21.3235
Os01g0114600	PRUPE_1G318900	24.3165	41.4216
Os01g0115200	PRUPE_8G161600	41.0256	12.3314
Os01g0115200	PRUPE_8G161700	41.0256	11.9626
Os01g0115200	PRUPE_8G161800	41.6667	12.2642
Os01g0115200	PRUPE_8G161900	44.2308	13.2948
Os01g0115500	PRUPE_1G318900	28.0236	23.2843
Os01g0115700	PRUPE_1G318900	26.5924	40.9314
Os01g0115750	PRUPE_1G318900	23.5988	39.2157
Os01g0116000	PRUPE_1G318900	24.7076	41.4216
Os01g0116200	PRUPE_1G318900	23.9437	41.6667
Os01g0116400	PRUPE_1G318900	24.3722	40.4412
Os01g0116600	PRUPE_1G461200	56.4885	48.3029
Os01g0116800	PRUPE_1G318900	32.1809	29.6569
Os01g0117000	PRUPE_1G318900	21.8919	39.7059
Os01g0117200	PRUPE_1G318900	23.7898	42.1569
Os01g0117400	PRUPE_1G318900	28.5024	14.4608
Os01g0117600	PRUPE_1G318900	23.783	41.9118
Os01g0117900	PRUPE_5G226900	44.1176	54.4554
Os01g0118000	PRUPE_1G319500	84.5361	83.4606
Os01g0118100	PRUPE_1G319600	75.5501	50.9061
Os01g0118100	PRUPE_5G227100	76.4059	50.813
Os01g0118300	PRUPE_1G319700	80.2353	70.7469
Os01g0118400	PRUPE_5G227200	25.9386	35.7647
Os01g0118400	PRUPE_5G227600	27.8157	31.7121
Os01g0118600	PRUPE_5G227200	29.4643	38.8235
Os01g0118600	PRUPE_5G227600	30.7143	33.463
Os01g0118700	PRUPE_5G227200	27.9923	34.1176
Os01g0118700	PRUPE_5G227600	31.0811	31.323
Os01g0119000	PRUPE_5G227200	28.8382	32.7059
Os01g0119000	PRUPE_5G227600	31.7427	29.7665
Os01g0119100	PRUPE_5G227200	27.1945	37.1765
Os01g0119100	PRUPE_5G227600	30.1205	34.0467
Os01g0120300	PRUPE_4G016400	72.1662	58.709
Os01g0120400	PRUPE_1G137400	54.5455	55.5985
Os01g0120500	PRUPE_5G228200	52.3622	52.7778
Os01g0120600	PRUPE_1G320800	45.7447	43.2886
Os01g0120700	PRUPE_1G320900	46.3158	39.521
Os01g0120800	PRUPE_6G317100	66.1258	68.0585
Os01g0121000	PRUPE_5G234600	34.8259	39.548
Os01g0121100	PRUPE_3G150900	52.6316	54.3807
Os01g0121200	PRUPE_1G321900	53.5316	53.3333
Os01g0121200	PRUPE_3G151200	54.2751	55.5133
Os01g0121300	PRUPE_1G322100	45	42.7817
Os01g0121500	PRUPE_1G322400	34.1667	26.6234
Os01g0121500	PRUPE_1G322500	33.3333	25.4777
Os01g0121500	PRUPE_3G151400	34.1667	26.7974
Os01g0121600	PRUPE_1G322400	34.0136	32.4675
Os01g0121600	PRUPE_1G322500	34.0136	31.8471
Os01g0121600	PRUPE_3G151400	33.3333	32.0261
Os01g0121700	PRUPE_1G322600	71.8563	65.6635
Os01g0121800	PRUPE_1G322800	62.1891	63.1313
Os01g0125600	PRUPE_1G323100	39.2857	42.7461
Os01g0125600	PRUPE_3G152200	16.9048	32.5688
Os01g0125700	PRUPE_3G152500	63.8095	63.0094
Os01g0125800	PRUPE_5G230600	68.5246	68.6371
Os01g0125900	PRUPE_8G167100	50.047	46.3011
Os01g0126200	PRUPE_1G323200	53.1773	55.0173
Os01g0127300	PRUPE_1G552500	43.7759	43.7759
Os01g0127400	PRUPE_1G323300	64.3868	66.4234
Os01g0127500	PRUPE_1G310300	58.7537	62.069
Os01g0127900	PRUPE_1G313500	53.5047	52.2831
Os01g0127900	PRUPE_3G142100	58.6449	56.9161
Os01g0128000	PRUPE_1G313300	38.2857	43.9344
Os01g0128000	PRUPE_5G222400	36.5714	40.5063
Os01g0128100	PRUPE_1G312700	65.6357	63.245
Os01g0128300	PRUPE_3G157500	50.4386	46.1847
Os01g0128300	PRUPE_5G053500	52.6316	48.3871
Os01g0128400	PRUPE_1G329900	48.4642	47.0199
Os01g0128400	PRUPE_3G161600	50.3413	49.3311
Os01g0128800	PRUPE_5G221900	63.0901	17.9927
Os01g0129200	PRUPE_1G311900	39.5437	35.9862
Os01g0129500	PRUPE_5G221500	33.8073	34.8534
Os01g0129600	PRUPE_1G311000	20.944	32.5688
Os01g0130000	PRUPE_4G131000	64.1944	61.5196
Os01g0130000	PRUPE_4G131200	62.9156	61.3466
Os01g0130400	PRUPE_1G309900	67.9185	68.3585
Os01g0131300	PRUPE_1G309700	33.7143	25.8772
Os01g0131300	PRUPE_5G220600	33.1429	23.5772
Os01g0132100	PRUPE_2G128400	25.6831	28.8934
Os01g0132100	PRUPE_2G128600	25.2277	28.4979
Os01g0132100	PRUPE_2G128700	23.4062	28.4607
Os01g0132100	PRUPE_2G130100	23.4062	29.4387
Os01g0132100	PRUPE_2G130300	12.2951	28.97
Os01g0132100	PRUPE_2G130400	19.0346	26.3889
Os01g0132100	PRUPE_2G130500	23.9526	27.7134
Os01g0132100	PRUPE_2G130600	23.133	31.1275
Os01g0132100	PRUPE_2G130700	25.0455	28.8866
Os01g0132100	PRUPE_2G130900	24.1348	30.6713
Os01g0132100	PRUPE_2G131000	26.2295	29.5385
Os01g0132100	PRUPE_3G094800	25.8652	35.0617
Os01g0132100	PRUPE_3G196000	28.5975	31.7492
Os01g0132100	PRUPE_3G199200	28.051	31.3008
Os01g0132100	PRUPE_3G199400	17.7596	28.8035
Os01g0132100	PRUPE_3G199500	27.8689	31.003
Os01g0132100	PRUPE_3G200000	23.224	30.1418
Os01g0132100	PRUPE_4G168900	23.9526	27.9193
Os01g0132100	PRUPE_4G232400	25.6831	32.526
Os01g0132100	PRUPE_4G233100	27.7778	31.4433
Os01g0132100	PRUPE_4G233200	24.6812	31.1137
Os01g0132100	PRUPE_4G233600	29.4171	36.1702
Os01g0132100	PRUPE_4G234200	29.4171	32.2355
Os01g0132100	PRUPE_4G279000	28.9617	31.992
Os01g0132100	PRUPE_6G281000	26.1384	31.6428
Os01g0132100	PRUPE_6G281100	21.4936	31.4667
Os01g0132100	PRUPE_6G281200	32.6047	33.4267
Os01g0132100	PRUPE_6G281400	31.694	34.0509
Os01g0132100	PRUPE_6G281500	34.153	35.9195
Os01g0132100	PRUPE_6G288800	28.2332	35.7143
Os01g0132100	PRUPE_7G088700	24.3169	32.6805
Os01g0132100	PRUPE_8G054300	24.5902	30.1339
Os01g0132100	PRUPE_8G054400	24.1348	30.9942
Os01g0132500	PRUPE_2G125500	21.6981	15.3333
Os01g0132500	PRUPE_5G064500	24.0566	22.2707
Os01g0132700	PRUPE_7G260300	62.8378	58.4906
Os01g0132766	PRUPE_1G314000	37.8277	34.471
Os01g0132766	PRUPE_3G143800	25.8427	31.3636
Os01g0132800	PRUPE_3G143700	57.9151	60.7287
Os01g0133100	PRUPE_3G143500	17.8517	12.4473
Os01g0133400	PRUPE_3G144600	73.9852	73.0419
Os01g0133500	PRUPE_1G314400	49.8099	49.7154
Os01g0134500	PRUPE_3G144900	71.1679	71.6912
Os01g0134700	PRUPE_5G223600	42.0091	37.7823
Os01g0134700	PRUPE_5G223700	11.4155	30.6748
Os01g0135700	PRUPE_1G192900	27.0718	22.3744
Os01g0135700	PRUPE_3G199600	32.0442	37.4194
Os01g0135700	PRUPE_5G232300	41.9889	44.7059
Os01g0135700	PRUPE_7G023700	32.5967	35.3293
Os01g0136400	PRUPE_1G315900	42.515	41.8879
Os01g0136400	PRUPE_3G146500	41.9162	41.116
Os01g0136400	PRUPE_5G223900	42.0659	41.6296
Os01g0136800	PRUPE_1G315900	40.2402	39.528
Os01g0136800	PRUPE_3G146500	38.8889	38.0323
Os01g0136800	PRUPE_5G223900	40.0901	39.5556
Os01g0136900	PRUPE_1G315000	37.5954	31.1216
Os01g0136900	PRUPE_1G496900	27.6718	41.9075
Os01g0136900	PRUPE_2G033400	33.5878	32.2936
Os01g0136900	PRUPE_3G145200	26.7176	40.2299
Os01g0136900	PRUPE_3G145600	35.3053	39.7849
Os01g0136900	PRUPE_3G145700	36.6412	29.1351
Os01g0136900	PRUPE_3G145800	39.8855	29.1899
Os01g0136900	PRUPE_3G145900	27.0992	30.7359
Os01g0136900	PRUPE_3G146100	35.3053	29.3651
Os01g0136900	PRUPE_3G146200	37.9771	31.1912
Os01g0136900	PRUPE_5G223800	38.3588	32.16
Os01g0137250	PRUPE_1G315000	49.6084	30.0158
Os01g0137250	PRUPE_1G496900	48.564	53.7572
Os01g0137250	PRUPE_2G033400	49.0862	34.4954
Os01g0137250	PRUPE_3G145200	44.1253	48.5632
Os01g0137250	PRUPE_3G145600	42.0366	34.6237
Os01g0137250	PRUPE_3G145700	49.6084	28.8316
Os01g0137250	PRUPE_3G145800	50.1305	26.8156
Os01g0137250	PRUPE_3G145900	38.3812	31.8182
Os01g0137250	PRUPE_3G146100	49.8695	30.3175
Os01g0137250	PRUPE_3G146200	47.2585	28.3699
Os01g0137250	PRUPE_5G223800	48.564	29.76
Os01g0137400	PRUPE_1G315000	35.4788	35.703
Os01g0137400	PRUPE_1G496900	29.1994	53.7572
Os01g0137400	PRUPE_2G033400	32.81	38.3486
Os01g0137400	PRUPE_3G145200	28.5714	52.2989
Os01g0137400	PRUPE_3G145600	28.4144	38.9247
Os01g0137400	PRUPE_3G145700	37.0487	35.8118
Os01g0137400	PRUPE_3G145800	36.1068	32.1229
Os01g0137400	PRUPE_3G145900	28.1005	38.7446
Os01g0137400	PRUPE_3G146100	35.9498	36.3492
Os01g0137400	PRUPE_3G146200	35.6358	35.5799
Os01g0137400	PRUPE_5G223800	37.3626	38.08
Os01g0137500	PRUPE_1G315000	51.632	27.4882
Os01g0137500	PRUPE_1G496900	49.2582	47.9769
Os01g0137500	PRUPE_2G033400	49.8516	30.8257
Os01g0137500	PRUPE_3G145200	44.5104	43.1034
Os01g0137500	PRUPE_3G145600	45.9941	33.3333
Os01g0137500	PRUPE_3G145700	48.6647	24.8862
Os01g0137500	PRUPE_3G145800	49.5549	23.324
Os01g0137500	PRUPE_3G145900	38.2789	27.9221
Os01g0137500	PRUPE_3G146100	49.2582	26.3492
Os01g0137500	PRUPE_3G146200	49.5549	26.1755
Os01g0137500	PRUPE_5G223800	51.3353	27.68
Os01g0137950	PRUPE_2G087600	24.5098	47.619
Os01g0138300	PRUPE_1G315000	35.6083	37.9147
Os01g0138300	PRUPE_1G496900	27.4481	53.4682
Os01g0138300	PRUPE_2G033400	32.1958	39.8165
Os01g0138300	PRUPE_3G145200	26.2611	50.8621
Os01g0138300	PRUPE_3G145600	29.2285	42.3656
Os01g0138300	PRUPE_3G145700	34.273	35.0531
Os01g0138300	PRUPE_3G145800	36.2018	34.0782
Os01g0138300	PRUPE_3G145900	26.1128	38.0952
Os01g0138300	PRUPE_3G146100	34.5697	36.9841
Os01g0138300	PRUPE_3G146200	33.8279	35.7367
Os01g0138300	PRUPE_5G223800	34.4214	37.12
Os01g0138400	PRUPE_1G315000	34.407	37.1248
Os01g0138400	PRUPE_1G496900	27.0864	53.4682
Os01g0138400	PRUPE_2G033400	32.6501	40.9174
Os01g0138400	PRUPE_3G145200	26.0615	51.1494
Os01g0138400	PRUPE_3G145600	27.8184	40.8602
Os01g0138400	PRUPE_3G145700	32.5037	33.6874
Os01g0138400	PRUPE_3G145800	36.0176	34.3575
Os01g0138400	PRUPE_3G145900	26.5007	39.1775
Os01g0138400	PRUPE_3G146100	34.6999	37.619
Os01g0138400	PRUPE_3G146200	35.8712	38.4013
Os01g0138400	PRUPE_5G223800	34.1142	37.28
Os01g0138600	PRUPE_4G257000	23.8095	12.9032
Os01g0138800	PRUPE_1G316200	66.1253	62.2271
Os01g0138800	PRUPE_3G147100	67.9814	66.895
Os01g0138900	PRUPE_5G224400	56.7265	59.9526
Os01g0139000	PRUPE_1G316500	31.4554	31.6038
Os01g0139000	PRUPE_5G224500	42.723	40.991
Os01g0139200	PRUPE_3G148700	19.9702	26.3261
Os01g0139200	PRUPE_5G225400	35.9165	34.1844
Os01g0139600	PRUPE_1G317400	56.869	52.0468
Os01g0139600	PRUPE_3G148800	61.6613	51.7426
Os01g0140100	PRUPE_1G307100	54.3651	55.5781
Os01g0140100	PRUPE_5G218800	53.373	54.4534
Os01g0140400	PRUPE_1G305700	53.7618	54.7049
Os01g0140500	PRUPE_3G002900	48.8372	43.1507
Os01g0140500	PRUPE_6G221600	48.8372	43.1507
Os01g0140700	PRUPE_3G240000	45.7413	46.1783
Os01g0141000	PRUPE_3G240000	42.4658	49.3631
Os01g0141100	PRUPE_6G127200	90.429	63.2794
Os01g0141300	PRUPE_6G127200	67.1548	74.1339
Os01g0141600	PRUPE_6G276600	59.4427	38.247
Os01g0141700	PRUPE_6G058000	57.976	61.2319
Os01g0141900	PRUPE_2G248600	55.9406	59.5782
Os01g0141900	PRUPE_6G275700	45.5446	50.8287
Os01g0142100	PRUPE_2G248000	55.6777	58.5742
Os01g0142200	PRUPE_2G172700	23.2558	49.3827
Os01g0142200	PRUPE_4G258000	33.1395	49.5652
Os01g0142200	PRUPE_4G259300	23.8372	70.6897
Os01g0142200	PRUPE_6G016400	36.0465	49.2063
Os01g0142200	PRUPE_8G124200	72.6744	72.2543
Os01g0142300	PRUPE_6G271800	75.2294	63.1985
Os01g0143300	PRUPE_2G240700	52.2727	54.5455
Os01g0143300	PRUPE_6G262100	35.6061	37.9032
Os01g0143700	PRUPE_2G240700	42.471	43.4783
Os01g0143700	PRUPE_6G262100	32.0463	33.4677
Os01g0143800	PRUPE_2G240700	36.7273	39.9209
Os01g0143800	PRUPE_6G262100	29.8182	33.0645
Os01g0144000	PRUPE_1G417900	43.3234	54.2751
Os01g0144000	PRUPE_6G215300	47.4777	61.7761
Os01g0144000	PRUPE_8G155700	50.1484	64.751
Os01g0144100	PRUPE_2G239300	72.2222	64.1256
Os01g0144200	PRUPE_6G259400	71.5596	72.8972
Os01g0144340	PRUPE_2G237600	61.6246	60.7735
Os01g0144500	PRUPE_6G073100	37.2951	28.1734
Os01g0144500	PRUPE_7G219200	35.6557	27.1028
Os01g0144600	PRUPE_6G073200	39	42.3913
Os01g0144700	PRUPE_7G193100	41.7582	37.6238
Os01g0147200	PRUPE_5G026700	63.0394	69.5652
Os01g0147300	PRUPE_6G074600	64.2157	32.8321
Os01g0147300	PRUPE_6G256700	67.6471	35.4756
Os01g0147800	PRUPE_2G236700	25.9574	60.6965
Os01g0147900	PRUPE_2G236000	84.1897	83.8583
Os01g0148000	PRUPE_6G255500	44.819	17.3934
Os01g0148050	PRUPE_6G255500	41.7973	19.3798
Os01g0148400	PRUPE_4G185500	9.90415	19.6203
Os01g0149350	PRUPE_3G175500	5.55556	20.2206
Os01g0149350	PRUPE_4G009300	18.6869	21.9976
Os01g0149350	PRUPE_6G150700	10.303	26.4249
Os01g0149350	PRUPE_7G160100	21.9192	25.5896
Os01g0149500	PRUPE_3G175500	6.16785	22.4265
Os01g0149500	PRUPE_4G009300	19.1102	22.4732
Os01g0149500	PRUPE_6G150700	10.5157	26.943
Os01g0149500	PRUPE_7G160100	22.3458	26.0613
Os01g0149600	PRUPE_6G082000	80.3922	83.1081
Os01g0149600	PRUPE_6G082700	81.0458	83.7838
Os01g0149600	PRUPE_6G083500	80.3922	83.1081
Os01g0149600	PRUPE_6G113500	79.7386	84.7222
Os01g0149600	PRUPE_6G250100	73.2026	83.5821
Os01g0149800	PRUPE_6G077800	41.4634	44.1558
Os01g0149800	PRUPE_6G077900	41.4634	45.9459
Os01g0149800	PRUPE_6G255100	65.8537	67.5
Os01g0149900	PRUPE_6G078200	18.1941	16.6052
Os01g0149900	PRUPE_6G254700	17.2507	14.1593
Os01g0150000	PRUPE_2G234700	80.3226	80.3226
Os01g0150100	PRUPE_2G233300	54.6667	23.4957
Os01g0150200	PRUPE_6G201300	77.3756	77.3756
Os01g0150400	PRUPE_6G201300	37.9147	36.1991
Os01g0150500	PRUPE_6G201300	37.5566	37.5566
Os01g0150800	PRUPE_6G201300	54.6667	55.6561
Os01g0151100	PRUPE_2G233000	57.2212	62.3506
Os01g0151100	PRUPE_6G252600	60.6947	66.1355
Os01g0151200	PRUPE_6G080200	66.0131	67.184
Os01g0151400	PRUPE_7G216500	60.4762	20.3852
Os01g0151500	PRUPE_7G216500	46.7273	41.252
Os01g0151600	PRUPE_6G081500	67.3184	68.272
Os01g0151700	PRUPE_6G251300	68.2243	64.9852
Os01g0151700	PRUPE_6G251400	69.7819	69.5652
Os01g0151900	PRUPE_4G176100	45.8801	45.2865
Os01g0152000	PRUPE_1G459200	37.6526	41.2551
Os01g0152000	PRUPE_2G116000	40.3756	41.7476
Os01g0152000	PRUPE_2G116100	40.5634	41.9011
Os01g0152000	PRUPE_2G116200	35.8685	41.3868
Os01g0152000	PRUPE_2G116300	40.2817	42.3913
Os01g0152000	PRUPE_2G248400	40.1878	40.8397
Os01g0152000	PRUPE_6G074800	40.6573	42.8713
Os01g0152000	PRUPE_6G074900	39.5305	37.0925
Os01g0152000	PRUPE_6G075000	42.0657	45.2983
Os01g0152000	PRUPE_8G139600	37.6526	44.7046
Os01g0152300	PRUPE_6G082000	79.7386	82.4324
Os01g0152300	PRUPE_6G082700	80.3922	83.1081
Os01g0152300	PRUPE_6G083500	79.7386	82.4324
Os01g0152300	PRUPE_6G113500	79.085	84.0278
Os01g0152300	PRUPE_6G250100	72.549	82.8358
Os01g0152600	PRUPE_1G459200	39.4286	42.5926
Os01g0152600	PRUPE_2G116000	39.2381	40
Os01g0152600	PRUPE_2G116100	40	40.7371
Os01g0152600	PRUPE_2G116200	35.5238	40.4117
Os01g0152600	PRUPE_2G116300	39.3333	40.8103
Os01g0152600	PRUPE_2G248400	41.619	41.6985
Os01g0152600	PRUPE_6G074800	41.4286	43.0693
Os01g0152600	PRUPE_6G074900	40.6667	37.6211
Os01g0152600	PRUPE_6G075000	41.4286	43.9838
Os01g0152600	PRUPE_8G139600	38.1905	44.7046
Os01g0152687	PRUPE_7G044700	36.6337	12.4579
Os01g0152800	PRUPE_1G459200	37.7735	40.8436
Os01g0152800	PRUPE_2G116000	39.4862	40.2913
Os01g0152800	PRUPE_2G116100	40.2474	41.0281
Os01g0152800	PRUPE_2G116200	36.9172	42.0368
Os01g0152800	PRUPE_2G116300	40.5328	42.0949
Os01g0152800	PRUPE_2G248400	40.628	40.7443
Os01g0152800	PRUPE_6G074800	41.1989	42.8713
Os01g0152800	PRUPE_6G074900	40.2474	37.2687
Os01g0152800	PRUPE_6G075000	42.0552	44.6916
Os01g0152800	PRUPE_8G139600	37.393	43.8127
Os01g0152900	PRUPE_6G082000	80.3922	83.1081
Os01g0152900	PRUPE_6G082700	81.0458	83.7838
Os01g0152900	PRUPE_6G083500	80.3922	83.1081
Os01g0152900	PRUPE_6G113500	79.7386	84.7222
Os01g0152900	PRUPE_6G250100	73.2026	83.5821
Os01g0153000	PRUPE_1G459200	38.4837	41.2551
Os01g0153000	PRUPE_2G116000	39.1555	39.6117
Os01g0153000	PRUPE_2G116100	39.6353	40.0582
Os01g0153000	PRUPE_2G116200	35.3167	39.87
Os01g0153000	PRUPE_2G116300	39.0595	40.2174
Os01g0153000	PRUPE_2G248400	40.7869	40.5534
Os01g0153000	PRUPE_6G074800	41.4587	42.7723
Os01g0153000	PRUPE_6G074900	39.5393	36.2996
Os01g0153000	PRUPE_6G075000	42.5144	44.7927
Os01g0153000	PRUPE_8G139600	38.5797	44.8161
Os01g0153100	PRUPE_6G082000	81.0458	83.7838
Os01g0153100	PRUPE_6G082700	81.6993	84.4595
Os01g0153100	PRUPE_6G083500	81.0458	83.7838
Os01g0153100	PRUPE_6G113500	80.3922	85.4167
Os01g0153100	PRUPE_6G250100	74.5098	85.0746
Os01g0153200	PRUPE_2G230100	30.7018	26.9231
Os01g0153200	PRUPE_6G083600	30.7018	26.9231
Os01g0153250	PRUPE_6G082100	40.8141	40.6798
Os01g0153300	PRUPE_6G082000	78.7097	82.4324
Os01g0153300	PRUPE_6G082700	79.3548	83.1081
Os01g0153300	PRUPE_6G083500	78.7097	82.4324
Os01g0153300	PRUPE_6G113500	78.0645	84.0278
Os01g0153300	PRUPE_6G250100	72.9032	84.3284
Os01g0153400	PRUPE_8G151800	72.6562	41.8291
Os01g0153500	PRUPE_2G228200	29.2181	28.629
Os01g0153500	PRUPE_2G228400	46.5021	48.4979
Os01g0153500	PRUPE_2G228600	38.6831	45.1923
Os01g0153500	PRUPE_2G228800	48.1481	48.5477
Os01g0153500	PRUPE_2G279200	25.9259	26.4706
Os01g0153500	PRUPE_2G279300	32.9218	37.9147
Os01g0153500	PRUPE_6G198200	44.856	45.9916
Os01g0153500	PRUPE_6G261800	26.749	48.1481
Os01g0153500	PRUPE_6G291300	33.7449	36.4444
Os01g0153500	PRUPE_7G048700	42.7984	46.6368
Os01g0153600	PRUPE_2G228200	11.6883	14.5161
Os01g0153600	PRUPE_2G228400	13.3117	17.5966
Os01g0153600	PRUPE_2G228600	12.987	19.2308
Os01g0153600	PRUPE_2G228800	14.9351	19.0871
Os01g0153600	PRUPE_2G279200	10.0649	13.0252
Os01g0153600	PRUPE_2G279300	6.49351	9.47867
Os01g0153600	PRUPE_6G198200	12.987	16.8776
Os01g0153600	PRUPE_6G261800	9.74026	22.2222
Os01g0153600	PRUPE_6G291300	9.41558	12.8889
Os01g0153600	PRUPE_7G048700	13.3117	18.3857
Os01g0153800	PRUPE_6G149100	40.0545	37.9845
Os01g0153800	PRUPE_7G089000	40.327	45.3988
Os01g0153900	PRUPE_2G228200	23.1373	23.7903
Os01g0153900	PRUPE_2G228400	36.0784	39.485
Os01g0153900	PRUPE_2G228600	30.9804	37.9808
Os01g0153900	PRUPE_2G228800	37.2549	39.4191
Os01g0153900	PRUPE_2G279200	20.7843	22.2689
Os01g0153900	PRUPE_2G279300	28.2353	34.1232
Os01g0153900	PRUPE_6G198200	35.6863	38.3966
Os01g0153900	PRUPE_6G261800	20.7843	39.2593
Os01g0153900	PRUPE_6G291300	26.6667	30.2222
Os01g0153900	PRUPE_7G048700	34.5098	39.4619
Os01g0153950	PRUPE_2G228200	0	0
Os01g0153950	PRUPE_2G228400	0	0
