Gene stable ID	Corchorus capsularis gene stable ID	%id. target Corchorus capsularis gene identical to query gene	%id. query gene identical to target Corchorus capsularis gene
Os01g0110800	CCACVL1_07484	51.1111	49.569
Os01g0110800	CCACVL1_29468	45.1111	51.9182
Os01g0111100	CCACVL1_06003	47.2789	43.9873
Os01g0111200	CCACVL1_06001	39.1936	34.4681
Os01g0111200	CCACVL1_13166	45.1613	45.4545
Os01g0111400	CCACVL1_05083	48.9301	51.5015
Os01g0111500	CCACVL1_27201	36.9492	35.3896
Os01g0111600	CCACVL1_20098	52.2989	57.2327
Os01g0111600	CCACVL1_24506	59.7701	60.1156
Os01g0111700	CCACVL1_27193	25.1429	31.4286
Os01g0112100	CCACVL1_07849	34.0426	32.7366
Os01g0112100	CCACVL1_23634	18.3511	38.3333
Os01g0112400	CCACVL1_05447	26.9231	28.6245
Os01g0112500	CCACVL1_27199	60.1124	25.7831
Os01g0113300	CCACVL1_14341	34.4461	36.3782
Os01g0113350	CCACVL1_01993	32.8221	26.9521
Os01g0113400	CCACVL1_14341	32.7917	35.5769
Os01g0113650	CCACVL1_01993	32.1646	26.5743
Os01g0113700	CCACVL1_14341	31.9708	35.0962
Os01g0114100	CCACVL1_14341	27.3141	28.8462
Os01g0114400	CCACVL1_14341	42.0118	22.7564
Os01g0114600	CCACVL1_14341	32.6619	36.3782
Os01g0115200	CCACVL1_16695	42.3077	12.7413
Os01g0115200	CCACVL1_16696	42.3077	12.7907
Os01g0115500	CCACVL1_14341	44.2478	24.0385
Os01g0115700	CCACVL1_14341	33.5987	33.8141
Os01g0115750	CCACVL1_14341	32.3009	35.0962
Os01g0116000	CCACVL1_14341	32.0175	35.0962
Os01g0116200	CCACVL1_14341	32.1127	36.5385
Os01g0116400	CCACVL1_14341	31.1669	33.8141
Os01g0116600	CCACVL1_09796	54.5038	53.125
Os01g0116800	CCACVL1_14341	46.0106	27.7244
Os01g0117000	CCACVL1_14341	29.5946	35.0962
Os01g0117200	CCACVL1_14341	31.9502	37.0192
Os01g0117400	CCACVL1_14341	41.0628	13.6218
Os01g0117600	CCACVL1_14341	32.6843	37.6603
Os01g0118000	CCACVL1_24825	84.0206	83.376
Os01g0118100	CCACVL1_24836	73.5941	51.8072
Os01g0118100	CCACVL1_29701	74.2054	47.0543
Os01g0118300	CCACVL1_20976	76	45.3652
Os01g0118400	CCACVL1_29697	20.9898	24.2604
Os01g0118400	CCACVL1_29698	27.6451	27.9793
Os01g0118400	CCACVL1_29699	25.9386	33.9286
Os01g0118600	CCACVL1_29697	23.3929	25.8383
Os01g0118600	CCACVL1_29698	31.4286	30.3972
Os01g0118600	CCACVL1_29699	29.8214	37.2768
Os01g0118700	CCACVL1_29697	26.834	27.4162
Os01g0118700	CCACVL1_29698	31.2741	27.9793
Os01g0118700	CCACVL1_29699	27.6062	31.9196
Os01g0119000	CCACVL1_29697	25.9336	24.6548
Os01g0119000	CCACVL1_29698	31.5353	26.2522
Os01g0119000	CCACVL1_29699	29.668	31.9196
Os01g0119100	CCACVL1_29697	21.5146	24.6548
Os01g0119100	CCACVL1_29698	32.8744	32.9879
Os01g0119100	CCACVL1_29699	28.7435	37.2768
Os01g0120300	CCACVL1_15367	72.4181	29.9635
Os01g0120400	CCACVL1_17539	55.303	56.8093
Os01g0120500	CCACVL1_02742	53.937	52.2901
Os01g0120600	CCACVL1_27279	42.9078	41.4384
Os01g0120700	CCACVL1_20035	38.9474	48.4716
Os01g0120800	CCACVL1_04830	63.8945	65.5567
Os01g0120800	CCACVL1_07023	13.6917	30.6122
Os01g0120800	CCACVL1_25979	66.7343	66.5992
Os01g0120800	CCACVL1_29612	6.49087	52.8926
Os01g0121000	CCACVL1_05231	33.3333	40.8537
Os01g0121100	CCACVL1_27163	54.386	53.7572
Os01g0121200	CCACVL1_24063	52.0446	54.2636
Os01g0121200	CCACVL1_27166	52.4164	54.6512
Os01g0121300	CCACVL1_24061	45.1852	43.4164
Os01g0121500	CCACVL1_24052	33.3333	26.8456
Os01g0121500	CCACVL1_24053	34.1667	39.0476
Os01g0121500	CCACVL1_27170	33.3333	25.974
Os01g0121600	CCACVL1_24052	37.415	36.9128
Os01g0121600	CCACVL1_24053	30.6122	42.8571
Os01g0121600	CCACVL1_27170	31.2925	29.8701
Os01g0121700	CCACVL1_24051	73.503	68.0055
Os01g0121800	CCACVL1_24050	45.5224	54.7904
Os01g0125600	CCACVL1_24046	38.5714	38.6635
Os01g0125700	CCACVL1_23943	65.0794	63.8629
Os01g0125800	CCACVL1_04629	70.6557	70.7718
Os01g0125800	CCACVL1_24044	67.8689	67.9803
Os01g0125900	CCACVL1_16628	36.3123	45.6805
Os01g0126200	CCACVL1_24041	51.6722	53.1842
Os01g0126200	CCACVL1_24042	53.3445	55.3819
Os01g0127300	CCACVL1_15144	42.9461	42.6804
Os01g0127400	CCACVL1_24040	63.6792	64.5933
Os01g0127500	CCACVL1_29651	57.27	59.7523
Os01g0127900	CCACVL1_13116	58.1776	58.7264
Os01g0128000	CCACVL1_04724	36.2857	39.0769
Os01g0128000	CCACVL1_22656	37.1429	38.1232
Os01g0128100	CCACVL1_22395	60.8247	61.4583
Os01g0128400	CCACVL1_23982	45.3925	46.1005
Os01g0128400	CCACVL1_27227	46.7577	53.3074
Os01g0128800	CCACVL1_09246	58.3691	16.545
Os01g0129500	CCACVL1_05102	31.7536	31.0665
Os01g0130000	CCACVL1_03956	65.2174	63.4328
Os01g0130000	CCACVL1_03957	60.3581	21.0526
Os01g0130400	CCACVL1_07428	65.8798	65.5983
Os01g0131300	CCACVL1_01506	33.1429	25.5507
Os01g0131300	CCACVL1_07431	38.2857	34.715
Os01g0132100	CCACVL1_10099	17.4863	11.0218
Os01g0132100	CCACVL1_10156	27.3224	30.2725
Os01g0132100	CCACVL1_11318	30.3279	29.2362
Os01g0132100	CCACVL1_12671	28.6885	32.3077
Os01g0132100	CCACVL1_13172	28.5064	30.5068
Os01g0132100	CCACVL1_13174	25.8652	30.9368
Os01g0132100	CCACVL1_18535	33.2423	31.1966
Os01g0132100	CCACVL1_25005	12.7505	26.0223
Os01g0132500	CCACVL1_19417	21.2264	19.1489
Os01g0132500	CCACVL1_24731	14.6226	28.972
Os01g0132700	CCACVL1_28183	62.8378	62.8378
Os01g0132766	CCACVL1_05345	37.8277	51.269
Os01g0132766	CCACVL1_13105	31.4607	38.1818
Os01g0132800	CCACVL1_13106	58.3012	61.8852
Os01g0133100	CCACVL1_13108	18.9107	12.7681
Os01g0133400	CCACVL1_13104	73.6162	68.3219
Os01g0133500	CCACVL1_29565	49.6198	35.9504
Os01g0134500	CCACVL1_13101	69.3431	69.5971
Os01g0134700	CCACVL1_29608	42.9224	39.7463
Os01g0135700	CCACVL1_04277	38.674	40.9357
Os01g0135700	CCACVL1_30767	40.3315	42.6901
Os01g0136400	CCACVL1_13095	36.3772	33.61
Os01g0136400	CCACVL1_16072	41.7665	27.6786
Os01g0136400	CCACVL1_29613	43.7126	25.5245
Os01g0136800	CCACVL1_13095	33.9339	31.2586
Os01g0136800	CCACVL1_16072	37.988	25.0992
Os01g0136800	CCACVL1_29613	42.9429	25
Os01g0136900	CCACVL1_13091	34.7328	29.5455
Os01g0136900	CCACVL1_16506	38.7405	16.24
Os01g0137250	CCACVL1_13091	48.0418	29.8701
Os01g0137250	CCACVL1_16506	49.6084	15.2
Os01g0137400	CCACVL1_13091	34.3799	35.5519
Os01g0137400	CCACVL1_16506	37.0487	18.88
Os01g0137500	CCACVL1_13091	51.0386	27.9221
Os01g0137500	CCACVL1_16506	51.9288	14
Os01g0138300	CCACVL1_13091	33.3828	36.526
Os01g0138300	CCACVL1_16506	35.7567	19.28
Os01g0138400	CCACVL1_13091	32.3572	35.8766
Os01g0138400	CCACVL1_16506	35.8712	19.6
Os01g0138600	CCACVL1_24573	21.4286	8
Os01g0138800	CCACVL1_13086	42.9234	49.0716
Os01g0138800	CCACVL1_13087	29.4664	49.8039
Os01g0138800	CCACVL1_13088	68.6775	69.3208
Os01g0138800	CCACVL1_22548	9.28074	62.5
Os01g0138900	CCACVL1_13083	50.4484	50.7901
Os01g0138900	CCACVL1_25772	57.3991	56.0175
Os01g0139000	CCACVL1_25774	38.4977	37.1041
Os01g0139200	CCACVL1_13077	18.3308	30.2956
Os01g0139200	CCACVL1_25796	35.0224	34.2566
Os01g0139600	CCACVL1_13076	61.3419	60.1881
Os01g0139600	CCACVL1_22387	59.4249	51.9553
Os01g0140100	CCACVL1_02153	54.7619	56.4417
Os01g0140100	CCACVL1_07455	53.1746	35.4967
Os01g0140400	CCACVL1_07467	54.232	55.36
Os01g0140500	CCACVL1_14727	48.062	42.4658
Os01g0140500	CCACVL1_26520	48.8372	43.1507
Os01g0140700	CCACVL1_07466	52.6814	46.1326
Os01g0141000	CCACVL1_07466	51.2329	51.6575
Os01g0141100	CCACVL1_30983	91.7492	63.6156
Os01g0141300	CCACVL1_30983	66.9456	73.2265
Os01g0141600	CCACVL1_10437	62.5387	24.5742
Os01g0141600	CCACVL1_22964	31.5789	66.6667
Os01g0141900	CCACVL1_09581	56.6007	57.3579
Os01g0141900	CCACVL1_10430	50	52.7875
Os01g0142100	CCACVL1_08217	59.707	41.6347
Os01g0142200	CCACVL1_16955	73.8372	74.269
Os01g0142300	CCACVL1_10397	76.8349	64.7969
Os01g0143300	CCACVL1_25067	46.9697	47.6923
Os01g0143300	CCACVL1_25068	44.697	49.3724
Os01g0143300	CCACVL1_25070	20.0758	40.458
Os01g0143300	CCACVL1_25072	19.3182	37.5
Os01g0143300	CCACVL1_25075	29.9242	36.5741
Os01g0143400	CCACVL1_03574	23.0999	27.8276
Os01g0143400	CCACVL1_15465	17.1386	28.75
Os01g0143400	CCACVL1_15468	13.7109	19.6581
Os01g0143700	CCACVL1_25067	39.7683	39.6154
Os01g0143700	CCACVL1_25068	36.6795	39.749
Os01g0143700	CCACVL1_25070	18.1467	35.8779
Os01g0143700	CCACVL1_25072	18.9189	36.0294
Os01g0143700	CCACVL1_25075	27.4131	32.8704
Os01g0143800	CCACVL1_25067	34.1818	36.1538
Os01g0143800	CCACVL1_25068	31.6364	36.4017
Os01g0143800	CCACVL1_25070	16.7273	35.1145
Os01g0143800	CCACVL1_25072	16.7273	33.8235
Os01g0143800	CCACVL1_25075	26.9091	34.2593
Os01g0144000	CCACVL1_26573	52.819	68.4615
Os01g0144000	CCACVL1_30160	49.5549	61.1722
Os01g0144100	CCACVL1_25111	73.7374	65.4709
Os01g0144200	CCACVL1_21193	69.2661	66.8142
Os01g0144340	CCACVL1_25145	62.3249	61.6343
Os01g0144500	CCACVL1_11916	30.7377	25.8621
Os01g0144600	CCACVL1_23060	38.5	44.2529
Os01g0144700	CCACVL1_20772	38.4615	33.3333
Os01g0147200	CCACVL1_08777	59.8499	55.5749
Os01g0147200	CCACVL1_09279	59.8499	64.7059
Os01g0147200	CCACVL1_29491	19.5122	34.8993
Os01g0147300	CCACVL1_01422	55.3922	31.2155
Os01g0147300	CCACVL1_20317	42.1569	25.2199
Os01g0147800	CCACVL1_25170	44.4681	39.0654
Os01g0147900	CCACVL1_16710	11.8577	32.6087
Os01g0148000	CCACVL1_21224	43.196	16.7069
Os01g0148050	CCACVL1_21224	43.6782	20.1835
Os01g0148400	CCACVL1_13027	10.8626	21.3166
Os01g0149350	CCACVL1_12933	8.28283	25.8675
Os01g0149350	CCACVL1_26127	21.6162	24.4851
Os01g0149500	CCACVL1_12933	8.79676	27.4448
Os01g0149500	CCACVL1_26127	21.5369	24.3707
Os01g0149600	CCACVL1_09165	77.7778	86.2319
Os01g0149600	CCACVL1_10833	81.0458	87.9433
Os01g0149600	CCACVL1_20370	81.6993	82.7815
Os01g0149600	CCACVL1_20375	70.5882	51.6746
Os01g0149600	CCACVL1_21278	76.4706	84.1727
Os01g0149800	CCACVL1_10869	36.5854	41.6667
Os01g0149800	CCACVL1_21228	64.6341	67.9487
Os01g0149900	CCACVL1_20333	14.8248	12.8505
Os01g0149900	CCACVL1_21229	15.0943	12.4861
Os01g0150000	CCACVL1_25186	81.2903	81.2903
Os01g0150100	CCACVL1_25223	55.3333	22.0745
Os01g0150200	CCACVL1_26672	66.5158	73.8693
Os01g0150400	CCACVL1_26672	31.7536	33.6683
Os01g0150500	CCACVL1_26672	31.6742	35.1759
Os01g0150800	CCACVL1_26672	50.2222	56.7839
Os01g0151100	CCACVL1_20351	57.9525	62.0352
Os01g0151100	CCACVL1_21249	60.8775	66.3347
Os01g0151100	CCACVL1_25234	56.8556	61.3412
Os01g0151100	CCACVL1_29390	55.9415	62.449
Os01g0151200	CCACVL1_20353	68.6274	69.5364
Os01g0152000	CCACVL1_10422	40.939	42.3712
Os01g0152000	CCACVL1_27711	40.939	30.7259
Os01g0152000	CCACVL1_30503	38.7793	40.4902
Os01g0152300	CCACVL1_09165	77.1242	85.5072
Os01g0152300	CCACVL1_10833	80.3922	87.234
Os01g0152300	CCACVL1_20370	81.0458	82.1192
Os01g0152300	CCACVL1_20375	69.9346	51.1962
Os01g0152300	CCACVL1_21278	75.817	83.4532
Os01g0152600	CCACVL1_10422	41.5238	42.3712
Os01g0152600	CCACVL1_27711	39.7143	29.3869
Os01g0152600	CCACVL1_30503	38.7619	39.902
Os01g0152800	CCACVL1_10422	40.9134	41.7881
Os01g0152800	CCACVL1_27711	39.2008	29.0345
Os01g0152800	CCACVL1_30503	38.725	39.902
Os01g0152900	CCACVL1_09165	77.1242	85.5072
Os01g0152900	CCACVL1_10833	80.3922	87.234
Os01g0152900	CCACVL1_20370	81.0458	82.1192
Os01g0152900	CCACVL1_20375	70.5882	51.6746
Os01g0152900	CCACVL1_21278	76.4706	84.1727
Os01g0153000	CCACVL1_10422	40.7869	41.3022
Os01g0153000	CCACVL1_27711	38.0038	27.907
Os01g0153000	CCACVL1_30503	38.5797	39.4118
Os01g0153100	CCACVL1_09165	79.085	87.6812
Os01g0153100	CCACVL1_10833	82.3529	89.3617
Os01g0153100	CCACVL1_20370	81.6993	82.7815
Os01g0153100	CCACVL1_20375	71.8954	52.6316
Os01g0153100	CCACVL1_21278	78.4314	86.3309
Os01g0153200	CCACVL1_01998	16.6667	29.6875
Os01g0153200	CCACVL1_08838	30.7018	26.9231
Os01g0153200	CCACVL1_10264	30.7018	26.9231
Os01g0153200	CCACVL1_20377	30.7018	26.9231
Os01g0153250	CCACVL1_20371	41.3641	41.3187
Os01g0153300	CCACVL1_09165	77.4194	86.9565
Os01g0153300	CCACVL1_10833	80.6452	88.6525
Os01g0153300	CCACVL1_20370	80	82.1192
Os01g0153300	CCACVL1_20375	70.3226	52.1531
Os01g0153300	CCACVL1_21278	76.129	84.8921
Os01g0153400	CCACVL1_16241	73.4375	42.406
Os01g0153800	CCACVL1_04122	37.6022	25.3211
Os01g0153800	CCACVL1_08042	40.0545	30.7531
Os01g0153800	CCACVL1_29506	26.703	39.2
Os01g0155000	CCACVL1_04122	41.543	25.6881
Os01g0155000	CCACVL1_08042	40.3561	28.4519
Os01g0155000	CCACVL1_29506	31.7507	42.8
Os01g0155200	CCACVL1_02822	41.8773	44.0506
Os01g0155200	CCACVL1_06161	38.9892	43.3735
Os01g0155200	CCACVL1_06163	43.562	45.4203
Os01g0155200	CCACVL1_06792	40.5536	26.4729
Os01g0155200	CCACVL1_10639	41.5162	43.5057
Os01g0155200	CCACVL1_22655	42.84	44.8363
Os01g0155200	CCACVL1_27127	38.6282	42.4042
Os01g0155300	CCACVL1_07608	40.2941	15.4977
Os01g0155300	CCACVL1_18507	42.0588	48.1481
Os01g0155300	CCACVL1_20401	41.7647	49.1349
Os01g0155400	CCACVL1_07587	51.9101	34.1716
Os01g0155400	CCACVL1_17649	42.4719	30.9836
Os01g0155500	CCACVL1_20414	41.2393	46.4501
Os01g0155600	CCACVL1_19483	62.963	64.7619
Os01g0157700	CCACVL1_17715	35.7759	22.6158
Os01g0157800	CCACVL1_17713	75.8929	68
Os01g0157800	CCACVL1_18123	80.3571	80.3571
Os01g0157900	CCACVL1_17724	58.7234	50.365
Os01g0158000	CCACVL1_17719	66.2879	67.4374
Os01g0158200	CCACVL1_18160	51.8047	53.8631
Os01g0158400	CCACVL1_02987	29.5082	38.5027
Os01g0158400	CCACVL1_02988	15.1639	35.2381
Os01g0158500	CCACVL1_11779	66.8896	62.0155
Os01g0158500	CCACVL1_13000	59.0301	33.1455
Os01g0158600	CCACVL1_10099	17.0421	9.98852
Os01g0158600	CCACVL1_10156	30.95	31.887
Os01g0158600	CCACVL1_11318	32.1254	28.7972
Os01g0158600	CCACVL1_12671	33.0069	34.5641
Os01g0158600	CCACVL1_13172	32.4192	32.2612
Os01g0158600	CCACVL1_13174	29.7747	33.1155
Os01g0158600	CCACVL1_18535	34.8678	30.4274
Os01g0158600	CCACVL1_25005	16.7483	31.7844
Os01g0158800	CCACVL1_10450	28.5714	16.3855
Os01g0158900	CCACVL1_30629	52.8053	54.6697
Os01g0159000	CCACVL1_29416	44.1989	18.2648
Os01g0159200	CCACVL1_04223	43.617	33.0645
Os01g0159200	CCACVL1_17738	47.8723	36.5854
Os01g0159300	CCACVL1_17733	22.3553	20.2899
Os01g0159300	CCACVL1_18164	22.1557	20.8255
Os01g0159400	CCACVL1_10466	77.5982	76.3636
Os01g0159800	CCACVL1_30657	19.708	9.50704
Os01g0160100	CCACVL1_10482	82.077	80.8581
Os01g0160100	CCACVL1_11731	80.5695	79.5041
Os01g0160100	CCACVL1_22298	79.397	78.089
Os01g0160200	CCACVL1_10099	17.909	10.62
Os01g0160200	CCACVL1_10156	30.3969	31.6852
Os01g0160200	CCACVL1_11318	30.8809	28.007
Os01g0160200	CCACVL1_12671	32.5266	34.4615
Os01g0160200	CCACVL1_13172	32.2362	32.4561
Os01g0160200	CCACVL1_13174	28.4608	32.0261
Os01g0160200	CCACVL1_18535	35.7212	31.5385
Os01g0160200	CCACVL1_25005	16.9409	32.5279
Os01g0160700	CCACVL1_10099	17.319	10.1607
Os01g0160700	CCACVL1_10156	30.137	31.0797
Os01g0160700	CCACVL1_11318	30.9198	27.7436
Os01g0160700	CCACVL1_12671	31.6047	33.1282
Os01g0160700	CCACVL1_13172	31.5068	31.384
Os01g0160700	CCACVL1_13174	28.5714	31.8083
Os01g0160700	CCACVL1_18535	35.4207	30.9402
Os01g0160700	CCACVL1_25005	16.2427	30.855
Os01g0161000	CCACVL1_10099	23.2036	8.89782
Os01g0161000	CCACVL1_10156	32.1856	21.6953
Os01g0161000	CCACVL1_11318	33.0838	19.403
Os01g0161000	CCACVL1_12671	35.479	24.3077
Os01g0161000	CCACVL1_13172	33.6826	21.9298
Os01g0161000	CCACVL1_13174	31.7365	23.0937
Os01g0161000	CCACVL1_18535	37.8743	21.6239
Os01g0161000	CCACVL1_25005	14.3713	17.8439
Os01g0161300	CCACVL1_10099	15.4832	9.01263
Os01g0161300	CCACVL1_10156	25.8383	26.4379
Os01g0161300	CCACVL1_11318	28.7968	25.6365
Os01g0161300	CCACVL1_12671	27.0217	28.1026
Os01g0161300	CCACVL1_13172	27.4162	27.0955
Os01g0161300	CCACVL1_13174	24.7535	27.342
Os01g0161300	CCACVL1_18535	30.7692	26.6667
Os01g0161300	CCACVL1_25005	11.144	21.0037
Os01g0162300	CCACVL1_02193	33.3333	15.859
Os01g0162300	CCACVL1_12471	37.6543	19.8697
Os01g0162800	CCACVL1_10099	15.9884	9.47187
Os01g0162800	CCACVL1_10156	29.9419	31.1806
Os01g0162800	CCACVL1_11318	32.655	29.5874
Os01g0162800	CCACVL1_12671	30.7171	32.5128
Os01g0162800	CCACVL1_13172	31.2015	31.384
Os01g0162800	CCACVL1_13174	27.7132	31.1547
Os01g0162800	CCACVL1_18535	34.4961	30.4274
Os01g0162800	CCACVL1_25005	16.6667	31.9703
Os01g0163000	CCACVL1_10099	18.7243	10.4478
Os01g0163000	CCACVL1_10156	31.3786	30.777
Os01g0163000	CCACVL1_11318	34.465	29.4118
Os01g0163000	CCACVL1_12671	33.8477	33.7436
Os01g0163000	CCACVL1_13172	33.1276	31.384
Os01g0163000	CCACVL1_13174	29.5267	31.2636
Os01g0163000	CCACVL1_18535	37.3457	31.0256
Os01g0163000	CCACVL1_25005	17.5926	31.7844
Os01g0164075	CCACVL1_18000	31.4607	31.1111
Os01g0164075	CCACVL1_25062	33.1461	34.3023
Os01g0164300	CCACVL1_18000	35.567	38.3333
Os01g0164300	CCACVL1_25062	36.0825	40.6977
Os01g0164400	CCACVL1_11692	70.3125	29.3478
Os01g0164500	CCACVL1_30681	59.9691	65.5405
Os01g0164600	CCACVL1_11679	57.7039	56.3422
Os01g0164700	CCACVL1_18133	39.2308	9.55056
Os01g0164800	CCACVL1_10522	48.6166	12.5255
Os01g0164900	CCACVL1_10522	5.40541	2.64766
Os01g0165100	CCACVL1_30701	53.5857	36.3514
Os01g0165200	CCACVL1_09239	27.7143	24.7134
Os01g0165200	CCACVL1_10535	35.8571	37.8582
Os01g0165600	CCACVL1_11660	45.2941	50
Os01g0166100	CCACVL1_30704	63.142	32.7586
Os01g0166300	CCACVL1_30704	57.6577	20.0627
Os01g0166500	CCACVL1_01553	30.0813	35.4067
Os01g0166500	CCACVL1_16015	29.6748	30.8017
Os01g0166700	CCACVL1_28877	40.708	40.708
Os01g0166800	CCACVL1_22369	51.0888	52.226
Os01g0167500	CCACVL1_11628	82.3034	83.0028
Os01g0167750	CCACVL1_26241	29.6178	38.8309
Os01g0167900	CCACVL1_11617	38.6574	26.979
Os01g0168100	CCACVL1_11617	41.8212	40.0646
Os01g0168300	CCACVL1_21007	53.9474	54.2328
Os01g0168400	CCACVL1_08349	67.4473	61.9355
Os01g0168400	CCACVL1_21013	52.6932	53.5714
Os01g0168500	CCACVL1_21017	69.5444	71.2531
Os01g0169400	CCACVL1_14995	50.1992	64.9485
Os01g0169400	CCACVL1_24962	45.0199	65.3179
Os01g0169500	CCACVL1_24969	40.6623	40.3122
Os01g0169800	CCACVL1_14499	40.6312	51.6291
Os01g0169800	CCACVL1_30761	44.7732	51.5909
Os01g0169900	CCACVL1_24971	41.7241	16.0053
Os01g0169900	CCACVL1_30763	22.4138	25.9481
Os01g0170000	CCACVL1_24973	64.497	27.9129
