Gene stable ID	Dioscorea rotundata gene stable ID	%id. target Dioscorea rotundata gene identical to query gene	%id. query gene identical to target Dioscorea rotundata gene
Os01g0114100	Dr15301	30.5008	32.7362
Os01g0114100	Dr16352	36.1153	37.7179
Os01g0114100	Dr20610	34.7496	32.6211
Os01g0114400	Dr00979	52.3669	48.2289
Os01g0114400	Dr03062	53.5503	51.1299
Os01g0114400	Dr03064	19.2308	32.0197
Os01g0114400	Dr03065	54.142	26.9118
Os01g0114400	Dr03066	53.8462	25.7062
Os01g0114400	Dr03067	31.6568	14.779
Os01g0114400	Dr08498	47.929	25.3521
Os01g0114400	Dr15300	51.7751	26.3554
Os01g0114400	Dr15301	47.0414	25.8958
Os01g0114400	Dr16352	55.0296	29.477
Os01g0114400	Dr20610	51.7751	24.9288
Os01g0114600	Dr00979	30.3597	57.4932
Os01g0114600	Dr03062	29.4964	57.9096
Os01g0114600	Dr03064	12.3741	42.3645
Os01g0114600	Dr03065	39.8561	40.7353
Os01g0114600	Dr03066	40.2878	39.548
Os01g0114600	Dr03067	28.0576	26.9337
Os01g0114600	Dr08498	38.2734	41.6275
Os01g0114600	Dr15300	40.4317	42.3193
Os01g0114600	Dr15301	37.8417	42.8339
Os01g0114600	Dr16352	41.295	45.4834
Os01g0114600	Dr20610	39.7122	39.3162
Os01g0115500	Dr00979	52.8024	48.7738
Os01g0115500	Dr03062	52.2124	50
Os01g0115500	Dr03064	18.2891	30.5419
Os01g0115500	Dr03065	55.4572	27.6471
Os01g0115500	Dr03066	54.8673	26.2712
Os01g0115500	Dr03067	32.7434	15.3315
Os01g0115500	Dr08498	48.6726	25.8216
Os01g0115500	Dr15300	56.9322	29.0663
Os01g0115500	Dr15301	49.5575	27.3616
Os01g0115500	Dr16352	57.5221	30.9033
Os01g0115500	Dr20610	54.2773	26.2108
Os01g0115700	Dr00979	33.2803	56.9482
Os01g0115700	Dr03062	32.6433	57.9096
Os01g0115700	Dr03064	13.0573	40.3941
Os01g0115700	Dr03065	42.6752	39.4118
Os01g0115700	Dr03066	42.8344	37.9944
Os01g0115700	Dr03067	30.0955	26.105
Os01g0115700	Dr08498	39.9682	39.2801
Os01g0115700	Dr15300	43.4713	41.1145
Os01g0115700	Dr15301	38.6943	39.5765
Os01g0115700	Dr16352	42.9936	42.7892
Os01g0115700	Dr20610	42.0382	37.6068
Os01g0115750	Dr00979	30.826	56.9482
Os01g0115750	Dr03062	30.9735	59.322
Os01g0115750	Dr03064	12.8319	42.8571
Os01g0115750	Dr03065	41.0029	40.8824
Os01g0115750	Dr03066	40.708	38.9831
Os01g0115750	Dr03067	28.1711	26.3812
Os01g0115750	Dr08498	38.9381	41.3146
Os01g0115750	Dr15300	40.708	41.5663
Os01g0115750	Dr15301	37.3156	41.2052
Os01g0115750	Dr16352	40.118	43.1062
Os01g0115750	Dr20610	39.528	38.1766
Os01g0116000	Dr00979	30.7018	57.2207
Os01g0116000	Dr03062	30.4094	58.7571
Os01g0116000	Dr03064	13.0117	43.8424
Os01g0116000	Dr03065	40.0585	40.2941
Os01g0116000	Dr03066	40.3509	38.9831
Os01g0116000	Dr03067	28.5088	26.9337
Os01g0116000	Dr08498	37.8655	40.5321
Os01g0116000	Dr15300	40.4971	41.7169
Os01g0116000	Dr15301	36.4035	40.5537
Os01g0116000	Dr16352	42.5439	46.1173
Os01g0116000	Dr20610	40.0585	39.0313
Os01g0116200	Dr00979	28.5915	55.3134
Os01g0116200	Dr03062	28.5915	57.3446
Os01g0116200	Dr03064	11.9718	41.8719
Os01g0116200	Dr03065	38.8732	40.5882
Os01g0116200	Dr03066	39.2958	39.4068
Os01g0116200	Dr03067	28.3099	27.7624
Os01g0116200	Dr08498	35.3521	39.2801
Os01g0116200	Dr15300	38.3099	40.9639
Os01g0116200	Dr15301	33.9437	39.2508
Os01g0116200	Dr16352	39.7183	44.691
Os01g0116200	Dr20610	38.0282	38.4615
Os01g0116400	Dr00979	31.1669	57.4932
Os01g0116400	Dr03062	30.1329	57.6271
Os01g0116400	Dr03064	12.4077	41.3793
Os01g0116400	Dr03065	40.4727	40.2941
Os01g0116400	Dr03066	40.7681	38.9831
Os01g0116400	Dr03067	27.9173	26.105
Os01g0116400	Dr08498	37.0753	39.2801
Os01g0116400	Dr15300	41.3589	42.1687
Os01g0116400	Dr15301	36.3368	40.0651
Os01g0116400	Dr16352	42.0975	45.1664
Os01g0116400	Dr20610	39.291	37.8917
Os01g0116800	Dr00979	56.6489	58.0381
Os01g0116800	Dr03062	55.3191	58.7571
Os01g0116800	Dr03064	23.1383	42.8571
Os01g0116800	Dr03065	57.4468	31.7647
Os01g0116800	Dr03066	57.4468	30.5085
Os01g0116800	Dr03067	36.1702	18.7845
Os01g0116800	Dr08498	53.7234	31.6119
Os01g0116800	Dr15300	57.9787	32.8313
Os01g0116800	Dr15301	52.3936	32.0847
Os01g0116800	Dr16352	59.5745	35.4992
Os01g0116800	Dr20610	57.7128	30.9117
Os01g0117000	Dr00979	25.1351	50.6812
Os01g0117000	Dr03062	24.4595	51.1299
Os01g0117000	Dr03064	11.3514	41.3793
Os01g0117000	Dr03065	35	38.0882
Os01g0117000	Dr03066	34.8649	36.4407
Os01g0117000	Dr03067	26.0811	26.6575
Os01g0117000	Dr08498	33.3784	38.6541
Os01g0117000	Dr15300	36.2162	40.3614
Os01g0117000	Dr15301	31.8919	38.4365
Os01g0117000	Dr16352	35.8108	41.9968
Os01g0117000	Dr20610	34.7297	36.6097
Os01g0117200	Dr00979	27.9391	55.0409
Os01g0117200	Dr03062	27.6625	56.4972
Os01g0117200	Dr03064	11.7566	41.8719
Os01g0117200	Dr03065	38.3126	40.7353
Os01g0117200	Dr03066	38.7275	39.548
Os01g0117200	Dr03067	28.2158	28.1768
Os01g0117200	Dr08498	36.6528	41.4711
Os01g0117200	Dr15300	38.4509	41.8675
Os01g0117200	Dr15301	34.9931	41.2052
Os01g0117200	Dr16352	39.0042	44.691
Os01g0117200	Dr20610	38.7275	39.886
Os01g0117400	Dr00979	56.0386	31.6076
Os01g0117400	Dr03062	54.5894	31.9209
Os01g0117400	Dr03064	14.9758	15.2709
Os01g0117400	Dr03065	56.0386	17.0588
Os01g0117400	Dr03066	55.0725	16.1017
Os01g0117400	Dr03067	16.4251	4.69613
Os01g0117400	Dr08498	56.0386	18.1534
Os01g0117400	Dr15300	54.5894	17.0181
Os01g0117400	Dr15301	54.1063	18.241
Os01g0117400	Dr16352	56.5217	18.542
Os01g0117400	Dr20610	54.5894	16.0969
Os01g0117600	Dr00979	29.0681	56.9482
Os01g0117600	Dr03062	28.3727	57.6271
Os01g0117600	Dr03064	11.6829	41.3793
Os01g0117600	Dr03065	39.4993	41.7647
Os01g0117600	Dr03066	39.9165	40.5367
Os01g0117600	Dr03067	27.5382	27.3481
Os01g0117600	Dr08498	37.1349	41.784
Os01g0117600	Dr15300	40.3338	43.6747
Os01g0117600	Dr15301	36.1613	42.3453
Os01g0117600	Dr16352	39.7775	45.3249
Os01g0117600	Dr20610	38.943	39.886
Os01g0117900	Dr15295	69.2513	71.7452
Os01g0118100	Dr04978	83.7408	56.6584
Os01g0118400	Dr04979	29.1809	19.3658
Os01g0120300	Dr04982	33.5013	73.8889
Os01g0120300	Dr04983	38.7909	53.1034
Os01g0120400	Dr10511	63.2576	65.4902
Os01g0120600	Dr04988	46.8085	47.6534
Os01g0120800	Dr18989	68.4584	69.9482
Os01g0121000	Dr15290	31.8408	39.5062
Os01g0121100	Dr04989	56.4327	57.27
Os01g0121100	Dr15289	43.5673	52.0979
Os01g0121300	Dr13197	49.0741	49.4403
Os01g0121500	Dr15285	35.8333	30.0699
Os01g0121500	Dr15286	40	32.6531
Os01g0121600	Dr15285	34.0136	34.965
Os01g0121600	Dr15286	34.0136	34.0136
Os01g0121700	Dr04992	62.1257	71.7993
Os01g0125600	Dr15259	42.619	43.4466
Os01g0125700	Dr04995	66.6667	67.7419
Os01g0125800	Dr17184	17.377	65.0307
Os01g0125800	Dr17185	27.7049	58.4775
Os01g0125800	Dr17186	48.1967	73.5
Os01g0125900	Dr15214	56.2559	43.9383
Os01g0126200	Dr04998	53.1773	56.8873
Os01g0126200	Dr04999	25.4181	46.2006
Os01g0127400	Dr05001	63.4434	53.4791
Os01g0127500	Dr05002	51.3353	59.0444
Os01g0127500	Dr05003	56.3798	58.2822
Os01g0127900	Dr05020	55.1402	56.057
Os01g0127900	Dr15277	59.5794	53.3473
Os01g0128000	Dr15276	20.5714	36.3636
Os01g0128200	Dr15274	60.0649	64.4599
Os01g0128300	Dr05018	55.7018	27.4892
Os01g0128800	Dr05017	61.8026	17.561
Os01g0129500	Dr05011	25.5924	36
Os01g0129600	Dr05007	18.8791	34.9727
Os01g0130000	Dr05449	25.3197	47.5962
Os01g0130000	Dr15266	65.4731	63.8404
Os01g0130400	Dr15264	71.5665	71.7204
Os01g0131300	Dr05005	42.8571	41.4365
Os01g0131300	Dr08107	40	34.1463
Os01g0131300	Dr15263	39.4286	36.3158
Os01g0131600	Dr05004	22.6537	27.2374
Os01g0131600	Dr15262	23.301	24.1611
Os01g0131800	Dr15260	50.5952	40.6699
Os01g0132100	Dr07145	29.5993	33.0621
Os01g0132100	Dr13727	17.5774	35.8736
Os01g0132100	Dr15362	18.3971	26.4052
Os01g0132100	Dr16046	24.7723	18.5539
Os01g0132100	Dr16048	25.7741	39.8031
Os01g0132100	Dr16051	26.5027	15.7382
Os01g0132100	Dr16052	22.8597	25.3535
Os01g0132100	Dr16053	25.1366	31.5789
Os01g0132100	Dr16055	27.3224	29.9103
Os01g0132100	Dr16056	17.3953	14.426
Os01g0132100	Dr17220	33.9709	35.8999
Os01g0132100	Dr19900	35.4281	39.2929
Os01g0132100	Dr19901	34.6084	36.4334
Os01g0132100	Dr19902	21.949	41.1263
Os01g0132500	Dr05024	27.3585	32.7684
Os01g0132766	Dr05027	37.4532	44.843
Os01g0132800	Dr15256	59.8456	56.3636
Os01g0133100	Dr05028	16.4902	9.90009
Os01g0133400	Dr15255	75.4613	75.6007
Os01g0133500	Dr04482	12.3574	29.4118
Os01g0133500	Dr05037	54.7529	21.1921
Os01g0134500	Dr05038	72.2628	72.2628
Os01g0134500	Dr15252	70.438	70.1818
Os01g0134700	Dr05039	33.3333	41.0112
Os01g0134700	Dr15251	44.9772	44.4695
Os01g0135700	Dr13712	41.9889	49.3507
Os01g0136900	Dr00077	36.2595	30.5466
Os01g0136900	Dr06150	25.7634	44.1176
Os01g0136900	Dr15247	36.4504	28.852
Os01g0137250	Dr00077	49.8695	30.7074
Os01g0137250	Dr06150	48.8251	61.1111
Os01g0137250	Dr15247	51.1749	29.6073
Os01g0137400	Dr00077	35.9498	36.8167
Os01g0137400	Dr06150	30.1413	62.7451
Os01g0137400	Dr15247	36.4207	35.0453
Os01g0137500	Dr00077	54.0059	29.2605
Os01g0137500	Dr06150	51.3353	56.5359
Os01g0137500	Dr15247	53.7092	27.3414
Os01g0138300	Dr00077	35.1632	38.1029
Os01g0138300	Dr06150	28.0415	61.7647
Os01g0138300	Dr15247	35.6083	36.2538
Os01g0138400	Dr00077	34.8463	38.2637
Os01g0138400	Dr06150	28.2577	63.0719
Os01g0138400	Dr15247	34.5534	35.6495
Os01g0138600	Dr09086	29.7619	17.3611
Os01g0138800	Dr05044	68.2135	69.5035
Os01g0138900	Dr05049	60.3139	69.8701
Os01g0139000	Dr05050	45.5399	44.2922
Os01g0139000	Dr06151	43.1925	42.7907
Os01g0139600	Dr05058	56.869	28.5714
Os01g0140100	Dr08098	62.5	63
Os01g0140400	Dr17180	63.3229	61.0272
Os01g0140500	Dr11261	12.4031	10.7383
Os01g0140700	Dr06160	53.6278	50
Os01g0141000	Dr06160	50.6849	54.4118
Os01g0141100	Dr05060	92.4092	28.8363
Os01g0141300	Dr05060	69.6653	34.2945
Os01g0141600	Dr18130	61.3003	38.9764
Os01g0141700	Dr18132	58.1475	59.3695
Os01g0141900	Dr18139	51.6502	50.6472
Os01g0142100	Dr16703	57.1429	51.5702
Os01g0142200	Dr18146	75	75.4386
Os01g0142300	Dr18159	75.6881	65.2174
Os01g0142300	Dr20081	76.3761	77.4419
Os01g0143300	Dr20112	55.6818	52.5
Os01g0143400	Dr04336	22.6528	21.7143
Os01g0143400	Dr04337	23.3979	22.6225
Os01g0143400	Dr04338	22.6528	21.8705
Os01g0143400	Dr04339	23.5469	11.2136
Os01g0143700	Dr20112	44.0154	40.7143
Os01g0143800	Dr20112	34.5455	33.9286
Os01g0144000	Dr20115	51.632	66.6667
Os01g0144000	Dr21222	52.2255	65.4275
Os01g0144100	Dr18190	54.0404	54.5918
Os01g0144200	Dr20127	71.1009	71.7593
Os01g0144340	Dr10916	62.7451	58.4094
Os01g0144500	Dr17146	31.1475	29.8039
Os01g0147200	Dr13067	55.9099	71.1217
Os01g0147400	Dr18716	42.5	16.1137
Os01g0147700	Dr18716	47.8571	52.9226
Os01g0147800	Dr02368	41.7021	29.3413
Os01g0147900	Dr06390	20.1581	77.2727
Os01g0147900	Dr08060	40.7115	49.0476
Os01g0148000	Dr12733	49.9376	18.9753
Os01g0148000	Dr13061	45.4432	17.6271
Os01g0148050	Dr12733	46.4995	21.1101
Os01g0148050	Dr13061	46.0815	21.3559
Os01g0149350	Dr07824	24.1414	30.4459
Os01g0149350	Dr07827	26.5657	26.0654
Os01g0149350	Dr13520	13.9394	24.3386
Os01g0149350	Dr16522	26.0606	16.6774
Os01g0149350	Dr16523	7.07071	26.4151
Os01g0149350	Dr16528	23.6364	28.0912
Os01g0149500	Dr07824	24.4692	30.828
Os01g0149500	Dr07827	26.7947	26.2636
Os01g0149500	Dr13520	13.6502	23.8095
Os01g0149500	Dr16522	26.2892	16.8067
Os01g0149500	Dr16523	7.17897	26.7925
Os01g0149500	Dr16528	23.1547	27.491
Os01g0149800	Dr10905	60.9756	63.2911
Os01g0149900	Dr02374	17.9245	17.8046
Os01g0150000	Dr10903	73.2258	75.6667
Os01g0150100	Dr12740	50	21.6763
Os01g0150200	Dr13042	71.4932	55.4386
Os01g0150400	Dr13042	36.9668	27.3684
Os01g0150500	Dr13042	36.6516	28.4211
Os01g0150800	Dr13042	53.7778	42.4561
Os01g0151100	Dr13041	65.4479	62.9174
Os01g0151200	Dr13039	59.4771	65.625
Os01g0151400	Dr12742	60.4762	22.7191
Os01g0151500	Dr12742	43.4545	42.7549
Os01g0151600	Dr02387	72.3464	73.7892
Os01g0151900	Dr12127	57.3034	24.228
Os01g0152000	Dr01571	40	43.0738
Os01g0152000	Dr04505	45.7277	45.7277
Os01g0152600	Dr01571	41.0476	43.5794
Os01g0152600	Dr04505	45.3333	44.6948
Os01g0152800	Dr01571	40.5328	43.0738
Os01g0152800	Dr04505	46.432	45.8216
Os01g0153000	Dr01571	40.0192	42.1638
Os01g0153000	Dr04505	44.2418	43.2864
Os01g0153400	Dr06838	58.8542	36.6288
Os01g0153800	Dr11159	39.2371	44.8598
Os01g0155000	Dr11159	40.3561	42.3676
Os01g0155200	Dr19484	42.7196	44.3196
Os01g0155200	Dr19485	41.1552	43.79
Os01g0155200	Dr19486	43.0806	38.9978
Os01g0155200	Dr19488	42.9603	45.8869
Os01g0155200	Dr19489	44.1637	44.3773
Os01g0155200	Dr20851	44.284	44.4982
Os01g0155400	Dr10880	35.0562	26.7123
Os01g0155400	Dr11589	19.7753	27.5862
Os01g0155400	Dr12783	51.4607	34.2814
Os01g0155500	Dr12782	41.1325	46.4415
Os01g0155500	Dr21252	39.8504	44.994
Os01g0155600	Dr02405	64.5062	67.6375
Os01g0156000	Dr12805	34.3137	33.0189
Os01g0157700	Dr15990	37.5	21.5347
Os01g0157900	Dr02417	62.1277	61.8644
Os01g0158000	Dr02418	63.0682	63.6711
Os01g0158200	Dr10852	57.3248	59.4714
Os01g0158400	Dr03498	41.8033	25.0614
Os01g0158500	Dr12834	70.7358	62.8529
Os01g0158600	Dr07145	31.048	32.2482
Os01g0158600	Dr13727	15.9647	30.2974
Os01g0158600	Dr15362	21.5475	28.7582
Os01g0158600	Dr16046	25.857	18.0082
Os01g0158600	Dr16048	23.9961	34.4585
Os01g0158600	Dr16051	30.3624	16.7658
Os01g0158600	Dr16052	25.857	26.6667
Os01g0158600	Dr16053	25.9549	30.3204
Os01g0158600	Dr16055	30.0686	30.6082
Os01g0158600	Dr16056	20.9598	16.1631
Os01g0158600	Dr17220	36.6308	35.9962
Os01g0158600	Dr19900	38.8834	40.101
Os01g0158600	Dr19901	39.2752	38.4468
Os01g0158600	Dr19902	21.2537	37.0307
Os01g0158900	Dr16022	45.2145	50.2445
Os01g0159300	Dr16018	24.3513	19.7411
Os01g0159400	Dr12835	81.5242	74.4726
Os01g0159800	Dr10831	24.0876	15.566
Os01g0160200	Dr07145	30.8809	32.4517
Os01g0160200	Dr13727	14.908	28.6245
Os01g0160200	Dr15362	21.4908	29.0196
Os01g0160200	Dr16046	25.9439	18.281
Os01g0160200	Dr16048	23.3301	33.8959
Os01g0160200	Dr16051	28.848	16.1168
Os01g0160200	Dr16052	24.879	25.9596
Os01g0160200	Dr16053	25.847	30.5492
Os01g0160200	Dr16055	28.7512	29.6112
Os01g0160200	Dr16056	19.4579	15.1813
Os01g0160200	Dr17220	36.4956	36.2849
Os01g0160200	Dr19900	38.2381	39.899
Os01g0160200	Dr19901	38.9158	38.5427
Os01g0160200	Dr19902	21.2004	37.372
Os01g0160700	Dr07145	31.7025	32.9603
Os01g0160700	Dr13727	15.362	29.1822
Os01g0160700	Dr15362	20.9393	27.9739
Os01g0160700	Dr16046	26.8102	18.6903
Os01g0160700	Dr16048	24.4618	35.1617
Os01g0160700	Dr16051	29.8434	16.4954
Os01g0160700	Dr16052	25.5382	26.3636
Os01g0160700	Dr16053	26.4188	30.8924
Os01g0160700	Dr16055	29.3542	29.9103
Os01g0160700	Dr16056	19.863	15.3323
Os01g0160700	Dr17220	36.9863	36.3811
Os01g0160700	Dr19900	38.6497	39.899
Os01g0160700	Dr19901	39.4325	38.6385
Os01g0160700	Dr19902	21.9178	38.2253
Os01g0161000	Dr07145	32.1856	21.8718
Os01g0161000	Dr13727	10.3293	12.8253
Os01g0161000	Dr15362	16.7665	14.6405
Os01g0161000	Dr16046	25.2994	11.528
Os01g0161000	Dr16048	20.8084	19.5499
Os01g0161000	Dr16051	27.6946	10.0054
Os01g0161000	Dr16052	20.8084	14.0404
Os01g0161000	Dr16053	23.2036	17.7346
Os01g0161000	Dr16055	27.0958	18.0459
Os01g0161000	Dr16056	13.3234	6.72205
Os01g0161000	Dr17220	38.3234	24.6391
Os01g0161000	Dr19900	39.6707	26.7677
Os01g0161000	Dr19901	40.1198	25.6951
Os01g0161000	Dr19902	13.7725	15.6997
Os01g0161300	Dr07145	28.5996	29.5015
Os01g0161300	Dr13727	15.6805	29.5539
Os01g0161300	Dr15362	18.9349	25.098
Os01g0161300	Dr16046	23.2742	16.0982
Os01g0161300	Dr16048	24.8521	35.443
Os01g0161300	Dr16051	23.9645	13.1422
Os01g0161300	Dr16052	19.9211	20.404
Os01g0161300	Dr16053	21.7949	25.286
Os01g0161300	Dr16055	24.4576	24.7258
Os01g0161300	Dr16056	14.0039	10.7251
Os01g0161300	Dr17220	32.9389	32.1463
Os01g0161300	Dr19900	35.4043	36.2626
Os01g0161300	Dr19901	35.7002	34.7076
Os01g0161300	Dr19902	20.9073	36.1775
Os01g0162200	Dr05353	11.5741	17.9856
Os01g0162200	Dr16050	17.1296	32.1739
Os01g0162200	Dr17742	21.2963	16.0279
Os01g0162500	Dr05353	25.9259	22.6619
Os01g0162500	Dr16050	12.7572	13.4783
Os01g0162500	Dr17742	22.2222	9.40767
Os01g0162800	Dr07145	32.7519	34.3845
Os01g0162800	Dr13727	17.0543	32.7138
Os01g0162800	Dr15362	22.2868	30.0654
Os01g0162800	Dr16046	25.7752	18.1446
Os01g0162800	Dr16048	24.031	34.8805
Os01g0162800	Dr16051	28.1008	15.6842
Os01g0162800	Dr16052	24.2248	25.2525
Os01g0162800	Dr16053	25.6783	30.3204
Os01g0162800	Dr16055	28.0039	28.8136
Os01g0162800	Dr16056	21.6085	16.8429
Os01g0162800	Dr17220	35.8527	35.6112
Os01g0162800	Dr19900	38.2752	39.899
Os01g0162800	Dr19901	38.0814	37.6798
Os01g0162800	Dr19902	21.2209	37.372
Os01g0163000	Dr07145	32.9218	32.5534
Os01g0163000	Dr13727	15.6379	28.2528
Os01g0163000	Dr15362	21.6049	27.451
Os01g0163000	Dr16046	27.3663	18.1446
Os01g0163000	Dr16048	24.6914	33.7553
Os01g0163000	Dr16051	31.5844	16.6036
Os01g0163000	Dr16052	26.0288	25.5556
Os01g0163000	Dr16053	26.6461	29.6339
Os01g0163000	Dr16055	30.2469	29.3121
Os01g0163000	Dr16056	20.679	15.1813
Os01g0163000	Dr17220	38.6831	36.1886
Os01g0163000	Dr19900	38.9918	38.2828
Os01g0163000	Dr19901	38.4774	35.8581
Os01g0163000	Dr19902	21.7078	36.0068
Os01g0164075	Dr16062	30.3371	30.1676
Os01g0164300	Dr16062	34.5361	37.4302
Os01g0164400	Dr19920	76.5625	29.4
Os01g0164500	Dr11938	63.0603	63.5514
Os01g0164600	Dr11937	55.287	57.7287
Os01g0164700	Dr11936	36.1538	18.8
Os01g0164800	Dr19915	41.8972	8.70994
Os01g0164900	Dr19915	14.553	5.75185
Os01g0165000	Dr16339	25.5474	26.1194
Os01g0165100	Dr19911	63.5458	64.1851
Os01g0165200	Dr00310	38.1429	35.6952
Os01g0165200	Dr11930	34.4286	19.0514
Os01g0165600	Dr02454	42.3529	48
Os01g0166100	Dr09225	30.2115	55.5556
Os01g0166100	Dr09226	22.0544	73
Os01g0166300	Dr09225	19.8198	24.4444
Os01g0166300	Dr09226	30.1802	67
Os01g0166500	Dr15968	32.1138	41.1458
Os01g0166500	Dr19931	29.6748	36.5
