Gene stable ID	Cucumis sativus gene stable ID	%id. query gene identical to target Cucumis sativus gene	%id. target Cucumis sativus gene identical to query gene	Cucumis sativus orthology confidence [0 low, 1 high]
Os01g0133400	Csa_3G257590	70.7182	70.8487	
Os01g0134500	Csa_4G409800	67.1533	67.1533	
Os01g0134700	Csa_1G042460	32.0475	24.6575	
Os01g0135700	Csa_1G025020	37.766	39.2265	
Os01g0135800	Csa_3G595190	51.3889	49.3333	
Os01g0136050	Csa_5G197120	53.5519	54.4444	
Os01g0136400	Csa_1G024230	51.2712	36.2275	
Os01g0136400	Csa_1G042480	40.3481	38.1737	
Os01g0136400	Csa_1G042520	54.1262	33.3832	
Os01g0136400	Csa_2G404850	23.2906	32.6347	
Os01g0136400	Csa_4G410830	39.2647	39.9701	
Os01g0136400	Csa_5G610360	39.2308	38.1737	
Os01g0136800	Csa_1G024230	48.5169	34.3844	
Os01g0136800	Csa_1G042480	37.3418	35.4354	
Os01g0136800	Csa_1G042520	50	30.9309	
Os01g0136800	Csa_2G404850	22.4359	31.5315	
Os01g0136800	Csa_4G410830	37.7941	38.5886	
Os01g0136800	Csa_5G610360	37.0769	36.1862	
Os01g0136900	Csa_1G042500	28.7926	35.4962	
Os01g0136900	Csa_1G042510	27.9823	36.2595	
Os01g0137250	Csa_1G042500	28.1734	47.5196	
Os01g0137250	Csa_1G042510	26.215	46.4752	
Os01g0137400	Csa_1G042500	33.9009	34.3799	
Os01g0137400	Csa_1G042510	33.4315	35.6358	
Os01g0137500	Csa_1G042500	25.5418	48.9614	
Os01g0137500	Csa_1G042510	25.4786	51.3353	
Os01g0138300	Csa_1G042500	35.4489	33.9763	
Os01g0138300	Csa_1G042510	35.1988	35.4599	
Os01g0138400	Csa_1G042500	34.3653	32.5037	
Os01g0138400	Csa_1G042510	33.137	32.9429	
Os01g0138800	Csa_2G404870	69.8113	68.6775	
Os01g0138900	Csa_1G024250	67.3267	45.7399	
Os01g0138900	Csa_2G404880	49.4357	49.1031	
Os01g0139000	Csa_1G042570	39.2694	40.3756	
Os01g0139200	Csa_1G024270	33.2335	33.0849	
Os01g0139200	Csa_2G404940	25.3493	18.927	
Os01g0139600	Csa_2G404960	55.7632	57.1885	
Os01g0140100	Csa_1G021980	54.1667	36.1111	
Os01g0140100	Csa_1G022480	47.8528	46.4286	
Os01g0140100	Csa_1G022490	45.7906	44.246	
Os01g0140100	Csa_1G042220	54.3788	52.9762	
Os01g0140100	Csa_5G608450	54.321	52.381	
Os01g0140500	Csa_2G285350	42.4658	48.062	
Os01g0140500	Csa_6G495670	42.4658	48.062	
Os01g0140700	Csa_5G608380	47.3837	51.4196	
Os01g0141000	Csa_5G608380	53.4884	50.411	
Os01g0141100	Csa_6G152960	64.2032	91.7492	
Os01g0141300	Csa_6G152960	73.2102	66.318	
Os01g0141600	Csa_4G309160	39.596	60.6811	
Os01g0141700	Csa_6G185330	61.7438	59.5197	
Os01g0141900	Csa_4G308580	42.94	36.6337	
Os01g0141900	Csa_6G011590	58.3333	55.4455	
Os01g0142100	Csa_6G011070	60.1533	57.5092	
Os01g0142200	Csa_3G207370	67.8363	67.4419	
Os01g0142300	Csa_3G732460	62.1359	73.3945	
Os01g0143300	Csa_6G008770	52.9644	50.7576	
Os01g0143700	Csa_6G008770	40.7115	39.7683	
Os01g0143800	Csa_6G008770	39.1304	36	
Os01g0144000	Csa_5G630200	63.1783	48.368	
Os01g0144000	Csa_6G496440	62.4031	47.7745	
Os01g0144000	Csa_7G070220	67.0498	51.9288	
Os01g0144100	Csa_6G008700	66.8224	72.2222	
Os01g0144200	Csa_4G296220	70.4225	68.8073	
Os01g0144340	Csa_5G182640	48.6486	10.084	
Os01g0144340	Csa_5G182650	62.2222	23.5294	
Os01g0144600	Csa_6G190290	44.382	39.5	
Os01g0144700	Csa_5G529450	36.1446	32.967	
Os01g0147200	Csa_3G895940	65.4224	62.4765	
Os01g0147300	Csa_1G523040	33.6815	63.2353	
Os01g0147300	Csa_3G734200	30.9524	63.7255	
Os01g0147800	Csa_5G517190	37.0229	41.2766	
Os01g0147800	Csa_5G523100	55.6962	18.7234	
Os01g0148000	Csa_3G734220	17.1442	44.0699	
Os01g0148050	Csa_3G734220	18.9898	40.8568	
Os01g0148400	Csa_1G570210	17.0543	3.51438	
Os01g0148400	Csa_1G570220	18.1159	3.99361	
Os01g0149600	Csa_1G132130	86.6197	80.3922	
Os01g0149600	Csa_1G132150	86.6197	80.3922	
Os01g0149600	Csa_1G132680	85.9155	79.7386	
Os01g0149600	Csa_3G734930	83.3333	75.1634	
Os01g0149600	Csa_6G193620	80.9211	80.3922	
Os01g0149600	Csa_6G448180	83.4532	75.817	
Os01g0149800	Csa_3G734260	59.7403	56.0976	
Os01g0149900	Csa_4G598010	13.245	16.1725	
Os01g0149900	Csa_6G190430	12.7494	15.4987	
Os01g0150000	Csa_5G517090	82.5806	82.5806	
Os01g0150100	Csa_5G514460	22.314	54	
Os01g0150200	Csa_3G114430	75.1131	75.1131	
Os01g0150400	Csa_3G114430	34.8416	36.4929	
Os01g0150500	Csa_3G114430	37.1041	37.1041	
Os01g0150800	Csa_3G114430	57.0136	56	
Os01g0151100	Csa_3G734340	60.4418	55.0274	
Os01g0151100	Csa_4G295450	66.1355	60.6947	
Os01g0151100	Csa_6G191540	63.9442	58.6837	
Os01g0151200	Csa_1G505910	66.4459	65.5773	
Os01g0151400	Csa_2G000660	17.0692	50.4762	
Os01g0151500	Csa_2G000660	41.868	47.2727	
Os01g0151600	Csa_1G480700	66.2011	66.2011	
Os01g0151700	Csa_3G734860	69.2547	69.4704	
Os01g0151900	Csa_7G206990	43.609	43.4457	
Os01g0152000	Csa_6G011600	41.2621	39.9061	
Os01g0152000	Csa_6G011610	41.1535	39.5305	
Os01g0152300	Csa_1G132130	85.9155	79.7386	
Os01g0152300	Csa_1G132150	85.9155	79.7386	
Os01g0152300	Csa_1G132680	85.2113	79.085	
Os01g0152300	Csa_3G734930	82.6087	74.5098	
Os01g0152300	Csa_6G193620	80.2632	79.7386	
Os01g0152300	Csa_6G448180	82.7338	75.1634	
Os01g0152600	Csa_6G011600	40.4854	39.7143	
Os01g0152600	Csa_6G011610	41.4467	40.381	
Os01g0152800	Csa_6G011600	40.8738	40.0571	
Os01g0152800	Csa_6G011610	41.9355	40.8183	
Os01g0152900	Csa_1G132130	85.9155	79.7386	
Os01g0152900	Csa_1G132150	85.9155	79.7386	
Os01g0152900	Csa_1G132680	85.2113	79.085	
Os01g0152900	Csa_3G734930	83.3333	75.1634	
Os01g0152900	Csa_6G193620	80.9211	80.3922	
Os01g0152900	Csa_6G448180	83.4532	75.817	
Os01g0153000	Csa_6G011600	39.2233	38.7716	
Os01g0153000	Csa_6G011610	40.2737	39.5393	
Os01g0153100	Csa_1G132130	86.6197	80.3922	
Os01g0153100	Csa_1G132150	86.6197	80.3922	
Os01g0153100	Csa_1G132680	85.9155	79.7386	
Os01g0153100	Csa_3G734930	85.5072	77.1242	
Os01g0153100	Csa_6G193620	81.5789	81.0458	
Os01g0153100	Csa_6G448180	84.1727	76.4706	
Os01g0153200	Csa_1G481220	23.9316	24.5614	
Os01g0153250	Csa_1G096070	39.7577	39.714	
Os01g0153300	Csa_1G132130	85.9155	78.7097	
Os01g0153300	Csa_1G132150	85.9155	78.7097	
Os01g0153300	Csa_1G132680	85.2113	78.0645	
Os01g0153300	Csa_3G734930	84.058	74.8387	
Os01g0153300	Csa_6G193620	80.2632	78.7097	
Os01g0153300	Csa_6G448180	82.7338	74.1936	
Os01g0153400	Csa_4G000540	41.6418	72.6562	
Os01g0153500	Csa_5G180320	29.2929	23.8683	
Os01g0153500	Csa_5G180325	37.8378	40.3292	
Os01g0153500	Csa_5G180580	40.6504	41.1523	
Os01g0153500	Csa_5G180840	37.1795	23.8683	
Os01g0153600	Csa_5G180320	16.6667	10.7143	
Os01g0153600	Csa_5G180325	13.1274	11.039	
Os01g0153600	Csa_5G180580	16.6667	13.3117	
Os01g0153600	Csa_5G180840	25	12.6623	
Os01g0153800	Csa_4G279870	45.3125	39.5095	
Os01g0153800	Csa_6G476630	42.5	37.0572	
Os01g0153900	Csa_5G180320	24.7475	19.2157	
Os01g0153900	Csa_5G180325	34.3629	34.902	
Os01g0153900	Csa_5G180580	34.1463	32.9412	
Os01g0153900	Csa_5G180840	25.641	15.6863	
Os01g0153950	Csa_5G180320	0	0	
Os01g0153950	Csa_5G180325	0	0	
Os01g0153950	Csa_5G180580	0	0	
Os01g0153950	Csa_5G180840	1.28205	1.55039	
Os01g0154100	Csa_5G180320	24.2424	17.9775	
Os01g0154100	Csa_5G180325	33.2046	32.2097	
Os01g0154100	Csa_5G180580	37.3984	34.4569	
Os01g0154100	Csa_5G180840	27.5641	16.1049	
Os01g0154200	Csa_5G180320	29.2929	22.3938	
Os01g0154200	Csa_5G180325	30.888	30.888	
Os01g0154200	Csa_5G180580	36.9919	35.1351	
Os01g0154200	Csa_5G180840	30.7692	18.5328	
Os01g0154500	Csa_5G180320	21.7172	18.0672	
Os01g0154500	Csa_5G180325	27.027	29.4118	
Os01g0154500	Csa_5G180580	31.3008	32.3529	
Os01g0154500	Csa_5G180840	24.359	15.9664	
Os01g0154600	Csa_5G180320	23.2323	19.0871	
Os01g0154600	Csa_5G180325	30.1158	32.3651	
Os01g0154600	Csa_5G180580	32.1138	32.7801	
Os01g0154600	Csa_5G180840	30.7692	19.917	
Os01g0155000	Csa_4G279870	44.375	42.1365	
Os01g0155000	Csa_6G476630	42.1875	40.0593	
Os01g0155300	Csa_5G505160	42.5532	41.1765	
Os01g0155400	Csa_4G293190	19.1919	17.0787	
Os01g0155400	Csa_4G293200	34.5161	24.0449	
Os01g0155400	Csa_5G177660	31.9527	48.5393	
Os01g0155500	Csa_5G177140	40.6135	35.3632	
Os01g0155500	Csa_6G302130	44.1001	39.5299	
Os01g0155600	Csa_5G177110	54.4474	62.3457	
Os01g0157700	Csa_3G736900	24.4838	35.7759	
Os01g0157800	Csa_4G292450	75.8929	75.8929	
Os01g0157800	Csa_5G623520	73.2143	73.2143	
Os01g0157900	Csa_6G444990	51.9685	56.1702	
Os01g0158000	Csa_4G280460	64.5594	63.8258	
Os01g0158400	Csa_1G703070	39.6887	41.8033	
Os01g0158500	Csa_1G575050	68.4746	67.5585	
Os01g0158600	Csa_2G080190	28.9805	24.7796	
Os01g0158600	Csa_3G730950	34.0088	37.8061	
Os01g0158600	Csa_3G730960	37.0797	37.8061	
Os01g0158600	Csa_3G881780	32.8704	27.8159	
Os01g0158600	Csa_6G080300	25.4186	16.3565	
Os01g0158600	Csa_6G080320	29.2157	29.1871	
Os01g0158600	Csa_6G080330	29.798	28.8932	
Os01g0158600	Csa_6G080340	28.6932	29.6768	
Os01g0158600	Csa_6G080350	30.0289	30.5583	
Os01g0158600	Csa_6G080930	30.93	28.9912	
Os01g0158600	Csa_6G081440	30.618	32.0274	
Os01g0158800	Csa_3G731170	29.5833	29.8319	
Os01g0158800	Csa_5G592790	27.5862	13.4454	
Os01g0158900	Csa_6G011660	53.1034	50.8251	
Os01g0159000	Csa_4G463190	27.451	38.674	
Os01g0159200	Csa_1G085380	30.8642	39.8936	
Os01g0159200	Csa_6G445040	39.5161	52.1277	
Os01g0159400	Csa_3G731060	74.7727	75.9815	
Os01g0159800	Csa_6G011720	13.7652	24.8175	
Os01g0160100	Csa_1G532350	75.3333	75.7119	
Os01g0160100	Csa_3G730980	79.5041	80.5695	
Os01g0160100	Csa_4G312240	54.298	63.4841	
Os01g0160100	Csa_4G312250	60.625	64.9916	
Os01g0160100	Csa_4G312260	55.1587	23.2831	
Os01g0160100	Csa_4G312270	65.2174	40.201	
Os01g0160200	Csa_2G080190	28.4078	24.0077	
Os01g0160200	Csa_3G730950	34.0088	37.3669	
Os01g0160200	Csa_3G730960	36.3112	36.5924	
Os01g0160200	Csa_3G881780	32.9861	27.5895	
Os01g0160200	Csa_6G080300	26.484	16.8441	
Os01g0160200	Csa_6G080320	29.8039	29.4288	
Os01g0160200	Csa_6G080330	30.9091	29.6225	
Os01g0160200	Csa_6G080340	29.1667	29.8161	
Os01g0160200	Csa_6G080350	30.2214	30.3969	
Os01g0160200	Csa_6G080930	31.9749	29.6225	
Os01g0160200	Csa_6G081440	31.1798	32.2362	
Os01g0160700	Csa_2G080190	28.5223	24.364	
Os01g0160700	Csa_3G730950	34.0969	37.8669	
Os01g0160700	Csa_3G730960	36.6955	37.3777	
Os01g0160700	Csa_3G881780	33.5648	28.3757	
Os01g0160700	Csa_6G080300	25.723	16.5362	
Os01g0160700	Csa_6G080320	29.3137	29.2564	
Os01g0160700	Csa_6G080330	30.101	29.1585	
Os01g0160700	Csa_6G080340	28.9773	29.9413	
Os01g0160700	Csa_6G080350	29.5476	30.0391	
Os01g0160700	Csa_6G080930	30.8255	28.865	
Os01g0160700	Csa_6G081440	30.8052	32.1918	
Os01g0161000	Csa_2G080190	20.8477	27.2455	
Os01g0161000	Csa_3G730950	22.7313	38.6228	
Os01g0161000	Csa_3G730960	24.5917	38.3234	
Os01g0161000	Csa_3G881780	24.3056	31.4371	
Os01g0161000	Csa_6G080300	15.2207	14.9701	
Os01g0161000	Csa_6G080320	21.7647	33.2335	
Os01g0161000	Csa_6G080330	21.4141	31.7365	
Os01g0161000	Csa_6G080340	21.3068	33.6826	
Os01g0161000	Csa_6G080350	21.8479	33.982	
Os01g0161000	Csa_6G080930	22.884	32.7844	
Os01g0161000	Csa_6G081440	22.191	35.479	
Os01g0161300	Csa_2G080190	25.4296	21.8935	
Os01g0161300	Csa_3G730950	29.163	32.643	
Os01g0161300	Csa_3G730960	31.22	32.0513	
Os01g0161300	Csa_3G881780	27.8935	23.7673	
Os01g0161300	Csa_6G080300	22.8311	14.7929	
Os01g0161300	Csa_6G080320	25.3922	25.5424	
Os01g0161300	Csa_6G080330	26.7677	26.1341	
Os01g0161300	Csa_6G080340	25.6629	26.7258	
Os01g0161300	Csa_6G080350	25.5053	26.1341	
Os01g0161300	Csa_6G080930	28.6311	27.0217	
Os01g0161300	Csa_6G081440	27.7154	29.1913	
Os01g0162800	Csa_2G080190	28.2932	23.9341	
Os01g0162800	Csa_3G730950	31.9824	35.1744	
Os01g0162800	Csa_3G730960	34.39	34.6899	
Os01g0162800	Csa_3G881780	31.9444	26.7442	
Os01g0162800	Csa_6G080300	26.484	16.8605	
Os01g0162800	Csa_6G080320	29.1176	28.7791	
Os01g0162800	Csa_6G080330	29.899	28.6822	
Os01g0162800	Csa_6G080340	29.6402	30.3295	
Os01g0162800	Csa_6G080350	30.1251	30.3295	
Os01g0162800	Csa_6G080930	33.0199	30.6202	
Os01g0162800	Csa_6G081440	30.7116	31.7829	
Os01g0163000	Csa_2G080190	28.0641	25.2058	
Os01g0163000	Csa_3G730950	33.1278	38.6831	
Os01g0163000	Csa_3G730960	35.8309	38.3745	
Os01g0163000	Csa_3G881780	32.6389	29.0123	
Os01g0163000	Csa_6G080300	26.0274	17.5926	
Os01g0163000	Csa_6G080320	29.0196	30.4527	
Os01g0163000	Csa_6G080330	30.101	30.6584	
Os01g0163000	Csa_6G080340	29.4508	31.9959	
Os01g0163000	Csa_6G080350	29.2589	31.2757	
Os01g0163000	Csa_6G080930	31.7659	31.2757	
Os01g0163000	Csa_6G081440	30.618	33.642	
Os01g0164075	Csa_5G211030	28.3133	26.4045	
Os01g0164300	Csa_5G211030	34.9398	29.8969	
Os01g0164400	Csa_1G533590	28.9206	73.9583	
Os01g0164500	Csa_5G217150	65.7581	59.66	
Os01g0164600	Csa_1G533520	53.4954	53.1722	
Os01g0164700	Csa_6G108520	16.3142	41.5385	
Os01g0164800	Csa_3G730880	10.4693	45.8498	
Os01g0164900	Csa_3G730880	3.61011	8.31601	
Os01g0165000	Csa_6G012810	23.6585	35.4015	
Os01g0165100	Csa_5G218230	52.3232	51.5936	
Os01g0165100	Csa_5G218240	50	49.6016	
Os01g0165200	Csa_3G730840	36.5152	34.4286	
Os01g0165600	Csa_1G533440	36.9128	32.3529	
Os01g0165600	Csa_6G217470	47.4026	42.9412	
Os01g0166100	Csa_5G218750	62.2754	62.8399	
Os01g0166300	Csa_5G218750	37.1257	55.8559	
Os01g0166400	Csa_3G000720	39.4444	35.8586	
Os01g0166500	Csa_4G329820	30.7229	20.7317	
Os01g0166500	Csa_6G014460	27.1552	25.6098	
Os01g0166700	Csa_4G331080	32.1888	33.1858	
Os01g0166800	Csa_6G014500	52.8814	52.2613	
Os01g0167500	Csa_1G025990	67.9335	80.3371	
Os01g0167900	Csa_1G028070	26.2903	37.7315	
Os01g0168100	Csa_1G028070	35.9677	37.6054	
Os01g0168200	Csa_4G334700	58.9928	62.5954	
Os01g0168300	Csa_5G645130	52.5199	52.1053	
Os01g0168400	Csa_4G337310	60.7219	66.9789	
Os01g0168500	Csa_5G645110	65.3061	61.3909	
Os01g0168800	Csa_6G361390	37.1711	33.631	
Os01g0169400	Csa_1G004170	61.413	45.0199	
Os01g0169400	Csa_1G046305	63.253	41.8327	
Os01g0169400	Csa_3G839790	50.9709	41.8327	
Os01g0169400	Csa_5G523080	60.9756	39.8406	
Os01g0169500	Csa_3G838770	35.6092	36.8078	
Os01g0170000	Csa_1G046280	26.3764	60.9467	
Os01g0170000	Csa_3G838720	27.2959	63.3136	
Os01g0170100	Csa_1G004190	25.5914	43.75	
