Gene stable ID	Sorghum bicolor gene stable ID	%id. target Sorghum bicolor gene identical to query gene	%id. query gene identical to target Sorghum bicolor gene
Os01g0103100	SORBI_3009G049900	21.6172	52.4
Os01g0103600	SORBI_3003G106600	61.6438	85.443
Os01g0103600	SORBI_3003G106800	77.6256	77.9817
Os01g0103700	SORBI_3003G106200	55.9524	8.30389
Os01g0103800	SORBI_3009G229800	69.9411	69.8039
Os01g0103900	SORBI_3003G106100	74.2678	51.8248
Os01g0104000	SORBI_3003G106000	81.8018	81.8018
Os01g0104100	SORBI_3003G105900	66.7464	72.846
Os01g0104100	SORBI_3007G010800	68.6603	75.1309
Os01g0104200	SORBI_3003G105800	45.1327	40.2632
Os01g0104400	SORBI_3003G105700	69.403	63.9175
Os01g0104500	SORBI_3002G192600	40.9375	35.2151
Os01g0104500	SORBI_3003G105600	43.75	35
Os01g0104500	SORBI_3005G188000	40.625	35.0404
Os01g0104500	SORBI_3009G086800	43.75	34.8259
Os01g0104600	SORBI_3007G058100	91.3894	91.3894
Os01g0104800	SORBI_3007G217100	60.3101	61.4534
Os01g0104900	SORBI_3003G105500	66.6667	62.7767
Os01g0105700	SORBI_3003G105200	51.0309	43.4211
Os01g0105800	SORBI_3003G105101	80.4348	55.5
Os01g0105900	SORBI_3003G105000	83.905	70.8241
Os01g0106200	SORBI_3003G104700	86.2245	84.9246
Os01g0106300	SORBI_3003G104500	60.3774	65.3061
Os01g0106300	SORBI_3003G104600	64.7799	66.6667
Os01g0106300	SORBI_3003G241300	61.9497	63.754
Os01g0106400	SORBI_3003G104500	65.2866	69.7279
Os01g0106400	SORBI_3003G104600	71.6561	72.8155
Os01g0106400	SORBI_3003G241300	68.7898	69.9029
Os01g0106600	SORBI_3003G104200	38.0137	26.0563
Os01g0106700	SORBI_3003G103701	78.0049	62.8666
Os01g0106800	SORBI_3003G103400	88.0952	89.5161
Os01g0106900	SORBI_3003G103300	87.5264	87.7119
Os01g0107000	SORBI_3003G103200	53.4368	52.5054
Os01g0107700	SORBI_3003G102700	72.9091	70.2277
Os01g0107900	SORBI_3003G102500	83.8915	83.4921
Os01g0108000	SORBI_3003G102400	71.2401	71.3342
Os01g0108200	SORBI_3008G103200	86.0274	81.4527
Os01g0108400	SORBI_3001G350300	45.8515	43.3884
Os01g0108400	SORBI_3003G102300	47.5983	50.463
Os01g0108600	SORBI_3003G102200	50.8929	49.1379
Os01g0108800	SORBI_3003G102000	77.0563	31.1734
Os01g0108800	SORBI_3003G102100	57.1429	26.9939
Os01g0109300	SORBI_3003G101850	81.6532	84.1996
Os01g0109300	SORBI_3008G098500	10.4839	65.8228
Os01g0109700	SORBI_3003G101400	83.8612	77.1686
Os01g0109750	SORBI_3003G101300	83.2117	65.896
Os01g0110100	SORBI_3003G101000	70.5882	66.275
Os01g0110200	SORBI_3003G100900	63.3333	49.0323
Os01g0110400	SORBI_3003G100800	86.7788	85.7482
Os01g0110500	SORBI_3003G100700	79.9427	79.8283
Os01g0110700	SORBI_3003G100600	85.314	85.0674
Os01g0110800	SORBI_3003G100200	74.6667	70.2929
Os01g0110800	SORBI_3003G100400	76	70.9544
Os01g0111100	SORBI_3003G099400	78.2313	79.3103
Os01g0111200	SORBI_3003G099300	79.5161	74.4713
Os01g0111400	SORBI_3003G099100	74.7504	74.5377
Os01g0111500	SORBI_3003G099000	55.9322	56.8966
Os01g0111600	SORBI_3003G098800	82.7586	84.2105
Os01g0111700	SORBI_3003G098700	50.8571	49.4444
Os01g0111800	SORBI_3003G098600	53.1532	53.1532
Os01g0112100	SORBI_3003G098200	71.8085	71.4286
Os01g0112400	SORBI_3003G098100	64.3357	63.6678
Os01g0112500	SORBI_3003G098000	92.4157	89.6458
Os01g0112800	SORBI_3008G026200	47.4836	33.8006
Os01g0113150	SORBI_3008G026200	56.9157	27.8816
Os01g0113200	SORBI_3003G097200	54.0201	36.4407
Os01g0113300	SORBI_3003G097100	59.6358	59.0977
Os01g0113350	SORBI_3003G097000	62.8834	65.8106
Os01g0113500	SORBI_3003G096900	66.195	63.6914
Os01g0113650	SORBI_3003G097000	64.0244	67.4157
Os01g0113800	SORBI_3003G096900	67.619	64.4478
Os01g0114100	SORBI_3003G192600	47.648	46.1087
Os01g0114400	SORBI_3003G192600	71.8935	35.6828
Os01g0114900	SORBI_3003G096900	81.9079	37.6702
Os01g0115200	SORBI_3006G027700	1.28205	2.5
Os01g0115600	SORBI_3003G096900	65.5395	61.5734
Os01g0115700	SORBI_3003G192600	59.3949	54.7724
Os01g0115750	SORBI_3003G192600	57.2271	56.975
Os01g0116000	SORBI_3003G192600	56.1404	56.3877
Os01g0116200	SORBI_3003G192600	56.4789	58.884
Os01g0116600	SORBI_3006G200700	72.6718	70.2065
Os01g0117200	SORBI_3003G192600	60.5809	64.3172
Os01g0117900	SORBI_3003G096100	89.0374	88.8
Os01g0118000	SORBI_3003G096000	94.3299	94.5736
Os01g0118100	SORBI_3003G095900	93.7653	61.805
Os01g0118300	SORBI_3003G095800	89.6471	90.0709
Os01g0118400	SORBI_3003G095700	68.2594	63.8978
Os01g0118600	SORBI_3003G095500	60.1786	59.331
Os01g0118700	SORBI_3003G095400	74.9035	71.9852
Os01g0119000	SORBI_3003G095200	64.5228	60.6238
Os01g0119100	SORBI_3003G087700	50.6024	51.2195
Os01g0119100	SORBI_3003G094600	70.568	59.854
Os01g0119500	SORBI_3004G046800	34.5494	37.9717
Os01g0119500	SORBI_3004G046900	29.1845	40
Os01g0120300	SORBI_3003G094350	88.9169	73.7722
Os01g0120400	SORBI_3003G094200	75.3788	75.6654
Os01g0120500	SORBI_3003G094100	74.0157	68.3636
Os01g0120600	SORBI_3003G036500	64.8936	64.6643
Os01g0120600	SORBI_3003G094000	65.9574	64.8084
Os01g0120700	SORBI_3003G093900	69.4737	71.7391
Os01g0120800	SORBI_3003G036400	80.6288	80.4656
Os01g0120800	SORBI_3003G093800	80.0203	77.2016
Os01g0121000	SORBI_3003G093700	56.2189	49.7797
Os01g0121100	SORBI_3003G093600	80.117	83.0303
Os01g0121200	SORBI_3003G093500	79.5539	77.5362
Os01g0121300	SORBI_3003G093400	76.4815	75.9191
Os01g0121500	SORBI_3003G093000	60	40.9091
Os01g0121600	SORBI_3003G092900	59.8639	58.2781
Os01g0121700	SORBI_3003G092800	89.8204	90.3614
Os01g0121800	SORBI_3003G092700	90.5473	90.5473
Os01g0121900	SORBI_3003G092500	40.5405	35.7143
Os01g0121900	SORBI_3003G092600	40.5405	35.9281
Os01g0121950	SORBI_3003G091001	32.1526	36.646
Os01g0121950	SORBI_3003G091700	42.7793	45.9064
Os01g0121950	SORBI_3003G091800	39.5095	43.0267
Os01g0122200	SORBI_3003G090500	30.5638	39.0152
Os01g0122200	SORBI_3003G092300	37.3887	40.3846
Os01g0122200	SORBI_3003G092400	37.9822	39.0244
Os01g0122701	SORBI_3003G090500	39.604	15.1515
Os01g0122701	SORBI_3003G092300	38.6139	12.5
Os01g0122701	SORBI_3003G092400	27.7228	8.53659
Os01g0123700	SORBI_3003G091400	43.0464	48.8722
Os01g0123700	SORBI_3003G097900	26.4901	35.3982
Os01g0123800	SORBI_3003G090400	42.7461	36.8304
Os01g0124900	SORBI_3001G154700	47.4747	33.5714
Os01g0124900	SORBI_3001G154800	50	37.218
Os01g0125000	SORBI_3003G089400	30.0885	32.2785
Os01g0125000	SORBI_3003G089500	32.1534	34.1693
Os01g0125500	SORBI_3003G090000	27.758	26.3514
Os01g0125600	SORBI_3003G089300	81.1905	76.2864
Os01g0125700	SORBI_3003G089200	82.8571	84.466
Os01g0125800	SORBI_3003G089100	91.9672	83.3581
Os01g0125900	SORBI_3003G089000	80.0564	76.9439
Os01g0126100	SORBI_3003G088900	76.6323	73.1148
Os01g0126200	SORBI_3003G088800	74.5819	75.4653
Os01g0126600	SORBI_3003G088600	72.2084	49.9142
Os01g0126600	SORBI_3007G073800	54.0943	48.1236
Os01g0126900	SORBI_3003G088500	80.1681	81.5385
Os01g0127000	SORBI_3003G088500	64.0449	58.4615
Os01g0127200	SORBI_3003G088500	58.3987	63.5897
Os01g0127300	SORBI_3003G085000	69.7095	70.1461
Os01g0127400	SORBI_3003G085100	83.7264	82.9439
Os01g0127450	SORBI_3003G088300	23.6842	27.1084
Os01g0127500	SORBI_3003G088200	77.4481	80.3077
Os01g0127900	SORBI_3003G087900	78.5047	77.2414
Os01g0128000	SORBI_3003G087600	66.2857	59.6401
Os01g0128100	SORBI_3003G087300	75.2577	76.0417
Os01g0128200	SORBI_3003G087200	78.2467	80.0664
Os01g0128300	SORBI_3003G087100	70.1754	68.0851
Os01g0128400	SORBI_3003G087000	74.4027	74.9141
Os01g0128800	SORBI_3003G086900	79.8283	22.6277
Os01g0129200	SORBI_3003G086800	59.6958	59.6958
Os01g0129500	SORBI_3003G086700	56.2401	50.8571
Os01g0129600	SORBI_3003G086600	48.0826	54.8822
Os01g0129800	SORBI_3003G086500	38.1443	34.9057
Os01g0130000	SORBI_3003G086300	84.6547	83.7975
Os01g0130200	SORBI_3003G086200	59.0551	48.7013
Os01g0130400	SORBI_3003G085900	87.6609	88.0388
Os01g0130900	SORBI_3003G085800	54.5977	39.0947
Os01g0131300	SORBI_3003G085700	66.2857	57.4257
Os01g0131600	SORBI_3003G085600	65.0485	58.4302
Os01g0131800	SORBI_3003G085500	83.9286	83.9286
Os01g0131900	SORBI_3003G085300	72.2772	73.7374
Os01g0132000	SORBI_3003G085400	78	75.7282
Os01g0132100	SORBI_3004G023800	31.6029	60.8772
Os01g0132200	SORBI_3003G085200	58.9212	51.6364
Os01g0132400	SORBI_3003G084800	33.8346	32.2196
Os01g0132500	SORBI_3001G150700	57.5472	50.2058
Os01g0132500	SORBI_3002G036200	60.8491	57.3333
Os01g0132500	SORBI_3002G393950	46.2264	57.3099
Os01g0132500	SORBI_3006G205900	51.4151	55.8974
Os01g0132500	SORBI_3008G188500	40.0943	48.8506
Os01g0132700	SORBI_3003G084300	83.1081	81.457
Os01g0132700	SORBI_3003G284500	83.7838	82.1192
Os01g0132766	SORBI_3003G084400	82.0225	77.1127
Os01g0132800	SORBI_3003G084500	76.834	77.7344
Os01g0133100	SORBI_3003G084200	46.8986	36.1727
Os01g0133200	SORBI_3003G084100	69.5876	61.6438
Os01g0133400	SORBI_3003G084000	84.6863	84.2202
Os01g0133500	SORBI_3003G083900	77.1863	78.53
Os01g0134500	SORBI_3003G083300	85.4015	84.7826
Os01g0134700	SORBI_3003G083200	71.6895	69.6231
Os01g0134800	SORBI_3003G083000	74.7283	46.2963
Os01g0134900	SORBI_3003G082700	86.7145	85.6383
Os01g0135700	SORBI_3003G082600	76.7956	67.4757
Os01g0135800	SORBI_3003G082500	75.3333	75.3333
Os01g0135900	SORBI_3003G082300	70.4819	70.9091
Os01g0136100	SORBI_3003G081900	88.6667	87.5
Os01g0136100	SORBI_3003G082000	90	89.404
Os01g0136100	SORBI_3003G082100	88.6667	87.5
Os01g0136100	SORBI_3003G082200	86	86
Os01g0136300	SORBI_3003G081800	47.4359	53.2374
Os01g0136400	SORBI_3003G081700	57.6347	59.2308
Os01g0136450	SORBI_3003G080300	32.1739	33.4842
Os01g0136450	SORBI_3003G080400	22.1739	22.467
Os01g0136450	SORBI_3003G080800	43.4783	37.8788
Os01g0136450	SORBI_3003G081500	27.8261	30.3318
Os01g0136450	SORBI_3003G081601	45.2174	44.8276
Os01g0136500	SORBI_3003G080300	29.9595	33.4842
Os01g0136500	SORBI_3003G080400	21.4575	23.348
Os01g0136500	SORBI_3003G080800	37.247	34.8485
Os01g0136500	SORBI_3003G081500	27.9352	32.7014
Os01g0136500	SORBI_3003G081601	36.8421	39.2241
Os01g0136800	SORBI_3003G081100	67.5676	65.407
Os01g0136900	SORBI_3003G080900	70.8015	57.6983
Os01g0137200	SORBI_3003G080300	29.4118	33.9367
Os01g0137200	SORBI_3003G080400	18.0392	20.2643
Os01g0137200	SORBI_3003G080800	39.2157	37.8788
Os01g0137200	SORBI_3003G081500	23.9216	28.91
Os01g0137200	SORBI_3003G081601	39.6078	43.5345
Os01g0137250	SORBI_3003G079900	68.4073	41.6534
Os01g0137250	SORBI_3009G019100	66.3185	35.2288
Os01g0137282	SORBI_3003G081200	21.9231	18.3871
Os01g0137400	SORBI_3003G079800	43.4851	74.4624
Os01g0137400	SORBI_3003G080000	54.0031	51.3433
Os01g0137400	SORBI_3003G080100	63.7363	59.7059
Os01g0137400	SORBI_3003G080700	62.6374	62.2465
Os01g0137400	SORBI_3K027900	38.4615	79.5455
Os01g0137500	SORBI_3003G079600	70.9199	42.4512
Os01g0138300	SORBI_3003G079800	41.8398	75.8064
Os01g0138300	SORBI_3003G080000	54.7478	55.0746
Os01g0138300	SORBI_3003G080100	53.2641	52.7941
Os01g0138300	SORBI_3003G080700	53.4125	56.1622
Os01g0138300	SORBI_3K027900	37.2404	81.4935
Os01g0138400	SORBI_3003G079400	49.9268	68.8889
Os01g0138500	SORBI_3003G079300	65.0746	67.284
Os01g0138600	SORBI_3003G127500	41.0714	26.1364
Os01g0138600	SORBI_3007G184100	39.881	28.5106
Os01g0138800	SORBI_3003G079200	76.7981	74.0492
Os01g0138900	SORBI_3003G079100	81.8386	66.6058
Os01g0139000	SORBI_3003G078900	69.0141	67.4312
Os01g0139200	SORBI_3003G078800	80.0298	80.9955
Os01g0139600	SORBI_3003G078700	79.8722	81.4332
Os01g0140100	SORBI_3003G078400	81.746	80.943
Os01g0140400	SORBI_3003G078300	90.5956	91.4557
Os01g0140500	SORBI_3003G078200	55.0388	45.2229
Os01g0140700	SORBI_3009G048201	25.2366	49.6894
Os01g0141000	SORBI_3003G078100	75.6164	71.134
Os01g0141100	SORBI_3003G077900	98.3498	68.3486
Os01g0141300	SORBI_3003G077900	70.0837	76.8349
Os01g0141600	SORBI_3003G077700	79.5666	53.2091
Os01g0141700	SORBI_3003G077600	81.6467	81.6467
Os01g0141900	SORBI_3003G077500	86.9637	87.8333
Os01g0142100	SORBI_3003G077400	82.4176	82.5688
Os01g0142200	SORBI_3003G077300	86.6279	86.6279
Os01g0142300	SORBI_3003G076900	92.2018	93.4884
Os01g0142500	SORBI_3003G076500	74.4898	74.744
Os01g0142500	SORBI_3003G076600	31.9728	67.1429
Os01g0143100	SORBI_3003G075500	90.3727	88.1818
Os01g0143300	SORBI_3003G075200	74.6212	74.0602
Os01g0143700	SORBI_3003G075200	51.7375	50.3759
Os01g0143800	SORBI_3003G075100	72.3636	73.1618
Os01g0143900	SORBI_3003G075000	57.5342	64.6154
Os01g0144000	SORBI_3003G074900	69.7329	90.3846
Os01g0144100	SORBI_3003G074700	78.2828	77.5
Os01g0144200	SORBI_3003G074400	91.2844	91.2844
Os01g0144300	SORBI_3003G074300	67.6558	65.7061
Os01g0144340	SORBI_3003G074200	89.2157	89.4663
Os01g0144500	SORBI_3003G074100	48.3607	41.115
Os01g0144600	SORBI_3003G074000	69	75.4098
Os01g0144700	SORBI_3003G073900	85.7143	85.7143
Os01g0147200	SORBI_3003G073000	85.9287	88.417
Os01g0147300	SORBI_3003G072900	84.3137	40.8551
Os01g0147400	SORBI_3003G072801	54.5833	27.2349
Os01g0147600	SORBI_3003G072700	18.5328	18.1132
Os01g0147700	SORBI_3003G072500	75.1429	75.9019
Os01g0147800	SORBI_3003G072400	74.4681	57.4713
Os01g0147900	SORBI_3003G072300	88.1423	73.1148
Os01g0148000	SORBI_3003G072200	70.7865	28.0693
Os01g0148050	SORBI_3003G072200	77.534	36.7327
Os01g0148500	SORBI_3002G255800	49.6241	49.0099
Os01g0148700	SORBI_3002G255901	47.2727	63.4146
Os01g0149600	SORBI_3002G210200	94.7712	94.7712
Os01g0149600	SORBI_3002G403400	90.1961	91.3907
Os01g0149600	SORBI_3003G067300	92.1569	94.6309
Os01g0149600	SORBI_3003G067500	91.5033	93.9597
Os01g0149600	SORBI_3003G092200	90.8497	92.6667
Os01g0149600	SORBI_3003G200501	94.7712	94.7712
Os01g0149600	SORBI_3004G265400	91.5033	90.3226
Os01g0149600	SORBI_3007G149600	91.5033	92.7152
Os01g0149800	SORBI_3003G071901	48.7805	47.0588
Os01g0149900	SORBI_3003G071700	60.5121	60.1877
Os01g0150000	SORBI_3003G071600	90.6452	62.306
Os01g0150100	SORBI_3003G071500	69.3333	30.2326
Os01g0150200	SORBI_3003G071400	87.7828	87.7828
Os01g0150400	SORBI_3003G071100	43.6019	43.8095
Os01g0150400	SORBI_3003G071300	41.7062	40.1826
Os01g0150500	SORBI_3003G071100	36.1991	38.0952
Os01g0150500	SORBI_3003G071300	35.2941	35.6164
Os01g0150800	SORBI_3003G071100	42.2222	45.2381
Os01g0150800	SORBI_3003G071300	48.8889	50.2283
Os01g0151100	SORBI_3003G071000	87.5686	87.7289
Os01g0151200	SORBI_3003G070900	82.3529	83.0769
Os01g0151400	SORBI_3003G070800	76.1905	25
Os01g0151500	SORBI_3003G070800	66.9091	57.5
Os01g0151600	SORBI_3003G070700	86.5922	86.351
Os01g0151700	SORBI_3003G070600	86.2928	86.5625
Os01g0151900	SORBI_3003G070300	74.3446	73.1123
Os01g0152100	SORBI_3002G010400	36.6013	34.4969
Os01g0152100	SORBI_3004G178600	35.2941	35.0649
Os01g0152100	SORBI_3004G178901	7.18954	41.7722
Os01g0152200	SORBI_3002G010400	27.9518	23.8193
Os01g0152200	SORBI_3004G178600	30.1205	27.0563
Os01g0152200	SORBI_3004G178901	8.19277	43.038
Os01g0152300	SORBI_3002G210200	94.1176	94.1176
Os01g0152300	SORBI_3002G403400	89.5425	90.7285
Os01g0152300	SORBI_3003G067300	91.5033	93.9597
Os01g0152300	SORBI_3003G067500	90.8497	93.2886
Os01g0152300	SORBI_3003G092200	90.1961	92
Os01g0152300	SORBI_3003G200501	94.1176	94.1176
Os01g0152300	SORBI_3004G265400	90.8497	89.6774
Os01g0152300	SORBI_3007G149600	90.8497	92.053
Os01g0152500	SORBI_3007G088500	15.5759	15.9946
Os01g0152600	SORBI_3004G015500	67.619	66.7293
Os01g0152800	SORBI_3004G015500	67.3644	66.5414
Os01g0152900	SORBI_3002G210200	93.4641	93.4641
Os01g0152900	SORBI_3002G403400	90.1961	91.3907
Os01g0152900	SORBI_3003G067300	90.8497	93.2886
Os01g0152900	SORBI_3003G067500	90.1961	92.6174
Os01g0152900	SORBI_3003G092200	89.5425	91.3333
Os01g0152900	SORBI_3003G200501	93.4641	93.4641
Os01g0152900	SORBI_3004G265400	91.5033	90.3226
Os01g0152900	SORBI_3007G149600	91.5033	92.7152
Os01g0152950	SORBI_3003G414000	45.7077	46.028
Os01g0152950	SORBI_3005G150200	42.9234	41.1111
Os01g0153000	SORBI_3004G015500	66.2188	64.8496
Os01g0153100	SORBI_3002G210200	93.4641	93.4641
Os01g0153100	SORBI_3002G403400	90.1961	91.3907
Os01g0153100	SORBI_3003G067300	90.8497	93.2886
Os01g0153100	SORBI_3003G067500	90.1961	92.6174
Os01g0153100	SORBI_3003G092200	90.8497	92.6667
Os01g0153100	SORBI_3003G200501	93.4641	93.4641
Os01g0153100	SORBI_3004G265400	91.5033	90.3226
Os01g0153100	SORBI_3007G149600	92.8105	94.0397
Os01g0153200	SORBI_3009G161300	29.8246	25.1852
Os01g0153250	SORBI_3003G067201	45.2145	74.3219
Os01g0153300	SORBI_3002G210200	92.9032	94.1176
Os01g0153300	SORBI_3002G403400	88.3871	90.7285
Os01g0153300	SORBI_3003G067300	90.3226	93.9597
Os01g0153300	SORBI_3003G067500	89.6774	93.2886
Os01g0153300	SORBI_3003G092200	90.3226	93.3333
Os01g0153300	SORBI_3003G200501	92.9032	94.1176
Os01g0153300	SORBI_3004G265400	89.6774	89.6774
Os01g0153300	SORBI_3007G149600	90.9677	93.3775
Os01g0153400	SORBI_3003G067100	93.4896	70.9486
Os01g0153500	SORBI_3003G066200	30.0412	64.0351
Os01g0153500	SORBI_3003G066600	42.3868	47.2477
Os01g0153600	SORBI_3003G066000	20.7792	24.4275
Os01g0153800	SORBI_3003G065400	58.0381	62.6471
Os01g0153800	SORBI_3003G065501	44.9591	40.146
Os01g0153800	SORBI_3003G065600	56.6758	64.1975
Os01g0153900	SORBI_3003G066200	22.7451	50.8772
Os01g0153900	SORBI_3003G066600	32.549	38.0734
Os01g0153950	SORBI_3003G066200	0	0
Os01g0153950	SORBI_3003G066600	0	0
Os01g0154100	SORBI_3003G066200	22.8464	53.5088
Os01g0154100	SORBI_3003G066600	29.9625	36.6972
Os01g0154500	SORBI_3003G065700	68.4874	68.7764
Os01g0154600	SORBI_3003G065700	70.1245	71.308
Os01g0154950	SORBI_3002G041666	39.322	28.5714
Os01g0155000	SORBI_3003G065300	46.2908	58.6466
Os01g0155300	SORBI_3003G064800	62.9412	58.3106
Os01g0155400	SORBI_3003G064700	79.7753	51.9766
Os01g0155500	SORBI_3003G064500	62.2863	66.7812
Os01g0155600	SORBI_3003G064400	72.5309	79.3919
Os01g0156000	SORBI_3003G064200	67.6471	53.4884
Os01g0157500	SORBI_3003G063600	42.5532	49.0196
Os01g0157600	SORBI_3003G063500	37.6271	40.3636
Os01g0157700	SORBI_3003G063400	23.7069	19.3662
Os01g0157800	SORBI_3003G063300	86.6071	86.6071
Os01g0157800	SORBI_3007G061400	86.6071	47.549
Os01g0157900	SORBI_3003G063200	75.3191	75
Os01g0158000	SORBI_3003G063000	83.3333	77.8761
Os01g0158100	SORBI_3001G456200	71.5356	73.1801
Os01g0158100	SORBI_3002G171400	27.3408	75.2577
Os01g0158200	SORBI_3003G062800	83.0149	84.4492
Os01g0158200	SORBI_3003G062900	67.7282	79.9499
Os01g0158400	SORBI_3003G062500	63.5246	58.7121
Os01g0158900	SORBI_3003G062300	80.088	80.1762
Os01g0159000	SORBI_3003G062200	62.4309	40.5018
Os01g0159200	SORBI_3003G062000	76.0638	53.5581
Os01g0159300	SORBI_3003G061900	56.487	54.9515
Os01g0159400	SORBI_3003G061800	92.1478	91.3043
Os01g0159600	SORBI_3003G061500	74.1936	73.4043
Os01g0159800	SORBI_3003G061400	58.3942	33.0578
Os01g0160100	SORBI_3003G061300	92.1273	93.0626
Os01g0160700	SORBI_3003G058001	57.5342	59.2145
Os01g0160800	SORBI_3002G362400	29.4326	28.6207
Os01g0161000	SORBI_3003G058001	62.4251	41.994
Os01g0161300	SORBI_3003G059100	44.4773	47.4238
