Gene stable ID	Zea mays gene stable ID	%id. target Zea mays gene identical to query gene	%id. query gene identical to target Zea mays gene
Os01g0100600	Zm00001d029189	47.6056	51.5244
Os01g0100600	Zm00001d047466	46.7606	50.7645
Os01g0100700	Zm00001d008387	89.5	89.9497
Os01g0100700	Zm00001d037929	89	89.4472
Os01g0100800	Zm00001d008388	58.427	58.1006
Os01g0100900	Zm00001d008389	86.4564	84.5735
Os01g0101150	Zm00001d040222	70.1235	67.1395
Os01g0101200	Zm00001d040220	57.2816	57.6547
Os01g0101300	Zm00001d010915	83.7838	80.9976
Os01g0101600	Zm00001d008390	56.2372	66.345
Os01g0101600	Zm00001d040218	59.1002	62.5541
Os01g0101700	Zm00001d008392	57.4468	50.7042
Os01g0101700	Zm00001d040215	58.5106	53.3981
Os01g0101800	Zm00001d008393	42.4556	39.9165
Os01g0101800	Zm00001d040213	42.1598	41.4244
Os01g0101900	Zm00001d040211	73.6111	75.7143
Os01g0102000	Zm00001d040205	73.4848	73.2076
Os01g0102300	Zm00001d008394	49.0272	43.75
Os01g0102400	Zm00001d023466	29.2162	28.0182
Os01g0102500	Zm00001d040204	82.2289	79.1304
Os01g0102600	Zm00001d030688	73.6059	69.4737
Os01g0102700	Zm00001d041569	66.8293	70.9845
Os01g0102800	Zm00001d040203	82.879	60.4614
Os01g0102900	Zm00001d003199	32.8125	26.9231
Os01g0102900	Zm00001d041784	39.8438	19.1729
Os01g0102900	Zm00001d050774	40.625	29.8851
Os01g0103000	Zm00001d040202	89.2241	90
Os01g0103100	Zm00001d040201	73.9274	67.7761
Os01g0103700	Zm00001d040193	57.1429	7.68
Os01g0103800	Zm00001d009548	73.6739	66.3717
Os01g0103800	Zm00001d038988	73.6739	67.8119
Os01g0103900	Zm00001d008398	68.6192	46.6572
Os01g0104000	Zm00001d040192	81.0811	81.0811
Os01g0104100	Zm00001d040191	60.5263	64.2132
Os01g0104100	Zm00001d052080	6.69856	65.1163
Os01g0104200	Zm00001d008399	44.8378	38.191
Os01g0104400	Zm00001d040190	70.8955	61.8893
Os01g0104500	Zm00001d008403	34.375	34.1615
Os01g0104500	Zm00001d040189	44.0625	36.0614
Os01g0104600	Zm00001d009288	76.1252	75.8285
Os01g0104600	Zm00001d020989	88.2583	83.829
Os01g0104600	Zm00001d024743	12.9159	56.8966
Os01g0104600	Zm00001d040485	18.0039	61.745
Os01g0104800	Zm00001d031326	59.0698	60.1896
Os01g0104900	Zm00001d040188	64.7436	63.7895
Os01g0105700	Zm00001d008404	42.7835	35.8531
Os01g0105700	Zm00001d040186	49.4845	41.7391
Os01g0105800	Zm00001d008405	78.9855	49.7717
Os01g0105800	Zm00001d040185	79.7101	84.6154
Os01g0105900	Zm00001d008406	82.058	74.4019
Os01g0105900	Zm00001d040183	82.5858	83.4667
Os01g0106200	Zm00001d008407	87.2449	85.9296
Os01g0106200	Zm00001d040178	85.7143	83.5821
Os01g0106300	Zm00001d040173	63.8365	65.6958
Os01g0106400	Zm00001d040173	68.1529	69.2557
Os01g0106500	Zm00001d040172	44.8598	30.3797
Os01g0106600	Zm00001d008408	36.6438	31.0145
Os01g0106600	Zm00001d040171	36.9863	28.8
Os01g0106700	Zm00001d040166	75.1431	57.5274
Os01g0106800	Zm00001d008428	85.7143	87.8049
Os01g0106800	Zm00001d040164	90.4762	93.4426
Os01g0106900	Zm00001d008427	86.8922	71.7277
Os01g0106900	Zm00001d040163	87.1036	87.1036
Os01g0107000	Zm00001d040161	52.9933	51.3979
Os01g0107700	Zm00001d008425	73.0909	70.2797
Os01g0107900	Zm00001d008422	83.7321	78.8288
Os01g0107900	Zm00001d014020	17.0654	89.916
Os01g0107900	Zm00001d018376	31.8979	82.3045
Os01g0107900	Zm00001d023672	17.2249	91.5254
Os01g0107900	Zm00001d040155	80.7018	81.3505
Os01g0108000	Zm00001d040154	54.6174	67.6471
Os01g0108200	Zm00001d023749	86.8493	82.2309
Os01g0108400	Zm00001d040152	42.3581	48.7437
Os01g0108600	Zm00001d040148	52.6786	51.5284
Os01g0108800	Zm00001d040147	77.4892	29.7342
Os01g0109300	Zm00001d008417	81.25	81.25
Os01g0109300	Zm00001d013793	21.7742	54.5455
Os01g0109300	Zm00001d040144	80.6452	81.9672
Os01g0109700	Zm00001d008429	82.5038	75.8143
Os01g0109700	Zm00001d040123	81.7496	75.5401
Os01g0109750	Zm00001d008430	63.5037	69.0476
Os01g0109750	Zm00001d040124	82.4818	76.3513
Os01g0110100	Zm00001d040125	60.2002	63.3729
Os01g0110200	Zm00001d040126	61.6667	51.0345
Os01g0110400	Zm00001d008432	85.5769	78.0702
Os01g0110500	Zm00001d008433	78.7966	75.3425
Os01g0110500	Zm00001d040127	76.0745	76.8452
Os01g0110600	Zm00001d008434	54.8638	38.5246
Os01g0110600	Zm00001d040128	52.5292	48.7365
Os01g0110700	Zm00001d040129	84.8309	84.913
Os01g0110800	Zm00001d040130	76.2222	64.5951
Os01g0111100	Zm00001d008348	34.0136	58.1395
Os01g0111100	Zm00001d008440	76.8708	74.5875
Os01g0111100	Zm00001d024417	30.2721	54.2683
Os01g0111200	Zm00001d008439	77.5806	74.114
Os01g0111200	Zm00001d027310	24.1935	48.0769
Os01g0111200	Zm00001d040142	76.129	72.9521
Os01g0111200	Zm00001d051566	11.4516	78.8889
Os01g0111400	Zm00001d008443	73.3238	73.8506
Os01g0111500	Zm00001d008444	55.2542	50.1538
Os01g0111600	Zm00001d008446	81.0345	67.7885
Os01g0111600	Zm00001d040113	79.8851	77.2222
Os01g0111700	Zm00001d008449	48.5714	46.1957
Os01g0111800	Zm00001d008451	54.0541	49.1803
Os01g0111800	Zm00001d040112	52.2523	57.4257
Os01g0112100	Zm00001d008454	67.2872	67.6471
Os01g0112100	Zm00001d040109	68.0851	67.7249
Os01g0112400	Zm00001d040108	64.6853	61.8729
Os01g0112500	Zm00001d008455	89.8876	87.1935
Os01g0112500	Zm00001d040107	89.6067	87.6374
Os01g0112500	Zm00001d042737	52.2472	74.6988
Os01g0112800	Zm00001d023311	52.407	40.1846
Os01g0113150	Zm00001d023311	54.213	28.6074
Os01g0113200	Zm00001d008457	54.0201	34.7896
Os01g0113300	Zm00001d040094	59.3323	58.5329
Os01g0113350	Zm00001d053087	60.2761	60.1838
Os01g0113350	Zm00001d053135	60.5828	61.2403
Os01g0113500	Zm00001d008465	45.7547	69.6172
Os01g0113500	Zm00001d008468	60.3774	63.2619
Os01g0113500	Zm00001d008489	60.2201	63.0972
Os01g0113500	Zm00001d024962	58.1761	64.9123
Os01g0113650	Zm00001d053087	62.6524	62.9403
Os01g0113650	Zm00001d053135	62.9573	64.031
Os01g0113800	Zm00001d008465	46.1905	69.6172
Os01g0113800	Zm00001d008468	62.381	64.7446
Os01g0113800	Zm00001d008489	61.9048	64.2504
Os01g0113800	Zm00001d024962	58.7302	64.9123
Os01g0113900	Zm00001d016656	12.9412	21.2355
Os01g0113900	Zm00001d047604	4.23529	14.7541
Os01g0114100	Zm00001d017149	23.3687	74.0385
Os01g0114100	Zm00001d024961	47.4962	45.6934
Os01g0114400	Zm00001d017149	42.3077	68.75
Os01g0114400	Zm00001d024961	71.0059	35.0365
Os01g0114900	Zm00001d008465	76.3158	55.5024
Os01g0114900	Zm00001d008468	76.9737	38.5502
Os01g0114900	Zm00001d008489	76.6447	38.3855
Os01g0114900	Zm00001d024962	79.9342	42.6316
Os01g0115566	Zm00001d016656	18.7251	18.1467
Os01g0115566	Zm00001d047604	4.78088	9.83607
Os01g0115600	Zm00001d008465	48.1481	71.5311
Os01g0115600	Zm00001d008468	71.0145	72.6524
Os01g0115600	Zm00001d008489	70.5314	72.1582
Os01g0115600	Zm00001d024962	61.5137	67.0175
Os01g0115700	Zm00001d017149	23.4076	70.6731
Os01g0115700	Zm00001d024961	60.0318	55.0365
Os01g0115750	Zm00001d017149	22.8614	74.5192
Os01g0115750	Zm00001d024961	55.8997	55.3285
Os01g0115800	Zm00001d016656	16.7224	19.305
Os01g0115800	Zm00001d047604	5.35117	13.1148
Os01g0115900	Zm00001d008478	55.0943	53.2847
Os01g0116000	Zm00001d017149	21.4912	70.6731
Os01g0116000	Zm00001d024961	55.848	55.7664
Os01g0116200	Zm00001d017149	20.5634	70.1923
Os01g0116200	Zm00001d024961	55.0704	57.0803
Os01g0116300	Zm00001d008478	34.1936	38.6861
Os01g0116600	Zm00001d026213	72.3664	57.1084
Os01g0116900	Zm00001d008465	57.0874	70.3349
Os01g0116900	Zm00001d008468	67.9612	57.6606
Os01g0116900	Zm00001d008489	68.1553	57.8254
Os01g0116900	Zm00001d024962	66.7961	60.3509
Os01g0117100	Zm00001d008465	77.7473	67.7033
Os01g0117100	Zm00001d008468	77.4725	46.458
Os01g0117100	Zm00001d008489	77.7473	46.6227
Os01g0117100	Zm00001d024962	81.5934	52.1053
Os01g0117200	Zm00001d017149	19.7787	68.75
Os01g0117200	Zm00001d024961	57.953	61.1679
Os01g0117266	Zm00001d008478	31.3333	17.1533
Os01g0117300	Zm00001d008465	72.2922	68.6603
Os01g0117300	Zm00001d008468	73.5516	48.1054
Os01g0117300	Zm00001d008489	73.8035	48.2702
Os01g0117300	Zm00001d024962	76.0705	52.9825
Os01g0117500	Zm00001d008465	61.4407	69.378
Os01g0117500	Zm00001d008468	65.0424	50.5766
Os01g0117500	Zm00001d008489	65.2542	50.7414
Os01g0117500	Zm00001d024962	68.2203	56.4912
Os01g0117700	Zm00001d008465	46.0342	70.8134
Os01g0117700	Zm00001d008468	59.2535	62.7677
Os01g0117700	Zm00001d008489	59.409	62.9325
Os01g0117700	Zm00001d024962	60.8087	68.5965
Os01g0117900	Zm00001d040089	85.0267	86.413
Os01g0118000	Zm00001d003968	35.0515	90.6667
Os01g0118000	Zm00001d028395	34.7938	90
Os01g0118000	Zm00001d051622	13.9175	80.597
Os01g0118100	Zm00001d040082	88.2641	51.3149
Os01g0118300	Zm00001d008493	87.5294	87.9433
Os01g0118300	Zm00001d015809	16.4706	72.1649
Os01g0118300	Zm00001d040076	89.4118	89.8345
Os01g0118400	Zm00001d040075	68.43	64.2628
Os01g0118700	Zm00001d040067	74.3243	72.5047
Os01g0119000	Zm00001d040066	63.0705	60.0791
Os01g0119100	Zm00001d008495	62.6506	58.24
Os01g0119100	Zm00001d008526	56.1102	51.664
Os01g0119100	Zm00001d040059	69.3632	59.0909
Os01g0120300	Zm00001d008497	87.4055	70.4569
Os01g0120400	Zm00001d008498	68.5606	68.5606
Os01g0120500	Zm00001d008499	74.0157	76.7347
Os01g0120600	Zm00001d039519	63.8298	62.7178
Os01g0120700	Zm00001d008500	62.4561	64.7273
Os01g0120700	Zm00001d040118	58.9474	68.0162
Os01g0120800	Zm00001d008788	76.572	82.244
Os01g0120800	Zm00001d039518	77.5862	79.2746
Os01g0121000	Zm00001d008501	57.2139	57.5
Os01g0121000	Zm00001d040057	58.209	57.9208
Os01g0121000	Zm00001d040120	62.1891	63.4518
Os01g0121100	Zm00001d008502	77.4854	79.8193
Os01g0121200	Zm00001d008503	79.9257	79.3358
Os01g0121300	Zm00001d040056	74.8148	73.1884
Os01g0121500	Zm00001d040050	59.1667	43.2927
Os01g0121600	Zm00001d040048	54.4218	50.3145
Os01g0121700	Zm00001d008512	89.0719	85.6115
Os01g0121800	Zm00001d008513	89.5522	89.5522
Os01g0121800	Zm00001d040047	85.0746	40.1408
Os01g0121950	Zm00001d008514	36.2398	39.4659
Os01g0123700	Zm00001d040046	36.4238	49.1071
Os01g0123900	Zm00001d003304	7.25389	6.48148
Os01g0124000	Zm00001d003304	7.52688	6.48148
Os01g0124100	Zm00001d003304	4.6332	5.55556
Os01g0124200	Zm00001d003304	4.78088	5.55556
Os01g0124401	Zm00001d003304	4.72441	5.55556
Os01g0124600	Zm00001d003304	6.31579	5.55556
Os01g0124650	Zm00001d003304	5.94595	5.09259
Os01g0125600	Zm00001d008515	72.619	65.8747
Os01g0125600	Zm00001d040040	79.2857	72.0779
Os01g0125700	Zm00001d008516	81.5873	82.9032
Os01g0125800	Zm00001d008517	91.8033	87.7743
Os01g0125800	Zm00001d014053	38.1967	88.5932
Os01g0125800	Zm00001d029295	10.9836	42.1384
Os01g0125800	Zm00001d040038	91.6393	91.6393
Os01g0125800	Zm00001d042097	8.19672	70.4225
Os01g0125800	Zm00001d047714	38.6885	79.4613
Os01g0125900	Zm00001d008520	78.7394	75.9528
Os01g0125900	Zm00001d040036	77.1402	74.6133
Os01g0126100	Zm00001d040035	77.6632	75.5853
Os01g0126200	Zm00001d040034	74.9164	74.7913
Os01g0126600	Zm00001d040033	72.7047	55.283
Os01g0127300	Zm00001d008549	72.4066	72.5572
Os01g0127400	Zm00001d039987	80.8962	80.1402
Os01g0127600	Zm00001d003304	34.6369	28.7037
Os01g0127900	Zm00001d008525	44.8598	78.6885
Os01g0127900	Zm00001d040020	76.8692	75.286
Os01g0128000	Zm00001d040019	61.7143	59.6685
Os01g0128100	Zm00001d040014	75.2577	71.1039
Os01g0128200	Zm00001d008529	78.5714	80.3987
Os01g0128300	Zm00001d008530	70.614	59.6296
Os01g0128300	Zm00001d040011	72.3684	71.1207
Os01g0128400	Zm00001d008531	72.1843	72.6804
Os01g0128400	Zm00001d019623	14.3345	57.5342
Os01g0128400	Zm00001d031035	11.4334	59.292
Os01g0128400	Zm00001d032125	11.4334	59.292
Os01g0128400	Zm00001d038771	11.2628	58.4071
Os01g0128400	Zm00001d040010	73.3788	74.1379
Os01g0128400	Zm00001d053723	11.6041	60.177
Os01g0128800	Zm00001d040008	78.97	21.5457
Os01g0129200	Zm00001d040006	39.1635	44.9782
Os01g0129500	Zm00001d008535	51.9747	56.6265
Os01g0129500	Zm00001d040005	58.6098	54.1606
Os01g0129600	Zm00001d040004	48.3776	55.0336
Os01g0129800	Zm00001d040003	39.1753	36.8932
Os01g0130000	Zm00001d040002	84.1432	83.5025
Os01g0130200	Zm00001d039997	62.2047	52.6667
Os01g0130400	Zm00001d039994	87.4464	87.918
Os01g0130900	Zm00001d008539	44.2529	56.2044
Os01g0130900	Zm00001d039993	50	55.7692
Os01g0131300	Zm00001d008540	61.7143	57.754
Os01g0131300	Zm00001d009825	37.1429	37.7907
Os01g0131300	Zm00001d039991	61.7143	58.3784
Os01g0131600	Zm00001d008546	63.1068	58.0357
Os01g0131900	Zm00001d008548	65.3465	64.7059
Os01g0132100	Zm00001d024693	50	45.8647
Os01g0132100	Zm00001d024694	46.9035	44.1302
Os01g0132100	Zm00001d024697	24.8634	49.5463
Os01g0132200	Zm00001d039988	60.9958	53.4545
Os01g0132400	Zm00001d039983	26.3158	27.7778
Os01g0132500	Zm00001d008552	59.9057	61.0577
Os01g0132500	Zm00001d039982	53.3019	60.4278
Os01g0132700	Zm00001d008564	84.4595	82.7815
Os01g0132766	Zm00001d008562	77.5281	76.9517
Os01g0132766	Zm00001d039977	81.2734	81.2734
Os01g0132800	Zm00001d008559	76.834	77.7344
Os01g0133100	Zm00001d008565	44.6293	44.697
Os01g0133100	Zm00001d039975	49.1679	38.1008
Os01g0133200	Zm00001d039974	65.4639	59.6244
Os01g0133400	Zm00001d008567	83.7638	82.0976
Os01g0133400	Zm00001d039973	83.2103	83.6735
Os01g0133500	Zm00001d039971	74.3346	74.3346
Os01g0134500	Zm00001d008569	83.5766	72.4684
Os01g0134500	Zm00001d039965	82.8467	82.2464
Os01g0134700	Zm00001d008570	61.1872	50
Os01g0134700	Zm00001d039963	67.1233	67.2769
Os01g0134800	Zm00001d039958	58.6957	80.8989
Os01g0134900	Zm00001d039946	63.5548	84.8921
Os01g0135700	Zm00001d008573	73.4807	64.8781
Os01g0135700	Zm00001d039944	71.8232	66.6667
Os01g0135800	Zm00001d039942	76	76.5101
Os01g0135900	Zm00001d039941	68.0723	68.0723
Os01g0136100	Zm00001d008577	88.6667	85.8064
Os01g0136100	Zm00001d039933	83.3333	81.1688
Os01g0136100	Zm00001d039936	87.3333	86.1842
Os01g0136300	Zm00001d008579	47.4359	51.7483
Os01g0136300	Zm00001d039932	44.8718	50.7246
Os01g0136400	Zm00001d008581	59.7305	61.0092
Os01g0136400	Zm00001d039931	57.7844	45.2521
Os01g0136450	Zm00001d008582	43.0435	39.2857
Os01g0136450	Zm00001d008584	43.4783	42.5532
Os01g0136450	Zm00001d039925	37.3913	37.2294
Os01g0136450	Zm00001d039930	29.5652	32.6923
Os01g0136500	Zm00001d008582	38.8664	38.0952
Os01g0136500	Zm00001d008584	35.2227	37.0213
Os01g0136500	Zm00001d039925	35.2227	37.6623
Os01g0136500	Zm00001d039930	29.1498	34.6154
Os01g0136700	Zm00001d039924	35.2381	38.9474
Os01g0136700	Zm00001d039928	36.5079	40.2098
Os01g0136800	Zm00001d039926	66.967	65.8789
Os01g0137200	Zm00001d008582	40	40.4762
Os01g0137200	Zm00001d008584	40.3922	43.8298
Os01g0137200	Zm00001d039925	32.1569	35.4978
Os01g0137200	Zm00001d039930	25.098	30.7692
Os01g0137250	Zm00001d008586	63.4465	27.5823
Os01g0137400	Zm00001d008585	55.259	54.0707
Os01g0137400	Zm00001d039921	46.6248	57.4468
Os01g0137400	Zm00001d039923	42.0722	78.3626
Os01g0137700	Zm00001d039924	37.9661	39.2982
Os01g0137700	Zm00001d039928	40	41.2587
Os01g0137950	Zm00001d008479	39.7059	45.5056
Os01g0138300	Zm00001d008585	55.1929	57.1429
Os01g0138300	Zm00001d039921	48.2196	62.8627
Os01g0138300	Zm00001d039923	40.5045	79.8246
Os01g0138400	Zm00001d039920	67.9356	68.2353
Os01g0138500	Zm00001d039919	64.1791	63.6095
Os01g0138600	Zm00001d008262	41.6667	28.6885
Os01g0138600	Zm00001d040392	40.4762	25.7576
Os01g0138800	Zm00001d008587	75.174	73.9726
Os01g0138800	Zm00001d031771	73.5499	75.2969
Os01g0138800	Zm00001d031772	74.2459	76.0095
Os01g0138900	Zm00001d008588	77.5785	75.2174
Os01g0138900	Zm00001d039918	79.5964	63.0551
Os01g0139000	Zm00001d008590	29.5775	47.3684
Os01g0139200	Zm00001d003965	14.307	87.2727
Os01g0139200	Zm00001d008591	79.2847	80
Os01g0139200	Zm00001d039916	79.5827	81.0319
Os01g0139600	Zm00001d008592	77.6358	71.8935
Os01g0140100	Zm00001d039910	82.7381	82.4111
Os01g0140400	Zm00001d039911	89.9687	76.2284
Os01g0140500	Zm00001d004528	34.1085	50
Os01g0140500	Zm00001d005753	46.5116	48
Os01g0140500	Zm00001d008594	55.0388	45.2229
Os01g0140500	Zm00001d032087	47.2868	48.8
Os01g0140500	Zm00001d039908	54.2636	44.586
Os01g0140500	Zm00001d040875	47.2868	48.8
Os01g0140500	Zm00001d041360	26.3566	51.5152
Os01g0140500	Zm00001d049904	51.938	41.1043
Os01g0141000	Zm00001d039907	72.8767	70.3704
Os01g0141100	Zm00001d008596	97.3597	64.8352
Os01g0141100	Zm00001d039904	97.6898	68.046
Os01g0141300	Zm00001d008596	69.8745	73.4066
Os01g0141300	Zm00001d039904	69.6653	76.5517
Os01g0141600	Zm00001d039903	68.7307	48.1562
Os01g0141700	Zm00001d008597	76.6724	78.4211
Os01g0141900	Zm00001d008599	16.3366	54.6961
Os01g0141900	Zm00001d039901	85.3135	86.1667
Os01g0142100	Zm00001d039900	71.978	69.1901
Os01g0142200	Zm00001d039899	84.3023	77.1277
Os01g0142300	Zm00001d008600	91.5138	76
Os01g0142500	Zm00001d008602	70.4082	69.2308
Os01g0142500	Zm00001d039893	69.0476	66.7763
Os01g0143100	Zm00001d039884	89.441	87.8049
Os01g0143300	Zm00001d039883	68.1818	71.1462
Os01g0143700	Zm00001d039883	47.4903	48.6166
Os01g0143800	Zm00001d008610	68.7273	68.9781
Os01g0143900	Zm00001d039882	52.0548	20.5405
Os01g0144000	Zm00001d008611	68.2493	88.4615
Os01g0144000	Zm00001d039881	69.1395	87.594
Os01g0144100	Zm00001d008612	77.2727	75.7426
Os01g0144100	Zm00001d028658	23.2323	54.1176
Os01g0144200	Zm00001d008613	85.3211	72.3735
Os01g0144200	Zm00001d039699	50.4587	25.2874
Os01g0144200	Zm00001d039879	91.2844	91.2844
Os01g0144300	Zm00001d039878	63.5015	54.7315
Os01g0144340	Zm00001d008614	88.5154	88.764
Os01g0144500	Zm00001d039875	50.8197	47.8764
Os01g0144600	Zm00001d039874	68	71.2042
Os01g0147001	Zm00001d015179	21.0526	51.4286
Os01g0147200	Zm00001d008617	83.6773	86.9396
Os01g0147200	Zm00001d039871	84.0525	87.8431
Os01g0147300	Zm00001d039870	85.2941	34.6614
Os01g0147700	Zm00001d008618	74.7143	75.6874
Os01g0147700	Zm00001d039867	74.4286	71.9613
Os01g0147800	Zm00001d039866	72.766	55.7912
Os01g0147900	Zm00001d008619	86.166	87.2
Os01g0147900	Zm00001d039865	89.3281	87.2587
Os01g0148000	Zm00001d039860	74.9064	29.8805
Os01g0148050	Zm00001d039860	72.6228	34.6116
Os01g0149600	Zm00001d005789	92.8105	93.4211
Os01g0149600	Zm00001d007084	93.4641	94.0789
Os01g0149600	Zm00001d011236	93.4641	95.3333
Os01g0149600	Zm00001d020580	93.4641	94.702
Os01g0149600	Zm00001d025913	91.5033	93.3333
Os01g0149600	Zm00001d032070	90.1961	92
Os01g0149600	Zm00001d039821	90.1961	92.6174
Os01g0149600	Zm00001d050100	91.5033	93.3333
Os01g0149600	Zm00001d051591	90.8497	90.2597
Os01g0149700	Zm00001d048965	16.3979	38.8535
Os01g0149800	Zm00001d008620	76.8293	76.8293
Os01g0149900	Zm00001d008621	59.2992	60.274
Os01g0149900	Zm00001d039858	47.035	51.3991
Os01g0150000	Zm00001d008622	90.6452	67.3861
Os01g0150100	Zm00001d039856	69.3333	20.2729
Os01g0150400	Zm00001d008623	46.9194	20.7983
Os01g0150500	Zm00001d008623	38.4615	17.8571
Os01g0150800	Zm00001d008623	50.6667	23.9496
Os01g0151100	Zm00001d008624	85.192	85.9779
Os01g0151100	Zm00001d039854	84.0951	85.6611
Os01g0151200	Zm00001d008625	82.5708	81.5054
Os01g0151200	Zm00001d039852	82.3529	83.0769
Os01g0151400	Zm00001d008628	76.6667	21.7274
Os01g0151500	Zm00001d008628	65.2727	48.448
Os01g0151600	Zm00001d039851	85.7542	85.2778
Os01g0151700	Zm00001d039397	49.8442	65.8436
Os01g0151700	Zm00001d039848	85.6698	85.9375
Os01g0151900	Zm00001d008631	72.6592	72.5234
Os01g0152000	Zm00001d013782	63.2864	61.3285
Os01g0152100	Zm00001d018670	32.8976	31.9915
