A0A0P0X5U4	Jaiswal:PITA_000087673-RA
I1QJ08	Jaiswal:PITA_000012452-RA
I1QQP8	Jaiswal:PITA_000004270-RA
I3QK18	Jaiswal:PITA_000029817-RA
O04226	Jaiswal:PITA_000008345-RA
O04882	Jaiswal:PITA_000088212-RA
O22567	Jaiswal:PITA_000016484-RA
O24174	Jaiswal:PITA_000061067-RA
O64422	Jaiswal:PITA_000077665-RA Jaiswal:PITA_000057367-RA
O64437	Jaiswal:PITA_000094377-RA
O82117	Jaiswal:PITA_000030246-RA Jaiswal:PITA_000035352-RA
P0C0X5	Jaiswal:PITA_000003882-RA Jaiswal:PITA_000012975-RA Jaiswal:PITA_000024726-RA Jaiswal:PITA_000046447-RA Jaiswal:PITA_000013100-RA
P0C128	Jaiswal:PITA_000043034-RA Jaiswal:PITA_000020741-RA Jaiswal:PITA_000023688-RA Jaiswal:PITA_000096383-RA Jaiswal:PITA_000062751-RA Jaiswal:PITA_000075724-RA
P0C587	Jaiswal:PITA_000004700-RA
P0C5B2	Jaiswal:PITA_000034331-RA Jaiswal:PITA_000024668-RA
P14654	Jaiswal:PITA_000017720-RA Jaiswal:PITA_000017722-RA
P14656	Jaiswal:PITA_000017720-RA Jaiswal:PITA_000017722-RA
P15280	Jaiswal:PITA_000058870-RA Jaiswal:PITA_000015008-RA Jaiswal:PITA_000052054-RA Jaiswal:PITA_000018806-RA Jaiswal:PITA_000018807-RA
P16081	Jaiswal:PITA_000007611-RA
P17784	Jaiswal:PITA_000027983-RA
P17814	Jaiswal:PITA_000001065-RA Jaiswal:PITA_000037248-RA Jaiswal:PITA_000016723-RA Jaiswal:PITA_000016722-RA Jaiswal:PITA_000016727-RA
P18566	Jaiswal:PITA_000008677-RA Jaiswal:PITA_000009596-RA Jaiswal:PITA_000008676-RA
P37833	Jaiswal:PITA_000035276-RA
P93438	Jaiswal:PITA_000007990-RA Jaiswal:PITA_000007989-RA Jaiswal:PITA_000000114-RA Jaiswal:PITA_000000113-RA
Q01M39	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q05JG2	Jaiswal:PITA_000039601-RA Jaiswal:PITA_000093430-RA Jaiswal:PITA_000047291-RA Jaiswal:PITA_000040347-RA
Q06967	Jaiswal:PITA_000025142-RA Jaiswal:PITA_000068406-RA
Q0D3B6	Jaiswal:PITA_000008946-RA
Q0D3D2	Jaiswal:PITA_000015672-RA
Q0D4G3	Jaiswal:PITA_000032780-RA Jaiswal:PITA_000056298-RA
Q0D7E4	Jaiswal:PITA_000079217-RA Jaiswal:PITA_000006858-RA Jaiswal:PITA_000006851-RA Jaiswal:PITA_000008725-RA Jaiswal:PITA_000048584-RA Jaiswal:PITA_000075058-RA Jaiswal:PITA_000008724-RA Jaiswal:PITA_000095729-RA Jaiswal:PITA_000026495-RA Jaiswal:PITA_000012248-RA Jaiswal:PITA_000089861-RA Jaiswal:PITA_000008720-RA
Q0D7W4	Jaiswal:PITA_000065941-RA
Q0D8I9	Jaiswal:PITA_000022978-RA
Q0D8J6	Jaiswal:PITA_000049047-RA
Q0DAA4	Jaiswal:PITA_000086826-RA Jaiswal:PITA_000020986-RA Jaiswal:PITA_000069437-RA
Q0DBD3	Jaiswal:PITA_000009823-RA
Q0DBF4	Jaiswal:PITA_000037777-RA Jaiswal:PITA_000037776-RA Jaiswal:PITA_000039605-RA
Q0DBN4	Jaiswal:PITA_000041511-RA
Q0DCE9	Jaiswal:PITA_000089483-RA Jaiswal:PITA_000042597-RA Jaiswal:PITA_000081095-RA Jaiswal:PITA_000013086-RA Jaiswal:PITA_000056027-RA
Q0DEC8	Jaiswal:PITA_000002065-RA
Q0DG35	Jaiswal:PITA_000013793-RA Jaiswal:PITA_000009025-RA
Q0DHF6	Jaiswal:PITA_000015672-RA
Q0DKE8	Jaiswal:PITA_000027966-RA Jaiswal:PITA_000027613-RA Jaiswal:PITA_000019549-RA Jaiswal:PITA_000043457-RA
Q0DKP3	Jaiswal:PITA_000005637-RA Jaiswal:PITA_000024873-RA Jaiswal:PITA_000033319-RA
Q0DKY4	Jaiswal:PITA_000007990-RA Jaiswal:PITA_000007989-RA Jaiswal:PITA_000000114-RA Jaiswal:PITA_000000113-RA
Q0DNU1	Jaiswal:PITA_000001713-RA
Q0DSM1	Jaiswal:PITA_000061438-RA Jaiswal:PITA_000063217-RA
Q0DV32	Jaiswal:PITA_000009681-RA Jaiswal:PITA_000058849-RA Jaiswal:PITA_000078975-RA Jaiswal:PITA_000007266-RA Jaiswal:PITA_000009378-RA
Q0DWC7	Jaiswal:PITA_000005269-RA
Q0DWF2	Jaiswal:PITA_000065619-RA
Q0DWH1	Jaiswal:PITA_000043338-RA
Q0DXA9	Jaiswal:PITA_000059166-RA Jaiswal:PITA_000081354-RA Jaiswal:PITA_000057218-RA
Q0DYK7	Jaiswal:PITA_000001952-RA Jaiswal:PITA_000010121-RA
Q0DZE0	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q0E2P9	Jaiswal:PITA_000025276-RA
Q0E2X2	Jaiswal:PITA_000042569-RA Jaiswal:PITA_000005255-RA Jaiswal:PITA_000026170-RA Jaiswal:PITA_000027067-RA Jaiswal:PITA_000078775-RA Jaiswal:PITA_000063382-RA Jaiswal:PITA_000011270-RA Jaiswal:PITA_000018680-RA Jaiswal:PITA_000008165-RA Jaiswal:PITA_000022171-RA Jaiswal:PITA_000086859-RA Jaiswal:PITA_000044319-RA Jaiswal:PITA_000068560-RA Jaiswal:PITA_000035131-RA
Q0E3F2	Jaiswal:PITA_000037743-RA Jaiswal:PITA_000018940-RA
Q0E3J1	Jaiswal:PITA_000086826-RA Jaiswal:PITA_000020986-RA Jaiswal:PITA_000069437-RA
Q0E3L4	Jaiswal:PITA_000076842-RA Jaiswal:PITA_000092504-RA Jaiswal:PITA_000008100-RA
Q0E4N2	Jaiswal:PITA_000038735-RA
Q0ILP7	Jaiswal:PITA_000013718-RA
Q0INY7	Jaiswal:PITA_000008677-RA Jaiswal:PITA_000009596-RA Jaiswal:PITA_000008676-RA
Q0INZ4	Jaiswal:PITA_000010567-RA
Q0IQA5	Jaiswal:PITA_000003882-RA Jaiswal:PITA_000012975-RA Jaiswal:PITA_000024726-RA Jaiswal:PITA_000046447-RA Jaiswal:PITA_000013100-RA
Q0IRE6	Jaiswal:PITA_000016761-RA
Q0IS70	Jaiswal:PITA_000092964-RA Jaiswal:PITA_000095346-RA Jaiswal:PITA_000022940-RA Jaiswal:PITA_000026782-RA Jaiswal:PITA_000068204-RA Jaiswal:PITA_000000261-RA Jaiswal:PITA_000036913-RA Jaiswal:PITA_000095986-RA
Q0ITU1	Jaiswal:PITA_000001789-RA
Q0ITW7	Jaiswal:PITA_000051245-RA Jaiswal:PITA_000004192-RA Jaiswal:PITA_000004184-RA Jaiswal:PITA_000003837-RA Jaiswal:PITA_000003835-RA Jaiswal:PITA_000004182-RA Jaiswal:PITA_000004183-RA Jaiswal:PITA_000035978-RA
Q0IZJ9	Jaiswal:PITA_000003782-RA
Q0IZX5	Jaiswal:PITA_000013002-RA
Q0J0M8	Jaiswal:PITA_000087873-RA Jaiswal:PITA_000008169-RA Jaiswal:PITA_000085787-RA Jaiswal:PITA_000056583-RA Jaiswal:PITA_000052766-RA Jaiswal:PITA_000008172-RA Jaiswal:PITA_000008168-RA Jaiswal:PITA_000036409-RA Jaiswal:PITA_000000098-RA Jaiswal:PITA_000035931-RA Jaiswal:PITA_000028983-RA Jaiswal:PITA_000008170-RA Jaiswal:PITA_000036410-RA
Q0J0N3	Jaiswal:PITA_000047944-RA
Q0J185	Jaiswal:PITA_000039601-RA Jaiswal:PITA_000093430-RA Jaiswal:PITA_000047291-RA Jaiswal:PITA_000040347-RA
Q0J1C1	Jaiswal:PITA_000040227-RA Jaiswal:PITA_000008836-RA Jaiswal:PITA_000008838-RA
Q0J1E1	Jaiswal:PITA_000004820-RA
Q0J270	Jaiswal:PITA_000060299-RA
Q0J2L7	Jaiswal:PITA_000003685-RA Jaiswal:PITA_000079711-RA Jaiswal:PITA_000021257-RA Jaiswal:PITA_000034536-RA
Q0J360	Jaiswal:PITA_000011069-RA Jaiswal:PITA_000090499-RA Jaiswal:PITA_000046783-RA Jaiswal:PITA_000062149-RA Jaiswal:PITA_000074934-RA Jaiswal:PITA_000011068-RA Jaiswal:PITA_000008872-RA Jaiswal:PITA_000008873-RA Jaiswal:PITA_000050242-RA Jaiswal:PITA_000008875-RA Jaiswal:PITA_000039270-RA Jaiswal:PITA_000008876-RA Jaiswal:PITA_000008878-RA Jaiswal:PITA_000055568-RA Jaiswal:PITA_000091248-RA Jaiswal:PITA_000067886-RA
Q0J5Y4	Jaiswal:PITA_000072583-RA
Q0J7P4	Jaiswal:PITA_000058663-RA Jaiswal:PITA_000007908-RA Jaiswal:PITA_000033513-RA
Q0J8A4	Jaiswal:PITA_000019953-RA Jaiswal:PITA_000019954-RA Jaiswal:PITA_000069529-RA
Q0J951	Jaiswal:PITA_000002681-RA
Q0J9F2	Jaiswal:PITA_000088212-RA
Q0J9K2	Jaiswal:PITA_000012139-RA Jaiswal:PITA_000062399-RA
Q0J9Z0	Jaiswal:PITA_000004267-RA
Q0JA81	Jaiswal:PITA_000012766-RA Jaiswal:PITA_000084151-RA Jaiswal:PITA_000009690-RA Jaiswal:PITA_000028918-RA Jaiswal:PITA_000052333-RA
Q0JA82	Jaiswal:PITA_000012766-RA Jaiswal:PITA_000084151-RA Jaiswal:PITA_000009690-RA Jaiswal:PITA_000028918-RA Jaiswal:PITA_000052333-RA
Q0JAI1	Jaiswal:PITA_000065054-RA Jaiswal:PITA_000038969-RA Jaiswal:PITA_000070128-RA
Q0JB49	Jaiswal:PITA_000057500-RA Jaiswal:PITA_000065389-RA Jaiswal:PITA_000066261-RA Jaiswal:PITA_000083403-RA Jaiswal:PITA_000065580-RA Jaiswal:PITA_000009678-RA Jaiswal:PITA_000009679-RA Jaiswal:PITA_000009670-RA Jaiswal:PITA_000009675-RA Jaiswal:PITA_000054714-RA
Q0JB99	Jaiswal:PITA_000040628-RA Jaiswal:PITA_000039502-RA Jaiswal:PITA_000054228-RA Jaiswal:PITA_000086970-RA
Q0JBF1	Jaiswal:PITA_000021785-RA Jaiswal:PITA_000021788-RA
Q0JCZ4	Jaiswal:PITA_000003491-RA Jaiswal:PITA_000003490-RA Jaiswal:PITA_000029231-RA
Q0JDD2	Jaiswal:PITA_000063863-RA
Q0JDF7	Jaiswal:PITA_000003782-RA
Q0JDN5	Jaiswal:PITA_000012772-RA
Q0JDT1	Jaiswal:PITA_000016872-RA
Q0JE53	Jaiswal:PITA_000055978-RA Jaiswal:PITA_000052357-RA Jaiswal:PITA_000018427-RA Jaiswal:PITA_000018423-RA Jaiswal:PITA_000075041-RA Jaiswal:PITA_000052999-RA Jaiswal:PITA_000046625-RA Jaiswal:PITA_000081428-RA Jaiswal:PITA_000015762-RA Jaiswal:PITA_000004391-RA Jaiswal:PITA_000015763-RA Jaiswal:PITA_000018428-RA Jaiswal:PITA_000026172-RA Jaiswal:PITA_000077098-RA Jaiswal:PITA_000016480-RA Jaiswal:PITA_000016479-RA Jaiswal:PITA_000034544-RA Jaiswal:PITA_000010329-RA Jaiswal:PITA_000036419-RA Jaiswal:PITA_000037701-RA Jaiswal:PITA_000073545-RA Jaiswal:PITA_000015764-RA Jaiswal:PITA_000037702-RA
Q0JEK1	Jaiswal:PITA_000053943-RA
Q0JEP5	Jaiswal:PITA_000019732-RA
Q0JEZ8	Jaiswal:PITA_000012766-RA Jaiswal:PITA_000084151-RA Jaiswal:PITA_000009690-RA Jaiswal:PITA_000028918-RA Jaiswal:PITA_000052333-RA
Q0JF02	Jaiswal:PITA_000033455-RA Jaiswal:PITA_000076002-RA Jaiswal:PITA_000073628-RA Jaiswal:PITA_000021130-RA
Q0JF30	Jaiswal:PITA_000005269-RA
Q0JGK4	Jaiswal:PITA_000007469-RA
Q0JIC2	Jaiswal:PITA_000041755-RA Jaiswal:PITA_000011057-RA Jaiswal:PITA_000052231-RA
Q0JJ01	Jaiswal:PITA_000002652-RA
Q0JJI1	Jaiswal:PITA_000008882-RA
Q0JK57	Jaiswal:PITA_000008521-RA
Q0JKD0	Jaiswal:PITA_000013793-RA Jaiswal:PITA_000009025-RA
Q0JKG7	Jaiswal:PITA_000013282-RA Jaiswal:PITA_000013281-RA Jaiswal:PITA_000021061-RA Jaiswal:PITA_000018409-RA Jaiswal:PITA_000016972-RA
Q0JKI9	Jaiswal:PITA_000012344-RA Jaiswal:PITA_000008478-RA
Q0JKY8	Jaiswal:PITA_000032917-RA
Q0JPT4	Jaiswal:PITA_000049159-RA Jaiswal:PITA_000023912-RA Jaiswal:PITA_000064570-RA
Q0JQ41	Jaiswal:PITA_000022177-RA Jaiswal:PITA_000065630-RA Jaiswal:PITA_000035667-RA Jaiswal:PITA_000005729-RA
Q0JR55	Jaiswal:PITA_000018011-RA
Q109F2	Jaiswal:PITA_000095437-RA Jaiswal:PITA_000010264-RA Jaiswal:PITA_000094495-RA Jaiswal:PITA_000048213-RA Jaiswal:PITA_000068819-RA Jaiswal:PITA_000040187-RA Jaiswal:PITA_000079715-RA Jaiswal:PITA_000081970-RA Jaiswal:PITA_000018189-RA Jaiswal:PITA_000019693-RA Jaiswal:PITA_000010409-RA Jaiswal:PITA_000030719-RA Jaiswal:PITA_000010136-RA Jaiswal:PITA_000051298-RA Jaiswal:PITA_000075585-RA Jaiswal:PITA_000023271-RA Jaiswal:PITA_000033627-RA Jaiswal:PITA_000008681-RA Jaiswal:PITA_000010259-RA Jaiswal:PITA_000050150-RA Jaiswal:PITA_000025817-RA Jaiswal:PITA_000060842-RA Jaiswal:PITA_000020966-RA Jaiswal:PITA_000081785-RA Jaiswal:PITA_000005612-RA Jaiswal:PITA_000000975-RA Jaiswal:PITA_000035695-RA Jaiswal:PITA_000061894-RA Jaiswal:PITA_000042245-RA Jaiswal:PITA_000020968-RA Jaiswal:PITA_000054037-RA Jaiswal:PITA_000018194-RA Jaiswal:PITA_000046083-RA Jaiswal:PITA_000066400-RA Jaiswal:PITA_000063794-RA Jaiswal:PITA_000020967-RA Jaiswal:PITA_000019684-RA Jaiswal:PITA_000090431-RA Jaiswal:PITA_000050151-RA Jaiswal:PITA_000013308-RA Jaiswal:PITA_000064037-RA Jaiswal:PITA_000023272-RA Jaiswal:PITA_000081015-RA Jaiswal:PITA_000051406-RA Jaiswal:PITA_000011482-RA Jaiswal:PITA_000025722-RA Jaiswal:PITA_000071810-RA Jaiswal:PITA_000072652-RA Jaiswal:PITA_000072646-RA Jaiswal:PITA_000091958-RA Jaiswal:PITA_000091203-RA Jaiswal:PITA_000027819-RA Jaiswal:PITA_000032176-RA
Q109K4	Jaiswal:PITA_000014872-RA
Q109W9	Jaiswal:PITA_000014872-RA
Q10A30	Jaiswal:PITA_000027983-RA
Q10A97	Jaiswal:PITA_000068948-RA Jaiswal:PITA_000018379-RA Jaiswal:PITA_000036137-RA
Q10BA5	Jaiswal:PITA_000028677-RA
Q10BT5	Jaiswal:PITA_000011643-RA
Q10BX9	Jaiswal:PITA_000017701-RA
Q10CE4	Jaiswal:PITA_000012856-RA
Q10CQ1	Jaiswal:PITA_000015182-RA Jaiswal:PITA_000054661-RA Jaiswal:PITA_000022359-RA Jaiswal:PITA_000006571-RA Jaiswal:PITA_000030980-RA Jaiswal:PITA_000010309-RA Jaiswal:PITA_000010797-RA Jaiswal:PITA_000015487-RA Jaiswal:PITA_000059648-RA Jaiswal:PITA_000022046-RA
Q10CU7	Jaiswal:PITA_000013339-RA
Q10D68	Jaiswal:PITA_000015879-RA
Q10D87	Jaiswal:PITA_000007916-RA
Q10DU0	Jaiswal:PITA_000004029-RA
Q10DZ5	Jaiswal:PITA_000010025-RA Jaiswal:PITA_000053913-RA Jaiswal:PITA_000060911-RA
Q10E50	Jaiswal:PITA_000014204-RA Jaiswal:PITA_000014206-RA Jaiswal:PITA_000014209-RA Jaiswal:PITA_000014207-RA Jaiswal:PITA_000056866-RA Jaiswal:PITA_000071329-RA Jaiswal:PITA_000065245-RA
Q10EG4	Jaiswal:PITA_000022978-RA
Q10F25	Jaiswal:PITA_000001713-RA
Q10FE9	Jaiswal:PITA_000003063-RA
Q10G56	Jaiswal:PITA_000007830-RA
Q10J20	Jaiswal:PITA_000001130-RA
Q10J32	Jaiswal:PITA_000021729-RA Jaiswal:PITA_000021728-RA
Q10JI3	Jaiswal:PITA_000070300-RA Jaiswal:PITA_000015247-RA
Q10L51	Jaiswal:PITA_000042569-RA Jaiswal:PITA_000005255-RA Jaiswal:PITA_000026170-RA Jaiswal:PITA_000027067-RA Jaiswal:PITA_000078775-RA Jaiswal:PITA_000063382-RA Jaiswal:PITA_000011270-RA Jaiswal:PITA_000018680-RA Jaiswal:PITA_000008165-RA Jaiswal:PITA_000022171-RA Jaiswal:PITA_000086859-RA Jaiswal:PITA_000044319-RA Jaiswal:PITA_000068560-RA Jaiswal:PITA_000035131-RA
Q10LR4	Jaiswal:PITA_000016664-RA
Q10LR5	Jaiswal:PITA_000029604-RA Jaiswal:PITA_000010902-RA
Q10MB0	Jaiswal:PITA_000059777-RA Jaiswal:PITA_000065047-RA Jaiswal:PITA_000014707-RA Jaiswal:PITA_000064583-RA Jaiswal:PITA_000081839-RA Jaiswal:PITA_000078692-RA Jaiswal:PITA_000008702-RA Jaiswal:PITA_000008701-RA Jaiswal:PITA_000078356-RA Jaiswal:PITA_000007015-RA Jaiswal:PITA_000049042-RA Jaiswal:PITA_000014704-RA Jaiswal:PITA_000008699-RA Jaiswal:PITA_000069520-RA Jaiswal:PITA_000008698-RA Jaiswal:PITA_000082182-RA Jaiswal:PITA_000062983-RA Jaiswal:PITA_000049213-RA
Q10MB4	Jaiswal:PITA_000038370-RA Jaiswal:PITA_000039303-RA Jaiswal:PITA_000038480-RA
Q10MG9	Jaiswal:PITA_000008046-RA Jaiswal:PITA_000008475-RA Jaiswal:PITA_000038430-RA
Q10MQ2	Jaiswal:PITA_000017955-RA
Q10MS2	Jaiswal:PITA_000050598-RA Jaiswal:PITA_000039197-RA
Q10MW3	Jaiswal:PITA_000015672-RA
Q10MX3	Jaiswal:PITA_000092132-RA Jaiswal:PITA_000016581-RA Jaiswal:PITA_000016580-RA Jaiswal:PITA_000092255-RA
Q10MX9	Jaiswal:PITA_000007413-RA
Q10N34	Jaiswal:PITA_000008946-RA
Q10NY2	Jaiswal:PITA_000058771-RA
Q10PL0	Jaiswal:PITA_000009129-RA Jaiswal:PITA_000009128-RA
Q10QA5	Jaiswal:PITA_000006443-RA Jaiswal:PITA_000065125-RA Jaiswal:PITA_000032414-RA Jaiswal:PITA_000006618-RA
Q10RP2	Jaiswal:PITA_000071411-RA Jaiswal:PITA_000000510-RA
Q10S34	Jaiswal:PITA_000020461-RA
Q10S55	Jaiswal:PITA_000015006-RA Jaiswal:PITA_000023551-RA
Q10S58	Jaiswal:PITA_000074505-RA
Q10S72	Jaiswal:PITA_000069117-RA Jaiswal:PITA_000038992-RA Jaiswal:PITA_000007267-RA Jaiswal:PITA_000007261-RA Jaiswal:PITA_000002470-RA Jaiswal:PITA_000010725-RA Jaiswal:PITA_000085454-RA Jaiswal:PITA_000074449-RA Jaiswal:PITA_000010722-RA Jaiswal:PITA_000019672-RA Jaiswal:PITA_000008745-RA Jaiswal:PITA_000019670-RA
Q10SM6	Jaiswal:PITA_000004562-RA
Q10SU1	Jaiswal:PITA_000012090-RA Jaiswal:PITA_000012092-RA
Q2KNB4	Jaiswal:PITA_000000323-RA
Q2KNB5	Jaiswal:PITA_000000323-RA
Q2MJA7	Jaiswal:PITA_000047944-RA
Q2MJA8	Jaiswal:PITA_000047944-RA
Q2QLJ0	Jaiswal:PITA_000036464-RA Jaiswal:PITA_000001712-RA Jaiswal:PITA_000063340-RA Jaiswal:PITA_000002579-RA Jaiswal:PITA_000087154-RA Jaiswal:PITA_000075942-RA Jaiswal:PITA_000046709-RA Jaiswal:PITA_000073694-RA
Q2QLY5	Jaiswal:PITA_000003298-RA Jaiswal:PITA_000003292-RA Jaiswal:PITA_000013330-RA
Q2QM70	Jaiswal:PITA_000022625-RA
Q2QM83	Jaiswal:PITA_000061254-RA Jaiswal:PITA_000004418-RA
Q2QME6	Jaiswal:PITA_000010352-RA
Q2QNM6	Jaiswal:PITA_000013255-RA Jaiswal:PITA_000064011-RA Jaiswal:PITA_000001587-RA Jaiswal:PITA_000027933-RA Jaiswal:PITA_000036584-RA Jaiswal:PITA_000001578-RA Jaiswal:PITA_000013565-RA Jaiswal:PITA_000011095-RA Jaiswal:PITA_000001588-RA Jaiswal:PITA_000043075-RA Jaiswal:PITA_000082921-RA Jaiswal:PITA_000001581-RA Jaiswal:PITA_000011094-RA Jaiswal:PITA_000052819-RA Jaiswal:PITA_000068878-RA
Q2QNM9	Jaiswal:PITA_000018309-RA Jaiswal:PITA_000001583-RA Jaiswal:PITA_000000377-RA Jaiswal:PITA_000044295-RA Jaiswal:PITA_000077012-RA Jaiswal:PITA_000025659-RA Jaiswal:PITA_000073604-RA Jaiswal:PITA_000013829-RA Jaiswal:PITA_000055991-RA Jaiswal:PITA_000081421-RA
Q2QNS6	Jaiswal:PITA_000011465-RA
Q2QPI2	Jaiswal:PITA_000016761-RA
Q2QPR0	Jaiswal:PITA_000082179-RA Jaiswal:PITA_000094991-RA Jaiswal:PITA_000077002-RA Jaiswal:PITA_000094992-RA
Q2QQ60	Jaiswal:PITA_000086863-RA Jaiswal:PITA_000018756-RA Jaiswal:PITA_000060673-RA
Q2QQJ5	Jaiswal:PITA_000012766-RA Jaiswal:PITA_000084151-RA Jaiswal:PITA_000009690-RA Jaiswal:PITA_000028918-RA Jaiswal:PITA_000052333-RA
Q2QQX6	Jaiswal:PITA_000003491-RA Jaiswal:PITA_000003490-RA Jaiswal:PITA_000029231-RA
Q2QRX6	Jaiswal:PITA_000072266-RA
Q2QS13	Jaiswal:PITA_000005896-RA
Q2QS14	Jaiswal:PITA_000005896-RA
Q2QTJ1	Jaiswal:PITA_000008677-RA Jaiswal:PITA_000009596-RA Jaiswal:PITA_000008676-RA
Q2QTQ1	Jaiswal:PITA_000029684-RA
Q2QUI0	Jaiswal:PITA_000016761-RA
Q2QVC1	Jaiswal:PITA_000009068-RA Jaiswal:PITA_000060377-RA
Q2QWK9	Jaiswal:PITA_000032656-RA
Q2QWV7	Jaiswal:PITA_000040458-RA
Q2QX49	Jaiswal:PITA_000007770-RA Jaiswal:PITA_000000085-RA Jaiswal:PITA_000014512-RA Jaiswal:PITA_000032579-RA
Q2QX58	Jaiswal:PITA_000003730-RA
Q2QXK5	Jaiswal:PITA_000063863-RA
Q2QXP0	Jaiswal:PITA_000061438-RA Jaiswal:PITA_000063217-RA
