A2X747	Jaiswal:Cc06_g14760 Jaiswal:Cc04_g05230
B7F956	Jaiswal:Cc06_g15020 Jaiswal:Cc10_g05370 Jaiswal:Cc06_g22100 Jaiswal:Cc01_g01880
B7F9K3	Jaiswal:Cc06_g05220 Jaiswal:Cc06_g05210 Jaiswal:Cc04_g00180
B7FA34	Jaiswal:Cc04_g06300
B7FA90	Jaiswal:Cc06_g13050
B7FA99	Jaiswal:Cc05_g11710
B7FAE9	Jaiswal:Cc08_g07250
B7FAP2	Jaiswal:Cc00_g14440 Jaiswal:Cc00_g14420 Jaiswal:Cc03_g09220 Jaiswal:Cc00_g28340 Jaiswal:Cc03_g09300 Jaiswal:Cc00_g28330 Jaiswal:Cc03_g09270 Jaiswal:Cc03_g09230 Jaiswal:Cc03_g09310 Jaiswal:Cc03_g09290 Jaiswal:Cc00_g28270 Jaiswal:Cc00_g14400
B8AG62	Jaiswal:Cc02_g09750
B8AHI9	Jaiswal:Cc02_g33710
B8AZ97	Jaiswal:Cc07_g15820 Jaiswal:Cc01_g15030
B8B8K7	Jaiswal:Cc04_g00730
B8BB38	Jaiswal:Cc04_g05040
B8BF84	Jaiswal:Cc11_g06690
B9EUK4	Jaiswal:Cc08_g16330 Jaiswal:Cc02_g39520
B9EXM2	Jaiswal:Cc10_g16400
B9EZJ8	Jaiswal:Cc01_g20250 Jaiswal:Cc01_g20210
B9F3B6	Jaiswal:Cc05_g16560
B9FDB8	Jaiswal:Cc02_g13200
B9FML1	Jaiswal:Cc03_g00430
B9FRT6	Jaiswal:Cc06_g18900
B9FYX6	Jaiswal:Cc09_g08720
B9FZ46	Jaiswal:Cc08_g12940
B9G3A7	Jaiswal:Cc11_g14470
C7IYK7	Jaiswal:Cc05_g11710
C7J0P3	Jaiswal:Cc00_g25840
C7J5F5	Jaiswal:Cc07_g19850 Jaiswal:Cc01_g10860
C7J5T9	Jaiswal:Cc07_g19850 Jaiswal:Cc01_g10860
I1QJ08	Jaiswal:Cc06_g15100
I1QQP8	Jaiswal:Cc11_g15230 Jaiswal:Cc04_g14200
I3QK18	Jaiswal:Cc08_g12070
O04226	Jaiswal:Cc06_g02210 Jaiswal:Cc02_g07340
O04882	Jaiswal:Cc05_g15270 Jaiswal:Cc09_g00220
O22105	Jaiswal:Cc00_g22310
O22567	Jaiswal:Cc03_g02540
O24174	Jaiswal:Cc04_g13600
O24210	Jaiswal:Cc01_g17220
O64422	Jaiswal:Cc06_g01860
O64437	Jaiswal:Cc07_g15530
O82117	Jaiswal:Cc06_g13690 Jaiswal:Cc08_g06390 Jaiswal:Cc07_g04750
P0C0X5	Jaiswal:Cc10_g14830 Jaiswal:Cc09_g03480 Jaiswal:Cc03_g13040 Jaiswal:Cc11_g08680
P0C128	Jaiswal:Cc04_g02510
P0C132	Jaiswal:Cc03_g04670 Jaiswal:Cc02_g30730
P0C587	Jaiswal:Cc02_g20500 Jaiswal:Cc10_g08170
P0C5A4	Jaiswal:Cc04_g04040
P0C5B2	Jaiswal:Cc02_g37000 Jaiswal:Cc02_g03570
P14654	Jaiswal:Cc07_g13290 Jaiswal:Cc04_g05960
P14655	Jaiswal:Cc03_g02940
P14656	Jaiswal:Cc07_g13290 Jaiswal:Cc04_g05960
P15280	Jaiswal:Cc05_g09820
P16081	Jaiswal:Cc00_g12040 Jaiswal:Cc10_g14390
P17784	Jaiswal:Cc05_g15430 Jaiswal:Cc09_g08630 Jaiswal:Cc06_g05320
P17814	Jaiswal:Cc06_g13370 Jaiswal:Cc04_g05510
P18566	Jaiswal:Cc06_g13150 Jaiswal:Cc00_g15710
P30298	Jaiswal:Cc06_g12680
P31924	Jaiswal:Cc06_g12680
P37833	Jaiswal:Cc08_g09040 Jaiswal:Cc06_g09870
P38419	Jaiswal:Cc01_g04060
P42862	Jaiswal:Cc10_g02960
P42863	Jaiswal:Cc10_g02960
P48642	Jaiswal:Cc03_g07600
P93438	Jaiswal:Cc03_g00230
Q01KF3	Jaiswal:Cc04_g07930
Q01M39	Jaiswal:Cc10_g06970 Jaiswal:Cc00_g31530 Jaiswal:Cc07_g14930 Jaiswal:Cc07_g14880 Jaiswal:Cc02_g21310 Jaiswal:Cc10_g07030 Jaiswal:Cc01_g01130 Jaiswal:Cc00_g17110 Jaiswal:Cc07_g14950 Jaiswal:Cc10_g06890 Jaiswal:Cc11_g01640 Jaiswal:Cc10_g06960 Jaiswal:Cc10_g11220 Jaiswal:Cc10_g06940 Jaiswal:Cc10_g06980 Jaiswal:Cc02_g21300 Jaiswal:Cc01_g01120 Jaiswal:Cc02_g21360 Jaiswal:Cc10_g07040 Jaiswal:Cc10_g07000 Jaiswal:Cc10_g06910 Jaiswal:Cc10_g06930 Jaiswal:Cc07_g14940
Q05JG2	Jaiswal:Cc02_g18810 Jaiswal:Cc10_g04140
Q0D3B6	Jaiswal:Cc09_g02330 Jaiswal:Cc06_g03460
Q0D3D2	Jaiswal:Cc06_g01070 Jaiswal:Cc03_g06870
Q0D3F2	Jaiswal:Cc02_g35040
Q0D4G3	Jaiswal:Cc11_g13090 Jaiswal:Cc10_g06330
Q0D759	Jaiswal:Cc04_g11270 Jaiswal:Cc00_g02640 Jaiswal:Cc04_g11210 Jaiswal:Cc00_g02660 Jaiswal:Cc00_g27670 Jaiswal:Cc04_g11250 Jaiswal:Cc06_g22460 Jaiswal:Cc06_g22120 Jaiswal:Cc00_g17240 Jaiswal:Cc05_g06770 Jaiswal:Cc00_g33270 Jaiswal:Cc05_g14770 Jaiswal:Cc08_g07330 Jaiswal:Cc06_g22450 Jaiswal:Cc08_g07950 Jaiswal:Cc00_g18540 Jaiswal:Cc08_g07520 Jaiswal:Cc00_g17250 Jaiswal:Cc06_g22430 Jaiswal:Cc08_g07400 Jaiswal:Cc05_g04010 Jaiswal:Cc03_g15170 Jaiswal:Cc08_g07460 Jaiswal:Cc08_g07370 Jaiswal:Cc05_g05090 Jaiswal:Cc05_g04020 Jaiswal:Cc03_g15150 Jaiswal:Cc06_g22090 Jaiswal:Cc01_g05620 Jaiswal:Cc04_g11300 Jaiswal:Cc00_g02650 Jaiswal:Cc03_g10930 Jaiswal:Cc00_g30530 Jaiswal:Cc08_g07320 Jaiswal:Cc08_g07360 Jaiswal:Cc02_g28250 Jaiswal:Cc08_g07340 Jaiswal:Cc06_g22050 Jaiswal:Cc05_g06760 Jaiswal:Cc06_g22070 Jaiswal:Cc05_g05100 Jaiswal:Cc03_g10990 Jaiswal:Cc00_g06410 Jaiswal:Cc08_g07410 Jaiswal:Cc01_g02610 Jaiswal:Cc00_g06430 Jaiswal:Cc00_g09200 Jaiswal:Cc06_g22080 Jaiswal:Cc00_g17260 Jaiswal:Cc11_g16380 Jaiswal:Cc05_g04040 Jaiswal:Cc00_g06370 Jaiswal:Cc00_g31730 Jaiswal:Cc03_g10940 Jaiswal:Cc05_g05080 Jaiswal:Cc01_g05630 Jaiswal:Cc03_g14110 Jaiswal:Cc03_g10960
Q0D7E4	Jaiswal:Cc00_g16360 Jaiswal:Cc10_g12410 Jaiswal:Cc04_g05050 Jaiswal:Cc10_g12390 Jaiswal:Cc10_g12370
Q0D7J0	Jaiswal:Cc11_g03130 Jaiswal:Cc11_g03080 Jaiswal:Cc01_g06490 Jaiswal:Cc03_g09630 Jaiswal:Cc02_g30770 Jaiswal:Cc03_g09610 Jaiswal:Cc11_g03140 Jaiswal:Cc01_g13570 Jaiswal:Cc11_g03100 Jaiswal:Cc09_g08130
Q0D7J3	Jaiswal:Cc11_g03130 Jaiswal:Cc11_g03080 Jaiswal:Cc01_g06490 Jaiswal:Cc03_g09630 Jaiswal:Cc02_g30770 Jaiswal:Cc03_g09610 Jaiswal:Cc11_g03140 Jaiswal:Cc01_g13570 Jaiswal:Cc11_g03100 Jaiswal:Cc09_g08130
Q0D7W4	Jaiswal:Cc02_g31750
Q0D8I9	Jaiswal:Cc00_g20760
Q0D8J6	Jaiswal:Cc05_g10210
Q0D980	Jaiswal:Cc05_g13940
Q0DA35	Jaiswal:Cc05_g04850
Q0DAA4	Jaiswal:Cc09_g05420 Jaiswal:Cc00_g29250
Q0DBD3	Jaiswal:Cc11_g13900
Q0DBF4	Jaiswal:Cc10_g03710 Jaiswal:Cc00_g28260
Q0DBN4	Jaiswal:Cc05_g08500
Q0DCE9	Jaiswal:Cc03_g03670 Jaiswal:Cc03_g03660
Q0DDS1	Jaiswal:Cc11_g11100
Q0DEC8	Jaiswal:Cc02_g01480
Q0DG35	Jaiswal:Cc02_g01700
Q0DGG8	Jaiswal:Cc05_g14780 Jaiswal:Cc06_g11160
Q0DHF6	Jaiswal:Cc06_g01070 Jaiswal:Cc03_g06870
Q0DJJ9	Jaiswal:Cc09_g05060 Jaiswal:Cc09_g05080
Q0DJT2	Jaiswal:Cc06_g10140
Q0DKE8	Jaiswal:Cc11_g15530 Jaiswal:Cc04_g11870
Q0DKP3	Jaiswal:Cc07_g01170 Jaiswal:Cc01_g20300
Q0DKY4	Jaiswal:Cc03_g00230
Q0DNU1	Jaiswal:Cc04_g00300 Jaiswal:Cc10_g08500 Jaiswal:Cc02_g20830 Jaiswal:Cc02_g20800
Q0DS76	Jaiswal:Cc03_g16320
Q0DSM1	Jaiswal:Cc00_g25840
Q0DV32	Jaiswal:Cc06_g04280
Q0DWC7	Jaiswal:Cc03_g05070 Jaiswal:Cc02_g09070
Q0DWF2	Jaiswal:Cc03_g06400 Jaiswal:Cc01_g17790
Q0DWH1	Jaiswal:Cc01_g17660
Q0DXA9	Jaiswal:Cc00_g08410 Jaiswal:Cc04_g15100 Jaiswal:Cc04_g15110 Jaiswal:Cc00_g08400 Jaiswal:Cc00_g15300
Q0DY86	Jaiswal:Cc02_g14680
Q0DYK7	Jaiswal:Cc06_g06880 Jaiswal:Cc02_g09250 Jaiswal:Cc09_g10860
Q0DZE0	Jaiswal:Cc02_g11230 Jaiswal:Cc00_g20750 Jaiswal:Cc01_g10880 Jaiswal:Cc06_g03980
Q0E2P1	Jaiswal:Cc04_g02130
Q0E2P9	Jaiswal:Cc08_g10820
Q0E2X2	Jaiswal:Cc06_g04650 Jaiswal:Cc08_g07140 Jaiswal:Cc02_g19070 Jaiswal:Cc06_g04640 Jaiswal:Cc06_g04680 Jaiswal:Cc02_g24770 Jaiswal:Cc03_g10580
Q0E3F2	Jaiswal:Cc06_g13490
Q0E3J1	Jaiswal:Cc09_g05420 Jaiswal:Cc00_g29250
Q0E3L4	Jaiswal:Cc05_g01440
Q0E4F0	Jaiswal:Cc02_g17020 Jaiswal:Cc09_g09420
Q0E4N2	Jaiswal:Cc02_g09750
Q0ILP7	Jaiswal:Cc10_g08010 Jaiswal:Cc10_g08000
Q0INY7	Jaiswal:Cc06_g13150 Jaiswal:Cc00_g15710
Q0INZ4	Jaiswal:Cc05_g10510
Q0IPE5	Jaiswal:Cc11_g02350
Q0IQ89	Jaiswal:Cc01_g02130
Q0IQA5	Jaiswal:Cc10_g14830 Jaiswal:Cc09_g03480 Jaiswal:Cc03_g13040 Jaiswal:Cc11_g08680
Q0IQQ5	Jaiswal:Cc06_g00800 Jaiswal:Cc06_g00790
Q0IRE6	Jaiswal:Cc02_g32590
Q0IS70	Jaiswal:Cc05_g11710
Q0ITU1	Jaiswal:Cc06_g12340
Q0ITW7	Jaiswal:Cc07_g18190 Jaiswal:Cc01_g17340 Jaiswal:Cc07_g18150 Jaiswal:Cc10_g12960
Q0IZJ9	Jaiswal:Cc01_g09780
Q0IZS0	Jaiswal:Cc11_g08770
Q0IZX5	Jaiswal:Cc07_g11360 Jaiswal:Cc10_g01090
Q0J0M8	Jaiswal:Cc10_g00230 Jaiswal:Cc07_g12220
Q0J0N3	Jaiswal:Cc02_g24030 Jaiswal:Cc08_g13180 Jaiswal:Cc00_g27010
Q0J185	Jaiswal:Cc02_g18810 Jaiswal:Cc10_g04140
Q0J1C1	Jaiswal:Cc09_g01110 Jaiswal:Cc00_g25170 Jaiswal:Cc05_g02900 Jaiswal:Cc05_g02890
Q0J1E1	Jaiswal:Cc01_g02770
Q0J270	Jaiswal:Cc02_g23640 Jaiswal:Cc00_g15900 Jaiswal:Cc00_g15920
Q0J2L7	Jaiswal:Cc01_g13400
Q0J360	Jaiswal:Cc08_g10760 Jaiswal:Cc08_g10740 Jaiswal:Cc06_g06110 Jaiswal:Cc04_g13060 Jaiswal:Cc06_g06080 Jaiswal:Cc08_g10750
Q0J5Y4	Jaiswal:Cc04_g15800 Jaiswal:Cc04_g13930 Jaiswal:Cc00_g30150
Q0J7P4	Jaiswal:Cc06_g03510
Q0J8A4	Jaiswal:Cc11_g16510 Jaiswal:Cc07_g00460
Q0J951	Jaiswal:Cc05_g00510 Jaiswal:Cc09_g08740
Q0J9F2	Jaiswal:Cc05_g15270 Jaiswal:Cc09_g00220
Q0J9K2	Jaiswal:Cc04_g04590
Q0J9Z0	Jaiswal:Cc09_g01640
Q0JA81	Jaiswal:Cc08_g07540 Jaiswal:Cc08_g07420
Q0JA82	Jaiswal:Cc08_g07540 Jaiswal:Cc08_g07420
Q0JAI1	Jaiswal:Cc04_g05820
Q0JB49	Jaiswal:Cc08_g14600
Q0JB91	Jaiswal:Cc02_g04590
Q0JB99	Jaiswal:Cc02_g04740 Jaiswal:Cc08_g11910
Q0JBF1	Jaiswal:Cc08_g12930
Q0JC10	Jaiswal:Cc07_g04840 Jaiswal:Cc06_g14280
Q0JCU7	Jaiswal:Cc07_g06010
Q0JCZ4	Jaiswal:Cc00_g12260
Q0JDD2	Jaiswal:Cc06_g05880
Q0JDF7	Jaiswal:Cc01_g09780
Q0JDN5	Jaiswal:Cc02_g08270
Q0JDT1	Jaiswal:Cc09_g03200
Q0JE53	Jaiswal:Cc10_g06970 Jaiswal:Cc00_g31530 Jaiswal:Cc07_g14930 Jaiswal:Cc07_g14880 Jaiswal:Cc02_g21310 Jaiswal:Cc10_g07030 Jaiswal:Cc01_g01130 Jaiswal:Cc00_g17110 Jaiswal:Cc07_g14950 Jaiswal:Cc10_g06890 Jaiswal:Cc11_g01640 Jaiswal:Cc10_g06960 Jaiswal:Cc10_g11220 Jaiswal:Cc10_g06940 Jaiswal:Cc10_g06980 Jaiswal:Cc02_g21300 Jaiswal:Cc01_g01120 Jaiswal:Cc02_g21360 Jaiswal:Cc10_g07040 Jaiswal:Cc10_g07000 Jaiswal:Cc10_g06910 Jaiswal:Cc10_g06930 Jaiswal:Cc07_g14940
Q0JEK1	Jaiswal:Cc00_g10470
Q0JEP5	Jaiswal:Cc02_g10950
Q0JEZ8	Jaiswal:Cc08_g07540 Jaiswal:Cc08_g07420
Q0JF02	Jaiswal:Cc00_g17280 Jaiswal:Cc00_g16820 Jaiswal:Cc00_g31970 Jaiswal:Cc08_g07480 Jaiswal:Cc08_g07530
Q0JF25	Jaiswal:Cc08_g08420 Jaiswal:Cc00_g29870 Jaiswal:Cc00_g18060 Jaiswal:Cc08_g06630 Jaiswal:Cc08_g08060 Jaiswal:Cc08_g08080 Jaiswal:Cc08_g06130 Jaiswal:Cc02_g05380 Jaiswal:Cc08_g08430
Q0JF26	Jaiswal:Cc08_g08420 Jaiswal:Cc00_g29870 Jaiswal:Cc00_g18060 Jaiswal:Cc08_g06630 Jaiswal:Cc08_g08060 Jaiswal:Cc08_g08080 Jaiswal:Cc08_g06130 Jaiswal:Cc02_g05380 Jaiswal:Cc08_g08430
Q0JF30	Jaiswal:Cc03_g05070 Jaiswal:Cc02_g09070
Q0JGK4	Jaiswal:Cc10_g16060
Q0JIC2	Jaiswal:Cc01_g13090 Jaiswal:Cc01_g07440
Q0JIR6	Jaiswal:Cc02_g17890 Jaiswal:Cc10_g03380
Q0JJ01	Jaiswal:Cc05_g01250 Jaiswal:Cc09_g06750
Q0JJI1	Jaiswal:Cc07_g02250
Q0JJV0	Jaiswal:Cc07_g03020
Q0JK57	Jaiswal:Cc04_g06300
Q0JKD0	Jaiswal:Cc02_g01700
Q0JKG7	Jaiswal:Cc06_g10040 Jaiswal:Cc04_g02890 Jaiswal:Cc07_g07780 Jaiswal:Cc10_g08190
Q0JKI9	Jaiswal:Cc02_g14070
Q0JKY8	Jaiswal:Cc11_g14720 Jaiswal:Cc07_g02160
Q0JLT2	Jaiswal:Cc04_g01870
Q0JPT4	Jaiswal:Cc05_g10900 Jaiswal:Cc02_g15790
Q0JQ41	Jaiswal:Cc09_g07310
Q0JR55	Jaiswal:Cc11_g09310
Q0JRG4	Jaiswal:Cc07_g01110
Q109F2	Jaiswal:Cc11_g06200 Jaiswal:Cc07_g10360
Q109K4	Jaiswal:Cc02_g12460
Q109W9	Jaiswal:Cc02_g12460
Q10A30	Jaiswal:Cc05_g15430 Jaiswal:Cc09_g08630 Jaiswal:Cc06_g05320
Q10B63	Jaiswal:Cc03_g01580
Q10BA5	Jaiswal:Cc06_g01690
Q10BT5	Jaiswal:Cc01_g02510 Jaiswal:Cc02_g26810
Q10BX9	Jaiswal:Cc00_g09970
Q10CE4	Jaiswal:Cc05_g10170
Q10CH5	Jaiswal:Cc01_g17430
Q10CQ1	Jaiswal:Cc00_g02800 Jaiswal:Cc07_g04450 Jaiswal:Cc11_g11710
Q10CS9	Jaiswal:Cc09_g07140
Q10CU7	Jaiswal:Cc04_g12410
Q10D34	Jaiswal:Cc03_g04670 Jaiswal:Cc02_g30730
Q10D68	Jaiswal:Cc00_g10930
Q10D87	Jaiswal:Cc01_g15650
Q10DK7	Jaiswal:Cc07_g07490
Q10DU0	Jaiswal:Cc02_g36930
Q10E50	Jaiswal:Cc06_g22200
Q10EG4	Jaiswal:Cc00_g20760
Q10F04	Jaiswal:Cc08_g03790
Q10F25	Jaiswal:Cc04_g00300 Jaiswal:Cc10_g08500 Jaiswal:Cc02_g20830 Jaiswal:Cc02_g20800
Q10FE9	Jaiswal:Cc07_g11450
Q10G56	Jaiswal:Cc00_g12600
Q10HZ6	Jaiswal:Cc08_g08420 Jaiswal:Cc00_g29870 Jaiswal:Cc00_g18060 Jaiswal:Cc08_g06630 Jaiswal:Cc08_g08060 Jaiswal:Cc08_g08080 Jaiswal:Cc08_g06130 Jaiswal:Cc02_g05380 Jaiswal:Cc08_g08430
Q10J20	Jaiswal:Cc07_g06720 Jaiswal:Cc07_g06710
Q10J32	Jaiswal:Cc04_g13390 Jaiswal:Cc04_g13430
Q10JI3	Jaiswal:Cc07_g04270 Jaiswal:Cc11_g11930
Q10L51	Jaiswal:Cc06_g04650 Jaiswal:Cc08_g07140 Jaiswal:Cc02_g19070 Jaiswal:Cc06_g04640 Jaiswal:Cc06_g04680 Jaiswal:Cc02_g24770 Jaiswal:Cc03_g10580
Q10L56	Jaiswal:Cc01_g19740
Q10LP5	Jaiswal:Cc06_g12680
Q10LR4	Jaiswal:Cc07_g15820 Jaiswal:Cc01_g15030
Q10LR5	Jaiswal:Cc01_g21120
Q10M76	Jaiswal:Cc00_g08990
Q10MB0	Jaiswal:Cc02_g35340 Jaiswal:Cc02_g35330 Jaiswal:Cc02_g35360 Jaiswal:Cc02_g35350 Jaiswal:Cc11_g15250 Jaiswal:Cc03_g00450
Q10MB4	Jaiswal:Cc00_g21210 Jaiswal:Cc02_g12210
Q10ME8	Jaiswal:Cc02_g35200
Q10MG9	Jaiswal:Cc03_g00790
Q10MK2	Jaiswal:Cc03_g01930
Q10MK5	Jaiswal:Cc10_g15890
Q10MQ2	Jaiswal:Cc10_g06220
Q10MS2	Jaiswal:Cc02_g05990
Q10MW3	Jaiswal:Cc06_g01070 Jaiswal:Cc03_g06870
Q10MX3	Jaiswal:Cc01_g14420
Q10MX9	Jaiswal:Cc02_g06400
Q10N17	Jaiswal:Cc01_g11680
Q10N34	Jaiswal:Cc09_g02330 Jaiswal:Cc06_g03460
Q10NY1	Jaiswal:Cc09_g02040 Jaiswal:Cc09_g02030
Q10NY2	Jaiswal:Cc04_g04670
Q10P01	Jaiswal:Cc11_g04320 Jaiswal:Cc08_g11730
Q10P67	Jaiswal:Cc03_g11000
Q10PL0	Jaiswal:Cc07_g07510 Jaiswal:Cc10_g07820
Q10PY7	Jaiswal:Cc06_g16970
Q10QA5	Jaiswal:Cc10_g05740
Q10QN3	Jaiswal:Cc02_g21250
Q10QR9	Jaiswal:Cc10_g03990
Q10RP2	Jaiswal:Cc02_g11190 Jaiswal:Cc02_g11200
Q10S34	Jaiswal:Cc05_g13840 Jaiswal:Cc05_g04630
Q10S55	Jaiswal:Cc02_g22990
Q10S58	Jaiswal:Cc07_g11640
Q10S72	Jaiswal:Cc10_g00840
Q10SD6	Jaiswal:Cc04_g12170 Jaiswal:Cc07_g01950
Q10SL7	Jaiswal:Cc00_g24160
Q10SM6	Jaiswal:Cc02_g37880
Q10SP1	Jaiswal:Cc02_g39620
Q10SU1	Jaiswal:Cc02_g07310
Q10T43	Jaiswal:Cc08_g12250
Q25AR2	Jaiswal:Cc03_g03750
Q2KNB4	Jaiswal:Cc01_g06200
Q2KNB5	Jaiswal:Cc01_g06200
Q2MJA7	Jaiswal:Cc02_g24030 Jaiswal:Cc08_g13180 Jaiswal:Cc00_g27010
Q2MJA8	Jaiswal:Cc02_g24030 Jaiswal:Cc08_g13180 Jaiswal:Cc00_g27010
Q2QLJ0	Jaiswal:Cc02_g28080
Q2QLQ1	Jaiswal:Cc06_g13590 Jaiswal:Cc06_g13600
Q2QLY5	Jaiswal:Cc06_g07310
Q2QLY6	Jaiswal:Cc02_g01880 Jaiswal:Cc02_g01890
Q2QM47	Jaiswal:Cc01_g07810
Q2QM70	Jaiswal:Cc01_g18950 Jaiswal:Cc03_g04440
Q2QM83	Jaiswal:Cc11_g13750 Jaiswal:Cc04_g17240
Q2QMD4	Jaiswal:Cc05_g16310
Q2QME6	Jaiswal:Cc01_g19150 Jaiswal:Cc03_g04100
Q2QMK8	Jaiswal:Cc07_g08210
Q2QN06	Jaiswal:Cc10_g05650
Q2QN58	Jaiswal:Cc07_g03760
Q2QN88	Jaiswal:Cc11_g11910 Jaiswal:Cc03_g11190
Q2QNF7	Jaiswal:Cc06_g03070
Q2QNM9	Jaiswal:Cc00_g30760
Q2QNN5	Jaiswal:Cc01_g04060
Q2QNS6	Jaiswal:Cc03_g16110
Q2QPI2	Jaiswal:Cc02_g32590
Q2QPR0	Jaiswal:Cc02_g11230 Jaiswal:Cc00_g20750 Jaiswal:Cc01_g10880 Jaiswal:Cc06_g03980
Q2QQJ5	Jaiswal:Cc08_g07540 Jaiswal:Cc08_g07420
Q2QQX6	Jaiswal:Cc00_g12260
Q2QR54	Jaiswal:Cc00_g35920 Jaiswal:Cc03_g00850 Jaiswal:Cc09_g00540
Q2QRX6	Jaiswal:Cc10_g02530
Q2QS13	Jaiswal:Cc07_g03990 Jaiswal:Cc11_g12180 Jaiswal:Cc00_g28540
Q2QS14	Jaiswal:Cc07_g03990 Jaiswal:Cc11_g12180 Jaiswal:Cc00_g28540
Q2QTJ1	Jaiswal:Cc06_g13150 Jaiswal:Cc00_g15710
Q2QTL0	Jaiswal:Cc04_g11340
Q2QTQ1	Jaiswal:Cc02_g08840
Q2QUG4	Jaiswal:Cc06_g13160
Q2QUI0	Jaiswal:Cc02_g32590
Q2QVC1	Jaiswal:Cc00_g12840
Q2QWD0	Jaiswal:Cc00_g12170 Jaiswal:Cc00_g12180 Jaiswal:Cc00_g20770 Jaiswal:Cc01_g04660 Jaiswal:Cc08_g08370 Jaiswal:Cc00_g12160 Jaiswal:Cc05_g01360 Jaiswal:Cc01_g04680
Q2QWK9	Jaiswal:Cc02_g22780
Q2QWV7	Jaiswal:Cc09_g02090
Q2QX49	Jaiswal:Cc07_g19540
Q2QX58	Jaiswal:Cc10_g11850
Q2QXB1	Jaiswal:Cc03_g13070
Q2QXK5	Jaiswal:Cc06_g05880
Q2QXL0	Jaiswal:Cc01_g09290
Q2QXP0	Jaiswal:Cc00_g25840
Q2QXY1	Jaiswal:Cc06_g18590
Q2QXY9	Jaiswal:Cc04_g12930
Q2QXZ1	Jaiswal:Cc02_g28370 Jaiswal:Cc06_g18940 Jaiswal:Cc02_g28400 Jaiswal:Cc02_g28420 Jaiswal:Cc02_g28390 Jaiswal:Cc06_g18950 Jaiswal:Cc00_g02190 Jaiswal:Cc04_g16960
Q2QY63	Jaiswal:Cc00_g28470 Jaiswal:Cc02_g28770 Jaiswal:Cc00_g27460
Q2QYB7	Jaiswal:Cc01_g07600
