A2XPN8	Ensembl:TRIUR3_05247
P15280	Ensembl:TRIUR3_26024
P16081	Ensembl:TRIUR3_23501 Ensembl:TRIUR3_13249
P17784	Ensembl:TRIUR3_22960 Ensembl:TRIUR3_09015 Ensembl:TRIUR3_24109
P18566	Ensembl:TRIUR3_33919 Ensembl:TRIUR3_10382 Ensembl:TRIUR3_10383 Ensembl:TRIUR3_10380 Ensembl:TRIUR3_10381 Ensembl:TRIUR3_12281 Ensembl:TRIUR3_00607 Ensembl:TRIUR3_14686 Ensembl:TRIUR3_14685
P30298	Ensembl:TRIUR3_31258
P31924	Ensembl:TRIUR3_26666
P37833	Ensembl:TRIUR3_04934
P42862	Ensembl:TRIUR3_04725
P42863	Ensembl:TRIUR3_04725
P48642	Ensembl:TRIUR3_05417
P93438	Ensembl:TRIUR3_27001 Ensembl:TRIUR3_22199 Ensembl:TRIUR3_32466
P93844	Ensembl:TRIUR3_26199
Q01KF3	Ensembl:TRIUR3_07246
Q01M39	Ensembl:TRIUR3_16503 Ensembl:TRIUR3_16504
Q05JG2	Ensembl:TRIUR3_31706
Q06967	Ensembl:TRIUR3_15699
Q0D3B6	Ensembl:TRIUR3_10399
Q0D3D2	Ensembl:TRIUR3_06071
Q0D3T5	Ensembl:TRIUR3_28383
Q0D4G3	Ensembl:TRIUR3_07543
Q0D5H9	Ensembl:TRIUR3_32389
Q0D7E4	Ensembl:TRIUR3_25165
Q0D7W4	Ensembl:TRIUR3_34182 Ensembl:TRIUR3_33231
Q0DAA4	Ensembl:TRIUR3_03709
Q0DAE1	Ensembl:TRIUR3_23215
Q0DAJ3	Ensembl:TRIUR3_17960
Q0DAZ7	Ensembl:TRIUR3_13021
Q0DBF4	Ensembl:TRIUR3_30716 Ensembl:TRIUR3_19324
Q0DBN4	Ensembl:TRIUR3_21520
Q0DDS1	Ensembl:TRIUR3_29109
Q0DEC8	Ensembl:TRIUR3_07809
Q0DG18	Ensembl:TRIUR3_26343
Q0DGG8	Ensembl:TRIUR3_06700
Q0DGS1	Ensembl:TRIUR3_14814
Q0DHT1	Ensembl:TRIUR3_04236
Q0DJJ9	Ensembl:TRIUR3_17556 Ensembl:TRIUR3_10916
Q0DJT2	Ensembl:TRIUR3_28486
Q0DKE8	Ensembl:TRIUR3_05015
Q0DKM0	Ensembl:TRIUR3_11881
Q0DKP3	Ensembl:TRIUR3_32567
Q0DN31	Ensembl:TRIUR3_17173 Ensembl:TRIUR3_16716
Q0DNU1	Ensembl:TRIUR3_23258
Q0DS96	Ensembl:TRIUR3_26675
Q0DSM1	Ensembl:TRIUR3_16318
Q0DV32	Ensembl:TRIUR3_14392
Q0DWC7	Ensembl:TRIUR3_15269
Q0DWF2	Ensembl:TRIUR3_01945
Q0DWH1	Ensembl:TRIUR3_03555
Q0DXM9	Ensembl:TRIUR3_21048
Q0DYK7	Ensembl:TRIUR3_32236
Q0E079	Ensembl:TRIUR3_29652
Q0E2P1	Ensembl:TRIUR3_35364
Q0E2P9	Ensembl:TRIUR3_25359
Q0E3F2	Ensembl:TRIUR3_20665 Ensembl:TRIUR3_04880
Q0E3J1	Ensembl:TRIUR3_31446
Q0E3L4	Ensembl:TRIUR3_29008
Q0E4F0	Ensembl:TRIUR3_05465
Q0E4H0	Ensembl:TRIUR3_10081
Q0ILR7	Ensembl:TRIUR3_31513
Q0IMS8	Ensembl:TRIUR3_25110
Q0INY7	Ensembl:TRIUR3_33919 Ensembl:TRIUR3_10382 Ensembl:TRIUR3_10383 Ensembl:TRIUR3_10380 Ensembl:TRIUR3_10381 Ensembl:TRIUR3_12281 Ensembl:TRIUR3_00607 Ensembl:TRIUR3_14686 Ensembl:TRIUR3_14685
Q0IPE5	Ensembl:TRIUR3_01440
Q0IPF7	Ensembl:TRIUR3_12384 Ensembl:TRIUR3_00065
Q0IQ89	Ensembl:TRIUR3_24888
Q0IQQ5	Ensembl:TRIUR3_22008 Ensembl:TRIUR3_10197
Q0ISY7	Ensembl:TRIUR3_17264 Ensembl:TRIUR3_14072
Q0ITU1	Ensembl:TRIUR3_18098
Q0ITW7	Ensembl:TRIUR3_17048 Ensembl:TRIUR3_19763 Ensembl:TRIUR3_35434 Ensembl:TRIUR3_33291
Q0IU28	Ensembl:TRIUR3_06721
Q0IUG8	Ensembl:TRIUR3_32764
Q0IZR4	Ensembl:TRIUR3_33431
Q0IZS0	Ensembl:TRIUR3_26799
Q0IZX5	Ensembl:TRIUR3_30139
Q0J0M8	Ensembl:TRIUR3_23784
Q0J0N3	Ensembl:TRIUR3_33938
Q0J0P1	Ensembl:TRIUR3_08597
Q0J185	Ensembl:TRIUR3_26102
Q0J1C1	Ensembl:TRIUR3_13552
Q0J1E1	Ensembl:TRIUR3_26712
Q0J1V2	Ensembl:TRIUR3_20728
Q0J268	Ensembl:TRIUR3_10299
Q0J360	Ensembl:TRIUR3_08959
Q0J484	Ensembl:TRIUR3_33485
Q0J7P4	Ensembl:TRIUR3_11916
Q0J7U6	Ensembl:TRIUR3_31282
Q0J7W9	Ensembl:TRIUR3_13395
Q0J8A4	Ensembl:TRIUR3_31021
Q0J8X6	Ensembl:TRIUR3_01484
Q0J951	Ensembl:TRIUR3_22410
Q0J9K2	Ensembl:TRIUR3_12521
Q0J9Z0	Ensembl:TRIUR3_19951
Q0JAQ3	Ensembl:TRIUR3_01836
Q0JB49	Ensembl:TRIUR3_07893
Q0JB91	Ensembl:TRIUR3_07325
Q0JBZ8	Ensembl:TRIUR3_30868
Q0JC10	Ensembl:TRIUR3_07278
Q0JCU7	Ensembl:TRIUR3_07455
Q0JCZ4	Ensembl:TRIUR3_33501
Q0JDD2	Ensembl:TRIUR3_33715
Q0JDF7	Ensembl:TRIUR3_31120 Ensembl:TRIUR3_21529
Q0JDN5	Ensembl:TRIUR3_25347
Q0JDT1	Ensembl:TRIUR3_24272
Q0JE53	Ensembl:TRIUR3_16503 Ensembl:TRIUR3_16504
Q0JEK1	Ensembl:TRIUR3_34494
Q0JEP5	Ensembl:TRIUR3_15914
Q0JEX4	Ensembl:TRIUR3_06927
Q0JEZ8	Ensembl:TRIUR3_04997
Q0JF02	Ensembl:TRIUR3_14293 Ensembl:TRIUR3_04998 Ensembl:TRIUR3_04995 Ensembl:TRIUR3_09801 Ensembl:TRIUR3_04717
Q0JF30	Ensembl:TRIUR3_11874
Q0JGK4	Ensembl:TRIUR3_34276
Q0JHN3	Ensembl:TRIUR3_35106
Q0JI87	Ensembl:TRIUR3_15995
Q0JIG6	Ensembl:TRIUR3_31257
Q0JIJ8	Ensembl:TRIUR3_17684
Q0JIR8	Ensembl:TRIUR3_09511
Q0JJ01	Ensembl:TRIUR3_32324
Q0JJI1	Ensembl:TRIUR3_24874
Q0JJV0	Ensembl:TRIUR3_11159
Q0JKI9	Ensembl:TRIUR3_24520
Q0JKX2	Ensembl:TRIUR3_26006
Q0JKY8	Ensembl:TRIUR3_25537
Q0JLT2	Ensembl:TRIUR3_35215
Q0JP37	Ensembl:TRIUR3_31797
Q0JP90	Ensembl:TRIUR3_13265
Q0JPS3	Ensembl:TRIUR3_28457
Q0JPT4	Ensembl:TRIUR3_13720
Q0JQ41	Ensembl:TRIUR3_11174 Ensembl:TRIUR3_08817
Q0JR06	Ensembl:TRIUR3_09345
Q0JR55	Ensembl:TRIUR3_08324
Q0JRG4	Ensembl:TRIUR3_05441
Q109F2	Ensembl:TRIUR3_26112
Q109K4	Ensembl:TRIUR3_30576
Q10A30	Ensembl:TRIUR3_22960 Ensembl:TRIUR3_09015 Ensembl:TRIUR3_24109
Q10B63	Ensembl:TRIUR3_20506
Q10BT5	Ensembl:TRIUR3_19272
Q10BX9	Ensembl:TRIUR3_12859
Q10CE4	Ensembl:TRIUR3_22574
Q10CH5	Ensembl:TRIUR3_14996
Q10CU7	Ensembl:TRIUR3_01928
Q10DK7	Ensembl:TRIUR3_27350
Q10DU0	Ensembl:TRIUR3_07855
Q10DZ5	Ensembl:TRIUR3_08156 Ensembl:TRIUR3_05968
Q10E50	Ensembl:TRIUR3_22972
Q10EG4	Ensembl:TRIUR3_23191
Q10F25	Ensembl:TRIUR3_15386
Q10FE9	Ensembl:TRIUR3_17180
Q10G56	Ensembl:TRIUR3_12086
Q10H87	Ensembl:TRIUR3_12539
Q10J20	Ensembl:TRIUR3_19792
Q10J32	Ensembl:TRIUR3_12153
Q10L50	Ensembl:TRIUR3_07367
Q10LR4	Ensembl:TRIUR3_23613
Q10LR5	Ensembl:TRIUR3_29680
Q10MB0	Ensembl:TRIUR3_29787
Q10MK2	Ensembl:TRIUR3_14003
Q10MK5	Ensembl:TRIUR3_08071
Q10MQ2	Ensembl:TRIUR3_12486 Ensembl:TRIUR3_16316
Q10MW3	Ensembl:TRIUR3_30579
Q10MX3	Ensembl:TRIUR3_21196
Q10MX9	Ensembl:TRIUR3_27574
Q10N17	Ensembl:TRIUR3_28693 Ensembl:TRIUR3_16522
Q10N34	Ensembl:TRIUR3_12156
Q10N92	Ensembl:TRIUR3_35154
Q10NY2	Ensembl:TRIUR3_32601
Q10P01	Ensembl:TRIUR3_29237 Ensembl:TRIUR3_25420
Q10P67	Ensembl:TRIUR3_26268
Q10PE7	Ensembl:TRIUR3_19862
Q10PL0	Ensembl:TRIUR3_12582
Q10PY7	Ensembl:TRIUR3_10334
Q10QN3	Ensembl:TRIUR3_30796
Q10QR9	Ensembl:TRIUR3_22388
Q10R90	Ensembl:TRIUR3_04470
Q10S34	Ensembl:TRIUR3_04030
Q10S55	Ensembl:TRIUR3_07251
Q10S58	Ensembl:TRIUR3_23824
Q10S67	Ensembl:TRIUR3_15464
Q10SD6	Ensembl:TRIUR3_06236
Q10SL7	Ensembl:TRIUR3_09744
Q10SM6	Ensembl:TRIUR3_08175 Ensembl:TRIUR3_29893
Q10SP1	Ensembl:TRIUR3_08693 Ensembl:TRIUR3_13186
Q10SU1	Ensembl:TRIUR3_01231
Q25AR2	Ensembl:TRIUR3_13128 Ensembl:TRIUR3_05533
Q2KNB4	Ensembl:TRIUR3_25155
Q2KNB5	Ensembl:TRIUR3_16323
Q2MJA7	Ensembl:TRIUR3_27964
Q2QLJ0	Ensembl:TRIUR3_09265 Ensembl:TRIUR3_11060 Ensembl:TRIUR3_03973
Q2QLY5	Ensembl:TRIUR3_07672
Q2QM47	Ensembl:TRIUR3_18470
Q2QM70	Ensembl:TRIUR3_06455 Ensembl:TRIUR3_06654
Q2QM83	Ensembl:TRIUR3_30938
Q2QMD4	Ensembl:TRIUR3_09866
Q2QME6	Ensembl:TRIUR3_24552
Q2QMK8	Ensembl:TRIUR3_27325
Q2QNN5	Ensembl:TRIUR3_26398 Ensembl:TRIUR3_08083
Q2QNS6	Ensembl:TRIUR3_15876
Q2QPH4	Ensembl:TRIUR3_11580
Q2QR54	Ensembl:TRIUR3_33403
Q2QRX6	Ensembl:TRIUR3_06844
Q2QTJ1	Ensembl:TRIUR3_33919 Ensembl:TRIUR3_10382 Ensembl:TRIUR3_10383 Ensembl:TRIUR3_10380 Ensembl:TRIUR3_10381 Ensembl:TRIUR3_12281 Ensembl:TRIUR3_00607 Ensembl:TRIUR3_14686 Ensembl:TRIUR3_14685
Q2QTQ1	Ensembl:TRIUR3_33018
Q2QUG4	Ensembl:TRIUR3_32501
Q2QUI0	Ensembl:TRIUR3_18437
Q2QVC1	Ensembl:TRIUR3_07046
Q2QWK9	Ensembl:TRIUR3_28209
Q2QWV7	Ensembl:TRIUR3_14688 Ensembl:TRIUR3_14687
Q2QX49	Ensembl:TRIUR3_27618
Q2QX58	Ensembl:TRIUR3_31868
Q2QXB1	Ensembl:TRIUR3_11128
Q2QXK5	Ensembl:TRIUR3_15164
Q2QXL0	Ensembl:TRIUR3_26264
Q2QXP0	Ensembl:TRIUR3_35036
Q2QXY1	Ensembl:TRIUR3_26717
Q2QXZ1	Ensembl:TRIUR3_31802
Q2QY63	Ensembl:TRIUR3_22058
Q2QYB7	Ensembl:TRIUR3_30911
Q2QZ14	Ensembl:TRIUR3_15171
Q2R0P3	Ensembl:TRIUR3_31702
Q2R1D5	Ensembl:TRIUR3_34887
Q2R1G8	Ensembl:TRIUR3_11516
Q2R1L4	Ensembl:TRIUR3_34505
Q2R222	Ensembl:TRIUR3_06886
Q2R2W1	Ensembl:TRIUR3_33988
Q2R2W2	Ensembl:TRIUR3_35084
Q2R2W3	Ensembl:TRIUR3_23077
Q2R339	Ensembl:TRIUR3_21374
Q2R3K5	Ensembl:TRIUR3_17029
Q2R4Y8	Ensembl:TRIUR3_14534 Ensembl:TRIUR3_03943
Q2R8T7	Ensembl:TRIUR3_02078
Q2RA11	Ensembl:TRIUR3_01160
Q2RAP0	Ensembl:TRIUR3_26717
Q2RAP4	Ensembl:TRIUR3_35246
Q2RAW4	Ensembl:TRIUR3_23630
Q2RAW8	Ensembl:TRIUR3_29152
Q2RB23	Ensembl:TRIUR3_30911
Q2RBN0	Ensembl:TRIUR3_11584
Q2RBP2	Ensembl:TRIUR3_20916
Q2V0P1	Ensembl:TRIUR3_19111
Q336M7	Ensembl:TRIUR3_05944
Q336N7	Ensembl:TRIUR3_22495
Q336R7	Ensembl:TRIUR3_09608
Q336V3	Ensembl:TRIUR3_31308
Q337F0	Ensembl:TRIUR3_25844
Q337F3	Ensembl:TRIUR3_12750
Q337H3	Ensembl:TRIUR3_18009
Q338J0	Ensembl:TRIUR3_26802
Q338N7	Ensembl:TRIUR3_07393
Q338N8	Ensembl:TRIUR3_23427
Q338Z4	Ensembl:TRIUR3_14617
Q33CD9	Ensembl:TRIUR3_07367
Q40704	Ensembl:TRIUR3_34584
Q40710	Ensembl:TRIUR3_24943 Ensembl:TRIUR3_24942 Ensembl:TRIUR3_15601 Ensembl:TRIUR3_33493
Q42971	Ensembl:TRIUR3_10258 Ensembl:TRIUR3_23356
Q43007	Ensembl:TRIUR3_09822
Q43009	Ensembl:TRIUR3_12925
Q43011	Ensembl:TRIUR3_05036 Ensembl:TRIUR3_27580
Q4W8D0	Ensembl:TRIUR3_18166
Q52QH4	Ensembl:TRIUR3_04332
Q52RG7	Ensembl:TRIUR3_09166
Q53Q70	Ensembl:TRIUR3_26264
Q5CCK1	Ensembl:TRIUR3_35246
Q5CCK3	Ensembl:TRIUR3_29045
Q5JJV0	Ensembl:TRIUR3_09908 Ensembl:TRIUR3_08289 Ensembl:TRIUR3_02734 Ensembl:TRIUR3_02735 Ensembl:TRIUR3_08287
Q5JK18	Ensembl:TRIUR3_17753
Q5JK20	Ensembl:TRIUR3_02890 Ensembl:TRIUR3_17755
Q5JK39	Ensembl:TRIUR3_21922 Ensembl:TRIUR3_31572
Q5JLS4	Ensembl:TRIUR3_23316 Ensembl:TRIUR3_08121
Q5JMA6	Ensembl:TRIUR3_25770
Q5JMB6	Ensembl:TRIUR3_23734
Q5JMC7	Ensembl:TRIUR3_08389
Q5JME6	Ensembl:TRIUR3_04684
Q5JMM1	Ensembl:TRIUR3_35254
Q5JMT5	Ensembl:TRIUR3_06515 Ensembl:TRIUR3_00298
Q5JMX5	Ensembl:TRIUR3_29163
Q5JMX9	Ensembl:TRIUR3_21426
Q5JN19	Ensembl:TRIUR3_10088
Q5JN42	Ensembl:TRIUR3_24044
Q5JN63	Ensembl:TRIUR3_20486
Q5JNS0	Ensembl:TRIUR3_32308
Q5KS47	Ensembl:TRIUR3_31317
Q5MBR3	Ensembl:TRIUR3_23884
Q5MBR5	Ensembl:TRIUR3_20365
Q5N725	Ensembl:TRIUR3_22960 Ensembl:TRIUR3_09015 Ensembl:TRIUR3_24109
Q5N7C7	Ensembl:TRIUR3_12645
Q5N9A1	Ensembl:TRIUR3_31834
Q5N9N2	Ensembl:TRIUR3_29031
Q5N9Z8	Ensembl:TRIUR3_13438
Q5NAY4	Ensembl:TRIUR3_21528
Q5NBQ1	Ensembl:TRIUR3_15114
Q5NBT9	Ensembl:TRIUR3_28390
Q5NTH3	Ensembl:TRIUR3_24527
Q5NTH4	Ensembl:TRIUR3_16372
Q5QLG3	Ensembl:TRIUR3_33344
Q5SND7	Ensembl:TRIUR3_27418
Q5U9F2	Ensembl:TRIUR3_13761
Q5VN31	Ensembl:TRIUR3_18316
Q5VNP5	Ensembl:TRIUR3_25793 Ensembl:TRIUR3_30942
Q5VNT9	Ensembl:TRIUR3_12371
Q5VNW0	Ensembl:TRIUR3_25169
Q5VPH2	Ensembl:TRIUR3_22587 Ensembl:TRIUR3_14335
Q5VQG4	Ensembl:TRIUR3_24841
Q5VQG8	Ensembl:TRIUR3_28891 Ensembl:TRIUR3_06775
Q5VRB9	Ensembl:TRIUR3_27398
Q5VRH4	Ensembl:TRIUR3_03010
Q5VRM7	Ensembl:TRIUR3_06881
Q5VRR0	Ensembl:TRIUR3_27315
Q5W6D6	Ensembl:TRIUR3_04352
Q5W6F1	Ensembl:TRIUR3_14225 Ensembl:TRIUR3_27214
Q5W6F9	Ensembl:TRIUR3_32631
Q5W6W7	Ensembl:TRIUR3_10529
Q5XLJ2	Ensembl:TRIUR3_21374
Q5Z5B7	Ensembl:TRIUR3_33626
Q5Z5R4	Ensembl:TRIUR3_30716 Ensembl:TRIUR3_19324
Q5Z749	Ensembl:TRIUR3_27590
Q5Z7R3	Ensembl:TRIUR3_12836
Q5Z8K3	Ensembl:TRIUR3_02091
Q5Z8S0	Ensembl:TRIUR3_18938
Q5Z8T3	Ensembl:TRIUR3_27642
Q5Z8V9	Ensembl:TRIUR3_33807
Q5Z8Y4	Ensembl:TRIUR3_12743
Q5ZCV1	Ensembl:TRIUR3_23296
Q5ZED1	Ensembl:TRIUR3_25686
Q60EC0	Ensembl:TRIUR3_22935
Q60EH4	Ensembl:TRIUR3_31653
Q60EI7	Ensembl:TRIUR3_19053
Q60EX6	Ensembl:TRIUR3_34430
Q652A8	Ensembl:TRIUR3_25331
Q652S1	Ensembl:TRIUR3_07773
Q653U3	Ensembl:TRIUR3_32597
Q655T1	Ensembl:TRIUR3_25098
Q655W2	Ensembl:TRIUR3_06352
Q655Y9	Ensembl:TRIUR3_08419
Q656F1	Ensembl:TRIUR3_01682
Q657X7	Ensembl:TRIUR3_01678
Q65X70	Ensembl:TRIUR3_09699
Q65XL7	Ensembl:TRIUR3_26298
Q65XM9	Ensembl:TRIUR3_05408
Q65XR9	Ensembl:TRIUR3_04112
Q67TS4	Ensembl:TRIUR3_34928
Q67UX0	Ensembl:TRIUR3_09189
Q67UZ8	Ensembl:TRIUR3_04009
Q67VM1	Ensembl:TRIUR3_11469
Q67VR7	Ensembl:TRIUR3_07147
Q67W82	Ensembl:TRIUR3_01324
Q67WK8	Ensembl:TRIUR3_22184 Ensembl:TRIUR3_34996
Q688Q8	Ensembl:TRIUR3_25790
Q688Q9	Ensembl:TRIUR3_26030
Q688T8	Ensembl:TRIUR3_17989
Q688Y2	Ensembl:TRIUR3_15578
Q689G6	Ensembl:TRIUR3_22572
Q689G9	Ensembl:TRIUR3_17509
Q69IU0	Ensembl:TRIUR3_29141
Q69K00	Ensembl:TRIUR3_08309
Q69KW1	Ensembl:TRIUR3_15011
Q69LG7	Ensembl:TRIUR3_31277
Q69MC9	Ensembl:TRIUR3_11786
Q69P84	Ensembl:TRIUR3_16580
Q69QD7	Ensembl:TRIUR3_31118
Q69RG7	Ensembl:TRIUR3_29434 Ensembl:TRIUR3_24275 Ensembl:TRIUR3_34851
Q69T90	Ensembl:TRIUR3_18240
Q69T99	Ensembl:TRIUR3_20430
Q69TF4	Ensembl:TRIUR3_25789
Q69TW5	Ensembl:TRIUR3_23754
Q69U93	Ensembl:TRIUR3_13631
Q69UU3	Ensembl:TRIUR3_10219
Q69UX2	Ensembl:TRIUR3_25335 Ensembl:TRIUR3_26186
Q69V57	Ensembl:TRIUR3_09302
Q69XQ6	Ensembl:TRIUR3_30017
Q69XS7	Ensembl:TRIUR3_08424
Q6ASV4	Ensembl:TRIUR3_34245
Q6ASW7	Ensembl:TRIUR3_19264 Ensembl:TRIUR3_29937
Q6AT26	Ensembl:TRIUR3_02601 Ensembl:TRIUR3_32842
Q6AT32	Ensembl:TRIUR3_03489
Q6AT33	Ensembl:TRIUR3_04561
Q6AT43	Ensembl:TRIUR3_16486
Q6AT75	Ensembl:TRIUR3_05514 Ensembl:TRIUR3_33728 Ensembl:TRIUR3_02507 Ensembl:TRIUR3_02506 Ensembl:TRIUR3_06949
Q6AUB0	Ensembl:TRIUR3_05399
Q6AUV1	Ensembl:TRIUR3_34332
Q6AVG6	Ensembl:TRIUR3_33302
Q6AVM5	Ensembl:TRIUR3_06726
Q6AVT2	Ensembl:TRIUR3_20996
Q6EP31	Ensembl:TRIUR3_25424
Q6EP59	Ensembl:TRIUR3_19411 Ensembl:TRIUR3_18230
Q6EPN6	Ensembl:TRIUR3_23143
Q6EPR6	Ensembl:TRIUR3_27787
Q6EPY7	Ensembl:TRIUR3_14035
Q6EPZ2	Ensembl:TRIUR3_16803 Ensembl:TRIUR3_16802
Q6EQW2	Ensembl:TRIUR3_28264
Q6ERL4	Ensembl:TRIUR3_05294
Q6ERR3	Ensembl:TRIUR3_22255
Q6ES51	Ensembl:TRIUR3_15548
Q6ESZ9	Ensembl:TRIUR3_04772
Q6ET36	Ensembl:TRIUR3_05842 Ensembl:TRIUR3_33367 Ensembl:TRIUR3_13579
Q6ETD3	Ensembl:TRIUR3_31966 Ensembl:TRIUR3_33324 Ensembl:TRIUR3_17075 Ensembl:TRIUR3_31496 Ensembl:TRIUR3_22744 Ensembl:TRIUR3_14756 Ensembl:TRIUR3_31705 Ensembl:TRIUR3_11712 Ensembl:TRIUR3_23554
Q6ETN1	Ensembl:TRIUR3_04882
Q6ETN3	Ensembl:TRIUR3_22492
Q6ETX4	Ensembl:TRIUR3_25558
Q6EUF1	Ensembl:TRIUR3_06803
Q6EUS6	Ensembl:TRIUR3_11617
Q6F354	Ensembl:TRIUR3_29084
Q6F361	Ensembl:TRIUR3_21621
Q6H3Z6	Ensembl:TRIUR3_23250
Q6H415	Ensembl:TRIUR3_21270
Q6H4G3	Ensembl:TRIUR3_34323
Q6H513	Ensembl:TRIUR3_26638
Q6H5Z4	Ensembl:TRIUR3_20204
Q6H6C7	Ensembl:TRIUR3_19903
Q6H6D2	Ensembl:TRIUR3_11491
Q6H6P8	Ensembl:TRIUR3_33460
Q6H703	Ensembl:TRIUR3_33766
Q6H713	Ensembl:TRIUR3_17947
Q6H765	Ensembl:TRIUR3_33972
Q6H7M1	Ensembl:TRIUR3_12626
Q6H7Q6	Ensembl:TRIUR3_14904
Q6H849	Ensembl:TRIUR3_34663 Ensembl:TRIUR3_27712
Q6H851	Ensembl:TRIUR3_29137
Q6I581	Ensembl:TRIUR3_31351
Q6I5C3	Ensembl:TRIUR3_23584
Q6IEQ7	Ensembl:TRIUR3_17462
Q6IVC3	Ensembl:TRIUR3_16094
Q6K1S6	Ensembl:TRIUR3_12301 Ensembl:TRIUR3_12302
Q6K1X7	Ensembl:TRIUR3_25722
Q6K209	Ensembl:TRIUR3_06094 Ensembl:TRIUR3_01070 Ensembl:TRIUR3_01078 Ensembl:TRIUR3_05728 Ensembl:TRIUR3_12504
Q6K2E1	Ensembl:TRIUR3_18744
Q6K2E8	Ensembl:TRIUR3_22832
Q6K306	Ensembl:TRIUR3_10531
Q6K3T2	Ensembl:TRIUR3_34359
Q6K3Z3	Ensembl:TRIUR3_01665 Ensembl:TRIUR3_29749
Q6K4V9	Ensembl:TRIUR3_21553
Q6K5G8	Ensembl:TRIUR3_34401
Q6K5U4	Ensembl:TRIUR3_17192
Q6K678	Ensembl:TRIUR3_15960
Q6K6Q1	Ensembl:TRIUR3_10540
Q6K755	Ensembl:TRIUR3_24006 Ensembl:TRIUR3_22782
Q6K8E2	Ensembl:TRIUR3_18749
Q6K8J4	Ensembl:TRIUR3_09100
Q6K8R6	Ensembl:TRIUR3_16236
Q6K973	Ensembl:TRIUR3_10346
Q6K9B8	Ensembl:TRIUR3_06972
Q6K9M5	Ensembl:TRIUR3_27884
Q6K9N6	Ensembl:TRIUR3_14587
Q6KAJ2	Ensembl:TRIUR3_17749
Q6L4H5	Ensembl:TRIUR3_10776
Q6L4L4	Ensembl:TRIUR3_20593
Q6L506	Ensembl:TRIUR3_04035
Q6L545	Ensembl:TRIUR3_31106
Q6L8G1	Ensembl:TRIUR3_23155 Ensembl:TRIUR3_23154
Q6Q9I2	Ensembl:TRIUR3_21876
Q6YPG5	Ensembl:TRIUR3_01271
Q6YSF8	Ensembl:TRIUR3_32546 Ensembl:TRIUR3_30777 Ensembl:TRIUR3_16382
Q6YT73	Ensembl:TRIUR3_02269
Q6YU51	Ensembl:TRIUR3_15079 Ensembl:TRIUR3_29464
Q6YU90	Ensembl:TRIUR3_20270
Q6YUI8	Ensembl:TRIUR3_01178
Q6YUS0	Ensembl:TRIUR3_06310
