A0A0P0X5U4	Jaiswal:GAKM01128495.1
A3BIR7	Jaiswal:GAKM01081448.1 Jaiswal:GAKM01088376.1 Jaiswal:GAKM01010523.1 Jaiswal:GAKM01068232.1 Jaiswal:GAKM01122635.1 Jaiswal:GAKM01104880.1 Jaiswal:GAKM01079274.1 Jaiswal:GAKM01042159.1 Jaiswal:GAKM01000723.1 Jaiswal:GAKM01039520.1 Jaiswal:GAKM01020382.1 Jaiswal:GAKM01014373.1 Jaiswal:GAKM01109322.1 Jaiswal:GAKM01132475.1
A3BJI8	Jaiswal:GAKM01092447.1 Jaiswal:GAKM01034582.1 Jaiswal:GAKM01087533.1 Jaiswal:GAKM01091953.1 Jaiswal:GAKM01072878.1 Jaiswal:GAKM01002604.1 Jaiswal:GAKM01120334.1 Jaiswal:GAKM01030532.1 Jaiswal:GAKM01110987.1 Jaiswal:GAKM01020515.1 Jaiswal:GAKM01050233.1 Jaiswal:GAKM01122534.1 Jaiswal:GAKM01136475.1 Jaiswal:GAKM01123486.1 Jaiswal:GAKM01132379.1
A3C4N5	Jaiswal:GAKM01134323.1
A3C6G9	Jaiswal:GAKM01017160.1
A4LBC0	Jaiswal:GAKM01055679.1 Jaiswal:GAKM01020810.1
B7E8M5	Jaiswal:GAKM01120980.1 Jaiswal:GAKM01049080.1
B7EA04	Jaiswal:GAKM01126071.1 Jaiswal:GAKM01114452.1
B7EJ81	Jaiswal:GAKM01117115.1 Jaiswal:GAKM01134092.1 Jaiswal:GAKM01000190.1 Jaiswal:GAKM01004109.1 Jaiswal:GAKM01111344.1
B7F4K3	Jaiswal:GAKM01041825.1 Jaiswal:GAKM01036407.1 Jaiswal:GAKM01128024.1
B7F7B9	Jaiswal:GAKM01044906.1 Jaiswal:GAKM01082551.1 Jaiswal:GAKM01050109.1 Jaiswal:GAKM01082317.1 Jaiswal:GAKM01064630.1 Jaiswal:GAKM01022748.1
B7F8T0	Jaiswal:GAKM01117079.1 Jaiswal:GAKM01044305.1
B7F956	Jaiswal:GAKM01091593.1
B7F9K3	Jaiswal:GAKM01041825.1 Jaiswal:GAKM01036407.1 Jaiswal:GAKM01128024.1
B7FA34	Jaiswal:GAKM01119068.1 Jaiswal:GAKM01130092.1 Jaiswal:GAKM01026767.1 Jaiswal:GAKM01074772.1
B7FA90	Jaiswal:GAKM01042617.1 Jaiswal:GAKM01000719.1 Jaiswal:GAKM01092382.1 Jaiswal:GAKM01041888.1
B7FA99	Jaiswal:GAKM01099535.1 Jaiswal:GAKM01017254.1 Jaiswal:GAKM01086410.1 Jaiswal:GAKM01044416.1 Jaiswal:GAKM01044846.1 Jaiswal:GAKM01065078.1 Jaiswal:GAKM01088610.1 Jaiswal:GAKM01088151.1
B7FAP2	Jaiswal:GAKM01069096.1 Jaiswal:GAKM01072250.1 Jaiswal:GAKM01090591.1 Jaiswal:GAKM01036009.1 Jaiswal:GAKM01051784.1 Jaiswal:GAKM01019734.1 Jaiswal:GAKM01025642.1 Jaiswal:GAKM01074921.1 Jaiswal:GAKM01032487.1 Jaiswal:GAKM01067362.1 Jaiswal:GAKM01134432.1 Jaiswal:GAKM01049886.1 Jaiswal:GAKM01053719.1 Jaiswal:GAKM01084074.1 Jaiswal:GAKM01135726.1
B8ACC6	Jaiswal:GAKM01049188.1 Jaiswal:GAKM01021585.1
B8AG62	Jaiswal:GAKM01062326.1 Jaiswal:GAKM01126574.1 Jaiswal:GAKM01137014.1
B8AHI9	Jaiswal:GAKM01056156.1 Jaiswal:GAKM01083764.1 Jaiswal:GAKM01059497.1 Jaiswal:GAKM01073311.1
B8AZ97	Jaiswal:GAKM01099635.1 Jaiswal:GAKM01029912.1 Jaiswal:GAKM01129002.1 Jaiswal:GAKM01042928.1
B8B8K7	Jaiswal:GAKM01110368.1 Jaiswal:GAKM01065720.1
B8BB38	Jaiswal:GAKM01134730.1 Jaiswal:GAKM01037940.1 Jaiswal:GAKM01110061.1 Jaiswal:GAKM01040550.1 Jaiswal:GAKM01041179.1 Jaiswal:GAKM01050472.1
B8BF84	Jaiswal:GAKM01104928.1 Jaiswal:GAKM01126127.1 Jaiswal:GAKM01064472.1 Jaiswal:GAKM01069424.1 Jaiswal:GAKM01059908.1 Jaiswal:GAKM01026183.1
B9EUK4	Jaiswal:GAKM01136829.1
B9EXM2	Jaiswal:GAKM01009090.1 Jaiswal:GAKM01013680.1
B9EZJ8	Jaiswal:GAKM01026337.1 Jaiswal:GAKM01110452.1 Jaiswal:GAKM01028308.1 Jaiswal:GAKM01023691.1 Jaiswal:GAKM01098995.1 Jaiswal:GAKM01025990.1
B9F3B6	Jaiswal:GAKM01044325.1
B9F8T8	Jaiswal:GAKM01012644.1
B9FDB8	Jaiswal:GAKM01093438.1 Jaiswal:GAKM01055153.1
B9FRT6	Jaiswal:GAKM01096569.1 Jaiswal:GAKM01046935.1
C7IYK7	Jaiswal:GAKM01099535.1 Jaiswal:GAKM01017254.1 Jaiswal:GAKM01086410.1 Jaiswal:GAKM01044416.1 Jaiswal:GAKM01044846.1 Jaiswal:GAKM01065078.1 Jaiswal:GAKM01088610.1 Jaiswal:GAKM01088151.1
C7J0P3	Jaiswal:GAKM01036502.1 Jaiswal:GAKM01041083.1 Jaiswal:GAKM01017816.1 Jaiswal:GAKM01042201.1 Jaiswal:GAKM01001970.1 Jaiswal:GAKM01136329.1
C7J5F5	Jaiswal:GAKM01083363.1 Jaiswal:GAKM01011609.1 Jaiswal:GAKM01032958.1 Jaiswal:GAKM01133233.1 Jaiswal:GAKM01127672.1 Jaiswal:GAKM01094478.1
C7J5T9	Jaiswal:GAKM01083363.1 Jaiswal:GAKM01011609.1 Jaiswal:GAKM01032958.1 Jaiswal:GAKM01133233.1 Jaiswal:GAKM01127672.1 Jaiswal:GAKM01094478.1
E3WF37	Jaiswal:GAKM01037843.1 Jaiswal:GAKM01035064.1 Jaiswal:GAKM01049993.1
H6TFZ4	Jaiswal:GAKM01093868.1 Jaiswal:GAKM01057824.1
I1QJ08	Jaiswal:GAKM01060013.1 Jaiswal:GAKM01057292.1
I1QQP8	Jaiswal:GAKM01102866.1 Jaiswal:GAKM01134241.1 Jaiswal:GAKM01132846.1 Jaiswal:GAKM01048963.1
I3QK18	Jaiswal:GAKM01006637.1
O04226	Jaiswal:GAKM01019807.1 Jaiswal:GAKM01018293.1 Jaiswal:GAKM01077648.1
O04882	Jaiswal:GAKM01040105.1 Jaiswal:GAKM01094766.1 Jaiswal:GAKM01011140.1 Jaiswal:GAKM01016936.1
O22105	Jaiswal:GAKM01052195.1 Jaiswal:GAKM01090732.1
O22567	Jaiswal:GAKM01103543.1 Jaiswal:GAKM01002845.1
O24174	Jaiswal:GAKM01069557.1
O24210	Jaiswal:GAKM01077285.1
O64422	Jaiswal:GAKM01123211.1 Jaiswal:GAKM01015820.1
O64437	Jaiswal:GAKM01034905.1
O82117	Jaiswal:GAKM01027418.1 Jaiswal:GAKM01132648.1 Jaiswal:GAKM01112766.1 Jaiswal:GAKM01122256.1 Jaiswal:GAKM01108651.1 Jaiswal:GAKM01079139.1 Jaiswal:GAKM01098285.1 Jaiswal:GAKM01088094.1
P0C0X5	Jaiswal:GAKM01093740.1 Jaiswal:GAKM01026554.1 Jaiswal:GAKM01098734.1 Jaiswal:GAKM01071647.1 Jaiswal:GAKM01117962.1 Jaiswal:GAKM01053616.1
P0C128	Jaiswal:GAKM01108763.1 Jaiswal:GAKM01108040.1 Jaiswal:GAKM01019252.1 Jaiswal:GAKM01031476.1 Jaiswal:GAKM01006982.1 Jaiswal:GAKM01017847.1 Jaiswal:GAKM01103987.1 Jaiswal:GAKM01069401.1 Jaiswal:GAKM01067594.1 Jaiswal:GAKM01098405.1 Jaiswal:GAKM01022120.1 Jaiswal:GAKM01097416.1
P0C129	Jaiswal:GAKM01042242.1 Jaiswal:GAKM01132598.1
P0C132	Jaiswal:GAKM01076724.1 Jaiswal:GAKM01009028.1 Jaiswal:GAKM01051370.1 Jaiswal:GAKM01051722.1 Jaiswal:GAKM01006997.1 Jaiswal:GAKM01031332.1 Jaiswal:GAKM01002633.1 Jaiswal:GAKM01105678.1
P0C587	Jaiswal:GAKM01037445.1 Jaiswal:GAKM01062953.1 Jaiswal:GAKM01094929.1 Jaiswal:GAKM01107956.1 Jaiswal:GAKM01118636.1 Jaiswal:GAKM01117451.1 Jaiswal:GAKM01027516.1
P0C5A4	Jaiswal:GAKM01080593.1
P0C5B2	Jaiswal:GAKM01009523.1 Jaiswal:GAKM01114049.1 Jaiswal:GAKM01082051.1 Jaiswal:GAKM01047331.1 Jaiswal:GAKM01097915.1
P14654	Jaiswal:GAKM01019799.1
P14655	Jaiswal:GAKM01123707.1
P14656	Jaiswal:GAKM01019799.1
P15280	Jaiswal:GAKM01060815.1 Jaiswal:GAKM01126202.1
P16081	Jaiswal:GAKM01114850.1 Jaiswal:GAKM01002676.1
P17784	Jaiswal:GAKM01035893.1 Jaiswal:GAKM01128906.1 Jaiswal:GAKM01067255.1 Jaiswal:GAKM01124342.1 Jaiswal:GAKM01030644.1
P17814	Jaiswal:GAKM01053743.1
P18566	Jaiswal:GAKM01132883.1 Jaiswal:GAKM01004080.1 Jaiswal:GAKM01056877.1 Jaiswal:GAKM01099333.1 Jaiswal:GAKM01079452.1 Jaiswal:GAKM01040101.1 Jaiswal:GAKM01127926.1
P30298	Jaiswal:GAKM01107269.1 Jaiswal:GAKM01131133.1 Jaiswal:GAKM01007133.1 Jaiswal:GAKM01043349.1
P31924	Jaiswal:GAKM01107269.1 Jaiswal:GAKM01131133.1 Jaiswal:GAKM01007133.1 Jaiswal:GAKM01043349.1
P37833	Jaiswal:GAKM01079562.1 Jaiswal:GAKM01085144.1
P38419	Jaiswal:GAKM01117634.1 Jaiswal:GAKM01010241.1
P42862	Jaiswal:GAKM01032174.1 Jaiswal:GAKM01126733.1 Jaiswal:GAKM01066509.1
P42863	Jaiswal:GAKM01032174.1 Jaiswal:GAKM01126733.1 Jaiswal:GAKM01066509.1
P48642	Jaiswal:GAKM01046073.1 Jaiswal:GAKM01081342.1
P93438	Jaiswal:GAKM01066624.1 Jaiswal:GAKM01070582.1 Jaiswal:GAKM01043378.1 Jaiswal:GAKM01013457.1
Q01KF3	Jaiswal:GAKM01025153.1
Q01M39	Jaiswal:GAKM01093130.1 Jaiswal:GAKM01031126.1 Jaiswal:GAKM01120117.1 Jaiswal:GAKM01004836.1 Jaiswal:GAKM01092379.1 Jaiswal:GAKM01105223.1 Jaiswal:GAKM01011792.1 Jaiswal:GAKM01006618.1 Jaiswal:GAKM01106491.1 Jaiswal:GAKM01123310.1 Jaiswal:GAKM01027029.1 Jaiswal:GAKM01017804.1 Jaiswal:GAKM01118030.1 Jaiswal:GAKM01084814.1 Jaiswal:GAKM01096954.1 Jaiswal:GAKM01040123.1 Jaiswal:GAKM01132267.1 Jaiswal:GAKM01116779.1 Jaiswal:GAKM01087866.1 Jaiswal:GAKM01132316.1 Jaiswal:GAKM01060230.1 Jaiswal:GAKM01099508.1 Jaiswal:GAKM01067415.1 Jaiswal:GAKM01088595.1 Jaiswal:GAKM01010264.1 Jaiswal:GAKM01027173.1 Jaiswal:GAKM01072471.1 Jaiswal:GAKM01063192.1 Jaiswal:GAKM01066471.1 Jaiswal:GAKM01089616.1 Jaiswal:GAKM01097742.1 Jaiswal:GAKM01074093.1 Jaiswal:GAKM01112909.1 Jaiswal:GAKM01081737.1 Jaiswal:GAKM01043135.1 Jaiswal:GAKM01062240.1 Jaiswal:GAKM01127985.1 Jaiswal:GAKM01112888.1 Jaiswal:GAKM01056897.1 Jaiswal:GAKM01070999.1 Jaiswal:GAKM01033390.1
Q05JG2	Jaiswal:GAKM01038692.1 Jaiswal:GAKM01080731.1
Q06967	Jaiswal:GAKM01079573.1 Jaiswal:GAKM01071910.1 Jaiswal:GAKM01132812.1 Jaiswal:GAKM01089688.1 Jaiswal:GAKM01063321.1
Q0D3B6	Jaiswal:GAKM01118267.1 Jaiswal:GAKM01033620.1 Jaiswal:GAKM01086809.1
Q0D3D2	Jaiswal:GAKM01032287.1 Jaiswal:GAKM01004905.1 Jaiswal:GAKM01047662.1
Q0D3F2	Jaiswal:GAKM01012455.1 Jaiswal:GAKM01129647.1 Jaiswal:GAKM01088576.1 Jaiswal:GAKM01092315.1 Jaiswal:GAKM01082926.1
Q0D3H8	Jaiswal:GAKM01065093.1 Jaiswal:GAKM01134367.1
Q0D4G3	Jaiswal:GAKM01064843.1 Jaiswal:GAKM01117355.1 Jaiswal:GAKM01117695.1 Jaiswal:GAKM01053746.1 Jaiswal:GAKM01101304.1
Q0D759	Jaiswal:GAKM01081448.1 Jaiswal:GAKM01088376.1 Jaiswal:GAKM01010523.1 Jaiswal:GAKM01068232.1 Jaiswal:GAKM01122635.1 Jaiswal:GAKM01104880.1 Jaiswal:GAKM01079274.1 Jaiswal:GAKM01042159.1 Jaiswal:GAKM01000723.1 Jaiswal:GAKM01039520.1 Jaiswal:GAKM01020382.1 Jaiswal:GAKM01014373.1 Jaiswal:GAKM01109322.1 Jaiswal:GAKM01132475.1
Q0D7E4	Jaiswal:GAKM01095948.1 Jaiswal:GAKM01065521.1 Jaiswal:GAKM01010864.1 Jaiswal:GAKM01022302.1 Jaiswal:GAKM01084103.1 Jaiswal:GAKM01064802.1
Q0D7J0	Jaiswal:GAKM01016158.1 Jaiswal:GAKM01069632.1 Jaiswal:GAKM01061978.1 Jaiswal:GAKM01088621.1 Jaiswal:GAKM01123098.1 Jaiswal:GAKM01111056.1 Jaiswal:GAKM01068899.1 Jaiswal:GAKM01099960.1 Jaiswal:GAKM01114974.1 Jaiswal:GAKM01010055.1
Q0D7J3	Jaiswal:GAKM01016158.1 Jaiswal:GAKM01069632.1 Jaiswal:GAKM01061978.1 Jaiswal:GAKM01088621.1 Jaiswal:GAKM01123098.1 Jaiswal:GAKM01111056.1 Jaiswal:GAKM01068899.1 Jaiswal:GAKM01099960.1 Jaiswal:GAKM01114974.1 Jaiswal:GAKM01010055.1
Q0D7W4	Jaiswal:GAKM01042853.1
Q0D8I9	Jaiswal:GAKM01019709.1 Jaiswal:GAKM01055580.1 Jaiswal:GAKM01093318.1 Jaiswal:GAKM01095686.1 Jaiswal:GAKM01015898.1
Q0D980	Jaiswal:GAKM01069461.1 Jaiswal:GAKM01005722.1
Q0DA35	Jaiswal:GAKM01039017.1 Jaiswal:GAKM01050990.1
Q0DAA4	Jaiswal:GAKM01088252.1
Q0DBD3	Jaiswal:GAKM01111245.1
Q0DBF4	Jaiswal:GAKM01127915.1 Jaiswal:GAKM01127995.1
Q0DBN4	Jaiswal:GAKM01010053.1 Jaiswal:GAKM01133735.1 Jaiswal:GAKM01055308.1 Jaiswal:GAKM01090787.1
Q0DCE9	Jaiswal:GAKM01083320.1 Jaiswal:GAKM01033220.1
Q0DDS1	Jaiswal:GAKM01037512.1 Jaiswal:GAKM01011528.1 Jaiswal:GAKM01015916.1
Q0DEC8	Jaiswal:GAKM01070566.1 Jaiswal:GAKM01048922.1
Q0DG35	Jaiswal:GAKM01130101.1
Q0DHF6	Jaiswal:GAKM01032287.1 Jaiswal:GAKM01004905.1 Jaiswal:GAKM01047662.1
Q0DJJ9	Jaiswal:GAKM01015801.1 Jaiswal:GAKM01061526.1 Jaiswal:GAKM01063543.1 Jaiswal:GAKM01115459.1
Q0DJT2	Jaiswal:GAKM01090586.1
Q0DKE8	Jaiswal:GAKM01036535.1 Jaiswal:GAKM01104774.1 Jaiswal:GAKM01058004.1 Jaiswal:GAKM01054601.1 Jaiswal:GAKM01092822.1
Q0DKP3	Jaiswal:GAKM01058661.1 Jaiswal:GAKM01077617.1 Jaiswal:GAKM01083115.1 Jaiswal:GAKM01070380.1 Jaiswal:GAKM01125722.1
Q0DKY4	Jaiswal:GAKM01066624.1 Jaiswal:GAKM01070582.1 Jaiswal:GAKM01043378.1 Jaiswal:GAKM01013457.1
Q0DNU1	Jaiswal:GAKM01005111.1 Jaiswal:GAKM01043664.1 Jaiswal:GAKM01094846.1 Jaiswal:GAKM01081398.1 Jaiswal:GAKM01134296.1
Q0DS76	Jaiswal:GAKM01009703.1
Q0DSM1	Jaiswal:GAKM01036502.1 Jaiswal:GAKM01041083.1 Jaiswal:GAKM01017816.1 Jaiswal:GAKM01042201.1 Jaiswal:GAKM01001970.1 Jaiswal:GAKM01136329.1
Q0DUI1	Jaiswal:GAKM01072553.1
Q0DV32	Jaiswal:GAKM01071988.1 Jaiswal:GAKM01046064.1 Jaiswal:GAKM01070542.1 Jaiswal:GAKM01131597.1 Jaiswal:GAKM01062204.1 Jaiswal:GAKM01051066.1 Jaiswal:GAKM01031875.1
Q0DWC7	Jaiswal:GAKM01031823.1 Jaiswal:GAKM01081785.1 Jaiswal:GAKM01046858.1
Q0DWF2	Jaiswal:GAKM01002073.1 Jaiswal:GAKM01118702.1
Q0DWH1	Jaiswal:GAKM01054411.1
Q0DXA9	Jaiswal:GAKM01116394.1 Jaiswal:GAKM01136765.1 Jaiswal:GAKM01058323.1 Jaiswal:GAKM01087504.1 Jaiswal:GAKM01056870.1 Jaiswal:GAKM01117540.1 Jaiswal:GAKM01049356.1 Jaiswal:GAKM01016477.1 Jaiswal:GAKM01031195.1 Jaiswal:GAKM01132179.1 Jaiswal:GAKM01054207.1 Jaiswal:GAKM01125861.1 Jaiswal:GAKM01083255.1 Jaiswal:GAKM01015251.1 Jaiswal:GAKM01101461.1
Q0DYK7	Jaiswal:GAKM01026990.1 Jaiswal:GAKM01054019.1 Jaiswal:GAKM01135480.1 Jaiswal:GAKM01122344.1 Jaiswal:GAKM01046175.1 Jaiswal:GAKM01037059.1 Jaiswal:GAKM01031682.1 Jaiswal:GAKM01077961.1 Jaiswal:GAKM01065902.1 Jaiswal:GAKM01079123.1 Jaiswal:GAKM01063637.1
Q0DZE0	Jaiswal:GAKM01109496.1 Jaiswal:GAKM01082412.1 Jaiswal:GAKM01095513.1 Jaiswal:GAKM01047983.1 Jaiswal:GAKM01089053.1 Jaiswal:GAKM01064753.1 Jaiswal:GAKM01021929.1 Jaiswal:GAKM01070374.1 Jaiswal:GAKM01119533.1 Jaiswal:GAKM01133378.1 Jaiswal:GAKM01115529.1 Jaiswal:GAKM01050827.1 Jaiswal:GAKM01088722.1
Q0E2P1	Jaiswal:GAKM01093963.1 Jaiswal:GAKM01065440.1 Jaiswal:GAKM01112862.1 Jaiswal:GAKM01026559.1 Jaiswal:GAKM01113411.1 Jaiswal:GAKM01071146.1
Q0E2P9	Jaiswal:GAKM01118712.1 Jaiswal:GAKM01010871.1 Jaiswal:GAKM01039579.1
Q0E2X2	Jaiswal:GAKM01089082.1 Jaiswal:GAKM01049118.1 Jaiswal:GAKM01109575.1 Jaiswal:GAKM01014968.1 Jaiswal:GAKM01084010.1 Jaiswal:GAKM01013611.1 Jaiswal:GAKM01027583.1 Jaiswal:GAKM01107693.1 Jaiswal:GAKM01107616.1 Jaiswal:GAKM01088462.1 Jaiswal:GAKM01074045.1 Jaiswal:GAKM01031301.1 Jaiswal:GAKM01098481.1 Jaiswal:GAKM01070089.1 Jaiswal:GAKM01130736.1 Jaiswal:GAKM01017318.1 Jaiswal:GAKM01055698.1 Jaiswal:GAKM01098618.1 Jaiswal:GAKM01034941.1 Jaiswal:GAKM01041862.1 Jaiswal:GAKM01129815.1 Jaiswal:GAKM01092173.1 Jaiswal:GAKM01004305.1 Jaiswal:GAKM01122066.1 Jaiswal:GAKM01116431.1 Jaiswal:GAKM01068882.1 Jaiswal:GAKM01087488.1 Jaiswal:GAKM01010976.1 Jaiswal:GAKM01073990.1 Jaiswal:GAKM01060593.1 Jaiswal:GAKM01025605.1 Jaiswal:GAKM01036945.1 Jaiswal:GAKM01043203.1 Jaiswal:GAKM01028902.1 Jaiswal:GAKM01120805.1
Q0E3F2	Jaiswal:GAKM01118159.1 Jaiswal:GAKM01066089.1 Jaiswal:GAKM01005983.1
Q0E3J1	Jaiswal:GAKM01088252.1
Q0E3L4	Jaiswal:GAKM01001059.1 Jaiswal:GAKM01040192.1 Jaiswal:GAKM01085951.1 Jaiswal:GAKM01089801.1
Q0E4N2	Jaiswal:GAKM01062326.1 Jaiswal:GAKM01126574.1 Jaiswal:GAKM01137014.1
Q0ILP7	Jaiswal:GAKM01051193.1 Jaiswal:GAKM01069622.1 Jaiswal:GAKM01063431.1
Q0INY7	Jaiswal:GAKM01132883.1 Jaiswal:GAKM01004080.1 Jaiswal:GAKM01056877.1 Jaiswal:GAKM01099333.1 Jaiswal:GAKM01079452.1 Jaiswal:GAKM01040101.1 Jaiswal:GAKM01127926.1
Q0INZ4	Jaiswal:GAKM01022075.1 Jaiswal:GAKM01131334.1
Q0IQ89	Jaiswal:GAKM01045826.1 Jaiswal:GAKM01039117.1
Q0IQA5	Jaiswal:GAKM01093740.1 Jaiswal:GAKM01026554.1 Jaiswal:GAKM01098734.1 Jaiswal:GAKM01071647.1 Jaiswal:GAKM01117962.1 Jaiswal:GAKM01053616.1
Q0IQQ5	Jaiswal:GAKM01045569.1 Jaiswal:GAKM01127895.1 Jaiswal:GAKM01048846.1 Jaiswal:GAKM01103159.1 Jaiswal:GAKM01030953.1
Q0IRE6	Jaiswal:GAKM01103492.1 Jaiswal:GAKM01103720.1 Jaiswal:GAKM01063228.1 Jaiswal:GAKM01013478.1 Jaiswal:GAKM01040536.1 Jaiswal:GAKM01058666.1 Jaiswal:GAKM01097338.1 Jaiswal:GAKM01126902.1
Q0IS70	Jaiswal:GAKM01099535.1 Jaiswal:GAKM01017254.1 Jaiswal:GAKM01086410.1 Jaiswal:GAKM01044416.1 Jaiswal:GAKM01044846.1 Jaiswal:GAKM01065078.1 Jaiswal:GAKM01088610.1 Jaiswal:GAKM01088151.1
Q0ISY7	Jaiswal:GAKM01073838.1 Jaiswal:GAKM01024828.1 Jaiswal:GAKM01114749.1 Jaiswal:GAKM01008465.1 Jaiswal:GAKM01032266.1 Jaiswal:GAKM01128927.1
Q0ITU1	Jaiswal:GAKM01091700.1 Jaiswal:GAKM01024080.1 Jaiswal:GAKM01017908.1
Q0ITW7	Jaiswal:GAKM01012285.1 Jaiswal:GAKM01054336.1 Jaiswal:GAKM01103674.1 Jaiswal:GAKM01137140.1 Jaiswal:GAKM01043669.1 Jaiswal:GAKM01128581.1 Jaiswal:GAKM01009452.1 Jaiswal:GAKM01103201.1
Q0IUG8	Jaiswal:GAKM01077221.1
Q0IZJ9	Jaiswal:GAKM01074442.1
Q0IZS0	Jaiswal:GAKM01035705.1 Jaiswal:GAKM01133180.1 Jaiswal:GAKM01112423.1
Q0IZX5	Jaiswal:GAKM01124429.1 Jaiswal:GAKM01135069.1 Jaiswal:GAKM01072372.1 Jaiswal:GAKM01108063.1
Q0J0M8	Jaiswal:GAKM01005190.1 Jaiswal:GAKM01038782.1
Q0J0N3	Jaiswal:GAKM01120858.1 Jaiswal:GAKM01051997.1 Jaiswal:GAKM01068426.1 Jaiswal:GAKM01062288.1 Jaiswal:GAKM01135822.1
Q0J185	Jaiswal:GAKM01038692.1 Jaiswal:GAKM01080731.1
Q0J1C1	Jaiswal:GAKM01062972.1 Jaiswal:GAKM01001484.1 Jaiswal:GAKM01101826.1 Jaiswal:GAKM01021402.1 Jaiswal:GAKM01070406.1 Jaiswal:GAKM01033138.1 Jaiswal:GAKM01128225.1 Jaiswal:GAKM01005031.1 Jaiswal:GAKM01008867.1 Jaiswal:GAKM01017378.1 Jaiswal:GAKM01040986.1
Q0J1E1	Jaiswal:GAKM01033626.1
Q0J270	Jaiswal:GAKM01092747.1 Jaiswal:GAKM01023668.1
Q0J2L7	Jaiswal:GAKM01009770.1 Jaiswal:GAKM01095219.1 Jaiswal:GAKM01020712.1 Jaiswal:GAKM01072164.1
Q0J360	Jaiswal:GAKM01116945.1 Jaiswal:GAKM01107751.1 Jaiswal:GAKM01004516.1 Jaiswal:GAKM01097629.1 Jaiswal:GAKM01005215.1
Q0J5Y4	Jaiswal:GAKM01072610.1 Jaiswal:GAKM01049589.1 Jaiswal:GAKM01116939.1
Q0J7P4	Jaiswal:GAKM01028958.1 Jaiswal:GAKM01131465.1 Jaiswal:GAKM01031626.1 Jaiswal:GAKM01035300.1 Jaiswal:GAKM01069959.1 Jaiswal:GAKM01133789.1 Jaiswal:GAKM01065977.1
Q0J7U6	Jaiswal:GAKM01100549.1
Q0J8A4	Jaiswal:GAKM01026227.1 Jaiswal:GAKM01053426.1 Jaiswal:GAKM01047486.1
Q0J951	Jaiswal:GAKM01131813.1 Jaiswal:GAKM01125875.1
Q0J9F2	Jaiswal:GAKM01040105.1 Jaiswal:GAKM01094766.1 Jaiswal:GAKM01011140.1 Jaiswal:GAKM01016936.1
Q0J9K2	Jaiswal:GAKM01075283.1 Jaiswal:GAKM01123131.1
Q0J9Z0	Jaiswal:GAKM01130236.1 Jaiswal:GAKM01064812.1
Q0JA81	Jaiswal:GAKM01032034.1 Jaiswal:GAKM01044629.1 Jaiswal:GAKM01020900.1
Q0JA82	Jaiswal:GAKM01032034.1 Jaiswal:GAKM01044629.1 Jaiswal:GAKM01020900.1
Q0JAI1	Jaiswal:GAKM01071545.1
Q0JB49	Jaiswal:GAKM01076649.1 Jaiswal:GAKM01062082.1 Jaiswal:GAKM01098561.1
Q0JB91	Jaiswal:GAKM01119782.1 Jaiswal:GAKM01105562.1 Jaiswal:GAKM01083173.1
Q0JB99	Jaiswal:GAKM01094144.1 Jaiswal:GAKM01047974.1 Jaiswal:GAKM01048437.1
Q0JBF1	Jaiswal:GAKM01005872.1 Jaiswal:GAKM01089752.1 Jaiswal:GAKM01118696.1 Jaiswal:GAKM01127498.1 Jaiswal:GAKM01053472.1 Jaiswal:GAKM01032479.1 Jaiswal:GAKM01065880.1
Q0JCU7	Jaiswal:GAKM01007393.1
