A2XPN8	Ensembl:BVRB_1g022200
O24210	Ensembl:BVRB_7g167060
O64422	Ensembl:BVRB_5g111310
O64437	Ensembl:BVRB_6g135490
O82117	Ensembl:BVRB_2g028660
O82427	Ensembl:BVRB_009060 Ensembl:BVRB_2g024410
P0C132	Ensembl:BVRB_4g082260 Ensembl:BVRB_5g120320
P0C587	Ensembl:BVRB_1g015990
P0C5A4	Ensembl:BVRB_9g220110
P14655	Ensembl:BVRB_001510
P14656	Ensembl:BVRB_9g203080
P14717	Ensembl:BVRB_7g161880
P15280	Ensembl:BVRB_9g206950
P16081	Ensembl:BVRB_1g000370
P17784	Ensembl:BVRB_7g160160
P17814	Ensembl:BVRB_8g198680
P18566	Ensembl:BVRB_2g026850 Ensembl:BVRB_2g037220 Ensembl:BVRB_2g026810 Ensembl:BVRB_2g026820 Ensembl:BVRB_2g026840
P30298	Ensembl:BVRB_7g173620 Ensembl:BVRB_8g190960
P31924	Ensembl:BVRB_7g173620 Ensembl:BVRB_8g190960
P37833	Ensembl:BVRB_2g047840 Ensembl:BVRB_8g196670
P38419	Ensembl:BVRB_8g196630 Ensembl:BVRB_5g116770 Ensembl:BVRB_4g072070 Ensembl:BVRB_4g072060 Ensembl:BVRB_4g072080 Ensembl:BVRB_4g072090
P48642	Ensembl:BVRB_3g069540
Q01KF3	Ensembl:BVRB_5g113750
Q01M39	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q05JG2	Ensembl:BVRB_5g102360
Q06967	Ensembl:BVRB_6g155820 Ensembl:BVRB_2g026600
Q0D3D2	Ensembl:BVRB_5g103060
Q0D3F2	Ensembl:BVRB_4g080570
Q0D3H8	Ensembl:BVRB_3g064480 Ensembl:BVRB_9g207080
Q0D3T5	Ensembl:BVRB_7g180000
Q0D4Z4	Ensembl:BVRB_6g152790
Q0D5H9	Ensembl:BVRB_4g093210
Q0D7E4	Ensembl:BVRB_5g107820
Q0D7W4	Ensembl:BVRB_4g082030
Q0D8J6	Ensembl:BVRB_004050 Ensembl:BVRB_4g094240
Q0D980	Ensembl:BVRB_000710
Q0DAA4	Ensembl:BVRB_7g163190
Q0DAE1	Ensembl:BVRB_6g155380
Q0DAJ3	Ensembl:BVRB_2g031460 Ensembl:BVRB_9g223060
Q0DAZ7	Ensembl:BVRB_012000
Q0DBD3	Ensembl:BVRB_6g155320
Q0DBF4	Ensembl:BVRB_002370
Q0DBN4	Ensembl:BVRB_9g209080
Q0DCE9	Ensembl:BVRB_005510
Q0DDS1	Ensembl:BVRB_2g035170 Ensembl:BVRB_8g190590
Q0DEC8	Ensembl:BVRB_3g051810
Q0DFL6	Ensembl:BVRB_002510
Q0DG18	Ensembl:BVRB_8g183150
Q0DGG8	Ensembl:BVRB_4g084940
Q0DGS1	Ensembl:BVRB_8g182410
Q0DHF6	Ensembl:BVRB_5g103060
Q0DHT1	Ensembl:BVRB_7g176150
Q0DJJ9	Ensembl:BVRB_5g113340
Q0DJT2	Ensembl:BVRB_8g197030 Ensembl:BVRB_2g032210
Q0DKE8	Ensembl:BVRB_6g148060 Ensembl:BVRB_5g117730
Q0DKM0	Ensembl:BVRB_7g180490
Q0DKP3	Ensembl:BVRB_4g082790
Q0DKY4	Ensembl:BVRB_4g079640
Q0DS96	Ensembl:BVRB_4g096120 Ensembl:BVRB_9g207000
Q0DSM1	Ensembl:BVRB_003040
Q0DUI1	Ensembl:BVRB_4g090050
Q0DV32	Ensembl:BVRB_9g205510
Q0DWC7	Ensembl:BVRB_4g095630 Ensembl:BVRB_3g056770
Q0DWF2	Ensembl:BVRB_7g166630
Q0DWH1	Ensembl:BVRB_7g166210
Q0DWY7	Ensembl:BVRB_8g198800
Q0DY86	Ensembl:BVRB_1g000940
Q0DZE0	Ensembl:BVRB_7g161880
Q0E079	Ensembl:BVRB_9g215540
Q0E088	Ensembl:BVRB_9g216050
Q0E0S0	Ensembl:BVRB_7g160290
Q0E2P1	Ensembl:BVRB_9g211380
Q0E2Y8	Ensembl:BVRB_2g042860
Q0E3F2	Ensembl:BVRB_8g198780
Q0E3J1	Ensembl:BVRB_7g163190
Q0E3L4	Ensembl:BVRB_9g204200 Ensembl:BVRB_9g204190
Q0E4F0	Ensembl:BVRB_9g216650 Ensembl:BVRB_9g216630
Q0E4H0	Ensembl:BVRB_2g035170 Ensembl:BVRB_8g190590
Q0E4N2	Ensembl:BVRB_5g098340
Q0ILP7	Ensembl:BVRB_008970 Ensembl:BVRB_008960
Q0ILR7	Ensembl:BVRB_8g187670
Q0INY7	Ensembl:BVRB_2g026850 Ensembl:BVRB_2g037220 Ensembl:BVRB_2g026810 Ensembl:BVRB_2g026820 Ensembl:BVRB_2g026840
Q0INZ4	Ensembl:BVRB_7g164490
Q0IPE5	Ensembl:BVRB_2g032260
Q0IPF7	Ensembl:BVRB_029470
Q0IQ89	Ensembl:BVRB_4g073300
Q0IQA5	Ensembl:BVRB_3g063090
Q0IQQ5	Ensembl:BVRB_5g103350
Q0IRE6	Ensembl:BVRB_4g083360
Q0ISY7	Ensembl:BVRB_2g025820 Ensembl:BVRB_2g025770 Ensembl:BVRB_2g025810 Ensembl:BVRB_2g025800
Q0ITU1	Ensembl:BVRB_004920
Q0ITW7	Ensembl:BVRB_1g010740 Ensembl:BVRB_7g167240 Ensembl:BVRB_1g010750
Q0IZJ9	Ensembl:BVRB_9g211170
Q0IZR4	Ensembl:BVRB_6g135980
Q0IZS0	Ensembl:BVRB_7g174130
Q0IZX5	Ensembl:BVRB_6g152640 Ensembl:BVRB_004150
Q0J0L4	Ensembl:BVRB_2g037930
Q0J0M8	Ensembl:BVRB_9g215930
Q0J0N3	Ensembl:BVRB_3g065540
Q0J0P1	Ensembl:BVRB_8g197040
Q0J185	Ensembl:BVRB_003280
Q0J1C1	Ensembl:BVRB_9g204220 Ensembl:BVRB_8g185300
Q0J1E1	Ensembl:BVRB_4g071540
Q0J268	Ensembl:BVRB_5g104950
Q0J2L7	Ensembl:BVRB_2g025410 Ensembl:BVRB_7g173230
Q0J484	Ensembl:BVRB_4g075150
Q0J7P4	Ensembl:BVRB_9g206480
Q0J7W9	Ensembl:BVRB_1g001980
Q0J8A4	Ensembl:BVRB_5g110740
Q0J8X6	Ensembl:BVRB_1g005840
Q0J951	Ensembl:BVRB_4g084470
Q0J9F2	Ensembl:BVRB_4g090750 Ensembl:BVRB_8g184270
Q0J9K2	Ensembl:BVRB_9g219450
Q0J9Z0	Ensembl:BVRB_8g186180
Q0JA81	Ensembl:BVRB_9g216050
Q0JA82	Ensembl:BVRB_9g216050
Q0JAI1	Ensembl:BVRB_006040
Q0JB49	Ensembl:BVRB_5g123260
Q0JB91	Ensembl:BVRB_3g067970
Q0JB99	Ensembl:BVRB_5g104900
Q0JBA9	Ensembl:BVRB_6g133580 Ensembl:BVRB_1g017620
Q0JBF1	Ensembl:BVRB_5g097930 Ensembl:BVRB_3g056080
Q0JC10	Ensembl:BVRB_8g191830 Ensembl:BVRB_8g191820
Q0JCU7	Ensembl:BVRB_003210
Q0JCZ4	Ensembl:BVRB_6g145940
Q0JDD2	Ensembl:BVRB_7g159420 Ensembl:BVRB_7g159400
Q0JDF7	Ensembl:BVRB_9g211170
Q0JDN5	Ensembl:BVRB_9g217610
Q0JDT1	Ensembl:BVRB_4g076960
Q0JE53	Ensembl:BVRB_1g008820 Ensembl:BVRB_1g008830 Ensembl:BVRB_1g008810 Ensembl:BVRB_1g008800 Ensembl:BVRB_1g008780 Ensembl:BVRB_1g008840 Ensembl:BVRB_1g008850
Q0JEK1	Ensembl:BVRB_7g175850 Ensembl:BVRB_3g053090
Q0JEP5	Ensembl:BVRB_007170
Q0JEX4	Ensembl:BVRB_5g115780 Ensembl:BVRB_5g115740 Ensembl:BVRB_5g115790 Ensembl:BVRB_5g115750 Ensembl:BVRB_5g115760 Ensembl:BVRB_4g084090 Ensembl:BVRB_7g165350
Q0JEZ8	Ensembl:BVRB_9g216050
Q0JF02	Ensembl:BVRB_7g161040
Q0JF30	Ensembl:BVRB_4g095630 Ensembl:BVRB_3g056770
Q0JHN3	Ensembl:BVRB_2g024250
Q0JI87	Ensembl:BVRB_7g156570
Q0JIJ8	Ensembl:BVRB_008090
Q0JIR6	Ensembl:BVRB_9g217890
Q0JIR8	Ensembl:BVRB_8g199810
Q0JJI1	Ensembl:BVRB_2g045540
Q0JKG7	Ensembl:BVRB_9g221270 Ensembl:BVRB_8g196860
Q0JKI9	Ensembl:BVRB_8g182410
Q0JKX2	Ensembl:BVRB_3g061190
Q0JKY8	Ensembl:BVRB_6g148840 Ensembl:BVRB_8g194450
Q0JNV2	Ensembl:BVRB_4g096640
Q0JP90	Ensembl:BVRB_1g002900
Q0JPS3	Ensembl:BVRB_8g181040 Ensembl:BVRB_9g209060
Q0JPT4	Ensembl:BVRB_8g201060
Q0JQ41	Ensembl:BVRB_2g042060 Ensembl:BVRB_1g012240 Ensembl:BVRB_2g042040
Q0JR06	Ensembl:BVRB_6g141520
Q0JR55	Ensembl:BVRB_1g011180
Q0JRG4	Ensembl:BVRB_6g130930
Q109K4	Ensembl:BVRB_8g181640
Q10A30	Ensembl:BVRB_7g160160
Q10A97	Ensembl:BVRB_3g049250 Ensembl:BVRB_5g121060
Q10B63	Ensembl:BVRB_7g177710 Ensembl:BVRB_3g067140
Q10BA5	Ensembl:BVRB_5g112630
Q10BT5	Ensembl:BVRB_4g071270
Q10BX9	Ensembl:BVRB_9g202650
Q10CE4	Ensembl:BVRB_4g094290
Q10CQ1	Ensembl:BVRB_5g113480 Ensembl:BVRB_6g139720
Q10CU7	Ensembl:BVRB_2g035580
Q10D34	Ensembl:BVRB_4g082260 Ensembl:BVRB_5g120320
Q10D68	Ensembl:BVRB_1g005180 Ensembl:BVRB_6g152820
Q10D87	Ensembl:BVRB_7g163890
Q10DK7	Ensembl:BVRB_6g128650
Q10DU0	Ensembl:BVRB_6g132500
Q10E50	Ensembl:BVRB_8g198160
Q10F25	Ensembl:BVRB_1g005490
Q10FE9	Ensembl:BVRB_6g152530
Q10G56	Ensembl:BVRB_8g188060
Q10H87	Ensembl:BVRB_5g113530
Q10J20	Ensembl:BVRB_6g127710
Q10J32	Ensembl:BVRB_5g116330
Q10L50	Ensembl:BVRB_3g069300
Q10L51	Ensembl:BVRB_9g224290 Ensembl:BVRB_6g150150 Ensembl:BVRB_6g140440 Ensembl:BVRB_6g127250 Ensembl:BVRB_9g216220 Ensembl:BVRB_9g224260 Ensembl:BVRB_1g000490 Ensembl:BVRB_6g134950 Ensembl:BVRB_9g224280 Ensembl:BVRB_9g224300
Q10L56	Ensembl:BVRB_7g162820 Ensembl:BVRB_6g141940
Q10LP5	Ensembl:BVRB_7g163460
Q10LR4	Ensembl:BVRB_7g157660
Q10LR5	Ensembl:BVRB_6g133460
Q10M55	Ensembl:BVRB_3g064480
Q10MB0	Ensembl:BVRB_4g079980 Ensembl:BVRB_4g080000 Ensembl:BVRB_5g122490
Q10MG9	Ensembl:BVRB_3g054250
Q10MI9	Ensembl:BVRB_4g080570
Q10MS2	Ensembl:BVRB_2g044620
Q10MW3	Ensembl:BVRB_5g103060
Q10MX9	Ensembl:BVRB_2g023650 Ensembl:BVRB_2g023640
Q10N17	Ensembl:BVRB_9g207480 Ensembl:BVRB_9g207420
Q10NY1	Ensembl:BVRB_2g038310
Q10NY2	Ensembl:BVRB_2g030840 Ensembl:BVRB_9g219140
Q10P01	Ensembl:BVRB_1g016420
Q10P67	Ensembl:BVRB_2g045590 Ensembl:BVRB_6g155940
Q10PE7	Ensembl:BVRB_6g155980
Q10PL0	Ensembl:BVRB_8g197820 Ensembl:BVRB_1g014510 Ensembl:BVRB_8g197810
Q10PY7	Ensembl:BVRB_2g029380
Q10QA5	Ensembl:BVRB_1g015160
Q10QH1	Ensembl:BVRB_4g090050
Q10QN3	Ensembl:BVRB_9g215480
Q10QR9	Ensembl:BVRB_1g013360
Q10QT9	Ensembl:BVRB_7g169130
Q10RP2	Ensembl:BVRB_2g045800 Ensembl:BVRB_2g045780 Ensembl:BVRB_2g038620 Ensembl:BVRB_2g045720 Ensembl:BVRB_2g023420
Q10S55	Ensembl:BVRB_6g143630
Q10S67	Ensembl:BVRB_1g022890 Ensembl:BVRB_9g212860
Q10S72	Ensembl:BVRB_1g022990
Q10SD6	Ensembl:BVRB_5g117310
Q10SL7	Ensembl:BVRB_3g066500
Q10SM6	Ensembl:BVRB_1g004790
Q10SM9	Ensembl:BVRB_3g066500
Q10SP1	Ensembl:BVRB_1g002760
Q10SU1	Ensembl:BVRB_2g025580
Q10T43	Ensembl:BVRB_5g104530
Q25AR2	Ensembl:BVRB_1g010010
Q2KNB4	Ensembl:BVRB_4g073320
Q2KNB5	Ensembl:BVRB_4g073320
Q2MJA7	Ensembl:BVRB_5g102110
Q2MJA8	Ensembl:BVRB_3g065540
Q2QLJ0	Ensembl:BVRB_2g029320
Q2QLY5	Ensembl:BVRB_5g109920 Ensembl:BVRB_7g171610
Q2QM47	Ensembl:BVRB_7g171210
Q2QM83	Ensembl:BVRB_8g187880
Q2QMD4	Ensembl:BVRB_2g038180
Q2QME6	Ensembl:BVRB_5g119700
Q2QMK8	Ensembl:BVRB_2g027640
Q2QN06	Ensembl:BVRB_1g015270 Ensembl:BVRB_8g189640
Q2QNN5	Ensembl:BVRB_4g072080 Ensembl:BVRB_5g116770 Ensembl:BVRB_4g072070 Ensembl:BVRB_4g072060 Ensembl:BVRB_4g072090
Q2QNS6	Ensembl:BVRB_7g164970
Q2QPH4	Ensembl:BVRB_7g179440
Q2QPR0	Ensembl:BVRB_7g161880
Q2QQJ5	Ensembl:BVRB_9g216050
Q2QQX6	Ensembl:BVRB_5g113390
Q2QRX6	Ensembl:BVRB_9g217140
Q2QTJ1	Ensembl:BVRB_2g026850 Ensembl:BVRB_2g037220 Ensembl:BVRB_2g026810 Ensembl:BVRB_2g026820 Ensembl:BVRB_2g026840
Q2QTQ1	Ensembl:BVRB_1g018170 Ensembl:BVRB_4g074140
Q2QUG4	Ensembl:BVRB_2g038240
Q2QUI0	Ensembl:BVRB_4g083360
Q2QVC1	Ensembl:BVRB_2g032520
Q2QWK9	Ensembl:BVRB_6g137070
Q2QWV7	Ensembl:BVRB_001230
Q2QX49	Ensembl:BVRB_4g078370
Q2QX58	Ensembl:BVRB_1g020360
Q2QXL0	Ensembl:BVRB_7g176150
Q2QXP0	Ensembl:BVRB_6g153310 Ensembl:BVRB_5g114200
Q2QXY1	Ensembl:BVRB_3g062480
Q2QXY9	Ensembl:BVRB_3g058810
Q2QXZ1	Ensembl:BVRB_3g062580
Q2QY63	Ensembl:BVRB_2g028910
Q2QYB7	Ensembl:BVRB_7g171760
Q2QZ14	Ensembl:BVRB_7g173210
Q2R0P3	Ensembl:BVRB_3g061220 Ensembl:BVRB_4g072510
Q2R1G8	Ensembl:BVRB_6g135430
Q2R2W1	Ensembl:BVRB_6g154770
Q2R2W2	Ensembl:BVRB_6g155820 Ensembl:BVRB_2g026600
Q2R2W3	Ensembl:BVRB_8g198160
Q2R2W8	Ensembl:BVRB_6g128320
Q2R339	Ensembl:BVRB_9g219850 Ensembl:BVRB_4g073530
Q2R3A1	Ensembl:BVRB_1g018740 Ensembl:BVRB_9g210980 Ensembl:BVRB_1g018750 Ensembl:BVRB_1g018770 Ensembl:BVRB_1g018760 Ensembl:BVRB_6g151690 Ensembl:BVRB_6g152260
Q2R3F5	Ensembl:BVRB_5g113390
Q2R3K3	Ensembl:BVRB_5g113080
Q2R3K5	Ensembl:BVRB_6g152100
Q2R432	Ensembl:BVRB_5g124680 Ensembl:BVRB_6g150450
Q2R481	Ensembl:BVRB_9g217140
Q2R4Y8	Ensembl:BVRB_3g065500
Q2R8T7	Ensembl:BVRB_6g143960
Q2RA11	Ensembl:BVRB_4g078370
Q2RAM8	Ensembl:BVRB_3g065160
Q2RAP0	Ensembl:BVRB_3g062480
Q2RAP8	Ensembl:BVRB_3g058810
Q2RB23	Ensembl:BVRB_7g171760
Q2RBP2	Ensembl:BVRB_7g172010
Q2V0P1	Ensembl:BVRB_1g012640
Q336M7	Ensembl:BVRB_5g107340
Q336N7	Ensembl:BVRB_2g047130
Q336P5	Ensembl:BVRB_5g105880
Q336R6	Ensembl:BVRB_5g124980 Ensembl:BVRB_1g017430
Q336U3	Ensembl:BVRB_2g025900
Q336V3	Ensembl:BVRB_7g161220
Q336X9	Ensembl:BVRB_1g004190 Ensembl:BVRB_5g100010
Q337F0	Ensembl:BVRB_1g005810
Q337F3	Ensembl:BVRB_2g025580
Q337H3	Ensembl:BVRB_3g056610
Q338J0	Ensembl:BVRB_2g029860 Ensembl:BVRB_8g198750
Q338N8	Ensembl:BVRB_7g169130
Q338Z4	Ensembl:BVRB_1g008030
Q339V1	Ensembl:BVRB_4g081630
Q33AE4	Ensembl:BVRB_3g066000
Q33CD8	Ensembl:BVRB_3g069300
Q33CD9	Ensembl:BVRB_3g069300
Q40704	Ensembl:BVRB_1g012640
Q40710	Ensembl:BVRB_4g079980 Ensembl:BVRB_4g080000 Ensembl:BVRB_5g122490
Q42982	Ensembl:BVRB_3g049860
Q43007	Ensembl:BVRB_8g194400
Q43009	Ensembl:BVRB_7g173620 Ensembl:BVRB_8g190960
Q43011	Ensembl:BVRB_6g135140
Q52RG7	Ensembl:BVRB_6g150440
Q53L28	Ensembl:BVRB_3g059040
Q53Q70	Ensembl:BVRB_7g176150
Q53QJ9	Ensembl:BVRB_2g032520
Q53RH0	Ensembl:BVRB_7g180490
Q5CCK3	Ensembl:BVRB_6g137400
Q5JK17	Ensembl:BVRB_6g151970 Ensembl:BVRB_5g113380
Q5JK18	Ensembl:BVRB_6g149770
Q5JK20	Ensembl:BVRB_5g113390
Q5JK39	Ensembl:BVRB_5g113080
Q5JLS4	Ensembl:BVRB_4g089130 Ensembl:BVRB_9g220180 Ensembl:BVRB_4g095860
Q5JMA1	Ensembl:BVRB_002560
Q5JMA6	Ensembl:BVRB_8g189900
Q5JMB6	Ensembl:BVRB_2g042060 Ensembl:BVRB_1g012240 Ensembl:BVRB_2g042040
Q5JME6	Ensembl:BVRB_4g094790
Q5JMM1	Ensembl:BVRB_8g182410
Q5JMT5	Ensembl:BVRB_4g078370
Q5JMX5	Ensembl:BVRB_9g204440
Q5JMX9	Ensembl:BVRB_9g204130
Q5JN19	Ensembl:BVRB_2g040030
Q5JN42	Ensembl:BVRB_4g096570
Q5JN63	Ensembl:BVRB_8g181090
Q5JNB0	Ensembl:BVRB_3g058740
Q5KQI0	Ensembl:BVRB_7g156570
Q5KS47	Ensembl:BVRB_1g021420
Q5MBR3	Ensembl:BVRB_004050 Ensembl:BVRB_4g094240
Q5MBR5	Ensembl:BVRB_004050 Ensembl:BVRB_4g094240
Q5N725	Ensembl:BVRB_7g160160
Q5N7C7	Ensembl:BVRB_7g176150
Q5N7L0	Ensembl:BVRB_2g030330 Ensembl:BVRB_6g141390
Q5N7Z8	Ensembl:BVRB_5g099850
Q5N8F6	Ensembl:BVRB_5g120730 Ensembl:BVRB_5g120720
Q5N8H9	Ensembl:BVRB_2g034480
Q5N9A1	Ensembl:BVRB_8g200410
Q5N9N2	Ensembl:BVRB_2g025410 Ensembl:BVRB_7g173230
Q5N9Z8	Ensembl:BVRB_4g079300 Ensembl:BVRB_5g126250
Q5NA81	Ensembl:BVRB_9g209500
Q5NAY4	Ensembl:BVRB_1g001220
Q5NB25	Ensembl:BVRB_9g221270 Ensembl:BVRB_8g196860
Q5NBQ1	Ensembl:BVRB_5g114450
Q5NBT9	Ensembl:BVRB_4g076250
Q5NTH3	Ensembl:BVRB_6g149930
Q5QLG3	Ensembl:BVRB_9g220360
Q5QN02	Ensembl:BVRB_8g196140 Ensembl:BVRB_007930
Q5QNB8	Ensembl:BVRB_8g180840 Ensembl:BVRB_9g210330
Q5SND7	Ensembl:BVRB_8g197380
Q5U9F2	Ensembl:BVRB_7g159480
Q5VMP0	Ensembl:BVRB_9g209910
Q5VMP2	Ensembl:BVRB_7g171370
Q5VN31	Ensembl:BVRB_4g088550
Q5VNP5	Ensembl:BVRB_6g128830
Q5VNW0	Ensembl:BVRB_1g018980
Q5VPH2	Ensembl:BVRB_1g016790
Q5VQG8	Ensembl:BVRB_6g148060 Ensembl:BVRB_5g117730
Q5VRB9	Ensembl:BVRB_2g043460
Q5VRH4	Ensembl:BVRB_4g086200
Q5VRM7	Ensembl:BVRB_1g016980 Ensembl:BVRB_5g106300 Ensembl:BVRB_1g016990
Q5W670	Ensembl:BVRB_9g224630
Q5W6F1	Ensembl:BVRB_7g175810
Q5W6F9	Ensembl:BVRB_004720
Q5W6H5	Ensembl:BVRB_5g102920
Q5W6W7	Ensembl:BVRB_9g206090
Q5XLJ2	Ensembl:BVRB_9g219850 Ensembl:BVRB_4g073530
Q5Z5B7	Ensembl:BVRB_4g084680
Q5Z5R4	Ensembl:BVRB_002370
Q5Z6D3	Ensembl:BVRB_005510
Q5Z6E5	Ensembl:BVRB_3g065960
Q5Z749	Ensembl:BVRB_9g221270 Ensembl:BVRB_8g196860
Q5Z7R3	Ensembl:BVRB_5g107030 Ensembl:BVRB_9g225780 Ensembl:BVRB_4g086570 Ensembl:BVRB_9g225800
Q5Z807	Ensembl:BVRB_2g036110
Q5Z8K3	Ensembl:BVRB_8g198410
Q5Z8S0	Ensembl:BVRB_006920 Ensembl:BVRB_9g211290
Q5Z8V9	Ensembl:BVRB_1g007390
Q5Z8Y4	Ensembl:BVRB_1g010300
Q5ZCV1	Ensembl:BVRB_4g083140 Ensembl:BVRB_4g083150
Q5ZED1	Ensembl:BVRB_2g024650
Q5ZEL4	Ensembl:BVRB_5g102830
Q60EH4	Ensembl:BVRB_2g024250
Q60EI7	Ensembl:BVRB_9g217890
Q60EX6	Ensembl:BVRB_7g165840
Q64MA9	Ensembl:BVRB_5g101200
Q650W1	Ensembl:BVRB_9g211170
Q651F0	Ensembl:BVRB_6g130250
Q652A8	Ensembl:BVRB_5g100870
Q652S1	Ensembl:BVRB_3g069420
Q653D9	Ensembl:BVRB_7g171370
Q653T6	Ensembl:BVRB_1g004830
Q653U3	Ensembl:BVRB_9g203750
Q655T1	Ensembl:BVRB_2g038140
Q655T6	Ensembl:BVRB_2g044720
Q655W2	Ensembl:BVRB_2g047810
Q655Y9	Ensembl:BVRB_9g221420
Q656F1	Ensembl:BVRB_1g011680
Q657X7	Ensembl:BVRB_006270
Q65XC6	Ensembl:BVRB_8g196270 Ensembl:BVRB_8g196280 Ensembl:BVRB_2g031740
Q65XK0	Ensembl:BVRB_9g210240
Q65XL7	Ensembl:BVRB_1g003520 Ensembl:BVRB_5g099340
Q65XM9	Ensembl:BVRB_4g090750 Ensembl:BVRB_8g184270
Q65XR9	Ensembl:BVRB_8g194400
Q67TQ5	Ensembl:BVRB_7g169340
Q67TS1	Ensembl:BVRB_9g224290 Ensembl:BVRB_6g150150 Ensembl:BVRB_2g036790 Ensembl:BVRB_6g140440 Ensembl:BVRB_6g127250 Ensembl:BVRB_9g216220 Ensembl:BVRB_9g224260 Ensembl:BVRB_1g000490 Ensembl:BVRB_6g134950 Ensembl:BVRB_9g224280 Ensembl:BVRB_9g224300
Q67TS4	Ensembl:BVRB_9g224290 Ensembl:BVRB_6g150150 Ensembl:BVRB_2g036790 Ensembl:BVRB_6g140440 Ensembl:BVRB_6g127250 Ensembl:BVRB_9g216220 Ensembl:BVRB_9g224260 Ensembl:BVRB_1g000490 Ensembl:BVRB_6g134950 Ensembl:BVRB_9g224280 Ensembl:BVRB_9g224300
Q67UX0	Ensembl:BVRB_8g198410
Q67UZ8	Ensembl:BVRB_1g000480
Q67VM1	Ensembl:BVRB_5g099620 Ensembl:BVRB_2g026140
Q67VR7	Ensembl:BVRB_5g101480
Q67W29	Ensembl:BVRB_2g045590 Ensembl:BVRB_6g155940
Q67W82	Ensembl:BVRB_8g198680
Q67WK8	Ensembl:BVRB_6g154080
Q67WR2	Ensembl:BVRB_8g191810
