A2XPN8	Ensembl:CCACVL1_09038
P30298	Ensembl:CCACVL1_20778 Ensembl:CCACVL1_20774
P31924	Ensembl:CCACVL1_20778 Ensembl:CCACVL1_20774
P37833	Ensembl:CCACVL1_08622 Ensembl:CCACVL1_23182 Ensembl:CCACVL1_23181
P38419	Ensembl:CCACVL1_17862 Ensembl:CCACVL1_17855
P48642	Ensembl:CCACVL1_06646
Q01KF3	Ensembl:CCACVL1_23816
Q01M39	Ensembl:CCACVL1_02723
Q05JG2	Ensembl:CCACVL1_07167
Q06967	Ensembl:CCACVL1_13149
Q0D3B6	Ensembl:CCACVL1_19501 Ensembl:CCACVL1_20439
Q0D3D2	Ensembl:CCACVL1_11731 Ensembl:CCACVL1_22298 Ensembl:CCACVL1_10482
Q0D3F2	Ensembl:CCACVL1_09672 Ensembl:CCACVL1_04316 Ensembl:CCACVL1_28569
Q0D3H8	Ensembl:CCACVL1_30994
Q0D3T5	Ensembl:CCACVL1_14759
Q0D4G3	Ensembl:CCACVL1_01621
Q0D5H9	Ensembl:CCACVL1_12961
Q0D7E4	Ensembl:CCACVL1_30458
Q0D7W4	Ensembl:CCACVL1_27354
Q0D8I9	Ensembl:CCACVL1_17806
Q0D8J6	Ensembl:CCACVL1_19002 Ensembl:CCACVL1_16593
Q0DAA4	Ensembl:CCACVL1_16392
Q0DAE1	Ensembl:CCACVL1_19248
Q0DAJ3	Ensembl:CCACVL1_23406 Ensembl:CCACVL1_10036
Q0DAZ7	Ensembl:CCACVL1_20912
Q0DBD3	Ensembl:CCACVL1_25873
Q0DBF4	Ensembl:CCACVL1_08827
Q0DBN4	Ensembl:CCACVL1_11119
Q0DDD2	Ensembl:CCACVL1_29101
Q0DDS1	Ensembl:CCACVL1_16163
Q0DEC8	Ensembl:CCACVL1_03234
Q0DFL6	Ensembl:CCACVL1_06288 Ensembl:CCACVL1_22105
Q0DG18	Ensembl:CCACVL1_15671
Q0DGG8	Ensembl:CCACVL1_20608
Q0DGS1	Ensembl:CCACVL1_15739
Q0DHF6	Ensembl:CCACVL1_11731 Ensembl:CCACVL1_22298 Ensembl:CCACVL1_10482
Q0DHT1	Ensembl:CCACVL1_30962
Q0DJJ9	Ensembl:CCACVL1_15316
Q0DJT2	Ensembl:CCACVL1_23156
Q0DKE8	Ensembl:CCACVL1_30761 Ensembl:CCACVL1_14499
Q0DKM0	Ensembl:CCACVL1_22194
Q0DKP3	Ensembl:CCACVL1_14763
Q0DKY4	Ensembl:CCACVL1_03926
Q0DNU1	Ensembl:CCACVL1_30247
Q0DS96	Ensembl:CCACVL1_20471
Q0DSM1	Ensembl:CCACVL1_28462
Q0DUI1	Ensembl:CCACVL1_11257
Q0DV32	Ensembl:CCACVL1_11759 Ensembl:CCACVL1_17826 Ensembl:CCACVL1_11760
Q0DWC7	Ensembl:CCACVL1_17993 Ensembl:CCACVL1_27566
Q0DWF2	Ensembl:CCACVL1_09567 Ensembl:CCACVL1_04319
Q0DWH1	Ensembl:CCACVL1_30920
Q0DWY7	Ensembl:CCACVL1_01780
Q0DXM9	Ensembl:CCACVL1_29101
Q0DY86	Ensembl:CCACVL1_30950 Ensembl:CCACVL1_14749
Q0DZE0	Ensembl:CCACVL1_17805 Ensembl:CCACVL1_20537 Ensembl:CCACVL1_05302
Q0E079	Ensembl:CCACVL1_10585 Ensembl:CCACVL1_26715
Q0E088	Ensembl:CCACVL1_03450
Q0E0S0	Ensembl:CCACVL1_12091 Ensembl:CCACVL1_20983
Q0E2P1	Ensembl:CCACVL1_18625
Q0E2Y8	Ensembl:CCACVL1_03169
Q0E3F2	Ensembl:CCACVL1_18710
Q0E3J1	Ensembl:CCACVL1_16392
Q0E3L4	Ensembl:CCACVL1_05323 Ensembl:CCACVL1_05319 Ensembl:CCACVL1_02383
Q0E4F0	Ensembl:CCACVL1_16774 Ensembl:CCACVL1_16775
Q0E4H0	Ensembl:CCACVL1_16163
Q0E4N2	Ensembl:CCACVL1_06957
Q0ILP7	Ensembl:CCACVL1_01605
Q0ILR7	Ensembl:CCACVL1_11565 Ensembl:CCACVL1_11563
Q0IM00	Ensembl:CCACVL1_30904
Q0INY7	Ensembl:CCACVL1_12486 Ensembl:CCACVL1_13126 Ensembl:CCACVL1_13127 Ensembl:CCACVL1_13125
Q0INZ4	Ensembl:CCACVL1_16562
Q0IPF7	Ensembl:CCACVL1_00945 Ensembl:CCACVL1_00555
Q0IQ89	Ensembl:CCACVL1_12211
Q0IQQ5	Ensembl:CCACVL1_10524
Q0ISY7	Ensembl:CCACVL1_09812
Q0ITU1	Ensembl:CCACVL1_20745
Q0ITW7	Ensembl:CCACVL1_25952
Q0IU28	Ensembl:CCACVL1_07665
Q0IZJ9	Ensembl:CCACVL1_25478
Q0IZR4	Ensembl:CCACVL1_27094
Q0IZS0	Ensembl:CCACVL1_24035
Q0IZX5	Ensembl:CCACVL1_27035 Ensembl:CCACVL1_09123
Q0J0M8	Ensembl:CCACVL1_02990 Ensembl:CCACVL1_17951
Q0J0N3	Ensembl:CCACVL1_04865
Q0J0P1	Ensembl:CCACVL1_06216
Q0J185	Ensembl:CCACVL1_16960 Ensembl:CCACVL1_14003
Q0J1C1	Ensembl:CCACVL1_23567
Q0J1E1	Ensembl:CCACVL1_17288
Q0J2L7	Ensembl:CCACVL1_23091 Ensembl:CCACVL1_25098
Q0J2S0	Ensembl:CCACVL1_29608
Q0J484	Ensembl:CCACVL1_24431
Q0J7P4	Ensembl:CCACVL1_26865
Q0J7U6	Ensembl:CCACVL1_02292
Q0J7W9	Ensembl:CCACVL1_01635
Q0J8A4	Ensembl:CCACVL1_17214
Q0J8X6	Ensembl:CCACVL1_14170
Q0J951	Ensembl:CCACVL1_06846
Q0J9F2	Ensembl:CCACVL1_02021 Ensembl:CCACVL1_11184
Q0J9H0	Ensembl:CCACVL1_20813
Q0J9K2	Ensembl:CCACVL1_27798
Q0J9Z0	Ensembl:CCACVL1_15399
Q0JA81	Ensembl:CCACVL1_03450
Q0JA82	Ensembl:CCACVL1_03450
Q0JAI1	Ensembl:CCACVL1_05844
Q0JB49	Ensembl:CCACVL1_13621
Q0JB91	Ensembl:CCACVL1_05764
Q0JBA9	Ensembl:CCACVL1_19371 Ensembl:CCACVL1_26899
Q0JBF1	Ensembl:CCACVL1_02867 Ensembl:CCACVL1_05707
Q0JC10	Ensembl:CCACVL1_04153
Q0JCU7	Ensembl:CCACVL1_26372
Q0JCZ4	Ensembl:CCACVL1_05386
Q0JDD2	Ensembl:CCACVL1_12013
Q0JDF7	Ensembl:CCACVL1_25478
Q0JDN5	Ensembl:CCACVL1_25266
Q0JDT1	Ensembl:CCACVL1_10715 Ensembl:CCACVL1_10716
Q0JE53	Ensembl:CCACVL1_02723
Q0JEK1	Ensembl:CCACVL1_14266
Q0JEP5	Ensembl:CCACVL1_21509
Q0JEZ8	Ensembl:CCACVL1_03450
Q0JF02	Ensembl:CCACVL1_14882 Ensembl:CCACVL1_02754
Q0JF25	Ensembl:CCACVL1_22340 Ensembl:CCACVL1_22341 Ensembl:CCACVL1_03796 Ensembl:CCACVL1_23464 Ensembl:CCACVL1_22337 Ensembl:CCACVL1_22336 Ensembl:CCACVL1_00172
Q0JF26	Ensembl:CCACVL1_22340 Ensembl:CCACVL1_22341 Ensembl:CCACVL1_03796 Ensembl:CCACVL1_23464 Ensembl:CCACVL1_22337 Ensembl:CCACVL1_22336 Ensembl:CCACVL1_00172
Q0JF30	Ensembl:CCACVL1_17993 Ensembl:CCACVL1_27566
Q0JGK4	Ensembl:CCACVL1_18519
Q0JHN3	Ensembl:CCACVL1_06980
Q0JI87	Ensembl:CCACVL1_08353
Q0JIC2	Ensembl:CCACVL1_31004
Q0JIJ8	Ensembl:CCACVL1_23500
Q0JIR6	Ensembl:CCACVL1_17140 Ensembl:CCACVL1_08862
Q0JIR8	Ensembl:CCACVL1_15577
Q0JJ01	Ensembl:CCACVL1_18910 Ensembl:CCACVL1_02364
Q0JJI1	Ensembl:CCACVL1_12805
Q0JKG7	Ensembl:CCACVL1_28114
Q0JKI9	Ensembl:CCACVL1_15739
Q0JKX2	Ensembl:CCACVL1_24019
Q0JKY8	Ensembl:CCACVL1_12404 Ensembl:CCACVL1_25043 Ensembl:CCACVL1_12403 Ensembl:CCACVL1_14559
Q0JNV2	Ensembl:CCACVL1_24555
Q0JP90	Ensembl:CCACVL1_21894
Q0JPS3	Ensembl:CCACVL1_15846 Ensembl:CCACVL1_11122
Q0JPT4	Ensembl:CCACVL1_15885
Q0JQ41	Ensembl:CCACVL1_23710 Ensembl:CCACVL1_14757
Q0JR06	Ensembl:CCACVL1_04724 Ensembl:CCACVL1_22656
Q0JR55	Ensembl:CCACVL1_20976
Q0JRG4	Ensembl:CCACVL1_10160
Q109K4	Ensembl:CCACVL1_15574
Q10A30	Ensembl:CCACVL1_12083
Q10A97	Ensembl:CCACVL1_02564 Ensembl:CCACVL1_27531 Ensembl:CCACVL1_17981 Ensembl:CCACVL1_17982 Ensembl:CCACVL1_02563
Q10BA5	Ensembl:CCACVL1_10384
Q10BT5	Ensembl:CCACVL1_12674 Ensembl:CCACVL1_27739
Q10BX9	Ensembl:CCACVL1_14638
Q10CE4	Ensembl:CCACVL1_16595
Q10CS9	Ensembl:CCACVL1_11511
Q10CU7	Ensembl:CCACVL1_23385 Ensembl:CCACVL1_27741 Ensembl:CCACVL1_25599
Q10D34	Ensembl:CCACVL1_14423 Ensembl:CCACVL1_27614 Ensembl:CCACVL1_27296
Q10D68	Ensembl:CCACVL1_30217 Ensembl:CCACVL1_26627
Q10DK7	Ensembl:CCACVL1_30163 Ensembl:CCACVL1_26575
Q10DU0	Ensembl:CCACVL1_09740
Q10DZ5	Ensembl:CCACVL1_12132
Q10EG4	Ensembl:CCACVL1_17806
Q10F25	Ensembl:CCACVL1_30247
Q10G56	Ensembl:CCACVL1_18987
Q10H87	Ensembl:CCACVL1_29060 Ensembl:CCACVL1_29061
Q10HZ6	Ensembl:CCACVL1_22340 Ensembl:CCACVL1_22341 Ensembl:CCACVL1_03796 Ensembl:CCACVL1_23464 Ensembl:CCACVL1_22337 Ensembl:CCACVL1_22336 Ensembl:CCACVL1_00172
Q10J20	Ensembl:CCACVL1_26476
Q10J32	Ensembl:CCACVL1_14988
Q10L50	Ensembl:CCACVL1_27398
Q10L51	Ensembl:CCACVL1_16993 Ensembl:CCACVL1_16994 Ensembl:CCACVL1_16995
Q10LP5	Ensembl:CCACVL1_22205
Q10LR4	Ensembl:CCACVL1_00588
Q10LR5	Ensembl:CCACVL1_22191 Ensembl:CCACVL1_30399
Q10M55	Ensembl:CCACVL1_30994
Q10MB0	Ensembl:CCACVL1_22084 Ensembl:CCACVL1_09699 Ensembl:CCACVL1_01100 Ensembl:CCACVL1_28643
Q10MI9	Ensembl:CCACVL1_09672 Ensembl:CCACVL1_04316 Ensembl:CCACVL1_28569
Q10MQ2	Ensembl:CCACVL1_16227
Q10MS2	Ensembl:CCACVL1_30685 Ensembl:CCACVL1_10518
Q10MW3	Ensembl:CCACVL1_11731 Ensembl:CCACVL1_22298 Ensembl:CCACVL1_10482
Q10MX9	Ensembl:CCACVL1_10463 Ensembl:CCACVL1_30643
Q10N17	Ensembl:CCACVL1_18377
Q10N34	Ensembl:CCACVL1_19501 Ensembl:CCACVL1_20439
Q10N92	Ensembl:CCACVL1_23494
Q10NY1	Ensembl:CCACVL1_04489 Ensembl:CCACVL1_04490
Q10NY2	Ensembl:CCACVL1_27789 Ensembl:CCACVL1_23364 Ensembl:CCACVL1_23363
Q10P01	Ensembl:CCACVL1_15935
Q10P67	Ensembl:CCACVL1_10854
Q10PE7	Ensembl:CCACVL1_23876
Q10PL0	Ensembl:CCACVL1_00390 Ensembl:CCACVL1_16233 Ensembl:CCACVL1_16232
Q10PY7	Ensembl:CCACVL1_19285
Q10QA5	Ensembl:CCACVL1_21735
Q10QH1	Ensembl:CCACVL1_11257
Q10QN3	Ensembl:CCACVL1_10598
Q10QT9	Ensembl:CCACVL1_18833
Q10RP2	Ensembl:CCACVL1_04762
Q10S34	Ensembl:CCACVL1_27030
Q10S55	Ensembl:CCACVL1_18850 Ensembl:CCACVL1_16276
Q10S58	Ensembl:CCACVL1_00550
Q10S67	Ensembl:CCACVL1_02623
Q10S72	Ensembl:CCACVL1_02630 Ensembl:CCACVL1_02629
Q10SD6	Ensembl:CCACVL1_24491
Q10SL7	Ensembl:CCACVL1_09873
Q10SM9	Ensembl:CCACVL1_09873
Q10SP1	Ensembl:CCACVL1_21931
Q10SU1	Ensembl:CCACVL1_25063
Q25AR2	Ensembl:CCACVL1_12790
Q2KNB4	Ensembl:CCACVL1_24571
Q2KNB5	Ensembl:CCACVL1_24571
Q2MJA7	Ensembl:CCACVL1_04589
Q2MJA8	Ensembl:CCACVL1_04865
Q2QLJ0	Ensembl:CCACVL1_19289
Q2QLY5	Ensembl:CCACVL1_18426 Ensembl:CCACVL1_20225
Q2QM47	Ensembl:CCACVL1_05415
Q2QM83	Ensembl:CCACVL1_18948
Q2QMD4	Ensembl:CCACVL1_10634
Q2QME6	Ensembl:CCACVL1_27700
Q2QMK8	Ensembl:CCACVL1_27184
Q2QN06	Ensembl:CCACVL1_26507 Ensembl:CCACVL1_21744 Ensembl:CCACVL1_17080
Q2QNN5	Ensembl:CCACVL1_17862 Ensembl:CCACVL1_17855
Q2QNS6	Ensembl:CCACVL1_22180
Q2QPH4	Ensembl:CCACVL1_14817 Ensembl:CCACVL1_14816
Q2QPR0	Ensembl:CCACVL1_17805 Ensembl:CCACVL1_20537 Ensembl:CCACVL1_05302
Q2QQJ5	Ensembl:CCACVL1_03450
Q2QQX6	Ensembl:CCACVL1_05869
Q2QRX6	Ensembl:CCACVL1_16807
Q2QS13	Ensembl:CCACVL1_28823
Q2QS14	Ensembl:CCACVL1_28823
Q2QTJ1	Ensembl:CCACVL1_12486 Ensembl:CCACVL1_13126 Ensembl:CCACVL1_13127 Ensembl:CCACVL1_13125
Q2QTL0	Ensembl:CCACVL1_29455
Q2QTQ1	Ensembl:CCACVL1_29974
Q2QUG4	Ensembl:CCACVL1_05367
Q2QVC1	Ensembl:CCACVL1_11028
Q2QWK9	Ensembl:CCACVL1_16887
Q2QX49	Ensembl:CCACVL1_29421
Q2QX58	Ensembl:CCACVL1_24782
Q2QXB1	Ensembl:CCACVL1_13270
Q2QXL0	Ensembl:CCACVL1_30962
Q2QXP0	Ensembl:CCACVL1_01534
Q2QXY1	Ensembl:CCACVL1_04495
Q2QY63	Ensembl:CCACVL1_19312
Q2QYB7	Ensembl:CCACVL1_20461
Q2QYW4	Ensembl:CCACVL1_10861
Q2QZ14	Ensembl:CCACVL1_23092
Q2R0P3	Ensembl:CCACVL1_12316
Q2R1G8	Ensembl:CCACVL1_26800
Q2R1L4	Ensembl:CCACVL1_13116
Q2R2W1	Ensembl:CCACVL1_23938
Q2R2W2	Ensembl:CCACVL1_13149
Q2R2W8	Ensembl:CCACVL1_26545
Q2R339	Ensembl:CCACVL1_11466
Q2R3A1	Ensembl:CCACVL1_13244 Ensembl:CCACVL1_13243
Q2R3F5	Ensembl:CCACVL1_05869
Q2R3K3	Ensembl:CCACVL1_10140 Ensembl:CCACVL1_07119
Q2R3K5	Ensembl:CCACVL1_10143
Q2R432	Ensembl:CCACVL1_10972
Q2R481	Ensembl:CCACVL1_16807
Q2R4Y8	Ensembl:CCACVL1_04872
Q2R8T7	Ensembl:CCACVL1_24922
Q2RA11	Ensembl:CCACVL1_29421
Q2RAM8	Ensembl:CCACVL1_26888 Ensembl:CCACVL1_26885 Ensembl:CCACVL1_29585 Ensembl:CCACVL1_26887 Ensembl:CCACVL1_26886
Q2RAP0	Ensembl:CCACVL1_04495
Q2RAP4	Ensembl:CCACVL1_09573
Q2RAW4	Ensembl:CCACVL1_05504
Q2RAW8	Ensembl:CCACVL1_05504
Q2RB23	Ensembl:CCACVL1_20461
Q2RBP1	Ensembl:CCACVL1_10861
Q2RBP2	Ensembl:CCACVL1_10864 Ensembl:CCACVL1_30636
Q336M7	Ensembl:CCACVL1_08745
Q336N7	Ensembl:CCACVL1_00486
Q336P5	Ensembl:CCACVL1_15107
Q336R6	Ensembl:CCACVL1_19354 Ensembl:CCACVL1_19101
Q336R7	Ensembl:CCACVL1_05266
Q336U3	Ensembl:CCACVL1_08331
Q336V3	Ensembl:CCACVL1_12148
Q336X9	Ensembl:CCACVL1_21776 Ensembl:CCACVL1_13567
Q337F0	Ensembl:CCACVL1_14174
Q337F3	Ensembl:CCACVL1_25063
Q337H3	Ensembl:CCACVL1_23294
Q338J0	Ensembl:CCACVL1_24130 Ensembl:CCACVL1_24129 Ensembl:CCACVL1_10727
Q338N8	Ensembl:CCACVL1_18833
Q338Z4	Ensembl:CCACVL1_19595
Q33AE4	Ensembl:CCACVL1_09906
Q33CD8	Ensembl:CCACVL1_27398
Q33CD9	Ensembl:CCACVL1_27398
Q40710	Ensembl:CCACVL1_22084 Ensembl:CCACVL1_09699 Ensembl:CCACVL1_01100 Ensembl:CCACVL1_28643
Q42971	Ensembl:CCACVL1_09946
Q42982	Ensembl:CCACVL1_07493
Q43007	Ensembl:CCACVL1_12572
Q43009	Ensembl:CCACVL1_20778 Ensembl:CCACVL1_20774
Q43011	Ensembl:CCACVL1_26775
Q4W8D0	Ensembl:CCACVL1_31074 Ensembl:CCACVL1_01942
Q52RG7	Ensembl:CCACVL1_05340
Q53L28	Ensembl:CCACVL1_24845
Q53M09	Ensembl:CCACVL1_29493 Ensembl:CCACVL1_15895 Ensembl:CCACVL1_15898
Q53Q70	Ensembl:CCACVL1_30962
Q53QJ9	Ensembl:CCACVL1_11028
Q53RH0	Ensembl:CCACVL1_22194
Q5CCK1	Ensembl:CCACVL1_09573
Q5CCK3	Ensembl:CCACVL1_26190
Q5JK17	Ensembl:CCACVL1_10118 Ensembl:CCACVL1_05871
Q5JK18	Ensembl:CCACVL1_08202 Ensembl:CCACVL1_10119
Q5JK20	Ensembl:CCACVL1_05869
Q5JK39	Ensembl:CCACVL1_10140 Ensembl:CCACVL1_07119
Q5JLS4	Ensembl:CCACVL1_11330 Ensembl:CCACVL1_15311
Q5JMA1	Ensembl:CCACVL1_02769
Q5JMB6	Ensembl:CCACVL1_23710 Ensembl:CCACVL1_14757
Q5JMC7	Ensembl:CCACVL1_26894
Q5JME6	Ensembl:CCACVL1_24883
Q5JMM1	Ensembl:CCACVL1_15739
Q5JMT5	Ensembl:CCACVL1_29421
Q5JMX5	Ensembl:CCACVL1_05172
Q5JN19	Ensembl:CCACVL1_02156
Q5JN42	Ensembl:CCACVL1_01705
Q5KQI0	Ensembl:CCACVL1_08353
Q5KS47	Ensembl:CCACVL1_30392
Q5MBR3	Ensembl:CCACVL1_19002 Ensembl:CCACVL1_16593
Q5MBR5	Ensembl:CCACVL1_19002 Ensembl:CCACVL1_16593
Q5N725	Ensembl:CCACVL1_12083
Q5N7C7	Ensembl:CCACVL1_30962
Q5N7L0	Ensembl:CCACVL1_03693
Q5N7Z8	Ensembl:CCACVL1_17878 Ensembl:CCACVL1_01753 Ensembl:CCACVL1_02478 Ensembl:CCACVL1_17879 Ensembl:CCACVL1_17877
Q5N8F6	Ensembl:CCACVL1_14389
Q5N8G1	Ensembl:CCACVL1_15889
Q5N8H9	Ensembl:CCACVL1_17171
Q5N9A1	Ensembl:CCACVL1_15439
Q5N9N2	Ensembl:CCACVL1_23091 Ensembl:CCACVL1_25098
Q5N9Z8	Ensembl:CCACVL1_26819
Q5NA12	Ensembl:CCACVL1_25271
Q5NAY4	Ensembl:CCACVL1_07973
Q5NB25	Ensembl:CCACVL1_28114 Ensembl:CCACVL1_08609
Q5NBT9	Ensembl:CCACVL1_04832
Q5NTH3	Ensembl:CCACVL1_26873
Q5NTH4	Ensembl:CCACVL1_26873
Q5QLG3	Ensembl:CCACVL1_27971
Q5QN02	Ensembl:CCACVL1_18004
Q5QNB8	Ensembl:CCACVL1_04029 Ensembl:CCACVL1_15811
Q5SND7	Ensembl:CCACVL1_11814
Q5U9F2	Ensembl:CCACVL1_12022
Q5VMP0	Ensembl:CCACVL1_08055
Q5VMP2	Ensembl:CCACVL1_19619
Q5VN31	Ensembl:CCACVL1_11364
Q5VNP5	Ensembl:CCACVL1_16839 Ensembl:CCACVL1_02684 Ensembl:CCACVL1_26170
Q5VNT9	Ensembl:CCACVL1_09946
Q5VNW0	Ensembl:CCACVL1_14292
Q5VPH2	Ensembl:CCACVL1_01980
Q5VQG8	Ensembl:CCACVL1_30761 Ensembl:CCACVL1_14499
Q5VRB9	Ensembl:CCACVL1_29231
Q5VRH4	Ensembl:CCACVL1_16425
Q5VRM7	Ensembl:CCACVL1_27439 Ensembl:CCACVL1_15151
Q5VRR2	Ensembl:CCACVL1_14038
Q5W670	Ensembl:CCACVL1_18549 Ensembl:CCACVL1_06149
Q5W6F1	Ensembl:CCACVL1_11618
Q5W6F9	Ensembl:CCACVL1_20600
Q5W6H5	Ensembl:CCACVL1_10475
Q5W6W7	Ensembl:CCACVL1_01673 Ensembl:CCACVL1_20719
Q5XLJ2	Ensembl:CCACVL1_11466
Q5Z5B7	Ensembl:CCACVL1_24598
Q5Z5R4	Ensembl:CCACVL1_08827
Q5Z678	Ensembl:CCACVL1_23741
Q5Z749	Ensembl:CCACVL1_28114 Ensembl:CCACVL1_08609
Q5Z7R3	Ensembl:CCACVL1_04737 Ensembl:CCACVL1_04645 Ensembl:CCACVL1_13206 Ensembl:CCACVL1_08779
Q5Z8K3	Ensembl:CCACVL1_03630
Q5Z8S0	Ensembl:CCACVL1_20919 Ensembl:CCACVL1_18691 Ensembl:CCACVL1_18636
Q5Z8T3	Ensembl:CCACVL1_18577
Q5Z8V9	Ensembl:CCACVL1_23742
Q5Z8Y4	Ensembl:CCACVL1_07192
Q5ZCV1	Ensembl:CCACVL1_13884 Ensembl:CCACVL1_28390
Q5ZED1	Ensembl:CCACVL1_25186
Q5ZEL4	Ensembl:CCACVL1_10466
Q60EC0	Ensembl:CCACVL1_25955
Q60EH4	Ensembl:CCACVL1_06980
Q60EI7	Ensembl:CCACVL1_17140 Ensembl:CCACVL1_08862
Q60EX6	Ensembl:CCACVL1_14795
Q64MA9	Ensembl:CCACVL1_07727 Ensembl:CCACVL1_09894
Q650W1	Ensembl:CCACVL1_25478
Q651F0	Ensembl:CCACVL1_27003
Q652A8	Ensembl:CCACVL1_13659
Q653D9	Ensembl:CCACVL1_19619
Q653T6	Ensembl:CCACVL1_18958
Q653U3	Ensembl:CCACVL1_30898 Ensembl:CCACVL1_18951
Q655T1	Ensembl:CCACVL1_10615
Q655T6	Ensembl:CCACVL1_16373
Q655W2	Ensembl:CCACVL1_14342
Q655Y9	Ensembl:CCACVL1_10316
Q656F1	Ensembl:CCACVL1_28891
Q65XC6	Ensembl:CCACVL1_23192 Ensembl:CCACVL1_02417
Q65XK0	Ensembl:CCACVL1_04016 Ensembl:CCACVL1_15804
