A2X747	Phytozome_Cs:orange1.1g036315m
P0C0X5	Phytozome_Cs:orange1.1g048649m Phytozome_Cs:orange1.1g041574m Phytozome_Cs:orange1.1g041301m Phytozome_Cs:orange1.1g006674m Phytozome_Cs:orange1.1g010956m Phytozome_Cs:orange1.1g007022m Phytozome_Cs:orange1.1g035534m Phytozome_Cs:orange1.1g007019m Phytozome_Cs:orange1.1g009681m Phytozome_Cs:orange1.1g006199m Phytozome_Cs:orange1.1g007418m
P0C128	Phytozome_Cs:orange1.1g025433m Phytozome_Cs:orange1.1g023966m Phytozome_Cs:orange1.1g020493m Phytozome_Cs:orange1.1g025406m Phytozome_Cs:orange1.1g022921m Phytozome_Cs:orange1.1g020479m
P0C132	Phytozome_Cs:orange1.1g026811m Phytozome_Cs:orange1.1g029018m
P0C587	Phytozome_Cs:orange1.1g010322m
P0C5A4	Phytozome_Cs:orange1.1g045955m
P0C5B2	Phytozome_Cs:orange1.1g027656m Phytozome_Cs:orange1.1g028858m Phytozome_Cs:orange1.1g028923m Phytozome_Cs:orange1.1g030748m Phytozome_Cs:orange1.1g027684m Phytozome_Cs:orange1.1g027691m Phytozome_Cs:orange1.1g028911m Phytozome_Cs:orange1.1g028363m Phytozome_Cs:orange1.1g028864m Phytozome_Cs:orange1.1g031392m Phytozome_Cs:orange1.1g028889m Phytozome_Cs:orange1.1g028641m Phytozome_Cs:orange1.1g027667m Phytozome_Cs:orange1.1g031012m Phytozome_Cs:orange1.1g027658m Phytozome_Cs:orange1.1g030981m Phytozome_Cs:orange1.1g031002m
P14654	Phytozome_Cs:orange1.1g018434m Phytozome_Cs:orange1.1g018391m
P14655	Phytozome_Cs:orange1.1g014226m Phytozome_Cs:orange1.1g013989m Phytozome_Cs:orange1.1g017214m Phytozome_Cs:orange1.1g014002m Phytozome_Cs:orange1.1g013478m Phytozome_Cs:orange1.1g013994m
P14656	Phytozome_Cs:orange1.1g018434m Phytozome_Cs:orange1.1g018391m
P15280	Phytozome_Cs:orange1.1g010006m Phytozome_Cs:orange1.1g017422m Phytozome_Cs:orange1.1g009971m
P16081	Phytozome_Cs:orange1.1g002724m
P17784	Phytozome_Cs:orange1.1g018326m
P17814	Phytozome_Cs:orange1.1g009077m Phytozome_Cs:orange1.1g010425m Phytozome_Cs:orange1.1g014952m Phytozome_Cs:orange1.1g042783m
P18566	Phytozome_Cs:orange1.1g030735m Phytozome_Cs:orange1.1g030738m Phytozome_Cs:orange1.1g029245m
P30298	Phytozome_Cs:orange1.1g003646m Phytozome_Cs:orange1.1g003657m Phytozome_Cs:orange1.1g003661m Phytozome_Cs:orange1.1g003656m Phytozome_Cs:orange1.1g003655m Phytozome_Cs:orange1.1g005365m Phytozome_Cs:orange1.1g003962m Phytozome_Cs:orange1.1g003652m Phytozome_Cs:orange1.1g003647m
P31924	Phytozome_Cs:orange1.1g003646m Phytozome_Cs:orange1.1g003657m Phytozome_Cs:orange1.1g003661m Phytozome_Cs:orange1.1g003656m Phytozome_Cs:orange1.1g003655m Phytozome_Cs:orange1.1g005365m Phytozome_Cs:orange1.1g003962m Phytozome_Cs:orange1.1g003652m Phytozome_Cs:orange1.1g003647m
P37833	Phytozome_Cs:orange1.1g015435m
P38419	Phytozome_Cs:orange1.1g002644m Phytozome_Cs:orange1.1g002670m Phytozome_Cs:orange1.1g002672m Phytozome_Cs:orange1.1g003699m Phytozome_Cs:orange1.1g008591m Phytozome_Cs:orange1.1g002617m Phytozome_Cs:orange1.1g007678m Phytozome_Cs:orange1.1g008399m Phytozome_Cs:orange1.1g007674m Phytozome_Cs:orange1.1g006365m Phytozome_Cs:orange1.1g012542m Phytozome_Cs:orange1.1g006428m Phytozome_Cs:orange1.1g008395m Phytozome_Cs:orange1.1g005971m Phytozome_Cs:orange1.1g008659m Phytozome_Cs:orange1.1g006629m Phytozome_Cs:orange1.1g004307m Phytozome_Cs:orange1.1g006999m Phytozome_Cs:orange1.1g002649m Phytozome_Cs:orange1.1g047131m Phytozome_Cs:orange1.1g040723m Phytozome_Cs:orange1.1g005962m Phytozome_Cs:orange1.1g002706m
P42862	Phytozome_Cs:orange1.1g013562m Phytozome_Cs:orange1.1g007374m Phytozome_Cs:orange1.1g007963m
P42863	Phytozome_Cs:orange1.1g013562m Phytozome_Cs:orange1.1g007374m Phytozome_Cs:orange1.1g007963m
P48642	Phytozome_Cs:orange1.1g042564m
P93438	Phytozome_Cs:orange1.1g016192m Phytozome_Cs:orange1.1g016895m Phytozome_Cs:orange1.1g015873m Phytozome_Cs:orange1.1g016843m Phytozome_Cs:orange1.1g016575m Phytozome_Cs:orange1.1g016215m Phytozome_Cs:orange1.1g044516m
Q01KF3	Phytozome_Cs:orange1.1g021621m Phytozome_Cs:orange1.1g021828m
Q01M39	Phytozome_Cs:orange1.1g047540m Phytozome_Cs:orange1.1g010775m Phytozome_Cs:orange1.1g037221m Phytozome_Cs:orange1.1g022329m Phytozome_Cs:orange1.1g010825m Phytozome_Cs:orange1.1g010684m Phytozome_Cs:orange1.1g022321m Phytozome_Cs:orange1.1g012217m Phytozome_Cs:orange1.1g022811m Phytozome_Cs:orange1.1g012342m
Q05JG2	Phytozome_Cs:orange1.1g042507m Phytozome_Cs:orange1.1g036255m Phytozome_Cs:orange1.1g046128m
Q06967	Phytozome_Cs:orange1.1g024736m Phytozome_Cs:orange1.1g024714m
Q0D3B6	Phytozome_Cs:orange1.1g007205m Phytozome_Cs:orange1.1g003994m Phytozome_Cs:orange1.1g003995m Phytozome_Cs:orange1.1g004001m Phytozome_Cs:orange1.1g004541m Phytozome_Cs:orange1.1g005631m Phytozome_Cs:orange1.1g004184m Phytozome_Cs:orange1.1g007196m
Q0D3D2	Phytozome_Cs:orange1.1g044559m Phytozome_Cs:orange1.1g007917m Phytozome_Cs:orange1.1g007800m Phytozome_Cs:orange1.1g009060m
Q0D3F2	Phytozome_Cs:orange1.1g039591m Phytozome_Cs:orange1.1g021008m Phytozome_Cs:orange1.1g042119m Phytozome_Cs:orange1.1g036061m
Q0D4G3	Phytozome_Cs:orange1.1g024445m
Q0D759	Phytozome_Cs:orange1.1g041964m Phytozome_Cs:orange1.1g010151m Phytozome_Cs:orange1.1g035623m Phytozome_Cs:orange1.1g010614m Phytozome_Cs:orange1.1g010727m Phytozome_Cs:orange1.1g048482m Phytozome_Cs:orange1.1g041279m Phytozome_Cs:orange1.1g010479m Phytozome_Cs:orange1.1g046490m Phytozome_Cs:orange1.1g035527m Phytozome_Cs:orange1.1g035827m Phytozome_Cs:orange1.1g013651m Phytozome_Cs:orange1.1g046023m Phytozome_Cs:orange1.1g047291m Phytozome_Cs:orange1.1g048583m Phytozome_Cs:orange1.1g046537m Phytozome_Cs:orange1.1g048790m Phytozome_Cs:orange1.1g038171m Phytozome_Cs:orange1.1g010315m Phytozome_Cs:orange1.1g048189m Phytozome_Cs:orange1.1g010661m Phytozome_Cs:orange1.1g037819m Phytozome_Cs:orange1.1g009872m
Q0D7E4	Phytozome_Cs:orange1.1g009128m Phytozome_Cs:orange1.1g016122m Phytozome_Cs:orange1.1g008955m Phytozome_Cs:orange1.1g009104m Phytozome_Cs:orange1.1g010396m Phytozome_Cs:orange1.1g013769m
Q0D7J0	Phytozome_Cs:orange1.1g013342m Phytozome_Cs:orange1.1g046167m Phytozome_Cs:orange1.1g012151m Phytozome_Cs:orange1.1g013836m Phytozome_Cs:orange1.1g012678m Phytozome_Cs:orange1.1g012543m Phytozome_Cs:orange1.1g012563m Phytozome_Cs:orange1.1g040486m Phytozome_Cs:orange1.1g016062m Phytozome_Cs:orange1.1g012613m Phytozome_Cs:orange1.1g020179m Phytozome_Cs:orange1.1g014232m Phytozome_Cs:orange1.1g018483m Phytozome_Cs:orange1.1g012735m Phytozome_Cs:orange1.1g012474m
Q0D7J3	Phytozome_Cs:orange1.1g013342m Phytozome_Cs:orange1.1g046167m Phytozome_Cs:orange1.1g012151m Phytozome_Cs:orange1.1g013836m Phytozome_Cs:orange1.1g012678m Phytozome_Cs:orange1.1g012543m Phytozome_Cs:orange1.1g012563m Phytozome_Cs:orange1.1g040486m Phytozome_Cs:orange1.1g016062m Phytozome_Cs:orange1.1g012613m Phytozome_Cs:orange1.1g020179m Phytozome_Cs:orange1.1g014232m Phytozome_Cs:orange1.1g018483m Phytozome_Cs:orange1.1g012735m Phytozome_Cs:orange1.1g012474m
Q0D7W4	Phytozome_Cs:orange1.1g023333m Phytozome_Cs:orange1.1g025358m Phytozome_Cs:orange1.1g023386m Phytozome_Cs:orange1.1g026885m Phytozome_Cs:orange1.1g024958m
Q0D8I9	Phytozome_Cs:orange1.1g000798m Phytozome_Cs:orange1.1g000759m Phytozome_Cs:orange1.1g000538m Phytozome_Cs:orange1.1g000799m Phytozome_Cs:orange1.1g000800m Phytozome_Cs:orange1.1g000794m
Q0D8J6	Phytozome_Cs:orange1.1g007291m Phytozome_Cs:orange1.1g007379m
Q0D980	Phytozome_Cs:orange1.1g021289m Phytozome_Cs:orange1.1g023313m Phytozome_Cs:orange1.1g017904m
Q0DA35	Phytozome_Cs:orange1.1g034327m Phytozome_Cs:orange1.1g034684m
Q0DAA4	Phytozome_Cs:orange1.1g001896m Phytozome_Cs:orange1.1g002427m Phytozome_Cs:orange1.1g004259m Phytozome_Cs:orange1.1g003131m Phytozome_Cs:orange1.1g008590m Phytozome_Cs:orange1.1g001906m
Q0DBD3	Phytozome_Cs:orange1.1g021866m Phytozome_Cs:orange1.1g021898m
Q0DBF4	Phytozome_Cs:orange1.1g010097m
Q0DBN4	Phytozome_Cs:orange1.1g047180m Phytozome_Cs:orange1.1g013839m
Q0DCE9	Phytozome_Cs:orange1.1g006113m Phytozome_Cs:orange1.1g007236m Phytozome_Cs:orange1.1g006970m Phytozome_Cs:orange1.1g005872m Phytozome_Cs:orange1.1g040402m Phytozome_Cs:orange1.1g006052m Phytozome_Cs:orange1.1g006085m
Q0DDS1	Phytozome_Cs:orange1.1g020760m Phytozome_Cs:orange1.1g022344m Phytozome_Cs:orange1.1g016473m Phytozome_Cs:orange1.1g018918m Phytozome_Cs:orange1.1g016411m
Q0DEC8	Phytozome_Cs:orange1.1g007370m Phytozome_Cs:orange1.1g008154m Phytozome_Cs:orange1.1g006091m Phytozome_Cs:orange1.1g009139m
Q0DG35	Phytozome_Cs:orange1.1g000265m Phytozome_Cs:orange1.1g000266m
Q0DGG8	Phytozome_Cs:orange1.1g047635m
Q0DHF6	Phytozome_Cs:orange1.1g044559m Phytozome_Cs:orange1.1g007917m Phytozome_Cs:orange1.1g007800m Phytozome_Cs:orange1.1g009060m
Q0DJJ9	Phytozome_Cs:orange1.1g022631m Phytozome_Cs:orange1.1g022634m
Q0DJT2	Phytozome_Cs:orange1.1g018011m Phytozome_Cs:orange1.1g017144m Phytozome_Cs:orange1.1g024790m Phytozome_Cs:orange1.1g022769m Phytozome_Cs:orange1.1g020829m Phytozome_Cs:orange1.1g016689m Phytozome_Cs:orange1.1g024779m Phytozome_Cs:orange1.1g017993m Phytozome_Cs:orange1.1g020803m Phytozome_Cs:orange1.1g023245m Phytozome_Cs:orange1.1g018138m Phytozome_Cs:orange1.1g023676m
Q0DKE8	Phytozome_Cs:orange1.1g018172m Phytozome_Cs:orange1.1g012785m
Q0DKP3	Phytozome_Cs:orange1.1g007912m Phytozome_Cs:orange1.1g008051m Phytozome_Cs:orange1.1g008325m
Q0DKY4	Phytozome_Cs:orange1.1g016192m Phytozome_Cs:orange1.1g016895m Phytozome_Cs:orange1.1g015873m Phytozome_Cs:orange1.1g016843m Phytozome_Cs:orange1.1g016575m Phytozome_Cs:orange1.1g016215m Phytozome_Cs:orange1.1g044516m
Q0DNU1	Phytozome_Cs:orange1.1g021461m Phytozome_Cs:orange1.1g017348m Phytozome_Cs:orange1.1g024594m Phytozome_Cs:orange1.1g027756m Phytozome_Cs:orange1.1g025411m Phytozome_Cs:orange1.1g018981m Phytozome_Cs:orange1.1g027672m Phytozome_Cs:orange1.1g017321m Phytozome_Cs:orange1.1g022728m Phytozome_Cs:orange1.1g017834m Phytozome_Cs:orange1.1g018653m Phytozome_Cs:orange1.1g023560m Phytozome_Cs:orange1.1g017409m Phytozome_Cs:orange1.1g018641m Phytozome_Cs:orange1.1g018626m Phytozome_Cs:orange1.1g017356m Phytozome_Cs:orange1.1g017195m Phytozome_Cs:orange1.1g018277m
Q0DS76	Phytozome_Cs:orange1.1g000652m Phytozome_Cs:orange1.1g000651m Phytozome_Cs:orange1.1g001401m
Q0DSM1	Phytozome_Cs:orange1.1g012705m Phytozome_Cs:orange1.1g012077m
Q0DV32	Phytozome_Cs:orange1.1g013780m Phytozome_Cs:orange1.1g019348m Phytozome_Cs:orange1.1g043601m Phytozome_Cs:orange1.1g013850m Phytozome_Cs:orange1.1g014435m
Q0DWC7	Phytozome_Cs:orange1.1g004510m
Q0DWF2	Phytozome_Cs:orange1.1g023395m Phytozome_Cs:orange1.1g022632m Phytozome_Cs:orange1.1g023104m
Q0DWH1	Phytozome_Cs:orange1.1g016978m Phytozome_Cs:orange1.1g022865m Phytozome_Cs:orange1.1g026087m Phytozome_Cs:orange1.1g019139m Phytozome_Cs:orange1.1g025895m Phytozome_Cs:orange1.1g017000m Phytozome_Cs:orange1.1g025264m Phytozome_Cs:orange1.1g026414m Phytozome_Cs:orange1.1g025257m Phytozome_Cs:orange1.1g017431m
Q0DXA9	Phytozome_Cs:orange1.1g009137m Phytozome_Cs:orange1.1g010030m Phytozome_Cs:orange1.1g039620m Phytozome_Cs:orange1.1g008917m Phytozome_Cs:orange1.1g009398m Phytozome_Cs:orange1.1g019688m
Q0DY86	Phytozome_Cs:orange1.1g014594m Phytozome_Cs:orange1.1g025730m Phytozome_Cs:orange1.1g019868m Phytozome_Cs:orange1.1g014492m
Q0DYK7	Phytozome_Cs:orange1.1g009339m Phytozome_Cs:orange1.1g008462m Phytozome_Cs:orange1.1g008483m Phytozome_Cs:orange1.1g007895m Phytozome_Cs:orange1.1g009337m Phytozome_Cs:orange1.1g008490m Phytozome_Cs:orange1.1g015898m Phytozome_Cs:orange1.1g017960m Phytozome_Cs:orange1.1g008475m Phytozome_Cs:orange1.1g012614m
Q0DZE0	Phytozome_Cs:orange1.1g005031m Phytozome_Cs:orange1.1g037382m Phytozome_Cs:orange1.1g004955m
Q0E2P1	Phytozome_Cs:orange1.1g012535m Phytozome_Cs:orange1.1g015363m Phytozome_Cs:orange1.1g010206m Phytozome_Cs:orange1.1g010287m Phytozome_Cs:orange1.1g015390m Phytozome_Cs:orange1.1g011257m Phytozome_Cs:orange1.1g043890m Phytozome_Cs:orange1.1g010256m
Q0E2P9	Phytozome_Cs:orange1.1g009299m Phytozome_Cs:orange1.1g008995m
Q0E2X2	Phytozome_Cs:orange1.1g037640m Phytozome_Cs:orange1.1g048562m Phytozome_Cs:orange1.1g039701m Phytozome_Cs:orange1.1g013951m Phytozome_Cs:orange1.1g011142m Phytozome_Cs:orange1.1g010988m Phytozome_Cs:orange1.1g011490m Phytozome_Cs:orange1.1g039413m Phytozome_Cs:orange1.1g046605m Phytozome_Cs:orange1.1g038151m Phytozome_Cs:orange1.1g046582m Phytozome_Cs:orange1.1g010940m Phytozome_Cs:orange1.1g044823m Phytozome_Cs:orange1.1g011339m Phytozome_Cs:orange1.1g044012m Phytozome_Cs:orange1.1g010093m Phytozome_Cs:orange1.1g042970m
Q0E3F2	Phytozome_Cs:orange1.1g006707m Phytozome_Cs:orange1.1g009384m Phytozome_Cs:orange1.1g007010m Phytozome_Cs:orange1.1g007076m Phytozome_Cs:orange1.1g012530m
Q0E3J1	Phytozome_Cs:orange1.1g001896m Phytozome_Cs:orange1.1g002427m Phytozome_Cs:orange1.1g004259m Phytozome_Cs:orange1.1g003131m Phytozome_Cs:orange1.1g008590m Phytozome_Cs:orange1.1g001906m
Q0E3L4	Phytozome_Cs:orange1.1g013898m Phytozome_Cs:orange1.1g016432m
Q0E4F0	Phytozome_Cs:orange1.1g015121m Phytozome_Cs:orange1.1g011591m Phytozome_Cs:orange1.1g008932m Phytozome_Cs:orange1.1g018778m Phytozome_Cs:orange1.1g008695m
Q0E4N2	Phytozome_Cs:orange1.1g019218m Phytozome_Cs:orange1.1g014714m Phytozome_Cs:orange1.1g017031m Phytozome_Cs:orange1.1g023775m Phytozome_Cs:orange1.1g025322m Phytozome_Cs:orange1.1g023760m
Q0ILP7	Phytozome_Cs:orange1.1g022949m Phytozome_Cs:orange1.1g011357m Phytozome_Cs:orange1.1g008692m Phytozome_Cs:orange1.1g015802m
Q0INY7	Phytozome_Cs:orange1.1g030735m Phytozome_Cs:orange1.1g030738m Phytozome_Cs:orange1.1g029245m
Q0INZ4	Phytozome_Cs:orange1.1g014706m Phytozome_Cs:orange1.1g014627m
Q0IPE5	Phytozome_Cs:orange1.1g022892m
Q0IQ89	Phytozome_Cs:orange1.1g022751m Phytozome_Cs:orange1.1g022519m Phytozome_Cs:orange1.1g018848m Phytozome_Cs:orange1.1g014177m
Q0IQA5	Phytozome_Cs:orange1.1g048649m Phytozome_Cs:orange1.1g041574m Phytozome_Cs:orange1.1g041301m Phytozome_Cs:orange1.1g006674m Phytozome_Cs:orange1.1g010956m Phytozome_Cs:orange1.1g007022m Phytozome_Cs:orange1.1g035534m Phytozome_Cs:orange1.1g007019m Phytozome_Cs:orange1.1g009681m Phytozome_Cs:orange1.1g006199m Phytozome_Cs:orange1.1g007418m
Q0IQQ5	Phytozome_Cs:orange1.1g039534m
Q0IRE6	Phytozome_Cs:orange1.1g008446m Phytozome_Cs:orange1.1g008481m Phytozome_Cs:orange1.1g008309m
Q0IS70	Phytozome_Cs:orange1.1g019298m Phytozome_Cs:orange1.1g014936m
