A0A0P0VEU3	Phytozome_Mg:Migut.N02573.1
Q0DGG8	Phytozome_Mg:Migut.K00586.1 Phytozome_Mg:Migut.J00592.1
Q0DJJ9	Phytozome_Mg:Migut.M01387.1
Q0DKE8	Phytozome_Mg:Migut.O00136.1 Phytozome_Mg:Migut.D01989.1
Q0DKP3	Phytozome_Mg:Migut.D00151.1 Phytozome_Mg:Migut.N01403.1
Q0DKY4	Phytozome_Mg:Migut.B00863.1
Q0DS76	Phytozome_Mg:Migut.H02557.1
Q0DSM1	Phytozome_Mg:Migut.N00089.1 Phytozome_Mg:Migut.G00163.1
Q0DV32	Phytozome_Mg:Migut.D02264.1
Q0DWF2	Phytozome_Mg:Migut.G00572.1
Q0DY86	Phytozome_Mg:Migut.L01374.1
Q0DYK7	Phytozome_Mg:Migut.N01362.1
Q0DZE0	Phytozome_Mg:Migut.L01685.1 Phytozome_Mg:Migut.J00542.1
Q0E2P1	Phytozome_Mg:Migut.I01006.1 Phytozome_Mg:Migut.D00977.1
Q0E3F2	Phytozome_Mg:Migut.J01462.1
Q0E3J1	Phytozome_Mg:Migut.M02001.1
Q0E3L4	Phytozome_Mg:Migut.M00071.1
Q0E4F0	Phytozome_Mg:Migut.B00186.1 Phytozome_Mg:Migut.B00187.1
Q0E4N2	Phytozome_Mg:Migut.F00911.1
Q0INY7	Phytozome_Mg:Migut.D01473.1 Phytozome_Mg:Migut.I00348.1 Phytozome_Mg:Migut.D01471.1
Q0INZ4	Phytozome_Mg:Migut.M00682.1 Phytozome_Mg:Migut.H02035.1
Q0IPE5	Phytozome_Mg:Migut.H01658.1
Q0IQQ5	Phytozome_Mg:Migut.J00100.1
Q0IRE6	Phytozome_Mg:Migut.F01584.1
Q0IS70	Phytozome_Mg:Migut.M00158.1
Q0ISY7	Phytozome_Mg:Migut.N00902.1
Q0ITU1	Phytozome_Mg:Migut.L01574.1
Q0IZS0	Phytozome_Mg:Migut.L00987.1
Q0IZX5	Phytozome_Mg:Migut.N03187.1 Phytozome_Mg:Migut.C00903.1
Q0J0L4	Phytozome_Mg:Migut.F00074.1
Q0J0M8	Phytozome_Mg:Migut.N01365.1 Phytozome_Mg:Migut.N02990.1 Phytozome_Mg:Migut.C00353.1
Q0J185	Phytozome_Mg:Migut.C00577.1
Q0J1C1	Phytozome_Mg:Migut.H01595.1 Phytozome_Mg:Migut.M01363.1
Q0J1E1	Phytozome_Mg:Migut.N02273.1
Q0J7U6	Phytozome_Mg:Migut.E01334.1 Phytozome_Mg:Migut.A00578.1
Q0J951	Phytozome_Mg:Migut.K01158.1
Q0J9K2	Phytozome_Mg:Migut.I00744.1
Q0J9Z0	Phytozome_Mg:Migut.M01321.1
Q0JA82	Phytozome_Mg:Migut.M01506.1
Q0JA83	Phytozome_Mg:Migut.M01506.1
Q0JAI1	Phytozome_Mg:Migut.I00669.1
Q0JB49	Phytozome_Mg:Migut.E01102.1
Q0JB91	Phytozome_Mg:Migut.F01192.1
Q0JB99	Phytozome_Mg:Migut.O00367.1 Phytozome_Mg:Migut.F00528.1
Q0JC10	Phytozome_Mg:Migut.H00558.1 Phytozome_Mg:Migut.L01128.1
Q0JCU7	Phytozome_Mg:Migut.H00431.1
Q0JCZ4	Phytozome_Mg:Migut.B00723.1
Q0JDD2	Phytozome_Mg:Migut.L01784.1 Phytozome_Mg:Migut.J01029.1
Q0JDF7	Phytozome_Mg:Migut.N02513.1
Q0JDT1	Phytozome_Mg:Migut.F02066.1
Q0JDV3	Phytozome_Mg:Migut.D02517.1 Phytozome_Mg:Migut.N00642.1
Q0JEK1	Phytozome_Mg:Migut.N00657.1 Phytozome_Mg:Migut.D02471.1
Q0JEP5	Phytozome_Mg:Migut.F01958.1
Q0JEZ8	Phytozome_Mg:Migut.M01506.1
Q0JF25	Phytozome_Mg:Migut.N00164.1 Phytozome_Mg:Migut.N00163.1 Phytozome_Mg:Migut.N00167.1
Q0JF26	Phytozome_Mg:Migut.N00164.1 Phytozome_Mg:Migut.N00163.1 Phytozome_Mg:Migut.N00167.1
Q0JF30	Phytozome_Mg:Migut.N00253.1 Phytozome_Mg:Migut.G00454.1
Q0JGK4	Phytozome_Mg:Migut.G00726.1
Q0JJI1	Phytozome_Mg:Migut.H00120.1
Q0JK57	Phytozome_Mg:Migut.D01552.1 Phytozome_Mg:Migut.I00307.1
Q0JKD0	Phytozome_Mg:Migut.F00228.1
Q0JKI9	Phytozome_Mg:Migut.M01096.1
Q0JKY8	Phytozome_Mg:Migut.E00162.1 Phytozome_Mg:Migut.H00113.1 Phytozome_Mg:Migut.L01417.1
Q0JPT4	Phytozome_Mg:Migut.M00997.1
Q0JRG4	Phytozome_Mg:Migut.F00029.1
Q109F2	Phytozome_Mg:Migut.L00034.1 Phytozome_Mg:Migut.H02485.1
Q109K4	Phytozome_Mg:Migut.I00194.1 Phytozome_Mg:Migut.M01210.1
Q10A30	Phytozome_Mg:Migut.L01757.1
Q10A97	Phytozome_Mg:Migut.N00264.1 Phytozome_Mg:Migut.D00420.1 Phytozome_Mg:Migut.G00543.1
Q10BT5	Phytozome_Mg:Migut.N01654.1 Phytozome_Mg:Migut.B01410.1
Q10BX9	Phytozome_Mg:Migut.L00869.1
Q10CE4	Phytozome_Mg:Migut.M00661.1
Q10CH5	Phytozome_Mg:Migut.M00105.1
Q10CQ1	Phytozome_Mg:Migut.E00037.1
Q10CS9	Phytozome_Mg:Migut.M01940.1
Q10D68	Phytozome_Mg:Migut.H00289.1
Q10D87	Phytozome_Mg:Migut.D00782.1 Phytozome_Mg:Migut.N00697.1
Q10DK7	Phytozome_Mg:Migut.H00318.1 Phytozome_Mg:Migut.L00433.1
Q10DU0	Phytozome_Mg:Migut.N00986.1 Phytozome_Mg:Migut.B00907.1
Q10DZ5	Phytozome_Mg:Migut.L01735.1 Phytozome_Mg:Migut.J00482.1
Q10E50	Phytozome_Mg:Migut.L01908.1
Q10EG4	Phytozome_Mg:Migut.J00540.1
Q10FE9	Phytozome_Mg:Migut.H02299.1
Q10G56	Phytozome_Mg:Migut.M00893.1
Q10HZ6	Phytozome_Mg:Migut.N00164.1 Phytozome_Mg:Migut.N00163.1 Phytozome_Mg:Migut.N00167.1
Q10J20	Phytozome_Mg:Migut.H00375.1 Phytozome_Mg:Migut.H00378.1
Q10L56	Phytozome_Mg:Migut.N02156.1
Q10LP5	Phytozome_Mg:Migut.D00135.1
Q10LR4	Phytozome_Mg:Migut.J00072.1
Q10LR5	Phytozome_Mg:Migut.D00123.1
Q10MB0	Phytozome_Mg:Migut.L01457.1 Phytozome_Mg:Migut.E00169.1
Q10MG9	Phytozome_Mg:Migut.N00041.1
Q10MK5	Phytozome_Mg:Migut.N01596.1
Q10MQ2	Phytozome_Mg:Migut.B00498.1
Q10MW3	Phytozome_Mg:Migut.J00132.1
Q10MX9	Phytozome_Mg:Migut.F01392.1 Phytozome_Mg:Migut.F00692.1
Q10N17	Phytozome_Mg:Migut.D02175.1
Q10N34	Phytozome_Mg:Migut.J00402.1 Phytozome_Mg:Migut.L01650.1
Q10NY1	Phytozome_Mg:Migut.F01773.1 Phytozome_Mg:Migut.F01774.1
Q10NY2	Phytozome_Mg:Migut.I00737.1
Q10P01	Phytozome_Mg:Migut.B00582.1
Q10P71	Phytozome_Mg:Migut.N01303.1 Phytozome_Mg:Migut.B00100.1
Q10PY7	Phytozome_Mg:Migut.B01295.1
Q10QA5	Phytozome_Mg:Migut.N02779.1 Phytozome_Mg:Migut.O00825.1
Q10QN3	Phytozome_Mg:Migut.B00584.1 Phytozome_Mg:Migut.B01155.1
Q10QR9	Phytozome_Mg:Migut.O00512.1 Phytozome_Mg:Migut.C00604.1
Q10RP2	Phytozome_Mg:Migut.F01970.1
Q10S55	Phytozome_Mg:Migut.N00833.1 Phytozome_Mg:Migut.B00789.1
Q10S72	Phytozome_Mg:Migut.C00928.1
Q10SD6	Phytozome_Mg:Migut.H00094.1 Phytozome_Mg:Migut.O00115.1
Q10SL7	Phytozome_Mg:Migut.F00375.1
Q10SM6	Phytozome_Mg:Migut.B01743.1
Q10SP1	Phytozome_Mg:Migut.N01531.1
Q10SU1	Phytozome_Mg:Migut.F01300.1
Q25AR2	Phytozome_Mg:Migut.N00183.1
Q2KNB4	Phytozome_Mg:Migut.D00635.1
Q2QLJ0	Phytozome_Mg:Migut.B01292.1
Q2QLY5	Phytozome_Mg:Migut.L01866.1 Phytozome_Mg:Migut.J00765.1
Q2QLY6	Phytozome_Mg:Migut.F01051.1
Q2QM47	Phytozome_Mg:Migut.N02438.1 Phytozome_Mg:Migut.D02384.1
Q2QMD4	Phytozome_Mg:Migut.H01671.1
Q2QME6	Phytozome_Mg:Migut.D00332.1
Q2QMK8	Phytozome_Mg:Migut.H00866.1
Q2QN06	Phytozome_Mg:Migut.C00493.1 Phytozome_Mg:Migut.N02772.1
Q2QN88	Phytozome_Mg:Migut.L01183.1
Q2QNF7	Phytozome_Mg:Migut.L01624.1 Phytozome_Mg:Migut.J00372.1
Q2QNS6	Phytozome_Mg:Migut.D00114.1
Q2QPI2	Phytozome_Mg:Migut.F01584.1
Q2QQJ5	Phytozome_Mg:Migut.M01506.1
Q2QQX6	Phytozome_Mg:Migut.D01190.1 Phytozome_Mg:Migut.I00613.1
Q2QRX6	Phytozome_Mg:Migut.N00482.1
Q2QS13	Phytozome_Mg:Migut.K01285.1 Phytozome_Mg:Migut.H00642.1
Q2QS14	Phytozome_Mg:Migut.K01285.1 Phytozome_Mg:Migut.H00642.1
Q2QT32	Phytozome_Mg:Migut.G00772.1 Phytozome_Mg:Migut.N00420.1
Q2QTJ1	Phytozome_Mg:Migut.D01473.1 Phytozome_Mg:Migut.I00348.1 Phytozome_Mg:Migut.D01471.1
Q2QTQ1	Phytozome_Mg:Migut.I00341.1
Q2QUG4	Phytozome_Mg:Migut.N01698.1
Q2QVC1	Phytozome_Mg:Migut.D00060.1 Phytozome_Mg:Migut.N00934.1
Q2QWK9	Phytozome_Mg:Migut.B00813.1
Q2QWV7	Phytozome_Mg:Migut.C01187.1
Q2QX58	Phytozome_Mg:Migut.C01124.1
Q2QXL0	Phytozome_Mg:Migut.L02052.1
Q2QXY1	Phytozome_Mg:Migut.J01682.1
Q2QXY9	Phytozome_Mg:Migut.G01068.1
Q2QXZ1	Phytozome_Mg:Migut.J01667.1
Q2QY63	Phytozome_Mg:Migut.B01266.1
Q2QYB7	Phytozome_Mg:Migut.N02415.1
Q2QZ14	Phytozome_Mg:Migut.D00873.1
Q2R1G8	Phytozome_Mg:Migut.L00107.1
Q2R1L4	Phytozome_Mg:Migut.L00324.1 Phytozome_Mg:Migut.H00220.1
Q2R2W1	Phytozome_Mg:Migut.E00487.1
Q2R339	Phytozome_Mg:Migut.O00475.1 Phytozome_Mg:Migut.N01657.1
Q2R3A1	Phytozome_Mg:Migut.G00628.1 Phytozome_Mg:Migut.G00627.1 Phytozome_Mg:Migut.G00629.1
Q2R3F5	Phytozome_Mg:Migut.D01190.1 Phytozome_Mg:Migut.I00613.1
Q2R3K3	Phytozome_Mg:Migut.D01228.1
Q2R481	Phytozome_Mg:Migut.N00482.1
Q2R8T7	Phytozome_Mg:Migut.K01411.1
Q2RAP0	Phytozome_Mg:Migut.J01682.1
Q2RAP4	Phytozome_Mg:Migut.F00677.1
Q2RAP8	Phytozome_Mg:Migut.G01068.1
Q2RAP9	Phytozome_Mg:Migut.J01667.1
Q2RAY0	Phytozome_Mg:Migut.B01266.1
Q2RB02	Phytozome_Mg:Migut.N00062.1 Phytozome_Mg:Migut.N00063.1 Phytozome_Mg:Migut.N00093.1 Phytozome_Mg:Migut.N00121.1 Phytozome_Mg:Migut.N00109.1 Phytozome_Mg:Migut.N00198.1
Q2RB23	Phytozome_Mg:Migut.N02415.1
Q2RBP2	Phytozome_Mg:Migut.F00688.1
Q336M7	Phytozome_Mg:Migut.A00583.1
Q336N7	Phytozome_Mg:Migut.A01172.1
Q336P5	Phytozome_Mg:Migut.E00934.1
Q336R6	Phytozome_Mg:Migut.B01502.1 Phytozome_Mg:Migut.N01722.1
Q336U3	Phytozome_Mg:Migut.K00871.1 Phytozome_Mg:Migut.H00556.1
Q336V3	Phytozome_Mg:Migut.J00470.1
Q337F0	Phytozome_Mg:Migut.B01710.1
Q337F3	Phytozome_Mg:Migut.F01300.1
Q338J0	Phytozome_Mg:Migut.M01894.1 Phytozome_Mg:Migut.M01868.1
Q338Z4	Phytozome_Mg:Migut.I00061.1
Q339V1	Phytozome_Mg:Migut.N01997.1
Q33AE4	Phytozome_Mg:Migut.F01162.1
Q40710	Phytozome_Mg:Migut.L01457.1 Phytozome_Mg:Migut.E00169.1
Q42971	Phytozome_Mg:Migut.J00994.1
Q42982	Phytozome_Mg:Migut.F00944.1 Phytozome_Mg:Migut.F00095.1
Q43007	Phytozome_Mg:Migut.I00777.1 Phytozome_Mg:Migut.D01066.1
Q43009	Phytozome_Mg:Migut.J00882.1
Q43011	Phytozome_Mg:Migut.N00774.1
Q53JI9	Phytozome_Mg:Migut.C01396.1
Q53L28	Phytozome_Mg:Migut.G00852.1 Phytozome_Mg:Migut.N03047.1
Q53MS9	Phytozome_Mg:Migut.A00695.1
Q53Q70	Phytozome_Mg:Migut.L02052.1
Q53QJ0	Phytozome_Mg:Migut.N02308.1
Q53RH0	Phytozome_Mg:Migut.M00655.1
Q5CCK1	Phytozome_Mg:Migut.F00677.1
Q5CCK3	Phytozome_Mg:Migut.H00997.1
Q5JK39	Phytozome_Mg:Migut.D01228.1
Q5JLS4	Phytozome_Mg:Migut.O00723.1 Phytozome_Mg:Migut.N00236.1 Phytozome_Mg:Migut.G00424.1
Q5JMA1	Phytozome_Mg:Migut.M00941.1
Q5JMA6	Phytozome_Mg:Migut.J00593.1
Q5JMB6	Phytozome_Mg:Migut.M01931.1
Q5JMC7	Phytozome_Mg:Migut.H02447.1
Q5JMM6	Phytozome_Mg:Migut.M00767.1
Q5JMX5	Phytozome_Mg:Migut.F00824.1
Q5JMX9	Phytozome_Mg:Migut.M00557.1
Q5JN19	Phytozome_Mg:Migut.K01296.1 Phytozome_Mg:Migut.H00667.1
Q5JN63	Phytozome_Mg:Migut.M01014.1
Q5JNB0	Phytozome_Mg:Migut.N03058.1
Q5MBR3	Phytozome_Mg:Migut.M00656.1 Phytozome_Mg:Migut.H02072.1
Q5MBR5	Phytozome_Mg:Migut.M00656.1 Phytozome_Mg:Migut.H02072.1
Q5N725	Phytozome_Mg:Migut.L01757.1
Q5N7L0	Phytozome_Mg:Migut.E00350.1 Phytozome_Mg:Migut.L01058.1
Q5N7Z8	Phytozome_Mg:Migut.D02013.1 Phytozome_Mg:Migut.K01191.1 Phytozome_Mg:Migut.O00176.1 Phytozome_Mg:Migut.D02012.1 Phytozome_Mg:Migut.O00178.1 Phytozome_Mg:Migut.D02020.1 Phytozome_Mg:Migut.D01710.1 Phytozome_Mg:Migut.D02015.1 Phytozome_Mg:Migut.D02014.1 Phytozome_Mg:Migut.O00175.1 Phytozome_Mg:Migut.O00177.1 Phytozome_Mg:Migut.O00174.1 Phytozome_Mg:Migut.M00573.1 Phytozome_Mg:Migut.K01193.1 Phytozome_Mg:Migut.O00173.1
Q5N892	Phytozome_Mg:Migut.O00906.1 Phytozome_Mg:Migut.J00188.1 Phytozome_Mg:Migut.J00185.1
Q5N8G1	Phytozome_Mg:Migut.B00706.1
Q5N9N2	Phytozome_Mg:Migut.F00751.1 Phytozome_Mg:Migut.F01274.1
Q5N9Z8	Phytozome_Mg:Migut.L00103.1 Phytozome_Mg:Migut.H02387.1
Q5NA81	Phytozome_Mg:Migut.M00153.1
Q5NAY4	Phytozome_Mg:Migut.B01142.1
Q5NB25	Phytozome_Mg:Migut.L00447.1 Phytozome_Mg:Migut.H00298.1
Q5NBQ1	Phytozome_Mg:Migut.D01934.1
Q5NTH3	Phytozome_Mg:Migut.H02438.1
Q5NTH4	Phytozome_Mg:Migut.H02438.1
Q5QN02	Phytozome_Mg:Migut.F01579.1
Q5SMQ9	Phytozome_Mg:Migut.D01545.1
Q5SMY2	Phytozome_Mg:Migut.A00127.1
Q5SND7	Phytozome_Mg:Migut.K00534.1
Q5U9F2	Phytozome_Mg:Migut.C00979.1
Q5VMP0	Phytozome_Mg:Migut.M00265.1
Q5VN31	Phytozome_Mg:Migut.H01807.1
Q5VNW0	Phytozome_Mg:Migut.B01621.1
Q5VP70	Phytozome_Mg:Migut.L00994.1 Phytozome_Mg:Migut.E00429.1
Q5VPH2	Phytozome_Mg:Migut.H01145.1
Q5VQG4	Phytozome_Mg:Migut.H00086.1 Phytozome_Mg:Migut.K01390.1
Q5VQG8	Phytozome_Mg:Migut.O00136.1 Phytozome_Mg:Migut.D01989.1
Q5VRM7	Phytozome_Mg:Migut.N01701.1 Phytozome_Mg:Migut.B01461.1
Q5VSB8	Phytozome_Mg:Migut.A00305.1
Q5W670	Phytozome_Mg:Migut.I00893.1
Q5W6F1	Phytozome_Mg:Migut.D00816.1 Phytozome_Mg:Migut.N00724.1
Q5W6F9	Phytozome_Mg:Migut.J00443.1 Phytozome_Mg:Migut.K00579.1
Q5W6H5	Phytozome_Mg:Migut.J00141.1
Q5W6W7	Phytozome_Mg:Migut.H01281.1
Q5XLJ2	Phytozome_Mg:Migut.O00475.1 Phytozome_Mg:Migut.N01657.1
Q5Z5B7	Phytozome_Mg:Migut.K00976.1
Q5Z5R4	Phytozome_Mg:Migut.C00648.1
Q5Z5R7	Phytozome_Mg:Migut.C00648.1
Q5Z678	Phytozome_Mg:Migut.N03278.1 Phytozome_Mg:Migut.C01122.1
Q5Z6D3	Phytozome_Mg:Migut.G00315.1
Q5Z6E5	Phytozome_Mg:Migut.G00645.1
Q5Z749	Phytozome_Mg:Migut.I00931.1
Q5Z807	Phytozome_Mg:Migut.L01609.1
Q5Z856	Phytozome_Mg:Migut.F01772.1
Q5Z8K3	Phytozome_Mg:Migut.K00230.1 Phytozome_Mg:Migut.J01502.1
Q5Z8S0	Phytozome_Mg:Migut.A00141.1
Q5Z8T3	Phytozome_Mg:Migut.K00564.1 Phytozome_Mg:Migut.I00968.1 Phytozome_Mg:Migut.J01073.1 Phytozome_Mg:Migut.J01074.1
Q5Z8V9	Phytozome_Mg:Migut.C01121.1
Q5Z8Y4	Phytozome_Mg:Migut.C01079.1
Q5Z8Z7	Phytozome_Mg:Migut.I01006.1 Phytozome_Mg:Migut.D00977.1
Q5ZCV1	Phytozome_Mg:Migut.L00292.1
Q5ZED1	Phytozome_Mg:Migut.F01507.1
Q5ZEL4	Phytozome_Mg:Migut.J00147.1
Q60EX6	Phytozome_Mg:Migut.N02123.1
Q64MA9	Phytozome_Mg:Migut.A00913.1
Q651F0	Phytozome_Mg:Migut.C00533.1
Q652A8	Phytozome_Mg:Migut.E01129.1
Q652S1	Phytozome_Mg:Migut.I00270.1
Q653D9	Phytozome_Mg:Migut.L01853.1
Q653F4	Phytozome_Mg:Migut.H00405.1 Phytozome_Mg:Migut.L00178.1
Q653H7	Phytozome_Mg:Migut.J00534.1
Q653T6	Phytozome_Mg:Migut.G00061.1
Q653U3	Phytozome_Mg:Migut.M01862.1
Q655T1	Phytozome_Mg:Migut.H01669.1
Q655W2	Phytozome_Mg:Migut.M01518.1 Phytozome_Mg:Migut.H01664.1
Q655Y9	Phytozome_Mg:Migut.N01099.1
Q656F1	Phytozome_Mg:Migut.K00275.1
Q657X7	Phytozome_Mg:Migut.E01655.1 Phytozome_Mg:Migut.A01128.1 Phytozome_Mg:Migut.E00839.1
Q65X14	Phytozome_Mg:Migut.M00981.1
Q65XK0	Phytozome_Mg:Migut.F01859.1
Q65XM9	Phytozome_Mg:Migut.H01742.1
Q67J16	Phytozome_Mg:Migut.B00335.1
Q67UL3	Phytozome_Mg:Migut.D01545.1
Q67UX0	Phytozome_Mg:Migut.K00230.1 Phytozome_Mg:Migut.J01502.1
Q67VM1	Phytozome_Mg:Migut.H00553.1
Q67VR7	Phytozome_Mg:Migut.E01023.1
Q67W29	Phytozome_Mg:Migut.M01184.1 Phytozome_Mg:Migut.M00539.1
Q67W82	Phytozome_Mg:Migut.D01162.1 Phytozome_Mg:Migut.I00644.1
Q67WR2	Phytozome_Mg:Migut.J01400.1
Q688L9	Phytozome_Mg:Migut.J00443.1 Phytozome_Mg:Migut.K00579.1
Q688Q8	Phytozome_Mg:Migut.D01092.1
Q688Q9	Phytozome_Mg:Migut.A00769.1
Q688Y2	Phytozome_Mg:Migut.M00813.1
Q689G6	Phytozome_Mg:Migut.F00987.1 Phytozome_Mg:Migut.F00152.1
Q689G9	Phytozome_Mg:Migut.D01764.1 Phytozome_Mg:Migut.I00209.1
Q69IM7	Phytozome_Mg:Migut.G00958.1
Q69J27	Phytozome_Mg:Migut.E00156.1 Phytozome_Mg:Migut.L00727.1
Q69K00	Phytozome_Mg:Migut.B00166.1
Q69KM5	Phytozome_Mg:Migut.J01406.1 Phytozome_Mg:Migut.K00286.1
Q69L93	Phytozome_Mg:Migut.D00873.1
Q69LG7	Phytozome_Mg:Migut.C01380.1
Q69MC9	Phytozome_Mg:Migut.B00559.1
Q69MH0	Phytozome_Mg:Migut.H00212.1
Q69NY7	Phytozome_Mg:Migut.M00900.1
Q69P51	Phytozome_Mg:Migut.J01374.1
Q69QD7	Phytozome_Mg:Migut.J01173.1
