A0A0P0X5U4	Ensembl:F775_32727
Q10QN3	Ensembl:F775_13602
Q10QR9	Ensembl:F775_09168
Q10R90	Ensembl:F775_05384
Q10S55	Ensembl:F775_08147
Q10S67	Ensembl:F775_26652
Q10S72	Ensembl:F775_28040
Q10SL7	Ensembl:F775_09280
Q10SM6	Ensembl:F775_22028
Q10SU1	Ensembl:F775_25576
Q10T43	Ensembl:F775_22728
Q25AR2	Ensembl:F775_28853
Q2KNB4	Ensembl:F775_20668
Q2KNB5	Ensembl:F775_19314
Q2QLJ0	Ensembl:F775_00763 Ensembl:F775_23086 Ensembl:F775_06220
Q2QLY5	Ensembl:F775_06888
Q2QM47	Ensembl:F775_05262
Q2QM70	Ensembl:F775_26168
Q2QM83	Ensembl:F775_29154
Q2QMD4	Ensembl:F775_30305
Q2QME6	Ensembl:F775_27029
Q2QMK8	Ensembl:F775_29397
Q2QNN5	Ensembl:F775_18756 Ensembl:F775_32873 Ensembl:F775_27273 Ensembl:F775_15142
Q2QNS6	Ensembl:F775_15267
Q2QRX6	Ensembl:F775_09243
Q2QS13	Ensembl:F775_28646 Ensembl:F775_29213
Q2QS14	Ensembl:F775_28646 Ensembl:F775_29213
Q2QTJ1	Ensembl:F775_29737 Ensembl:F775_43781 Ensembl:F775_27269 Ensembl:F775_27268 Ensembl:F775_29936 Ensembl:F775_27267 Ensembl:F775_06084 Ensembl:F775_27270
Q2QTQ1	Ensembl:F775_28949
Q2QUG4	Ensembl:F775_32294
Q2QUI0	Ensembl:F775_09899
Q2QVC1	Ensembl:F775_31966
Q2QWK9	Ensembl:F775_30834
Q2QWV7	Ensembl:F775_11214 Ensembl:F775_26434
Q2QX49	Ensembl:F775_10200
Q2QX58	Ensembl:F775_18019
Q2QXB1	Ensembl:F775_06500
Q2QXK5	Ensembl:F775_30196
Q2QXL0	Ensembl:F775_05299
Q2QXP0	Ensembl:F775_13688
Q2QXZ1	Ensembl:F775_16924
Q2QY63	Ensembl:F775_27166
Q2QYB7	Ensembl:F775_14879
Q2QYW4	Ensembl:F775_10104 Ensembl:F775_28599
Q2QZ14	Ensembl:F775_26855
Q2R0P3	Ensembl:F775_06404
Q2R1G8	Ensembl:F775_12013 Ensembl:F775_12868
Q2R1L4	Ensembl:F775_29224
Q2R222	Ensembl:F775_10011 Ensembl:F775_42463
Q2R2W2	Ensembl:F775_26751
Q2R2W3	Ensembl:F775_18685
Q2R339	Ensembl:F775_06003
Q2R432	Ensembl:F775_27319
Q2R4Y8	Ensembl:F775_30737 Ensembl:F775_27825
Q2R8T7	Ensembl:F775_10882
Q2RA11	Ensembl:F775_18899
Q2RAP4	Ensembl:F775_30712
Q2RAW4	Ensembl:F775_06515
Q2RAW8	Ensembl:F775_15516 Ensembl:F775_13179
Q2RB23	Ensembl:F775_14879
Q2RBP1	Ensembl:F775_10104 Ensembl:F775_28599
Q2RBP2	Ensembl:F775_10103 Ensembl:F775_08632
Q2V0P1	Ensembl:F775_27908
Q336M7	Ensembl:F775_07279
Q336N7	Ensembl:F775_26937
Q336P5	Ensembl:F775_17039
Q336R6	Ensembl:F775_26011
Q336R7	Ensembl:F775_30667
Q336X9	Ensembl:F775_27603
Q337F0	Ensembl:F775_32124
Q337F3	Ensembl:F775_25370
Q337H3	Ensembl:F775_08055
Q338J0	Ensembl:F775_18036 Ensembl:F775_17896 Ensembl:F775_12702 Ensembl:F775_15010
Q338N7	Ensembl:F775_32040
Q338N8	Ensembl:F775_07083
Q338Z4	Ensembl:F775_30295
Q339V1	Ensembl:F775_22628
Q33CD9	Ensembl:F775_14121
Q40704	Ensembl:F775_27566
Q40710	Ensembl:F775_25352 Ensembl:F775_29160 Ensembl:F775_25855 Ensembl:F775_09025 Ensembl:F775_25473
Q42971	Ensembl:F775_26196 Ensembl:F775_30697
Q42982	Ensembl:F775_16423
Q43007	Ensembl:F775_09720
Q43009	Ensembl:F775_28561
Q43011	Ensembl:F775_31248 Ensembl:F775_30858
Q4W8D0	Ensembl:F775_28448
Q52QH4	Ensembl:F775_52139
Q52RG7	Ensembl:F775_07964
Q53L28	Ensembl:F775_28733
Q53Q70	Ensembl:F775_05299
Q53RH0	Ensembl:F775_30162
Q5CCK1	Ensembl:F775_30712
Q5CCK3	Ensembl:F775_15241 Ensembl:F775_12237 Ensembl:F775_07246
Q5JJV0	Ensembl:F775_27983 Ensembl:F775_19167 Ensembl:F775_19169 Ensembl:F775_19168 Ensembl:F775_52095 Ensembl:F775_07522 Ensembl:F775_11766 Ensembl:F775_09622
Q5JK17	Ensembl:F775_52515
Q5JK18	Ensembl:F775_21473
Q5JK20	Ensembl:F775_31280 Ensembl:F775_32662
Q5JK39	Ensembl:F775_30476
Q5JLS4	Ensembl:F775_16348 Ensembl:F775_26228
Q5JMA6	Ensembl:F775_09313
Q5JMC7	Ensembl:F775_01818
Q5JME6	Ensembl:F775_06641
Q5JMM1	Ensembl:F775_02482
Q5JMT5	Ensembl:F775_22787 Ensembl:F775_03431
Q5JMX5	Ensembl:F775_01013
Q5JN19	Ensembl:F775_31324
Q5JN42	Ensembl:F775_03359
Q5JN63	Ensembl:F775_32906
Q5JNB0	Ensembl:F775_27453
Q5JNS0	Ensembl:F775_00940
Q5KS47	Ensembl:F775_07576
Q5MBR5	Ensembl:F775_05318
Q5N725	Ensembl:F775_27796 Ensembl:F775_32635 Ensembl:F775_26377
Q5N7L0	Ensembl:F775_17910
Q5N9Z8	Ensembl:F775_26276
Q5NAY4	Ensembl:F775_28229
Q5NB25	Ensembl:F775_27928
Q5NBQ1	Ensembl:F775_32671
Q5NBT9	Ensembl:F775_09004
Q5NTH3	Ensembl:F775_08813
Q5NTH4	Ensembl:F775_26997
Q5QN02	Ensembl:F775_03901
Q5U9F2	Ensembl:F775_08966
Q5VMP0	Ensembl:F775_02714
Q5VNP5	Ensembl:F775_25997 Ensembl:F775_21112
Q5VNT9	Ensembl:F775_26686
Q5VNW0	Ensembl:F775_31855
Q5VPH2	Ensembl:F775_10668
Q5VQG4	Ensembl:F775_00572
Q5VQG8	Ensembl:F775_27930
Q5VRB9	Ensembl:F775_13738
Q5VRH4	Ensembl:F775_32439
Q5VRM7	Ensembl:F775_15173
Q5VRR0	Ensembl:F775_29038
Q5W670	Ensembl:F775_22431
Q5W6D6	Ensembl:F775_32858
Q5W6F1	Ensembl:F775_19565 Ensembl:F775_26202
Q5W6F9	Ensembl:F775_06062
Q5W6H5	Ensembl:F775_00026
Q5W6W7	Ensembl:F775_07933
Q5XLJ2	Ensembl:F775_06003
Q5Z5B7	Ensembl:F775_20959
Q5Z5R4	Ensembl:F775_52245
Q5Z749	Ensembl:F775_05214
Q5Z7R3	Ensembl:F775_08707
Q5Z807	Ensembl:F775_27937
Q5Z8K3	Ensembl:F775_32513
Q5Z8T3	Ensembl:F775_31968
Q5Z8V9	Ensembl:F775_31483
Q5Z8Y4	Ensembl:F775_26791
Q5ZED1	Ensembl:F775_31011
Q60EC0	Ensembl:F775_32837
Q60EH4	Ensembl:F775_26704
Q60EI7	Ensembl:F775_32358
Q60EX6	Ensembl:F775_19417
Q650W1	Ensembl:F775_14948
Q652A8	Ensembl:F775_26981
Q652S1	Ensembl:F775_29158
Q653H7	Ensembl:F775_06567
Q653T6	Ensembl:F775_29907
Q653U3	Ensembl:F775_30848
Q655T1	Ensembl:F775_20555
Q655W2	Ensembl:F775_28075
Q655Y9	Ensembl:F775_19287
Q656F1	Ensembl:F775_11656
Q657X7	Ensembl:F775_19745
Q65X70	Ensembl:F775_13524
Q65XK0	Ensembl:F775_30375
Q65XL7	Ensembl:F775_52359
Q65XM9	Ensembl:F775_29579
Q65XR9	Ensembl:F775_15472
Q67TQ5	Ensembl:F775_07568
Q67TS1	Ensembl:F775_25819 Ensembl:F775_21088
Q67TS4	Ensembl:F775_14330
Q67TZ7	Ensembl:F775_17658
Q67UX0	Ensembl:F775_31385
Q67UZ8	Ensembl:F775_28108
Q67VM1	Ensembl:F775_04911
Q67W82	Ensembl:F775_32705
Q67WK8	Ensembl:F775_21878 Ensembl:F775_27499
Q67WR2	Ensembl:F775_17763
Q688Q8	Ensembl:F775_32792
Q688T8	Ensembl:F775_52189
Q688Y2	Ensembl:F775_52244
Q689G6	Ensembl:F775_04421
Q689G9	Ensembl:F775_31460
Q69IM7	Ensembl:F775_30381 Ensembl:F775_26213 Ensembl:F775_30227
Q69IU0	Ensembl:F775_42459
Q69K00	Ensembl:F775_28795
Q69KM5	Ensembl:F775_16341
Q69LG7	Ensembl:F775_18069
Q69MC9	Ensembl:F775_26359
Q69NY7	Ensembl:F775_43594
Q69P51	Ensembl:F775_17350
Q69P84	Ensembl:F775_29072
Q69P94	Ensembl:F775_32219
Q69QD7	Ensembl:F775_09005
Q69RG7	Ensembl:F775_14093
Q69RJ0	Ensembl:F775_29599
Q69T90	Ensembl:F775_10157
Q69TF4	Ensembl:F775_19077
Q69U93	Ensembl:F775_10000
Q69UU3	Ensembl:F775_30987
Q69UX2	Ensembl:F775_13843 Ensembl:F775_18547
Q69V57	Ensembl:F775_05191
Q69XJ0	Ensembl:F775_52679
Q69XQ6	Ensembl:F775_28569
Q69XS7	Ensembl:F775_32698
Q6ASV4	Ensembl:F775_30465
Q6ASW7	Ensembl:F775_03586 Ensembl:F775_07617
Q6AT26	Ensembl:F775_27116 Ensembl:F775_15410
Q6AT32	Ensembl:F775_32220
Q6AT41	Ensembl:F775_26642
Q6AT75	Ensembl:F775_02884 Ensembl:F775_13536 Ensembl:F775_29557 Ensembl:F775_02724 Ensembl:F775_04718 Ensembl:F775_02739 Ensembl:F775_02155 Ensembl:F775_01135 Ensembl:F775_02892 Ensembl:F775_06117 Ensembl:F775_02382
Q6AUB0	Ensembl:F775_28451
Q6AUV1	Ensembl:F775_10214
Q6AV34	Ensembl:F775_27627
Q6AVG6	Ensembl:F775_08901
Q6AVM5	Ensembl:F775_31964
Q6AVT2	Ensembl:F775_26658
Q6EP59	Ensembl:F775_11477
Q6EP66	Ensembl:F775_31401
Q6EPR6	Ensembl:F775_29896
Q6EPY7	Ensembl:F775_15551
Q6EPZ0	Ensembl:F775_22247
Q6EPZ2	Ensembl:F775_19657 Ensembl:F775_43300
Q6EQW2	Ensembl:F775_07322
Q6ERL4	Ensembl:F775_31051
Q6ERR3	Ensembl:F775_30573
Q6ES51	Ensembl:F775_08705
Q6ESJ0	Ensembl:F775_26338
Q6ET36	Ensembl:F775_13060 Ensembl:F775_07799
Q6ETD3	Ensembl:F775_11509 Ensembl:F775_28817 Ensembl:F775_26374 Ensembl:F775_27596 Ensembl:F775_13190 Ensembl:F775_13714 Ensembl:F775_30554 Ensembl:F775_30875 Ensembl:F775_06826 Ensembl:F775_52102 Ensembl:F775_16493 Ensembl:F775_30873 Ensembl:F775_18546 Ensembl:F775_30874
Q6ETN1	Ensembl:F775_27587
Q6ETX4	Ensembl:F775_06445
Q6EUS6	Ensembl:F775_32478
Q6F354	Ensembl:F775_25272
Q6F361	Ensembl:F775_28588 Ensembl:F775_31978
Q6H3Z3	Ensembl:F775_11150 Ensembl:F775_19156 Ensembl:F775_13708
Q6H3Z6	Ensembl:F775_42295
Q6H415	Ensembl:F775_07041
Q6H4G3	Ensembl:F775_31485
Q6H513	Ensembl:F775_30451
Q6H5U3	Ensembl:F775_28930
Q6H5Z4	Ensembl:F775_27746
Q6H6C7	Ensembl:F775_29345
Q6H6D2	Ensembl:F775_29800
Q6H6I1	Ensembl:F775_42581
Q6H6P8	Ensembl:F775_08824
Q6H703	Ensembl:F775_06484
Q6H713	Ensembl:F775_43992
Q6H765	Ensembl:F775_20520
Q6H7M1	Ensembl:F775_30604
Q6H819	Ensembl:F775_05100
Q6H849	Ensembl:F775_32076
Q6H851	Ensembl:F775_32077
Q6H8F6	Ensembl:F775_25819 Ensembl:F775_21088
Q6I581	Ensembl:F775_27233
Q6I628	Ensembl:F775_15971
Q6IEQ7	Ensembl:F775_18072
Q6K1S6	Ensembl:F775_31193 Ensembl:F775_30010 Ensembl:F775_29501 Ensembl:F775_25665 Ensembl:F775_27569
Q6K1X7	Ensembl:F775_27009
Q6K209	Ensembl:F775_28027 Ensembl:F775_05786 Ensembl:F775_06636 Ensembl:F775_06635 Ensembl:F775_28028 Ensembl:F775_18487 Ensembl:F775_29315 Ensembl:F775_29314
Q6K2E1	Ensembl:F775_15595
Q6K2E8	Ensembl:F775_29390
Q6K306	Ensembl:F775_29746
Q6K3T2	Ensembl:F775_21631
Q6K3Z3	Ensembl:F775_31472 Ensembl:F775_29541
Q6K4Q5	Ensembl:F775_17781
Q6K4V9	Ensembl:F775_16893
Q6K5G8	Ensembl:F775_31926
Q6K5U4	Ensembl:F775_06665
Q6K678	Ensembl:F775_07461
Q6K6Q1	Ensembl:F775_06189
Q6K755	Ensembl:F775_15737 Ensembl:F775_20204
Q6K7V6	Ensembl:F775_29371
Q6K8E2	Ensembl:F775_11202
Q6K8J4	Ensembl:F775_26309
Q6K8R6	Ensembl:F775_06776
Q6K969	Ensembl:F775_43116
Q6K973	Ensembl:F775_11396
Q6K9B8	Ensembl:F775_06964
Q6K9C5	Ensembl:F775_52650
Q6K9M5	Ensembl:F775_11541
Q6K9N6	Ensembl:F775_27173
Q6KAJ2	Ensembl:F775_29069
Q6L4H5	Ensembl:F775_27863
Q6L4L4	Ensembl:F775_14907
Q6L4R7	Ensembl:F775_17394
Q6L506	Ensembl:F775_30965
Q6L540	Ensembl:F775_15644
Q6L545	Ensembl:F775_17927
Q6L8G1	Ensembl:F775_06092
Q6Q9I2	Ensembl:F775_52406
Q6YPG5	Ensembl:F775_52094
Q6YSF8	Ensembl:F775_19409 Ensembl:F775_09685 Ensembl:F775_28515 Ensembl:F775_31533 Ensembl:F775_32625
Q6YT73	Ensembl:F775_30695
Q6YTI6	Ensembl:F775_06765
Q6YU51	Ensembl:F775_10837
Q6YU90	Ensembl:F775_26586
Q6YUI8	Ensembl:F775_18565 Ensembl:F775_13302
Q6YUS0	Ensembl:F775_20131
Q6YUU2	Ensembl:F775_06224
Q6YV04	Ensembl:F775_09087
Q6YV23	Ensembl:F775_30256
Q6YVI0	Ensembl:F775_30760
Q6YXC2	Ensembl:F775_27867
Q6YXI1	Ensembl:F775_29851
Q6YXW6	Ensembl:F775_26032
Q6YYB9	Ensembl:F775_30066
Q6YYY7	Ensembl:F775_00511 Ensembl:F775_11486
Q6YYZ2	Ensembl:F775_07279
Q6YZ18	Ensembl:F775_18829 Ensembl:F775_16105 Ensembl:F775_13139 Ensembl:F775_18331 Ensembl:F775_12762 Ensembl:F775_16467 Ensembl:F775_18247 Ensembl:F775_06311 Ensembl:F775_29520
Q6YZE2	Ensembl:F775_08294 Ensembl:F775_26107
Q6YZH8	Ensembl:F775_31094
Q6YZX7	Ensembl:F775_17512
Q6Z0T7	Ensembl:F775_19360 Ensembl:F775_27094
Q6Z156	Ensembl:F775_09823
Q6Z1Z3	Ensembl:F775_28679
Q6Z2L5	Ensembl:F775_09555
Q6Z2T6	Ensembl:F775_30089
Q6Z2T9	Ensembl:F775_07790
Q6Z351	Ensembl:F775_15437
Q6Z3A4	Ensembl:F775_32792
Q6Z3F9	Ensembl:F775_30997
Q6Z3X5	Ensembl:F775_28129
Q6Z414	Ensembl:F775_02918
Q6Z433	Ensembl:F775_08559
Q6Z4E7	Ensembl:F775_07323
Q6Z4F3	Ensembl:F775_32966
Q6Z4I1	Ensembl:F775_29934
Q6Z4U1	Ensembl:F775_07699 Ensembl:F775_16145 Ensembl:F775_16146
Q6Z5B5	Ensembl:F775_06903 Ensembl:F775_33219 Ensembl:F775_16776 Ensembl:F775_13910 Ensembl:F775_08140 Ensembl:F775_16593 Ensembl:F775_13067 Ensembl:F775_15538 Ensembl:F775_11451 Ensembl:F775_33156
Q6Z684	Ensembl:F775_14716 Ensembl:F775_16498 Ensembl:F775_27518 Ensembl:F775_28417 Ensembl:F775_20389
Q6Z702	Ensembl:F775_29063
Q6Z744	Ensembl:F775_29522
Q6Z795	Ensembl:F775_07091
Q6Z7F5	Ensembl:F775_27001
Q6Z7I3	Ensembl:F775_21373
Q6Z7Q3	Ensembl:F775_18834
Q6Z836	Ensembl:F775_09439
Q6Z8F4	Ensembl:F775_28338
Q6Z8S2	Ensembl:F775_16145 Ensembl:F775_16146
Q6Z8Z7	Ensembl:F775_11468
Q6Z965	Ensembl:F775_29556
Q6Z9A3	Ensembl:F775_30645
Q6Z9E6	Ensembl:F775_07475
Q6ZA22	Ensembl:F775_25840
Q6ZAC1	Ensembl:F775_32463
Q6ZAH2	Ensembl:F775_11106 Ensembl:F775_10075
Q6ZB59	Ensembl:F775_31503
Q6ZBE1	Ensembl:F775_00214 Ensembl:F775_14911 Ensembl:F775_14105 Ensembl:F775_17506
Q6ZBH5	Ensembl:F775_05446
Q6ZC33	Ensembl:F775_10676 Ensembl:F775_18735
Q6ZCF0	Ensembl:F775_26295
Q6ZD89	Ensembl:F775_06936 Ensembl:F775_10047 Ensembl:F775_32449 Ensembl:F775_17739 Ensembl:F775_31276 Ensembl:F775_14227 Ensembl:F775_26153 Ensembl:F775_18115 Ensembl:F775_07801 Ensembl:F775_07800 Ensembl:F775_26154 Ensembl:F775_20925
Q6ZDY8	Ensembl:F775_26895 Ensembl:F775_29983
Q6ZEZ2	Ensembl:F775_02012 Ensembl:F775_18315
Q6ZFI6	Ensembl:F775_26502
Q6ZFT5	Ensembl:F775_29689
Q6ZG77	Ensembl:F775_26819
Q6ZGS9	Ensembl:F775_27684
Q6ZGW6	Ensembl:F775_32757 Ensembl:F775_19311 Ensembl:F775_14804 Ensembl:F775_21594
Q6ZHA3	Ensembl:F775_30478
Q6ZHH4	Ensembl:F775_19991
