A0A0P0VEU3	Phytozome_Eg:Eucgr.B02538.1
B8B8K7	Phytozome_Eg:Eucgr.I02163.1
B8BB38	Phytozome_Eg:Eucgr.J03114.1
B8BF84	Phytozome_Eg:Eucgr.B02686.1
B9EXM2	Phytozome_Eg:Eucgr.F04457.1
B9EZJ8	Phytozome_Eg:Eucgr.C02888.1
B9FML1	Phytozome_Eg:Eucgr.H04086.1
B9FRT6	Phytozome_Eg:Eucgr.A02261.1
B9FYX6	Phytozome_Eg:Eucgr.E02455.1
B9G3A7	Phytozome_Eg:Eucgr.B03950.1 Phytozome_Eg:Eucgr.B00354.1
C7J5F5	Phytozome_Eg:Eucgr.B02522.1 Phytozome_Eg:Eucgr.B02520.1
C7J5T9	Phytozome_Eg:Eucgr.B02522.1 Phytozome_Eg:Eucgr.B02520.1
H6TFZ4	Phytozome_Eg:Eucgr.J01640.1
I1QJ08	Phytozome_Eg:Eucgr.L01575.1 Phytozome_Eg:Eucgr.C02572.1
I1QQP8	Phytozome_Eg:Eucgr.K02840.1
I3QK18	Phytozome_Eg:Eucgr.E00402.1
O04226	Phytozome_Eg:Eucgr.G02990.1
O04882	Phytozome_Eg:Eucgr.E03836.1
O22105	Phytozome_Eg:Eucgr.G01720.1
O22567	Phytozome_Eg:Eucgr.H03664.1
O24174	Phytozome_Eg:Eucgr.B00336.1
O24210	Phytozome_Eg:Eucgr.H00804.1
O64422	Phytozome_Eg:Eucgr.B02755.1
O64437	Phytozome_Eg:Eucgr.H04815.1
P0C132	Phytozome_Eg:Eucgr.H04335.1
P0C587	Phytozome_Eg:Eucgr.F02174.1 Phytozome_Eg:Eucgr.F00461.1
P0C5A4	Phytozome_Eg:Eucgr.J03043.1 Phytozome_Eg:Eucgr.L02621.1
P0C5B2	Phytozome_Eg:Eucgr.A02846.1 Phytozome_Eg:Eucgr.E00516.1 Phytozome_Eg:Eucgr.D01939.1
P14655	Phytozome_Eg:Eucgr.B01163.1 Phytozome_Eg:Eucgr.L02175.1
P14656	Phytozome_Eg:Eucgr.F02872.1
P15280	Phytozome_Eg:Eucgr.K01372.1
P16081	Phytozome_Eg:Eucgr.F03744.1
P17784	Phytozome_Eg:Eucgr.K02073.1 Phytozome_Eg:Eucgr.A01538.1
P18566	Phytozome_Eg:Eucgr.B03013.1 Phytozome_Eg:Eucgr.J01502.1 Phytozome_Eg:Eucgr.K02223.1
P30298	Phytozome_Eg:Eucgr.C03201.1 Phytozome_Eg:Eucgr.C00769.1 Phytozome_Eg:Eucgr.C03199.1
P31924	Phytozome_Eg:Eucgr.C03201.1 Phytozome_Eg:Eucgr.C00769.1 Phytozome_Eg:Eucgr.C03199.1
P37833	Phytozome_Eg:Eucgr.C02894.1 Phytozome_Eg:Eucgr.C01585.1
P38419	Phytozome_Eg:Eucgr.J00820.1 Phytozome_Eg:Eucgr.J00832.1 Phytozome_Eg:Eucgr.J00824.1 Phytozome_Eg:Eucgr.J00825.1 Phytozome_Eg:Eucgr.L01891.1 Phytozome_Eg:Eucgr.J00819.1
P42862	Phytozome_Eg:Eucgr.F01561.1
P42863	Phytozome_Eg:Eucgr.F01561.1
P48642	Phytozome_Eg:Eucgr.H02852.1
P93438	Phytozome_Eg:Eucgr.A01021.1
Q01KF3	Phytozome_Eg:Eucgr.B00659.1
Q05JG2	Phytozome_Eg:Eucgr.E01149.1
Q06967	Phytozome_Eg:Eucgr.F02482.1
Q0D3B6	Phytozome_Eg:Eucgr.G02787.1
Q0D7I3	Phytozome_Eg:Eucgr.K00547.1
Q0D7J0	Phytozome_Eg:Eucgr.G03014.1 Phytozome_Eg:Eucgr.J00970.1 Phytozome_Eg:Eucgr.G03010.1 Phytozome_Eg:Eucgr.J00972.1 Phytozome_Eg:Eucgr.G03009.1 Phytozome_Eg:Eucgr.G03013.1 Phytozome_Eg:Eucgr.A00424.1 Phytozome_Eg:Eucgr.G03006.1
Q0D7J3	Phytozome_Eg:Eucgr.G03014.1 Phytozome_Eg:Eucgr.J00970.1 Phytozome_Eg:Eucgr.G03010.1 Phytozome_Eg:Eucgr.J00972.1 Phytozome_Eg:Eucgr.G03009.1 Phytozome_Eg:Eucgr.G03013.1 Phytozome_Eg:Eucgr.A00424.1 Phytozome_Eg:Eucgr.G03006.1
Q0D7W4	Phytozome_Eg:Eucgr.H04384.1 Phytozome_Eg:Eucgr.L02103.1
Q0D8I9	Phytozome_Eg:Eucgr.K01247.1
Q0D980	Phytozome_Eg:Eucgr.F03478.1
Q0DA35	Phytozome_Eg:Eucgr.A01713.1
Q0DAA4	Phytozome_Eg:Eucgr.D00027.1
Q0DBD3	Phytozome_Eg:Eucgr.B03386.1 Phytozome_Eg:Eucgr.B02577.1
Q0DBF4	Phytozome_Eg:Eucgr.F02398.1 Phytozome_Eg:Eucgr.F02396.1
Q0DBN4	Phytozome_Eg:Eucgr.A01927.1
Q0DCE9	Phytozome_Eg:Eucgr.H03521.1
Q0DDS1	Phytozome_Eg:Eucgr.G02395.1
Q0DEC8	Phytozome_Eg:Eucgr.K00387.1
Q0DG35	Phytozome_Eg:Eucgr.A01471.1
Q0DGG8	Phytozome_Eg:Eucgr.C00914.1
Q0DJJ9	Phytozome_Eg:Eucgr.A00642.1
Q0DKE8	Phytozome_Eg:Eucgr.B00238.1
Q0DKY4	Phytozome_Eg:Eucgr.H04112.1
Q0DS76	Phytozome_Eg:Eucgr.K02348.1
Q0DSM1	Phytozome_Eg:Eucgr.B01313.1
Q0DV32	Phytozome_Eg:Eucgr.B03942.1 Phytozome_Eg:Eucgr.B03943.1
Q0DWF2	Phytozome_Eg:Eucgr.H02914.1
Q0DXA9	Phytozome_Eg:Eucgr.B03204.1
Q0DY86	Phytozome_Eg:Eucgr.G01597.1 Phytozome_Eg:Eucgr.L00028.1
Q0DYK7	Phytozome_Eg:Eucgr.H04992.1 Phytozome_Eg:Eucgr.I01536.1
Q0DZE0	Phytozome_Eg:Eucgr.G02852.1 Phytozome_Eg:Eucgr.G02849.1 Phytozome_Eg:Eucgr.G02848.1 Phytozome_Eg:Eucgr.J01079.1 Phytozome_Eg:Eucgr.J00907.1 Phytozome_Eg:Eucgr.G02851.1 Phytozome_Eg:Eucgr.G02850.1
Q0E2P1	Phytozome_Eg:Eucgr.F03107.1
Q0E2P9	Phytozome_Eg:Eucgr.C00665.1
Q0E3F2	Phytozome_Eg:Eucgr.C00188.1
Q0E3J1	Phytozome_Eg:Eucgr.D00027.1
Q0E3L4	Phytozome_Eg:Eucgr.A02022.1 Phytozome_Eg:Eucgr.A02023.1 Phytozome_Eg:Eucgr.A02024.1
Q0E4F0	Phytozome_Eg:Eucgr.G01719.1
Q0E4N2	Phytozome_Eg:Eucgr.J00991.1 Phytozome_Eg:Eucgr.G02693.1
Q0INY7	Phytozome_Eg:Eucgr.B03013.1 Phytozome_Eg:Eucgr.J01502.1 Phytozome_Eg:Eucgr.K02223.1
Q0INZ4	Phytozome_Eg:Eucgr.F03219.1
Q0IPE5	Phytozome_Eg:Eucgr.K01360.1
Q0IQQ5	Phytozome_Eg:Eucgr.A00615.1
Q0IRE6	Phytozome_Eg:Eucgr.H04452.1
Q0IS70	Phytozome_Eg:Eucgr.A01845.1 Phytozome_Eg:Eucgr.A01840.1 Phytozome_Eg:Eucgr.A01853.1 Phytozome_Eg:Eucgr.A01848.1
Q0ITU1	Phytozome_Eg:Eucgr.C00793.1
Q0IZS0	Phytozome_Eg:Eucgr.G02191.1
Q0IZX5	Phytozome_Eg:Eucgr.F03706.1
Q0J0L4	Phytozome_Eg:Eucgr.J02325.1
Q0J0M8	Phytozome_Eg:Eucgr.H05009.1 Phytozome_Eg:Eucgr.I01544.1 Phytozome_Eg:Eucgr.H05007.1 Phytozome_Eg:Eucgr.F03606.1 Phytozome_Eg:Eucgr.F01818.1
Q0J0N3	Phytozome_Eg:Eucgr.H02683.1
Q0J0N7	Phytozome_Eg:Eucgr.K02118.1 Phytozome_Eg:Eucgr.K02123.1 Phytozome_Eg:Eucgr.K02120.1 Phytozome_Eg:Eucgr.K02125.1 Phytozome_Eg:Eucgr.K02119.1 Phytozome_Eg:Eucgr.K02121.1
Q0J0P9	Phytozome_Eg:Eucgr.K02118.1 Phytozome_Eg:Eucgr.K02123.1 Phytozome_Eg:Eucgr.K02120.1 Phytozome_Eg:Eucgr.K02125.1 Phytozome_Eg:Eucgr.K02119.1 Phytozome_Eg:Eucgr.K02121.1
Q0J185	Phytozome_Eg:Eucgr.F00225.1
Q0J1C1	Phytozome_Eg:Eucgr.K00750.1 Phytozome_Eg:Eucgr.K00740.1 Phytozome_Eg:Eucgr.K00747.1 Phytozome_Eg:Eucgr.K00741.1 Phytozome_Eg:Eucgr.D01368.1 Phytozome_Eg:Eucgr.K00749.1 Phytozome_Eg:Eucgr.K00742.1 Phytozome_Eg:Eucgr.K00743.1 Phytozome_Eg:Eucgr.K00746.1 Phytozome_Eg:Eucgr.E03977.1 Phytozome_Eg:Eucgr.K00739.1
Q0J1E1	Phytozome_Eg:Eucgr.B02610.1
Q0J5Y4	Phytozome_Eg:Eucgr.H03234.1
Q0J7U6	Phytozome_Eg:Eucgr.K00093.1
Q0J9K2	Phytozome_Eg:Eucgr.J03080.1 Phytozome_Eg:Eucgr.F03908.1
Q0J9Z0	Phytozome_Eg:Eucgr.D01324.1
Q0JA82	Phytozome_Eg:Eucgr.F03855.1
Q0JA83	Phytozome_Eg:Eucgr.F03855.1
Q0JAI1	Phytozome_Eg:Eucgr.K02192.1
Q0JB49	Phytozome_Eg:Eucgr.E00579.1
Q0JB91	Phytozome_Eg:Eucgr.A02913.1
Q0JB99	Phytozome_Eg:Eucgr.A02924.1
Q0JC10	Phytozome_Eg:Eucgr.C00232.1
Q0JCU7	Phytozome_Eg:Eucgr.I00922.1 Phytozome_Eg:Eucgr.I00923.1
Q0JCZ4	Phytozome_Eg:Eucgr.G00076.1
Q0JDD2	Phytozome_Eg:Eucgr.K02031.1
Q0JDF7	Phytozome_Eg:Eucgr.J00428.1
Q0JDT1	Phytozome_Eg:Eucgr.B02180.1
Q0JEK1	Phytozome_Eg:Eucgr.D02445.1
Q0JEP5	Phytozome_Eg:Eucgr.G02866.1
Q0JEZ8	Phytozome_Eg:Eucgr.F03855.1
Q0JF25	Phytozome_Eg:Eucgr.E03811.1 Phytozome_Eg:Eucgr.H04914.1 Phytozome_Eg:Eucgr.I00267.1 Phytozome_Eg:Eucgr.I00268.1 Phytozome_Eg:Eucgr.I00270.1 Phytozome_Eg:Eucgr.E03537.1 Phytozome_Eg:Eucgr.H04912.1 Phytozome_Eg:Eucgr.H04897.1 Phytozome_Eg:Eucgr.H04913.1 Phytozome_Eg:Eucgr.E03692.1 Phytozome_Eg:Eucgr.H04899.1
Q0JF26	Phytozome_Eg:Eucgr.E03811.1 Phytozome_Eg:Eucgr.H04914.1 Phytozome_Eg:Eucgr.I00267.1 Phytozome_Eg:Eucgr.I00268.1 Phytozome_Eg:Eucgr.I00270.1 Phytozome_Eg:Eucgr.E03537.1 Phytozome_Eg:Eucgr.H04912.1 Phytozome_Eg:Eucgr.H04897.1 Phytozome_Eg:Eucgr.H04913.1 Phytozome_Eg:Eucgr.E03692.1 Phytozome_Eg:Eucgr.H04899.1
Q0JF30	Phytozome_Eg:Eucgr.H03145.1 Phytozome_Eg:Eucgr.H04259.1
Q0JGK4	Phytozome_Eg:Eucgr.H00041.1
Q0JJI1	Phytozome_Eg:Eucgr.I01812.1
Q0JK57	Phytozome_Eg:Eucgr.B00946.1
Q0JKD0	Phytozome_Eg:Eucgr.A01471.1
Q0JKI9	Phytozome_Eg:Eucgr.D00588.1
Q0JKY8	Phytozome_Eg:Eucgr.I01790.1 Phytozome_Eg:Eucgr.B03320.1
Q0JPT4	Phytozome_Eg:Eucgr.D00428.1 Phytozome_Eg:Eucgr.F03236.1
Q0JRG4	Phytozome_Eg:Eucgr.I01618.1
Q109F2	Phytozome_Eg:Eucgr.J02393.1 Phytozome_Eg:Eucgr.I02371.1
Q109K4	Phytozome_Eg:Eucgr.G00852.1 Phytozome_Eg:Eucgr.G00853.1
Q10A30	Phytozome_Eg:Eucgr.K02073.1 Phytozome_Eg:Eucgr.A01538.1
Q10A97	Phytozome_Eg:Eucgr.H03088.1
Q10BT5	Phytozome_Eg:Eucgr.B03620.1
Q10BX9	Phytozome_Eg:Eucgr.G02586.1
Q10CE4	Phytozome_Eg:Eucgr.E02420.1 Phytozome_Eg:Eucgr.D00288.1
Q10CH5	Phytozome_Eg:Eucgr.A02043.1
Q10CQ1	Phytozome_Eg:Eucgr.K02547.1 Phytozome_Eg:Eucgr.I02059.1 Phytozome_Eg:Eucgr.B00634.1
Q10CS9	Phytozome_Eg:Eucgr.D01028.1
Q10D68	Phytozome_Eg:Eucgr.I00580.1
Q10D87	Phytozome_Eg:Eucgr.L01179.1
Q10DK7	Phytozome_Eg:Eucgr.H02344.1
Q10DU0	Phytozome_Eg:Eucgr.B01356.1
Q10DZ5	Phytozome_Eg:Eucgr.A01588.1
Q10E50	Phytozome_Eg:Eucgr.C00541.1 Phytozome_Eg:Eucgr.L01776.1 Phytozome_Eg:Eucgr.C00579.1 Phytozome_Eg:Eucgr.C00515.1
Q10EG4	Phytozome_Eg:Eucgr.K01247.1
Q10F04	Phytozome_Eg:Eucgr.E01312.1
Q10FE9	Phytozome_Eg:Eucgr.H00040.1
Q10G56	Phytozome_Eg:Eucgr.D00287.1
Q10HZ6	Phytozome_Eg:Eucgr.E03811.1 Phytozome_Eg:Eucgr.H04914.1 Phytozome_Eg:Eucgr.I00267.1 Phytozome_Eg:Eucgr.I00268.1 Phytozome_Eg:Eucgr.I00270.1 Phytozome_Eg:Eucgr.E03537.1 Phytozome_Eg:Eucgr.H04912.1 Phytozome_Eg:Eucgr.H04897.1 Phytozome_Eg:Eucgr.H04913.1 Phytozome_Eg:Eucgr.E03692.1 Phytozome_Eg:Eucgr.H04899.1
Q10J32	Phytozome_Eg:Eucgr.K02876.1 Phytozome_Eg:Eucgr.B00342.1
Q10JI3	Phytozome_Eg:Eucgr.G02444.1
Q10L56	Phytozome_Eg:Eucgr.K03389.1
Q10LP5	Phytozome_Eg:Eucgr.H01094.1
Q10LR4	Phytozome_Eg:Eucgr.K01268.1
Q10LR5	Phytozome_Eg:Eucgr.H01083.1 Phytozome_Eg:Eucgr.H01081.1
Q10MB0	Phytozome_Eg:Eucgr.L03185.1 Phytozome_Eg:Eucgr.L00241.1 Phytozome_Eg:Eucgr.K03563.1 Phytozome_Eg:Eucgr.L00245.1 Phytozome_Eg:Eucgr.L00251.1 Phytozome_Eg:Eucgr.L00248.1 Phytozome_Eg:Eucgr.H00906.1 Phytozome_Eg:Eucgr.L00243.1 Phytozome_Eg:Eucgr.B01791.1 Phytozome_Eg:Eucgr.L00234.1 Phytozome_Eg:Eucgr.B01793.1 Phytozome_Eg:Eucgr.L00249.1 Phytozome_Eg:Eucgr.L00240.1
Q10MG9	Phytozome_Eg:Eucgr.A00380.1
Q10MK5	Phytozome_Eg:Eucgr.F02151.1
Q10MQ2	Phytozome_Eg:Eucgr.G01124.1
Q10MW3	Phytozome_Eg:Eucgr.A00546.1 Phytozome_Eg:Eucgr.A00549.1 Phytozome_Eg:Eucgr.A00547.1
Q10MX9	Phytozome_Eg:Eucgr.J00200.1
Q10N17	Phytozome_Eg:Eucgr.E04043.1 Phytozome_Eg:Eucgr.A01119.1
Q10N34	Phytozome_Eg:Eucgr.G02787.1
Q10NY1	Phytozome_Eg:Eucgr.G02824.1
Q10NY2	Phytozome_Eg:Eucgr.F03923.1
Q10P01	Phytozome_Eg:Eucgr.D00310.1
Q10P71	Phytozome_Eg:Eucgr.F03758.1
Q10PY7	Phytozome_Eg:Eucgr.J00768.1
Q10QA5	Phytozome_Eg:Eucgr.F00478.1
Q10QN3	Phytozome_Eg:Eucgr.G00932.1
Q10QR9	Phytozome_Eg:Eucgr.F02370.1
Q10S55	Phytozome_Eg:Eucgr.G00352.1
Q10S58	Phytozome_Eg:Eucgr.J02527.1
Q10S72	Phytozome_Eg:Eucgr.F03543.1
Q10SD6	Phytozome_Eg:Eucgr.B00293.1
Q10SL7	Phytozome_Eg:Eucgr.A02812.1
Q10SM6	Phytozome_Eg:Eucgr.D02284.1 Phytozome_Eg:Eucgr.D00187.1
Q10SP1	Phytozome_Eg:Eucgr.D02387.1
Q10SU1	Phytozome_Eg:Eucgr.J02122.1
Q25AR2	Phytozome_Eg:Eucgr.H03482.1
Q2KNB4	Phytozome_Eg:Eucgr.J00734.1
Q2MJA8	Phytozome_Eg:Eucgr.H02683.1
Q2QLJ0	Phytozome_Eg:Eucgr.G03362.1 Phytozome_Eg:Eucgr.G03374.1
Q2QLY5	Phytozome_Eg:Eucgr.J00612.1 Phytozome_Eg:Eucgr.K01508.1 Phytozome_Eg:Eucgr.A02126.1
Q2QLY6	Phytozome_Eg:Eucgr.K00329.1
Q2QM47	Phytozome_Eg:Eucgr.B03812.1
Q2QMD4	Phytozome_Eg:Eucgr.F04458.1
Q2QME6	Phytozome_Eg:Eucgr.H03427.1
Q2QMK8	Phytozome_Eg:Eucgr.F02818.1
Q2QN06	Phytozome_Eg:Eucgr.F02262.1
Q2QN88	Phytozome_Eg:Eucgr.G02442.1
Q2QNF7	Phytozome_Eg:Eucgr.K03171.1
Q2QNM9	Phytozome_Eg:Eucgr.J00823.1
Q2QPI2	Phytozome_Eg:Eucgr.H04452.1
Q2QQJ5	Phytozome_Eg:Eucgr.F03855.1
Q2QQX6	Phytozome_Eg:Eucgr.K02197.1
Q2QS13	Phytozome_Eg:Eucgr.J01372.1
Q2QS14	Phytozome_Eg:Eucgr.J01372.1
Q2QT32	Phytozome_Eg:Eucgr.H02679.1
Q2QTJ1	Phytozome_Eg:Eucgr.B03013.1 Phytozome_Eg:Eucgr.J01502.1 Phytozome_Eg:Eucgr.K02223.1
Q2QTQ1	Phytozome_Eg:Eucgr.B03759.1
Q2QUG4	Phytozome_Eg:Eucgr.E01732.1 Phytozome_Eg:Eucgr.E01729.1 Phytozome_Eg:Eucgr.E01739.1 Phytozome_Eg:Eucgr.E01740.1
Q2QVC1	Phytozome_Eg:Eucgr.K02738.1
Q2QWK9	Phytozome_Eg:Eucgr.G00559.1
Q2QWV7	Phytozome_Eg:Eucgr.A02509.1
Q2QX58	Phytozome_Eg:Eucgr.F04354.1
Q2QXL0	Phytozome_Eg:Eucgr.B03855.1 Phytozome_Eg:Eucgr.J00491.1
Q2QXY1	Phytozome_Eg:Eucgr.A02267.1
Q2QXY9	Phytozome_Eg:Eucgr.A00249.1 Phytozome_Eg:Eucgr.A00052.1 Phytozome_Eg:Eucgr.A00248.1
Q2QY63	Phytozome_Eg:Eucgr.H01630.1 Phytozome_Eg:Eucgr.H01402.1
Q2QYB7	Phytozome_Eg:Eucgr.J00623.1
Q2QZ14	Phytozome_Eg:Eucgr.J02002.1
Q2R1G8	Phytozome_Eg:Eucgr.H04812.1
Q2R1L4	Phytozome_Eg:Eucgr.F02498.1
Q2R2W1	Phytozome_Eg:Eucgr.G02098.1
Q2R339	Phytozome_Eg:Eucgr.G03412.1
Q2R3A1	Phytozome_Eg:Eucgr.I01579.1
Q2R3F5	Phytozome_Eg:Eucgr.K02197.1
Q2R3K3	Phytozome_Eg:Eucgr.K02201.1
Q2R481	Phytozome_Eg:Eucgr.A01332.1 Phytozome_Eg:Eucgr.G01624.1
Q2R8T7	Phytozome_Eg:Eucgr.I01731.1
Q2RAP0	Phytozome_Eg:Eucgr.A02267.1
Q2RAP4	Phytozome_Eg:Eucgr.J00224.1 Phytozome_Eg:Eucgr.G03059.1
Q2RAP8	Phytozome_Eg:Eucgr.A00249.1 Phytozome_Eg:Eucgr.A00052.1 Phytozome_Eg:Eucgr.A00248.1
Q2RAY0	Phytozome_Eg:Eucgr.H01630.1 Phytozome_Eg:Eucgr.H01402.1
Q2RB02	Phytozome_Eg:Eucgr.B03982.1
Q2RB23	Phytozome_Eg:Eucgr.J00623.1
Q2RBP2	Phytozome_Eg:Eucgr.J00203.1
Q336M7	Phytozome_Eg:Eucgr.D02624.1
Q336N7	Phytozome_Eg:Eucgr.E00233.1
Q336P5	Phytozome_Eg:Eucgr.E00277.1
Q336R6	Phytozome_Eg:Eucgr.E01661.1
Q336U3	Phytozome_Eg:Eucgr.J01449.1
Q336V3	Phytozome_Eg:Eucgr.A01599.1
Q337F0	Phytozome_Eg:Eucgr.D02251.1
Q337F3	Phytozome_Eg:Eucgr.J02122.1
Q338J0	Phytozome_Eg:Eucgr.E01787.1 Phytozome_Eg:Eucgr.E01788.1 Phytozome_Eg:Eucgr.E02458.1 Phytozome_Eg:Eucgr.E02456.1
Q338Z4	Phytozome_Eg:Eucgr.F02123.1
Q339V1	Phytozome_Eg:Eucgr.B01993.1
Q33AE4	Phytozome_Eg:Eucgr.K00185.1
Q40710	Phytozome_Eg:Eucgr.L03185.1 Phytozome_Eg:Eucgr.L00241.1 Phytozome_Eg:Eucgr.K03563.1 Phytozome_Eg:Eucgr.L00245.1 Phytozome_Eg:Eucgr.L00251.1 Phytozome_Eg:Eucgr.L00248.1 Phytozome_Eg:Eucgr.H00906.1 Phytozome_Eg:Eucgr.L00243.1 Phytozome_Eg:Eucgr.B01791.1 Phytozome_Eg:Eucgr.L00234.1 Phytozome_Eg:Eucgr.B01793.1 Phytozome_Eg:Eucgr.L00249.1 Phytozome_Eg:Eucgr.L00240.1
Q42982	Phytozome_Eg:Eucgr.K00087.1
Q43007	Phytozome_Eg:Eucgr.F03862.1
Q43009	Phytozome_Eg:Eucgr.C03201.1 Phytozome_Eg:Eucgr.C00769.1 Phytozome_Eg:Eucgr.C03199.1
Q43011	Phytozome_Eg:Eucgr.I00431.1
Q53JI9	Phytozome_Eg:Eucgr.F02931.1
Q53MS9	Phytozome_Eg:Eucgr.A00055.1 Phytozome_Eg:Eucgr.A00257.1
Q53MU8	Phytozome_Eg:Eucgr.B00307.1
Q53Q70	Phytozome_Eg:Eucgr.B03855.1 Phytozome_Eg:Eucgr.J00491.1
Q53QJ0	Phytozome_Eg:Eucgr.K02737.1
Q53RH0	Phytozome_Eg:Eucgr.K03513.1
Q5CCK1	Phytozome_Eg:Eucgr.J00224.1 Phytozome_Eg:Eucgr.G03059.1
Q5CCK3	Phytozome_Eg:Eucgr.I02453.1
Q5JK20	Phytozome_Eg:Eucgr.B03551.1
Q5JK39	Phytozome_Eg:Eucgr.K02201.1
Q5JLS4	Phytozome_Eg:Eucgr.H02887.1 Phytozome_Eg:Eucgr.D01393.1
Q5JMA1	Phytozome_Eg:Eucgr.D00323.1
Q5JMA6	Phytozome_Eg:Eucgr.C00910.1
Q5JMB6	Phytozome_Eg:Eucgr.G00961.1 Phytozome_Eg:Eucgr.G03204.1
Q5JMC7	Phytozome_Eg:Eucgr.I00312.1
Q5JMM6	Phytozome_Eg:Eucgr.F01180.1
Q5JMX5	Phytozome_Eg:Eucgr.K00731.1
Q5JMX9	Phytozome_Eg:Eucgr.K01223.1
Q5JN19	Phytozome_Eg:Eucgr.I01994.1
Q5JN63	Phytozome_Eg:Eucgr.D00476.1
Q5JNB0	Phytozome_Eg:Eucgr.L00009.1
Q5MBR3	Phytozome_Eg:Eucgr.F01409.1
Q5MBR5	Phytozome_Eg:Eucgr.F01409.1
Q5N725	Phytozome_Eg:Eucgr.K02073.1 Phytozome_Eg:Eucgr.A01538.1
Q5N7L0	Phytozome_Eg:Eucgr.C02671.1 Phytozome_Eg:Eucgr.C02674.1 Phytozome_Eg:Eucgr.C02688.1 Phytozome_Eg:Eucgr.C02687.1 Phytozome_Eg:Eucgr.C02668.1 Phytozome_Eg:Eucgr.C02690.1 Phytozome_Eg:Eucgr.G02313.1 Phytozome_Eg:Eucgr.C02679.1 Phytozome_Eg:Eucgr.C02681.1 Phytozome_Eg:Eucgr.C02680.1
Q5N7Z8	Phytozome_Eg:Eucgr.L00981.1 Phytozome_Eg:Eucgr.B01015.1 Phytozome_Eg:Eucgr.B00199.1 Phytozome_Eg:Eucgr.B00204.1
Q5N892	Phytozome_Eg:Eucgr.A00514.1 Phytozome_Eg:Eucgr.K02992.1
Q5N8G1	Phytozome_Eg:Eucgr.I02806.1
Q5N9N2	Phytozome_Eg:Eucgr.G02960.1 Phytozome_Eg:Eucgr.J02003.1
Q5N9Z8	Phytozome_Eg:Eucgr.I00395.1
Q5NA81	Phytozome_Eg:Eucgr.K01062.1
Q5NAY4	Phytozome_Eg:Eucgr.D00111.1
Q5NB25	Phytozome_Eg:Eucgr.H02407.1 Phytozome_Eg:Eucgr.F03050.1 Phytozome_Eg:Eucgr.F02172.1
Q5NBQ1	Phytozome_Eg:Eucgr.F01985.1
