Gene stable ID	Setaria italica gene stable ID	% identity	Setaria italica % identity	Orthology confidence [0 low, 1 high]
OS01G0157200	Si003924m.g	14	26	1
OS01G0157200	Si004173m.g	15	33	1
OS01G0157200	Si004413m.g	15	26	1
OS01G0157400	Si005130m.g	37	35	1
OS01G0157500	Si003997m.g	41	47	1
OS01G0157600	Si002351m.g	42	41	1
OS01G0157700	Si005128m.g	61	41	1
OS01G0157800	Si003402m.g	87	87	1
OS01G0157900	Si002767m.g	78	79	1
OS01G0158000	Si000891m.g	82	78	1
OS01G0158200	Si001329m.g	82	82	1
OS01G0158200	Si001347m.g	80	81	1
OS01G0158400	Si002694m.g	65	64	1
OS01G0158500	Si004538m.g	14	58	1
OS01G0158900	Si000223m.g	80	79	1
OS01G0159000	Si002340m.g	67	39	1
OS01G0159200	Si002509m.g	76	74	1
OS01G0159300	Si001038m.g	55	54	1
OS01G0159400	Si001505m.g	92	92	1
OS01G0159600	Si003502m.g	69	68	1
OS01G0160100	Si000757m.g	93	93	1
OS01G0160700	Si004994m.g	50	59	1
OS01G0160800	Si010881m.g	34	37	0
OS01G0161000	Si004994m.g	55	42	1
OS01G0162200	Si032735m.g	42	47	1
OS01G0162300	Si004686m.g	41	34	1
OS01G0162300	Si029470m.g	61	37	1
OS01G0162800	Si028774m.g	53	51	0
OS01G0162800	Si028781m.g	50	49	0
OS01G0162800	Si033352m.g	51	50	0
OS01G0164075	Si004283m.g	57	55	1
OS01G0164300	Si004283m.g	59	61	1
OS01G0164500	Si000633m.g	77	77	1
OS01G0164600	Si002723m.g	54	74	1
OS01G0164700	Si001297m.g	55	15	1
OS01G0164800	Si000038m.g	77	13	1
OS01G0164900	Si000038m.g	49	16	1
OS01G0165000	Si002067m.g	62	49	1
OS01G0165100	Si001144m.g	81	82	1
OS01G0165200	Si000495m.g	52	51	1
OS01G0165600	Si003114m.g	69	69	1
OS01G0166100	Si002145m.g	84	82	1
OS01G0166400	Si004416m.g	53	25	1
OS01G0166500	Si002763m.g	42	44	1
OS01G0166700	Si002807m.g	67	67	1
OS01G0166800	Si000763m.g	83	84	1
OS01G0167400	Si010881m.g	34	35	0
OS01G0167500	Si002015m.g	90	90	1
OS01G0167600	Si002873m.g	27	44	1
OS01G0167700	Si000559m.g	40	53	1
OS01G0167750	Si004376m.g	81	72	1
OS01G0167800	Si004840m.g	54	71	1
OS01G0167900	Si001604m.g	76	78	1
OS01G0168100	Si000964m.g	67	74	1
OS01G0168200	Si003271m.g	75	68	1
OS01G0168300	Si002689m.g	59	91	1
OS01G0168400	Si001010m.g	81	66	1
OS01G0168500	Si001613m.g	90	90	1
OS01G0168600	Si001178m.g	88	52	1
OS01G0168800	Si002163m.g	68	68	1
OS01G0168800	Si002206m.g	68	70	1
OS01G0169400	Si002632m.g	81	80	1
OS01G0169500	Si000020m.g	74	74	1
OS01G0169800	Si001052m.g	81	34	1
OS01G0169900	Si000836m.g	78	79	1
OS01G0170000	Si000380m.g	82	35	1
OS01G0170100	Si001520m.g	64	40	1
OS01G0170300	Si000114m.g	80	80	1
OS01G0170500	Si001549m.g	79	80	1
OS01G0170800	Si000827m.g	70	47	1
OS01G0170900	Si004702m.g	50	47	1
OS01G0171000	Si000658m.g	92	91	1
OS01G0171200	Si011828m.g	29	41	1
OS01G0171800	Si002139m.g	76	77	1
OS01G0172000	Si001564m.g	76	24	1
OS01G0172100	Si005351m.g	33	84	1
OS01G0172200	Si000577m.g	66	75	1
OS01G0172300	Si003034m.g	62	62	1
OS01G0172400	Si000337m.g	90	90	1
OS01G0172600	Si002216m.g	86	60	1
OS01G0172800	Si002950m.g	56	52	1
OS01G0172900	Si011984m.g	23	19	0
OS01G0173000	Si002990m.g	65	61	0
OS01G0173100	Si003222m.g	82	82	1
OS01G0173600	Si002812m.g	57	54	1
OS01G0173900	Si000037m.g	83	83	1
OS01G0173900	Si033887m.g	78	79	1
OS01G0174000	Si002989m.g	37	66	1
OS01G0174300	Si002330m.g	93	93	1
OS01G0174500	Si003969m.g	45	70	1
OS01G0174600	Si005180m.g	34	35	1
OS01G0174700	Si001204m.g	81	81	1
OS01G0174900	Si001781m.g	56	26	1
OS01G0175000	Si004020m.g	86	49	1
OS01G0175400	Si013820m.g	47	21	1
OS01G0175400	Si024652m.g	2	2	1
OS01G0175400	Si039684m.g	38	18	1
OS01G0175500	Si027398m.g	18	38	0
OS01G0175600	Si000570m.g	83	83	1
OS01G0175700	Si000570m.g	84	84	1
OS01G0175850	Si001042m.g	64	36	1
OS01G0176000	Si001162m.g	69	69	1
OS01G0176100	Si001162m.g	68	68	1
OS01G0176200	Si001162m.g	72	72	1
OS01G0176300	Si004775m.g	70	75	1
OS01G0176400	Si001254m.g	73	29	0
OS01G0176500	Si000320m.g	77	77	1
OS01G0176700	Si001230m.g	52	51	1
OS01G0176800	Si000127m.g	74	75	1
OS01G0177100	Si000268m.g	69	70	1
OS01G0177200	Si000310m.g	86	83	1
OS01G0177200	Si000361m.g	89	89	1
OS01G0177400	Si001832m.g	80	77	1
OS01G0177900	Si000049m.g	94	25	0
OS01G0178000	Si001761m.g	87	87	1
OS01G0178100	Si001537m.g	73	72	1
OS01G0178200	Si002431m.g	77	88	1
OS01G0178400	Si001179m.g	87	36	1
OS01G0178500	Si004034m.g	69	40	0
OS01G0178700	Si001667m.g	71	74	1
OS01G0178850	Si002819m.g	56	20	1
OS01G0179000	Si004884m.g	76	80	1
OS01G0179200	Si002038m.g	87	86	1
OS01G0179300	Si002204m.g	76	77	1
OS01G0179400	Si000007m.g	93	44	1
OS01G0179500	Si000034m.g	66	47	1
OS01G0179600	Si004704m.g	66	66	1
OS01G0179700	Si017922m.g	98	66	1
OS01G0179800	Si001569m.g	76	76	1
OS01G0180300	Si000389m.g	66	65	1
OS01G0180600	Si004212m.g	41	62	1
OS01G0180700	Si001212m.g	63	68	1
OS01G0181000	Si000765m.g	58	58	1
OS01G0182100	Si012690m.g	35	40	1
OS01G0182200	Si023083m.g	83	84	1
OS01G0182200	Si027934m.g	51	63	1
OS01G0182300	Si003735m.g	60	60	1
OS01G0182400	Si001415m.g	54	60	1
OS01G0182500	Si004818m.g	41	18	1
OS01G0182600	Si000107m.g	93	93	1
OS01G0182832	Si020963m.g	9	4	0
OS01G0182832	Si020967m.g	1	1	0
OS01G0182900	Si020963m.g	94	20	0
OS01G0182900	Si020967m.g	0	0	0
OS01G0183000	Si001306m.g	81	63	1
OS01G0183100	Si000998m.g	79	80	1
OS01G0183100	Si016892m.g	79	80	1
OS01G0183300	Si000717m.g	65	65	1
OS01G0183400	Si004603m.g	55	63	1
OS01G0183500	Si003772m.g	85	32	1
OS01G0183600	Si005145m.g	77	77	1
OS01G0183633	Si003426m.g	87	87	1
OS01G0183800	Si002062m.g	65	68	1
OS01G0184000	Si001583m.g	74	66	1
OS01G0184100	Si004066m.g	81	66	1
OS01G0184100	Si005062m.g	80	82	1
OS01G0184500	Si000707m.g	78	79	1
OS01G0184800	Si002671m.g	92	92	1
OS01G0184900	Si000646m.g	90	90	1
OS01G0185200	Si000357m.g	91	91	1
OS01G0185300	Si001616m.g	91	92	1
OS01G0185400	Si001046m.g	70	57	0
OS01G0185500	Si005068m.g	72	72	1
OS01G0185900	Si001109m.g	60	60	1
OS01G0186000	Si002621m.g	50	38	1
OS01G0186200	Si001684m.g	80	78	1
OS01G0186400	Si018186m.g	35	35	1
OS01G0186400	Si019221m.g	19	33	1
OS01G0186600	Si002872m.g	46	44	1
OS01G0186700	Si000935m.g	92	92	1
OS01G0187400	Si000048m.g	89	89	1
OS01G0187600	Si001019m.g	73	33	1
OS01G0187900	Si001941m.g	77	77	1
OS01G0188100	Si002049m.g	87	84	1
OS01G0188200	Si000090m.g	52	13	1
OS01G0188400	Si000645m.g	84	84	0
OS01G0188400	Si006948m.g	40	83	0
OS01G0188400	Si012203m.g	20	69	0
OS01G0188400	Si024907m.g	21	63	0
OS01G0188900	Si013820m.g	60	21	1
OS01G0188900	Si024652m.g	1	1	1
OS01G0188900	Si039684m.g	48	18	1
OS01G0189100	Si013820m.g	42	54	1
OS01G0189100	Si024652m.g	20	47	1
OS01G0189100	Si039684m.g	32	43	1
OS01G0189800	Si027398m.g	17	37	0
OS01G0190000	Si002202m.g	87	76	1
OS01G0190300	Si002618m.g	56	52	1
OS01G0190400	Si001323m.g	86	84	1
OS01G0191000	Si011153m.g	78	77	1
OS01G0191100	Si031570m.g	81	82	1
OS01G0191150	Si003325m.g	62	27	1
OS01G0191300	Si001527m.g	78	86	1
OS01G0191500	Si001127m.g	86	86	1
OS01G0191700	Si000952m.g	92	91	1
OS01G0191800	Si002441m.g	95	95	1
OS01G0191900	Si002629m.g	43	45	1
OS01G0192000	Si004757m.g	59	83	1
OS01G0192300	Si002353m.g	63	64	1
OS01G0192500	Si012698m.g	39	36	1
OS01G0192550	Si008681m.g	26	56	1
OS01G0192600	Si002059m.g	91	91	1
OS01G0192900	Si001369m.g	71	83	0
OS01G0193400	Si005063m.g	49	38	1
OS01G0193500	Si003887m.g	67	69	1
OS01G0193600	Si001575m.g	61	81	1
OS01G0193900	Si000260m.g	53	51	1
OS01G0193900	Si034207m.g	47	45	1
OS01G0194000	Si000782m.g	73	60	0
OS01G0194200	Si001470m.g	79	79	1
OS01G0194300	Si000814m.g	71	71	1
OS01G0194600	Si003362m.g	72	74	1
OS01G0195000	Si001334m.g	51	53	0
OS01G0195200	Si000132m.g	87	36	1
OS01G0195400	Si004758m.g	77	75	1
OS01G0195500	Si002969m.g	89	88	1
OS01G0195801	Si001328m.g	51	31	1
OS01G0196133	Si008200m.g	48	11	1
OS01G0196133	Si015488m.g	40	33	1
OS01G0196133	Si019702m.g	59	39	1
OS01G0196133	Si019961m.g	53	23	1
OS01G0196133	Si025062m.g	29	16	1
OS01G0196133	Si028227m.g	56	40	1
OS01G0196133	Si032826m.g	59	17	1
OS01G0196300	Si001328m.g	49	46	1
OS01G0196500	Si003017m.g	81	85	1
OS01G0196600	Si001304m.g	77	78	1
OS01G0197100	Si001130m.g	81	79	1
OS01G0197150	Si023296m.g	32	34	1
OS01G0197200	Si001187m.g	95	96	1
OS01G0197400	Si002373m.g	43	34	1
OS01G0197500	Si002483m.g	74	41	0
OS01G0197700	Si001500m.g	56	72	1
OS01G0197900	Si000292m.g	17	8	0
OS01G0197900	Si008344m.g	36	38	0
OS01G0197900	Si008726m.g	43	25	0
OS01G0198000	Si000292m.g	26	18	0
OS01G0198000	Si008344m.g	23	37	0
OS01G0198000	Si008726m.g	41	37	0
OS01G0198200	Si001239m.g	68	89	1
OS01G0198500	Si002685m.g	57	55	1
OS01G0198900	Si004671m.g	59	55	1
OS01G0199400	Si001729m.g	76	75	1
OS01G0199900	Si003171m.g	22	84	1
OS01G0199900	Si005011m.g	60	83	1
OS01G0200000	Si036690m.g	91	91	1
OS01G0200200	Si004198m.g	61	55	1
OS01G0200300	Si000283m.g	79	40	1
OS01G0200400	Si002541m.g	90	87	1
OS01G0200500	Si002246m.g	79	80	1
OS01G0200600	Si002749m.g	62	60	0
OS01G0200700	Si003564m.g	61	46	1
OS01G0201100	Si001156m.g	68	65	1
OS01G0201200	Si000760m.g	77	73	1
OS01G0201250	Si004264m.g	74	67	1
OS01G0201400	Si024873m.g	43	48	1
