Gene stable ID	Oryza brachyantha gene stable ID	% identity	Oryza brachyantha % identity	Orthology confidence [0 low, 1 high]
OS01G0118700	OB02G45210	28	79	1
OS01G0119000	OB01G11270	75	74	1
OS01G0119100	OB01G11280	31	92	1
OS01G0120300	OB01G11300	94	73	1
OS01G0120300	OB01G11320	6	65	1
OS01G0120400	OB01G11340	86	87	1
OS01G0120600	OB01G11350	78	74	1
OS01G0120700	OB01G11360	76	85	1
OS01G0120800	OB01G11370	88	87	0
OS01G0121000	OB01G11380	85	89	1
OS01G0121100	OB01G11390	88	90	1
OS01G0121200	OB01G11400	95	96	1
OS01G0121300	OB01G11410	83	80	1
OS01G0121500	OB01G11430	68	42	1
OS01G0121600	OB01G11440	76	74	1
OS01G0121700	OB01G11450	92	92	1
OS01G0121800	OB0071G10040	65	94	1
OS01G0122701	OB0071G10100	24	7	0
OS01G0123700	OB05G15770	24	46	0
OS01G0123900	OB01G11480	53	59	1
OS01G0124000	OB0071G10120	44	37	1
OS01G0124000	OB0071G10130	41	49	1
OS01G0124100	OB0071G10140	56	61	1
OS01G0124200	OB0071G10140	65	68	1
OS01G0124401	OB0071G10140	60	63	1
OS01G0124600	OB01G11480	54	59	1
OS01G0124650	OB01G11480	58	61	1
OS01G0124700	OB01G11490	55	55	1
OS01G0125600	OB01G11520	92	96	1
OS01G0125700	OB01G11530	89	81	1
OS01G0125800	OB01G11550	96	96	1
OS01G0125900	OB01G11560	93	90	1
OS01G0126100	OB01G11570	87	87	1
OS01G0126200	OB01G11590	86	90	1
OS01G0126600	OB01G11600	80	57	1
OS01G0127100	OB01G11630	61	69	1
OS01G0127200	OB01G11620	22	68	1
OS01G0127200	OB01G11640	36	53	1
OS01G0127200	OB01G11650	70	69	1
OS01G0127300	OB01G11660	54	92	1
OS01G0127400	OB01G11670	89	90	1
OS01G0127600	OB01G11710	53	45	0
OS01G0127900	OB01G11730	62	94	1
OS01G0128000	OB01G11750	59	56	1
OS01G0128100	OB01G11760	85	86	1
OS01G0128200	OB01G11770	85	73	1
OS01G0128300	OB01G11780	62	94	1
OS01G0128400	OB01G11790	82	84	1
OS01G0128800	OB01G11800	84	24	1
OS01G0129200	OB01G11810	69	73	1
OS01G0129500	OB01G11820	70	71	1
OS01G0129600	OB01G11830	53	62	1
OS01G0129800	OB01G11840	55	68	1
OS01G0130000	OB01G11850	92	93	1
OS01G0130400	OB01G11890	94	95	1
OS01G0130900	OB01G11910	46	92	1
OS01G0131300	OB01G11940	61	52	1
OS01G0131450	OB01G11950	88	72	1
OS01G0131600	OB01G11960	91	82	1
OS01G0131800	OB01G11970	92	92	1
OS01G0132000	OB01G11990	91	91	1
OS01G0132200	OB01G12010	46	60	1
OS01G0132400	OB01G12020	66	65	1
OS01G0132500	OB01G12030	42	68	1
OS01G0132700	OB01G12040	89	70	1
OS01G0132800	OB01G12060	64	96	1
OS01G0133200	OB01G12080	91	89	1
OS01G0133400	OB01G12070	95	41	1
OS01G0133500	OB01G12090	90	90	1
OS01G0133600	OB01G12110	44	69	1
OS01G0133700	OB01G12110	65	54	1
OS01G0133900	OB01G12130	56	96	1
OS01G0134500	OB01G12140	65	94	1
OS01G0134700	OB01G12150	85	86	1
OS01G0134800	OB01G12160	59	51	1
OS01G0134900	OB01G12170	93	93	1
OS01G0135000	OB01G12180	57	79	1
OS01G0135700	OB01G12190	91	92	1
OS01G0135800	OB01G12200	87	86	1
OS01G0135900	OB01G12210	93	96	1
OS01G0136000	OB01G12220	95	95	1
OS01G0136100	OB01G12240	95	95	1
OS01G0136200	OB01G12240	95	95	1
OS01G0136300	OB01G12260	71	76	1
OS01G0136400	OB01G12270	63	64	1
OS01G0136450	OB01G12420	39	23	0
OS01G0136700	OB01G12290	26	29	0
OS01G0136700	OB01G12300	28	33	0
OS01G0136700	OB01G12430	27	31	0
OS01G0136800	OB01G12320	72	73	1
OS01G0136850	OB09G27180	31	23	1
OS01G0136900	OB01G12330	87	72	1
OS01G0137200	OB01G12420	35	23	0
OS01G0137250	OB01G12350	85	76	1
OS01G0137300	OB01G12370	66	66	1
OS01G0137400	OB01G12360	61	60	1
OS01G0137500	OB01G12400	62	44	1
OS01G0137700	OB01G12290	29	30	0
OS01G0137700	OB01G12300	28	31	0
OS01G0137700	OB01G12430	29	32	0
OS01G0137950	OB01G12440	79	33	1
OS01G0138300	OB01G12440	51	70	1
OS01G0138400	OB01G12460	79	83	1
OS01G0138500	OB01G12470	83	84	1
OS01G0138600	OB01G21080	75	47	1
OS01G0138800	OB01G12480	69	77	1
OS01G0138900	OB01G12490	56	95	1
OS01G0139000	OB01G12500	88	88	1
OS01G0139200	OB01G12520	82	89	0
OS01G0139600	OB01G12530	49	84	1
OS01G0139700	OB01G12540	65	64	1
OS01G0140400	OB01G12570	96	96	1
OS01G0140700	OB01G12600	71	69	1
OS01G0141000	OB01G12610	47	63	1
OS01G0141100	OB01G12630	99	69	1
OS01G0141600	OB01G12650	68	49	1
OS01G0141700	OB01G12660	89	89	1
OS01G0141900	OB01G12680	81	96	1
OS01G0142100	OB01G12700	88	89	1
OS01G0142200	OB01G12710	94	94	1
OS01G0142300	OB01G12720	97	86	1
OS01G0142500	OB01G12730	84	85	1
OS01G0143100	OB01G12780	91	89	1
OS01G0143400	OB01G12810	63	52	1
OS01G0143400	OB01G12820	60	51	1
OS01G0143400	OB01G12830	59	52	1
OS01G0143700	OB01G12800	47	58	1
OS01G0143800	OB01G12840	73	74	1
OS01G0143900	OB01G12850	90	92	1
OS01G0144000	OB01G12860	76	100	1
OS01G0144100	OB01G12870	60	64	1
OS01G0144200	OB01G12880	90	75	1
OS01G0144300	OB01G12890	85	83	1
OS01G0144340	OB01G12900	96	96	0
OS01G0144500	OB01G12910	52	49	1
OS01G0144600	OB01G12920	85	83	1
OS01G0144700	OB01G12930	91	91	1
OS01G0145000	OB01G12970	61	32	1
OS01G0145000	OB01G12990	47	33	1
OS01G0145000	OB01G13010	63	32	1
OS01G0145000	OB01G13020	58	39	1
OS01G0145000	OB01G13040	62	63	1
OS01G0145200	OB01G12940	46	61	1
OS01G0146200	OB01G12970	64	33	1
OS01G0146200	OB01G12990	50	35	1
OS01G0146200	OB01G13010	68	34	1
OS01G0146200	OB01G13020	62	41	1
OS01G0146200	OB01G13040	65	65	1
OS01G0147200	OB01G13060	95	96	1
OS01G0147250	OB01G13070	26	78	1
OS01G0147300	OB01G13080	91	67	1
OS01G0147400	OB01G13090	80	44	1
OS01G0147700	OB06G16840	84	84	1
OS01G0147800	OB01G13100	92	76	1
OS01G0147900	OB01G13110	91	91	1
OS01G0148000	OB01G13120	88	32	1
OS01G0148050	OB01G13120	91	39	1
OS01G0149350	OB01G13130	83	83	1
OS01G0149500	OB01G13130	87	52	1
OS01G0149800	OB01G13140	95	95	1
OS01G0149900	OB01G13150	81	80	1
OS01G0150000	OB01G13160	96	96	1
OS01G0150100	OB01G13170	83	36	1
OS01G0150200	OB01G13180	94	94	1
OS01G0150400	OB01G13190	53	60	0
OS01G0150500	OB01G13190	50	59	0
OS01G0150800	OB01G13190	57	69	0
OS01G0151100	OB01G13200	93	93	1
OS01G0151200	OB01G13210	60	93	1
OS01G0151400	OB01G13230	90	39	1
OS01G0151500	OB01G13230	57	65	1
OS01G0151600	OB01G13240	96	92	1
OS01G0151700	OB01G13260	91	92	1
OS01G0151900	OB01G13280	85	85	1
OS01G0152000	OB01G13310	82	83	1
OS01G0152600	OB01G13320	76	78	0
OS01G0152800	OB01G13340	78	79	1
OS01G0153100	OB05G14410	95	92	1
OS01G0153250	OB01G13370	86	86	1
OS01G0153300	OB05G14410	97	96	1
OS01G0153400	OB01G51630	96	93	1
OS01G0153600	OB01G13390	66	69	1
OS01G0153800	OB01G13400	68	76	1
OS01G0153900	OB01G13410	65	63	1
OS01G0154100	OB01G13420	59	67	1
OS01G0154200	OB01G13430	63	70	1
OS01G0154600	OB01G13440	79	80	1
OS01G0155200	OB01G13480	81	80	1
OS01G0155300	OB01G13490	51	77	1
OS01G0155400	OB01G13500	92	64	1
OS01G0155500	OB01G13510	81	86	1
OS01G0155600	OB01G13520	82	82	0
OS01G0155800	OB01G13540	76	72	1
OS01G0156000	OB01G13610	62	73	1
OS01G0157200	OB01G13580	38	40	1
OS01G0157400	OB01G13640	59	62	1
OS01G0157500	OB01G13650	48	57	1
OS01G0157600	OB01G13660	57	57	1
OS01G0157700	OB01G13670	73	46	1
OS01G0157900	OB01G13680	86	86	1
OS01G0158000	OB01G13690	92	92	1
OS01G0158100	OB01G13700	57	89	1
OS01G0158200	OB01G13710	69	95	1
OS01G0158400	OB01G13720	63	74	1
OS01G0158400	OB01G13740	71	76	1
OS01G0158800	OB01G13750	37	33	0
OS01G0158900	OB01G13760	89	90	1
OS01G0159000	OB01G13770	80	55	1
OS01G0159300	OB01G13780	83	83	1
OS01G0159400	OB01G13790	97	96	1
OS01G0160100	OB01G13810	81	93	1
OS01G0160800	OB01G13820	66	64	0
OS01G0162900	OB01G13840	74	79	1
OS01G0163000	OB01G13830	79	82	1
OS01G0164300	OB01G13870	48	72	1
OS01G0164400	OB01G13880	16	8	1
OS01G0164500	OB01G13890	92	92	1
OS01G0164600	OB01G13900	88	89	1
OS01G0164700	OB01G13910	59	23	1
OS01G0164800	OB01G13850	57	82	1
OS01G0164900	OB01G13850	0	0	1
OS01G0165000	OB01G13930	85	85	1
OS01G0165100	OB01G13940	87	92	1
OS01G0165200	OB01G13950	69	70	1
OS01G0165600	OB01G13960	88	87	1
OS01G0166100	OB01G13990	88	84	1
OS01G0166300	OB01G14000	76	49	1
OS01G0166500	OB01G14010	63	62	1
OS01G0166700	OB01G14030	90	90	1
OS01G0166800	OB01G14040	92	92	1
OS01G0167400	OB01G14050	44	18	1
OS01G0167500	OB01G14060	97	97	1
OS01G0167700	OB01G14080	71	77	1
OS01G0167750	OB01G14090	68	89	1
OS01G0167900	OB01G14110	92	92	1
OS01G0168100	OB01G14130	84	79	1
OS01G0168300	OB01G14150	60	53	1
OS01G0168500	OB01G14160	95	95	1
OS01G0168600	OB01G14170	61	46	1
OS01G0168800	OB01G14190	46	84	1
OS01G0169400	OB01G14220	96	97	1
OS01G0169500	OB01G14230	81	89	1
OS01G0169800	OB01G14240	90	37	0
OS01G0169900	OB01G14250	89	90	1
OS01G0170000	OB01G14270	89	38	1
OS01G0170100	OB01G14290	90	55	1
OS01G0170300	OB01G14300	89	89	1
OS01G0170500	OB01G14320	89	87	1
OS01G0170600	OB01G14340	56	56	1
OS01G0170700	OB01G14360	65	61	1
OS01G0170800	OB01G14370	86	58	1
OS01G0171000	OB01G14390	96	96	1
OS01G0171100	OB01G14400	30	52	1
OS01G0171200	OB01G14420	30	23	1
OS01G0171800	OB01G14440	86	86	0
OS01G0172000	OB01G14460	83	26	1
OS01G0172100	OB01G14470	71	87	1
OS01G0172200	OB01G14480	85	92	1
OS01G0172300	OB01G14490	84	88	1
OS01G0172400	OB01G14500	97	97	1
OS01G0172600	OB01G14530	44	48	1
OS01G0172701	OB01G14540	65	65	1
OS01G0172800	OB01G14550	62	63	1
OS01G0172900	OB01G14560	67	44	1
OS01G0173000	OB01G14570	48	73	1
OS01G0173100	OB01G14580	84	86	1
OS01G0173900	OB01G14590	86	90	1
OS01G0174000	OB01G14600	24	21	1
OS01G0174100	OB01G14610	82	73	1
OS01G0174300	OB01G14620	86	91	1
OS01G0174500	OB01G14630	79	76	1
OS01G0174600	OB01G14640	65	64	1
OS01G0174900	OB01G14660	89	89	1
OS01G0174900	OB01G28070	86	88	1
OS01G0175000	OB01G14670	95	95	1
OS01G0175500	OB01G14690	55	51	1
OS01G0175500	OB01G14710	40	38	1
OS01G0175600	OB01G14720	92	93	1
OS01G0175700	OB01G14720	94	94	1
OS01G0176300	OB01G14730	83	84	1
OS01G0176400	OB01G14740	88	18	1
OS01G0176500	OB01G14750	90	91	1
OS01G0176700	OB01G14760	45	39	1
OS01G0176800	OB01G14770	75	84	1
OS01G0176900	OB01G14780	28	63	1
OS01G0177100	OB01G14800	90	90	1
OS01G0177200	OB01G14810	95	95	1
OS01G0177900	OB01G14860	98	26	1
OS01G0178000	OB01G14870	95	95	1
OS01G0178100	OB01G14890	86	86	1
OS01G0178200	OB01G14900	82	94	1
OS01G0178400	OB01G14910	95	40	1
OS01G0178500	OB01G14930	86	84	1
OS01G0178600	OB01G14940	34	28	1
OS01G0178700	OB01G14960	85	89	1
OS01G0178850	OB01G14970	66	79	1
OS01G0179000	OB01G15000	67	82	1
OS01G0179200	OB01G15010	65	34	1
OS01G0179400	OB01G15020	97	52	1
OS01G0179500	OB01G15030	84	59	1
OS01G0179700	OB02G33530	99	99	1
OS01G0179800	OB01G15050	90	79	1
OS01G0180000	OB01G15070	82	79	1
OS01G0180300	OB01G15080	86	86	1
OS01G0180400	OB01G15090	63	52	0
OS01G0180600	OB01G15110	84	84	1
OS01G0180700	OB01G15120	72	74	1
OS01G0180800	OB01G15130	90	90	1
OS01G0181000	OB01G15160	30	51	0
OS01G0182100	OB01G10650	27	68	0
OS01G0182100	OB01G11290	65	64	0
OS01G0182100	OB0320G10010	64	62	0
OS01G0182200	OB01G15170	92	91	1
OS01G0182400	OB01G15200	52	76	0
OS01G0182500	OB01G15210	72	73	1
OS01G0182600	OB01G15220	98	98	1
OS01G0182832	OB01G15250	10	2	0
OS01G0182900	OB01G15250	98	11	0
OS01G0183000	OB01G15260	90	90	1
OS01G0183100	OB01G15280	90	90	1
OS01G0183100	OB05G16320	53	85	1
OS01G0183300	OB01G15290	36	85	1
OS01G0183400	OB01G15310	44	67	1
OS01G0183400	OB04G19750	23	36	1
OS01G0183500	OB01G15320	93	35	1
OS01G0183600	OB01G15330	72	72	1
OS01G0183633	OB01G15350	97	97	1
OS01G0183800	OB01G15370	88	88	1
OS01G0183850	OB01G15380	37	33	1
OS01G0184000	OB01G15400	88	88	1
OS01G0184100	OB01G15410	59	88	1
OS01G0184500	OB01G15420	82	78	1
OS01G0184800	OB01G15430	75	73	0
OS01G0184900	OB01G15440	97	97	1
OS01G0185100	OB01G15450	66	44	1
OS01G0185200	OB01G15460	97	97	1
OS01G0185300	OB01G15480	95	95	1
OS01G0185400	OB01G15490	83	70	1
OS01G0185500	OB01G15510	60	90	1
OS01G0185900	OB01G15520	33	89	1
OS01G0186200	OB01G15550	58	80	1
OS01G0186400	OB01G19990	23	36	0
OS01G0186600	OB01G15560	59	51	0
OS01G0186700	OB01G15580	91	98	1
OS01G0186900	OB01G15590	66	88	1
OS01G0186950	OB01G30360	38	35	1
OS01G0187000	OB12G26910	63	46	1
OS01G0187400	OB01G15610	79	96	1
OS01G0187600	OB01G15630	81	59	1
OS01G0187900	OB01G15640	62	92	1
OS01G0188100	OB01G15650	93	95	1
OS01G0188200	OB06G21870	46	12	0
OS01G0188400	OB01G15660	87	95	1
OS01G0189800	OB01G14690	50	48	1
OS01G0189800	OB01G14710	38	37	1
OS01G0190000	OB01G15680	53	73	1
OS01G0190300	OB01G15690	38	54	0
OS01G0190400	OB01G15710	92	91	1
OS01G0190500	OB01G15720	60	64	1
OS01G0191100	OB01G15740	89	37	1
OS01G0191150	OB01G15750	43	35	1
OS01G0191200	OB01G15760	72	76	1
OS01G0191300	OB01G15780	86	96	1
OS01G0191500	OB01G15800	92	92	1
OS01G0191700	OB01G15810	95	95	1
OS01G0191800	OB01G15820	96	96	1
OS01G0192000	OB01G15840	90	90	1
OS01G0192101	OB01G15850	58	65	1
OS01G0192300	OB01G15870	81	88	1
OS01G0192500	OB04G32180	30	8	0
OS01G0192550	OB01G15880	29	67	1
OS01G0192600	OB01G15890	98	98	1
OS01G0192900	OB01G15900	74	86	0
OS01G0193400	OB01G15940	46	49	0
OS01G0193500	OB01G15950	53	86	1
OS01G0193600	OB01G15960	61	95	1
OS01G0193900	OB01G15970	77	72	1
OS01G0194000	OB01G15980	79	82	1
OS01G0194200	OB01G15990	85	85	1
OS01G0194300	OB01G16000	60	84	1
OS01G0195000	OB01G16060	59	59	0
OS01G0195200	OB01G16070	92	39	1
OS01G0195300	OB01G16080	33	83	1
OS01G0195400	OB01G16090	77	62	1
OS01G0195500	OB01G16100	88	87	1
OS01G0195801	OB01G16120	51	33	1
OS01G0196300	OB01G16120	58	57	1
OS01G0196500	OB01G16150	53	91	1
OS01G0196600	OB01G16160	59	91	1
OS01G0197100	OB01G16190	87	88	1
OS01G0197200	OB01G16210	94	94	1
OS01G0197400	OB01G16220	81	80	1
OS01G0197450	OB01G16230	71	84	1
OS01G0197500	OB01G16240	50	36	0
OS01G0197700	OB01G16270	13	85	1
OS01G0197700	OB01G16280	55	53	1
OS01G0197900	OB01G16310	53	22	1
OS01G0198000	OB01G16290	72	50	1
OS01G0198200	OB01G16320	96	96	1
OS01G0198250	OB01G16330	83	92	1
OS01G0199400	OB01G16360	69	92	1
OS01G0199700	OB01G16370	37	50	1
OS01G0199900	OB01G16380	85	94	1
OS01G0199950	OB01G16390	74	85	1
OS01G0200000	OB10G25550	97	97	1
OS01G0200200	OB01G16400	60	67	1
OS01G0200300	OB01G16410	86	43	1
OS01G0200400	OB01G16420	94	90	1
OS01G0200500	OB01G16430	81	85	1
OS01G0200600	OB01G16440	38	51	1
OS01G0200700	OB01G16450	76	75	1
OS01G0201100	OB01G16470	49	82	1
OS01G0201200	OB01G16480	92	92	1
OS01G0201275	OB04G10090	18	40	0
OS01G0201700	OB01G16550	74	45	1
OS01G0201800	OB01G16560	74	64	1
OS01G0201900	OB01G16560	77	59	1
OS01G0202500	OB01G16580	44	44	1
OS01G0202700	OB01G16590	74	87	1
OS01G0202800	OB01G16600	80	74	1
OS01G0203000	OB01G16610	71	85	0
OS01G0203300	OB01G16620	82	82	1
OS01G0203800	OB01G16660	46	50	1
OS01G0204000	OB01G16690	89	89	1
OS01G0205100	OB01G16710	78	93	0
OS01G0205300	OB01G16730	77	79	1
OS01G0205500	OB01G16740	99	99	1
OS01G0205700	OB01G16760	97	53	1
OS01G0205900	OB01G16770	91	88	1
OS01G0206300	OB01G16780	82	81	1
OS01G0206600	OB01G16790	94	50	1
OS01G0206700	OB01G16800	89	89	1
OS01G0206800	OB01G16810	85	85	1
OS01G0207200	OB01G16830	73	89	1
OS01G0207300	OB01G23310	96	39	1
OS01G0207400	OB01G16840	91	39	1
OS01G0207700	OB01G16850	0	0	1
OS01G0207700	OB01G16860	47	65	1
OS01G0207900	OB01G16870	64	64	1
OS01G0208000	OB01G16870	8	3	1
OS01G0208600	OB01G16890	83	82	1
OS01G0208700	OB01G16900	92	92	1
OS01G0209000	OB01G16910	81	94	1
OS01G0209200	OB01G16930	78	74	1
OS01G0209400	OB01G16940	90	90	1
OS01G0209500	OB01G16950	1	0	0
OS01G0209700	OB01G16960	41	40	1
OS01G0209800	OB01G16970	72	91	1
OS01G0209901	OB01G16980	19	61	1
OS01G0210200	OB01G16990	55	57	1
OS01G0210300	OB01G17000	50	94	1
OS01G0210400	OB01G17020	63	78	1
OS01G0210500	OB01G17030	94	95	1
OS01G0210550	OB01G17040	77	81	1
OS01G0210600	OB01G17050	89	88	1
OS01G0210700	OB01G17060	93	88	1
OS01G0210800	OB01G17080	22	8	0
OS01G0211200	OB01G17090	84	81	1
OS01G0211200	OB01G17100	53	83	1
OS01G0211200	OB01G17110	26	78	1
OS01G0211600	OB01G17120	96	71	1
OS01G0211800	OB01G17130	84	76	1
OS01G0212100	OB01G17140	91	89	1
OS01G0212400	OB01G17150	90	91	1
OS01G0212500	OB01G17160	78	72	1
OS01G0212700	OB01G17200	17	24	0
OS01G0212700	OB05G16460	10	31	0
OS01G0213100	OB01G17210	22	38	1
OS01G0213300	OB01G17220	65	71	1
OS01G0213400	OB01G17230	32	56	1
OS01G0213800	OB01G17240	39	54	1
OS01G0214200	OB01G17260	95	94	1
OS01G0214300	OB01G17270	87	29	1
OS01G0214400	OB01G17280	78	52	1
OS01G0214500	OB01G17300	99	99	1
OS01G0214600	OB01G17310	77	73	1
OS01G0214800	OB01G17320	95	86	1
OS01G0215000	OB01G17330	79	83	1
OS01G0215000	OB01G17340	6	5	1
OS01G0215100	OB05G34760	84	24	1
OS01G0215700	OB01G17360	93	93	1
OS01G0216500	OB01G17410	71	62	1
OS01G0216900	OB01G17410	62	59	1
OS01G0217000	OB01G17420	69	78	1
OS01G0217500	OB01G17450	87	86	1
OS01G0217800	OB01G17460	84	95	1
OS01G0218032	OB02G25160	11	1	1
OS01G0218100	OB01G17480	41	46	1
OS01G0218200	OB01G17500	91	91	1
OS01G0218350	OB01G17490	73	69	1
OS01G0218500	OB01G17510	62	98	1
OS01G0218700	OB01G17520	63	86	1
OS01G0218800	OB01G17530	89	89	1
OS01G0218900	OB01G17540	72	78	1
OS01G0219000	OB01G17550	36	90	1
OS01G0219000	OB01G50730	22	93	1
OS01G0219100	OB01G17560	95	96	1
OS01G0219200	OB01G17570	61	91	1
OS01G0219300	OB01G17580	64	73	1
OS01G0219500	OB08G12210	27	24	0
OS01G0219600	OB01G17610	75	75	1
OS01G0220100	OB01G17620	81	83	1
OS01G0220200	OB01G17630	77	26	0
OS01G0220300	OB01G17660	86	84	1
OS01G0220500	OB01G17680	80	72	1
OS01G0220700	OB01G17700	59	31	1
OS01G0221100	OB01G17720	79	56	1
OS01G0221300	OB01G17730	69	73	1
OS01G0221400	OB01G17740	75	74	1
OS01G0221600	OB01G17760	94	94	1
OS01G0221700	OB01G17770	58	35	1
OS01G0221900	OB01G17780	2	2	1
OS01G0221900	OB02G30370	74	14	1
OS01G0222300	OB01G17860	85	29	1
OS01G0222500	OB01G17870	86	86	1
OS01G0222600	OB01G17880	72	68	1
OS01G0222700	OB01G17890	95	95	1
OS01G0223000	OB01G17920	71	74	1
OS01G0223200	OB01G17940	64	65	1
OS01G0223600	OB01G17950	87	61	1
OS01G0223800	OB01G17960	76	80	1
OS01G0223900	OB01G17980	80	81	1
OS01G0224000	OB01G17990	86	89	1
OS01G0224100	OB01G18000	69	83	0
OS01G0224200	OB01G18020	82	79	1
OS01G0224300	OB01G18030	90	90	1
OS01G0224400	OB01G18040	67	22	1
OS01G0224500	OB01G18050	74	95	1
OS01G0224700	OB01G18060	59	84	1
OS01G0225000	OB01G18070	70	93	1
OS01G0225100	OB01G18080	61	32	1
OS01G0225200	OB01G18090	76	27	1
OS01G0225300	OB01G18100	90	52	1
OS01G0225400	OB01G18110	91	40	1
OS01G0225500	OB01G18120	63	84	1
OS01G0225600	OB01G18130	93	93	1
OS01G0226200	OB01G18150	43	76	0
OS01G0226300	OB01G18140	68	88	0
OS01G0226400	OB01G18160	82	95	1
OS01G0226500	OB01G18170	42	78	1
OS01G0226600	OB01G18180	81	79	1
OS01G0226700	OB01G18190	58	59	1
OS01G0227100	OB01G18200	75	98	1
OS01G0227200	OB01G18220	70	84	1
OS01G0227300	OB01G18230	100	100	1
OS01G0227500	OB01G18240	40	79	0
OS01G0227500	OB01G18250	26	24	0
OS01G0227800	OB08G10500	10	43	1
OS01G0228300	OB01G18290	76	62	0
OS01G0228400	OB01G18300	86	87	1
OS01G0228500	OB01G18310	65	84	1
OS01G0228600	OB01G18320	67	49	1
