Gene stable ID	Medicago truncatula str. A17 gene stable ID	% identity	Medicago truncatula str. A17 % identity	Orthology confidence [0 low, 1 high]
OS01G0111200	MTR_1g093860	44	42	0
OS01G0111200	MTR_5g025630	22	36	0
OS01G0111500	MTR_5g079500	33	31	1
OS01G0111600	MTR_5g078320	20	38	1
OS01G0111600	MTR_8g106840	56	57	1
OS01G0111700	MTR_5g079600	23	32	1
OS01G0112100	MTR_3g078030	30	23	1
OS01G0112500	MTR_3g067685	51	46	1
OS01G0112500	MTR_5g079550	45	43	1
OS01G0113200	MTR_0690s0010	23	17	0
OS01G0113200	MTR_1g026940	26	17	0
OS01G0113200	MTR_1g027040	24	17	0
OS01G0113200	MTR_1g027060	22	17	0
OS01G0113200	MTR_1g027150	24	17	0
OS01G0113200	MTR_1g027200	21	16	0
OS01G0113200	MTR_1g027370	26	17	0
OS01G0113200	MTR_1g027420	20	14	0
OS01G0113200	MTR_1g027500	24	15	0
OS01G0113200	MTR_1g027690	25	17	0
OS01G0113200	MTR_1g027700	13	15	0
OS01G0113200	MTR_1g027820	23	16	0
OS01G0113200	MTR_1g027890	15	14	0
OS01G0113200	MTR_1g027960	23	15	0
OS01G0113200	MTR_1g027970	25	17	0
OS01G0113200	MTR_1g028080	26	17	0
OS01G0113200	MTR_1g028130	27	18	0
OS01G0113200	MTR_1g028220	23	16	0
OS01G0113200	MTR_1g028290	27	18	0
OS01G0113200	MTR_1g031320	28	18	0
OS01G0113200	MTR_1g031460	27	17	0
OS01G0113200	MTR_1g031540	27	9	0
OS01G0113200	MTR_1g031580	28	18	0
OS01G0113200	MTR_3g028650	23	16	0
OS01G0113200	MTR_4g073230	25	17	0
OS01G0113200	MTR_6g445600	24	16	0
OS01G0113300	MTR_1g026990	25	50	0
OS01G0113300	MTR_1g027030	36	31	0
OS01G0113300	MTR_1g027050	36	31	0
OS01G0113300	MTR_1g027070	37	33	0
OS01G0113300	MTR_1g027140	36	31	0
OS01G0113300	MTR_1g027160	25	50	0
OS01G0113300	MTR_1g027250	25	50	0
OS01G0113300	MTR_1g027320	24	48	0
OS01G0113300	MTR_1g027410	27	44	0
OS01G0113300	MTR_1g027440	30	33	0
OS01G0113300	MTR_1g027460	26	48	0
OS01G0113300	MTR_1g027540	28	42	0
OS01G0113300	MTR_1g027680	37	34	0
OS01G0113300	MTR_1g027730	26	49	0
OS01G0113300	MTR_1g027830	31	30	0
OS01G0113300	MTR_1g027840	26	48	0
OS01G0113300	MTR_1g027930	22	47	0
OS01G0113300	MTR_1g027990	36	33	0
OS01G0113300	MTR_1g028020	31	30	0
OS01G0113300	MTR_1g028100	31	49	0
OS01G0113300	MTR_1g028170	31	47	0
OS01G0113300	MTR_1g028280	37	35	0
OS01G0113300	MTR_1g031200	31	39	0
OS01G0113300	MTR_1g031280	35	35	0
OS01G0113300	MTR_1g031510	34	35	0
OS01G0113300	MTR_1g031520	34	36	0
OS01G0113300	MTR_1g031530	26	49	0
OS01G0113300	MTR_1g031560	34	35	0
OS01G0113300	MTR_3g028630	27	43	0
OS01G0113300	MTR_4g073220	32	30	0
OS01G0113300	MTR_6g045030	28	43	0
OS01G0113400	MTR_1g026990	25	50	0
OS01G0113400	MTR_1g027030	34	30	0
OS01G0113400	MTR_1g027050	35	31	0
OS01G0113400	MTR_1g027070	34	32	0
OS01G0113400	MTR_1g027140	35	31	0
OS01G0113400	MTR_1g027160	25	50	0
OS01G0113400	MTR_1g027250	25	50	0
OS01G0113400	MTR_1g027320	23	48	0
OS01G0113400	MTR_1g027410	26	43	0
OS01G0113400	MTR_1g027440	28	32	0
OS01G0113400	MTR_1g027460	26	49	0
OS01G0113400	MTR_1g027540	26	41	0
OS01G0113400	MTR_1g027680	35	33	0
OS01G0113400	MTR_1g027730	25	49	0
OS01G0113400	MTR_1g027830	30	30	0
OS01G0113400	MTR_1g027840	25	47	0
OS01G0113400	MTR_1g027930	20	46	0
OS01G0113400	MTR_1g027990	34	32	0
OS01G0113400	MTR_1g028020	28	28	0
OS01G0113400	MTR_1g028100	27	45	0
OS01G0113400	MTR_1g028170	28	43	0
OS01G0113400	MTR_1g028280	35	34	0
OS01G0113400	MTR_1g031200	29	38	0
OS01G0113400	MTR_1g031280	32	33	0
OS01G0113400	MTR_1g031510	33	35	0
OS01G0113400	MTR_1g031520	33	36	0
OS01G0113400	MTR_1g031530	25	48	0
OS01G0113400	MTR_1g031560	33	34	0
OS01G0113400	MTR_3g028630	26	41	0
OS01G0113400	MTR_4g073220	32	30	0
OS01G0113400	MTR_6g045030	26	41	0
OS01G0113500	MTR_0690s0010	31	36	0
OS01G0113500	MTR_1g026940	34	35	0
OS01G0113500	MTR_1g027040	32	36	0
OS01G0113500	MTR_1g027060	31	38	0
OS01G0113500	MTR_1g027150	33	37	0
OS01G0113500	MTR_1g027200	30	36	0
OS01G0113500	MTR_1g027370	32	34	0
OS01G0113500	MTR_1g027420	28	32	0
OS01G0113500	MTR_1g027500	33	34	0
OS01G0113500	MTR_1g027690	33	35	0
OS01G0113500	MTR_1g027700	25	46	0
OS01G0113500	MTR_1g027820	31	35	0
OS01G0113500	MTR_1g027890	26	40	0
OS01G0113500	MTR_1g027960	32	35	0
OS01G0113500	MTR_1g027970	33	35	0
OS01G0113500	MTR_1g028080	32	34	0
OS01G0113500	MTR_1g028130	33	36	0
OS01G0113500	MTR_1g028220	30	33	0
OS01G0113500	MTR_1g028290	35	37	0
OS01G0113500	MTR_1g031320	35	35	0
OS01G0113500	MTR_1g031460	33	35	0
OS01G0113500	MTR_1g031540	34	20	0
OS01G0113500	MTR_1g031580	33	35	0
OS01G0113500	MTR_3g028650	32	35	0
OS01G0113500	MTR_4g073230	34	36	0
OS01G0113500	MTR_6g445600	32	35	0
OS01G0113700	MTR_1g026990	24	50	0
OS01G0113700	MTR_1g027030	34	31	0
OS01G0113700	MTR_1g027050	35	31	0
OS01G0113700	MTR_1g027070	35	33	0
OS01G0113700	MTR_1g027140	35	31	0
OS01G0113700	MTR_1g027160	24	50	0
OS01G0113700	MTR_1g027250	24	50	0
OS01G0113700	MTR_1g027320	23	48	0
OS01G0113700	MTR_1g027410	26	44	0
OS01G0113700	MTR_1g027440	28	32	0
OS01G0113700	MTR_1g027460	25	49	0
OS01G0113700	MTR_1g027540	26	41	0
OS01G0113700	MTR_1g027680	36	35	0
OS01G0113700	MTR_1g027730	25	49	0
OS01G0113700	MTR_1g027830	30	30	0
OS01G0113700	MTR_1g027840	25	48	0
OS01G0113700	MTR_1g027930	20	46	0
OS01G0113700	MTR_1g027990	36	34	0
OS01G0113700	MTR_1g028020	28	28	0
OS01G0113700	MTR_1g028100	27	45	0
OS01G0113700	MTR_1g028170	28	43	0
OS01G0113700	MTR_1g028280	36	36	0
OS01G0113700	MTR_1g031200	29	38	0
OS01G0113700	MTR_1g031280	32	33	0
OS01G0113700	MTR_1g031510	33	36	0
OS01G0113700	MTR_1g031520	33	36	0
OS01G0113700	MTR_1g031530	24	48	0
OS01G0113700	MTR_1g031560	32	34	0
OS01G0113700	MTR_3g028630	26	42	0
OS01G0113700	MTR_4g073220	33	31	0
OS01G0113700	MTR_6g045030	25	41	0
OS01G0113800	MTR_0690s0010	31	35	0
OS01G0113800	MTR_1g026940	33	34	0
OS01G0113800	MTR_1g027040	32	35	0
OS01G0113800	MTR_1g027060	31	38	0
OS01G0113800	MTR_1g027150	32	36	0
OS01G0113800	MTR_1g027200	29	35	0
OS01G0113800	MTR_1g027370	32	33	0
OS01G0113800	MTR_1g027420	28	32	0
OS01G0113800	MTR_1g027500	32	33	0
OS01G0113800	MTR_1g027690	33	35	0
OS01G0113800	MTR_1g027700	25	46	0
OS01G0113800	MTR_1g027820	31	34	0
OS01G0113800	MTR_1g027890	26	40	0
OS01G0113800	MTR_1g027960	31	34	0
OS01G0113800	MTR_1g027970	33	35	0
OS01G0113800	MTR_1g028080	33	34	0
OS01G0113800	MTR_1g028130	34	36	0
OS01G0113800	MTR_1g028220	30	33	0
OS01G0113800	MTR_1g028290	37	39	0
OS01G0113800	MTR_1g031320	35	35	0
OS01G0113800	MTR_1g031460	34	36	0
OS01G0113800	MTR_1g031540	34	19	0
OS01G0113800	MTR_1g031580	34	35	0
OS01G0113800	MTR_3g028650	31	34	0
OS01G0113800	MTR_4g073230	34	36	0
OS01G0113800	MTR_6g445600	31	34	0
OS01G0114100	MTR_1g026990	25	50	0
OS01G0114100	MTR_1g027030	36	31	0
OS01G0114100	MTR_1g027050	36	31	0
OS01G0114100	MTR_1g027070	35	32	0
OS01G0114100	MTR_1g027140	36	31	0
OS01G0114100	MTR_1g027160	25	50	0
OS01G0114100	MTR_1g027250	25	50	0
OS01G0114100	MTR_1g027320	24	48	0
OS01G0114100	MTR_1g027410	26	42	0
OS01G0114100	MTR_1g027440	28	31	0
OS01G0114100	MTR_1g027460	25	47	0
OS01G0114100	MTR_1g027540	26	40	0
OS01G0114100	MTR_1g027680	35	33	0
OS01G0114100	MTR_1g027730	27	50	0
OS01G0114100	MTR_1g027830	31	30	0
OS01G0114100	MTR_1g027840	27	49	0
OS01G0114100	MTR_1g027930	22	47	0
OS01G0114100	MTR_1g027990	35	32	0
OS01G0114100	MTR_1g028020	30	28	0
OS01G0114100	MTR_1g028100	29	47	0
OS01G0114100	MTR_1g028170	30	45	0
OS01G0114100	MTR_1g028280	36	35	0
OS01G0114100	MTR_1g031200	31	39	0
OS01G0114100	MTR_1g031280	34	34	0
OS01G0114100	MTR_1g031510	34	35	0
OS01G0114100	MTR_1g031520	34	36	0
OS01G0114100	MTR_1g031530	26	50	0
OS01G0114100	MTR_1g031560	33	34	0
OS01G0114100	MTR_3g028630	28	43	0
OS01G0114100	MTR_4g073220	34	31	0
OS01G0114100	MTR_6g045030	27	43	0
OS01G0114400	MTR_1g026990	49	50	0
OS01G0114400	MTR_1g027030	46	20	0
OS01G0114400	MTR_1g027050	47	21	0
OS01G0114400	MTR_1g027070	48	22	0
OS01G0114400	MTR_1g027140	46	21	0
OS01G0114400	MTR_1g027160	49	50	0
OS01G0114400	MTR_1g027250	49	50	0
OS01G0114400	MTR_1g027320	47	48	0
OS01G0114400	MTR_1g027410	48	40	0
OS01G0114400	MTR_1g027440	45	25	0
OS01G0114400	MTR_1g027460	48	46	0
OS01G0114400	MTR_1g027540	48	37	0
OS01G0114400	MTR_1g027680	51	24	0
OS01G0114400	MTR_1g027730	48	46	0
OS01G0114400	MTR_1g027830	48	24	0
OS01G0114400	MTR_1g027840	49	46	0
OS01G0114400	MTR_1g027930	41	46	0
OS01G0114400	MTR_1g027990	51	24	0
OS01G0114400	MTR_1g028020	49	24	0
OS01G0114400	MTR_1g028100	49	40	0
OS01G0114400	MTR_1g028170	49	38	0
OS01G0114400	MTR_1g028280	49	24	0
OS01G0114400	MTR_1g031200	46	30	0
OS01G0114400	MTR_1g031280	46	23	0
OS01G0114400	MTR_1g031510	47	25	0
OS01G0114400	MTR_1g031520	47	25	0
OS01G0114400	MTR_1g031530	46	45	0
OS01G0114400	MTR_1g031560	46	24	0
OS01G0114400	MTR_3g028630	47	38	0
OS01G0114400	MTR_4g073220	46	22	0
OS01G0114400	MTR_6g045030	49	39	0
OS01G0114600	MTR_1g026990	24	50	0
OS01G0114600	MTR_1g027030	33	30	0
OS01G0114600	MTR_1g027050	33	30	0
OS01G0114600	MTR_1g027070	33	32	0
OS01G0114600	MTR_1g027140	33	31	0
OS01G0114600	MTR_1g027160	24	50	0
OS01G0114600	MTR_1g027250	24	51	0
OS01G0114600	MTR_1g027320	23	48	0
OS01G0114600	MTR_1g027410	25	43	0
OS01G0114600	MTR_1g027440	28	32	0
OS01G0114600	MTR_1g027460	24	47	0
OS01G0114600	MTR_1g027540	25	40	0
OS01G0114600	MTR_1g027680	34	33	0
OS01G0114600	MTR_1g027730	25	49	0
OS01G0114600	MTR_1g027830	29	30	0
OS01G0114600	MTR_1g027840	25	49	0
OS01G0114600	MTR_1g027930	21	48	0
OS01G0114600	MTR_1g027990	33	32	0
OS01G0114600	MTR_1g028020	28	29	0
OS01G0114600	MTR_1g028100	27	46	0
OS01G0114600	MTR_1g028170	28	45	0
OS01G0114600	MTR_1g028280	33	33	0
OS01G0114600	MTR_1g031200	28	37	0
OS01G0114600	MTR_1g031280	32	33	0
OS01G0114600	MTR_1g031510	32	35	0
OS01G0114600	MTR_1g031520	32	35	0
OS01G0114600	MTR_1g031530	24	49	0
OS01G0114600	MTR_1g031560	32	34	0
OS01G0114600	MTR_3g028630	26	43	0
OS01G0114600	MTR_4g073220	32	31	0
OS01G0114600	MTR_6g045030	26	42	0
OS01G0114700	MTR_0690s0010	32	36	0
OS01G0114700	MTR_1g026940	35	36	0
OS01G0114700	MTR_1g027040	34	37	0
OS01G0114700	MTR_1g027060	33	39	0
OS01G0114700	MTR_1g027150	34	38	0
OS01G0114700	MTR_1g027200	32	38	0
OS01G0114700	MTR_1g027370	34	35	0
OS01G0114700	MTR_1g027420	31	35	0
OS01G0114700	MTR_1g027500	34	35	0
OS01G0114700	MTR_1g027690	33	34	0
OS01G0114700	MTR_1g027700	27	48	0
OS01G0114700	MTR_1g027820	33	36	0
OS01G0114700	MTR_1g027890	27	41	0
OS01G0114700	MTR_1g027960	33	35	0
OS01G0114700	MTR_1g027970	34	35	0
OS01G0114700	MTR_1g028080	35	37	0
OS01G0114700	MTR_1g028130	36	38	0
OS01G0114700	MTR_1g028220	33	36	0
OS01G0114700	MTR_1g028290	37	39	0
OS01G0114700	MTR_1g031320	37	37	0
OS01G0114700	MTR_1g031460	36	37	0
OS01G0114700	MTR_1g031540	36	20	0
OS01G0114700	MTR_1g031580	37	38	0
OS01G0114700	MTR_3g028650	33	36	0
OS01G0114700	MTR_4g073230	35	36	0
OS01G0114700	MTR_6g445600	32	35	0
OS01G0114900	MTR_0690s0010	46	25	0
OS01G0114900	MTR_1g026940	47	24	0
OS01G0114900	MTR_1g027040	48	25	0
OS01G0114900	MTR_1g027060	48	28	0
OS01G0114900	MTR_1g027150	49	26	0
OS01G0114900	MTR_1g027200	45	26	0
OS01G0114900	MTR_1g027370	47	23	0
OS01G0114900	MTR_1g027420	41	22	0
OS01G0114900	MTR_1g027500	46	23	0
OS01G0114900	MTR_1g027690	48	24	0
OS01G0114900	MTR_1g027700	45	40	0
OS01G0114900	MTR_1g027820	47	25	0
OS01G0114900	MTR_1g027890	46	34	0
OS01G0114900	MTR_1g027960	47	24	0
OS01G0114900	MTR_1g027970	48	24	0
OS01G0114900	MTR_1g028080	48	24	0
OS01G0114900	MTR_1g028130	48	25	0
OS01G0114900	MTR_1g028220	45	24	0
OS01G0114900	MTR_1g028290	52	27	0
OS01G0114900	MTR_1g031320	50	25	0
OS01G0114900	MTR_1g031460	50	25	0
OS01G0114900	MTR_1g031540	51	14	0
OS01G0114900	MTR_1g031580	50	25	0
OS01G0114900	MTR_3g028650	47	25	0
OS01G0114900	MTR_4g073230	49	24	0
OS01G0114900	MTR_6g445600	46	24	0
OS01G0115500	MTR_1g026990	48	49	0
OS01G0115500	MTR_1g027030	48	21	0
OS01G0115500	MTR_1g027050	47	21	0
OS01G0115500	MTR_1g027070	47	22	0
OS01G0115500	MTR_1g027140	48	21	0
OS01G0115500	MTR_1g027160	49	50	0
OS01G0115500	MTR_1g027250	48	50	0
OS01G0115500	MTR_1g027320	47	48	0
OS01G0115500	MTR_1g027410	47	40	0
OS01G0115500	MTR_1g027440	47	27	0
OS01G0115500	MTR_1g027460	47	44	0
OS01G0115500	MTR_1g027540	47	37	0
OS01G0115500	MTR_1g027680	50	23	0
OS01G0115500	MTR_1g027730	45	43	0
OS01G0115500	MTR_1g027830	47	24	0
OS01G0115500	MTR_1g027840	46	44	0
OS01G0115500	MTR_1g027930	40	45	0
OS01G0115500	MTR_1g027990	49	23	0
OS01G0115500	MTR_1g028020	47	23	0
OS01G0115500	MTR_1g028100	47	39	0
OS01G0115500	MTR_1g028170	47	36	0
OS01G0115500	MTR_1g028280	52	25	0
OS01G0115500	MTR_1g031200	47	31	0
OS01G0115500	MTR_1g031280	48	25	0
OS01G0115500	MTR_1g031510	47	25	0
OS01G0115500	MTR_1g031520	48	26	0
OS01G0115500	MTR_1g031530	47	46	0
OS01G0115500	MTR_1g031560	47	25	0
OS01G0115500	MTR_3g028630	47	37	0
OS01G0115500	MTR_4g073220	48	23	0
OS01G0115500	MTR_6g045030	47	37	0
OS01G0115600	MTR_0690s0010	33	37	0
OS01G0115600	MTR_1g026940	35	35	0
OS01G0115600	MTR_1g027040	34	37	0
OS01G0115600	MTR_1g027060	33	40	0
OS01G0115600	MTR_1g027150	35	38	0
OS01G0115600	MTR_1g027200	31	36	0
OS01G0115600	MTR_1g027370	35	35	0
OS01G0115600	MTR_1g027420	30	34	0
OS01G0115600	MTR_1g027500	35	35	0
OS01G0115600	MTR_1g027690	34	36	0
OS01G0115600	MTR_1g027700	27	49	0
OS01G0115600	MTR_1g027820	33	36	0
OS01G0115600	MTR_1g027890	28	41	0
OS01G0115600	MTR_1g027960	33	35	0
OS01G0115600	MTR_1g027970	35	36	0
OS01G0115600	MTR_1g028080	36	38	0
OS01G0115600	MTR_1g028130	37	38	0
OS01G0115600	MTR_1g028220	32	35	0
OS01G0115600	MTR_1g028290	39	41	0
OS01G0115600	MTR_1g031320	38	38	0
OS01G0115600	MTR_1g031460	37	38	0
OS01G0115600	MTR_1g031540	36	20	0
OS01G0115600	MTR_1g031580	37	37	0
OS01G0115600	MTR_3g028650	34	37	0
OS01G0115600	MTR_4g073230	37	38	0
OS01G0115600	MTR_6g445600	33	36	0
OS01G0115700	MTR_1g026990	27	51	0
OS01G0115700	MTR_1g027030	35	29	0
OS01G0115700	MTR_1g027050	36	29	0
OS01G0115700	MTR_1g027070	36	32	0
OS01G0115700	MTR_1g027140	36	30	0
OS01G0115700	MTR_1g027160	27	51	0
OS01G0115700	MTR_1g027250	27	51	0
OS01G0115700	MTR_1g027320	26	49	0
OS01G0115700	MTR_1g027410	27	42	0
OS01G0115700	MTR_1g027440	30	32	0
OS01G0115700	MTR_1g027460	27	48	0
OS01G0115700	MTR_1g027540	28	41	0
OS01G0115700	MTR_1g027680	38	33	0
OS01G0115700	MTR_1g027730	28	49	0
OS01G0115700	MTR_1g027830	32	30	0
OS01G0115700	MTR_1g027840	28	49	0
OS01G0115700	MTR_1g027930	23	49	0
OS01G0115700	MTR_1g027990	37	33	0
OS01G0115700	MTR_1g028020	31	29	0
OS01G0115700	MTR_1g028100	30	46	0
OS01G0115700	MTR_1g028170	30	44	0
OS01G0115700	MTR_1g028280	38	34	0
OS01G0115700	MTR_1g031200	31	37	0
OS01G0115700	MTR_1g031280	35	33	0
OS01G0115700	MTR_1g031510	35	34	0
OS01G0115700	MTR_1g031520	35	35	0
OS01G0115700	MTR_1g031530	27	48	0
OS01G0115700	MTR_1g031560	35	34	0
OS01G0115700	MTR_3g028630	29	43	0
OS01G0115700	MTR_4g073220	34	30	0
OS01G0115700	MTR_6g045030	29	43	0
OS01G0115750	MTR_1g026990	25	51	0
OS01G0115750	MTR_1g027030	33	30	0
OS01G0115750	MTR_1g027050	33	30	0
OS01G0115750	MTR_1g027070	34	32	0
OS01G0115750	MTR_1g027140	34	30	0
OS01G0115750	MTR_1g027160	25	52	0
OS01G0115750	MTR_1g027250	25	51	0
OS01G0115750	MTR_1g027320	24	48	0
OS01G0115750	MTR_1g027410	26	44	0
OS01G0115750	MTR_1g027440	27	31	0
OS01G0115750	MTR_1g027460	25	47	0
OS01G0115750	MTR_1g027540	25	40	0
OS01G0115750	MTR_1g027680	35	33	0
OS01G0115750	MTR_1g027730	26	49	0
OS01G0115750	MTR_1g027830	31	31	0
OS01G0115750	MTR_1g027840	26	49	0
OS01G0115750	MTR_1g027930	22	48	0
OS01G0115750	MTR_1g027990	35	33	0
OS01G0115750	MTR_1g028020	29	29	0
OS01G0115750	MTR_1g028100	28	47	0
OS01G0115750	MTR_1g028170	29	44	0
OS01G0115750	MTR_1g028280	36	36	0
OS01G0115750	MTR_1g031200	30	39	0
OS01G0115750	MTR_1g031280	34	34	0
OS01G0115750	MTR_1g031510	34	36	0
OS01G0115750	MTR_1g031520	33	36	0
OS01G0115750	MTR_1g031530	26	50	0
OS01G0115750	MTR_1g031560	34	35	0
OS01G0115750	MTR_3g028630	27	43	0
OS01G0115750	MTR_4g073220	33	31	0
OS01G0115750	MTR_6g045030	27	43	0
OS01G0116000	MTR_1g026990	24	50	0
OS01G0116000	MTR_1g027030	34	30	0
OS01G0116000	MTR_1g027050	33	30	0
OS01G0116000	MTR_1g027070	34	33	0
OS01G0116000	MTR_1g027140	34	31	0
OS01G0116000	MTR_1g027160	24	49	0
OS01G0116000	MTR_1g027250	24	50	0
OS01G0116000	MTR_1g027320	23	48	0
OS01G0116000	MTR_1g027410	25	43	0
OS01G0116000	MTR_1g027440	28	32	0
OS01G0116000	MTR_1g027460	25	47	0
OS01G0116000	MTR_1g027540	26	41	0
OS01G0116000	MTR_1g027680	35	33	0
OS01G0116000	MTR_1g027730	25	49	0
OS01G0116000	MTR_1g027830	30	30	0
OS01G0116000	MTR_1g027840	26	49	0
OS01G0116000	MTR_1g027930	21	47	0
OS01G0116000	MTR_1g027990	34	33	0
OS01G0116000	MTR_1g028020	29	29	0
OS01G0116000	MTR_1g028100	27	46	0
OS01G0116000	MTR_1g028170	29	45	0
OS01G0116000	MTR_1g028280	36	35	0
OS01G0116000	MTR_1g031200	29	38	0
OS01G0116000	MTR_1g031280	33	34	0
OS01G0116000	MTR_1g031510	33	35	0
OS01G0116000	MTR_1g031520	33	36	0
OS01G0116000	MTR_1g031530	26	51	0
OS01G0116000	MTR_1g031560	33	35	0
OS01G0116000	MTR_3g028630	26	42	0
OS01G0116000	MTR_4g073220	32	31	0
OS01G0116000	MTR_6g045030	27	43	0
OS01G0116200	MTR_1g026990	24	52	0
OS01G0116200	MTR_1g027030	33	30	0
OS01G0116200	MTR_1g027050	33	31	0
OS01G0116200	MTR_1g027070	34	33	0
OS01G0116200	MTR_1g027140	33	31	0
OS01G0116200	MTR_1g027160	24	51	0
OS01G0116200	MTR_1g027250	24	51	0
OS01G0116200	MTR_1g027320	23	48	0
OS01G0116200	MTR_1g027410	25	45	0
OS01G0116200	MTR_1g027440	27	32	0
OS01G0116200	MTR_1g027460	25	49	0
OS01G0116200	MTR_1g027540	26	42	0
OS01G0116200	MTR_1g027680	35	35	0
OS01G0116200	MTR_1g027730	25	50	0
OS01G0116200	MTR_1g027830	30	31	0
OS01G0116200	MTR_1g027840	25	50	0
OS01G0116200	MTR_1g027930	21	48	0
OS01G0116200	MTR_1g027990	35	35	0
OS01G0116200	MTR_1g028020	27	28	0
OS01G0116200	MTR_1g028100	26	45	0
OS01G0116200	MTR_1g028170	27	44	0
OS01G0116200	MTR_1g028280	34	35	0
OS01G0116200	MTR_1g031200	28	39	0
OS01G0116200	MTR_1g031280	32	34	0
OS01G0116200	MTR_1g031510	32	35	0
OS01G0116200	MTR_1g031520	32	36	0
OS01G0116200	MTR_1g031530	24	49	0
OS01G0116200	MTR_1g031560	32	35	0
OS01G0116200	MTR_3g028630	25	42	0
OS01G0116200	MTR_4g073220	31	30	0
OS01G0116200	MTR_6g045030	26	44	0
OS01G0116400	MTR_1g026990	25	50	0
OS01G0116400	MTR_1g027030	34	30	0
OS01G0116400	MTR_1g027050	34	31	0
OS01G0116400	MTR_1g027070	34	32	0
OS01G0116400	MTR_1g027140	35	31	0
OS01G0116400	MTR_1g027160	25	50	0
OS01G0116400	MTR_1g027250	25	51	0
OS01G0116400	MTR_1g027320	23	48	0
