Gene stable ID	Physcomitrella patens gene stable ID	% identity	Physcomitrella patens % identity	Orthology confidence [0 low, 1 high]
OS01G0104600	PP1S303_75V6	53	30	1
OS01G0104600	PP1S80_20V6	49	28	1
OS01G0104800	PP1S1_724V6	10	17	1
OS01G0104800	PP1S37_117V6	27	30	1
OS01G0105800	PP1S33_271V6	64	69	1
OS01G0105900	PP1S27_92V6	51	39	1
OS01G0105900	PP1S33_96V6	52	40	1
OS01G0106200	PP1S162_33V6	67	68	0
OS01G0106200	PP1S254_31V6	69	70	0
OS01G0106200	PP1S33_38V6	68	69	0
OS01G0106700	PP1S135_65V6	37	31	1
OS01G0106800	PP1S123_104V6	75	79	0
OS01G0106800	PP1S303_56V6	75	75	0
OS01G0106800	PP1S42_194V6	72	75	0
OS01G0106900	PP1S62_157V6	71	69	1
OS01G0106900	PP1S73_243V6	71	69	1
OS01G0107000	PP1S271_46V6	20	29	1
OS01G0107000	PP1S314_33V6	22	29	1
OS01G0107700	PP1S112_202V6	35	33	0
OS01G0107700	PP1S309_76V6	40	32	0
OS01G0107700	PP1S354_12V6	34	32	0
OS01G0107900	PP1S144_87V6	35	27	0
OS01G0107900	PP1S34_12V6	38	34	0
OS01G0107900	PP1S54_263V6	29	34	0
OS01G0107900	PP1S68_10V6	39	32	0
OS01G0108000	PP1S15_91V6	28	29	1
OS01G0108000	PP1S269_89V6	28	27	1
OS01G0108000	PP1S350_30V6	28	29	1
OS01G0108000	PP1S88_92V6	21	29	1
OS01G0108200	PP1S12_265V6	63	57	0
OS01G0108200	PP1S283_60V6	61	61	0
OS01G0108200	PP1S30_170V6	62	55	0
OS01G0108200	PP1S3_246V6	50	53	0
OS01G0108200	PP1S353_43V6	62	60	0
OS01G0108200	PP1S59_223V6	62	60	0
OS01G0108200	PP1S61_168V6	44	58	0
OS01G0108800	PP1S147_65V6	36	10	1
OS01G0108800	PP1S22_201V6	33	9	1
OS01G0108800	PP1S283_28V6	37	10	1
OS01G0108800	PP1S39_99V6	35	9	1
OS01G0108800	PP1S457_25V6	36	10	1
OS01G0108800	PP1S7_155V6	37	10	1
OS01G0109300	PP1S193_26V6	51	56	1
OS01G0110100	PP1S122_153V6	40	41	1
OS01G0110100	PP1S9_336V6	42	40	1
OS01G0110400	PP1S160_44V6	71	71	1
OS01G0110500	PP1S118_23V6	39	32	1
OS01G0110500	PP1S134_145V6	39	36	1
OS01G0110500	PP1S145_144V6	40	33	1
OS01G0110500	PP1S160_128V6	40	28	1
OS01G0110500	PP1S83_193V6	42	36	1
OS01G0110700	PP1S91_24V6	28	23	1
OS01G0110800	PP1S184_55V6	32	31	1
OS01G0110800	PP1S387_10V6	33	31	1
OS01G0110800	PP1S49_183V6	33	33	1
OS01G0111100	PP1S4_490V6	42	34	0
OS01G0111200	PP1S96_72V6	7	37	1
OS01G0111500	PP1S147_136V6	27	10	1
OS01G0111500	PP1S84_14V6	26	9	1
OS01G0111600	PP1S111_36V6	53	34	1
OS01G0111600	PP1S243_37V6	56	51	1
OS01G0111600	PP1S34_16V6	55	49	1
OS01G0111600	PP1S68_5V6	55	49	1
OS01G0112100	PP1S45_37V6	22	17	1
OS01G0112100	PP1S45_44V6	22	17	1
OS01G0112400	PP1S13_445V6	26	25	1
OS01G0112400	PP1S37_249V6	26	25	1
OS01G0112400	PP1S91_35V6	27	26	1
OS01G0112500	PP1S99_36V6	26	15	1
OS01G0116600	PP1S229_58V6	44	40	1
OS01G0117900	PP1S294_16V6	30	29	1
OS01G0117900	PP1S32_70V6	29	32	1
OS01G0117900	PP1S40_160V6	30	28	1
OS01G0117900	PP1S46_43V6	35	32	1
OS01G0118000	PP1S171_150V6	77	76	1
OS01G0118000	PP1S171_153V6	54	73	1
OS01G0118000	PP1S281_110V6	76	75	1
OS01G0118000	PP1S33_389V6	76	75	1
OS01G0118000	PP1S475_27V6	77	76	1
OS01G0118100	PP1S304_33V6	60	39	1
OS01G0118300	PP1S13_364V6	58	21	1
OS01G0118300	PP1S159_14V6	57	21	1
OS01G0118400	PP1S330_20V6	24	30	1
OS01G0118400	PP1S41_129V6	24	29	1
OS01G0118600	PP1S330_20V6	24	28	1
OS01G0118600	PP1S41_129V6	21	25	1
OS01G0120300	PP1S75_41V6	66	52	1
OS01G0120400	PP1S38_241V6	55	49	1
OS01G0120500	PP1S134_68V6	48	42	1
OS01G0120600	PP1S4_215V6	39	34	1
OS01G0120600	PP1S57_94V6	22	25	1
OS01G0120800	PP1S110_99V6	58	57	1
OS01G0120800	PP1S6_208V6	59	55	1
OS01G0120800	PP1S74_122V6	57	55	1
OS01G0121100	PP1S253_21V6	43	41	0
OS01G0121100	PP1S300_15V6	18	29	0
OS01G0121300	PP1S7_129V6	18	22	1
OS01G0121500	PP1S106_138V6	31	21	1
OS01G0121600	PP1S106_138V6	30	25	1
OS01G0121700	PP1S255_17V6	61	61	1
OS01G0122200	PP1S33_60V6	14	16	1
OS01G0123700	PP1S33_60V6	17	17	1
OS01G0125800	PP1S74_39V6	56	57	1
OS01G0125900	PP1S126_37V6	41	39	1
OS01G0126100	PP1S40_48V6	40	40	0
OS01G0126100	PP1S523_12V6	40	37	0
OS01G0126200	PP1S40_48V6	36	37	0
OS01G0126200	PP1S523_12V6	35	34	0
OS01G0126900	PP1S40_48V6	35	36	0
OS01G0126900	PP1S523_12V6	34	33	0
OS01G0127000	PP1S40_48V6	35	28	0
OS01G0127000	PP1S523_12V6	35	25	0
OS01G0127200	PP1S40_48V6	32	35	0
OS01G0127200	PP1S523_12V6	31	32	0
OS01G0127300	PP1S188_89V6	28	32	1
OS01G0127300	PP1S391_38V6	39	34	1
OS01G0127400	PP1S347_28V6	57	50	1
OS01G0127500	PP1S114_126V6	48	50	1
OS01G0127900	PP1S15_422V6	53	53	0
OS01G0127900	PP1S195_48V6	54	53	0
OS01G0128100	PP1S211_122V6	42	39	1
OS01G0128100	PP1S452_9V6	26	27	1
OS01G0128200	PP1S211_122V6	36	35	1
OS01G0128200	PP1S452_9V6	26	28	1
OS01G0128300	PP1S108_75V6	44	35	1
OS01G0128300	PP1S96_157V6	41	33	1
OS01G0128400	PP1S123_141V6	18	22	1
OS01G0128400	PP1S42_185V6	18	18	1
OS01G0128800	PP1S316_67V6	46	13	0
OS01G0128800	PP1S359_10V6	44	12	0
OS01G0129200	PP1S192_8V6	15	11	1
OS01G0129200	PP1S210_60V6	18	8	1
OS01G0129200	PP1S210_65V6	12	7	1
OS01G0129200	PP1S210_74V6	13	8	1
OS01G0129200	PP1S47_285V6	9	14	1
OS01G0129200	PP1S82_59V6	12	12	1
OS01G0129600	PP1S144_102V6	9	17	1
OS01G0129600	PP1S167_34V6	17	16	1
OS01G0129600	PP1S19_217V6	17	16	1
OS01G0129600	PP1S203_51V6	16	13	1
OS01G0129600	PP1S41_47V6	19	17	1
OS01G0129600	PP1S454_4V6	2	7	1
OS01G0130400	PP1S11_406V6	45	46	0
OS01G0130400	PP1S119_138V6	45	46	0
OS01G0130400	PP1S13_451V6	45	46	0
OS01G0130400	PP1S157_63V6	43	43	0
OS01G0130400	PP1S245_102V6	43	44	0
OS01G0130400	PP1S25_97V6	46	47	0
OS01G0130400	PP1S264_36V6	42	40	0
OS01G0130400	PP1S264_60V6	43	45	0
OS01G0130400	PP1S281_10V6	24	46	0
OS01G0130400	PP1S43_19V6	43	45	0
OS01G0130400	PP1S6_50V6	42	43	0
OS01G0130400	PP1S65_69V6	17	39	0
OS01G0130400	PP1S80_200V6	43	43	0
OS01G0130400	PP1S86_178V6	44	48	0
OS01G0131800	PP1S371_33V6	40	38	1
OS01G0132700	PP1S101_134V6	49	42	1
OS01G0132700	PP1S152_8V6	51	43	1
OS01G0132766	PP1S173_9V6	26	14	1
OS01G0132766	PP1S34_257V6	24	13	1
OS01G0132800	PP1S142_89V6	39	35	1
OS01G0132800	PP1S227_60V6	38	36	1
OS01G0133400	PP1S129_118V6	59	59	1
OS01G0133500	PP1S253_48V6	38	37	1
OS01G0134500	PP1S123_7V6	62	51	1
OS01G0134700	PP1S21_379V6	39	25	1
OS01G0134700	PP1S336_7V6	40	41	1
OS01G0134700	PP1S34_132V6	41	27	1
OS01G0134700	PP1S51_322V6	40	41	1
OS01G0134700	PP1S84_168V6	39	25	1
OS01G0134700	PP1S98_167V6	41	27	1
OS01G0134800	PP1S121_107V6	48	17	1
OS01G0134800	PP1S299_60V6	47	16	1
OS01G0134900	PP1S121_107V6	44	23	1
OS01G0134900	PP1S299_60V6	42	22	1
OS01G0135800	PP1S144_148V6	41	39	1
OS01G0135800	PP1S194_15V6	47	36	1
OS01G0135800	PP1S20_253V6	45	37	1
OS01G0135800	PP1S350_28V6	47	40	1
OS01G0135900	PP1S105_133V6	30	32	1
OS01G0135900	PP1S372_62V6	36	38	1
OS01G0135900	PP1S380_17V6	25	27	1
OS01G0135900	PP1S8_209V6	38	41	1
OS01G0135900	PP1S8_244V6	37	41	1
OS01G0135900	PP1S8_249V6	38	41	1
OS01G0135900	PP1S85_11V6	39	42	1
OS01G0135900	PP1S8_86V6	38	41	1
OS01G0136400	PP1S173_15V6	31	32	1
OS01G0136400	PP1S209_44V6	30	33	1
OS01G0136800	PP1S173_15V6	32	33	1
OS01G0136800	PP1S209_44V6	32	34	1
OS01G0138500	PP1S21_27V6	41	33	0
OS01G0138500	PP1S26_3V6	41	33	0
OS01G0138500	PP1S281_75V6	39	33	0
OS01G0138500	PP1S36_242V6	40	33	0
OS01G0138800	PP1S136_3V6	54	51	1
OS01G0138900	PP1S76_15V6	49	55	1
OS01G0139000	PP1S13_291V6	22	19	1
OS01G0139000	PP1S246_60V6	24	21	1
OS01G0139000	PP1S351_44V6	23	21	1
OS01G0139000	PP1S351_49V6	21	18	1
OS01G0139000	PP1S37_13V6	23	20	1
OS01G0139000	PP1S421_1V6	22	20	1
OS01G0139600	PP1S156_48V6	18	14	1
OS01G0139600	PP1S18_206V6	12	22	1
OS01G0139600	PP1S243_27V6	19	20	1
OS01G0139600	PP1S294_26V6	17	17	1
OS01G0139600	PP1S32_62V6	18	17	1
OS01G0139600	PP1S4_56V6	18	18	1
OS01G0140100	PP1S26_54V6	44	42	1
OS01G0140100	PP1S36_5V6	43	43	1
OS01G0140100	PP1S395_33V6	37	36	1
OS01G0140400	PP1S199_124V6	31	42	1
OS01G0140400	PP1S83_48V6	39	39	1
OS01G0140500	PP1S120_90V6	42	37	0
OS01G0140500	PP1S13_138V6	45	40	0
OS01G0140500	PP1S159_155V6	43	37	0
OS01G0140500	PP1S30_298V6	45	39	0
OS01G0140500	PP1S56_267V6	14	21	0
OS01G0140500	PP1S59_51V6	44	39	0
OS01G0140500	PP1S69_191V6	44	39	0
OS01G0141100	PP1S200_72V6	88	60	1
OS01G0141100	PP1S76_197V6	87	60	1
OS01G0141300	PP1S200_72V6	64	69	1
OS01G0141300	PP1S76_197V6	64	69	1
OS01G0141700	PP1S31_57V6	11	18	0
OS01G0142200	PP1S275_81V6	56	59	1
OS01G0142300	PP1S24_194V6	60	51	1
OS01G0142300	PP1S83_95V6	42	48	1
OS01G0143100	PP1S183_53V6	36	51	1
OS01G0143100	PP1S59_238V6	59	53	1
OS01G0143300	PP1S58_16V6	19	18	1
OS01G0143700	PP1S58_16V6	20	19	1
OS01G0143800	PP1S58_16V6	14	14	1
OS01G0144000	PP1S70_244V6	27	29	1
OS01G0144100	PP1S22_279V6	36	33	1
OS01G0144200	PP1S177_117V6	60	66	1
OS01G0144340	PP1S307_71V6	56	55	1
OS01G0144600	PP1S197_151V6	23	23	1
OS01G0147200	PP1S97_14V6	43	48	1
OS01G0147300	PP1S509_5V6	37	23	1
OS01G0147300	PP1S84_202V6	35	22	1
OS01G0147300	PP1S98_70V6	38	24	1
OS01G0147400	PP1S228_41V6	23	22	1
OS01G0147400	PP1S228_53V6	24	9	1
OS01G0147400	PP1S374_6V6	20	7	1
OS01G0147400	PP1S63_205V6	6	4	1
OS01G0147700	PP1S228_41V6	10	27	1
OS01G0147700	PP1S228_53V6	22	23	1
OS01G0147700	PP1S374_6V6	19	19	1
OS01G0147700	PP1S63_205V6	12	25	1
OS01G0147800	PP1S1_567V6	20	9	1
OS01G0147800	PP1S21_335V6	21	11	1
OS01G0147800	PP1S34_67V6	20	11	1
OS01G0147800	PP1S384_18V6	20	11	1
OS01G0147800	PP1S434_2V6	18	10	1
OS01G0147800	PP1S52_122V6	19	9	1
OS01G0147800	PP1S6_285V6	18	9	1
OS01G0147900	PP1S3_334V6	65	65	1
OS01G0148000	PP1S12_160V6	12	35	0
OS01G0148000	PP1S35_178V6	34	13	0
OS01G0148000	PP1S356_43V6	35	13	0
OS01G0148000	PP1S67_180V6	35	12	0
OS01G0148000	PP1S96_129V6	35	13	0
OS01G0148050	PP1S12_160V6	1	2	0
OS01G0148050	PP1S35_178V6	33	15	0
OS01G0148050	PP1S356_43V6	33	14	0
OS01G0148050	PP1S67_180V6	34	14	0
OS01G0148050	PP1S96_129V6	35	15	0
OS01G0148400	PP1S106_134V6	8	16	1
OS01G0150000	PP1S15_441V6	63	62	1
OS01G0150000	PP1S15_442V6	55	55	1
OS01G0150000	PP1S54_181V6	55	59	1
OS01G0150100	PP1S23_341V6	41	17	1
OS01G0150200	PP1S30_56V6	60	60	1
OS01G0150400	PP1S30_56V6	35	33	1
OS01G0150500	PP1S30_56V6	32	32	1
OS01G0150800	PP1S30_56V6	47	48	1
OS01G0151100	PP1S156_36V6	34	49	1
OS01G0151100	PP1S403_50V6	48	54	1
OS01G0151100	PP1S9_138V6	45	51	1
OS01G0151200	PP1S198_153V6	54	47	1
OS01G0151200	PP1S381_17V6	53	46	1
OS01G0151400	PP1S154_115V6	54	17	0
OS01G0151500	PP1S154_115V6	45	38	0
OS01G0151600	PP1S101_73V6	52	50	1
OS01G0151600	PP1S221_50V6	52	47	1
OS01G0151700	PP1S198_42V6	55	55	1
OS01G0151700	PP1S337_5V6	52	53	1
OS01G0151700	PP1S50_45V6	50	51	1
OS01G0152700	PP1S117_2V6	95	29	1
OS01G0152700	PP1S201_81V6	98	30	1
OS01G0152700	PP1S256_64V6	90	28	1
OS01G0152700	PP1S34_255V6	95	29	1
OS01G0152700	PP1S37_236V6	95	29	1
OS01G0152700	PP1S56_226V6	95	29	1
OS01G0152700	PP1S98_232V6	95	22	1
OS01G0152700	PP1S98_235V6	95	28	1
OS01G0152700	PP1S98_237V6	95	29	1
OS01G0153200	PP1S115_101V6	32	28	1
OS01G0153200	PP1S1_304V6	32	28	1
OS01G0153200	PP1S41_94V6	32	28	1
OS01G0153200	PP1S426_18V6	32	28	1
OS01G0153200	PP1S45_88V6	32	28	1
OS01G0153200	PP1S61_209V6	32	28	1
OS01G0153400	PP1S9_39V6	65	36	1
OS01G0155500	PP1S24_5V6	31	37	1
OS01G0155500	PP1S29_339V6	20	30	1
OS01G0155500	PP1S29_343V6	34	36	1
OS01G0155500	PP1S44_178V6	34	35	1
OS01G0155500	PP1S44_215V6	35	38	1
OS01G0155600	PP1S65_286V6	42	39	1
OS01G0155600	PP1S69_23V6	45	31	1
OS01G0155600	PP1S9_310V6	30	40	1
OS01G0157700	PP1S1_540V6	28	15	1
OS01G0157700	PP1S52_108V6	27	15	1
OS01G0157800	PP1S157_85V6	71	71	0
OS01G0157900	PP1S22_241V6	40	40	1
OS01G0157900	PP1S27_86V6	37	38	1
OS01G0157900	PP1S303_49V6	40	43	1
OS01G0158000	PP1S191_136V6	41	39	1
OS01G0158000	PP1S33_69V6	43	41	1
OS01G0158100	PP1S195_30V6	22	21	1
OS01G0158500	PP1S39_120V6	62	53	1
OS01G0158900	PP1S135_24V6	44	41	0
OS01G0159000	PP1S357_24V6	28	10	1
OS01G0159000	PP1S5_255V6	28	10	1
OS01G0159000	PP1S74_9V6	29	10	1
OS01G0159300	PP1S162_69V6	18	10	1
OS01G0159400	PP1S140_17V6	70	63	0
OS01G0159400	PP1S95_81V6	69	57	0
OS01G0164400	PP1S148_7V6	59	34	1
OS01G0164400	PP1S462_20V6	60	34	1
OS01G0164500	PP1S39_63V6	52	54	1
OS01G0164600	PP1S283_27V6	36	37	1
OS01G0164600	PP1S39_92V6	25	50	1
OS01G0164700	PP1S31_308V6	32	13	0
OS01G0164700	PP1S42_178V6	30	11	0
OS01G0164700	PP1S651_4V6	5	3	0
OS01G0165000	PP1S120_13V6	25	22	0
OS01G0165000	PP1S23_27V6	26	20	0
OS01G0165000	PP1S81_44V6	27	19	0
OS01G0165800	PP1S41_201V6	6	4	1
OS01G0166100	PP1S29_114V6	48	44	1
OS01G0166100	PP1S39_366V6	33	27	1
OS01G0166300	PP1S29_114V6	47	29	1
OS01G0166300	PP1S39_366V6	32	18	1
OS01G0166400	PP1S395_21V6	27	28	1
OS01G0166700	PP1S68_119V6	23	16	1
OS01G0166800	PP1S345_44V6	40	39	1
OS01G0167500	PP1S123_22V6	69	69	0
OS01G0167500	PP1S311_78V6	71	70	0
OS01G0167750	PP1S375_36V6	19	16	1
OS01G0167750	PP1S468_1V6	14	15	1
OS01G0167750	PP1S72_219V6	18	16	1
OS01G0168200	PP1S12_54V6	37	24	1
OS01G0168200	PP1S136_125V6	38	34	1
OS01G0168200	PP1S21_318V6	38	41	1
OS01G0168200	PP1S98_9V6	38	26	1
OS01G0168300	PP1S2_589V6	48	42	1
OS01G0168300	PP1S45_174V6	46	42	1
OS01G0168400	PP1S22_135V6	60	58	1
OS01G0168500	PP1S26_182V6	50	47	1
OS01G0168500	PP1S41_98V6	52	49	1
OS01G0168500	PP1S53_62V6	51	49	1
OS01G0168600	PP1S316_61V6	48	28	1
OS01G0169400	PP1S12_355V6	39	41	1
OS01G0169400	PP1S170_78V6	42	46	1
OS01G0169400	PP1S170_93V6	41	39	1
OS01G0169400	PP1S71_7V6	41	44	1
OS01G0169800	PP1S167_103V6	51	22	1
OS01G0169800	PP1S3_273V6	50	21	1
OS01G0169900	PP1S122_37V6	28	29	1
OS01G0169900	PP1S410_14V6	25	23	1
OS01G0170100	PP1S412_32V6	38	16	1
OS01G0170300	PP1S14_447V6	34	38	1
OS01G0170300	PP1S5_68V6	34	37	1
OS01G0170600	PP1S1_365V6	1	2	1
OS01G0170600	PP1S400_12V6	3	4	1
OS01G0170600	PP1S62_204V6	2	4	1
OS01G0170600	PP1S82_99V6	3	4	1
OS01G0171800	PP1S53_155V6	27	27	1
OS01G0171800	PP1S54_301V6	30	31	1
OS01G0172000	PP1S58_150V6	55	17	1
OS01G0172100	PP1S9_113V6	52	48	1
OS01G0172200	PP1S138_142V6	48	50	1
OS01G0172200	PP1S35_3V6	40	61	1
OS01G0172200	PP1S42_89V6	47	48	1
OS01G0172300	PP1S101_116V6	25	25	1
OS01G0172600	PP1S22_159V6	42	29	1
OS01G0172600	PP1S22_167V6	42	29	1
OS01G0172900	PP1S16_66V6	30	17	1
OS01G0173000	PP1S95_116V6	20	14	0
OS01G0173100	PP1S108_140V6	61	71	1
OS01G0173100	PP1S108_144V6	59	74	1
OS01G0173100	PP1S108_153V6	61	71	1
OS01G0173600	PP1S114_13V6	35	46	0
OS01G0173600	PP1S323_51V6	35	46	0
OS01G0173600	PP1S348_20V6	40	40	0
OS01G0173900	PP1S142_27V6	40	46	1
OS01G0173900	PP1S223_76V6	44	43	1
OS01G0173900	PP1S342_31V6	37	39	1
OS01G0173900	PP1S518_10V6	41	47	1
OS01G0174000	PP1S80_72V6	26	30	1
OS01G0174000	PP1S87_156V6	24	27	1
OS01G0174300	PP1S14_150V6	45	42	1
OS01G0174500	PP1S192_51V6	38	32	0
OS01G0174900	PP1S1_441V6	28	27	1
OS01G0174900	PP1S6_467V6	31	34	1
OS01G0175000	PP1S27_321V6	40	24	1
OS01G0175600	PP1S38_161V6	51	50	1
OS01G0175600	PP1S81_102V6	50	50	1
OS01G0175700	PP1S38_161V6	50	50	1
OS01G0175700	PP1S81_102V6	50	50	1
OS01G0176500	PP1S114_23V6	28	23	1
OS01G0176500	PP1S134_164V6	22	20	1
OS01G0176500	PP1S152_10V6	28	19	1
OS01G0176500	PP1S260_3V6	27	24	1
OS01G0176500	PP1S305_38V6	30	22	1
OS01G0176500	PP1S49_258V6	28	19	1
OS01G0176500	PP1S82_113V6	29	24	1
OS01G0176700	PP1S166_107V6	27	24	1
OS01G0176800	PP1S20_254V6	18	22	1
OS01G0176900	PP1S103_145V6	24	14	1
OS01G0176900	PP1S41_189V6	23	14	1
OS01G0177100	PP1S371_10V6	19	66	1
OS01G0177100	PP1S371_13V6	4	51	1
OS01G0177100	PP1S371_17V6	29	59	1
OS01G0177200	PP1S373_40V6	16	44	1
OS01G0177200	PP1S495_6V6	63	62	1
OS01G0177400	PP1S111_140V6	26	26	1
OS01G0177400	PP1S131_58V6	28	28	1
OS01G0177400	PP1S194_145V6	15	26	1
OS01G0177400	PP1S226_76V6	26	21	1
OS01G0177400	PP1S439_11V6	24	25	1
OS01G0177400	PP1S48_70V6	23	17	1
OS01G0177400	PP1S66_137V6	18	32	1
OS01G0177400	PP1S68_284V6	18	20	1
OS01G0177400	PP1S68_28V6	25	26	1
OS01G0177900	PP1S375_55V6	54	13	0
OS01G0178000	PP1S9_356V6	69	67	0
OS01G0178100	PP1S90_153V6	23	21	1
OS01G0178200	PP1S372_26V6	42	48	1
OS01G0178400	PP1S171_82V6	55	20	1
OS01G0178400	PP1S340_25V6	53	20	1
OS01G0178400	PP1S34_256V6	55	11	1
OS01G0178400	PP1S81_81V6	53	20	1
OS01G0178400	PP1S84_258V6	54	20	1
OS01G0178400	PP1S93_49V6	29	25	1
OS01G0178400	PP1S98_213V6	56	21	1
OS01G0178400	PP1S98_229V6	56	21	1
OS01G0178700	PP1S74_109V6	44	42	1
OS01G0178700	PP1S74_119V6	45	42	1
OS01G0179200	PP1S142_96V6	57	55	1
OS01G0179200	PP1S47_13V6	55	53	1
OS01G0179300	PP1S123_123V6	37	39	1
OS01G0179300	PP1S136_73V6	39	40	1
OS01G0179400	PP1S267_89V6	50	24	0
OS01G0179500	PP1S11_43V6	19	12	1
OS01G0179500	PP1S75_4V6	21	13	1
OS01G0179700	PP1S201_3V6	67	56	1
OS01G0179700	PP1S91_243V6	84	83	1
OS01G0179700	PP1S95_20V6	87	87	1
OS01G0179800	PP1S11_178V6	24	39	1
OS01G0179800	PP1S126_191V6	46	50	1
OS01G0180300	PP1S237_81V6	19	17	1
OS01G0180600	PP1S90_86V6	33	38	1
OS01G0180700	PP1S22_233V6	29	19	1
OS01G0180700	PP1S22_235V6	29	19	1
OS01G0180700	PP1S38_227V6	27	18	1
OS01G0180800	PP1S18_287V6	35	55	0
OS01G0180800	PP1S209_55V6	9	47	0
OS01G0180800	PP1S222_110V6	9	39	0
OS01G0180800	PP1S222_111V6	10	54	0
OS01G0180800	PP1S40_190V6	60	62	0
OS01G0180800	PP1S67_237V6	59	61	0
OS01G0181000	PP1S110_89V6	16	14	1
OS01G0181000	PP1S6_204V6	17	16	1
OS01G0182200	PP1S3_429V6	49	43	1
OS01G0182200	PP1S475_9V6	50	44	1
OS01G0182500	PP1S135_61V6	26	19	1
OS01G0182500	PP1S63_97V6	28	23	1
OS01G0182832	PP1S264_24V6	8	2	1
OS01G0182832	PP1S452_2V6	11	2	1
OS01G0182832	PP1S55_110V6	9	2	1
OS01G0182900	PP1S264_24V6	53	7	1
OS01G0182900	PP1S452_2V6	57	5	1
OS01G0182900	PP1S55_110V6	0	0	1
OS01G0183000	PP1S194_46V6	47	47	1
OS01G0183000	PP1S50_118V6	48	47	1
OS01G0183100	PP1S45_24V6	47	46	1
OS01G0183300	PP1S12_101V6	31	36	1
OS01G0183300	PP1S254_26V6	33	30	1
OS01G0183300	PP1S27_356V6	33	36	1
OS01G0183300	PP1S3_527V6	32	36	1
OS01G0183300	PP1S355_37V6	32	33	1
OS01G0183300	PP1S54_274V6	32	32	1
OS01G0183633	PP1S100_240V6	42	36	1
OS01G0183633	PP1S17_256V6	39	36	1
OS01G0184000	PP1S267_72V6	37	20	1
OS01G0184100	PP1S11_289V6	41	42	1
OS01G0184100	PP1S27_331V6	51	57	1
OS01G0184100	PP1S27_332V6	51	57	1
OS01G0184100	PP1S3_114V6	34	51	1
OS01G0184500	PP1S12_191V6	47	49	1
OS01G0184800	PP1S165_48V6	56	56	1
OS01G0184900	PP1S199_36V6	59	56	0
OS01G0185100	PP1S129_157V6	31	19	1
OS01G0185100	PP1S257_33V6	29	16	1
OS01G0185100	PP1S51_73V6	29	18	1
OS01G0185200	PP1S43_166V6	65	64	1
OS01G0185400	PP1S66_111V6	30	24	1
OS01G0185900	PP1S11_241V6	25	26	1
OS01G0185900	PP1S2_539V6	20	25	1
OS01G0186200	PP1S199_143V6	40	36	1
OS01G0186200	PP1S318_13V6	39	36	1
OS01G0186900	PP1S145_92V6	49	49	1
OS01G0186900	PP1S48_122V6	50	49	1
OS01G0187400	PP1S164_9V6	51	50	1
OS01G0187400	PP1S220_47V6	50	48	1
OS01G0187400	PP1S232_48V6	53	53	1
OS01G0187400	PP1S258_17V6	49	48	1
OS01G0187400	PP1S45_273V6	52	51	1
OS01G0187600	PP1S152_115V6	40	17	1
OS01G0187600	PP1S212_108V6	37	13	1
OS01G0187600	PP1S222_49V6	38	14	1
OS01G0187600	PP1S222_68V6	39	16	1
OS01G0187600	PP1S403_31V6	39	15	1
OS01G0187600	PP1S595_6V6	41	17	1
OS01G0187900	PP1S66_87V6	28	50	1
OS01G0187900	PP1S66_90V6	35	30	1
OS01G0187900	PP1S89_104V6	36	31	1
OS01G0187900	PP1S89_108V6	36	29	1
OS01G0188100	PP1S180_67V6	55	55	1
OS01G0188100	PP1S50_26V6	56	55	1
OS01G0188200	PP1S408_25V6	27	6	1
OS01G0188400	PP1S1_539V6	64	61	1
