Gene stable ID	Aegilops tauschii gene stable ID	% identity	Aegilops tauschii % identity	Orthology confidence [0 low, 1 high]
OS01G0116900	F775_25552	68	59	0
OS01G0116900	F775_25594	61	63	0
OS01G0116900	F775_25635	68	56	0
OS01G0116900	F775_25691	70	58	0
OS01G0117000	F775_03236	53	57	1
OS01G0117000	F775_25634	54	57	1
OS01G0117100	F775_08868	41	79	0
OS01G0117100	F775_10279	84	47	0
OS01G0117100	F775_10295	76	45	0
OS01G0117100	F775_10322	81	45	0
OS01G0117100	F775_18619	80	33	0
OS01G0117100	F775_20881	48	71	0
OS01G0117100	F775_25552	79	48	0
OS01G0117100	F775_25594	77	55	0
OS01G0117100	F775_25635	80	46	0
OS01G0117100	F775_25691	79	46	0
OS01G0117200	F775_10294	51	60	1
OS01G0117200	F775_10321	43	65	1
OS01G0117200	F775_15497	50	56	1
OS01G0117200	F775_16515	41	52	1
OS01G0117200	F775_18109	27	64	1
OS01G0117200	F775_18869	49	55	1
OS01G0117200	F775_25323	57	59	1
OS01G0117300	F775_08868	39	80	0
OS01G0117300	F775_10279	79	49	0
OS01G0117300	F775_10295	71	46	0
OS01G0117300	F775_10322	77	46	0
OS01G0117300	F775_18619	77	35	0
OS01G0117300	F775_20881	46	73	0
OS01G0117300	F775_25552	73	49	0
OS01G0117300	F775_25594	72	56	0
OS01G0117300	F775_25635	77	49	0
OS01G0117300	F775_25691	76	49	0
OS01G0117400	F775_13947	29	41	1
OS01G0117500	F775_08868	32	80	0
OS01G0117500	F775_10279	68	50	0
OS01G0117500	F775_10295	62	48	0
OS01G0117500	F775_10322	67	48	0
OS01G0117500	F775_18619	66	35	0
OS01G0117500	F775_20881	38	72	0
OS01G0117500	F775_25552	63	50	0
OS01G0117500	F775_25594	61	57	0
OS01G0117500	F775_25635	65	49	0
OS01G0117500	F775_25691	65	49	0
OS01G0117600	F775_03236	59	62	1
OS01G0117600	F775_25634	61	62	1
OS01G0117700	F775_08868	24	80	0
OS01G0117700	F775_10279	65	64	0
OS01G0117700	F775_10295	59	62	0
OS01G0117700	F775_10322	62	61	0
OS01G0117700	F775_18619	63	45	0
OS01G0117700	F775_20881	28	73	0
OS01G0117700	F775_25552	58	63	0
OS01G0117700	F775_25594	50	63	0
OS01G0117700	F775_25635	61	62	0
OS01G0117700	F775_25691	61	63	0
OS01G0117900	F775_09843	84	84	1
OS01G0118000	F775_28855	90	85	0
OS01G0118100	F775_05029	83	66	1
OS01G0118300	F775_19758	91	35	0
OS01G0118400	F775_31608	27	54	1
OS01G0118600	F775_17744	24	58	1
OS01G0118600	F775_17745	58	61	1
OS01G0118700	F775_20714	45	67	0
OS01G0119000	F775_05015	62	56	1
OS01G0119000	F775_24848	56	42	1
OS01G0119100	F775_52472	39	44	1
OS01G0119500	F775_00730	21	31	0
OS01G0119500	F775_01792	25	29	0
OS01G0119500	F775_02249	20	28	0
OS01G0119500	F775_03244	22	18	0
OS01G0119500	F775_04291	28	28	0
OS01G0119500	F775_20195	14	35	0
OS01G0119500	F775_22320	22	26	0
OS01G0119500	F775_23449	12	28	0
OS01G0119500	F775_29961	24	29	0
OS01G0119500	F775_32935	21	25	0
OS01G0120300	F775_23447	88	76	1
OS01G0120400	F775_17339	75	76	1
OS01G0120500	F775_17340	70	66	0
OS01G0120500	F775_17341	69	74	0
OS01G0120600	F775_23448	56	62	1
OS01G0120800	F775_22232	76	75	1
OS01G0120800	F775_24354	10	56	1
OS01G0120800	F775_27676	79	77	1
OS01G0121100	F775_13298	49	83	1
OS01G0121100	F775_24752	24	64	1
OS01G0121200	F775_06393	44	68	1
OS01G0121300	F775_29819	56	70	1
OS01G0121600	F775_05557	59	52	1
OS01G0121600	F775_22082	43	68	1
OS01G0121700	F775_26614	70	89	1
OS01G0121800	F775_26615	60	88	1
OS01G0121950	F775_01178	32	37	1
OS01G0121950	F775_52643	25	32	1
OS01G0122701	F775_03606	34	13	1
OS01G0122701	F775_08973	21	3	1
OS01G0122701	F775_19591	31	10	1
OS01G0123700	F775_04022	25	46	0
OS01G0123800	F775_12573	22	30	1
OS01G0123800	F775_17355	21	34	1
OS01G0124900	F775_04884	29	23	0
OS01G0124900	F775_11806	39	30	0
OS01G0124900	F775_20418	37	23	0
OS01G0125500	F775_22409	33	34	1
OS01G0125500	F775_22410	23	27	1
OS01G0125600	F775_22688	70	53	1
OS01G0125700	F775_17945	85	85	1
OS01G0125800	F775_28780	71	87	0
OS01G0125900	F775_07178	80	77	1
OS01G0126200	F775_14088	49	64	1
OS01G0126200	F775_15063	51	80	1
OS01G0126600	F775_14194	22	24	1
OS01G0126600	F775_16922	44	54	1
OS01G0127300	F775_22570	15	65	1
OS01G0127300	F775_29672	33	73	1
OS01G0127400	F775_11719	68	71	1
OS01G0127500	F775_11717	76	78	1
OS01G0127600	F775_06265	35	33	0
OS01G0127600	F775_11718	34	29	0
OS01G0127600	F775_19941	28	31	0
OS01G0127600	F775_20193	40	21	0
OS01G0127600	F775_27493	28	45	0
OS01G0127600	F775_32654	23	33	0
OS01G0127900	F775_16172	53	61	1
OS01G0128000	F775_02803	55	59	1
OS01G0128100	F775_16175	74	72	1
OS01G0128100	F775_24477	15	19	1
OS01G0128200	F775_02804	74	65	1
OS01G0128200	F775_16176	62	71	1
OS01G0128300	F775_22511	61	82	1
OS01G0128400	F775_29432	64	57	1
OS01G0129500	F775_17617	42	51	1
OS01G0130000	F775_18319	82	82	1
OS01G0130400	F775_19975	67	79	1
OS01G0130900	F775_31694	59	61	1
OS01G0131600	F775_28132	32	55	0
OS01G0131800	F775_32420	84	84	1
OS01G0131900	F775_05482	45	51	0
OS01G0131900	F775_07791	34	38	0
OS01G0131900	F775_14844	26	25	0
OS01G0131900	F775_16445	34	49	0
OS01G0131900	F775_25463	67	64	0
OS01G0131900	F775_26893	42	44	0
OS01G0131900	F775_26894	44	46	0
OS01G0131900	F775_27997	45	48	0
OS01G0131900	F775_28600	38	43	0
OS01G0131900	F775_32017	40	44	0
OS01G0131900	F775_32018	44	50	0
OS01G0132000	F775_05482	44	50	0
OS01G0132000	F775_07791	33	37	0
OS01G0132000	F775_14844	27	26	0
OS01G0132000	F775_16445	32	46	0
OS01G0132000	F775_25463	65	61	0
OS01G0132000	F775_26893	39	41	0
OS01G0132000	F775_26894	39	41	0
OS01G0132000	F775_27997	41	44	0
OS01G0132000	F775_28600	37	42	0
OS01G0132000	F775_32017	39	43	0
OS01G0132000	F775_32018	42	48	0
OS01G0132100	F775_18555	57	51	1
OS01G0132500	F775_22533	33	30	1
OS01G0132800	F775_32854	72	80	1
OS01G0133100	F775_16197	26	26	1
OS01G0133200	F775_02808	49	55	1
OS01G0133400	F775_29440	80	89	1
OS01G0133500	F775_16198	53	51	1
OS01G0133600	F775_15655	52	54	1
OS01G0133600	F775_15656	48	51	1
OS01G0133600	F775_42477	27	55	1
OS01G0133600	F775_43503	37	54	1
OS01G0133700	F775_15655	60	33	1
OS01G0133700	F775_15656	58	32	1
OS01G0133700	F775_42477	54	58	1
OS01G0133700	F775_43503	60	47	1
OS01G0134500	F775_26597	82	81	1
OS01G0134700	F775_26596	66	65	1
OS01G0134800	F775_12678	39	58	0
OS01G0134800	F775_52493	79	58	0
OS01G0134900	F775_11476	57	82	1
OS01G0135800	F775_20541	74	73	1
OS01G0135800	F775_21486	55	64	1
OS01G0136000	F775_43851	57	70	1
OS01G0136100	F775_43851	58	71	1
OS01G0136200	F775_43851	57	70	1
OS01G0136400	F775_08289	56	52	1
OS01G0136400	F775_20798	61	64	1
OS01G0136450	F775_32311	23	20	0
OS01G0136500	F775_03000	30	33	1
OS01G0136500	F775_03230	35	24	1
OS01G0136500	F775_03312	35	17	1
OS01G0136500	F775_03313	36	39	1
OS01G0136500	F775_03314	39	36	1
OS01G0136500	F775_03315	25	37	1
OS01G0136500	F775_03316	27	33	1
OS01G0136500	F775_04131	31	31	1
OS01G0136500	F775_07951	36	39	1
OS01G0136500	F775_08288	34	33	1
OS01G0136500	F775_09749	36	38	1
OS01G0136500	F775_09750	39	39	1
OS01G0136500	F775_16779	38	33	1
OS01G0136500	F775_23579	36	35	1
OS01G0136500	F775_33230	36	30	1
OS01G0136500	F775_33240	37	32	1
OS01G0136700	F775_19995	31	42	1
OS01G0136700	F775_52410	44	36	1
OS01G0136900	F775_22179	71	61	1
OS01G0137200	F775_32311	21	20	0
OS01G0137250	F775_00144	65	40	0
OS01G0137400	F775_00368	50	33	1
OS01G0137400	F775_01571	45	61	1
OS01G0137400	F775_03228	32	77	1
OS01G0137400	F775_03229	33	21	1
OS01G0137400	F775_04727	46	46	1
OS01G0137400	F775_19996	40	74	1
OS01G0137400	F775_25630	45	58	1
OS01G0137500	F775_00144	64	35	0
OS01G0137700	F775_19995	33	41	1
OS01G0137700	F775_52410	46	35	1
OS01G0137950	F775_00368	57	12	1
OS01G0137950	F775_01571	76	33	1
OS01G0137950	F775_03228	58	46	1
OS01G0137950	F775_03229	75	15	1
OS01G0137950	F775_04727	74	24	1
OS01G0137950	F775_19996	74	44	1
OS01G0137950	F775_25630	75	31	1
OS01G0138300	F775_00368	43	31	1
OS01G0138300	F775_01571	44	63	1
OS01G0138300	F775_03228	31	79	1
OS01G0138300	F775_03229	33	22	1
OS01G0138300	F775_04727	44	47	1
OS01G0138300	F775_19996	39	76	1
OS01G0138300	F775_25630	47	64	1
OS01G0138400	F775_15418	39	67	1
OS01G0138600	F775_24189	32	14	1
OS01G0138800	F775_15600	37	54	1
OS01G0138800	F775_20344	36	71	1
OS01G0138900	F775_15599	57	61	1
OS01G0138900	F775_27472	53	90	1
OS01G0139000	F775_23074	28	63	0
OS01G0139000	F775_25922	67	61	0
OS01G0139600	F775_10161	61	47	1
OS01G0140100	F775_03950	40	83	1
OS01G0140100	F775_22909	32	71	1
OS01G0140400	F775_30080	48	76	1
OS01G0140500	F775_32168	36	36	0
OS01G0141000	F775_20035	55	61	1
OS01G0141000	F775_21292	35	69	1
OS01G0141000	F775_21293	34	63	1
OS01G0141100	F775_10928	93	52	1
OS01G0141300	F775_10928	55	49	1
OS01G0141600	F775_29454	49	38	1
OS01G0141700	F775_16273	77	85	1
OS01G0142100	F775_15393	65	64	1
OS01G0142200	F775_28906	76	74	1
OS01G0142200	F775_30323	74	73	1
OS01G0142300	F775_30322	82	87	1
OS01G0142500	F775_08891	35	50	1
OS01G0142500	F775_18928	30	36	1
OS01G0143100	F775_21433	57	71	1
OS01G0143300	F775_00432	36	33	1
OS01G0143300	F775_08791	35	29	1
OS01G0143300	F775_22752	30	28	1
OS01G0143300	F775_26018	58	72	1
OS01G0143400	F775_04498	54	46	1
OS01G0143400	F775_33129	48	25	1
OS01G0143700	F775_00432	36	32	1
OS01G0143700	F775_08791	35	29	1
OS01G0143700	F775_22752	25	22	1
OS01G0143700	F775_26018	41	49	1
OS01G0143800	F775_30962	51	66	1
OS01G0144000	F775_29444	58	85	1
OS01G0144100	F775_07715	76	83	1
OS01G0144200	F775_09489	90	90	0
OS01G0144300	F775_22899	46	51	1
OS01G0144500	F775_23476	33	43	1
OS01G0144600	F775_32817	48	55	1
OS01G0147001	F775_30531	33	38	1
OS01G0147200	F775_27358	65	89	1
OS01G0147400	F775_00149	53	24	1
OS01G0147600	F775_00597	19	14	1
OS01G0147600	F775_24369	22	16	1
OS01G0147700	F775_14651	74	64	1
OS01G0147900	F775_27841	83	68	1
OS01G0148000	F775_01874	71	31	1
OS01G0148000	F775_07887	63	38	1
OS01G0148050	F775_01874	55	29	1
OS01G0148050	F775_07887	13	9	1
OS01G0148700	F775_03321	33	31	0
OS01G0149350	F775_11949	58	69	1
OS01G0149350	F775_21857	72	69	1
OS01G0149500	F775_11949	70	50	1
OS01G0149500	F775_21857	74	42	1
OS01G0149700	F775_02189	30	54	1
OS01G0149800	F775_27435	74	76	1
OS01G0149900	F775_21774	54	51	1
OS01G0150000	F775_31011	85	89	1
OS01G0150100	F775_20734	73	21	1
OS01G0150200	F775_09786	81	82	0
OS01G0150400	F775_22178	32	40	1
OS01G0150400	F775_31647	21	59	1
OS01G0150400	F775_33237	44	42	1
OS01G0150500	F775_22178	42	55	1
OS01G0150500	F775_31647	19	57	1
OS01G0150500	F775_33237	38	38	1
OS01G0150800	F775_22178	42	57	1
OS01G0150800	F775_31647	17	52	1
OS01G0150800	F775_33237	55	55	1
OS01G0151100	F775_31646	84	85	1
OS01G0151200	F775_09308	64	85	1
OS01G0151400	F775_08473	73	18	1
OS01G0151400	F775_43165	50	25	1
OS01G0151500	F775_08473	67	43	1
OS01G0151500	F775_43165	37	48	1
OS01G0151600	F775_05713	59	83	1
OS01G0151700	F775_05980	85	81	1
OS01G0151700	F775_17913	81	65	1
OS01G0151900	F775_00434	74	16	1
OS01G0152300	F775_43954	43	100	1
OS01G0152500	F775_23040	21	23	1
OS01G0152600	F775_07247	59	60	0
OS01G0152600	F775_10286	43	55	0
OS01G0152600	F775_13704	58	58	0
OS01G0152600	F775_14119	53	59	0
OS01G0152600	F775_16279	59	59	0
OS01G0152600	F775_16383	53	60	0
OS01G0152600	F775_18977	53	55	0
OS01G0152600	F775_20844	57	57	0
OS01G0152600	F775_21092	55	57	0
OS01G0152600	F775_25547	26	56	0
OS01G0152600	F775_25675	51	57	0
OS01G0152600	F775_25820	58	58	0
OS01G0152800	F775_07247	61	63	0
OS01G0152800	F775_10286	46	59	0
OS01G0152800	F775_13704	59	59	0
OS01G0152800	F775_14119	55	62	0
OS01G0152800	F775_16279	61	61	0
OS01G0152800	F775_16383	55	62	0
OS01G0152800	F775_18977	55	57	0
OS01G0152800	F775_20844	59	59	0
OS01G0152800	F775_21092	57	59	0
OS01G0152800	F775_25547	27	59	0
OS01G0152800	F775_25675	53	58	0
OS01G0152800	F775_25820	59	60	0
OS01G0152900	F775_43954	43	100	1
OS01G0152950	F775_18961	50	52	1
OS01G0153000	F775_07247	57	58	0
OS01G0153000	F775_10286	43	54	0
OS01G0153000	F775_13704	58	57	0
OS01G0153000	F775_14119	51	57	0
OS01G0153000	F775_16279	58	57	0
OS01G0153000	F775_16383	53	59	0
OS01G0153000	F775_18977	54	56	0
OS01G0153000	F775_20844	58	57	0
OS01G0153000	F775_21092	56	58	0
OS01G0153000	F775_25547	27	58	0
OS01G0153000	F775_25675	52	57	0
OS01G0153000	F775_25820	58	58	0
OS01G0153200	F775_29123	34	30	0
OS01G0153200	F775_31895	34	30	0
OS01G0153400	F775_09250	82	40	1
OS01G0153500	F775_42486	48	72	0
OS01G0153600	F775_04272	29	40	0
OS01G0153600	F775_04542	33	30	0
OS01G0153600	F775_04543	32	38	0
OS01G0153600	F775_22337	32	38	0
OS01G0153600	F775_22889	26	49	0
OS01G0153900	F775_42486	38	61	0
OS01G0153950	F775_42486	29	24	0
OS01G0154100	F775_00563	28	36	1
OS01G0154100	F775_02315	47	50	1
OS01G0154100	F775_25000	36	32	1
OS01G0154100	F775_33294	39	35	1
OS01G0154100	F775_42366	41	48	1
OS01G0154100	F775_42376	22	32	1
OS01G0154500	F775_22638	57	69	1
OS01G0154600	F775_22638	58	72	1
OS01G0155400	F775_20704	83	58	1
OS01G0155500	F775_13355	47	64	1
OS01G0156000	F775_22242	59	48	1
OS01G0156300	F775_22540	34	33	1
OS01G0156300	F775_22708	34	34	1
OS01G0157700	F775_23663	52	25	1
OS01G0157800	F775_32472	88	88	1
OS01G0157900	F775_32473	53	76	1
OS01G0158000	F775_32474	79	73	1
OS01G0158200	F775_26085	79	88	1
OS01G0158400	F775_05174	60	39	1
OS01G0158400	F775_30641	65	65	1
OS01G0158500	F775_23008	71	34	1
OS01G0158800	F775_11070	24	20	1
OS01G0158900	F775_23009	63	72	1
OS01G0159200	F775_28799	72	75	1
OS01G0159300	F775_31513	49	43	1
OS01G0159600	F775_28400	72	61	1
OS01G0159800	F775_00184	49	17	1
OS01G0160100	F775_05850	53	86	1
OS01G0160100	F775_10620	69	61	1
OS01G0160700	F775_03834	51	61	1
OS01G0160700	F775_11860	53	64	1
OS01G0160800	F775_16005	54	52	1
OS01G0160800	F775_16563	37	42	1
OS01G0161000	F775_03834	58	45	1
OS01G0161000	F775_11860	56	44	1
OS01G0161300	F775_01309	48	49	1
OS01G0161300	F775_22408	48	61	1
OS01G0162200	F775_15141	18	42	1
OS01G0162300	F775_01308	59	25	1
OS01G0162300	F775_03978	60	22	1
OS01G0162300	F775_11386	39	28	1
OS01G0162300	F775_15140	60	36	1
OS01G0162500	F775_11505	35	33	1
OS01G0164075	F775_04159	56	55	1
OS01G0164075	F775_09231	57	56	1
OS01G0164300	F775_04159	56	59	1
OS01G0164300	F775_09231	57	61	1
OS01G0164400	F775_31631	71	27	0
OS01G0164600	F775_09731	76	74	1
OS01G0164700	F775_27343	39	14	0
OS01G0164800	F775_01330	70	11	1
OS01G0164800	F775_19701	0	0	1
OS01G0164900	F775_01330	45	13	1
OS01G0164900	F775_19701	38	24	1
OS01G0165000	F775_32062	36	29	0
OS01G0165100	F775_12028	79	79	1
OS01G0165200	F775_14674	41	42	1
OS01G0165600	F775_05453	65	65	1
OS01G0165800	F775_32669	5	6	0
OS01G0166100	F775_43900	73	72	1
OS01G0166500	F775_10211	41	47	1
OS01G0166700	F775_32413	66	64	1
OS01G0166800	F775_32414	83	85	1
OS01G0167400	F775_16005	65	60	1
OS01G0167400	F775_16563	47	51	1
OS01G0167500	F775_32415	90	78	1
OS01G0167700	F775_33123	26	42	1
OS01G0167700	F775_33256	55	54	1
OS01G0167900	F775_30228	76	74	1
OS01G0168100	F775_30229	72	67	1
OS01G0168300	F775_08269	49	88	1
OS01G0168400	F775_16556	56	72	1
OS01G0168500	F775_16557	86	90	1
OS01G0168600	F775_16558	46	38	1
OS01G0169400	F775_25656	81	79	1
OS01G0169500	F775_03418	35	74	1
OS01G0169500	F775_03419	39	73	1
OS01G0169800	F775_27930	78	33	0
OS01G0170000	F775_00572	41	52	0
OS01G0170100	F775_05644	67	48	1
OS01G0170500	F775_16087	78	73	1
OS01G0170600	F775_26060	1	2	0
OS01G0170700	F775_01609	18	30	0
OS01G0170800	F775_05154	64	54	1
OS01G0171000	F775_06414	87	74	1
OS01G0171100	F775_06413	37	35	1
OS01G0172000	F775_04375	77	12	1
OS01G0172100	F775_12404	71	75	1
OS01G0172200	F775_27161	52	67	1
OS01G0172300	F775_29399	65	54	1
OS01G0172400	F775_09720	90	90	0
OS01G0172600	F775_14693	81	63	1
OS01G0172900	F775_03426	44	36	1
OS01G0172900	F775_52358	46	33	1
OS01G0173000	F775_17921	56	53	0
OS01G0173100	F775_17922	50	77	1
OS01G0173900	F775_14789	73	64	1
OS01G0173900	F775_14878	70	86	1
OS01G0173900	F775_29059	73	87	1
OS01G0174000	F775_24404	21	72	1
OS01G0174300	F775_31432	79	91	1
OS01G0174500	F775_24736	32	35	1
OS01G0174700	F775_21726	57	75	1
OS01G0175000	F775_26304	82	72	1
OS01G0175500	F775_23392	10	18	0
OS01G0175500	F775_42420	23	18	0
OS01G0175600	F775_13066	82	45	1
OS01G0175600	F775_15590	81	82	1
OS01G0175700	F775_13066	83	45	1
OS01G0175700	F775_15590	83	84	1
OS01G0176000	F775_05101	67	73	1
OS01G0176000	F775_15306	68	69	1
OS01G0176000	F775_15308	68	68	1
OS01G0176000	F775_25999	68	67	1
OS01G0176000	F775_26678	69	67	1
OS01G0176000	F775_33000	63	66	1
OS01G0176100	F775_05101	67	73	1
OS01G0176100	F775_15306	68	70	1
OS01G0176100	F775_15308	68	70	1
OS01G0176100	F775_25999	69	68	1
OS01G0176100	F775_26678	70	68	1
OS01G0176100	F775_33000	62	65	1
OS01G0176200	F775_05101	69	75	1
OS01G0176200	F775_15306	69	70	1
OS01G0176200	F775_15308	69	70	1
OS01G0176200	F775_25999	71	69	1
OS01G0176200	F775_26678	72	70	1
OS01G0176200	F775_33000	64	67	1
OS01G0176300	F775_00276	73	70	1
OS01G0176300	F775_15307	64	61	1
OS01G0176400	F775_42926	12	10	1
OS01G0176500	F775_52517	72	70	1
OS01G0176700	F775_15336	34	40	1
OS01G0176800	F775_52134	71	67	1
OS01G0177100	F775_27935	60	73	0
OS01G0177200	F775_27833	80	77	1
OS01G0177400	F775_25861	20	70	1
OS01G0177900	F775_19428	80	22	0
OS01G0178000	F775_28235	90	90	1
OS01G0178100	F775_01700	60	71	1
OS01G0178200	F775_06258	71	87	1
OS01G0178400	F775_27485	39	21	1
OS01G0178500	F775_02358	48	53	0
OS01G0178700	F775_09402	64	71	1
OS01G0178850	F775_42601	49	52	1
OS01G0179000	F775_21055	40	84	1
OS01G0179000	F775_32402	19	82	1
OS01G0179500	F775_08450	62	44	1
OS01G0179600	F775_01548	28	63	1
OS01G0179600	F775_13447	41	70	1
OS01G0179700	F775_29863	79	83	0
OS01G0179700	F775_29864	80	84	0
OS01G0179800	F775_07638	74	68	1
OS01G0180000	F775_11275	51	71	1
OS01G0180300	F775_31830	64	64	1
OS01G0180400	F775_22942	32	61	1
OS01G0180700	F775_13471	50	45	0
OS01G0181000	F775_05829	27	33	1
OS01G0182100	F775_00730	24	34	0
OS01G0182100	F775_01792	26	29	0
OS01G0182100	F775_02249	19	26	0
OS01G0182100	F775_03244	22	18	0
OS01G0182100	F775_04291	27	26	0
OS01G0182100	F775_20195	12	30	0
OS01G0182100	F775_22320	24	28	0
OS01G0182100	F775_23449	12	28	0
OS01G0182100	F775_29961	26	30	0
OS01G0182100	F775_32935	23	26	0
OS01G0182400	F775_12182	47	48	1
OS01G0182500	F775_22381	55	55	1
