Gene stable ID	Sorghum bicolor gene stable ID	% identity	Sorghum bicolor % identity	Orthology confidence [0 low, 1 high]
OS01G0119500	Sb04g004000	32	35	1
OS01G0120300	Sb03g007890	89	73	1
OS01G0120400	Sb03g007880	76	76	1
OS01G0120500	Sb03g007870	78	80	1
OS01G0120600	Sb03g003260	63	63	1
OS01G0120600	Sb03g007860	65	63	1
OS01G0120700	Sb03g007850	67	69	1
OS01G0120800	Sb03g003250	81	81	1
OS01G0120800	Sb03g007840	81	81	1
OS01G0121000	Sb03g007830	59	52	1
OS01G0121100	Sb03g007820	80	83	1
OS01G0121200	Sb03g007810	80	78	1
OS01G0121300	Sb03g007800	74	74	1
OS01G0121500	Sb03g007780	58	40	1
OS01G0121600	Sb03g007770	60	58	1
OS01G0121700	Sb03g007760	89	89	1
OS01G0121800	Sb03g007750	91	91	1
OS01G0121950	Sb03g007620	27	52	1
OS01G0121950	Sb03g007670	40	43	1
OS01G0121950	Sb03g007680	37	40	1
OS01G0122701	Sb03g007720	17	5	1
OS01G0123700	Sb03g008190	16	24	1
OS01G0123800	Sb03g007560	29	25	1
OS01G0124900	Sb01g013450	44	38	1
OS01G0125500	Sb03g007552	27	26	1
OS01G0125600	Sb03g007520	81	76	1
OS01G0125700	Sb03g007510	82	84	1
OS01G0125800	Sb03g007500	92	92	1
OS01G0125900	Sb03g007490	80	77	1
OS01G0126100	Sb03g007480	75	74	0
OS01G0126200	Sb03g007470	76	76	1
OS01G0126600	Sb03g007450	45	70	1
OS01G0126600	Sb07g005860	64	49	1
OS01G0126900	Sb03g007440	80	81	1
OS01G0127300	Sb03g007140	73	74	1
OS01G0127400	Sb03g007150	84	83	1
OS01G0127500	Sb03g007400	77	80	1
OS01G0127900	Sb03g007380	78	77	0
OS01G0128000	Sb03g007360	51	46	1
OS01G0128100	Sb03g007340	76	76	1
OS01G0128200	Sb03g007330	78	80	1
OS01G0128300	Sb03g007320	71	69	1
OS01G0128400	Sb03g007306	15	83	1
OS01G0128400	Sb03g007310	26	74	1
OS01G0128800	Sb03g007300	3	1	1
OS01G0128800	Sb03g007303	62	85	1
OS01G0129200	Sb03g007290	53	62	1
OS01G0129500	Sb03g007280	62	59	1
OS01G0129600	Sb03g007270	36	41	1
OS01G0130000	Sb03g007250	81	67	1
OS01G0130200	Sb03g007240	61	55	1
OS01G0130400	Sb03g007230	88	88	1
OS01G0130900	Sb03g007220	57	58	1
OS01G0131300	Sb03g007210	66	57	1
OS01G0131600	Sb03g007200	63	57	1
OS01G0131800	Sb03g007190	84	84	1
OS01G0131900	Sb03g007170	68	53	1
OS01G0132000	Sb03g007170	78	60	1
OS01G0132200	Sb03g007160	61	54	1
OS01G0132400	Sb03g007135	32	29	1
OS01G0132500	Sb01g013085	47	63	1
OS01G0132500	Sb02g003140	55	46	1
OS01G0132500	Sb02g040930	50	35	1
OS01G0132700	Sb03g007110	82	80	1
OS01G0132700	Sb03g033580	82	80	1
OS01G0132766	Sb03g007120	68	64	1
OS01G0132800	Sb03g007130	76	77	1
OS01G0133100	Sb03g007100	47	36	1
OS01G0133200	Sb03g007090	70	62	1
OS01G0133400	Sb03g007080	85	84	1
OS01G0133500	Sb03g007070	72	78	1
OS01G0134500	Sb03g007010	85	85	1
OS01G0134700	Sb03g007000	72	70	1
OS01G0134800	Sb03g006980	81	50	0
OS01G0134900	Sb03g006950	87	85	1
OS01G0135700	Sb03g006930	76	67	1
OS01G0135800	Sb03g006920	73	73	1
OS01G0135900	Sb03g006910	70	71	1
OS01G0136000	Sb03g006870	84	82	1
OS01G0136000	Sb03g006880	85	83	1
OS01G0136100	Sb03g006870	87	86	1
OS01G0136100	Sb03g006880	88	87	1
OS01G0136200	Sb03g006870	86	85	1
OS01G0136200	Sb03g006880	87	87	1
OS01G0136300	Sb03g006860	47	53	1
OS01G0136400	Sb03g006850	50	80	1
OS01G0136450	Sb03g006840	47	21	1
OS01G0136700	Sb03g006730	15	25	0
OS01G0136700	Sb03g006820	24	29	0
OS01G0136800	Sb03g006800	59	55	1
OS01G0136900	Sb03g006780	67	58	1
OS01G0137200	Sb03g006840	42	21	1
OS01G0137250	Sb09g001746	62	74	1
OS01G0137400	Sb03g006736	45	49	1
OS01G0137400	Sb03g006765	51	55	1
OS01G0137400	Sb2853s002010	30	80	1
OS01G0137700	Sb03g006730	16	25	0
OS01G0137700	Sb03g006820	25	29	0
OS01G0137950	Sb03g006736	58	20	1
OS01G0137950	Sb03g006765	74	26	1
OS01G0137950	Sb2853s002010	73	61	1
OS01G0138300	Sb03g006736	45	53	1
OS01G0138300	Sb03g006765	52	59	1
OS01G0138300	Sb2853s002010	30	82	1
OS01G0138400	Sb03g006700	66	66	1
OS01G0138500	Sb03g006690	65	67	1
OS01G0138600	Sb03g010790	41	26	1
OS01G0138600	Sb07g025420	45	29	1
OS01G0138800	Sb03g006680	75	73	1
OS01G0138900	Sb03g006670	82	83	1
OS01G0139000	Sb03g006660	67	66	0
OS01G0139200	Sb03g006650	80	81	1
OS01G0139200	Sb05g005745	17	64	1
OS01G0139600	Sb03g006640	66	76	1
OS01G0140100	Sb03g006630	82	81	1
OS01G0140400	Sb03g006620	89	90	1
OS01G0140500	Sb03g006610	57	47	1
OS01G0141000	Sb03g006590	66	62	1
OS01G0141100	Sb03g006580	98	68	1
OS01G0141300	Sb03g006580	70	77	1
OS01G0141600	Sb03g006560	69	36	1
OS01G0141700	Sb03g006550	77	80	1
OS01G0141900	Sb03g006540	80	81	1
OS01G0142100	Sb03g006530	76	76	1
OS01G0142200	Sb03g006520	87	87	1
OS01G0142300	Sb03g006480	92	93	1
OS01G0142500	Sb03g006450	31	66	1
OS01G0143100	Sb03g006370	88	85	1
OS01G0143300	Sb03g006350	66	65	1
OS01G0143700	Sb03g006350	49	47	1
OS01G0143800	Sb03g006340	64	64	1
OS01G0143900	Sb03g006330	64	72	1
OS01G0144000	Sb03g006320	70	91	1
OS01G0144100	Sb03g006310	81	81	1
OS01G0144200	Sb03g006280	92	92	1
OS01G0144300	Sb03g006270	64	61	1
OS01G0144340	Sb03g006260	75	90	0
OS01G0144500	Sb03g006250	48	41	1
OS01G0144600	Sb03g006240	70	77	1
OS01G0144700	Sb03g006230	86	86	1
OS01G0147200	Sb03g006180	86	88	1
OS01G0147300	Sb03g006170	51	31	1
OS01G0147400	Sb03g006160	42	22	1
OS01G0147600	Sb03g006155	17	20	1
OS01G0147700	Sb03g006150	68	68	1
OS01G0147800	Sb03g006140	61	51	1
OS01G0147900	Sb03g006130	88	88	1
OS01G0148000	Sb03g006120	75	29	1
OS01G0148050	Sb03g006120	75	35	1
OS01G0148500	Sb02g029100	51	51	1
OS01G0149700	Sb02g006270	39	26	1
OS01G0149800	Sb03g006090	78	76	1
OS01G0149900	Sb03g006080	58	60	1
OS01G0150000	Sb03g006070	91	91	1
OS01G0150100	Sb03g006060	71	27	1
OS01G0150200	Sb03g006050	87	87	1
OS01G0150400	Sb03g006030	36	40	1
OS01G0150400	Sb03g006040	38	44	1
OS01G0150500	Sb03g006030	35	41	1
OS01G0150500	Sb03g006040	29	34	1
OS01G0150800	Sb03g006030	37	44	1
OS01G0150800	Sb03g006040	39	48	1
OS01G0151100	Sb03g006020	87	87	1
OS01G0151200	Sb03g006010	82	83	1
OS01G0151400	Sb03g006000	78	25	1
OS01G0151500	Sb03g006000	68	58	1
OS01G0151600	Sb03g005990	87	87	1
OS01G0151700	Sb03g005980	86	86	1
OS01G0151900	Sb03g005950	70	69	1
OS01G0152000	Sb04g022050	59	60	0
OS01G0152100	Sb02g001120	37	35	1
OS01G0152200	Sb04g022842	33	30	0
OS01G0152200	Sb04g022846	9	40	0
OS01G0152300	Sb02g025410	91	91	0
OS01G0152300	Sb03g007700	89	91	0
OS01G0152300	Sb03g026260	90	90	0
OS01G0152300	Sb04g030340	90	88	0
OS01G0152300	Sb07g028760	89	89	0
OS01G0152600	Sb04g001470	68	67	1
OS01G0152800	Sb04g001470	67	66	1
OS01G0152900	Sb02g025410	91	91	0
OS01G0152900	Sb03g007700	89	91	0
OS01G0152900	Sb03g026260	90	90	0
OS01G0152900	Sb04g030340	91	90	0
OS01G0152900	Sb07g028760	89	89	0
OS01G0152950	Sb04g022842	44	42	0
OS01G0152950	Sb04g022846	12	57	0
OS01G0153000	Sb04g001470	66	64	1
OS01G0153100	Sb02g025410	91	91	0
OS01G0153100	Sb03g007700	90	92	0
OS01G0153100	Sb03g026260	90	90	0
OS01G0153100	Sb04g030340	91	90	0
OS01G0153100	Sb07g028760	90	91	0
OS01G0153200	Sb09g022390	29	37	1
OS01G0153250	Sb03g005716	72	73	1
OS01G0153300	Sb02g025410	90	92	0
OS01G0153300	Sb03g007700	90	93	0
OS01G0153300	Sb03g026260	89	90	0
OS01G0153300	Sb04g030340	89	89	0
OS01G0153300	Sb07g028760	90	91	0
OS01G0153400	Sb03g005710	93	70	1
OS01G0153500	Sb03g005660	57	52	0
OS01G0153500	Sb03g005670	53	53	0
OS01G0153600	Sb03g005630	46	48	1
OS01G0153700	Sb05g026577	12	9	1
OS01G0153700	Sb06g023316	17	16	1
OS01G0153800	Sb03g005570	57	61	1
OS01G0153800	Sb03g005580	54	57	1
OS01G0153800	Sb03g005590	56	46	1
OS01G0153900	Sb03g005660	47	45	0
OS01G0153900	Sb03g005670	40	43	0
OS01G0153950	Sb03g005660	41	20	0
OS01G0153950	Sb03g005670	40	21	0
OS01G0154100	Sb03g005610	56	60	1
OS01G0154500	Sb03g005600	67	65	1
OS01G0154600	Sb03g005600	69	68	1
OS01G0155000	Sb03g005560	50	64	1
OS01G0155200	Sb03g005540	62	58	0
OS01G0155300	Sb03g005530	68	63	1
OS01G0155400	Sb03g005520	73	50	1
OS01G0155500	Sb03g005510	63	67	1
OS01G0155600	Sb03g005500	57	62	1
OS01G0156000	Sb03g005480	63	68	1
OS01G0157500	Sb03g005430	42	48	1
OS01G0157600	Sb03g005420	38	40	1
OS01G0157700	Sb03g005410	57	32	1
OS01G0157800	Sb03g005400	87	87	1
OS01G0157800	Sb07g004910	87	48	1
OS01G0157900	Sb03g005390	78	78	1
OS01G0158000	Sb03g005380	81	75	1
OS01G0158200	Sb03g005360	84	85	1
OS01G0158200	Sb03g005370	78	79	1
OS01G0158400	Sb03g005330	60	56	1
OS01G0158900	Sb03g005310	80	80	1
OS01G0159000	Sb03g005300	61	34	1
OS01G0159200	Sb03g005280	76	54	1
OS01G0159300	Sb03g005270	54	52	1
OS01G0159600	Sb03g005260	74	73	1
OS01G0160100	Sb03g005240	90	91	1
OS01G0160700	Sb03g004950	57	59	1
OS01G0160800	Sb02g038250	29	28	0
OS01G0161000	Sb03g004950	62	42	1
OS01G0162200	Sb04g008470	44	34	0
OS01G0162300	Sb04g002110	48	27	0
OS01G0162300	Sb04g008460	49	27	0
OS01G0162300	Sb07g002830	30	35	0
OS01G0162500	Sb04g008470	46	20	0
OS01G0162800	Sb03g005070	53	51	1
OS01G0164075	Sb03g005060	53	48	1
OS01G0164300	Sb03g005060	54	53	1
OS01G0164400	Sb03g005050	89	90	0
OS01G0164500	Sb03g005040	77	77	1
OS01G0164600	Sb03g005030	75	77	1
OS01G0164700	Sb03g005010	52	20	1
OS01G0164800	Sb0013s007040	0	0	1
OS01G0164800	Sb0013s007050	58	70	1
OS01G0164800	Sb1497s002010	0	0	1
OS01G0164800	Sb1497s002020	0	0	1
OS01G0164800	Sb2222s002010	0	0	1
OS01G0164800	Sb2899s002010	0	0	1
OS01G0164900	Sb0013s007040	30	21	1
OS01G0164900	Sb0013s007050	0	0	1
OS01G0164900	Sb1497s002010	7	57	1
OS01G0164900	Sb1497s002020	7	57	1
OS01G0164900	Sb2222s002010	11	34	1
OS01G0164900	Sb2899s002010	6	55	1
OS01G0165000	Sb03g004980	61	63	1
OS01G0165100	Sb03g004970	81	81	1
OS01G0165100	Sb10g014563	15	74	1
OS01G0165200	Sb03g004960	49	50	1
OS01G0165600	Sb03g004900	72	67	1
OS01G0165800	Sb10g002350	0	0	1
OS01G0166100	Sb03g004830	82	82	1
OS01G0166300	Sb03g004800	52	66	1
OS01G0166400	Sb03g004790	59	61	1
OS01G0166500	Sb03g004780	38	34	1
OS01G0166700	Sb03g004770	69	69	1
OS01G0166800	Sb03g004760	84	84	1
OS01G0167400	Sb02g038250	33	30	0
OS01G0167500	Sb03g004750	92	92	1
OS01G0167600	Sb03g004740	26	42	1
OS01G0167700	Sb03g004723	13	62	1
OS01G0167700	Sb03g004726	6	50	1
OS01G0167750	Sb03g004720	81	78	1
OS01G0167900	Sb03g004710	73	78	1
OS01G0168100	Sb03g004680	68	68	1
OS01G0168200	Sb03g004670	80	70	1
OS01G0168300	Sb03g004660	82	81	1
OS01G0168400	Sb03g004656	37	60	1
OS01G0168500	Sb03g004650	89	89	1
OS01G0168600	Sb03g004640	86	51	1
OS01G0168800	Sb03g004610	54	59	1
OS01G0168800	Sb03g004620	68	68	1
OS01G0168800	Sb03g004630	66	66	1
OS01G0169400	Sb03g004590	82	77	1
OS01G0169500	Sb03g004580	71	74	1
OS01G0169800	Sb03g004570	80	33	1
OS01G0169900	Sb03g004550	72	73	1
OS01G0170000	Sb03g004540	83	35	1
OS01G0170100	Sb03g004530	76	46	1
OS01G0170300	Sb03g004520	84	83	1
OS01G0170500	Sb03g004510	77	66	1
OS01G0170800	Sb03g004480	69	47	1
OS01G0171000	Sb03g004450	87	88	1
OS01G0171800	Sb03g004445	73	74	1
OS01G0172000	Sb03g004440	73	23	1
OS01G0172100	Sb03g004430	76	71	1
OS01G0172200	Sb03g004420	67	75	1
OS01G0172300	Sb03g004410	66	64	1
OS01G0172400	Sb03g004390	91	91	1
OS01G0172400	Sb08g022520	88	88	1
OS01G0172600	Sb03g004380	87	60	1
OS01G0172800	Sb03g004370	53	54	1
OS01G0172900	Sb03g004360	52	37	1
OS01G0173000	Sb03g004350	60	56	0
OS01G0173100	Sb03g004340	77	80	1
OS01G0173600	Sb03g004330	58	53	1
OS01G0173900	Sb01g038917	65	76	1
OS01G0173900	Sb01g045940	71	76	1
OS01G0173900	Sb03g004300	82	83	1
OS01G0174000	Sb03g004290	38	67	1
OS01G0174100	Sb03g004280	64	62	0
OS01G0174300	Sb03g004270	93	93	1
OS01G0174500	Sb03g004265	58	58	1
OS01G0174600	Sb03g004260	32	33	1
OS01G0174700	Sb03g004240	81	80	1
OS01G0174900	Sb03g004230	76	76	1
OS01G0175000	Sb03g004220	86	87	1
OS01G0175100	Sb03g004190	60	64	1
OS01G0175400	Sb01g028256	61	34	1
OS01G0175500	Sb06g025330	54	50	1
OS01G0175600	Sb03g004180	82	82	1
OS01G0175700	Sb03g004180	82	82	1
OS01G0175850	Sb03g004150	60	33	1
OS01G0175850	Sb03g004160	65	38	1
OS01G0176000	Sb03g004130	68	65	1
OS01G0176000	Sb03g004140	66	67	1
OS01G0176100	Sb03g004130	67	64	1
OS01G0176100	Sb03g004140	65	66	1
OS01G0176200	Sb03g004130	70	67	1
OS01G0176200	Sb03g004140	67	67	1
OS01G0176300	Sb03g004125	72	77	1
OS01G0176400	Sb03g004120	73	29	0
OS01G0176500	Sb03g004110	76	78	1
OS01G0176700	Sb03g004090	48	46	1
OS01G0176800	Sb03g004080	71	71	1
OS01G0176900	Sb03g004070	31	53	1
OS01G0177200	Sb03g004040	89	89	1
OS01G0177400	Sb03g004020	79	76	1
OS01G0177900	Sb03g004010	94	24	0
OS01G0178000	Sb03g004000	87	67	1
OS01G0178100	Sb03g003970	74	73	1
OS01G0178200	Sb03g003960	77	88	1
OS01G0178300	Sb09g005410	51	81	1
OS01G0178400	Sb03g003950	89	36	1
OS01G0178500	Sb03g003940	80	73	0
OS01G0178700	Sb03g003920	70	73	1
OS01G0178850	Sb1165s002020	58	41	1
OS01G0179000	Sb03g003830	80	79	1
OS01G0179200	Sb03g003820	85	86	1
OS01G0179300	Sb03g003810	73	74	1
OS01G0179400	Sb03g003800	92	43	1
OS01G0179500	Sb03g003770	25	76	1
OS01G0179500	Sb03g003780	12	18	1
OS01G0179600	Sb03g003760	63	63	1
OS01G0179700	Sb04g033160	98	98	1
OS01G0179800	Sb03g003750	73	74	1
OS01G0180000	Sb03g003730	74	69	1
OS01G0180600	Sb03g003700	59	70	1
OS01G0180700	Sb03g003685	48	66	1
OS01G0181000	Sb03g003680	56	55	1
OS01G0182100	Sb04g004000	33	36	1
OS01G0182200	Sb05g007520	65	65	1
OS01G0182200	Sb09g019780	83	84	1
OS01G0182300	Sb03g003675	57	55	1
OS01G0182400	Sb03g003670	49	55	1
OS01G0182500	Sb03g003660	30	63	1
OS01G0182600	Sb03g003650	92	92	1
OS01G0182700	Sb03g003640	68	64	1
OS01G0182832	Sb01g003422	41	47	1
OS01G0182900	Sb01g003422	0	0	1
OS01G0183000	Sb03g003630	81	83	1
OS01G0183100	Sb04g021020	79	81	1
OS01G0183100	Sb10g030850	78	81	1
OS01G0183300	Sb03g003620	63	60	1
OS01G0183400	Sb03g003610	54	59	1
OS01G0183500	Sb03g003600	84	32	1
OS01G0183600	Sb03g003590	79	78	1
OS01G0183800	Sb03g003560	61	63	1
OS01G0184000	Sb03g003540	75	73	1
OS01G0184100	Sb03g003530	81	81	1
OS01G0184500	Sb03g003520	78	80	1
OS01G0184800	Sb03g003460	93	94	1
OS01G0184900	Sb03g003450	90	90	1
OS01G0185100	Sb03g003440	51	34	1
OS01G0185200	Sb03g003420	91	91	1
OS01G0185300	Sb03g003390	88	88	1
OS01G0185400	Sb03g003380	67	59	0
OS01G0185500	Sb03g003375	71	70	1
OS01G0185900	Sb03g003370	61	56	1
OS01G0186000	Sb03g003360	49	37	1
OS01G0186200	Sb03g003350	44	82	1
OS01G0186600	Sb03g003330	45	42	1
OS01G0186700	Sb03g003320	92	91	1
OS01G0186900	Sb03g003310	64	62	1
OS01G0187400	Sb03g003300	87	88	1
OS01G0187600	Sb03g003280	69	31	1
OS01G0187900	Sb03g003270	76	77	1
OS01G0188100	Sb03g003240	89	89	1
OS01G0188200	Sb03g008920	5	2	1
OS01G0188400	Sb03g003220	87	86	0
OS01G0188400	Sb03g003230	82	83	0
OS01G0188900	Sb01g028256	65	28	1
OS01G0189100	Sb01g028256	36	56	1
OS01G0189800	Sb06g025330	50	48	1
OS01G0190000	Sb03g003210	85	74	1
OS01G0190300	Sb03g003200	55	56	1
OS01G0190400	Sb03g003190	83	74	1
OS01G0190500	Sb03g003180	63	61	1
OS01G0191000	Sb06g015450	75	77	1
OS01G0191100	Sb06g032330	81	82	1
OS01G0191100	Sb09g029390	82	84	1
OS01G0191200	Sb09g005940	36	42	1
OS01G0191300	Sb03g003170	79	85	1
OS01G0191500	Sb03g003160	83	83	1
OS01G0191700	Sb03g003140	93	93	1
OS01G0191800	Sb03g003130	91	92	1
OS01G0191800	Sb04g026150	92	92	1
OS01G0191900	Sb03g003120	45	48	1
OS01G0192000	Sb03g003110	73	81	1
OS01G0192300	Sb03g003100	66	60	1
OS01G0192500	Sb06g028500	38	35	1
OS01G0192600	Sb03g003080	88	88	1
OS01G0192900	Sb03g003070	72	83	0
OS01G0193400	Sb03g003030	46	42	1
OS01G0193500	Sb03g003020	62	68	1
OS01G0193600	Sb03g003010	83	83	1
OS01G0193900	Sb03g003005	49	47	1
OS01G0194200	Sb03g002990	81	80	1
OS01G0194300	Sb03g002980	72	72	1
OS01G0194600	Sb03g002970	69	72	1
OS01G0195000	Sb03g002960	50	49	0
OS01G0195200	Sb03g002950	87	35	1
OS01G0195300	Sb03g002935	51	43	1
OS01G0195400	Sb03g002930	76	73	1
OS01G0195500	Sb03g002920	88	88	1
OS01G0195801	Sb03g002910	47	29	1
OS01G0196300	Sb03g002910	47	44	1
OS01G0196500	Sb03g002890	78	82	1
OS01G0196600	Sb03g002880	75	76	1
OS01G0197100	Sb03g002870	82	79	1
OS01G0197200	Sb03g002860	93	94	1
OS01G0197400	Sb03g002840	40	36	1
OS01G0197500	Sb03g002820	73	40	0
OS01G0197700	Sb03g002810	65	64	1
OS01G0197900	Sb06g001590	4	8	1
OS01G0197900	Sb06g001600	24	45	1
OS01G0198000	Sb06g001590	18	58	1
OS01G0198000	Sb06g001600	16	47	1
OS01G0198200	Sb03g002790	83	87	1
OS01G0198500	Sb03g002760	51	42	1
OS01G0198900	Sb03g002750	56	58	1
OS01G0199400	Sb03g002710	78	76	1
OS01G0199700	Sb03g002700	47	49	1
OS01G0199900	Sb03g002690	80	80	1
OS01G0200000	Sb01g029070	91	91	1
OS01G0200000	Sb02g007970	80	80	1
OS01G0200200	Sb03g002680	61	53	1
OS01G0200300	Sb03g002660	79	40	1
OS01G0200400	Sb03g002650	87	85	1
OS01G0200500	Sb03g002640	80	82	1
OS01G0200600	Sb03g002630	50	45	1
OS01G0200700	Sb03g002620	60	56	1
OS01G0201100	Sb03g002590	65	64	1
OS01G0201100	Sb03g002600	63	61	1
OS01G0201200	Sb03g002580	76	75	1
OS01G0201250	Sb03g002570	71	68	1
OS01G0201400	Sb09g006350	49	53	1
OS01G0201600	Sb03g002540	51	46	1
OS01G0201600	Sb10g006190	51	44	1
OS01G0201700	Sb03g002525	69	41	1
OS01G0201800	Sb03g002520	36	38	1
OS01G0201900	Sb03g002520	45	42	1
OS01G0202500	Sb03g002510	64	64	1
OS01G0202700	Sb03g002500	68	71	1
OS01G0202800	Sb03g002490	70	69	1
OS01G0203000	Sb03g002480	81	84	1
OS01G0203300	Sb03g002470	71	73	1
OS01G0203800	Sb03g002460	80	79	1
OS01G0204000	Sb03g002450	73	72	1
OS01G0205100	Sb03g004920	85	82	1
OS01G0205300	Sb03g004930	42	60	1
OS01G0205500	Sb03g002420	99	99	1
OS01G0205600	Sb03g002390	70	70	1
