Gene stable ID	Hordeum vulgare gene stable ID	% identity	Hordeum vulgare % identity	Orthology confidence [0 low, 1 high]
OS01G0111000	MLOC_1315	33	27	1
OS01G0111000	MLOC_36906	36	29	1
OS01G0111000	MLOC_38034	36	29	1
OS01G0111000	MLOC_62883	40	29	1
OS01G0111000	MLOC_66225	41	34	1
OS01G0111100	MLOC_80685	16	78	1
OS01G0111200	MLOC_58492	74	70	1
OS01G0111400	MLOC_19462	71	74	1
OS01G0111600	MLOC_71606	29	63	0
OS01G0111700	MLOC_40531	26	56	1
OS01G0111900	MLOC_36099	29	77	1
OS01G0112100	MLOC_82112	57	63	1
OS01G0112400	MLOC_62234	59	60	1
OS01G0112500	MLOC_10954	68	86	1
OS01G0113300	MLOC_55753	60	59	0
OS01G0113350	MLOC_60137	39	78	0
OS01G0113350	MLOC_62542	62	63	0
OS01G0113350	MLOC_62543	37	58	0
OS01G0113650	MLOC_60137	38	76	0
OS01G0113650	MLOC_62542	63	65	0
OS01G0113650	MLOC_62543	37	59	0
OS01G0114400	MLOC_10272	60	34	1
OS01G0114400	MLOC_36868	40	27	1
OS01G0114400	MLOC_61891	72	47	1
OS01G0114400	MLOC_6370	50	31	1
OS01G0114400	MLOC_70734	73	37	1
OS01G0114600	MLOC_63347	45	71	1
OS01G0114600	MLOC_74750	50	58	1
OS01G0114800	MLOC_24659	25	32	1
OS01G0114800	MLOC_24713	29	43	1
OS01G0114800	MLOC_26568	30	37	1
OS01G0114800	MLOC_26691	29	37	1
OS01G0114800	MLOC_26924	25	37	1
OS01G0114800	MLOC_27794	29	33	1
OS01G0114800	MLOC_28369	31	30	1
OS01G0114800	MLOC_28817	25	40	1
OS01G0114800	MLOC_29482	25	38	1
OS01G0114800	MLOC_29703	30	29	1
OS01G0114800	MLOC_30446	28	39	1
OS01G0114800	MLOC_30472	18	40	1
OS01G0114800	MLOC_32346	31	23	1
OS01G0114800	MLOC_32742	22	39	1
OS01G0114800	MLOC_33728	30	37	1
OS01G0114800	MLOC_33734	25	46	1
OS01G0114800	MLOC_41742	31	39	1
OS01G0114800	MLOC_42391	27	43	1
OS01G0114800	MLOC_42492	21	41	1
OS01G0114800	MLOC_42635	31	39	1
OS01G0114800	MLOC_43920	33	40	1
OS01G0114800	MLOC_70606	23	42	1
OS01G0114800	MLOC_73401	28	27	1
OS01G0114800	MLOC_76041	21	43	1
OS01G0114800	MLOC_9456	25	42	1
OS01G0115566	MLOC_21385	17	12	0
OS01G0115700	MLOC_10272	52	54	1
OS01G0115700	MLOC_36868	47	59	1
OS01G0115700	MLOC_61891	51	62	1
OS01G0115700	MLOC_6370	54	61	1
OS01G0115700	MLOC_70734	64	60	1
OS01G0115800	MLOC_21385	19	17	0
OS01G0116000	MLOC_10272	50	57	1
OS01G0116000	MLOC_36868	43	58	1
OS01G0116000	MLOC_61891	48	64	1
OS01G0116000	MLOC_6370	49	61	1
OS01G0116000	MLOC_70734	59	61	1
OS01G0116200	MLOC_10272	49	58	1
OS01G0116200	MLOC_36868	42	59	1
OS01G0116200	MLOC_61891	47	65	1
OS01G0116200	MLOC_6370	46	59	1
OS01G0116200	MLOC_70734	57	60	1
OS01G0116400	MLOC_63347	43	67	1
OS01G0116400	MLOC_74750	48	55	1
OS01G0116600	MLOC_22594	50	74	1
OS01G0116800	MLOC_63347	78	67	1
OS01G0116800	MLOC_74750	64	40	1
OS01G0116900	MLOC_18396	69	46	0
OS01G0116900	MLOC_24609	55	82	0
OS01G0116900	MLOC_36867	53	82	0
OS01G0116900	MLOC_6230	57	78	0
OS01G0116900	MLOC_67657	57	79	0
OS01G0116900	MLOC_74749	70	57	0
OS01G0117000	MLOC_63347	39	67	1
OS01G0117000	MLOC_74750	46	57	1
OS01G0117100	MLOC_18396	80	38	0
OS01G0117100	MLOC_24609	76	80	0
OS01G0117100	MLOC_36867	73	80	0
OS01G0117100	MLOC_6230	78	75	0
OS01G0117100	MLOC_67657	80	78	0
OS01G0117100	MLOC_74749	82	47	0
OS01G0117200	MLOC_10272	51	61	1
OS01G0117200	MLOC_36868	38	56	1
OS01G0117200	MLOC_61891	45	63	1
OS01G0117200	MLOC_6370	43	56	1
OS01G0117200	MLOC_70734	52	56	1
OS01G0117266	MLOC_19727	37	16	1
OS01G0117266	MLOC_910	37	18	1
OS01G0117300	MLOC_18396	76	39	0
OS01G0117300	MLOC_24609	72	83	0
OS01G0117300	MLOC_36867	69	83	0
OS01G0117300	MLOC_6230	73	76	0
OS01G0117300	MLOC_67657	73	77	0
OS01G0117300	MLOC_74749	80	50	0
OS01G0117400	MLOC_42962	59	79	1
OS01G0117500	MLOC_18396	66	41	0
OS01G0117500	MLOC_24609	59	81	0
OS01G0117500	MLOC_36867	57	81	0
OS01G0117500	MLOC_6230	61	76	0
OS01G0117500	MLOC_67657	62	78	0
OS01G0117500	MLOC_74749	68	50	0
OS01G0117600	MLOC_63347	45	74	1
OS01G0117600	MLOC_74750	52	62	1
OS01G0117700	MLOC_18396	62	52	0
OS01G0117700	MLOC_24609	44	82	0
OS01G0117700	MLOC_36867	42	82	0
OS01G0117700	MLOC_6230	46	77	0
OS01G0117700	MLOC_67657	46	79	0
OS01G0117700	MLOC_74749	64	64	0
OS01G0117900	MLOC_55825	83	75	1
OS01G0118000	MLOC_39148	46	83	0
OS01G0118100	MLOC_5047	91	66	1
OS01G0118400	MLOC_13713	66	54	1
OS01G0118700	MLOC_7745	72	71	0
OS01G0119000	MLOC_55095	56	58	1
OS01G0119100	MLOC_59762	66	66	1
OS01G0119500	MLOC_47334	23	27	0
OS01G0120300	MLOC_51860	30	82	1
OS01G0120300	MLOC_54198	52	79	1
OS01G0120400	MLOC_10851	64	56	1
OS01G0120500	MLOC_34029	70	66	0
OS01G0120500	MLOC_52492	40	70	0
OS01G0120600	MLOC_24775	25	84	1
OS01G0120800	MLOC_59709	76	74	1
OS01G0120800	MLOC_62056	80	78	1
OS01G0121000	MLOC_5707	55	47	1
OS01G0121100	MLOC_56997	48	86	1
OS01G0121200	MLOC_56995	76	71	1
OS01G0121300	MLOC_73272	28	74	1
OS01G0121600	MLOC_14294	52	33	1
OS01G0121700	MLOC_72088	34	82	1
OS01G0121800	MLOC_38958	60	82	1
OS01G0121950	MLOC_81554	14	34	1
OS01G0122701	MLOC_25695	31	12	1
OS01G0122701	MLOC_56271	29	9	1
OS01G0122701	MLOC_64722	31	10	1
OS01G0123700	MLOC_72725	44	46	0
OS01G0123800	MLOC_45016	26	27	1
OS01G0123800	MLOC_66518	23	25	1
OS01G0123900	MLOC_41902	17	47	0
OS01G0124000	MLOC_41902	17	44	0
OS01G0124100	MLOC_41902	14	50	0
OS01G0124200	MLOC_41902	14	50	0
OS01G0124401	MLOC_41902	14	51	0
OS01G0124600	MLOC_41902	18	50	0
OS01G0124650	MLOC_41902	19	51	0
OS01G0124900	MLOC_37655	29	21	0
OS01G0124900	MLOC_63238	25	17	0
OS01G0125500	MLOC_37082	31	34	1
OS01G0125700	MLOC_51750	62	93	1
OS01G0125800	MLOC_37267	88	88	0
OS01G0125900	MLOC_36532	80	77	1
OS01G0126200	MLOC_79739	63	76	1
OS01G0126600	MLOC_32832	55	44	0
OS01G0126600	MLOC_57689	52	41	0
OS01G0127300	MLOC_81756	51	74	1
OS01G0127400	MLOC_39247	66	84	1
OS01G0127600	MLOC_77017	15	39	0
OS01G0127900	MLOC_14802	50	73	1
OS01G0128000	MLOC_65555	55	55	1
OS01G0128100	MLOC_73497	73	70	1
OS01G0128200	MLOC_49356	48	77	1
OS01G0128300	MLOC_49355	32	95	1
OS01G0128400	MLOC_52626	38	50	1
OS01G0128800	MLOC_6571	82	23	1
OS01G0129200	MLOC_4391	60	59	1
OS01G0129500	MLOC_53785	54	48	1
OS01G0130000	MLOC_52161	81	81	1
OS01G0130200	MLOC_3652	64	65	1
OS01G0130400	MLOC_2050	58	75	1
OS01G0130900	MLOC_63538	28	72	1
OS01G0131300	MLOC_24605	48	39	1
OS01G0131600	MLOC_69438	65	59	0
OS01G0131900	MLOC_21661	44	33	0
OS01G0131900	MLOC_322	41	46	0
OS01G0131900	MLOC_43759	37	42	0
OS01G0131900	MLOC_71416	40	44	0
OS01G0131900	MLOC_80476	45	51	0
OS01G0132000	MLOC_21661	41	31	0
OS01G0132000	MLOC_322	38	43	0
OS01G0132000	MLOC_43759	35	39	0
OS01G0132000	MLOC_71416	39	43	0
OS01G0132000	MLOC_80476	42	48	0
OS01G0132100	MLOC_70235	58	53	1
OS01G0132500	MLOC_25150	19	54	1
OS01G0132500	MLOC_63431	40	37	1
OS01G0132700	MLOC_56983	51	88	1
OS01G0132766	MLOC_64108	18	50	0
OS01G0132800	MLOC_64109	78	78	1
OS01G0133100	MLOC_61713	37	33	1
OS01G0133400	MLOC_18039	81	91	1
OS01G0133500	MLOC_56684	75	62	1
OS01G0133600	MLOC_39217	42	59	1
OS01G0133700	MLOC_39217	55	41	1
OS01G0134500	MLOC_36446	59	86	1
OS01G0134700	MLOC_36714	64	63	1
OS01G0134800	MLOC_75090	83	49	0
OS01G0134900	MLOC_60984	80	62	1
OS01G0135900	MLOC_62774	67	68	1
OS01G0136000	MLOC_25990	39	59	0
OS01G0136000	MLOC_26766	37	75	0
OS01G0136000	MLOC_30920	36	75	0
OS01G0136000	MLOC_44536	81	81	0
OS01G0136000	MLOC_45029	79	60	0
OS01G0136000	MLOC_68435	80	79	0
OS01G0136000	MLOC_74996	81	79	0
OS01G0136100	MLOC_25990	39	59	0
OS01G0136100	MLOC_26766	35	71	0
OS01G0136100	MLOC_30920	33	70	0
OS01G0136100	MLOC_44536	79	79	0
OS01G0136100	MLOC_45029	79	60	0
OS01G0136100	MLOC_68435	79	79	0
OS01G0136100	MLOC_74996	79	79	0
OS01G0136200	MLOC_25990	38	58	0
OS01G0136200	MLOC_26766	35	71	0
OS01G0136200	MLOC_30920	33	70	0
OS01G0136200	MLOC_44536	79	79	0
OS01G0136200	MLOC_45029	78	59	0
OS01G0136200	MLOC_68435	79	78	0
OS01G0136200	MLOC_74996	79	78	0
OS01G0136400	MLOC_11576	47	80	1
OS01G0136400	MLOC_27819	22	86	1
OS01G0136450	MLOC_43008	22	22	0
OS01G0136450	MLOC_57224	23	20	0
OS01G0136500	MLOC_1558	41	41	1
OS01G0136500	MLOC_21498	38	43	1
OS01G0136500	MLOC_3288	36	35	1
OS01G0136500	MLOC_4937	34	38	1
OS01G0136500	MLOC_49902	37	23	1
OS01G0136500	MLOC_55830	35	37	1
OS01G0136500	MLOC_57223	40	33	1
OS01G0136500	MLOC_61756	41	39	1
OS01G0136500	MLOC_73367	35	34	1
OS01G0136700	MLOC_3286	28	29	0
OS01G0136800	MLOC_55487	57	56	1
OS01G0137200	MLOC_43008	20	22	0
OS01G0137200	MLOC_57224	22	21	0
OS01G0137250	MLOC_56613	64	42	0
OS01G0137400	MLOC_15398	44	72	1
OS01G0137400	MLOC_17993	43	74	1
OS01G0137400	MLOC_27655	33	82	1
OS01G0137500	MLOC_56613	67	38	0
OS01G0137700	MLOC_3286	30	30	0
OS01G0137950	MLOC_15398	78	41	1
OS01G0137950	MLOC_17993	73	40	1
OS01G0137950	MLOC_27655	54	43	1
OS01G0138300	MLOC_15398	43	74	1
OS01G0138300	MLOC_17993	42	75	1
OS01G0138300	MLOC_27655	31	83	1
OS01G0138400	MLOC_53204	60	68	1
OS01G0138600	MLOC_20865	31	19	1
OS01G0138800	MLOC_45689	39	71	1
OS01G0138800	MLOC_59110	74	72	1
OS01G0138900	MLOC_62491	80	79	1
OS01G0139000	MLOC_60331	65	42	0
OS01G0139600	MLOC_55287	69	72	1
OS01G0140100	MLOC_13816	81	82	1
OS01G0140400	MLOC_65427	61	63	1
OS01G0141000	MLOC_56567	58	61	1
OS01G0141000	MLOC_75135	59	59	1
OS01G0141000	MLOC_7940	62	63	1
OS01G0141100	MLOC_12988	74	85	1
OS01G0141300	MLOC_12988	39	71	1
OS01G0141600	MLOC_74815	64	43	1
OS01G0141700	MLOC_74814	51	87	1
OS01G0141900	MLOC_15155	70	71	1
OS01G0142100	MLOC_15154	66	58	1
OS01G0142200	MLOC_62979	87	87	1
OS01G0142500	MLOC_20277	45	76	1
OS01G0142500	MLOC_79329	25	49	1
OS01G0143300	MLOC_13042	35	66	1
OS01G0143400	MLOC_2263	21	33	0
OS01G0143700	MLOC_13042	28	52	1
OS01G0143800	MLOC_70533	51	65	1
OS01G0144000	MLOC_56808	45	90	1
OS01G0144100	MLOC_48344	87	87	1
OS01G0144200	MLOC_76498	65	93	1
OS01G0144300	MLOC_76497	23	58	1
OS01G0144340	MLOC_72312	26	85	0
OS01G0144600	MLOC_60672	75	74	1
OS01G0147200	MLOC_78275	55	82	1
OS01G0147300	MLOC_67607	78	52	1
OS01G0147400	MLOC_22265	51	34	1
OS01G0147600	MLOC_19255	19	35	1
OS01G0147700	MLOC_70826	73	73	1
OS01G0147800	MLOC_76035	54	42	1
OS01G0147900	MLOC_10457	85	85	1
OS01G0148000	MLOC_47469	72	39	1
OS01G0148000	MLOC_55623	65	40	1
OS01G0148000	MLOC_78810	0	0	1
OS01G0148050	MLOC_47469	26	17	1
OS01G0148050	MLOC_55623	11	8	1
OS01G0148050	MLOC_78810	17	92	1
OS01G0149350	MLOC_56904	70	70	1
OS01G0149350	MLOC_56905	70	70	1
OS01G0149350	MLOC_63244	61	61	1
OS01G0149500	MLOC_56904	73	44	1
OS01G0149500	MLOC_56905	73	44	1
OS01G0149500	MLOC_63244	60	36	1
OS01G0149900	MLOC_44283	26	43	1
OS01G0150000	MLOC_59964	91	91	1
OS01G0150100	MLOC_63954	75	32	1
OS01G0150200	MLOC_74183	24	69	1
OS01G0151200	MLOC_77209	64	85	1
OS01G0151400	MLOC_9817	78	34	1
OS01G0151500	MLOC_9817	49	57	1
OS01G0151600	MLOC_2515	43	91	1
OS01G0151700	MLOC_10155	85	85	1
OS01G0151900	MLOC_75017	78	78	1
OS01G0152100	MLOC_36928	12	18	0
OS01G0152100	MLOC_52947	19	20	0
OS01G0152100	MLOC_63543	19	21	0
OS01G0152200	MLOC_36928	12	15	0
OS01G0152200	MLOC_52947	17	17	0
OS01G0152200	MLOC_63543	21	21	0
OS01G0152500	MLOC_12853	14	23	0
OS01G0152500	MLOC_24086	7	21	0
OS01G0152500	MLOC_28203	5	27	0
OS01G0152500	MLOC_29950	5	19	0
OS01G0152500	MLOC_31442	4	15	0
OS01G0152500	MLOC_33448	5	27	0
OS01G0152500	MLOC_36718	7	25	0
OS01G0152500	MLOC_39950	7	21	0
OS01G0152500	MLOC_51625	6	15	0
OS01G0152500	MLOC_82016	11	17	0
OS01G0152600	MLOC_16613	59	59	0
OS01G0152600	MLOC_56473	58	58	0
OS01G0152600	MLOC_80515	57	57	0
OS01G0152700	MLOC_32780	0	0	0
OS01G0152800	MLOC_16613	61	61	0
OS01G0152800	MLOC_56473	61	61	0
OS01G0152800	MLOC_80515	59	59	0
OS01G0152950	MLOC_36928	15	20	0
OS01G0152950	MLOC_52947	20	20	0
OS01G0152950	MLOC_63543	22	23	0
OS01G0153000	MLOC_16613	58	57	0
OS01G0153000	MLOC_56473	59	58	0
OS01G0153000	MLOC_80515	57	57	0
OS01G0153100	MLOC_30769	27	95	1
OS01G0153200	MLOC_38685	34	30	0
OS01G0153250	MLOC_75215	56	73	1
OS01G0153300	MLOC_30769	28	100	1
OS01G0153400	MLOC_59356	93	77	1
OS01G0153500	MLOC_68163	65	59	0
OS01G0153600	MLOC_17292	32	36	0
OS01G0153600	MLOC_19858	32	42	0
OS01G0153800	MLOC_5241	46	69	1
OS01G0153800	MLOC_8155	60	67	1
OS01G0153800	MLOC_8261	59	56	1
OS01G0153900	MLOC_68163	52	49	0
OS01G0153950	MLOC_68163	47	22	0
OS01G0154100	MLOC_61701	31	44	1
OS01G0155400	MLOC_37291	50	81	1
OS01G0155500	MLOC_79028	67	69	1
OS01G0155600	MLOC_6958	48	72	1
OS01G0156000	MLOC_59912	23	47	1
OS01G0156000	MLOC_59913	34	66	1
OS01G0157200	MLOC_65080	16	33	1
OS01G0157700	MLOC_6096	49	25	1
OS01G0157800	MLOC_6097	88	88	1
OS01G0157900	MLOC_76560	79	82	1
OS01G0158100	MLOC_75882	48	77	0
OS01G0158200	MLOC_72860	84	86	1
OS01G0158400	MLOC_72861	69	69	1
OS01G0158900	MLOC_4879	76	77	1
OS01G0159000	MLOC_69457	69	48	1
OS01G0159200	MLOC_19759	78	56	1
OS01G0159600	MLOC_9854	72	62	1
OS01G0160100	MLOC_15108	73	93	1
OS01G0160100	MLOC_7202	77	87	1
OS01G0160700	MLOC_14131	48	61	1
OS01G0160700	MLOC_39225	24	67	1
OS01G0160700	MLOC_64475	63	63	1
OS01G0160800	MLOC_48429	29	46	1
OS01G0160800	MLOC_76914	47	46	1
OS01G0160800	MLOC_79065	21	40	1
OS01G0161000	MLOC_14131	42	35	1
OS01G0161000	MLOC_39225	10	19	1
OS01G0161000	MLOC_64475	64	42	1
OS01G0162300	MLOC_13945	58	30	1
OS01G0162300	MLOC_54567	57	34	1
OS01G0164075	MLOC_63765	58	57	1
OS01G0164300	MLOC_63765	58	62	1
OS01G0164400	MLOC_69206	81	40	0
OS01G0164500	MLOC_67808	75	75	1
OS01G0164600	MLOC_19725	78	80	1
OS01G0164700	MLOC_6167	5	3	0
OS01G0164800	MLOC_27148	0	0	1
OS01G0164800	MLOC_39610	51	46	1
OS01G0164800	MLOC_65090	0	0	1
OS01G0164900	MLOC_27148	45	26	1
OS01G0164900	MLOC_39610	0	0	1
OS01G0164900	MLOC_65090	51	19	1
OS01G0165000	MLOC_18164	9	15	0
OS01G0165000	MLOC_45501	24	63	0
OS01G0165000	MLOC_77405	36	25	0
OS01G0165100	MLOC_66684	80	79	1
OS01G0165200	MLOC_31603	38	44	1
OS01G0165600	MLOC_19397	65	66	1
OS01G0166100	MLOC_52874	55	71	1
OS01G0166400	MLOC_52876	47	34	1
OS01G0166700	MLOC_73505	39	66	1
OS01G0166800	MLOC_73503	74	85	1
OS01G0167400	MLOC_48429	41	61	1
OS01G0167400	MLOC_76914	56	52	1
OS01G0167400	MLOC_79065	31	58	1
OS01G0167500	MLOC_37324	91	91	1
OS01G0167700	MLOC_58722	56	53	1
OS01G0167750	MLOC_63798	79	80	1
OS01G0168100	MLOC_82052	72	69	1
OS01G0168300	MLOC_55984	57	94	1
OS01G0168400	MLOC_56912	54	92	1
OS01G0168500	MLOC_56913	89	89	1
OS01G0168600	MLOC_66431	85	51	1
OS01G0168800	MLOC_78066	67	67	1
OS01G0169500	MLOC_75306	34	78	1
OS01G0169900	MLOC_79691	38	56	1
OS01G0170000	MLOC_66151	45	25	0
OS01G0170300	MLOC_60091	80	84	1
OS01G0170500	MLOC_5172	78	77	1
OS01G0170600	MLOC_56579	10	10	1
OS01G0170800	MLOC_56581	73	50	1
OS01G0171000	MLOC_52843	37	79	1
OS01G0171100	MLOC_62941	53	44	1
OS01G0171100	MLOC_71302	55	47	1
OS01G0171800	MLOC_2111	32	77	1
OS01G0172000	MLOC_58314	51	18	1
OS01G0172100	MLOC_55828	67	50	1
OS01G0172200	MLOC_55827	52	69	1
OS01G0172300	MLOC_71823	64	63	1
OS01G0172400	MLOC_56293	89	89	0
OS01G0172600	MLOC_12821	82	57	1
OS01G0172800	MLOC_73618	57	59	1
OS01G0172900	MLOC_60466	24	32	1
OS01G0173000	MLOC_55210	56	56	0
OS01G0173600	MLOC_55083	55	51	1
OS01G0173900	MLOC_37050	69	85	1
OS01G0173900	MLOC_59941	76	78	1
OS01G0174000	MLOC_52112	38	71	1
OS01G0174300	MLOC_11787	80	92	1
OS01G0174500	MLOC_59514	65	61	1
OS01G0174700	MLOC_58036	73	74	1
OS01G0174900	MLOC_36621	69	69	0
OS01G0175000	MLOC_36620	81	74	1
OS01G0175100	MLOC_8162	30	85	0
OS01G0175400	MLOC_44524	58	33	1
OS01G0175600	MLOC_12009	83	83	1
OS01G0175600	MLOC_79741	82	83	1
OS01G0175700	MLOC_12009	84	84	1
OS01G0175700	MLOC_79741	84	85	1
OS01G0175850	MLOC_3075	63	57	1
OS01G0175850	MLOC_72804	62	34	1
OS01G0175850	MLOC_74485	66	36	1
OS01G0176000	MLOC_55515	67	68	1
OS01G0176000	MLOC_55516	71	72	1
OS01G0176100	MLOC_55515	67	68	1
OS01G0176100	MLOC_55516	71	72	1
OS01G0176200	MLOC_55515	71	71	1
OS01G0176200	MLOC_55516	72	72	1
OS01G0176300	MLOC_17509	72	76	1
OS01G0176400	MLOC_43501	0	0	0
OS01G0176500	MLOC_4563	71	71	1
OS01G0176700	MLOC_67102	20	39	1
OS01G0176800	MLOC_77922	69	69	1
OS01G0177100	MLOC_11792	37	74	0
OS01G0177200	MLOC_55822	68	86	1
OS01G0177400	MLOC_12855	57	56	1
OS01G0177900	MLOC_62487	92	31	0
OS01G0178000	MLOC_21451	88	88	1
OS01G0178100	MLOC_54481	64	60	1
OS01G0178200	MLOC_15286	65	87	1
OS01G0178400	MLOC_62399	81	34	1
OS01G0178500	MLOC_75842	55	60	0
OS01G0178700	MLOC_2875	69	72	1
OS01G0179000	MLOC_33456	37	81	1
OS01G0179000	MLOC_66007	78	77	1
OS01G0179000	MLOC_77427	78	77	1
OS01G0179200	MLOC_929	57	86	1
OS01G0179400	MLOC_73117	65	91	1
OS01G0179400	MLOC_931	0	0	1
OS01G0179500	MLOC_58792	47	61	1
OS01G0179600	MLOC_8631	19	71	1
OS01G0179700	MLOC_26110	92	92	0
OS01G0179800	MLOC_11893	77	66	1
OS01G0180000	MLOC_71964	72	70	1
OS01G0180300	MLOC_67455	65	65	1
OS01G0180600	MLOC_66329	49	80	1
OS01G0180700	MLOC_53280	59	57	0
OS01G0181000	MLOC_16566	7	46	1
OS01G0182100	MLOC_47334	25	29	0
OS01G0182200	MLOC_17525	33	74	1
OS01G0182300	MLOC_55847	59	70	1
OS01G0182400	MLOC_55846	51	55	1
OS01G0182600	MLOC_18291	55	87	1
OS01G0182600	MLOC_70638	34	92	1
OS01G0182832	MLOC_20822	61	35	1
OS01G0182900	MLOC_20822	11	3	1
OS01G0183000	MLOC_70434	78	81	1
OS01G0183100	MLOC_74402	58	82	1
OS01G0183100	MLOC_77089	8	61	1
OS01G0183300	MLOC_69192	60	58	1
OS01G0183400	MLOC_72641	52	33	1
OS01G0183500	MLOC_72640	84	31	1
OS01G0183600	MLOC_66080	74	71	0
OS01G0183633	MLOC_55490	72	68	0
OS01G0183800	MLOC_52785	65	66	1
OS01G0184000	MLOC_4818	69	60	1
OS01G0184100	MLOC_32229	78	82	1
OS01G0184100	MLOC_4817	37	83	1
OS01G0184100	MLOC_75844	47	85	1
OS01G0184800	MLOC_13916	87	70	0
OS01G0184900	MLOC_13915	23	52	1
OS01G0184900	MLOC_6673	84	82	1
OS01G0185200	MLOC_8121	92	92	1
OS01G0185300	MLOC_6426	90	90	1
OS01G0185400	MLOC_58430	67	59	0
OS01G0185900	MLOC_7939	45	57	1
OS01G0186000	MLOC_12079	40	39	0
OS01G0186200	MLOC_38074	65	85	1
OS01G0186700	MLOC_58158	62	90	1
OS01G0187400	MLOC_69866	85	87	1
OS01G0187600	MLOC_58639	70	32	1
OS01G0187900	MLOC_76271	75	75	1
OS01G0188200	MLOC_37161	35	14	1
OS01G0188400	MLOC_35785	74	95	1
OS01G0188900	MLOC_44524	65	28	1
OS01G0190000	MLOC_76230	51	70	1
OS01G0190300	MLOC_56819	51	52	1
OS01G0190400	MLOC_12451	85	80	1
OS01G0190500	MLOC_21003	30	42	1
OS01G0191100	MLOC_72338	80	55	1
OS01G0191150	MLOC_53163	64	28	1
OS01G0191300	MLOC_75795	80	81	1
OS01G0191500	MLOC_64514	80	80	1
OS01G0191700	MLOC_62788	87	94	1
OS01G0191900	MLOC_67874	44	43	1
OS01G0192000	MLOC_63525	81	83	1
OS01G0192300	MLOC_70777	59	60	1
OS01G0192600	MLOC_5429	91	91	0
OS01G0192900	MLOC_65908	71	82	0
OS01G0193500	MLOC_37363	54	68	0
OS01G0193600	MLOC_4816	42	92	1
OS01G0193900	MLOC_36343	56	54	1
OS01G0194000	MLOC_36342	66	70	0
OS01G0194200	MLOC_60199	77	62	1
OS01G0194300	MLOC_64922	52	75	1
OS01G0194600	MLOC_68767	49	80	1
OS01G0195000	MLOC_63058	56	54	0
OS01G0195200	MLOC_55329	87	33	1
OS01G0195300	MLOC_35628	34	58	1
OS01G0195400	MLOC_20389	61	75	1
OS01G0195500	MLOC_29119	85	85	1
OS01G0195801	MLOC_21524	38	25	1
OS01G0196300	MLOC_21524	43	42	1
OS01G0196500	MLOC_44484	82	85	1
OS01G0196600	MLOC_57752	54	84	1
OS01G0197100	MLOC_62829	80	80	1
OS01G0197400	MLOC_62145	42	43	1
OS01G0197450	MLOC_62148	40	70	1
OS01G0197700	MLOC_53923	69	66	1
