Gene stable ID	Arabidopsis lyrata gene stable ID	% identity	Arabidopsis lyrata % identity	Orthology confidence [0 low, 1 high]
OS01G0103100	fgenesh2_kg.6__1293__AT5G13400.1	63	61	0
OS01G0103600	fgenesh2_kg.1__2185__AT1G20050.1	56	56	1
OS01G0103700	fgenesh1_pg.C_scaffold_7001912	21	3	1
OS01G0103800	fgenesh2_kg.2__1955__AT1G76660.1	42	48	1
OS01G0103900	Al_scaffold_0006_666	47	35	0
OS01G0103900	Al_scaffold_0468_1	8	33	0
OS01G0103900	fgenesh1_pg.C_scaffold_6000622	8	31	0
OS01G0104000	fgenesh2_kg.1__4300__AT1G52310.1	60	60	1
OS01G0104100	fgenesh2_kg.5__1829__AT3G54360.1	51	52	1
OS01G0104400	Al_scaffold_0004_2480	40	32	0
OS01G0104400	fgenesh1_pm.C_scaffold_728000001	40	32	0
OS01G0104500	fgenesh1_pm.C_scaffold_6001462	40	38	1
OS01G0104500	fgenesh2_kg.3__366__AT3G04060.1	40	37	1
OS01G0104600	fgenesh2_kg.6__3000__AT4G10180.1	68	64	1
OS01G0104800	fgenesh2_kg.5__598__AT3G28230.1	11	42	1
OS01G0104800	scaffold_403264.1	33	32	1
OS01G0104900	scaffold_103093.1	47	49	1
OS01G0105700	fgenesh2_kg.1__2924__AT1G27660.1	28	24	1
OS01G0105800	fgenesh2_kg.3__3254__AT2G16710.1	66	66	0
OS01G0105900	scaffold_102191.1	64	69	1
OS01G0106200	fgenesh1_pm.C_scaffold_3002851	66	67	1
OS01G0106200	fgenesh2_kg.4__87__AT2G21600.1	68	69	1
OS01G0106200	fgenesh2_kg.7__127__AT4G39220.1	68	70	1
OS01G0106700	fgenesh1_pm.C_scaffold_5000964	44	28	1
OS01G0106800	fgenesh2_kg.6__2094__AT5G20570.1	79	84	0
OS01G0106900	scaffold_802953.1	84	83	1
OS01G0107700	fgenesh2_kg.7__2634__AT4G16745.1	47	48	1
OS01G0107900	Al_scaffold_0001_2825	45	44	1
OS01G0108000	Al_scaffold_0004_465	14	46	1
OS01G0108000	Al_scaffold_0006_2229	16	49	1
OS01G0108000	fgenesh1_pm.C_scaffold_6000661	40	42	1
OS01G0108000	fgenesh2_kg.6__2345__AT5G23490.1	42	44	1
OS01G0108000	scaffold_600871.1	6	34	1
OS01G0108200	fgenesh2_kg.1__2221__AT1G20380.1	68	68	0
OS01G0108200	fgenesh2_kg.2__1895__AT1G76140.1	70	64	0
OS01G0108200	scaffold_103488.1	17	68	0
OS01G0108400	fgenesh1_pm.C_scaffold_1000879	24	29	1
OS01G0108400	fgenesh2_kg.1__1131__AT1G10586.1	21	28	1
OS01G0108600	fgenesh1_pm.C_scaffold_1000879	23	28	1
OS01G0108600	fgenesh2_kg.1__1131__AT1G10586.1	23	29	1
OS01G0108800	Al_scaffold_0002_1700	41	18	1
OS01G0108800	fgenesh1_pm.C_scaffold_1002016	42	18	1
OS01G0109300	fgenesh2_kg.7__3386__AT5G40270.1	61	64	0
OS01G0109700	Al_scaffold_0001_2542	2	22	1
OS01G0109700	Al_scaffold_0001_2550	2	25	1
OS01G0109700	Al_scaffold_0001_2553	2	23	1
OS01G0110400	fgenesh2_kg.8__12__AT5G47720.2	72	72	0
OS01G0110400	fgenesh2_kg.8__692__AT5G48230.2	72	74	0
OS01G0110500	fgenesh2_kg.1__2756__AT1G26150.1	47	43	1
OS01G0110500	fgenesh2_kg.7__3554__AT5G38560.1	48	49	1
OS01G0110500	scaffold_201716.1	36	52	1
OS01G0110700	fgenesh1_pm.C_scaffold_1002149	71	70	1
OS01G0110700	fgenesh1_pm.C_scaffold_2000927	70	71	1
OS01G0110800	Al_scaffold_0005_382	43	41	1
OS01G0110800	fgenesh2_kg.1__1433__AT1G13230.1	42	46	1
OS01G0110800	fgenesh2_kg.2__1135__AT1G68780.1	44	46	1
OS01G0111100	fgenesh2_kg.2__1679__AT1G74070.1	50	47	0
OS01G0111200	fgenesh1_pm.C_scaffold_7001837	10	22	0
OS01G0111200	fgenesh2_kg.1__2760__AT1G26110.1	44	45	0
OS01G0111200	scaffold_800347.1	28	30	0
OS01G0111500	fgenesh2_kg.7__3192__AT5G37800.1	33	32	1
OS01G0111500	scaffold_201372.1	35	34	1
OS01G0111600	scaffold_102017.1	57	58	1
OS01G0112100	fgenesh2_kg.1__2064__AT1G18850.1	31	29	1
OS01G0112400	Al_scaffold_0627_1	17	21	0
OS01G0112400	fgenesh2_kg.2__2300__AT1G80760.1	25	24	0
OS01G0112400	scaffold_603394.1	25	24	0
OS01G0112500	fgenesh2_kg.3__291__AT3G03440.1	50	44	1
OS01G0112500	scaffold_601802.1	17	54	1
OS01G0116600	fgenesh1_pm.C_scaffold_6000823	52	44	1
OS01G0117900	fgenesh2_kg.3__2016__AT3G18200.1	57	60	1
OS01G0118000	fgenesh2_kg.5__13__AT2G01140.1	82	82	0
OS01G0118100	fgenesh2_kg.5__12__AT2G01130.1	71	52	1
OS01G0118100	scaffold_104485.1	74	50	1
OS01G0118300	fgenesh2_kg.1__1653__AT1G15110.1	75	30	1
OS01G0118400	fgenesh1_pm.C_scaffold_5000183	24	33	0
OS01G0118600	fgenesh1_pm.C_scaffold_5000183	23	30	0
OS01G0118700	fgenesh1_pg.C_scaffold_3001714	33	31	1
OS01G0118700	fgenesh2_kg.3__2013__AT3G18180.1	30	33	1
OS01G0119000	fgenesh1_pg.C_scaffold_3001714	33	30	1
OS01G0119000	fgenesh2_kg.3__2013__AT3G18180.1	32	33	1
OS01G0119100	fgenesh1_pg.C_scaffold_3001714	31	33	1
OS01G0119100	fgenesh2_kg.3__2013__AT3G18180.1	28	35	1
OS01G0120300	fgenesh2_kg.6__3223__AT4G04350.1	71	58	1
OS01G0120400	fgenesh2_kg.3__1821__AT3G16565.2	56	58	1
OS01G0120500	scaffold_102013.1	54	60	1
OS01G0120600	scaffold_101699.1	43	41	1
OS01G0120700	fgenesh1_pm.C_scaffold_5000003	37	42	1
OS01G0120800	Al_scaffold_0007_1820	17	47	0
OS01G0120800	fgenesh2_kg.6__3105__AT4G11420.1	64	64	0
OS01G0121000	fgenesh2_kg.1__2000__AT1G18290.1	30	34	1
OS01G0121100	fgenesh2_kg.2__894__AT1G66680.1	52	50	1
OS01G0121200	fgenesh1_pm.C_scaffold_7002875	38	40	1
OS01G0121300	fgenesh2_kg.2__1373__AT1G71110.1	41	40	1
OS01G0121500	fgenesh2_kg.1__1643__AT1G15010.1	37	31	0
OS01G0121500	scaffold_500026.1	37	29	0
OS01G0121600	fgenesh2_kg.1__1643__AT1G15010.1	30	31	0
OS01G0121600	scaffold_500026.1	33	32	0
OS01G0121700	fgenesh2_kg.5__36__AT2G01320.2	70	64	1
OS01G0121800	fgenesh2_kg.2__1369__AT1G71070.1	54	55	1
OS01G0125600	fgenesh1_pg.C_scaffold_7002915	15	23	1
OS01G0125600	scaffold_102608.1	30	35	1
OS01G0125700	scaffold_601798.1	59	61	1
OS01G0125800	scaffold_302129.1	67	67	1
OS01G0125800	scaffold_500028.1	64	61	1
OS01G0125900	fgenesh2_kg.3__3273__AT2G16920.1	47	46	1
OS01G0126200	fgenesh2_kg.1__2505__AT1G23010.1	53	54	0
OS01G0126200	fgenesh2_kg.2__1366__AT1G71040.1	51	53	0
OS01G0127300	fgenesh2_kg.1__3396__AT1G32500.1	39	39	1
OS01G0127450	fgenesh2_kg.2__1365__AT1G71030.1	31	29	1
OS01G0127500	fgenesh2_kg.1__2781__AT1G25460.1	49	54	0
OS01G0127500	fgenesh2_kg.2__1104__AT1G68540.1	57	60	0
OS01G0127900	Al_scaffold_0002_1331	55	53	1
OS01G0127900	fgenesh2_kg.3__195__AT3G02570.1	54	53	1
OS01G0128000	fgenesh1_pg.C_scaffold_2001171	35	44	1
OS01G0128100	fgenesh2_kg.2__1077__AT1G68290.1	61	61	1
OS01G0128300	scaffold_201506.1	50	50	0
OS01G0128400	Al_scaffold_0003_2626	28	33	0
OS01G0128400	Al_scaffold_0003_3773	21	42	0
OS01G0128400	Al_scaffold_0005_55	28	32	0
OS01G0128400	Al_scaffold_0008_1010	12	12	0
OS01G0128400	Al_scaffold_0092_2	31	33	0
OS01G0128400	fgenesh1_pg.C_scaffold_358000001	19	36	0
OS01G0128400	fgenesh1_pg.C_scaffold_4002019	18	35	0
OS01G0128400	fgenesh1_pg.C_scaffold_4002937	18	37	0
OS01G0128400	fgenesh1_pg.C_scaffold_5000112	27	25	0
OS01G0128400	fgenesh1_pg.C_scaffold_5000230	31	26	0
OS01G0128400	fgenesh1_pg.C_scaffold_8000778	25	40	0
OS01G0128400	fgenesh1_pm.C_scaffold_1001972	34	16	0
OS01G0128400	fgenesh2_kg.2__1337__AT1G70770.1	47	45	0
OS01G0128400	scaffold_200002.1	33	40	0
OS01G0128400	scaffold_301361.1	8	39	0
OS01G0128400	scaffold_302939.1	0	0	0
OS01G0128400	scaffold_401441.1	29	39	0
OS01G0128400	scaffold_603274.1	13	33	0
OS01G0128800	scaffold_302174.1	48	14	1
OS01G0129200	fgenesh2_kg.1__1449__AT1G13400.1	29	36	1
OS01G0129200	fgenesh2_kg.2__1097__AT1G68480.1	35	36	1
OS01G0129500	scaffold_202324.1	31	35	1
OS01G0130000	Al_scaffold_0001_4698	14	41	1
OS01G0130000	fgenesh2_kg.1__1782__AT1G16310.1	63	61	1
OS01G0130000	fgenesh2_kg.2__2250__AT1G79520.1	64	62	1
OS01G0130000	scaffold_104795.1	12	57	1
OS01G0130000	scaffold_703058.1	10	35	1
OS01G0130400	Al_scaffold_0005_990	53	66	1
OS01G0130400	fgenesh2_kg.5__964__AT3G45940.1	57	64	1
OS01G0130400	scaffold_201700.1	64	65	1
OS01G0131300	scaffold_101496.1	34	31	1
OS01G0131300	scaffold_500467.1	32	32	1
OS01G0131600	fgenesh2_kg.1__4007__AT1G49120.1	24	23	1
OS01G0132500	fgenesh2_kg.1__3969__AT1G48770.1	23	27	1
OS01G0132500	fgenesh2_kg.5__2508__AT3G60410.1	22	15	1
OS01G0132500	fgenesh2_kg.7__2567__AT4G17440.1	21	21	1
OS01G0132500	scaffold_201671.1	27	23	1
OS01G0132700	Al_scaffold_0007_3730	36	59	1
OS01G0132700	fgenesh1_pm.C_scaffold_1001400	57	56	1
OS01G0132700	fgenesh2_kg.1__799__AT1G07950.1	57	54	1
OS01G0132766	scaffold_201674.1	35	39	1
OS01G0132800	Al_scaffold_0007_3927	59	63	1
OS01G0132800	fgenesh2_kg.6__1598__AT5G16140.1	58	63	1
OS01G0133400	scaffold_601651.1	72	72	1
OS01G0133500	fgenesh1_pm.C_scaffold_1002173	45	31	1
OS01G0133600	fgenesh2_kg.2__1087__AT1G68380.1	37	40	0
OS01G0133600	fgenesh2_kg.2__1088__AT1G68390.1	38	39	0
OS01G0133600	scaffold_202319.1	36	36	0
OS01G0133700	fgenesh2_kg.2__1087__AT1G68380.1	47	27	0
OS01G0133700	fgenesh2_kg.2__1088__AT1G68390.1	43	24	0
OS01G0133700	scaffold_202319.1	44	23	0
OS01G0134500	fgenesh1_pm.C_scaffold_7002522	45	45	0
OS01G0134500	fgenesh2_kg.3__196__AT3G02580.1	69	67	0
OS01G0134500	fgenesh2_kg.3__197__AT3G02590.1	63	61	0
OS01G0134500	scaffold_300205.1	50	60	0
OS01G0134500	scaffold_703615.1	42	42	0
OS01G0134700	scaffold_202318.1	40	39	1
OS01G0135700	fgenesh2_kg.2__1629__AT1G73630.1	35	39	1
OS01G0135700	fgenesh2_kg.2__872__AT1G66400.1	38	44	1
OS01G0135700	fgenesh2_kg.7__3188__AT5G37770.1	38	44	1
OS01G0135700	scaffold_102028.1	39	41	1
OS01G0135700	scaffold_300311.1	33	40	1
OS01G0135700	scaffold_300313.1	23	31	1
OS01G0135700	scaffold_402230.1	33	41	1
OS01G0135700	scaffold_601800.1	33	40	1
OS01G0135800	fgenesh2_kg.4__926__AT2G29500.1	52	51	0
OS01G0135800	scaffold_200638.1	53	51	0
OS01G0136000	fgenesh2_kg.1__4436__AT1G53540.1	70	66	1
OS01G0136000	fgenesh2_kg.5__996__AT3G46230.1	69	66	1
OS01G0136000	fgenesh2_kg.8__1920__AT5G59720.1	72	67	1
OS01G0136000	scaffold_501522.1	69	66	1
OS01G0136100	fgenesh2_kg.1__4436__AT1G53540.1	69	66	1
OS01G0136100	fgenesh2_kg.5__996__AT3G46230.1	68	65	1
OS01G0136100	fgenesh2_kg.8__1920__AT5G59720.1	70	66	1
OS01G0136100	scaffold_501522.1	68	65	1
OS01G0136200	fgenesh2_kg.1__4436__AT1G53540.1	69	66	1
OS01G0136200	fgenesh2_kg.5__996__AT3G46230.1	69	66	1
OS01G0136200	fgenesh2_kg.8__1920__AT5G59720.1	71	66	1
OS01G0136200	scaffold_501522.1	69	66	1
OS01G0136400	fgenesh2_kg.7__3592__AT5G38210.1	38	37	0
OS01G0136400	scaffold_201470.1	33	30	0
OS01G0136800	fgenesh2_kg.7__3592__AT5G38210.1	36	35	0
OS01G0136800	scaffold_201470.1	32	29	0
OS01G0138600	fgenesh1_pm.C_scaffold_3001777	24	14	1
OS01G0138800	fgenesh2_kg.1__1648__AT1G15040.1	57	62	1
OS01G0138800	fgenesh2_kg.2__912__AT1G66860.1	61	62	1
OS01G0138800	fgenesh2_kg.7__3593__AT5G38200.1	63	63	1
OS01G0138900	fgenesh2_kg.3__2026__AT3G18270.1	54	59	0
OS01G0139000	fgenesh1_pm.C_scaffold_2000873	11	15	0
OS01G0139000	fgenesh2_kg.3__2025__AT3G18260.1	18	17	0
OS01G0139000	fgenesh2_kg.5__25__AT2G01240.1	5	7	0
OS01G0139200	fgenesh1_pg.C_scaffold_3001722	30	28	1
OS01G0139200	fgenesh1_pg.C_scaffold_5000010	34	32	1
OS01G0139200	fgenesh2_kg.6__1606__AT5G16220.1	19	27	1
OS01G0139600	fgenesh2_kg.3__198__AT3G02600.1	60	51	1
OS01G0140100	fgenesh2_kg.3__2052__AT3G18490.1	51	52	1
OS01G0140100	scaffold_102946.1	52	54	1
OS01G0140500	fgenesh2_kg.8__2660__AT5G67510.1	51	45	0
OS01G0140500	scaffold_502012.1	50	44	0
OS01G0140700	fgenesh2_kg.2__1141__AT1G68840.1	52	47	0
OS01G0140700	fgenesh2_kg.5__327__AT3G25730.1	49	47	0
OS01G0140700	scaffold_101479.1	50	46	0
OS01G0140700	scaffold_102941.1	50	45	0
OS01G0141000	fgenesh2_kg.2__1141__AT1G68840.1	47	49	0
OS01G0141000	fgenesh2_kg.5__327__AT3G25730.1	46	50	0
OS01G0141000	scaffold_101479.1	46	49	0
OS01G0141000	scaffold_102941.1	48	49	0
OS01G0141100	fgenesh1_pm.C_scaffold_1000660	79	60	0
OS01G0141100	fgenesh2_kg.4__813__AT2G27600.1	88	61	0
OS01G0141300	fgenesh1_pm.C_scaffold_1000660	58	70	0
OS01G0141300	fgenesh2_kg.4__813__AT2G27600.1	65	72	0
OS01G0141600	scaffold_600056.1	54	34	1
OS01G0141700	fgenesh2_kg.8__1817__AT5G58760.1	56	58	0
OS01G0142100	fgenesh2_kg.6__509__AT5G05740.1	56	55	1
OS01G0142200	fgenesh2_kg.7__657__AT4G34412.1	70	70	1
OS01G0142300	Al_scaffold_0006_88	72	61	1
OS01G0142500	fgenesh1_pg.C_scaffold_6000079	35	39	1
OS01G0142500	fgenesh2_kg.3__1170__AT3G11280.1	37	42	1
OS01G0142500	fgenesh2_kg.4__1876__AT2G38090.1	41	40	1
OS01G0142500	fgenesh2_kg.8__1829__AT5G58900.1	43	44	1
OS01G0142500	scaffold_600551.1	37	40	1
OS01G0143300	fgenesh1_pg.C_scaffold_4002100	26	40	0
OS01G0143300	fgenesh1_pg.C_scaffold_4002102	32	35	0
OS01G0143300	fgenesh1_pm.C_scaffold_5001626	42	23	0
OS01G0143300	fgenesh1_pm.C_scaffold_6000444	44	44	0
OS01G0143300	fgenesh1_pm.C_scaffold_772000001	42	44	0
OS01G0143300	fgenesh2_kg.6__117__AT5G02050.1	38	38	0
OS01G0143300	scaffold_402735.1	33	36	0
OS01G0143300	scaffold_402737.1	31	33	0
OS01G0143300	scaffold_402739.1	42	44	0
OS01G0143700	fgenesh1_pg.C_scaffold_4002100	22	34	0
OS01G0143700	fgenesh1_pg.C_scaffold_4002102	25	27	0
OS01G0143700	fgenesh1_pm.C_scaffold_5001626	36	20	0
OS01G0143700	fgenesh1_pm.C_scaffold_6000444	35	35	0
OS01G0143700	fgenesh1_pm.C_scaffold_772000001	35	36	0
OS01G0143700	fgenesh2_kg.6__117__AT5G02050.1	34	33	0
OS01G0143700	scaffold_402735.1	27	28	0
OS01G0143700	scaffold_402737.1	25	26	0
OS01G0143700	scaffold_402739.1	35	36	0
OS01G0143800	fgenesh1_pg.C_scaffold_4002100	20	32	0
OS01G0143800	fgenesh1_pg.C_scaffold_4002102	23	26	0
OS01G0143800	fgenesh1_pm.C_scaffold_5001626	29	17	0
OS01G0143800	fgenesh1_pm.C_scaffold_6000444	28	29	0
OS01G0143800	fgenesh1_pm.C_scaffold_772000001	29	32	0
OS01G0143800	fgenesh2_kg.6__117__AT5G02050.1	29	30	0
OS01G0143800	scaffold_402735.1	23	26	0
OS01G0143800	scaffold_402737.1	21	24	0
OS01G0143800	scaffold_402739.1	29	32	0
OS01G0144000	fgenesh1_pm.C_scaffold_8002140	50	65	1
OS01G0144000	fgenesh2_kg.5__1326__AT3G49720.1	49	64	1
OS01G0144100	fgenesh2_kg.4__2681__AT2G44920.2	74	65	1
OS01G0144200	fgenesh2_kg.4__1828__AT2G37680.1	73	74	0
OS01G0144340	scaffold_301419.1	63	62	1
OS01G0144600	fgenesh2_kg.8__1894__AT5G59460.1	39	46	1
OS01G0144700	fgenesh2_kg.1__2101__AT1G19240.1	44	39	1
OS01G0147200	fgenesh2_kg.1__3349__AT1G32130.1	58	61	1
OS01G0147200	fgenesh2_kg.7__2392__AT4G19000.1	35	46	1
OS01G0147400	Al_scaffold_0001_3836	17	27	0
OS01G0147400	Al_scaffold_0005_872	29	26	0
OS01G0147400	Al_scaffold_0005_955	18	41	0
OS01G0147400	Al_scaffold_0008_2432	19	9	0
OS01G0147400	fgenesh1_pg.C_scaffold_2002242	24	33	0
OS01G0147400	fgenesh1_pm.C_scaffold_3001040	34	12	0
OS01G0147400	fgenesh2_kg.1__1492__AT1G13790.1	34	11	0
OS01G0147400	fgenesh2_kg.1__1743__AT1G15910.1	40	15	0
OS01G0147400	fgenesh2_kg.5__1214__AT3G48670.1	31	12	0
OS01G0147400	scaffold_200085.1	13	39	0
OS01G0147400	scaffold_602855.1	25	45	0
OS01G0147700	Al_scaffold_0001_3836	7	33	0
OS01G0147700	Al_scaffold_0005_872	13	34	0
OS01G0147700	Al_scaffold_0005_955	7	48	0
OS01G0147700	Al_scaffold_0008_2432	20	28	0
OS01G0147700	fgenesh1_pg.C_scaffold_2002242	10	40	0
OS01G0147700	fgenesh1_pm.C_scaffold_3001040	31	33	0
OS01G0147700	fgenesh2_kg.1__1492__AT1G13790.1	31	30	0
OS01G0147700	fgenesh2_kg.1__1743__AT1G15910.1	35	38	0
OS01G0147700	fgenesh2_kg.5__1214__AT3G48670.1	30	33	0
OS01G0147700	scaffold_200085.1	5	47	0
OS01G0147700	scaffold_602855.1	9	47	0
OS01G0147800	fgenesh2_kg.3__1310__AT3G12540.1	34	31	1
OS01G0147800	fgenesh2_kg.4__2049__AT2G39690.2	34	38	1
OS01G0147900	scaffold_502667.1	80	80	0
OS01G0148000	fgenesh2_kg.6__143__AT5G02310.1	39	16	0
OS01G0148050	fgenesh2_kg.6__143__AT5G02310.1	36	17	0
OS01G0149900	fgenesh2_kg.6__149__AT5G02390.1	16	14	1
OS01G0150000	scaffold_502658.1	79	79	0
OS01G0150100	fgenesh1_pg.C_scaffold_4002077	48	22	1
OS01G0150200	scaffold_601061.1	75	75	0
OS01G0151100	fgenesh2_kg.3__1314__AT3G12570.2	56	62	0
OS01G0151100	fgenesh2_kg.4__1813__AT2G37570.1	59	65	0
OS01G0151100	scaffold_600170.1	53	58	0
OS01G0151200	scaffold_401332.1	64	64	0
OS01G0151400	fgenesh2_kg.7__1269__AT4G29210.1	54	18	1
OS01G0151500	fgenesh2_kg.7__1269__AT4G29210.1	49	42	1
OS01G0151600	Al_scaffold_0781_1	66	65	1
OS01G0151600	fgenesh2_kg.8__1949__AT5G59960.1	66	66	1
OS01G0151700	fgenesh2_kg.6__166__AT5G02540.1	64	62	0
OS01G0151700	scaffold_402398.1	64	64	0
OS01G0151900	scaffold_301764.1	40	41	1
OS01G0152700	fgenesh1_pm.C_scaffold_189000001	100	30	0
OS01G0152700	fgenesh2_kg.1__765__AT1G07790.1	100	28	0
OS01G0152700	fgenesh2_kg.5__969__AT3G45980.1	100	27	0
OS01G0152700	fgenesh2_kg.5__975__AT3G46030.1	100	28	0
OS01G0152700	fgenesh2_kg.6__2278__AT5G22880.1	98	28	0
OS01G0152700	fgenesh2_kg.8__1944__AT5G59910.1	95	27	0
OS01G0152700	scaffold_401326.1	100	27	0
OS01G0152700	scaffold_604315.1	100	62	0
OS01G0153200	fgenesh1_pm.C_scaffold_5000807	35	31	0
OS01G0153200	fgenesh1_pm.C_scaffold_8001599	35	31	0
OS01G0153200	fgenesh2_kg.1__764__AT1G07770.2	35	31	0
OS01G0153250	scaffold_802628.1	40	40	1
OS01G0153400	fgenesh2_kg.7__736__AT4G33760.1	71	41	1
OS01G0153800	fgenesh2_kg.6__601__AT5G06570.1	37	41	1
OS01G0155000	fgenesh2_kg.6__601__AT5G06570.1	46	47	1
OS01G0155300	fgenesh2_kg.4__840__AT2G28671.1	43	32	1
OS01G0155400	fgenesh1_pm.C_scaffold_4001500	41	27	1
OS01G0155400	scaffold_601365.1	47	31	1
OS01G0155500	fgenesh2_kg.8__1918__AT5G59700.1	40	45	1
OS01G0155500	scaffold_402681.1	33	38	1
OS01G0155500	scaffold_501529.1	40	45	1
OS01G0157700	scaffold_402345.1	30	20	1
OS01G0157800	Al_scaffold_0003_968	73	73	1
OS01G0157800	fgenesh2_kg.4__1611__AT2G35795.1	74	74	1
OS01G0157800	scaffold_600225.1	75	75	1
OS01G0157900	scaffold_402347.1	60	58	1
OS01G0158000	fgenesh2_kg.6__214__AT5G03070.1	58	59	1
OS01G0158100	scaffold_500734.1	28	35	1
OS01G0158200	fgenesh2_kg.3__841__AT3G07990.1	62	64	1
OS01G0158200	fgenesh2_kg.4__1610__AT2G35780.1	63	66	1
OS01G0158400	fgenesh2_kg.7__2319__AT4G19840.1	37	39	1
OS01G0158500	Al_scaffold_0003_1426	59	61	1
OS01G0158500	fgenesh1_pg.C_scaffold_6000583	37	53	1
OS01G0158500	fgenesh1_pm.C_scaffold_7001275	66	67	1
OS01G0158500	fgenesh2_kg.2__889__AT1G66530.1	66	67	1
OS01G0158500	fgenesh2_kg.3__2997__AT1G66530.1	66	67	1
OS01G0158500	scaffold_201252.1	65	63	1
OS01G0158500	scaffold_500176.1	33	52	1
OS01G0158500	scaffold_802213.1	14	53	1
OS01G0158900	fgenesh2_kg.6__500__AT5G05660.1	52	54	1
OS01G0159200	fgenesh2_kg.6__221__AT5G03170.1	54	41	1
OS01G0159300	fgenesh2_kg.4__1764__AT2G37150.1	25	23	1
OS01G0159400	fgenesh2_kg.5__1531__AT3G51840.1	75	75	1
OS01G0164075	fgenesh2_kg.6__477__AT5G05500.1	40	39	1
OS01G0164300	fgenesh2_kg.6__477__AT5G05500.1	37	39	1
OS01G0164400	fgenesh2_kg.8__1782__AT5G58470.2	70	32	1
OS01G0164500	scaffold_202097.1	47	54	1
OS01G0164500	scaffold_600515.1	54	59	1
OS01G0164600	fgenesh2_kg.4__989__AT2G30170.1	47	52	1
OS01G0164700	fgenesh2_kg.8__2322__AT5G63220.1	38	15	0
OS01G0164800	fgenesh2_kg.6__43__AT4G00020.1	40	9	0
OS01G0164900	fgenesh2_kg.6__43__AT4G00020.1	11	5	0
OS01G0165000	fgenesh2_kg.4__1905__AT2G38340.1	28	32	1
OS01G0165100	fgenesh2_kg.4__2153__AT2G40390.1	51	51	1
OS01G0165100	fgenesh2_kg.8__2433__AT5G64190.1	51	51	1
OS01G0165200	Al_scaffold_0006_39	30	33	1
OS01G0165200	fgenesh2_kg.3__1147__AT3G11000.1	15	21	1
OS01G0165600	fgenesh2_kg.1__674__AT1G06980.1	33	33	1
OS01G0165600	fgenesh2_kg.4__995__AT2G30230.1	35	33	1
OS01G0165800	fgenesh1_pg.C_scaffold_1003664	5	2	0
OS01G0165800	fgenesh1_pg.C_scaffold_7000779	1	2	0
OS01G0165800	scaffold_201546.1	9	6	0
OS01G0166100	Al_scaffold_0008_491	8	17	0
OS01G0166100	fgenesh2_kg.4__2156__AT2G40410.2	56	56	0
OS01G0166100	fgenesh2_kg.5__2050__AT3G56170.1	57	59	0
OS01G0166100	scaffold_601194.1	18	39	0
OS01G0166300	Al_scaffold_0008_491	9	13	0
OS01G0166300	fgenesh2_kg.4__2156__AT2G40410.2	50	33	0
OS01G0166300	fgenesh2_kg.5__2050__AT3G56170.1	52	36	0
OS01G0166300	scaffold_601194.1	23	32	0
OS01G0166400	fgenesh2_kg.7__526__AT4G35530.1	36	36	1
OS01G0166700	Al_scaffold_0005_2036	38	41	1
OS01G0166700	fgenesh2_kg.6__22__AT5G01800.1	30	30	1
OS01G0166800	fgenesh2_kg.4__2172__AT2G40550.1	51	52	1
OS01G0167500	fgenesh1_pm.C_scaffold_4000857	78	78	1
OS01G0167500	fgenesh2_kg.1__665__AT1G06890.1	79	79	1
OS01G0167750	scaffold_803464.1	42	40	1
OS01G0167900	fgenesh2_kg.4__1022__AT2G30500.1	27	22	1
