Gene stable ID	Trifolium pratense gene stable ID	% identity	Trifolium pratense % identity	Orthology confidence [0 low, 1 high]
OS01G0107700	Tp57577_TGAC_v2_gene12482	48.9091	51.3359	1
OS01G0107700	Tp57577_TGAC_v2_gene37635	49.6364	52.1989	1
OS01G0107900	Tp57577_TGAC_v2_gene1673	49.9203	49.2138	1
OS01G0108000	Tp57577_TGAC_v2_gene16637	33.5092	45.1957	1
OS01G0108000	Tp57577_TGAC_v2_gene22212	15.4354	51.5419	1
OS01G0108200	Tp57577_TGAC_v2_gene26375	68.4931	64.5995	1
OS01G0108200	Tp57577_TGAC_v2_gene38219	70.274	70.467	1
OS01G0108800	Tp57577_TGAC_v2_gene13569	50.2164	20.3866	1
OS01G0109300	Tp57577_TGAC_v2_gene13577	57.0564	62.7494	1
OS01G0109300	Tp57577_TGAC_v2_gene2315	62.9032	66.383	1
OS01G0109700	Tp57577_TGAC_v2_gene26701	1.88537	9.29368	0
OS01G0109700	Tp57577_TGAC_v2_gene26710	1.73454	27.0588	0
OS01G0109700	Tp57577_TGAC_v2_gene26724	3.01659	21.6216	0
OS01G0109700	Tp57577_TGAC_v2_gene26738	1.80995	6.83761	0
OS01G0109700	Tp57577_TGAC_v2_gene26744	2.71493	31.3043	0
OS01G0109700	Tp57577_TGAC_v2_gene27644	6.86275	45.5	0
OS01G0109700	Tp57577_TGAC_v2_gene29738	57.3152	53.8625	0
OS01G0109700	Tp57577_TGAC_v2_gene32588	51.6591	50.0731	0
OS01G0109700	Tp57577_TGAC_v2_gene36552	1.88537	28.0899	0
OS01G0109700	Tp57577_TGAC_v2_gene36553	1.80995	24.2424	0
OS01G0109700	Tp57577_TGAC_v2_gene36554	4.0724	29.1892	0
OS01G0109700	Tp57577_TGAC_v2_gene6893	4.29864	23.9496	0
OS01G0110400	Tp57577_TGAC_v2_gene15057	73.3173	66.886	0
OS01G0110400	Tp57577_TGAC_v2_gene5929	69.4712	62.419	0
OS01G0110700	Tp57577_TGAC_v2_gene10788	5.02415	67.5325	1
OS01G0110700	Tp57577_TGAC_v2_gene2687	64.1546	58.042	1
OS01G0110700	Tp57577_TGAC_v2_gene27416	16.8116	76.3158	1
OS01G0110700	Tp57577_TGAC_v2_gene30471	13.913	68.5714	1
OS01G0110700	Tp57577_TGAC_v2_gene39957	15.8454	89.6175	1
OS01G0110700	Tp57577_TGAC_v2_gene9800	44.058	69.5122	1
OS01G0110800	Tp57577_TGAC_v2_gene9822	45.1111	41.1765	1
OS01G0111100	Tp57577_TGAC_v2_gene26751	47.9592	40.0568	0
OS01G0111200	Tp57577_TGAC_v2_gene10981	7.58065	38.2114	1
OS01G0111200	Tp57577_TGAC_v2_gene2658	47.4194	47.8827	1
OS01G0111200	Tp57577_TGAC_v2_gene9815	24.8387	32.906	1
OS01G0111200	Tp57577_TGAC_v2_gene9824	10.9677	54.4	1
OS01G0111400	Tp57577_TGAC_v2_gene26769	48.6448	51.1244	1
OS01G0111500	Tp57577_TGAC_v2_gene3496	33.5593	32.0388	1
OS01G0111600	Tp57577_TGAC_v2_gene12915	55.7471	44.2922	1
OS01G0111700	Tp57577_TGAC_v2_gene3487	17.1429	23.2558	1
OS01G0112100	Tp57577_TGAC_v2_gene1695	30.0532	28.1796	1
OS01G0112100	Tp57577_TGAC_v2_gene5442	31.6489	29.6758	1
OS01G0112400	Tp57577_TGAC_v2_gene27283	17.4825	21.645	1
OS01G0112500	Tp57577_TGAC_v2_gene27146	63.2022	57.1066	1
OS01G0113200	Tp57577_TGAC_v2_gene14872	26.3819	17.0455	0
OS01G0113200	Tp57577_TGAC_v2_gene14873	24.6231	17.0732	0
OS01G0113200	Tp57577_TGAC_v2_gene14886	25.8794	16.4537	0
OS01G0113200	Tp57577_TGAC_v2_gene14887	16.8342	14.8889	0
OS01G0113200	Tp57577_TGAC_v2_gene14897	22.1106	18.0328	0
OS01G0113200	Tp57577_TGAC_v2_gene20020	23.3668	16.2021	0
OS01G0113200	Tp57577_TGAC_v2_gene20021	23.8693	16.7254	0
OS01G0113200	Tp57577_TGAC_v2_gene20038	24.1206	16.7832	0
OS01G0113200	Tp57577_TGAC_v2_gene20636	25.3769	15.5146	0
OS01G0113200	Tp57577_TGAC_v2_gene21217	14.3216	23.8494	0
OS01G0113200	Tp57577_TGAC_v2_gene29382	22.3618	15.2921	0
OS01G0113200	Tp57577_TGAC_v2_gene29528	26.3819	16.9628	0
OS01G0113200	Tp57577_TGAC_v2_gene33311	25.6281	17.0569	0
OS01G0113200	Tp57577_TGAC_v2_gene33330	26.1307	18.5053	0
OS01G0113200	Tp57577_TGAC_v2_gene33333	24.3719	18.5824	0
OS01G0113200	Tp57577_TGAC_v2_gene33346	24.1206	16.0535	0
OS01G0113200	Tp57577_TGAC_v2_gene36535	23.6181	15.5887	0
OS01G0113200	Tp57577_TGAC_v2_gene36868	17.3367	15.3675	0
OS01G0113200	Tp57577_TGAC_v2_gene36923	23.3668	24.933	0
OS01G0113300	Tp57577_TGAC_v2_gene10559	28.0728	41.573	0
OS01G0113300	Tp57577_TGAC_v2_gene14876	23.824	45.5072	0
OS01G0113300	Tp57577_TGAC_v2_gene14882	35.3566	31.7439	0
OS01G0113300	Tp57577_TGAC_v2_gene14884	27.0106	42.2803	0
OS01G0113300	Tp57577_TGAC_v2_gene14890	31.2595	31.9876	0
OS01G0113300	Tp57577_TGAC_v2_gene14893	30.349	32.5203	0
OS01G0113300	Tp57577_TGAC_v2_gene14895	27.1624	41.4352	0
OS01G0113300	Tp57577_TGAC_v2_gene20008	35.5083	30.9934	0
OS01G0113300	Tp57577_TGAC_v2_gene20010	35.5083	32.8191	0
OS01G0113300	Tp57577_TGAC_v2_gene20029	26.5554	41.5677	0
OS01G0113300	Tp57577_TGAC_v2_gene20032	27.4659	37.6299	0
OS01G0113300	Tp57577_TGAC_v2_gene20039	20.1821	35.8491	0
OS01G0113300	Tp57577_TGAC_v2_gene20637	28.8316	47.0297	0
OS01G0113300	Tp57577_TGAC_v2_gene20639	27.0106	42.381	0
OS01G0113300	Tp57577_TGAC_v2_gene24346	29.4385	27.6748	0
OS01G0113300	Tp57577_TGAC_v2_gene24377	29.1351	30.622	0
OS01G0113300	Tp57577_TGAC_v2_gene29383	4.40061	27.1028	0
OS01G0113300	Tp57577_TGAC_v2_gene29524	27.3141	42.4528	0
OS01G0113300	Tp57577_TGAC_v2_gene33299	28.3763	48.6979	0
OS01G0113300	Tp57577_TGAC_v2_gene33316	35.8118	32.5967	0
OS01G0113300	Tp57577_TGAC_v2_gene33340	35.0531	31.5574	0
OS01G0113300	Tp57577_TGAC_v2_gene35078	12.4431	36.9369	0
OS01G0113300	Tp57577_TGAC_v2_gene36852	29.8938	35.6239	0
OS01G0113300	Tp57577_TGAC_v2_gene36858	35.2049	32.9078	0
OS01G0113300	Tp57577_TGAC_v2_gene36873	34.1426	32.4207	0
OS01G0113300	Tp57577_TGAC_v2_gene36893	5.91806	34.5133	0
OS01G0113300	Tp57577_TGAC_v2_gene36931	35.5083	34.5133	0
OS01G0113300	Tp57577_TGAC_v2_gene36947	18.8164	24.7012	0
OS01G0113300	Tp57577_TGAC_v2_gene36960	35.0531	32.8592	0
OS01G0113300	Tp57577_TGAC_v2_gene36978	26.2519	28.5479	0
OS01G0113300	Tp57577_TGAC_v2_gene7318	19.4234	51.6129	0
OS01G0113400	Tp57577_TGAC_v2_gene10559	27.3264	41.573	0
OS01G0113400	Tp57577_TGAC_v2_gene14876	21.5657	42.3188	0
OS01G0113400	Tp57577_TGAC_v2_gene14882	34.712	32.0163	0
OS01G0113400	Tp57577_TGAC_v2_gene14884	26.2925	42.2803	0
OS01G0113400	Tp57577_TGAC_v2_gene14890	28.9513	30.4348	0
OS01G0113400	Tp57577_TGAC_v2_gene14893	29.099	32.0325	0
OS01G0113400	Tp57577_TGAC_v2_gene14895	25.4062	39.8148	0
OS01G0113400	Tp57577_TGAC_v2_gene20008	34.8597	31.2583	0
OS01G0113400	Tp57577_TGAC_v2_gene20010	33.8257	32.1178	0
OS01G0113400	Tp57577_TGAC_v2_gene20029	26.7356	42.9929	0
OS01G0113400	Tp57577_TGAC_v2_gene20032	27.3264	38.4615	0
OS01G0113400	Tp57577_TGAC_v2_gene20039	20.2363	36.9272	0
OS01G0113400	Tp57577_TGAC_v2_gene20637	27.1787	45.5446	0
OS01G0113400	Tp57577_TGAC_v2_gene20639	26.8833	43.3333	0
OS01G0113400	Tp57577_TGAC_v2_gene24346	28.3604	27.3894	0
OS01G0113400	Tp57577_TGAC_v2_gene24377	28.5081	30.7815	0
OS01G0113400	Tp57577_TGAC_v2_gene29383	4.72674	29.9065	0
OS01G0113400	Tp57577_TGAC_v2_gene29524	25.7016	41.0377	0
OS01G0113400	Tp57577_TGAC_v2_gene33299	27.6219	48.6979	0
OS01G0113400	Tp57577_TGAC_v2_gene33316	34.2688	32.0442	0
OS01G0113400	Tp57577_TGAC_v2_gene33340	33.8257	31.2842	0
OS01G0113400	Tp57577_TGAC_v2_gene35078	11.6691	35.5856	0
OS01G0113400	Tp57577_TGAC_v2_gene36852	28.3604	34.7197	0
OS01G0113400	Tp57577_TGAC_v2_gene36858	33.3826	32.0567	0
OS01G0113400	Tp57577_TGAC_v2_gene36873	32.2009	31.4121	0
OS01G0113400	Tp57577_TGAC_v2_gene36893	6.35155	38.0531	0
OS01G0113400	Tp57577_TGAC_v2_gene36931	33.2349	33.1858	0
OS01G0113400	Tp57577_TGAC_v2_gene36947	16.9867	22.9084	0
OS01G0113400	Tp57577_TGAC_v2_gene36960	33.2349	32.0057	0
OS01G0113400	Tp57577_TGAC_v2_gene36978	23.3383	26.0726	0
OS01G0113400	Tp57577_TGAC_v2_gene7318	16.9867	46.371	0
OS01G0113500	Tp57577_TGAC_v2_gene14872	33.6478	34.7403	0
OS01G0113500	Tp57577_TGAC_v2_gene14873	32.2327	35.7143	0
OS01G0113500	Tp57577_TGAC_v2_gene14886	33.1761	33.7061	0
OS01G0113500	Tp57577_TGAC_v2_gene14887	26.7296	37.7778	0
OS01G0113500	Tp57577_TGAC_v2_gene14897	30.1887	39.3443	0
OS01G0113500	Tp57577_TGAC_v2_gene20020	30.1887	33.4495	0
OS01G0113500	Tp57577_TGAC_v2_gene20021	32.7044	36.6197	0
OS01G0113500	Tp57577_TGAC_v2_gene20038	32.2327	35.8392	0
OS01G0113500	Tp57577_TGAC_v2_gene20636	32.8616	32.1045	0
OS01G0113500	Tp57577_TGAC_v2_gene21217	16.9811	45.1883	0
OS01G0113500	Tp57577_TGAC_v2_gene29382	31.9182	34.8797	0
OS01G0113500	Tp57577_TGAC_v2_gene29528	33.805	34.7334	0
OS01G0113500	Tp57577_TGAC_v2_gene33311	32.2327	34.2809	0
OS01G0113500	Tp57577_TGAC_v2_gene33330	34.2767	38.79	0
OS01G0113500	Tp57577_TGAC_v2_gene33333	30.8176	37.5479	0
OS01G0113500	Tp57577_TGAC_v2_gene33346	32.7044	34.7826	0
OS01G0113500	Tp57577_TGAC_v2_gene36535	31.9182	33.665	0
OS01G0113500	Tp57577_TGAC_v2_gene36868	28.4591	40.3118	0
OS01G0113500	Tp57577_TGAC_v2_gene36923	24.6855	42.0912	0
OS01G0113700	Tp57577_TGAC_v2_gene10559	26.4234	40.6742	0
OS01G0113700	Tp57577_TGAC_v2_gene14876	21.7518	43.1884	0
OS01G0113700	Tp57577_TGAC_v2_gene14882	34.5985	32.2888	0
OS01G0113700	Tp57577_TGAC_v2_gene14884	25.6934	41.8052	0
OS01G0113700	Tp57577_TGAC_v2_gene14890	28.4672	30.2795	0
OS01G0113700	Tp57577_TGAC_v2_gene14893	28.1752	31.3821	0
OS01G0113700	Tp57577_TGAC_v2_gene14895	25.9854	41.2037	0
OS01G0113700	Tp57577_TGAC_v2_gene20008	35.1825	31.9205	0
OS01G0113700	Tp57577_TGAC_v2_gene20010	34.1606	32.8191	0
OS01G0113700	Tp57577_TGAC_v2_gene20029	27.0073	43.943	0
OS01G0113700	Tp57577_TGAC_v2_gene20032	26.2774	37.422	0
OS01G0113700	Tp57577_TGAC_v2_gene20039	19.854	36.6577	0
OS01G0113700	Tp57577_TGAC_v2_gene20637	27.8832	47.2772	0
OS01G0113700	Tp57577_TGAC_v2_gene20639	26.2774	42.8571	0
OS01G0113700	Tp57577_TGAC_v2_gene24346	28.3212	27.6748	0
OS01G0113700	Tp57577_TGAC_v2_gene24377	28.4672	31.1005	0
OS01G0113700	Tp57577_TGAC_v2_gene29383	4.81752	30.8411	0
OS01G0113700	Tp57577_TGAC_v2_gene29524	26.2774	42.4528	0
OS01G0113700	Tp57577_TGAC_v2_gene33299	27.7372	49.4792	0
OS01G0113700	Tp57577_TGAC_v2_gene33316	33.4307	31.6298	0
OS01G0113700	Tp57577_TGAC_v2_gene33340	32.8467	30.7377	0
OS01G0113700	Tp57577_TGAC_v2_gene35078	11.9708	36.9369	0
OS01G0113700	Tp57577_TGAC_v2_gene36852	28.6131	35.443	0
OS01G0113700	Tp57577_TGAC_v2_gene36858	32.7007	31.7731	0
OS01G0113700	Tp57577_TGAC_v2_gene36873	32.2628	31.8444	0
OS01G0113700	Tp57577_TGAC_v2_gene36893	6.42336	38.9381	0
OS01G0113700	Tp57577_TGAC_v2_gene36931	33.5766	33.9233	0
OS01G0113700	Tp57577_TGAC_v2_gene36947	17.2263	23.506	0
OS01G0113700	Tp57577_TGAC_v2_gene36960	33.7226	32.8592	0
OS01G0113700	Tp57577_TGAC_v2_gene36978	23.3577	26.4026	0
OS01G0113700	Tp57577_TGAC_v2_gene7318	16.6423	45.9677	0
OS01G0113800	Tp57577_TGAC_v2_gene14872	33.1746	33.9286	0
OS01G0113800	Tp57577_TGAC_v2_gene14873	32.5397	35.7143	0
OS01G0113800	Tp57577_TGAC_v2_gene14886	33.3333	33.5463	0
OS01G0113800	Tp57577_TGAC_v2_gene14887	26.8254	37.5556	0
OS01G0113800	Tp57577_TGAC_v2_gene14897	29.8413	38.5246	0
OS01G0113800	Tp57577_TGAC_v2_gene20020	30.4762	33.4495	0
OS01G0113800	Tp57577_TGAC_v2_gene20021	32.2222	35.7394	0
OS01G0113800	Tp57577_TGAC_v2_gene20038	32.2222	35.4895	0
OS01G0113800	Tp57577_TGAC_v2_gene20636	32.6984	31.6436	0
OS01G0113800	Tp57577_TGAC_v2_gene21217	16.3492	43.0962	0
OS01G0113800	Tp57577_TGAC_v2_gene29382	31.5873	34.1924	0
OS01G0113800	Tp57577_TGAC_v2_gene29528	33.9683	34.5719	0
OS01G0113800	Tp57577_TGAC_v2_gene33311	33.4921	35.2843	0
OS01G0113800	Tp57577_TGAC_v2_gene33330	35.2381	39.5018	0
OS01G0113800	Tp57577_TGAC_v2_gene33333	29.3651	35.4406	0
OS01G0113800	Tp57577_TGAC_v2_gene33346	31.9048	33.612	0
OS01G0113800	Tp57577_TGAC_v2_gene36535	31.4286	32.8358	0
OS01G0113800	Tp57577_TGAC_v2_gene36868	28.8889	40.5345	0
OS01G0113800	Tp57577_TGAC_v2_gene36923	24.9206	42.0912	0
OS01G0114100	Tp57577_TGAC_v2_gene10559	28.8316	42.6966	0
OS01G0114100	Tp57577_TGAC_v2_gene14876	22.3065	42.6087	0
OS01G0114100	Tp57577_TGAC_v2_gene14882	34.9014	31.3351	0
OS01G0114100	Tp57577_TGAC_v2_gene14884	26.5554	41.5677	0
OS01G0114100	Tp57577_TGAC_v2_gene14890	30.5008	31.2112	0
OS01G0114100	Tp57577_TGAC_v2_gene14893	30.0455	32.1951	0
OS01G0114100	Tp57577_TGAC_v2_gene14895	26.4036	40.2778	0
OS01G0114100	Tp57577_TGAC_v2_gene20008	36.2671	31.6556	0
OS01G0114100	Tp57577_TGAC_v2_gene20010	35.0531	32.3983	0
OS01G0114100	Tp57577_TGAC_v2_gene20029	27.6176	43.2304	0
OS01G0114100	Tp57577_TGAC_v2_gene20032	28.3763	38.8773	0
OS01G0114100	Tp57577_TGAC_v2_gene20039	21.3961	38.0054	0
OS01G0114100	Tp57577_TGAC_v2_gene20637	28.0728	45.7921	0
OS01G0114100	Tp57577_TGAC_v2_gene20639	29.1351	45.7143	0
OS01G0114100	Tp57577_TGAC_v2_gene24346	29.742	27.9601	0
OS01G0114100	Tp57577_TGAC_v2_gene24377	30.0455	31.5789	0
OS01G0114100	Tp57577_TGAC_v2_gene29383	5.00759	30.8411	0
OS01G0114100	Tp57577_TGAC_v2_gene29524	27.1624	42.217	0
OS01G0114100	Tp57577_TGAC_v2_gene33299	28.5281	48.9583	0
OS01G0114100	Tp57577_TGAC_v2_gene33316	34.4461	31.3536	0
OS01G0114100	Tp57577_TGAC_v2_gene33340	34.5979	31.1475	0
OS01G0114100	Tp57577_TGAC_v2_gene35078	12.8983	38.2883	0
OS01G0114100	Tp57577_TGAC_v2_gene36852	28.5281	33.9964	0
OS01G0114100	Tp57577_TGAC_v2_gene36858	34.2944	32.0567	0
OS01G0114100	Tp57577_TGAC_v2_gene36873	34.1426	32.4207	0
OS01G0114100	Tp57577_TGAC_v2_gene36893	6.67678	38.9381	0
OS01G0114100	Tp57577_TGAC_v2_gene36931	34.4461	33.4808	0
OS01G0114100	Tp57577_TGAC_v2_gene36947	18.0577	23.7052	0
OS01G0114100	Tp57577_TGAC_v2_gene36960	34.5979	32.4324	0
OS01G0114100	Tp57577_TGAC_v2_gene36978	25.3414	27.5578	0
OS01G0114100	Tp57577_TGAC_v2_gene7318	18.2094	48.3871	0
OS01G0114400	Tp57577_TGAC_v2_gene10559	48.5207	36.8539	0
OS01G0114400	Tp57577_TGAC_v2_gene14876	38.4615	37.6812	0
OS01G0114400	Tp57577_TGAC_v2_gene14882	47.6331	21.9346	0
OS01G0114400	Tp57577_TGAC_v2_gene14884	47.6331	38.2423	0
OS01G0114400	Tp57577_TGAC_v2_gene14890	41.4201	21.7391	0
OS01G0114400	Tp57577_TGAC_v2_gene14893	41.1243	22.6016	0
OS01G0114400	Tp57577_TGAC_v2_gene14895	46.4497	36.3426	0
OS01G0114400	Tp57577_TGAC_v2_gene20008	47.929	21.457	0
OS01G0114400	Tp57577_TGAC_v2_gene20010	47.0414	22.3001	0
OS01G0114400	Tp57577_TGAC_v2_gene20029	48.2249	38.7173	0
OS01G0114400	Tp57577_TGAC_v2_gene20032	47.929	33.6798	0
OS01G0114400	Tp57577_TGAC_v2_gene20039	34.6154	31.5364	0
OS01G0114400	Tp57577_TGAC_v2_gene20637	49.7041	41.5842	0
OS01G0114400	Tp57577_TGAC_v2_gene20639	48.2249	38.8095	0
OS01G0114400	Tp57577_TGAC_v2_gene24346	43.4911	20.97	0
OS01G0114400	Tp57577_TGAC_v2_gene24377	43.787	23.6045	0
OS01G0114400	Tp57577_TGAC_v2_gene29383	8.57988	27.1028	0
OS01G0114400	Tp57577_TGAC_v2_gene29524	48.5207	38.6792	0
OS01G0114400	Tp57577_TGAC_v2_gene33299	49.1124	43.2292	0
OS01G0114400	Tp57577_TGAC_v2_gene33316	47.6331	22.2376	0
OS01G0114400	Tp57577_TGAC_v2_gene33340	47.0414	21.7213	0
OS01G0114400	Tp57577_TGAC_v2_gene35078	23.3728	35.5856	0
OS01G0114400	Tp57577_TGAC_v2_gene36852	43.1953	26.4014	0
OS01G0114400	Tp57577_TGAC_v2_gene36858	48.2249	23.1206	0
OS01G0114400	Tp57577_TGAC_v2_gene36873	47.6331	23.1988	0
OS01G0114400	Tp57577_TGAC_v2_gene36893	13.0178	38.9381	0
OS01G0114400	Tp57577_TGAC_v2_gene36931	49.4083	24.6313	0
OS01G0114400	Tp57577_TGAC_v2_gene36947	19.5266	13.1474	0
OS01G0114400	Tp57577_TGAC_v2_gene36960	48.8166	23.4708	0
OS01G0114400	Tp57577_TGAC_v2_gene36978	29.2899	16.3366	0
OS01G0114400	Tp57577_TGAC_v2_gene7318	29.8817	40.7258	0
OS01G0114600	Tp57577_TGAC_v2_gene10559	26.7626	41.7978	0
OS01G0114600	Tp57577_TGAC_v2_gene14876	21.295	42.8986	0
OS01G0114600	Tp57577_TGAC_v2_gene14882	33.5252	31.7439	0
OS01G0114600	Tp57577_TGAC_v2_gene14884	25.7554	42.5178	0
OS01G0114600	Tp57577_TGAC_v2_gene14890	29.2086	31.5217	0
OS01G0114600	Tp57577_TGAC_v2_gene14893	27.9137	31.5447	0
OS01G0114600	Tp57577_TGAC_v2_gene14895	25.3237	40.7407	0
OS01G0114600	Tp57577_TGAC_v2_gene20008	34.2446	31.5232	0
OS01G0114600	Tp57577_TGAC_v2_gene20010	34.1007	33.2398	0
OS01G0114600	Tp57577_TGAC_v2_gene20029	26.6187	43.943	0
OS01G0114600	Tp57577_TGAC_v2_gene20032	27.1942	39.2931	0
OS01G0114600	Tp57577_TGAC_v2_gene20039	21.0072	39.3531	0
OS01G0114600	Tp57577_TGAC_v2_gene20637	27.0504	46.5347	0
OS01G0114600	Tp57577_TGAC_v2_gene20639	26.9065	44.5238	0
OS01G0114600	Tp57577_TGAC_v2_gene24346	27.0504	26.8188	0
OS01G0114600	Tp57577_TGAC_v2_gene24377	27.7698	30.7815	0
OS01G0114600	Tp57577_TGAC_v2_gene29383	4.7482	30.8411	0
OS01G0114600	Tp57577_TGAC_v2_gene29524	25.6115	41.9811	0
OS01G0114600	Tp57577_TGAC_v2_gene33299	26.6187	48.1771	0
OS01G0114600	Tp57577_TGAC_v2_gene33316	32.9496	31.6298	0
OS01G0114600	Tp57577_TGAC_v2_gene33340	32.3741	30.7377	0
OS01G0114600	Tp57577_TGAC_v2_gene35078	12.518	39.1892	0
OS01G0114600	Tp57577_TGAC_v2_gene36852	27.482	34.5389	0
OS01G0114600	Tp57577_TGAC_v2_gene36858	32.0863	31.6312	0
OS01G0114600	Tp57577_TGAC_v2_gene36873	31.6547	31.7003	0
OS01G0114600	Tp57577_TGAC_v2_gene36893	6.47482	39.823	0
OS01G0114600	Tp57577_TGAC_v2_gene36931	32.8058	33.6283	0
OS01G0114600	Tp57577_TGAC_v2_gene36947	16.5468	22.9084	0
OS01G0114600	Tp57577_TGAC_v2_gene36960	32.2302	31.8634	0
OS01G0114600	Tp57577_TGAC_v2_gene36978	22.5899	25.9076	0
OS01G0114600	Tp57577_TGAC_v2_gene7318	17.1223	47.9839	0
OS01G0114700	Tp57577_TGAC_v2_gene14872	35.7257	36.3636	0
OS01G0114700	Tp57577_TGAC_v2_gene14873	34.6092	37.8049	0
OS01G0114700	Tp57577_TGAC_v2_gene14886	35.5662	35.623	0
OS01G0114700	Tp57577_TGAC_v2_gene14887	29.3461	40.8889	0
OS01G0114700	Tp57577_TGAC_v2_gene14897	31.8979	40.9836	0
OS01G0114700	Tp57577_TGAC_v2_gene20020	32.3764	35.3659	0
OS01G0114700	Tp57577_TGAC_v2_gene20021	33.6523	37.1479	0
OS01G0114700	Tp57577_TGAC_v2_gene20038	33.8118	37.0629	0
OS01G0114700	Tp57577_TGAC_v2_gene20636	33.6523	32.4117	0
OS01G0114700	Tp57577_TGAC_v2_gene21217	16.7464	43.9331	0
OS01G0114700	Tp57577_TGAC_v2_gene29382	32.2169	34.7079	0
OS01G0114700	Tp57577_TGAC_v2_gene29528	36.5231	36.9952	0
