Gene stable ID	Glycine max gene stable ID	% identity	Glycine max % identity	Orthology confidence [0 low, 1 high]
OS01G0104600	GLYMA01G44200	70	67	1
OS01G0104600	GLYMA11G01680	70	67	1
OS01G0104600	GLYMA13G07978	9	59	1
OS01G0104600	GLYMA14G28021	53	58	1
OS01G0104800	GLYMA02G15490	36	33	1
OS01G0104800	GLYMA07G33010	36	35	1
OS01G0104900	GLYMA06G03290	45	46	1
OS01G0104900	GLYMA14G07820	43	45	1
OS01G0105700	GLYMA02G05971	19	20	1
OS01G0105700	GLYMA16G24661	20	20	1
OS01G0105800	GLYMA03G35280	70	72	0
OS01G0105800	GLYMA19G37930	68	70	0
OS01G0105900	GLYMA04G03290	65	70	1
OS01G0105900	GLYMA09G29015	35	53	1
OS01G0105900	GLYMA14G07980	64	60	1
OS01G0105900	GLYMA17G37040	65	66	1
OS01G0106200	GLYMA04G01360	67	67	1
OS01G0106200	GLYMA04G01370	67	68	1
OS01G0106200	GLYMA06G01400	67	68	1
OS01G0106200	GLYMA06G01410	67	66	1
OS01G0106300	GLYMA01G37810	43	43	1
OS01G0106300	GLYMA01G37820	49	51	1
OS01G0106300	GLYMA01G37840	47	49	1
OS01G0106300	GLYMA01G37850	49	51	1
OS01G0106300	GLYMA08G41915	20	48	1
OS01G0106300	GLYMA11G07490	50	42	1
OS01G0106300	GLYMA11G07496	48	50	1
OS01G0106300	GLYMA11G07503	11	40	1
OS01G0106300	GLYMA11G07510	44	44	1
OS01G0106300	GLYMA11G07516	43	43	1
OS01G0106300	GLYMA1454S00200	44	44	1
OS01G0106300	GLYMA20G03380	16	45	1
OS01G0106400	GLYMA01G37810	46	46	1
OS01G0106400	GLYMA01G37820	54	55	1
OS01G0106400	GLYMA01G37840	52	53	1
OS01G0106400	GLYMA01G37850	54	55	1
OS01G0106400	GLYMA08G41915	23	54	1
OS01G0106400	GLYMA11G07490	54	45	1
OS01G0106400	GLYMA11G07496	52	53	1
OS01G0106400	GLYMA11G07503	11	43	1
OS01G0106400	GLYMA11G07510	46	46	1
OS01G0106400	GLYMA11G07516	47	47	1
OS01G0106400	GLYMA1454S00200	47	46	1
OS01G0106400	GLYMA20G03380	17	47	1
OS01G0106700	GLYMA04G35511	43	39	1
OS01G0106800	GLYMA01G13960	31	48	0
OS01G0106800	GLYMA06G45990	75	82	0
OS01G0106800	GLYMA12G10750	75	82	0
OS01G0106800	GLYMA12G32060	80	86	0
OS01G0106800	GLYMA13G38420	79	68	0
OS01G0106800	GLYMA14G18432	33	60	0
OS01G0106800	GLYMA18G19011	43	59	0
OS01G0106900	GLYMA05G02190	83	82	1
OS01G0106900	GLYMA16G10880	72	73	1
OS01G0106900	GLYMA17G09740	82	81	1
OS01G0107700	GLYMA17G15256	49	51	1
OS01G0107900	GLYMA04G35330	48	48	1
OS01G0107900	GLYMA06G19460	47	47	1
OS01G0108000	GLYMA10G31876	47	47	1
OS01G0108000	GLYMA20G35770	47	48	1
OS01G0108200	GLYMA04G02180	72	72	0
OS01G0108200	GLYMA14G39910	72	71	0
OS01G0108400	GLYMA04G35380	24	29	0
OS01G0108400	GLYMA05G02110	25	30	0
OS01G0108400	GLYMA06G19490	24	29	0
OS01G0108400	GLYMA17G09810	21	30	0
OS01G0108600	GLYMA04G35380	33	38	0
OS01G0108600	GLYMA05G02110	31	37	0
OS01G0108600	GLYMA06G19490	32	37	0
OS01G0108600	GLYMA17G09810	27	38	0
OS01G0108800	GLYMA01G03790	42	17	1
OS01G0108800	GLYMA02G03930	42	17	1
OS01G0109300	GLYMA02G03920	58	61	0
OS01G0109300	GLYMA13G23830	63	62	0
OS01G0109300	GLYMA19G01240	62	62	0
OS01G0109700	GLYMA08G40420	16	33	1
OS01G0109700	GLYMA18G17214	3	32	1
OS01G0110100	GLYMA01G22990	61	62	1
OS01G0110100	GLYMA02G14440	61	62	1
OS01G0110400	GLYMA02G47860	73	74	0
OS01G0110400	GLYMA07G39870	72	73	0
OS01G0110400	GLYMA14G00760	73	74	0
OS01G0110400	GLYMA17G00910	72	73	0
OS01G0110500	GLYMA01G23180	47	45	1
OS01G0110500	GLYMA02G14310	41	45	1
OS01G0110500	GLYMA16G19520	40	53	1
OS01G0110500	GLYMA18G51520	48	44	1
OS01G0110700	GLYMA01G22840	65	64	1
OS01G0110700	GLYMA02G14495	38	66	1
OS01G0110700	GLYMA02G14521	33	59	1
OS01G0110700	GLYMA02G14545	33	31	1
OS01G0110700	GLYMA02G14595	28	52	1
OS01G0110700	GLYMA02G14630	20	39	1
OS01G0110700	GLYMA02G14660	22	64	1
OS01G0110700	GLYMA02G14740	22	48	1
OS01G0110700	GLYMA02G14790	24	45	1
OS01G0110700	GLYMA10G34970	70	70	1
OS01G0110700	GLYMA20G32590	12	74	1
OS01G0110800	GLYMA01G22730	47	45	1
OS01G0110800	GLYMA02G11350	47	46	1
OS01G0110800	GLYMA05G07800	44	42	1
OS01G0110800	GLYMA10G34950	46	43	1
OS01G0110800	GLYMA17G13210	44	41	1
OS01G0110800	GLYMA20G32610	47	44	1
OS01G0111100	GLYMA05G07830	51	39	0
OS01G0111100	GLYMA17G13180	50	42	0
OS01G0111200	GLYMA01G22680	45	46	0
OS01G0111200	GLYMA01G35640	31	34	0
OS01G0111200	GLYMA02G11300	46	46	0
OS01G0111200	GLYMA02G11320	46	47	0
OS01G0111200	GLYMA04G17050	45	45	0
OS01G0111200	GLYMA09G35231	29	30	0
OS01G0111200	GLYMA19G06310	5	65	0
OS01G0111400	GLYMA05G07875	50	51	1
OS01G0111400	GLYMA17G13141	50	50	1
OS01G0111500	GLYMA02G41370	32	29	1
OS01G0111500	GLYMA11G33840	36	31	1
OS01G0111500	GLYMA14G07590	33	33	1
OS01G0111500	GLYMA18G04420	36	31	1
OS01G0111600	GLYMA05G34030	56	51	1
OS01G0111600	GLYMA08G05651	29	51	1
OS01G0111700	GLYMA02G41420	27	35	1
OS01G0111700	GLYMA14G07540	21	33	1
OS01G0112100	GLYMA05G01310	34	32	1
OS01G0112100	GLYMA17G10580	33	31	1
OS01G0112500	GLYMA02G41380	50	48	1
OS01G0112500	GLYMA11G33870	53	48	1
OS01G0112500	GLYMA14G07570	51	49	1
OS01G0112500	GLYMA18G04410	54	50	1
OS01G0113200	GLYMA02G11160	26	17	0
OS01G0113200	GLYMA02G31764	13	20	0
OS01G0113200	GLYMA04G13054	14	15	0
OS01G0113200	GLYMA13G09690	26	17	0
OS01G0113200	GLYMA13G09768	26	21	0
OS01G0113200	GLYMA13G09840	26	17	0
OS01G0113200	GLYMA14G26960	27	17	0
OS01G0113200	GLYMA17G32711	27	18	0
OS01G0113200	GLYMA17G32750	27	18	0
OS01G0113200	GLYMA17G32766	17	15	0
OS01G0113200	GLYMA17G32798	27	18	0
OS01G0113200	GLYMA17G32814	12	15	0
OS01G0113200	GLYMA19G11360	27	18	0
OS01G0113300	GLYMA02G11151	35	32	0
OS01G0113300	GLYMA02G31620	26	48	0
OS01G0113300	GLYMA13G03360	24	53	0
OS01G0113300	GLYMA13G09700	23	51	0
OS01G0113300	GLYMA13G09730	25	53	0
OS01G0113300	GLYMA13G09742	37	34	0
OS01G0113300	GLYMA13G09755	30	44	0
OS01G0113300	GLYMA13G09781	22	49	0
OS01G0113300	GLYMA13G09794	37	35	0
OS01G0113300	GLYMA13G09820	25	50	0
OS01G0113300	GLYMA13G09865	36	36	0
OS01G0113300	GLYMA14G13884	37	36	0
OS01G0113300	GLYMA14G27015	36	34	0
OS01G0113300	GLYMA17G32691	35	37	0
OS01G0113300	GLYMA17G32731	36	36	0
OS01G0113300	GLYMA17G32782	35	36	0
OS01G0113300	GLYMA17G32830	35	37	0
OS01G0113300	GLYMA19G11565	36	33	0
OS01G0113400	GLYMA02G11151	32	30	0
OS01G0113400	GLYMA02G31620	24	46	0
OS01G0113400	GLYMA13G03360	24	53	0
OS01G0113400	GLYMA13G09700	23	51	0
OS01G0113400	GLYMA13G09730	24	51	0
OS01G0113400	GLYMA13G09742	34	32	0
OS01G0113400	GLYMA13G09755	28	42	0
OS01G0113400	GLYMA13G09781	21	47	0
OS01G0113400	GLYMA13G09794	34	33	0
OS01G0113400	GLYMA13G09820	24	49	0
OS01G0113400	GLYMA13G09865	33	33	0
OS01G0113400	GLYMA14G13884	33	34	0
OS01G0113400	GLYMA14G27015	33	32	0
OS01G0113400	GLYMA17G32691	32	35	0
OS01G0113400	GLYMA17G32731	33	34	0
OS01G0113400	GLYMA17G32782	33	34	0
OS01G0113400	GLYMA17G32830	32	35	0
OS01G0113400	GLYMA19G11565	34	32	0
OS01G0113500	GLYMA02G11160	33	35	0
OS01G0113500	GLYMA02G31764	18	44	0
OS01G0113500	GLYMA04G13054	22	39	0
OS01G0113500	GLYMA13G09690	34	35	0
OS01G0113500	GLYMA13G09768	25	34	0
OS01G0113500	GLYMA13G09840	35	36	0
OS01G0113500	GLYMA14G26960	32	33	0
OS01G0113500	GLYMA17G32711	35	37	0
OS01G0113500	GLYMA17G32750	35	37	0
OS01G0113500	GLYMA17G32766	24	33	0
OS01G0113500	GLYMA17G32798	35	37	0
OS01G0113500	GLYMA17G32814	21	41	0
OS01G0113500	GLYMA19G11360	33	35	0
OS01G0113700	GLYMA02G11151	34	32	0
OS01G0113700	GLYMA02G31620	25	48	0
OS01G0113700	GLYMA13G03360	24	54	0
OS01G0113700	GLYMA13G09700	23	53	0
OS01G0113700	GLYMA13G09730	24	52	0
OS01G0113700	GLYMA13G09742	34	33	0
OS01G0113700	GLYMA13G09755	28	43	0
OS01G0113700	GLYMA13G09781	21	47	0
OS01G0113700	GLYMA13G09794	35	34	0
OS01G0113700	GLYMA13G09820	24	50	0
OS01G0113700	GLYMA13G09865	34	35	0
OS01G0113700	GLYMA14G13884	34	35	0
OS01G0113700	GLYMA14G27015	34	33	0
OS01G0113700	GLYMA17G32691	33	36	0
OS01G0113700	GLYMA17G32731	33	35	0
OS01G0113700	GLYMA17G32782	33	35	0
OS01G0113700	GLYMA17G32830	33	36	0
OS01G0113700	GLYMA19G11565	35	34	0
OS01G0113800	GLYMA02G11160	34	35	0
OS01G0113800	GLYMA02G31764	19	45	0
OS01G0113800	GLYMA04G13054	22	37	0
OS01G0113800	GLYMA13G09690	33	34	0
OS01G0113800	GLYMA13G09768	24	32	0
OS01G0113800	GLYMA13G09840	34	35	0
OS01G0113800	GLYMA14G26960	32	32	0
OS01G0113800	GLYMA17G32711	34	36	0
OS01G0113800	GLYMA17G32750	34	36	0
OS01G0113800	GLYMA17G32766	23	32	0
OS01G0113800	GLYMA17G32798	34	36	0
OS01G0113800	GLYMA17G32814	21	40	0
OS01G0113800	GLYMA19G11360	33	34	0
OS01G0114100	GLYMA02G11151	34	31	0
OS01G0114100	GLYMA02G31620	26	48	0
OS01G0114100	GLYMA13G03360	25	53	0
OS01G0114100	GLYMA13G09700	23	50	0
OS01G0114100	GLYMA13G09730	24	51	0
OS01G0114100	GLYMA13G09742	34	32	0
OS01G0114100	GLYMA13G09755	28	41	0
OS01G0114100	GLYMA13G09781	22	47	0
OS01G0114100	GLYMA13G09794	34	32	0
OS01G0114100	GLYMA13G09820	24	48	0
OS01G0114100	GLYMA13G09865	34	33	0
OS01G0114100	GLYMA14G13884	35	35	0
OS01G0114100	GLYMA14G27015	34	32	0
OS01G0114100	GLYMA17G32691	34	36	0
OS01G0114100	GLYMA17G32731	34	35	0
OS01G0114100	GLYMA17G32782	34	35	0
OS01G0114100	GLYMA17G32830	34	35	0
OS01G0114100	GLYMA19G11565	35	33	0
OS01G0114400	GLYMA02G11151	48	23	0
OS01G0114400	GLYMA02G31620	46	44	0
OS01G0114400	GLYMA13G03360	46	51	0
OS01G0114400	GLYMA13G09700	40	45	0
OS01G0114400	GLYMA13G09730	46	50	0
OS01G0114400	GLYMA13G09742	46	22	0
OS01G0114400	GLYMA13G09755	39	29	0
OS01G0114400	GLYMA13G09781	42	47	0
OS01G0114400	GLYMA13G09794	48	23	0
OS01G0114400	GLYMA13G09820	46	47	0
OS01G0114400	GLYMA13G09865	46	23	0
OS01G0114400	GLYMA14G13884	48	24	0
OS01G0114400	GLYMA14G27015	47	23	0
OS01G0114400	GLYMA17G32691	46	25	0
OS01G0114400	GLYMA17G32731	46	24	0
OS01G0114400	GLYMA17G32782	46	24	0
OS01G0114400	GLYMA17G32830	46	25	0
OS01G0114400	GLYMA19G11565	48	23	0
OS01G0114600	GLYMA02G11151	32	31	0
OS01G0114600	GLYMA02G31620	24	47	0
OS01G0114600	GLYMA13G03360	23	53	0
OS01G0114600	GLYMA13G09700	22	51	0
OS01G0114600	GLYMA13G09730	23	50	0
OS01G0114600	GLYMA13G09742	32	31	0
OS01G0114600	GLYMA13G09755	26	41	0
OS01G0114600	GLYMA13G09781	20	47	0
OS01G0114600	GLYMA13G09794	32	32	0
OS01G0114600	GLYMA13G09820	23	48	0
OS01G0114600	GLYMA13G09865	31	32	0
OS01G0114600	GLYMA14G13884	33	35	0
OS01G0114600	GLYMA14G27015	32	32	0
OS01G0114600	GLYMA17G32691	33	36	0
OS01G0114600	GLYMA17G32731	33	36	0
OS01G0114600	GLYMA17G32782	33	36	0
OS01G0114600	GLYMA17G32830	33	36	0
OS01G0114600	GLYMA19G11565	34	34	0
OS01G0114700	GLYMA02G11160	34	35	0
OS01G0114700	GLYMA02G31764	19	44	0
OS01G0114700	GLYMA04G13054	23	39	0
OS01G0114700	GLYMA13G09690	34	35	0
OS01G0114700	GLYMA13G09768	24	32	0
OS01G0114700	GLYMA13G09840	35	36	0
OS01G0114700	GLYMA14G26960	33	33	0
OS01G0114700	GLYMA17G32711	36	37	0
OS01G0114700	GLYMA17G32750	36	37	0
OS01G0114700	GLYMA17G32766	23	31	0
OS01G0114700	GLYMA17G32798	36	37	0
OS01G0114700	GLYMA17G32814	20	39	0
OS01G0114700	GLYMA19G11360	34	36	0
OS01G0114900	GLYMA02G11160	48	24	0
OS01G0114900	GLYMA02G31764	30	35	0
OS01G0114900	GLYMA04G13054	34	28	0
OS01G0114900	GLYMA13G09690	48	24	0
OS01G0114900	GLYMA13G09768	28	18	0
OS01G0114900	GLYMA13G09840	49	24	0
OS01G0114900	GLYMA14G26960	46	22	0
OS01G0114900	GLYMA17G32711	49	25	0
OS01G0114900	GLYMA17G32750	49	25	0
OS01G0114900	GLYMA17G32766	38	26	0
OS01G0114900	GLYMA17G32798	49	25	0
OS01G0114900	GLYMA17G32814	37	34	0
OS01G0114900	GLYMA19G11360	48	24	0
OS01G0115500	GLYMA02G11151	48	23	0
OS01G0115500	GLYMA02G31620	43	42	0
OS01G0115500	GLYMA13G03360	48	53	0
OS01G0115500	GLYMA13G09700	41	47	0
OS01G0115500	GLYMA13G09730	47	51	0
OS01G0115500	GLYMA13G09742	47	23	0
OS01G0115500	GLYMA13G09755	40	31	0
OS01G0115500	GLYMA13G09781	42	47	0
OS01G0115500	GLYMA13G09794	49	24	0
OS01G0115500	GLYMA13G09820	47	48	0
OS01G0115500	GLYMA13G09865	47	24	0
OS01G0115500	GLYMA14G13884	48	25	0
OS01G0115500	GLYMA14G27015	48	23	0
OS01G0115500	GLYMA17G32691	47	25	0
OS01G0115500	GLYMA17G32731	47	25	0
OS01G0115500	GLYMA17G32782	47	25	0
OS01G0115500	GLYMA17G32830	46	25	0
OS01G0115500	GLYMA19G11565	50	24	0
OS01G0115600	GLYMA02G11160	35	36	0
OS01G0115600	GLYMA02G31764	19	45	0
OS01G0115600	GLYMA04G13054	24	40	0
OS01G0115600	GLYMA13G09690	35	35	0
OS01G0115600	GLYMA13G09768	25	33	0
OS01G0115600	GLYMA13G09840	36	36	0
OS01G0115600	GLYMA14G26960	35	35	0
OS01G0115600	GLYMA17G32711	37	38	0
OS01G0115600	GLYMA17G32750	37	38	0
OS01G0115600	GLYMA17G32766	24	33	0
OS01G0115600	GLYMA17G32798	37	38	0
OS01G0115600	GLYMA17G32814	21	41	0
OS01G0115600	GLYMA19G11360	35	37	0
OS01G0115700	GLYMA02G11151	36	32	0
OS01G0115700	GLYMA02G31620	27	48	0
OS01G0115700	GLYMA13G03360	26	54	0
OS01G0115700	GLYMA13G09700	25	51	0
OS01G0115700	GLYMA13G09730	25	51	0
OS01G0115700	GLYMA13G09742	36	32	0
OS01G0115700	GLYMA13G09755	30	42	0
OS01G0115700	GLYMA13G09781	23	48	0
OS01G0115700	GLYMA13G09794	36	33	0
OS01G0115700	GLYMA13G09820	26	49	0
OS01G0115700	GLYMA13G09865	35	33	0
OS01G0115700	GLYMA14G13884	37	35	0
OS01G0115700	GLYMA14G27015	37	33	0
OS01G0115700	GLYMA17G32691	36	36	0
OS01G0115700	GLYMA17G32731	36	35	0
OS01G0115700	GLYMA17G32782	36	35	0
OS01G0115700	GLYMA17G32830	36	36	0
OS01G0115700	GLYMA19G11565	37	33	0
OS01G0115750	GLYMA02G11151	33	31	0
OS01G0115750	GLYMA02G31620	25	48	0
OS01G0115750	GLYMA13G03360	24	53	0
OS01G0115750	GLYMA13G09700	22	49	0
OS01G0115750	GLYMA13G09730	23	51	0
OS01G0115750	GLYMA13G09742	32	31	0
OS01G0115750	GLYMA13G09755	26	40	0
OS01G0115750	GLYMA13G09781	21	46	0
OS01G0115750	GLYMA13G09794	33	32	0
OS01G0115750	GLYMA13G09820	23	48	0
OS01G0115750	GLYMA13G09865	32	32	0
OS01G0115750	GLYMA14G13884	34	35	0
OS01G0115750	GLYMA14G27015	33	32	0
OS01G0115750	GLYMA17G32691	33	36	0
OS01G0115750	GLYMA17G32731	33	35	0
OS01G0115750	GLYMA17G32782	33	35	0
OS01G0115750	GLYMA17G32830	33	36	0
OS01G0115750	GLYMA19G11565	34	32	0
OS01G0116000	GLYMA02G11151	32	31	0
OS01G0116000	GLYMA02G31620	25	48	0
OS01G0116000	GLYMA13G03360	24	53	0
OS01G0116000	GLYMA13G09700	22	50	0
OS01G0116000	GLYMA13G09730	23	51	0
OS01G0116000	GLYMA13G09742	33	32	0
OS01G0116000	GLYMA13G09755	27	41	0
OS01G0116000	GLYMA13G09781	20	46	0
OS01G0116000	GLYMA13G09794	33	32	0
OS01G0116000	GLYMA13G09820	23	48	0
OS01G0116000	GLYMA13G09865	33	33	0
OS01G0116000	GLYMA14G13884	34	35	0
OS01G0116000	GLYMA14G27015	33	32	0
OS01G0116000	GLYMA17G32691	32	36	0
OS01G0116000	GLYMA17G32731	33	35	0
OS01G0116000	GLYMA17G32782	33	35	0
OS01G0116000	GLYMA17G32830	32	35	0
OS01G0116000	GLYMA19G11565	34	33	0
OS01G0116200	GLYMA02G11151	32	32	0
OS01G0116200	GLYMA02G31620	24	48	0
OS01G0116200	GLYMA13G03360	23	53	0
OS01G0116200	GLYMA13G09700	22	51	0
OS01G0116200	GLYMA13G09730	22	50	0
OS01G0116200	GLYMA13G09742	33	33	0
OS01G0116200	GLYMA13G09755	26	42	0
OS01G0116200	GLYMA13G09781	20	47	0
OS01G0116200	GLYMA13G09794	33	34	0
OS01G0116200	GLYMA13G09820	23	49	0
OS01G0116200	GLYMA13G09865	32	34	0
OS01G0116200	GLYMA14G13884	34	36	0
OS01G0116200	GLYMA14G27015	32	33	0
OS01G0116200	GLYMA17G32691	32	36	0
OS01G0116200	GLYMA17G32731	32	35	0
OS01G0116200	GLYMA17G32782	32	35	0
OS01G0116200	GLYMA17G32830	32	36	0
OS01G0116200	GLYMA19G11565	33	33	0
OS01G0116400	GLYMA02G11151	32	31	0
OS01G0116400	GLYMA02G31620	25	47	0
OS01G0116400	GLYMA13G03360	24	54	0
OS01G0116400	GLYMA13G09700	23	52	0
OS01G0116400	GLYMA13G09730	24	51	0
OS01G0116400	GLYMA13G09742	34	32	0
OS01G0116400	GLYMA13G09755	27	42	0
OS01G0116400	GLYMA13G09781	21	48	0
OS01G0116400	GLYMA13G09794	34	33	0
OS01G0116400	GLYMA13G09820	24	49	0
OS01G0116400	GLYMA13G09865	33	33	0
OS01G0116400	GLYMA14G13884	34	35	0
OS01G0116400	GLYMA14G27015	33	32	0
OS01G0116400	GLYMA17G32691	33	36	0
OS01G0116400	GLYMA17G32731	34	35	0
OS01G0116400	GLYMA17G32782	34	35	0
OS01G0116400	GLYMA17G32830	33	36	0
OS01G0116400	GLYMA19G11565	34	33	0
OS01G0116600	GLYMA05G29675	54	46	1
OS01G0116600	GLYMA08G12790	54	46	1
OS01G0116800	GLYMA02G11151	45	24	0
OS01G0116800	GLYMA02G31620	45	48	0
OS01G0116800	GLYMA13G03360	43	53	0
OS01G0116800	GLYMA13G09700	40	51	0
OS01G0116800	GLYMA13G09730	42	51	0
OS01G0116800	GLYMA13G09742	45	24	0
OS01G0116800	GLYMA13G09755	39	33	0
OS01G0116800	GLYMA13G09781	37	47	0
OS01G0116800	GLYMA13G09794	47	25	0
OS01G0116800	GLYMA13G09820	43	49	0
OS01G0116800	GLYMA13G09865	45	25	0
OS01G0116800	GLYMA14G13884	47	26	0
OS01G0116800	GLYMA14G27015	46	25	0
OS01G0116800	GLYMA17G32691	46	28	0
OS01G0116800	GLYMA17G32731	47	27	0
OS01G0116800	GLYMA17G32782	47	27	0
OS01G0116800	GLYMA17G32830	46	28	0
OS01G0116800	GLYMA19G11565	49	26	0
OS01G0116900	GLYMA02G11160	39	33	0
OS01G0116900	GLYMA02G31764	22	43	0
OS01G0116900	GLYMA04G13054	27	38	0
OS01G0116900	GLYMA13G09690	40	34	0
OS01G0116900	GLYMA13G09768	28	30	0
OS01G0116900	GLYMA13G09840	41	34	0
OS01G0116900	GLYMA14G26960	37	31	0
OS01G0116900	GLYMA17G32711	41	35	0
OS01G0116900	GLYMA17G32750	41	35	0
OS01G0116900	GLYMA17G32766	27	31	0
OS01G0116900	GLYMA17G32798	41	35	0
OS01G0116900	GLYMA17G32814	25	39	0
OS01G0116900	GLYMA19G11360	39	33	0
OS01G0117000	GLYMA02G11151	28	29	0
OS01G0117000	GLYMA02G31620	21	44	0
OS01G0117000	GLYMA13G03360	20	49	0
OS01G0117000	GLYMA13G09700	19	47	0
OS01G0117000	GLYMA13G09730	19	46	0
OS01G0117000	GLYMA13G09742	28	29	0
OS01G0117000	GLYMA13G09755	23	38	0
OS01G0117000	GLYMA13G09781	17	42	0
OS01G0117000	GLYMA13G09794	29	31	0
OS01G0117000	GLYMA13G09820	19	43	0
OS01G0117000	GLYMA13G09865	28	31	0
OS01G0117000	GLYMA14G13884	30	33	0
OS01G0117000	GLYMA14G27015	29	30	0
OS01G0117000	GLYMA17G32691	29	34	0
OS01G0117000	GLYMA17G32731	29	33	0
OS01G0117000	GLYMA17G32782	29	34	0
OS01G0117000	GLYMA17G32830	29	34	0
OS01G0117000	GLYMA19G11565	30	31	0
OS01G0117100	GLYMA02G11160	46	28	0
OS01G0117100	GLYMA02G31764	30	42	0
OS01G0117100	GLYMA04G13054	35	35	0
OS01G0117100	GLYMA13G09690	48	29	0
OS01G0117100	GLYMA13G09768	31	24	0
OS01G0117100	GLYMA13G09840	49	29	0
OS01G0117100	GLYMA14G26960	45	26	0
OS01G0117100	GLYMA17G32711	49	29	0
OS01G0117100	GLYMA17G32750	49	29	0
OS01G0117100	GLYMA17G32766	36	29	0
OS01G0117100	GLYMA17G32798	49	29	0
OS01G0117100	GLYMA17G32814	34	38	0
OS01G0117100	GLYMA19G11360	46	28	0
OS01G0117200	GLYMA02G11151	32	32	0
OS01G0117200	GLYMA02G31620	23	47	0
OS01G0117200	GLYMA13G03360	23	55	0
OS01G0117200	GLYMA13G09700	21	51	0
OS01G0117200	GLYMA13G09730	22	52	0
OS01G0117200	GLYMA13G09742	32	32	0
OS01G0117200	GLYMA13G09755	26	41	0
OS01G0117200	GLYMA13G09781	20	48	0
OS01G0117200	GLYMA13G09794	33	34	0
OS01G0117200	GLYMA13G09820	23	50	0
OS01G0117200	GLYMA13G09865	32	34	0
OS01G0117200	GLYMA14G13884	32	35	0
OS01G0117200	GLYMA14G27015	32	33	0
OS01G0117200	GLYMA17G32691	31	36	0
OS01G0117200	GLYMA17G32731	31	35	0
OS01G0117200	GLYMA17G32782	31	35	0
OS01G0117200	GLYMA17G32830	31	36	0
OS01G0117200	GLYMA19G11565	33	34	0
OS01G0117300	GLYMA02G11160	45	29	0
OS01G0117300	GLYMA02G31764	28	43	0
OS01G0117300	GLYMA04G13054	34	37	0
OS01G0117300	GLYMA13G09690	46	30	0
OS01G0117300	GLYMA13G09768	29	25	0
