Gene stable ID	Solanum tuberosum gene stable ID	% identity	Solanum tuberosum % identity	Orthology confidence [0 low, 1 high]
OS01G0114600	PGSC0003DMG400013884	23	49	0
OS01G0114600	PGSC0003DMG400017728	25	49	0
OS01G0114600	PGSC0003DMG400019566	21	50	0
OS01G0114600	PGSC0003DMG400019720	23	49	0
OS01G0114600	PGSC0003DMG400020898	23	57	0
OS01G0114600	PGSC0003DMG400020899	32	35	0
OS01G0114600	PGSC0003DMG400025598	23	49	0
OS01G0114600	PGSC0003DMG400025600	20	51	0
OS01G0114600	PGSC0003DMG400030291	32	33	0
OS01G0114600	PGSC0003DMG400030292	17	49	0
OS01G0114600	PGSC0003DMG400031485	30	35	0
OS01G0114700	PGSC0003DMG400009078	31	43	0
OS01G0114700	PGSC0003DMG400019721	29	53	0
OS01G0114700	PGSC0003DMG400019725	30	40	0
OS01G0114700	PGSC0003DMG400019726	37	42	0
OS01G0114700	PGSC0003DMG400020016	29	51	0
OS01G0114700	PGSC0003DMG400031486	33	40	0
OS01G0114900	PGSC0003DMG400009078	48	32	0
OS01G0114900	PGSC0003DMG400019721	50	44	0
OS01G0114900	PGSC0003DMG400019725	34	22	0
OS01G0114900	PGSC0003DMG400019726	50	27	0
OS01G0114900	PGSC0003DMG400020016	51	44	0
OS01G0114900	PGSC0003DMG400031486	51	30	0
OS01G0115500	PGSC0003DMG400004553	33	49	0
OS01G0115500	PGSC0003DMG400009114	47	51	0
OS01G0115500	PGSC0003DMG400010484	51	53	0
OS01G0115500	PGSC0003DMG400010701	52	27	0
OS01G0115500	PGSC0003DMG400013884	49	50	0
OS01G0115500	PGSC0003DMG400017728	49	47	0
OS01G0115500	PGSC0003DMG400019566	42	49	0
OS01G0115500	PGSC0003DMG400019720	48	50	0
OS01G0115500	PGSC0003DMG400020898	47	55	0
OS01G0115500	PGSC0003DMG400020899	50	27	0
OS01G0115500	PGSC0003DMG400025598	48	50	0
OS01G0115500	PGSC0003DMG400025600	41	50	0
OS01G0115500	PGSC0003DMG400030291	52	26	0
OS01G0115500	PGSC0003DMG400030292	36	49	0
OS01G0115500	PGSC0003DMG400031485	47	27	0
OS01G0115600	PGSC0003DMG400009078	31	43	0
OS01G0115600	PGSC0003DMG400019721	29	52	0
OS01G0115600	PGSC0003DMG400019725	30	40	0
OS01G0115600	PGSC0003DMG400019726	38	42	0
OS01G0115600	PGSC0003DMG400020016	29	52	0
OS01G0115600	PGSC0003DMG400031486	33	40	0
OS01G0115700	PGSC0003DMG400004553	20	55	0
OS01G0115700	PGSC0003DMG400009114	27	55	0
OS01G0115700	PGSC0003DMG400010484	28	53	0
OS01G0115700	PGSC0003DMG400010701	37	35	0
OS01G0115700	PGSC0003DMG400013884	26	50	0
OS01G0115700	PGSC0003DMG400017728	28	50	0
OS01G0115700	PGSC0003DMG400019566	23	50	0
OS01G0115700	PGSC0003DMG400019720	26	50	0
OS01G0115700	PGSC0003DMG400020898	26	57	0
OS01G0115700	PGSC0003DMG400020899	36	36	0
OS01G0115700	PGSC0003DMG400025598	26	50	0
OS01G0115700	PGSC0003DMG400025600	23	51	0
OS01G0115700	PGSC0003DMG400030291	37	34	0
OS01G0115700	PGSC0003DMG400030292	19	49	0
OS01G0115700	PGSC0003DMG400031485	33	35	0
OS01G0115750	PGSC0003DMG400004553	18	54	0
OS01G0115750	PGSC0003DMG400009114	25	55	0
OS01G0115750	PGSC0003DMG400010484	25	52	0
OS01G0115750	PGSC0003DMG400010701	33	35	0
OS01G0115750	PGSC0003DMG400013884	24	50	0
OS01G0115750	PGSC0003DMG400017728	26	49	0
OS01G0115750	PGSC0003DMG400019566	21	49	0
OS01G0115750	PGSC0003DMG400019720	24	50	0
OS01G0115750	PGSC0003DMG400020898	24	57	0
OS01G0115750	PGSC0003DMG400020899	32	35	0
OS01G0115750	PGSC0003DMG400025598	24	50	0
OS01G0115750	PGSC0003DMG400025600	21	50	0
OS01G0115750	PGSC0003DMG400030291	34	33	0
OS01G0115750	PGSC0003DMG400030292	18	49	0
OS01G0115750	PGSC0003DMG400031485	31	35	0
OS01G0116000	PGSC0003DMG400004553	18	55	0
OS01G0116000	PGSC0003DMG400009114	24	53	0
OS01G0116000	PGSC0003DMG400010484	25	53	0
OS01G0116000	PGSC0003DMG400010701	33	34	0
OS01G0116000	PGSC0003DMG400013884	24	50	0
OS01G0116000	PGSC0003DMG400017728	25	49	0
OS01G0116000	PGSC0003DMG400019566	21	48	0
OS01G0116000	PGSC0003DMG400019720	24	49	0
OS01G0116000	PGSC0003DMG400020898	23	56	0
OS01G0116000	PGSC0003DMG400020899	32	35	0
OS01G0116000	PGSC0003DMG400025598	24	49	0
OS01G0116000	PGSC0003DMG400025600	20	50	0
OS01G0116000	PGSC0003DMG400030291	33	33	0
OS01G0116000	PGSC0003DMG400030292	17	48	0
OS01G0116000	PGSC0003DMG400031485	30	34	0
OS01G0116200	PGSC0003DMG400004553	17	53	0
OS01G0116200	PGSC0003DMG400009114	23	52	0
OS01G0116200	PGSC0003DMG400010484	24	51	0
OS01G0116200	PGSC0003DMG400010701	32	35	0
OS01G0116200	PGSC0003DMG400013884	23	50	0
OS01G0116200	PGSC0003DMG400017728	24	48	0
OS01G0116200	PGSC0003DMG400019566	20	49	0
OS01G0116200	PGSC0003DMG400019720	23	49	0
OS01G0116200	PGSC0003DMG400020898	22	55	0
OS01G0116200	PGSC0003DMG400020899	32	36	0
OS01G0116200	PGSC0003DMG400025598	23	49	0
OS01G0116200	PGSC0003DMG400025600	20	50	0
OS01G0116200	PGSC0003DMG400030291	32	33	0
OS01G0116200	PGSC0003DMG400030292	17	48	0
OS01G0116200	PGSC0003DMG400031485	29	34	0
OS01G0116400	PGSC0003DMG400004553	18	54	0
OS01G0116400	PGSC0003DMG400009114	25	55	0
OS01G0116400	PGSC0003DMG400010484	25	52	0
OS01G0116400	PGSC0003DMG400010701	31	33	0
OS01G0116400	PGSC0003DMG400013884	24	50	0
OS01G0116400	PGSC0003DMG400017728	26	50	0
OS01G0116400	PGSC0003DMG400019566	22	51	0
OS01G0116400	PGSC0003DMG400019720	24	50	0
OS01G0116400	PGSC0003DMG400020898	25	58	0
OS01G0116400	PGSC0003DMG400020899	33	35	0
OS01G0116400	PGSC0003DMG400025598	24	50	0
OS01G0116400	PGSC0003DMG400025600	21	52	0
OS01G0116400	PGSC0003DMG400030291	32	32	0
OS01G0116400	PGSC0003DMG400030292	18	49	0
OS01G0116400	PGSC0003DMG400031485	29	33	0
OS01G0116800	PGSC0003DMG400004553	34	55	0
OS01G0116800	PGSC0003DMG400009114	43	52	0
OS01G0116800	PGSC0003DMG400010484	44	51	0
OS01G0116800	PGSC0003DMG400010701	47	27	0
OS01G0116800	PGSC0003DMG400013884	43	49	0
OS01G0116800	PGSC0003DMG400017728	46	49	0
OS01G0116800	PGSC0003DMG400019566	38	48	0
OS01G0116800	PGSC0003DMG400019720	43	49	0
OS01G0116800	PGSC0003DMG400020898	42	55	0
OS01G0116800	PGSC0003DMG400020899	47	28	0
OS01G0116800	PGSC0003DMG400025598	42	49	0
OS01G0116800	PGSC0003DMG400025600	37	50	0
OS01G0116800	PGSC0003DMG400030291	46	25	0
OS01G0116800	PGSC0003DMG400030292	31	47	0
OS01G0116800	PGSC0003DMG400031485	42	27	0
OS01G0116900	PGSC0003DMG400009078	37	42	0
OS01G0116900	PGSC0003DMG400019721	34	51	0
OS01G0116900	PGSC0003DMG400019725	32	35	0
OS01G0116900	PGSC0003DMG400019726	41	38	0
OS01G0116900	PGSC0003DMG400020016	34	50	0
OS01G0116900	PGSC0003DMG400031486	36	36	0
OS01G0117000	PGSC0003DMG400004553	17	54	0
OS01G0117000	PGSC0003DMG400009114	20	49	0
OS01G0117000	PGSC0003DMG400010484	21	49	0
OS01G0117000	PGSC0003DMG400010701	29	33	0
OS01G0117000	PGSC0003DMG400013884	20	46	0
OS01G0117000	PGSC0003DMG400017728	21	45	0
OS01G0117000	PGSC0003DMG400019566	18	45	0
OS01G0117000	PGSC0003DMG400019720	20	46	0
OS01G0117000	PGSC0003DMG400020898	20	52	0
OS01G0117000	PGSC0003DMG400020899	29	34	0
OS01G0117000	PGSC0003DMG400025598	20	45	0
OS01G0117000	PGSC0003DMG400025600	17	46	0
OS01G0117000	PGSC0003DMG400030291	29	31	0
OS01G0117000	PGSC0003DMG400030292	15	44	0
OS01G0117000	PGSC0003DMG400031485	27	34	0
OS01G0117100	PGSC0003DMG400009078	49	40	0
OS01G0117100	PGSC0003DMG400019721	48	51	0
OS01G0117100	PGSC0003DMG400019725	35	28	0
OS01G0117100	PGSC0003DMG400019726	49	32	0
OS01G0117100	PGSC0003DMG400020016	48	50	0
OS01G0117100	PGSC0003DMG400031486	48	34	0
OS01G0117200	PGSC0003DMG400004553	17	54	0
OS01G0117200	PGSC0003DMG400009114	23	53	0
OS01G0117200	PGSC0003DMG400010484	24	52	0
OS01G0117200	PGSC0003DMG400010701	32	36	0
OS01G0117200	PGSC0003DMG400013884	22	50	0
OS01G0117200	PGSC0003DMG400017728	24	49	0
OS01G0117200	PGSC0003DMG400019566	20	50	0
OS01G0117200	PGSC0003DMG400019720	22	49	0
OS01G0117200	PGSC0003DMG400020898	22	56	0
OS01G0117200	PGSC0003DMG400020899	32	37	0
OS01G0117200	PGSC0003DMG400025598	22	49	0
OS01G0117200	PGSC0003DMG400025600	20	50	0
OS01G0117200	PGSC0003DMG400030291	32	34	0
OS01G0117200	PGSC0003DMG400030292	16	48	0
OS01G0117200	PGSC0003DMG400031485	29	35	0
OS01G0117300	PGSC0003DMG400009078	47	41	0
OS01G0117300	PGSC0003DMG400019721	46	53	0
OS01G0117300	PGSC0003DMG400019725	34	29	0
OS01G0117300	PGSC0003DMG400019726	47	34	0
OS01G0117300	PGSC0003DMG400020016	45	51	0
OS01G0117300	PGSC0003DMG400031486	46	35	0
OS01G0117400	PGSC0003DMG400016052	17	29	1
OS01G0117400	PGSC0003DMG400017738	30	24	1
OS01G0117400	PGSC0003DMG400019713	16	27	1
OS01G0117400	PGSC0003DMG400019722	32	29	1
OS01G0117400	PGSC0003DMG400025605	16	25	1
OS01G0117400	PGSC0003DMG400033718	18	33	1
OS01G0117500	PGSC0003DMG400009078	38	40	0
OS01G0117500	PGSC0003DMG400019721	37	51	0
OS01G0117500	PGSC0003DMG400019725	28	29	0
OS01G0117500	PGSC0003DMG400019726	40	34	0
OS01G0117500	PGSC0003DMG400020016	38	51	0
OS01G0117500	PGSC0003DMG400031486	39	36	0
OS01G0117600	PGSC0003DMG400004553	18	55	0
OS01G0117600	PGSC0003DMG400009114	23	54	0
OS01G0117600	PGSC0003DMG400010484	24	52	0
OS01G0117600	PGSC0003DMG400010701	32	35	0
OS01G0117600	PGSC0003DMG400013884	23	50	0
OS01G0117600	PGSC0003DMG400017728	24	49	0
OS01G0117600	PGSC0003DMG400019566	20	50	0
OS01G0117600	PGSC0003DMG400019720	23	50	0
OS01G0117600	PGSC0003DMG400020898	23	57	0
OS01G0117600	PGSC0003DMG400020899	32	37	0
OS01G0117600	PGSC0003DMG400025598	23	50	0
OS01G0117600	PGSC0003DMG400025600	20	51	0
OS01G0117600	PGSC0003DMG400030291	31	33	0
OS01G0117600	PGSC0003DMG400030292	17	48	0
OS01G0117600	PGSC0003DMG400031485	29	35	0
OS01G0117700	PGSC0003DMG400009078	30	43	0
OS01G0117700	PGSC0003DMG400019721	27	51	0
OS01G0117700	PGSC0003DMG400019725	27	37	0
OS01G0117700	PGSC0003DMG400019726	34	39	0
OS01G0117700	PGSC0003DMG400020016	28	51	0
OS01G0117700	PGSC0003DMG400031486	31	39	0
OS01G0117900	PGSC0003DMG400005740	58	61	1
OS01G0118000	PGSC0003DMG400030565	83	82	1
OS01G0118300	PGSC0003DMG400030564	69	27	1
OS01G0118400	PGSC0003DMG400028330	22	27	0
OS01G0118600	PGSC0003DMG400028330	21	25	0
OS01G0118700	PGSC0003DMG400005663	31	34	1
OS01G0118700	PGSC0003DMG400005664	31	35	1
OS01G0119000	PGSC0003DMG400005663	30	31	1
OS01G0119000	PGSC0003DMG400005664	33	34	1
OS01G0119100	PGSC0003DMG400005663	26	32	1
OS01G0119100	PGSC0003DMG400005664	28	35	1
OS01G0120500	PGSC0003DMG400028793	54	54	1
OS01G0120600	PGSC0003DMG400030559	44	41	1
OS01G0120700	PGSC0003DMG400030513	43	37	1
OS01G0120800	PGSC0003DMG400008926	64	63	0
OS01G0120800	PGSC0003DMG400010999	64	68	0
OS01G0121100	PGSC0003DMG400016698	51	53	1
OS01G0121100	PGSC0003DMG400030596	51	52	1
OS01G0121200	PGSC0003DMG400030638	33	40	1
OS01G0121300	PGSC0003DMG400030510	40	39	1
OS01G0121500	PGSC0003DMG400005990	38	31	0
OS01G0121500	PGSC0003DMG400030508	35	30	0
OS01G0121500	PGSC0003DMG400030640	28	23	0
OS01G0121500	PGSC0003DMG400030672	34	29	0
OS01G0121600	PGSC0003DMG400005990	33	32	0
OS01G0121600	PGSC0003DMG400030508	31	32	0
OS01G0121600	PGSC0003DMG400030640	29	29	0
OS01G0121600	PGSC0003DMG400030672	29	30	0
OS01G0121700	PGSC0003DMG400030507	71	65	1
OS01G0121800	PGSC0003DMG400030555	56	56	1
OS01G0125600	PGSC0003DMG400030552	34	35	1
OS01G0125600	PGSC0003DMG400030602	18	21	1
OS01G0125700	PGSC0003DMG400030642	60	60	1
OS01G0125800	PGSC0003DMG400005655	70	70	1
OS01G0125900	PGSC0003DMG400006168	50	46	1
OS01G0126200	PGSC0003DMG400030551	50	54	0
OS01G0127300	PGSC0003DMG400020501	43	43	1
OS01G0127400	PGSC0003DMG400030550	61	61	1
OS01G0127500	PGSC0003DMG400005197	56	59	0
OS01G0127900	PGSC0003DMG400010399	54	53	1
OS01G0127900	PGSC0003DMG400011772	52	53	1
OS01G0127900	PGSC0003DMG400026392	54	54	1
OS01G0128000	PGSC0003DMG400014550	35	44	1
OS01G0128100	PGSC0003DMG400014560	62	62	1
OS01G0128300	PGSC0003DMG400024184	52	51	0
OS01G0128300	PGSC0003DMG401026407	52	48	0
OS01G0128300	PGSC0003DMG402019589	42	42	0
OS01G0128400	PGSC0003DMG400015690	44	43	0
OS01G0128400	PGSC0003DMG400015904	49	49	0
OS01G0128800	PGSC0003DMG400005722	51	13	1
OS01G0129500	PGSC0003DMG400020985	26	33	1
OS01G0130000	PGSC0003DMG400009656	49	54	1
OS01G0130000	PGSC0003DMG400011247	67	58	1
OS01G0130400	PGSC0003DMG400014540	63	63	1
OS01G0130400	PGSC0003DMG400015881	65	65	1
OS01G0131300	PGSC0003DMG400005716	33	23	1
OS01G0131300	PGSC0003DMG400012967	36	36	1
OS01G0131300	PGSC0003DMG400015874	36	34	1
OS01G0131300	PGSC0003DMG400021770	28	29	1
OS01G0131300	PGSC0003DMG400028789	30	22	1
OS01G0131600	PGSC0003DMG400005631	24	19	1
OS01G0132100	PGSC0003DMG400006268	34	33	1
OS01G0132100	PGSC0003DMG400020330	22	31	1
OS01G0132100	PGSC0003DMG400022067	31	20	1
OS01G0132100	PGSC0003DMG400022068	28	34	1
OS01G0132100	PGSC0003DMG400028575	29	35	1
OS01G0132100	PGSC0003DMG400028576	30	35	1
OS01G0132100	PGSC0003DMG400038495	26	36	1
OS01G0132100	PGSC0003DMG402015894	26	34	1
OS01G0132500	PGSC0003DMG400005977	31	26	1
OS01G0132500	PGSC0003DMG400005978	22	34	1
OS01G0132500	PGSC0003DMG400014573	31	23	1
OS01G0132500	PGSC0003DMG400025699	22	11	1
OS01G0132500	PGSC0003DMG400026238	25	25	1
OS01G0132700	PGSC0003DMG400009083	64	60	1
OS01G0132766	PGSC0003DMG400014553	31	38	1
OS01G0132766	PGSC0003DMG400014574	28	36	1
OS01G0132800	PGSC0003DMG401026390	59	63	1
OS01G0133400	PGSC0003DMG400026402	73	72	1
OS01G0133500	PGSC0003DMG401014554	30	45	1
OS01G0133600	PGSC0003DMG400005391	36	37	0
OS01G0133600	PGSC0003DMG400005648	34	48	0
OS01G0133600	PGSC0003DMG400014555	37	41	0
OS01G0133600	PGSC0003DMG400014556	24	49	0
OS01G0133700	PGSC0003DMG400005391	43	23	0
OS01G0133700	PGSC0003DMG400005648	43	32	0
OS01G0133700	PGSC0003DMG400014555	46	26	0
OS01G0133700	PGSC0003DMG400014556	44	47	0
OS01G0134500	PGSC0003DMG400010415	72	73	0
OS01G0134500	PGSC0003DMG400026401	71	72	0
OS01G0134500	PGSC0003DMG402026400	62	63	0
OS01G0134700	PGSC0003DMG400005390	41	40	1
OS01G0134700	PGSC0003DMG400005649	42	41	1
OS01G0135700	PGSC0003DMG400005745	41	45	1
OS01G0135700	PGSC0003DMG400010410	42	52	1
OS01G0135700	PGSC0003DMG400028797	39	46	1
OS01G0135700	PGSC0003DMG400030608	44	51	1
OS01G0135800	PGSC0003DMG400012619	41	44	1
OS01G0135800	PGSC0003DMG400017098	43	46	1
OS01G0136400	PGSC0003DMG400026384	38	37	0
OS01G0136800	PGSC0003DMG400026384	37	35	0
OS01G0136900	PGSC0003DMG400001269	33	14	1
OS01G0136900	PGSC0003DMG400001271	35	34	1
OS01G0136900	PGSC0003DMG400005730	37	29	1
OS01G0136900	PGSC0003DMG400006000	31	30	1
OS01G0136900	PGSC0003DMG400012083	27	28	1
OS01G0136900	PGSC0003DMG400014577	35	29	1
OS01G0136900	PGSC0003DMG400015834	34	30	1
OS01G0136900	PGSC0003DMG400015835	38	29	1
OS01G0136900	PGSC0003DMG400030578	32	34	1
