Gene stable ID	Theobroma cacao gene stable ID	% identity	Theobroma cacao % identity	Orthology confidence [0 low, 1 high]
OS01G0111400	TCM_012243	49	50	1
OS01G0111500	TCM_019210	36	33	1
OS01G0111600	TCM_012687	58	45	1
OS01G0111700	TCM_019235	32	40	1
OS01G0112100	TCM_013856	32	31	1
OS01G0112500	TCM_019211	53	48	1
OS01G0113200	TCM_005700	28	19	0
OS01G0113200	TCM_005734	21	16	0
OS01G0113200	TCM_005737	27	18	0
OS01G0113200	TCM_005739	15	17	0
OS01G0113200	TCM_005741	29	18	0
OS01G0113200	TCM_012456	28	18	0
OS01G0113200	TCM_012467	29	20	0
OS01G0113200	TCM_015371	25	18	0
OS01G0113200	TCM_015373	30	19	0
OS01G0113200	TCM_025259	26	17	0
OS01G0113200	TCM_043605	29	19	0
OS01G0113200	TCM_043618	24	18	0
OS01G0113200	TCM_043621	28	19	0
OS01G0113300	TCM_011215	35	36	1
OS01G0113350	TCM_028769	35	27	0
OS01G0113350	TCM_029646	18	54	0
OS01G0113350	TCM_032000	34	27	0
OS01G0113400	TCM_011215	32	35	1
OS01G0113500	TCM_005700	34	35	0
OS01G0113500	TCM_005734	31	38	0
OS01G0113500	TCM_005737	33	35	0
OS01G0113500	TCM_005739	23	42	0
OS01G0113500	TCM_005741	34	33	0
OS01G0113500	TCM_012456	38	37	0
OS01G0113500	TCM_012467	37	40	0
OS01G0113500	TCM_015371	36	40	0
OS01G0113500	TCM_015373	38	38	0
OS01G0113500	TCM_025259	34	37	0
OS01G0113500	TCM_043605	37	39	0
OS01G0113500	TCM_043618	34	40	0
OS01G0113500	TCM_043621	36	40	0
OS01G0113650	TCM_028769	35	28	0
OS01G0113650	TCM_029646	18	54	0
OS01G0113650	TCM_032000	33	26	0
OS01G0113700	TCM_011215	32	35	1
OS01G0113800	TCM_005700	35	36	0
OS01G0113800	TCM_005734	30	37	0
OS01G0113800	TCM_005737	33	35	0
OS01G0113800	TCM_005739	24	43	0
OS01G0113800	TCM_005741	35	34	0
OS01G0113800	TCM_012456	39	38	0
OS01G0113800	TCM_012467	38	41	0
OS01G0113800	TCM_015371	37	41	0
OS01G0113800	TCM_015373	40	39	0
OS01G0113800	TCM_025259	35	37	0
OS01G0113800	TCM_043605	38	39	0
OS01G0113800	TCM_043618	34	40	0
OS01G0113800	TCM_043621	37	41	0
OS01G0114100	TCM_011215	35	37	1
OS01G0114400	TCM_011215	44	24	1
OS01G0114600	TCM_011215	33	37	1
OS01G0114700	TCM_005700	38	39	0
OS01G0114700	TCM_005734	33	40	0
OS01G0114700	TCM_005737	37	39	0
OS01G0114700	TCM_005739	25	46	0
OS01G0114700	TCM_005741	38	37	0
OS01G0114700	TCM_012456	40	39	0
OS01G0114700	TCM_012467	38	41	0
OS01G0114700	TCM_015371	38	42	0
OS01G0114700	TCM_015373	40	39	0
OS01G0114700	TCM_025259	36	38	0
OS01G0114700	TCM_043605	39	40	0
OS01G0114700	TCM_043618	35	41	0
OS01G0114700	TCM_043621	38	41	0
OS01G0114900	TCM_005700	48	24	0
OS01G0114900	TCM_005734	49	29	0
OS01G0114900	TCM_005737	48	24	0
OS01G0114900	TCM_005739	40	35	0
OS01G0114900	TCM_005741	49	23	0
OS01G0114900	TCM_012456	54	26	0
OS01G0114900	TCM_012467	55	28	0
OS01G0114900	TCM_015371	56	30	0
OS01G0114900	TCM_015373	53	26	0
OS01G0114900	TCM_025259	51	26	0
OS01G0114900	TCM_043605	53	26	0
OS01G0114900	TCM_043618	53	30	0
OS01G0114900	TCM_043621	53	28	0
OS01G0115500	TCM_011215	47	25	1
OS01G0115600	TCM_005700	39	39	0
OS01G0115600	TCM_005734	34	41	0
OS01G0115600	TCM_005737	38	39	0
OS01G0115600	TCM_005739	26	46	0
OS01G0115600	TCM_005741	40	38	0
OS01G0115600	TCM_012456	41	40	0
OS01G0115600	TCM_012467	39	42	0
OS01G0115600	TCM_015371	39	43	0
OS01G0115600	TCM_015373	41	41	0
OS01G0115600	TCM_025259	37	38	0
OS01G0115600	TCM_043605	40	41	0
OS01G0115600	TCM_043618	38	43	0
OS01G0115600	TCM_043621	40	43	0
OS01G0115700	TCM_011215	35	35	1
OS01G0115750	TCM_011215	34	37	1
OS01G0116000	TCM_011215	32	35	1
OS01G0116200	TCM_011215	32	36	1
OS01G0116400	TCM_011215	33	35	1
OS01G0116600	TCM_036809	55	48	1
OS01G0116800	TCM_011215	45	27	1
OS01G0116900	TCM_005700	39	33	0
OS01G0116900	TCM_005734	36	36	0
OS01G0116900	TCM_005737	39	34	0
OS01G0116900	TCM_005739	29	43	0
OS01G0116900	TCM_005741	40	32	0
OS01G0116900	TCM_012456	45	37	0
OS01G0116900	TCM_012467	43	38	0
OS01G0116900	TCM_015371	45	40	0
OS01G0116900	TCM_015373	44	36	0
OS01G0116900	TCM_025259	42	36	0
OS01G0116900	TCM_043605	44	37	0
OS01G0116900	TCM_043618	40	38	0
OS01G0116900	TCM_043621	44	39	0
OS01G0117000	TCM_011215	29	34	1
OS01G0117100	TCM_005700	48	29	0
OS01G0117100	TCM_005734	49	34	0
OS01G0117100	TCM_005737	48	29	0
OS01G0117100	TCM_005739	40	42	0
OS01G0117100	TCM_005741	49	27	0
OS01G0117100	TCM_012456	53	30	0
OS01G0117100	TCM_012467	55	34	0
OS01G0117100	TCM_015371	54	34	0
OS01G0117100	TCM_015373	52	30	0
OS01G0117100	TCM_025259	49	30	0
OS01G0117100	TCM_043605	52	31	0
OS01G0117100	TCM_043618	52	35	0
OS01G0117100	TCM_043621	52	33	0
OS01G0117200	TCM_011215	32	37	1
OS01G0117300	TCM_005700	47	30	0
OS01G0117300	TCM_005734	47	36	0
OS01G0117300	TCM_005737	46	31	0
OS01G0117300	TCM_005739	39	44	0
OS01G0117300	TCM_005741	48	29	0
OS01G0117300	TCM_012456	51	32	0
OS01G0117300	TCM_012467	52	35	0
OS01G0117300	TCM_015371	52	36	0
OS01G0117300	TCM_015373	51	32	0
OS01G0117300	TCM_025259	46	31	0
OS01G0117300	TCM_043605	50	33	0
OS01G0117300	TCM_043618	50	37	0
OS01G0117300	TCM_043621	51	35	0
OS01G0117400	TCM_032088	43	43	1
OS01G0117400	TCM_032101	42	46	1
OS01G0117400	TCM_032266	39	15	1
OS01G0117400	TCM_032273	42	19	1
OS01G0117400	TCM_032275	45	23	1
OS01G0117500	TCM_005700	39	30	0
OS01G0117500	TCM_005734	38	35	0
OS01G0117500	TCM_005737	39	31	0
OS01G0117500	TCM_005739	31	42	0
OS01G0117500	TCM_005741	39	29	0
OS01G0117500	TCM_012456	43	32	0
OS01G0117500	TCM_012467	43	35	0
OS01G0117500	TCM_015371	43	36	0
OS01G0117500	TCM_015373	42	32	0
OS01G0117500	TCM_025259	39	31	0
OS01G0117500	TCM_043605	43	33	0
OS01G0117500	TCM_043618	40	35	0
OS01G0117500	TCM_043621	42	34	0
OS01G0117600	TCM_011215	32	36	1
OS01G0117700	TCM_005700	33	35	0
OS01G0117700	TCM_005734	31	39	0
OS01G0117700	TCM_005737	33	36	0
OS01G0117700	TCM_005739	23	43	0
OS01G0117700	TCM_005741	35	34	0
OS01G0117700	TCM_012456	36	36	0
OS01G0117700	TCM_012467	35	39	0
OS01G0117700	TCM_015371	35	40	0
OS01G0117700	TCM_015373	37	37	0
OS01G0117700	TCM_025259	33	36	0
OS01G0117700	TCM_043605	36	38	0
OS01G0117700	TCM_043618	34	41	0
OS01G0117700	TCM_043621	35	40	0
OS01G0117900	TCM_012526	48	46	1
OS01G0118000	TCM_008998	85	83	1
OS01G0118100	TCM_009016	74	49	1
OS01G0118100	TCM_012528	78	53	1
OS01G0118300	TCM_009019	76	30	1
OS01G0118400	TCM_030824	24	30	0
OS01G0118600	TCM_030824	27	33	0
OS01G0118700	TCM_012531	29	34	1
OS01G0118700	TCM_012535	31	22	1
OS01G0118700	TCM_012547	25	40	1
OS01G0119000	TCM_012531	30	33	1
OS01G0119000	TCM_012535	32	21	1
OS01G0119000	TCM_012547	26	40	1
OS01G0119100	TCM_012531	29	38	1
OS01G0119100	TCM_012535	31	25	1
OS01G0119100	TCM_012547	22	41	1
OS01G0120300	TCM_030285	73	59	1
OS01G0120400	TCM_021201	58	59	1
OS01G0120500	TCM_012562	53	52	1
OS01G0120500	TCM_012567	26	38	1
OS01G0120600	TCM_009162	44	42	1
OS01G0120700	TCM_009154	36	38	1
OS01G0120800	TCM_001471	67	66	0
OS01G0120800	TCM_026722	67	68	0
OS01G0121000	TCM_012897	33	41	1
OS01G0121100	TCM_019313	55	54	1
OS01G0121200	TCM_019300	54	45	1
OS01G0121300	TCM_010813	42	39	1
OS01G0121500	TCM_010818	35	28	0
OS01G0121500	TCM_010819	39	32	0
OS01G0121500	TCM_019294	32	26	0
OS01G0121500	TCM_019295	38	32	0
OS01G0121500	TCM_019296	33	27	0
OS01G0121600	TCM_010818	36	35	0
OS01G0121600	TCM_010819	34	34	0
OS01G0121600	TCM_019294	32	32	0
OS01G0121600	TCM_019295	32	32	0
OS01G0121600	TCM_019296	32	32	0
OS01G0121700	TCM_010820	72	69	1
OS01G0121800	TCM_010822	59	60	1
OS01G0125600	TCM_010831	38	41	1
OS01G0125600	TCM_019273	16	24	1
OS01G0125700	TCM_011054	66	65	1
OS01G0125800	TCM_010832	68	68	1
OS01G0125800	TCM_012627	70	68	1
OS01G0125900	TCM_006599	50	44	1
OS01G0126200	TCM_010834	51	52	0
OS01G0127300	TCM_015750	44	37	1
OS01G0127400	TCM_010837	62	64	1
OS01G0127500	TCM_009973	57	59	0
OS01G0127900	TCM_019440	58	59	1
OS01G0128000	TCM_009642	35	38	1
OS01G0128100	TCM_009671	64	64	1
OS01G0128300	TCM_047044	53	49	0
OS01G0128400	TCM_002449	15	31	0
OS01G0128400	TCM_010966	48	48	0
OS01G0128400	TCM_019149	50	50	0
OS01G0128800	TCM_012358	55	16	1
OS01G0129200	TCM_009828	37	27	1
OS01G0129500	TCM_012349	36	38	1
OS01G0130000	TCM_033518	58	55	1
OS01G0130000	TCM_033521	63	61	1
OS01G0130000	TCM_033524	59	50	1
OS01G0130400	TCM_011813	67	67	1
OS01G0131300	TCM_011817	39	36	1
OS01G0131300	TCM_012326	33	25	1
OS01G0132100	TCM_021646	33	34	1
OS01G0132100	TCM_021647	32	33	1
OS01G0132500	TCM_005685	24	17	1
OS01G0132500	TCM_009632	30	21	1
OS01G0132500	TCM_015920	25	23	1
OS01G0132700	TCM_025935	62	62	1
OS01G0132700	TCM_036681	61	61	1
OS01G0132766	TCM_009626	34	38	1
OS01G0132800	TCM_019422	61	64	1
OS01G0133400	TCM_019409	75	74	1
OS01G0133500	TCM_009592	48	49	1
OS01G0133600	TCM_009590	41	43	0
OS01G0133600	TCM_012380	40	39	0
OS01G0133700	TCM_009590	47	26	0
OS01G0133700	TCM_012380	46	24	0
OS01G0133900	TCM_045577	30	36	0
OS01G0134500	TCM_019400	70	71	0
OS01G0134700	TCM_012384	44	41	1
OS01G0135700	TCM_012743	40	43	1
OS01G0135700	TCM_019204	40	47	1
OS01G0135800	TCM_017043	45	39	1
OS01G0136400	TCM_019383	42	28	0
OS01G0136800	TCM_019383	39	27	0
OS01G0136900	TCM_009574	27	26	1
OS01G0136900	TCM_009581	38	34	1
OS01G0136900	TCM_012403	29	44	1
OS01G0136900	TCM_012406	35	30	1
OS01G0136900	TCM_012416	29	38	1
OS01G0137250	TCM_009574	45	30	1
OS01G0137250	TCM_009581	50	32	1
OS01G0137250	TCM_012403	48	53	1
OS01G0137250	TCM_012406	51	31	1
OS01G0137250	TCM_012416	48	45	1
OS01G0137400	TCM_009574	28	31	1
OS01G0137400	TCM_009581	33	36	1
OS01G0137400	TCM_012403	30	54	1
OS01G0137400	TCM_012406	33	33	1
OS01G0137400	TCM_012416	31	48	1
OS01G0137500	TCM_009574	44	26	1
OS01G0137500	TCM_009581	53	30	1
OS01G0137500	TCM_012403	51	50	1
OS01G0137500	TCM_012406	53	29	1
OS01G0137500	TCM_012416	52	43	1
OS01G0137950	TCM_009574	49	18	1
OS01G0137950	TCM_009581	50	17	1
OS01G0137950	TCM_012403	50	30	1
OS01G0137950	TCM_012406	50	16	1
OS01G0137950	TCM_012416	52	26	1
OS01G0138300	TCM_009574	27	32	1
OS01G0138300	TCM_009581	32	37	1
OS01G0138300	TCM_012403	28	54	1
OS01G0138300	TCM_012406	32	35	1
OS01G0138300	TCM_012416	28	46	1
OS01G0138400	TCM_009574	17	21	1
OS01G0138400	TCM_009581	18	20	1
OS01G0138400	TCM_012403	18	35	1
OS01G0138400	TCM_012406	18	20	1
OS01G0138400	TCM_012416	17	29	1
OS01G0138600	TCM_040798	23	12	1
OS01G0138800	TCM_019376	48	40	1
OS01G0138800	TCM_019377	69	70	1
OS01G0138900	TCM_012436	62	57	0
OS01G0138900	TCM_019371	49	43	0
OS01G0139000	TCM_012437	21	20	0
OS01G0139200	TCM_009418	38	36	1
OS01G0139200	TCM_012488	35	33	1
OS01G0139200	TCM_019364	22	31	1
OS01G0139600	TCM_009409	58	43	1
OS01G0139600	TCM_019363	59	49	1
OS01G0140100	TCM_011849	55	57	1
OS01G0140100	TCM_012281	53	54	1
OS01G0140400	TCM_011864	54	55	1
OS01G0140500	TCM_000792	51	45	0
OS01G0140500	TCM_025183	51	45	0
OS01G0140700	TCM_011862	51	45	0
OS01G0140700	TCM_019508	44	44	0
OS01G0141000	TCM_011862	47	48	0
OS01G0141000	TCM_019508	40	46	0
OS01G0141100	TCM_041448	93	65	0
OS01G0141100	TCM_043963	88	61	0
OS01G0141300	TCM_041448	67	73	0
OS01G0141300	TCM_043963	65	70	0
OS01G0141600	TCM_021703	56	37	1
OS01G0141700	TCM_041629	57	60	0
OS01G0141900	TCM_021711	48	53	1
OS01G0141900	TCM_042539	52	53	1
OS01G0142100	TCM_042565	60	63	1
OS01G0142200	TCM_007059	75	66	1
OS01G0142300	TCM_021743	75	63	1
OS01G0142500	TCM_021750	44	36	1
OS01G0142500	TCM_041672	48	46	1
OS01G0142500	TCM_042604	41	43	1
OS01G0143300	TCM_042688	46	47	0
OS01G0143700	TCM_042688	37	38	0
OS01G0143800	TCM_042688	32	34	0
OS01G0144000	TCM_000855	51	66	1
OS01G0144000	TCM_006340	49	64	1
OS01G0144000	TCM_034638	50	64	1
OS01G0144100	TCM_042732	71	63	1
OS01G0144200	TCM_021893	76	77	1
OS01G0144340	TCM_042708	65	64	1
OS01G0144600	TCM_041809	41	47	1
OS01G0144700	TCM_037474	42	38	1
OS01G0147200	TCM_016608	59	64	1
OS01G0147200	TCM_030593	33	44	1
OS01G0147200	TCM_030595	25	46	1
OS01G0147200	TCM_030624	33	44	1
OS01G0147200	TCM_030627	30	49	1
OS01G0147200	TCM_030629	30	49	1
OS01G0147200	TCM_045027	29	44	1
OS01G0147400	TCM_027414	40	15	0
OS01G0147400	TCM_041824	31	14	0
OS01G0147400	TCM_042698	13	38	0
OS01G0147400	TCM_042701	30	20	0
OS01G0147400	TCM_042747	38	14	0
OS01G0147700	TCM_027414	37	41	0
OS01G0147700	TCM_041824	25	32	0
OS01G0147700	TCM_042698	5	39	0
OS01G0147700	TCM_042701	17	34	0
OS01G0147700	TCM_042747	35	38	0
OS01G0147800	TCM_042749	41	36	1
OS01G0147900	TCM_041830	81	81	0
OS01G0147900	TCM_042755	81	70	0
OS01G0148000	TCM_021934	45	17	0
OS01G0148050	TCM_021934	45	21	0
OS01G0149800	TCM_021938	65	65	1
OS01G0149900	TCM_021940	17	14	1
OS01G0149900	TCM_041612	13	11	1
OS01G0149900	TCM_041843	8	23	1
OS01G0150000	TCM_042773	80	80	0
OS01G0150100	TCM_042787	58	23	1
OS01G0150200	TCM_000991	67	54	0
OS01G0151100	TCM_021960	62	67	0
OS01G0151100	TCM_041867	60	66	0
OS01G0151100	TCM_042792	60	65	0
OS01G0151200	TCM_041869	67	68	0
OS01G0151400	TCM_037741	63	21	1
OS01G0151500	TCM_037741	50	44	1
OS01G0151600	TCM_041882	68	68	1
OS01G0151700	TCM_021980	67	55	1
OS01G0151900	TCM_031610	43	43	1
OS01G0152700	TCM_041887	100	27	0
OS01G0152700	TCM_041892	100	28	0
OS01G0153200	TCM_041895	33	29	0
OS01G0153200	TCM_043783	33	29	0
OS01G0153200	TCM_043789	33	29	0
OS01G0153250	TCM_041888	42	42	1
OS01G0153400	TCM_006321	74	41	1
OS01G0153800	TCM_025062	37	43	1
OS01G0153800	TCM_026678	37	41	1
OS01G0153800	TCM_041202	39	43	1
OS01G0155000	TCM_025062	42	45	1
OS01G0155000	TCM_026678	42	43	1
OS01G0155000	TCM_041202	43	44	1
OS01G0155300	TCM_041917	43	49	1
OS01G0155300	TCM_042974	44	49	1
OS01G0155400	TCM_022026	44	26	1
OS01G0155400	TCM_042992	53	35	1
OS01G0155500	TCM_041936	41	46	1
OS01G0155500	TCM_043009	38	43	1
OS01G0157700	TCM_022098	35	22	1
OS01G0157800	TCM_022096	76	69	1
OS01G0157800	TCM_043084	80	60	1
OS01G0157900	TCM_022112	60	50	1
OS01G0158000	TCM_022105	62	63	1
OS01G0158100	TCM_028829	28	34	1
OS01G0158200	TCM_043102	66	56	1
OS01G0158400	TCM_025747	30	39	1
OS01G0158400	TCM_025750	25	31	1
OS01G0158500	TCM_037764	68	63	1
OS01G0158600	TCM_021646	37	36	1
OS01G0158600	TCM_021647	36	35	1
OS01G0158900	TCM_042496	53	55	1
OS01G0159000	TCM_001605	42	31	1
OS01G0159200	TCM_022129	47	36	1
OS01G0159300	TCM_022121	27	24	1
OS01G0159300	TCM_043109	24	21	1
OS01G0159400	TCM_021674	76	69	1
OS01G0160200	TCM_021646	36	35	1
OS01G0160200	TCM_021647	36	35	1
OS01G0160700	TCM_021646	36	35	1
OS01G0160700	TCM_021647	37	35	1
OS01G0161000	TCM_021646	38	24	1
OS01G0161000	TCM_021647	38	24	1
OS01G0161300	TCM_021646	37	36	1
OS01G0161300	TCM_021647	39	37	1
OS01G0162300	TCM_021642	26	27	1
OS01G0162800	TCM_021646	35	34	1
OS01G0162800	TCM_021647	35	34	1
OS01G0163000	TCM_021646	37	34	1
OS01G0163000	TCM_021647	38	35	1
OS01G0164075	TCM_042460	39	39	1
OS01G0164300	TCM_042460	38	42	1
OS01G0164400	TCM_042209	70	29	1
OS01G0164500	TCM_042444	60	66	1
OS01G0164600	TCM_042221	53	55	1
OS01G0164700	TCM_043075	38	15	0
OS01G0164800	TCM_021601	48	11	0
OS01G0164900	TCM_021601	10	4	0
OS01G0165000	TCM_021596	31	12	1
OS01G0165100	TCM_042425	57	57	1
OS01G0165200	TCM_021589	31	30	1
OS01G0165200	TCM_040634	31	25	1
OS01G0165600	TCM_042236	33	36	1
OS01G0165800	TCM_008842	8	6	0
OS01G0166100	TCM_017002	59	58	0
OS01G0166100	TCM_018584	20	37	0
OS01G0166100	TCM_019891	37	35	0
OS01G0166100	TCM_024573	15	34	0
OS01G0166100	TCM_042417	60	57	0
OS01G0166300	TCM_017002	55	36	0
OS01G0166300	TCM_018584	24	30	0
OS01G0166300	TCM_019891	47	30	0
OS01G0166300	TCM_024573	19	30	0
OS01G0166300	TCM_042417	55	35	0
OS01G0166400	TCM_000061	37	40	1
OS01G0166500	TCM_019750	7	10	0
OS01G0166500	TCM_045439	7	8	0
OS01G0166700	TCM_019744	43	43	1
OS01G0166800	TCM_045552	52	52	1
OS01G0167500	TCM_042281	81	82	1
OS01G0167750	TCM_000473	43	42	1
OS01G0167900	TCM_042295	36	25	1
OS01G0167900	TCM_045568	24	17	1
OS01G0168100	TCM_042295	42	40	1
OS01G0168100	TCM_045568	30	29	1
OS01G0168200	TCM_019676	67	63	1
OS01G0168200	TCM_045578	50	40	1
OS01G0168300	TCM_045580	53	45	1
OS01G0168500	TCM_045589	66	67	1
OS01G0168800	TCM_037404	33	37	0
OS01G0169400	TCM_012190	46	61	1
OS01G0169400	TCM_016952	44	65	1
OS01G0169500	TCM_047033	41	40	1
OS01G0169800	TCM_010471	48	26	1
OS01G0169900	TCM_012206	28	34	1
OS01G0169900	TCM_016944	43	46	1
OS01G0170000	TCM_012207	56	27	1
OS01G0170000	TCM_012210	64	28	1
OS01G0170000	TCM_016942	65	28	1
OS01G0170100	TCM_012211	46	27	1
OS01G0170300	TCM_012215	56	56	1
OS01G0170500	TCM_012159	63	58	1
OS01G0170800	TCM_033516	38	25	1
OS01G0171000	TCM_010430	74	74	1
OS01G0171800	TCM_010416	46	47	1
OS01G0171800	TCM_012094	50	49	1
OS01G0171800	TCM_047031	44	44	1
OS01G0172000	TCM_046984	59	19	0
OS01G0172100	TCM_016925	52	50	1
OS01G0172200	TCM_016908	52	51	1
OS01G0172300	TCM_027160	38	45	1
OS01G0172400	TCM_027158	78	78	0
OS01G0172400	TCM_038087	70	70	0
OS01G0172600	TCM_038079	74	52	1
OS01G0172800	TCM_027152	41	46	1
OS01G0172900	TCM_020346	27	17	1
OS01G0172900	TCM_034373	34	24	1
OS01G0172900	TCM_037014	30	20	1
OS01G0173000	TCM_028225	45	37	1
OS01G0173100	TCM_038055	63	73	0
OS01G0173100	TCM_038396	62	72	0
OS01G0173600	TCM_028262	45	56	1
OS01G0173600	TCM_038045	43	55	1
OS01G0173900	TCM_025790	59	59	1
OS01G0173900	TCM_030692	60	63	1
OS01G0173900	TCM_030693	57	68	1
OS01G0174000	TCM_038392	25	51	1
OS01G0174100	TCM_028280	35	29	1
OS01G0174100	TCM_038043	33	25	1
OS01G0174300	TCM_038036	73	70	1
OS01G0174500	TCM_015195	38	33	1
OS01G0174700	TCM_038023	63	65	1
OS01G0174900	TCM_028351	44	49	1
OS01G0175000	TCM_028354	68	62	0
OS01G0175000	TCM_038007	73	73	0
OS01G0175000	TCM_038377	71	73	0
OS01G0175100	TCM_028393	29	33	1
OS01G0175100	TCM_037996	33	35	1
OS01G0175600	TCM_028405	67	67	0
OS01G0175600	TCM_037993	65	65	0
OS01G0175600	TCM_038366	68	69	0
OS01G0175700	TCM_028405	67	67	0
OS01G0175700	TCM_037993	65	66	0
OS01G0175700	TCM_038366	68	68	0
OS01G0176300	TCM_027267	51	47	1
OS01G0176400	TCM_028436	39	18	1
OS01G0176500	TCM_028441	43	48	0
OS01G0176700	TCM_037970	36	37	1
OS01G0176800	TCM_028445	45	46	0
OS01G0176900	TCM_021602	17	32	1
OS01G0177100	TCM_037959	56	57	0
OS01G0177100	TCM_038331	60	58	0
OS01G0177200	TCM_031292	73	71	0
OS01G0177400	TCM_028576	39	39	1
OS01G0177400	TCM_037958	37	39	1
OS01G0177400	TCM_038315	38	42	1
OS01G0177900	TCM_037956	71	18	1
OS01G0178000	TCM_038310	62	62	1
OS01G0178000	TCM_046833	75	75	1
OS01G0178100	TCM_037953	44	41	1
OS01G0178200	TCM_037952	54	63	1
OS01G0178400	TCM_037948	55	21	1
OS01G0178400	TCM_038307	54	22	1
OS01G0178500	TCM_028600	49	49	1
OS01G0178500	TCM_037947	51	44	1
OS01G0178700	TCM_028608	49	50	1
OS01G0178700	TCM_037943	29	42	1
OS01G0178700	TCM_038306	50	47	1
OS01G0178900	TCM_034588	20	9	1
OS01G0179200	TCM_037935	66	50	1
OS01G0179200	TCM_037936	69	69	1
OS01G0179300	TCM_037938	48	36	1
OS01G0179300	TCM_037939	47	49	1
OS01G0179400	TCM_038299	70	33	0
OS01G0179500	TCM_038296	33	21	0
OS01G0179600	TCM_006309	38	39	1
OS01G0179600	TCM_006310	36	38	1
OS01G0179600	TCM_006311	34	36	1
OS01G0179600	TCM_006312	22	35	1
OS01G0179600	TCM_020202	35	37	1
OS01G0179600	TCM_020203	35	37	1
OS01G0179600	TCM_046220	35	36	1
OS01G0179700	TCM_005722	95	65	1
OS01G0179800	TCM_037919	54	56	1
OS01G0180000	TCM_039836	55	38	1
OS01G0180300	TCM_028684	37	37	0
OS01G0180400	TCM_028685	39	18	1
OS01G0180600	TCM_037911	46	53	1
OS01G0180800	TCM_028691	73	72	1
OS01G0181000	TCM_037907	26	29	1
OS01G0182200	TCM_026035	57	58	1
OS01G0182200	TCM_045243	53	54	1
OS01G0182300	TCM_028719	25	31	1
OS01G0182300	TCM_037131	23	24	1
