Gene stable ID	Musa acuminata gene stable ID	% identity	Musa acuminata % identity	Orthology confidence [0 low, 1 high]
OS01G0113500	GSMUA_AchrUn_randomG23380_001	44	50	1
OS01G0113700	GSMUA_Achr10G20170_001	36	42	1
OS01G0113700	GSMUA_Achr1G12150_001	39	42	1
OS01G0113700	GSMUA_Achr1G12320_001	36	42	1
OS01G0113800	GSMUA_AchrUn_randomG08850_001	43	46	1
OS01G0113800	GSMUA_AchrUn_randomG23380_001	46	51	1
OS01G0114100	GSMUA_Achr10G20170_001	38	43	1
OS01G0114100	GSMUA_Achr1G12150_001	40	41	1
OS01G0114100	GSMUA_Achr1G12320_001	39	43	1
OS01G0114400	GSMUA_Achr10G20170_001	51	29	1
OS01G0114400	GSMUA_Achr1G12150_001	51	27	1
OS01G0114400	GSMUA_Achr1G12320_001	47	27	1
OS01G0114600	GSMUA_Achr10G20170_001	37	43	1
OS01G0114600	GSMUA_Achr1G12150_001	39	42	1
OS01G0114600	GSMUA_Achr1G12320_001	36	42	1
OS01G0114700	GSMUA_AchrUn_randomG08850_001	44	47	1
OS01G0114700	GSMUA_AchrUn_randomG23380_001	46	51	1
OS01G0114900	GSMUA_AchrUn_randomG08850_001	52	27	1
OS01G0114900	GSMUA_AchrUn_randomG23380_001	61	33	1
OS01G0115500	GSMUA_Achr10G20170_001	52	30	1
OS01G0115500	GSMUA_Achr1G12150_001	53	28	1
OS01G0115500	GSMUA_Achr1G12320_001	48	27	1
OS01G0115600	GSMUA_AchrUn_randomG08850_001	48	50	1
OS01G0115600	GSMUA_AchrUn_randomG23380_001	49	54	1
OS01G0115700	GSMUA_Achr10G20170_001	38	41	1
OS01G0115700	GSMUA_Achr1G12150_001	42	40	1
OS01G0115700	GSMUA_Achr1G12320_001	39	41	1
OS01G0115750	GSMUA_Achr10G20170_001	37	42	1
OS01G0115750	GSMUA_Achr1G12150_001	38	40	1
OS01G0115750	GSMUA_Achr1G12320_001	36	41	1
OS01G0116000	GSMUA_Achr10G20170_001	37	43	1
OS01G0116000	GSMUA_Achr1G12150_001	39	41	1
OS01G0116000	GSMUA_Achr1G12320_001	36	42	1
OS01G0116200	GSMUA_Achr10G20170_001	35	43	1
OS01G0116200	GSMUA_Achr1G12150_001	36	40	1
OS01G0116200	GSMUA_Achr1G12320_001	34	41	1
OS01G0116400	GSMUA_Achr10G20170_001	36	42	1
OS01G0116400	GSMUA_Achr1G12150_001	39	40	1
OS01G0116400	GSMUA_Achr1G12320_001	36	41	1
OS01G0116600	GSMUA_Achr1G00050_001	49	76	1
OS01G0116800	GSMUA_Achr10G20170_001	54	35	1
OS01G0116800	GSMUA_Achr1G12150_001	59	34	1
OS01G0116800	GSMUA_Achr1G12320_001	52	33	1
OS01G0116900	GSMUA_AchrUn_randomG08850_001	47	41	1
OS01G0116900	GSMUA_AchrUn_randomG23380_001	53	48	1
OS01G0117000	GSMUA_Achr10G20170_001	33	41	1
OS01G0117000	GSMUA_Achr1G12150_001	34	39	1
OS01G0117000	GSMUA_Achr1G12320_001	30	38	1
OS01G0117100	GSMUA_AchrUn_randomG08850_001	54	33	1
OS01G0117100	GSMUA_AchrUn_randomG23380_001	61	39	1
OS01G0117200	GSMUA_Achr10G20170_001	35	43	1
OS01G0117200	GSMUA_Achr1G12150_001	35	39	1
OS01G0117200	GSMUA_Achr1G12320_001	34	42	1
OS01G0117300	GSMUA_AchrUn_randomG08850_001	52	35	1
OS01G0117300	GSMUA_AchrUn_randomG23380_001	58	41	1
OS01G0117400	GSMUA_Achr3G01460_001	23	40	0
OS01G0117400	GSMUA_Achr6G09840_001	26	25	0
OS01G0117500	GSMUA_AchrUn_randomG08850_001	45	36	1
OS01G0117500	GSMUA_AchrUn_randomG23380_001	50	42	1
OS01G0117600	GSMUA_Achr10G20170_001	36	44	1
OS01G0117600	GSMUA_Achr1G12150_001	38	42	1
OS01G0117600	GSMUA_Achr1G12320_001	34	41	1
OS01G0117700	GSMUA_AchrUn_randomG08850_001	42	45	1
OS01G0117700	GSMUA_AchrUn_randomG23380_001	44	50	1
OS01G0117900	GSMUA_Achr10G20140_001	71	73	1
OS01G0117900	GSMUA_Achr6G09500_001	70	72	1
OS01G0118000	GSMUA_Achr6G09510_001	83	91	1
OS01G0118000	GSMUA_AchrUn_randomG16350_001	86	85	1
OS01G0118100	GSMUA_Achr3G20920_001	79	52	1
OS01G0118300	GSMUA_Achr10G20130_001	79	31	1
OS01G0118300	GSMUA_Achr3G20930_001	75	30	1
OS01G0118300	GSMUA_Achr6G09550_001	77	31	1
OS01G0118300	GSMUA_AchrUn_randomG16370_001	73	29	1
OS01G0118700	GSMUA_Achr10G20090_001	31	35	1
OS01G0118700	GSMUA_Achr11G13560_001	27	33	1
OS01G0118700	GSMUA_Achr1G12160_001	37	41	1
OS01G0118700	GSMUA_Achr1G20820_001	33	32	1
OS01G0118700	GSMUA_Achr1G20830_001	32	38	1
OS01G0118700	GSMUA_Achr1G20840_001	37	34	1
OS01G0118700	GSMUA_Achr1G26750_001	31	44	1
OS01G0118700	GSMUA_Achr3G01270_001	36	37	1
OS01G0118700	GSMUA_Achr3G20940_001	37	36	1
OS01G0118700	GSMUA_Achr6G09580_001	36	36	1
OS01G0118700	GSMUA_Achr9G00660_001	39	39	1
OS01G0118700	GSMUA_Achr9G00670_001	31	37	1
OS01G0118700	GSMUA_Achr9G00680_001	29	36	1
OS01G0118700	GSMUA_AchrUn_randomG16380_001	33	42	1
OS01G0119000	GSMUA_Achr10G20090_001	33	35	1
OS01G0119000	GSMUA_Achr11G13560_001	28	32	1
OS01G0119000	GSMUA_Achr1G12160_001	38	39	1
OS01G0119000	GSMUA_Achr1G20820_001	35	31	1
OS01G0119000	GSMUA_Achr1G20830_001	33	37	1
OS01G0119000	GSMUA_Achr1G20840_001	37	31	1
OS01G0119000	GSMUA_Achr1G26750_001	31	40	1
OS01G0119000	GSMUA_Achr3G01270_001	33	31	1
OS01G0119000	GSMUA_Achr3G20940_001	36	33	1
OS01G0119000	GSMUA_Achr6G09580_001	36	33	1
OS01G0119000	GSMUA_Achr9G00660_001	37	35	1
OS01G0119000	GSMUA_Achr9G00670_001	34	37	1
OS01G0119000	GSMUA_Achr9G00680_001	31	36	1
OS01G0119000	GSMUA_AchrUn_randomG16380_001	32	38	1
OS01G0119100	GSMUA_Achr10G20090_001	30	39	1
OS01G0119100	GSMUA_Achr11G13560_001	27	37	1
OS01G0119100	GSMUA_Achr1G12160_001	32	39	1
OS01G0119100	GSMUA_Achr1G20820_001	33	35	1
OS01G0119100	GSMUA_Achr1G20830_001	31	42	1
OS01G0119100	GSMUA_Achr1G20840_001	31	32	1
OS01G0119100	GSMUA_Achr1G26750_001	28	44	1
OS01G0119100	GSMUA_Achr3G01270_001	32	36	1
OS01G0119100	GSMUA_Achr3G20940_001	31	34	1
OS01G0119100	GSMUA_Achr6G09580_001	32	36	1
OS01G0119100	GSMUA_Achr9G00660_001	31	36	1
OS01G0119100	GSMUA_Achr9G00670_001	31	40	1
OS01G0119100	GSMUA_Achr9G00680_001	29	40	1
OS01G0119100	GSMUA_AchrUn_randomG16380_001	31	44	1
OS01G0120300	GSMUA_Achr2G22790_001	77	64	1
OS01G0120400	GSMUA_Achr10G20070_001	64	65	1
OS01G0120500	GSMUA_Achr9G00620_001	58	60	1
OS01G0120600	GSMUA_Achr10G20060_001	47	46	1
OS01G0120600	GSMUA_Achr2G22780_001	45	47	1
OS01G0120800	GSMUA_Achr3G23190_001	70	69	1
OS01G0120800	GSMUA_Achr5G26490_001	69	70	1
OS01G0121000	GSMUA_Achr10G20050_001	38	50	1
OS01G0121000	GSMUA_Achr6G09590_001	38	48	1
OS01G0121100	GSMUA_Achr3G17640_001	56	58	1
OS01G0121200	GSMUA_Achr10G25370_001	47	49	1
OS01G0121200	GSMUA_Achr2G14560_001	57	60	1
OS01G0121200	GSMUA_Achr2G22770_001	59	59	1
OS01G0121200	GSMUA_Achr3G01280_001	60	45	1
OS01G0121200	GSMUA_AchrUn_randomG16390_001	54	61	1
OS01G0121300	GSMUA_Achr10G20040_001	43	41	1
OS01G0121500	GSMUA_Achr1G20910_001	38	30	1
OS01G0121500	GSMUA_Achr6G26390_001	38	30	1
OS01G0121500	GSMUA_Achr9G00610_001	38	30	1
OS01G0121600	GSMUA_Achr1G20910_001	43	41	1
OS01G0121600	GSMUA_Achr6G26390_001	43	41	1
OS01G0121600	GSMUA_Achr9G00610_001	44	42	1
OS01G0121700	GSMUA_Achr10G20030_001	76	75	1
OS01G0121800	GSMUA_Achr10G20020_001	69	68	1
OS01G0121800	GSMUA_Achr2G07130_001	69	61	1
OS01G0122200	GSMUA_Achr3G15050_001	16	17	0
OS01G0123700	GSMUA_Achr3G15050_001	19	18	0
OS01G0125600	GSMUA_Achr10G25390_001	30	36	1
OS01G0125600	GSMUA_Achr2G22760_001	40	48	1
OS01G0125600	GSMUA_Achr3G01290_001	39	44	1
OS01G0125600	GSMUA_Achr7G12020_001	29	35	1
OS01G0125700	GSMUA_Achr10G20000_001	67	76	1
OS01G0125800	GSMUA_Achr10G19980_001	75	75	1
OS01G0125800	GSMUA_Achr3G20980_001	68	72	1
OS01G0125900	GSMUA_Achr1G26360_001	56	61	1
OS01G0125900	GSMUA_Achr8G34010_001	48	49	1
OS01G0126100	GSMUA_Achr3G01300_001	67	68	1
OS01G0126100	GSMUA_Achr3G20990_001	66	66	1
OS01G0126200	GSMUA_Achr6G03290_001	58	60	1
OS01G0126900	GSMUA_Achr7G12010_001	67	68	1
OS01G0127000	GSMUA_Achr7G12010_001	59	46	1
OS01G0127200	GSMUA_Achr7G12010_001	54	59	1
OS01G0127300	GSMUA_Achr10G14420_001	47	47	1
OS01G0127400	GSMUA_Achr1G20940_001	64	59	1
OS01G0127500	GSMUA_Achr6G09630_001	60	63	0
OS01G0127900	GSMUA_Achr11G13180_001	60	64	1
OS01G0127900	GSMUA_Achr1G21030_001	61	64	1
OS01G0128000	GSMUA_Achr10G19840_001	33	65	1
OS01G0128000	GSMUA_Achr11G13200_001	40	44	1
OS01G0128000	GSMUA_Achr1G21020_001	32	57	1
OS01G0128000	GSMUA_Achr2G22640_001	38	46	1
OS01G0128000	GSMUA_Achr3G21060_001	39	45	1
OS01G0128000	GSMUA_Achr6G09760_001	41	46	1
OS01G0128000	GSMUA_Achr8G18460_001	39	54	1
OS01G0128100	GSMUA_Achr10G25450_001	66	66	1
OS01G0128200	GSMUA_Achr1G21000_001	64	60	1
OS01G0128300	GSMUA_Achr10G25440_001	50	48	0
OS01G0128300	GSMUA_Achr7G11980_001	53	50	0
OS01G0128400	GSMUA_Achr10G19860_001	53	54	1
OS01G0128400	GSMUA_Achr6G09730_001	19	49	1
OS01G0128400	GSMUA_Achr7G11990_001	52	53	1
OS01G0128400	GSMUA_Achr8G18440_001	22	45	1
OS01G0128400	GSMUA_Achr8G18450_001	30	56	1
OS01G0128800	GSMUA_Achr10G19870_001	66	19	1
OS01G0129200	GSMUA_Achr3G01350_001	22	51	1
OS01G0129500	GSMUA_Achr10G19890_001	31	39	1
OS01G0129500	GSMUA_Achr2G22710_001	32	40	1
OS01G0129500	GSMUA_Achr3G01340_001	38	37	1
OS01G0129500	GSMUA_Achr3G21050_001	30	51	1
OS01G0129500	GSMUA_Achr6G20590_001	38	40	1
OS01G0129500	GSMUA_AchrUn_randomG15730_001	34	52	1
OS01G0130000	GSMUA_Achr10G25430_001	68	70	1
OS01G0130000	GSMUA_Achr6G09720_001	72	71	1
OS01G0130000	GSMUA_Achr8G18410_001	72	70	1
OS01G0130400	GSMUA_Achr1G20950_001	64	76	1
OS01G0130900	GSMUA_AchrUn_randomG08860_001	33	36	1
OS01G0131300	GSMUA_Achr6G09680_001	46	41	1
OS01G0131300	GSMUA_AchrUn_randomG16410_001	41	38	1
OS01G0131600	GSMUA_Achr10G19950_001	27	14	0
OS01G0131600	GSMUA_Achr1G23090_001	26	27	0
OS01G0131600	GSMUA_Achr4G06840_001	23	28	0
OS01G0131600	GSMUA_Achr4G13800_001	23	26	0
OS01G0131600	GSMUA_Achr9G19330_001	24	29	0
OS01G0131800	GSMUA_Achr2G07160_001	64	62	1
OS01G0132500	GSMUA_Achr2G14610_001	41	42	1
OS01G0132700	GSMUA_Achr9G06270_001	66	63	1
OS01G0132766	GSMUA_Achr11G13330_001	23	24	1
OS01G0132766	GSMUA_Achr2G07210_001	36	40	1
OS01G0132766	GSMUA_Achr2G14620_001	28	34	1
OS01G0132766	GSMUA_Achr3G21070_001	32	36	1
OS01G0132766	GSMUA_Achr4G06770_001	25	32	1
OS01G0132766	GSMUA_Achr4G13760_001	30	39	1
OS01G0132766	GSMUA_Achr5G09990_001	25	33	1
OS01G0132766	GSMUA_Achr7G11950_001	28	36	1
OS01G0132766	GSMUA_Achr8G18340_001	34	39	1
OS01G0132766	GSMUA_Achr9G21420_001	30	35	1
OS01G0132800	GSMUA_Achr5G23710_001	65	65	1
OS01G0133400	GSMUA_Achr10G25480_001	75	80	1
OS01G0133400	GSMUA_Achr5G23720_001	79	78	1
OS01G0133500	GSMUA_Achr7G11930_001	42	60	1
OS01G0133500	GSMUA_Achr7G11940_001	12	42	1
OS01G0133600	GSMUA_Achr6G09800_001	32	49	1
OS01G0133600	GSMUA_Achr8G17910_001	14	46	1
OS01G0133700	GSMUA_Achr6G09800_001	40	32	1
OS01G0133700	GSMUA_Achr8G17910_001	25	44	1
OS01G0134500	GSMUA_Achr10G19770_001	73	73	1
OS01G0134500	GSMUA_Achr1G12200_001	76	75	1
OS01G0134500	GSMUA_Achr3G01490_001	74	74	1
OS01G0134500	GSMUA_Achr6G09810_001	70	70	1
OS01G0134700	GSMUA_Achr1G21130_001	46	47	1
OS01G0134700	GSMUA_Achr2G14630_001	43	37	1
OS01G0134700	GSMUA_Achr4G24350_001	46	25	1
OS01G0134700	GSMUA_Achr6G03300_001	43	48	1
OS01G0134700	GSMUA_Achr8G17930_001	46	47	1
OS01G0135700	GSMUA_Achr11G13360_001	41	43	1
OS01G0135700	GSMUA_Achr8G17950_001	46	47	1
OS01G0135800	GSMUA_Achr1G21150_001	48	44	1
OS01G0136000	GSMUA_Achr6G33860_001	66	59	1
OS01G0136000	GSMUA_Achr7G14910_001	58	52	1
OS01G0136000	GSMUA_Achr8G00290_001	50	52	1
OS01G0136000	GSMUA_Achr9G03540_001	66	61	1
OS01G0136050	GSMUA_Achr11G13380_001	39	34	1
OS01G0136100	GSMUA_Achr6G33860_001	66	60	1
OS01G0136100	GSMUA_Achr7G14910_001	57	51	1
OS01G0136100	GSMUA_Achr8G00290_001	49	50	1
OS01G0136100	GSMUA_Achr9G03540_001	65	61	1
OS01G0136200	GSMUA_Achr6G33860_001	67	61	1
OS01G0136200	GSMUA_Achr7G14910_001	58	52	1
OS01G0136200	GSMUA_Achr8G00290_001	49	51	1
OS01G0136200	GSMUA_Achr9G03540_001	66	62	1
OS01G0136400	GSMUA_Achr10G19760_001	32	51	0
OS01G0136400	GSMUA_Achr2G22610_001	41	39	0
OS01G0136400	GSMUA_Achr3G01480_001	31	58	0
OS01G0136400	GSMUA_Achr6G09830_001	34	53	0
OS01G0136700	GSMUA_Achr1G23160_001	24	18	1
OS01G0136700	GSMUA_Achr1G23170_001	23	12	1
OS01G0136700	GSMUA_Achr3G29450_001	23	21	1
OS01G0136800	GSMUA_Achr10G19760_001	30	47	0
OS01G0136800	GSMUA_Achr2G22610_001	39	37	0
OS01G0136800	GSMUA_Achr3G01480_001	29	55	0
OS01G0136800	GSMUA_Achr6G09830_001	32	49	0
OS01G0136900	GSMUA_Achr10G19750_001	37	41	1
OS01G0137250	GSMUA_Achr10G19750_001	46	38	1
OS01G0137282	GSMUA_Achr1G23160_001	29	18	1
OS01G0137282	GSMUA_Achr1G23170_001	28	13	1
OS01G0137282	GSMUA_Achr3G29450_001	26	20	1
OS01G0137400	GSMUA_Achr10G19750_001	30	40	1
OS01G0137500	GSMUA_Achr10G19750_001	48	34	1
OS01G0137700	GSMUA_Achr1G23160_001	27	19	1
OS01G0137700	GSMUA_Achr1G23170_001	26	14	1
OS01G0137700	GSMUA_Achr3G29450_001	23	20	1
OS01G0137950	GSMUA_Achr10G19750_001	39	17	1
OS01G0138300	GSMUA_Achr10G19750_001	30	42	1
OS01G0138400	GSMUA_Achr10G19750_001	14	20	1
OS01G0138600	GSMUA_Achr3G17470_001	1	1	1
OS01G0138600	GSMUA_Achr8G29530_001	36	22	1
OS01G0138800	GSMUA_Achr1G21220_001	69	71	1
OS01G0138800	GSMUA_Achr3G29410_001	65	70	1
OS01G0138900	GSMUA_Achr11G13390_001	65	66	1
OS01G0139200	GSMUA_Achr10G19740_001	28	56	1
OS01G0139200	GSMUA_Achr11G13400_001	49	47	1
OS01G0139200	GSMUA_Achr1G21240_001	43	48	1
OS01G0139200	GSMUA_Achr2G07240_001	41	51	1
OS01G0139200	GSMUA_Achr2G22590_001	42	29	1
OS01G0139200	GSMUA_Achr6G09850_001	48	46	1
OS01G0139200	GSMUA_Achr8G18320_001	41	53	1
OS01G0139200	GSMUA_AchrUn_randomG06840_001	35	61	1
OS01G0139600	GSMUA_Achr8G18310_001	59	61	1
OS01G0140100	GSMUA_Achr10G25500_001	61	51	1
OS01G0140100	GSMUA_Achr4G24330_001	46	54	1
OS01G0140100	GSMUA_Achr7G11900_001	58	61	1
OS01G0140400	GSMUA_Achr10G19720_001	25	62	1
OS01G0140400	GSMUA_Achr8G18280_001	44	64	1
OS01G0140400	GSMUA_Achr8G18290_001	20	49	1
OS01G0140500	GSMUA_Achr10G19730_001	51	34	0
