Gene stable ID	Chlamydomonas reinhardtii gene stable ID	% identity	Chlamydomonas reinhardtii % identity	Orthology confidence [0 low, 1 high]
OS01G0152700	CHLREDRAFT_124894	95	38	1
OS01G0152700	CHLREDRAFT_125122	95	25	1
OS01G0152700	CHLREDRAFT_160509	95	26	1
OS01G0152700	CHLREDRAFT_168516	95	25	1
OS01G0152700	CHLREDRAFT_172560	95	25	1
OS01G0152700	CHLREDRAFT_181233	95	33	1
OS01G0152700	CHLREDRAFT_60	95	25	1
OS01G0152700	CHLREDRAFT_648	95	25	1
OS01G0152700	CHLREDRAFT_654	95	25	1
OS01G0152700	CHLREDRAFT_885	95	25	1
OS01G0152700	CHLREDRAFT_97627	95	25	1
OS01G0152700	CHLREDRAFT_97907	95	25	1
OS01G0152700	CHLREDRAFT_98035	95	25	1
OS01G0152700	CHLREDRAFT_98097	95	25	1
OS01G0153200	CHLREDRAFT_59755	30	26	0
OS01G0153400	CHLREDRAFT_196583	54	29	0
OS01G0158500	CHLREDRAFT_119290	50	51	1
OS01G0158800	CHLREDRAFT_127913	27	28	1
OS01G0158900	CHLREDRAFT_114109	34	46	1
OS01G0159400	CHLREDRAFT_111185	11	73	1
OS01G0159400	CHLREDRAFT_40101	39	53	1
OS01G0160100	CHLREDRAFT_127786	54	56	1
OS01G0164500	CHLREDRAFT_118990	40	45	1
OS01G0164600	CHLREDRAFT_178269	27	9	1
OS01G0164600	CHLREDRAFT_178366	20	9	1
OS01G0164600	CHLREDRAFT_193906	29	7	1
OS01G0164600	CHLREDRAFT_205673	28	6	1
OS01G0164700	CHLREDRAFT_163582	22	39	0
OS01G0166800	CHLREDRAFT_146531	23	19	0
OS01G0168400	CHLREDRAFT_177885	23	25	1
OS01G0170000	CHLREDRAFT_205571	39	15	1
OS01G0172100	CHLREDRAFT_182319	44	43	1
OS01G0172100	CHLREDRAFT_191135	46	45	1
OS01G0172200	CHLREDRAFT_136620	37	49	1
OS01G0173000	CHLREDRAFT_117478	32	42	1
OS01G0173100	CHLREDRAFT_191820	34	36	1
OS01G0173600	CHLREDRAFT_104003	33	48	1
OS01G0174500	CHLREDRAFT_111255	27	33	1
OS01G0174500	CHLREDRAFT_111555	25	30	1
OS01G0174500	CHLREDRAFT_122372	27	33	1
OS01G0174500	CHLREDRAFT_143143	24	28	1
OS01G0174500	CHLREDRAFT_166317	28	26	1
OS01G0174500	CHLREDRAFT_187378	24	29	1
OS01G0174500	CHLREDRAFT_79261	23	32	1
OS01G0174500	CHLREDRAFT_96954	28	31	1
OS01G0174700	CHLREDRAFT_183965	33	21	1
OS01G0174900	CHLREDRAFT_195767	28	33	1
OS01G0175000	CHLREDRAFT_144069	19	26	1
OS01G0175600	CHLREDRAFT_114486	36	48	1
OS01G0175700	CHLREDRAFT_114486	36	48	1
OS01G0177200	CHLREDRAFT_111890	35	44	1
OS01G0178000	CHLREDRAFT_146923	47	42	1
OS01G0178200	CHLREDRAFT_165256	32	30	1
OS01G0178200	CHLREDRAFT_176026	31	30	1
OS01G0178400	CHLREDRAFT_127638	49	20	1
OS01G0179200	CHLREDRAFT_195412	44	44	1
OS01G0179400	CHLREDRAFT_167592	12	16	1
OS01G0179700	CHLREDRAFT_60490	83	83	1
OS01G0179800	CHLREDRAFT_154748	28	30	1
OS01G0180800	CHLREDRAFT_15589	45	47	1
OS01G0183100	CHLREDRAFT_144515	43	42	1
OS01G0184100	CHLREDRAFT_134508	28	30	1
OS01G0184100	CHLREDRAFT_142751	31	28	1
OS01G0184500	CHLREDRAFT_189941	23	27	1
OS01G0184800	CHLREDRAFT_205701	37	44	1
OS01G0184900	CHLREDRAFT_142283	7	23	0
OS01G0184900	CHLREDRAFT_189879	33	38	0
OS01G0185200	CHLREDRAFT_193475	19	42	0
OS01G0186200	CHLREDRAFT_99299	12	43	1
OS01G0186700	CHLREDRAFT_116419	50	57	1
OS01G0188100	CHLREDRAFT_187819	40	40	1
OS01G0188400	CHLREDRAFT_126820	43	44	1
OS01G0190400	CHLREDRAFT_21582	35	24	1
OS01G0191100	CHLREDRAFT_195600	46	49	0
OS01G0191150	CHLREDRAFT_181887	40	18	1
OS01G0191500	CHLREDRAFT_10419	27	28	1
OS01G0191500	CHLREDRAFT_206036	31	31	1
OS01G0191800	CHLREDRAFT_145741	68	68	1
OS01G0192000	CHLREDRAFT_119209	18	64	1
OS01G0192000	CHLREDRAFT_182666	21	65	1
OS01G0192000	CHLREDRAFT_205729	27	14	1
OS01G0193600	CHLREDRAFT_188565	32	24	1
OS01G0195500	CHLREDRAFT_122741	27	49	1
OS01G0196500	CHLREDRAFT_171434	26	26	1
OS01G0197200	CHLREDRAFT_136376	62	60	1
OS01G0198200	CHLREDRAFT_153736	66	70	1
OS01G0198200	CHLREDRAFT_15736	58	53	1
OS01G0199400	CHLREDRAFT_146499	24	28	1
OS01G0199400	CHLREDRAFT_157360	19	26	1
OS01G0199400	CHLREDRAFT_188602	21	12	1
OS01G0199400	CHLREDRAFT_206127	14	19	1
OS01G0199900	CHLREDRAFT_196726	50	48	0
OS01G0200000	CHLREDRAFT_186904	49	51	1
OS01G0200400	CHLREDRAFT_141005	22	22	1
OS01G0200500	CHLREDRAFT_148095	16	28	1
OS01G0204000	CHLREDRAFT_190579	16	25	1
OS01G0205500	CHLREDRAFT_195587	68	70	1
OS01G0207300	CHLREDRAFT_182408	79	33	1
OS01G0208700	CHLREDRAFT_80312	22	48	1
OS01G0209400	CHLREDRAFT_144221	43	28	1
OS01G0210500	CHLREDRAFT_145011	24	31	1
OS01G0210700	CHLREDRAFT_151393	10	19	1
OS01G0210900	CHLREDRAFT_196874	37	37	0
OS01G0211000	CHLREDRAFT_196874	38	38	0
OS01G0211200	CHLREDRAFT_196874	40	39	0
OS01G0211600	CHLREDRAFT_196874	43	32	0
OS01G0214200	CHLREDRAFT_149530	41	18	1
OS01G0214400	CHLREDRAFT_101710	32	38	1
OS01G0215100	CHLREDRAFT_126671	31	8	1
OS01G0215100	CHLREDRAFT_189662	37	11	1
OS01G0218200	CHLREDRAFT_186231	12	23	1
OS01G0218700	CHLREDRAFT_99858	37	54	1
OS01G0218800	CHLREDRAFT_115484	6	40	1
OS01G0218900	CHLREDRAFT_115484	0	0	1
OS01G0219100	CHLREDRAFT_184074	27	29	1
OS01G0220200	CHLREDRAFT_148361	32	27	1
OS01G0220300	CHLREDRAFT_194972	21	25	1
OS01G0221700	CHLREDRAFT_205883	32	32	1
OS01G0221900	CHLREDRAFT_95256	9	4	1
OS01G0222500	CHLREDRAFT_190371	44	44	1
OS01G0224400	CHLREDRAFT_196379	26	7	1
OS01G0225000	CHLREDRAFT_196089	34	24	0
OS01G0225200	CHLREDRAFT_114154	27	13	1
OS01G0225400	CHLREDRAFT_196344	59	19	1
OS01G0225500	CHLREDRAFT_196344	48	44	1
OS01G0226400	CHLREDRAFT_113573	12	44	1
OS01G0227100	CHLREDRAFT_205572	32	34	1
OS01G0227300	CHLREDRAFT_195521	70	70	1
OS01G0228300	CHLREDRAFT_148797	32	31	1
OS01G0228300	CHLREDRAFT_148800	28	22	1
OS01G0228600	CHLREDRAFT_146322	12	14	1
OS01G0229100	CHLREDRAFT_128430	45	44	1
OS01G0229900	CHLREDRAFT_188669	9	11	0
OS01G0231500	CHLREDRAFT_101519	14	62	1
OS01G0231500	CHLREDRAFT_137286	49	63	1
OS01G0232300	CHLREDRAFT_171949	22	11	1
OS01G0232400	CHLREDRAFT_96488	10	40	1
OS01G0232500	CHLREDRAFT_188669	18	38	0
OS01G0232700	CHLREDRAFT_126232	63	65	0
OS01G0233100	CHLREDRAFT_147453	27	32	1
OS01G0233500	CHLREDRAFT_147453	27	33	1
OS01G0233900	CHLREDRAFT_188669	17	37	0
OS01G0234800	CHLREDRAFT_57076	63	42	1
OS01G0235100	CHLREDRAFT_166099	17	28	1
OS01G0235300	CHLREDRAFT_145011	22	27	1
OS01G0235400	CHLREDRAFT_189325	6	8	1
OS01G0238500	CHLREDRAFT_30522	29	24	1
OS01G0238600	CHLREDRAFT_79613	40	46	1
OS01G0238900	CHLREDRAFT_98291	1	2	1
OS01G0239000	CHLREDRAFT_115247	5	45	1
OS01G0239200	CHLREDRAFT_205633	39	40	1
OS01G0242500	CHLREDRAFT_103073	47	55	1
OS01G0243100	CHLREDRAFT_140337	19	20	1
OS01G0243200	CHLREDRAFT_115088	22	23	0
OS01G0243200	CHLREDRAFT_206012	19	17	0
OS01G0246100	CHLREDRAFT_145462	23	26	1
OS01G0246400	CHLREDRAFT_137766	26	30	1
OS01G0246400	CHLREDRAFT_137786	26	30	1
OS01G0248400	CHLREDRAFT_196567	66	57	0
OS01G0248600	CHLREDRAFT_146514	36	35	1
OS01G0248701	CHLREDRAFT_195038	44	52	1
OS01G0250900	CHLREDRAFT_99000	43	54	1
OS01G0251100	CHLREDRAFT_171607	39	44	1
OS01G0251200	CHLREDRAFT_150664	20	16	1
OS01G0253300	CHLREDRAFT_139246	65	61	0
OS01G0253900	CHLREDRAFT_205924	22	26	1
OS01G0254000	CHLREDRAFT_82091	77	78	1
OS01G0256400	CHLREDRAFT_194837	45	64	0
OS01G0256800	CHLREDRAFT_107301	8	16	0
OS01G0256800	CHLREDRAFT_116281	17	21	0
OS01G0256800	CHLREDRAFT_122089	4	33	0
OS01G0256900	CHLREDRAFT_196303	63	69	0
OS01G0259400	CHLREDRAFT_193436	29	37	1
OS01G0259600	CHLREDRAFT_13453	35	8	1
OS01G0260700	CHLREDRAFT_176799	14	13	1
OS01G0261500	CHLREDRAFT_173029	22	15	1
OS01G0263600	CHLREDRAFT_129783	53	41	1
OS01G0264100	CHLREDRAFT_157049	25	17	1
OS01G0265700	CHLREDRAFT_195671	27	21	1
OS01G0266000	CHLREDRAFT_99784	7	47	0
OS01G0266500	CHLREDRAFT_151272	31	26	0
OS01G0266600	CHLREDRAFT_160787	27	24	1
OS01G0267100	CHLREDRAFT_146896	8	52	1
OS01G0267200	CHLREDRAFT_24132	77	78	1
OS01G0267300	CHLREDRAFT_205541	23	31	1
OS01G0267900	CHLREDRAFT_188144	86	79	1
OS01G0268300	CHLREDRAFT_114600	47	53	0
OS01G0268800	CHLREDRAFT_148390	34	33	1
OS01G0269000	CHLREDRAFT_195057	39	49	0
OS01G0270700	CHLREDRAFT_111968	26	44	1
OS01G0271200	CHLREDRAFT_195543	54	50	1
OS01G0271400	CHLREDRAFT_147520	35	37	1
OS01G0271500	CHLREDRAFT_114649	52	57	1
OS01G0272600	CHLREDRAFT_139469	38	31	1
OS01G0272600	CHLREDRAFT_146573	42	27	1
OS01G0272600	CHLREDRAFT_190337	26	24	1
OS01G0272600	CHLREDRAFT_191344	26	16	1
OS01G0273300	CHLREDRAFT_181778	7	32	1
OS01G0273300	CHLREDRAFT_191691	15	16	1
OS01G0273500	CHLREDRAFT_141756	33	6	1
OS01G0275200	CHLREDRAFT_177263	8	3	1
OS01G0275200	CHLREDRAFT_18730	23	10	1
OS01G0275200	CHLREDRAFT_206134	18	8	1
OS01G0275600	CHLREDRAFT_177263	14	11	1
OS01G0275600	CHLREDRAFT_18730	28	24	1
OS01G0275600	CHLREDRAFT_206134	22	20	1
OS01G0276000	CHLREDRAFT_166012	73	74	1
OS01G0276100	CHLREDRAFT_196044	67	67	1
OS01G0276200	CHLREDRAFT_195513	33	41	1
OS01G0276400	CHLREDRAFT_206031	39	28	1
OS01G0276500	CHLREDRAFT_187988	44	44	1
OS01G0276700	CHLREDRAFT_136854	66	66	1
OS01G0276700	CHLREDRAFT_149896	49	10	1
OS01G0276700	CHLREDRAFT_196261	45	11	1
OS01G0276800	CHLREDRAFT_105079	7	50	0
OS01G0277600	CHLREDRAFT_193025	31	29	0
OS01G0278200	CHLREDRAFT_109222	55	10	1
OS01G0278200	CHLREDRAFT_195180	0	0	1
OS01G0279000	CHLREDRAFT_132294	28	37	0
OS01G0279100	CHLREDRAFT_183476	57	57	1
OS01G0279100	CHLREDRAFT_205856	62	62	1
OS01G0279200	CHLREDRAFT_23975	18	19	1
OS01G0279300	CHLREDRAFT_188144	85	77	1
OS01G0279700	CHLREDRAFT_130070	44	60	1
OS01G0280500	CHLREDRAFT_188065	65	66	1
OS01G0281400	CHLREDRAFT_195438	63	63	1
OS01G0283100	CHLREDRAFT_192148	39	33	1
OS01G0283100	CHLREDRAFT_195016	33	38	1
OS01G0283500	CHLREDRAFT_190549	25	35	1
OS01G0284300	CHLREDRAFT_187846	15	22	1
OS01G0284700	CHLREDRAFT_185571	41	33	1
OS01G0286600	CHLREDRAFT_191043	57	55	1
OS01G0290000	CHLREDRAFT_128744	29	48	0
OS01G0290100	CHLREDRAFT_152707	26	27	1
OS01G0290600	CHLREDRAFT_152707	25	26	1
OS01G0292900	CHLREDRAFT_171833	4	24	1
OS01G0293000	CHLREDRAFT_182408	78	79	1
OS01G0295900	CHLREDRAFT_121180	36	21	0
OS01G0299700	CHLREDRAFT_168851	23	20	1
OS01G0300000	CHLREDRAFT_168851	25	18	1
OS01G0300200	CHLREDRAFT_186611	64	73	1
OS01G0300900	CHLREDRAFT_94454	12	26	0
OS01G0303000	CHLREDRAFT_148487	31	36	1
OS01G0303200	CHLREDRAFT_113417	9	38	1
OS01G0303600	CHLREDRAFT_95634	17	31	1
OS01G0304000	CHLREDRAFT_147472	62	69	1
OS01G0307562	CHLREDRAFT_168224	0	0	1
OS01G0307562	CHLREDRAFT_189038	4	6	1
OS01G0307562	CHLREDRAFT_98450	0	0	1
OS01G0309900	CHLREDRAFT_184308	14	17	1
OS01G0314100	CHLREDRAFT_101057	15	52	1
OS01G0314300	CHLREDRAFT_127678	57	56	1
OS01G0315800	CHLREDRAFT_135101	55	72	1
OS01G0316100	CHLREDRAFT_153238	24	22	0
OS01G0316600	CHLREDRAFT_195847	23	9	1
OS01G0316600	CHLREDRAFT_195849	25	9	1
OS01G0317800	CHLREDRAFT_146499	22	21	1
OS01G0317800	CHLREDRAFT_157360	20	23	1
OS01G0317800	CHLREDRAFT_188602	26	12	1
OS01G0317800	CHLREDRAFT_206127	21	23	1
OS01G0318000	CHLREDRAFT_146499	23	12	1
OS01G0318000	CHLREDRAFT_157360	19	11	1
OS01G0318000	CHLREDRAFT_188602	26	6	1
OS01G0318000	CHLREDRAFT_206127	20	11	1
OS01G0318700	CHLREDRAFT_126076	53	27	1
OS01G0321300	CHLREDRAFT_131439	51	71	1
OS01G0321300	CHLREDRAFT_138696	52	24	1
OS01G0322300	CHLREDRAFT_174103	47	18	1
OS01G0322800	CHLREDRAFT_189778	67	67	0
OS01G0323600	CHLREDRAFT_182408	80	81	1
OS01G0328600	CHLREDRAFT_205606	12	8	1
OS01G0328700	CHLREDRAFT_57890	63	63	1
OS01G0329400	CHLREDRAFT_96857	30	37	1
OS01G0330200	CHLREDRAFT_148474	18	17	0
OS01G0330200	CHLREDRAFT_155869	34	24	0
OS01G0331900	CHLREDRAFT_145545	33	31	1
OS01G0337500	CHLREDRAFT_137778	63	64	1
OS01G0337600	CHLREDRAFT_170459	25	36	1
OS01G0337900	CHLREDRAFT_205763	55	54	1
OS01G0338000	CHLREDRAFT_82091	74	74	1
OS01G0338200	CHLREDRAFT_101854	18	50	1
OS01G0338600	CHLREDRAFT_184411	46	53	1
OS01G0339900	CHLREDRAFT_189940	23	34	0
OS01G0342750	CHLREDRAFT_181729	8	39	1
OS01G0343500	CHLREDRAFT_205921	25	11	1
OS01G0347600	CHLREDRAFT_148474	20	18	0
OS01G0347600	CHLREDRAFT_155869	38	26	0
OS01G0348600	CHLREDRAFT_132158	44	46	1
OS01G0348700	CHLREDRAFT_174711	72	74	1
OS01G0349400	CHLREDRAFT_160030	64	69	1
OS01G0355500	CHLREDRAFT_169796	6	20	1
OS01G0355600	CHLREDRAFT_152851	9	8	1
OS01G0355900	CHLREDRAFT_178039	16	26	1
OS01G0356500	CHLREDRAFT_72868	34	34	1
OS01G0357100	CHLREDRAFT_192085	37	40	1
OS01G0358400	CHLREDRAFT_188837	69	70	1
OS01G0360600	CHLREDRAFT_182932	39	40	1
OS01G0361500	CHLREDRAFT_175615	20	28	1
OS01G0361500	CHLREDRAFT_176249	18	23	1
OS01G0361700	CHLREDRAFT_175615	30	4	1
OS01G0361700	CHLREDRAFT_176249	14	2	1
OS01G0362100	CHLREDRAFT_175615	20	28	1
OS01G0362100	CHLREDRAFT_176249	18	24	1
OS01G0363600	CHLREDRAFT_126905	42	29	1
OS01G0367100	CHLREDRAFT_193550	35	32	1
OS01G0367300	CHLREDRAFT_195740	1	5	1
OS01G0367400	CHLREDRAFT_193550	32	24	1
OS01G0367900	CHLREDRAFT_135484	58	60	1
OS01G0369000	CHLREDRAFT_116937	64	64	1
OS01G0369200	CHLREDRAFT_116937	56	57	1
OS01G0372700	CHLREDRAFT_117306	60	62	1
OS01G0374900	CHLREDRAFT_182811	34	29	1
OS01G0375000	CHLREDRAFT_116921	31	49	0
OS01G0375200	CHLREDRAFT_196935	45	42	1
OS01G0375500	CHLREDRAFT_196935	43	22	1
OS01G0376700	CHLREDRAFT_149366	19	18	1
OS01G0377500	CHLREDRAFT_134551	31	53	1
OS01G0382700	CHLREDRAFT_107169	38	48	1
OS01G0383700	CHLREDRAFT_122289	0	0	0
OS01G0383900	CHLREDRAFT_111714	8	32	1
OS01G0390900	CHLREDRAFT_103158	27	22	1
OS01G0390900	CHLREDRAFT_184173	25	20	1
OS01G0390900	CHLREDRAFT_196136	31	22	1
OS01G0499300	CHLREDRAFT_101854	18	51	1
OS01G0500900	CHLREDRAFT_139405	54	55	1
OS01G0501700	CHLREDRAFT_195726	42	47	1
OS01G0501800	CHLREDRAFT_130316	51	58	1
OS01G0502300	CHLREDRAFT_196283	25	19	1
OS01G0505600	CHLREDRAFT_9509	31	43	0
OS01G0507300	CHLREDRAFT_165256	38	31	1
OS01G0507300	CHLREDRAFT_176026	43	36	1
OS01G0507900	CHLREDRAFT_182996	41	37	1
OS01G0510600	CHLREDRAFT_196796	28	24	1
OS01G0510800	CHLREDRAFT_101370	6	45	0
OS01G0511300	CHLREDRAFT_56672	46	44	1
OS01G0511600	CHLREDRAFT_148310	23	13	1
OS01G0512800	CHLREDRAFT_108398	42	26	1
OS01G0513100	CHLREDRAFT_172865	13	3	1
OS01G0513700	CHLREDRAFT_184510	38	42	1
OS01G0513800	CHLREDRAFT_183898	44	42	1
OS01G0513900	CHLREDRAFT_98837	17	43	1
OS01G0514000	CHLREDRAFT_83083	49	51	1
OS01G0514600	CHLREDRAFT_191590	12	23	0
OS01G0515300	CHLREDRAFT_114023	17	28	1
OS01G0516700	CHLREDRAFT_192581	25	21	1
OS01G0516900	CHLREDRAFT_173168	20	16	1
OS01G0516900	CHLREDRAFT_193342	18	9	1
OS01G0517900	CHLREDRAFT_13257	12	7	0
OS01G0518500	CHLREDRAFT_116873	14	27	1
OS01G0521400	CHLREDRAFT_108522	36	43	0
OS01G0521500	CHLREDRAFT_146711	31	19	1
OS01G0526200	CHLREDRAFT_143724	31	26	1
OS01G0527700	CHLREDRAFT_123320	33	51	1
OS01G0528000	CHLREDRAFT_168625	26	11	1
OS01G0530366	CHLREDRAFT_78868	65	59	1
OS01G0530400	CHLREDRAFT_195767	28	33	1
OS01G0531300	CHLREDRAFT_80954	25	7	1
OS01G0531500	CHLREDRAFT_122702	18	45	1
OS01G0531500	CHLREDRAFT_142342	28	25	1
OS01G0532200	CHLREDRAFT_205828	16	10	1
OS01G0533000	CHLREDRAFT_147445	4	4	1
OS01G0533100	CHLREDRAFT_147445	9	6	1
OS01G0533500	CHLREDRAFT_147445	3	2	1
OS01G0534900	CHLREDRAFT_143148	16	8	1
OS01G0534900	CHLREDRAFT_154217	22	16	1
OS01G0534900	CHLREDRAFT_15979	24	12	1
OS01G0534900	CHLREDRAFT_168596	19	8	1
OS01G0534900	CHLREDRAFT_193892	17	11	1
OS01G0534900	CHLREDRAFT_194774	22	12	1
OS01G0534900	CHLREDRAFT_206123	25	14	1
OS01G0534900	CHLREDRAFT_206129	15	7	1
OS01G0534900	CHLREDRAFT_21465	27	11	1
OS01G0534900	CHLREDRAFT_9268	16	6	1
OS01G0535900	CHLREDRAFT_177276	32	29	1
OS01G0541900	CHLREDRAFT_152921	32	29	1
OS01G0544450	CHLREDRAFT_113236	34	53	1
OS01G0546250	CHLREDRAFT_126810	43	17	1
OS01G0546900	CHLREDRAFT_168928	14	32	1
OS01G0547600	CHLREDRAFT_112201	20	18	1
OS01G0547600	CHLREDRAFT_130019	30	14	1
OS01G0547600	CHLREDRAFT_192088	31	18	1
OS01G0547600	CHLREDRAFT_192090	30	17	1
OS01G0549400	CHLREDRAFT_136620	36	50	1
OS01G0549700	CHLREDRAFT_83282	69	68	1
OS01G0550000	CHLREDRAFT_83282	69	68	1
OS01G0550100	CHLREDRAFT_58437	36	37	1
OS01G0551100	CHLREDRAFT_173928	19	2	1
OS01G0556400	CHLREDRAFT_175485	32	31	1
OS01G0558600	CHLREDRAFT_60490	83	83	1
OS01G0558800	CHLREDRAFT_196285	27	17	1
OS01G0558850	CHLREDRAFT_177997	21	51	1
OS01G0559000	CHLREDRAFT_166687	41	39	1
OS01G0559100	CHLREDRAFT_206186	61	55	1
OS01G0559300	CHLREDRAFT_152590	26	23	1
OS01G0560000	CHLREDRAFT_105119	39	43	1
OS01G0560200	CHLREDRAFT_187998	36	35	1
OS01G0562400	CHLREDRAFT_34008	16	16	1
OS01G0563000	CHLREDRAFT_34008	17	19	1
OS01G0564300	CHLREDRAFT_34008	11	8	1
OS01G0565900	CHLREDRAFT_1670	38	34	1
OS01G0566500	CHLREDRAFT_141185	30	29	1
OS01G0566500	CHLREDRAFT_141186	29	27	1
OS01G0566500	CHLREDRAFT_175612	23	28	1
OS01G0570500	CHLREDRAFT_101519	15	72	1
OS01G0570500	CHLREDRAFT_137286	53	75	1
OS01G0570700	CHLREDRAFT_195255	56	17	1
OS01G0571000	CHLREDRAFT_123309	41	49	1
OS01G0571300	CHLREDRAFT_117914	15	58	1
OS01G0574400	CHLREDRAFT_61144	52	64	1
OS01G0574500	CHLREDRAFT_61144	53	65	1
