Gene stable ID	Cyanidioschyzon merolae gene stable ID	% identity	Cyanidioschyzon merolae % identity	Orthology confidence [0 low, 1 high]
OS01G0232700	CMQ082C	31	31	0
OS01G0233100	CMI203C	23	23	1
OS01G0233100	CMI205C	7	24	1
OS01G0233400	CML173C	24	18	1
OS01G0233500	CMI203C	22	23	1
OS01G0233500	CMI205C	6	23	1
OS01G0234800	CMF111C	48	30	1
OS01G0234850	CMM224C	21	12	1
OS01G0235100	CMK090C	25	37	1
OS01G0235400	CMN027C	31	17	1
OS01G0238900	CMI132C	29	18	1
OS01G0239200	CMK114C	32	32	1
OS01G0239200	CMO269C	31	31	1
OS01G0242500	CMB076C	37	41	1
OS01G0243200	CMN318C	25	18	1
OS01G0248400	CMT216C	60	50	0
OS01G0248600	CMQ381C	34	34	1
OS01G0248701	CMK058C	37	39	1
OS01G0251100	CMF065C	37	36	1
OS01G0251200	CMT374C	14	11	1
OS01G0254000	CMT196C	65	65	1
OS01G0256800	CMC171C	17	9	0
OS01G0257400	CME096C	19	13	1
OS01G0258700	CME096C	19	13	1
OS01G0259600	CMS202C	26	7	1
OS01G0260700	CMJ237C	21	10	1
OS01G0261500	CMF166C	22	9	1
OS01G0264100	CMS159C	32	20	1
OS01G0264700	CMH189C	20	18	1
OS01G0264700	CMT608C	28	25	1
OS01G0265000	CMJ154C	54	54	1
OS01G0265900	CMS369C	26	18	1
OS01G0267200	CMC013C	60	56	0
OS01G0268300	CMH166C	51	46	0
OS01G0269000	CMA068C	32	42	0
OS01G0269900	CMS185C	30	27	1
OS01G0270700	CMM224C	24	13	1
OS01G0271200	CMC083C	41	37	1
OS01G0271400	CMS440C	35	36	1
OS01G0271500	CMM282C	34	34	1
OS01G0273100	CMP181C	42	38	0
OS01G0274800	CMK280C	23	12	1
OS01G0276000	CMM040C	38	35	1
OS01G0276100	CMS272C	52	49	1
OS01G0276200	CMF062C	21	24	1
OS01G0276500	CMQ383C	19	28	1
OS01G0276800	CMN288C	21	23	0
OS01G0277600	CMR306C	30	26	0
OS01G0277600	CMS375C	25	26	0
OS01G0279000	CMF075C	26	29	1
OS01G0279100	CMV149C	47	58	1
OS01G0279200	CMS045C	18	19	1
OS01G0279700	CMP354C	46	40	1
OS01G0280500	CMT351C	61	60	1
OS01G0281400	CMG048C	39	31	1
OS01G0283000	CMQ132C	11	19	1
OS01G0283100	CMM052C	35	25	1
OS01G0284300	CMT269C	20	12	1
OS01G0284700	CMR272C	39	25	0
OS01G0286600	CMB025C	40	38	1
OS01G0293000	CMN227C	64	64	1
OS01G0295900	CMS344C	33	11	1
OS01G0300200	CMB128C	63	58	1
OS01G0303000	CMR315C	29	30	1
OS01G0304000	CME046C	62	51	1
OS01G0307500	CMK019C	20	13	1
OS01G0307562	CMR130C	5	6	1
OS01G0307562	CMS008C	4	5	1
OS01G0311500	CMR492C	11	11	1
OS01G0314100	CML146C	32	28	1
OS01G0314300	CMH221C	46	45	1
OS01G0317800	CMS228C	10	9	1
OS01G0318000	CMS228C	6	3	1
OS01G0318700	CMB043C	45	16	1
OS01G0321300	CMQ393C	41	19	1
OS01G0321300	CMV071C	41	25	1
OS01G0322300	CMR255C	22	5	1
OS01G0322800	CMO072C	13	18	0
OS01G0323600	CMN227C	63	63	1
OS01G0328400	CMC045C	48	58	0
OS01G0328400	CMK296C	49	57	0
OS01G0328700	CMM299C	59	54	1
OS01G0329400	CMR162C	20	19	0
OS01G0331900	CMR413C	28	24	1
OS01G0337500	CMO102C	23	24	1
OS01G0337900	CMQ234C	55	56	1
OS01G0338000	CMT196C	65	64	1
OS01G0338100	CMD185C	24	32	1
OS01G0338600	CMS285C	37	34	1
OS01G0339900	CMK015C	25	10	0
OS01G0342750	CMD134C	28	25	1
OS01G0343300	CME102C	27	10	1
OS01G0347000	CMR492C	11	11	1
OS01G0348600	CMR380C	41	26	1
OS01G0348700	CMK273C	57	60	1
OS01G0353600	CMD102C	36	28	1
OS01G0354200	CMI029C	38	28	1
OS01G0354700	CMM180C	19	13	1
OS01G0355900	CML324C	20	16	0
OS01G0355900	CMM297C	14	19	0
OS01G0356500	CMH016C	29	31	1
OS01G0358300	CME159C	17	21	1
OS01G0358400	CMH218C	61	63	1
OS01G0360200	CMG089C	13	14	1
OS01G0360200	CMR353C	13	13	1
OS01G0360600	CMG195C	33	30	0
OS01G0361500	CMB069C	22	14	1
OS01G0361700	CMB069C	16	1	1
OS01G0362100	CMB069C	23	15	1
OS01G0367100	CMO263C	34	31	1
OS01G0367400	CMO263C	26	20	1
OS01G0367900	CMQ363C	45	45	1
OS01G0372700	CMR205C	44	38	1
OS01G0374900	CML314C	31	26	1
OS01G0375000	CMT043C	27	29	0
OS01G0375200	CMK269C	40	38	1
OS01G0375500	CMK269C	38	20	1
OS01G0377700	CMH273C	32	27	1
OS01G0383700	CMR161C	9	1	0
OS01G0383900	CMB112C	14	8	1
OS01G0390400	CMJ080C	25	27	1
OS01G0390900	CMN326C	31	8	1
OS01G0500900	CMQ275C	46	44	1
OS01G0501700	CMV156C	28	43	1
OS01G0501800	CMI290C	42	42	1
OS01G0507900	CMN237C	31	38	1
OS01G0510800	CMK081C	30	35	0
OS01G0511300	CMQ395C	30	29	1
OS01G0511600	CMM067C	20	8	1
OS01G0511600	CMR246C	17	8	1
OS01G0513700	CMS324C	27	28	0
OS01G0513800	CMQ057C	36	34	1
OS01G0514000	CMT160C	37	31	1
OS01G0527700	CMT232C	36	28	1
OS01G0529800	CMD118C	38	34	1
OS01G0530400	CMM250C	29	27	0
OS01G0532600	CMK019C	23	14	1
OS01G0532800	CMF069C	22	8	1
OS01G0533400	CMP078C	25	26	1
OS01G0534800	CMK008C	11	19	1
OS01G0535900	CMQ129C	34	28	1
OS01G0540300	CMH183C	43	15	1
OS01G0541900	CMG113C	29	25	1
OS01G0544450	CMP356C	37	33	1
OS01G0547200	CME142C	4	5	1
OS01G0547600	CMG018C	28	15	1
OS01G0549400	CMR479C	32	40	1
OS01G0549700	CME073C	62	58	0
OS01G0550000	CME073C	62	58	0
OS01G0550100	CMT224C	34	32	1
OS01G0551900	CMI103C	6	2	1
OS01G0552000	CMI103C	12	2	1
OS01G0556400	CMT623C	12	9	1
OS01G0557500	CMQ284C	26	21	0
OS01G0558600	CMF181C	63	61	0
OS01G0559000	CMS257C	33	29	1
OS01G0559100	CMN178C	59	53	1
OS01G0570700	CML055C	52	13	1
OS01G0571000	CMO303C	36	31	1
OS01G0574400	CMI157C	53	49	1
OS01G0574500	CMI157C	54	51	1
OS01G0574600	CMJ086C	44	36	1
OS01G0575000	CMQ054C	15	19	0
OS01G0578200	CMC016C	28	10	1
OS01G0581300	CMK050C	27	29	1
OS01G0583100	CMS179C	25	28	1
OS01G0585100	CMO181C	23	23	1
OS01G0588200	CMO111C	23	20	1
OS01G0588800	CMR220C	25	30	1
OS01G0589000	CMM019C	20	19	1
OS01G0589800	CMP191C	41	14	1
OS01G0590900	CMR245C	41	20	1
OS01G0592900	CMQ261C	28	25	0
OS01G0600200	CMS430C	44	30	1
OS01G0605300	CMB014C	13	44	0
OS01G0606900	CMI136C	8	2	1
OS01G0610100	CMS332C	60	54	1
OS01G0611100	CMT257C	70	68	0
OS01G0612200	CML098C	30	24	1
OS01G0612500	CMF176C	28	24	0
OS01G0613300	CMK302C	25	15	1
OS01G0616400	CME096C	17	11	1
OS01G0616500	CMS417C	20	23	1
OS01G0616900	CMP216C	44	50	1
OS01G0617500	CMT018C	28	30	0
OS01G0622300	CME194C	43	39	1
OS01G0629400	CMQ110C	42	12	1
OS01G0629900	CMQ039C	30	36	1
OS01G0631200	CMB055C	25	20	0
OS01G0631200	CMV039C	24	28	0
OS01G0633000	CMV188C	21	43	1
OS01G0634900	CMP031C	15	20	1
OS01G0634900	CMS027C	14	16	1
OS01G0635400	CMI077C	42	35	0
OS01G0636600	CME111C	29	29	1
OS01G0637100	CMN061C	28	2	1
OS01G0637600	CME111C	30	30	1
OS01G0640800	CMT478C	49	42	1
OS01G0641100	CMD112C	24	35	0
OS01G0643800	CMQ039C	36	36	1
OS01G0645000	CMA121C	18	9	0
OS01G0645200	CML032C	39	36	0
OS01G0645200	CMT056C	31	21	0
OS01G0647100	CMI040C	47	44	1
OS01G0647700	CMT274C	15	21	1
OS01G0652600	CMR121C	59	57	1
OS01G0654100	CMP216C	52	50	1
OS01G0654500	CMT216C	61	51	0
OS01G0655800	CME186C	35	37	1
OS01G0657100	CMM113C	24	21	0
OS01G0657100	CMN019C	23	20	0
OS01G0657100	CMT284C	19	16	0
OS01G0657100	CMT333C	19	16	0
OS01G0658500	CMM195C	34	29	1
OS01G0658700	CMD040C	30	19	1
OS01G0659200	CMQ010C	37	35	1
OS01G0660300	CMK041C	47	28	1
OS01G0660900	CMR304C	37	32	1
OS01G0661400	CMI017C	38	34	1
OS01G0662300	CMV104C	45	19	1
OS01G0662600	CMR318C	50	53	0
OS01G0662700	CMV113C	49	61	1
OS01G0662800	CME102C	21	15	1
OS01G0663500	CMM157C	26	33	1
OS01G0664000	CMP297C	23	15	1
OS01G0665200	CMQ039C	31	36	1
OS01G0665300	CMQ110C	24	17	1
OS01G0665400	CMI123C	22	20	0
OS01G0666000	CMR054C	11	11	0
OS01G0666000	CMR488C	13	12	0
OS01G0673600	CMR010C	64	65	0
OS01G0673900	CMT443C	34	7	1
OS01G0674100	CMP015C	13	8	1
OS01G0675000	CME103C	22	9	1
OS01G0675100	CMN109C	33	22	1
OS01G0678700	CML315C	24	29	1
OS01G0678700	CMT601C	24	29	1
OS01G0679700	CMN315C	68	68	1
OS01G0681200	CME186C	37	38	1
OS01G0682500	CMK141C	29	26	1
OS01G0685200	CMG143C	24	37	1
OS01G0685800	CMH197C	64	60	1
OS01G0686400	CML028C	30	9	1
OS01G0686800	CMI283C	52	56	1
OS01G0687500	CMG198C	43	36	1
OS01G0687600	CMR312C	16	16	1
OS01G0688300	CMS475C	23	15	0
OS01G0689451	CMM141C	25	28	1
OS01G0689800	CMD098C	29	28	0
OS01G0691500	CMQ088C	17	16	1
OS01G0691600	CMH245C	55	33	1
OS01G0691700	CMD083C	67	67	1
OS01G0693300	CMR054C	9	10	0
OS01G0693300	CMR488C	11	12	0
OS01G0693800	CMR339C	56	64	1
OS01G0693900	CMQ022C	28	25	1
OS01G0694300	CMF174C	17	2	1
OS01G0695300	CMM269C	47	39	1
OS01G0698900	CMT271C	19	30	1
OS01G0702450	CMJ043C	18	12	0
OS01G0702900	CMQ424C	50	11	0
OS01G0703300	CMM012C	24	20	1
OS01G0703400	CMM269C	42	40	1
OS01G0703600	CMJ102C	46	45	0
OS01G0704100	CMG018C	30	28	1
OS01G0704700	CML267C	28	12	1
OS01G0706200	CMT046C	14	2	1
OS01G0708100	CMC071C	33	27	0
OS01G0708500	CMH205C	30	21	1
OS01G0708500	CMQ414C	30	21	1
OS01G0708600	CMT551C	42	43	1
OS01G0708900	CMO303C	34	29	1
OS01G0709400	CMS409C	18	17	1
OS01G0710000	CMQ367C	37	18	1
OS01G0711000	CMP123C	67	66	0
OS01G0711100	CMM104C	32	11	1
OS01G0711400	CMR282C	62	19	1
OS01G0712600	CMH206C	48	44	1
OS01G0712600	CMQ415C	48	44	1
OS01G0713800	CMR456C	39	40	1
OS01G0714900	CMD183C	46	39	1
OS01G0715500	CMO111C	24	17	1
OS01G0719700	CMR311C	17	5	1
OS01G0720300	CMI095C	68	59	1
OS01G0720600	CMM317C	14	8	1
OS01G0722100	CMV027C	30	39	1
OS01G0723000	CMS428C	62	62	1
OS01G0723200	CMA114C	49	52	1
OS01G0729100	CMS030C	37	35	1
OS01G0732200	CMQ232C	25	15	1
OS01G0733001	CMJ138C	25	4	0
OS01G0733001	CML262C	26	5	0
OS01G0733600	CMF020C	30	33	1
OS01G0734100	CMV151C	34	36	0
OS01G0736400	CML225C	23	24	1
OS01G0737800	CMS122C	27	28	0
OS01G0738100	CMR366C	13	10	1
OS01G0738600	CMJ133C	14	15	1
OS01G0739000	CMK260C	33	30	1
OS01G0739400	CMT202C	14	23	1
OS01G0740500	CMT078C	31	25	1
OS01G0740600	CMT078C	26	3	1
OS01G0740650	CMT078C	29	15	1
OS01G0742000	CMH261C	37	13	1
OS01G0742200	CMS428C	66	65	1
OS01G0743300	CMT078C	33	26	1
OS01G0743400	CMB010C	49	34	1
OS01G0744300	CMF099C	40	31	1
OS01G0747500	CMT584C	40	42	1
OS01G0747700	CMK194C	36	32	1
OS01G0748000	CMN259C	16	25	1
OS01G0748000	CMN262C	22	19	1
OS01G0749200	CMV186C	18	43	1
OS01G0750500	CMJ167C	33	22	0
OS01G0752300	CMO302C	43	43	1
OS01G0752400	CMN288C	21	7	0
OS01G0752600	CMG211C	23	20	1
OS01G0757800	CMM284C	19	24	0
OS01G0757900	CMJ229C	7	7	0
OS01G0758300	CME095C	39	39	1
OS01G0758400	CMN215C	30	28	1
OS01G0760300	CME103C	19	8	1
OS01G0760600	CMC148C	51	50	1
OS01G0762000	CMJ049C	22	28	0
OS01G0762400	CMN179C	20	18	1
OS01G0764400	CMQ210C	41	41	1
OS01G0765000	CMQ291C	26	16	0
OS01G0766200	CME171C	21	22	1
OS01G0770200	CMP107C	20	18	0
OS01G0771400	CMR384C	27	17	1
OS01G0772400	CMQ192C	27	24	1
OS01G0772600	CMF099C	33	30	1
OS01G0772800	CMO152C	49	49	1
OS01G0772900	CMO308C	30	24	1
OS01G0773000	CMT463C	22	11	1
OS01G0775600	CMP137C	16	4	1
OS01G0776600	CME135C	32	26	1
OS01G0776600	CMG168C	30	24	1
OS01G0777300	CME067C	19	28	0
OS01G0779400	CMI119C	20	25	1
OS01G0781000	CMN120C	33	32	1
OS01G0782500	CME109C	19	17	1
OS01G0783600	CMK051C	24	31	1
OS01G0784800	CMQ350C	56	56	1
OS01G0786700	CMH234C	22	14	1
OS01G0786700	CMJ184C	20	10	1
OS01G0786700	CMK237C	22	14	1
OS01G0786700	CMO114C	25	16	1
OS01G0786800	CMH234C	21	14	1
OS01G0786800	CMJ184C	20	11	1
OS01G0786800	CMK237C	20	15	1
OS01G0786800	CMO114C	22	16	1
OS01G0788200	CMT450C	41	46	1
OS01G0788950	CMF059C	46	50	1
OS01G0789100	CMN196C	22	36	1
OS01G0791033	CMV013C	48	26	1
OS01G0794500	CMT321C	54	55	1
OS01G0796400	CMC137C	39	46	1
OS01G0800266	CMJ305C	40	26	1
OS01G0800500	CMR114C	21	24	1
OS01G0801000	CMG142C	20	24	1
OS01G0801100	CMG142C	35	26	1
OS01G0802100	CMS444C	38	35	1
OS01G0802850	CME147C	22	20	1
OS01G0805200	CMQ319C	28	28	1
OS01G0805800	CMR232C	53	53	1
OS01G0809900	CMM062C	28	30	1
OS01G0810000	CMT211C	29	28	1
OS01G0811100	CMO197C	50	46	1
OS01G0812800	CMM040C	38	36	1
OS01G0812900	CMT574C	31	24	1
OS01G0813500	CMQ159C	19	18	1
OS01G0814900	CMS286C	43	41	1
OS01G0816400	CMO196C	17	20	1
OS01G0816500	CMO196C	26	4	1
OS01G0817700	CMK188C	32	35	1
OS01G0817800	CMI022C	41	24	1
OS01G0818300	CMA075C	36	16	1
OS01G0821800	CMD077C	23	24	0
OS01G0821800	CMI042C	21	12	0
OS01G0823200	CMH238C	29	15	1
OS01G0823200	CMK065C	25	14	1
OS01G0823200	CMS488C	32	16	1
OS01G0823300	CMN126C	43	43	1
OS01G0826900	CMM247C	16	28	1
OS01G0829100	CMQ294C	8	6	0
OS01G0830000	CMV001C	51	59	0
OS01G0830200	CME171C	12	24	1
OS01G0832000	CMR252C	35	19	1
OS01G0833100	CMN179C	19	14	1
OS01G0833600	CMJ276C	18	9	1
OS01G0833700	CMO202C	38	33	1
OS01G0834200	CMD095C	39	38	1
OS01G0834400	CMR350C	52	40	1
OS01G0834500	CMI059C	71	70	1
OS01G0834600	CMI059C	89	28	1
OS01G0834700	CME018C	36	34	1
OS01G0836400	CMR191C	11	16	0
OS01G0836600	CMI088C	25	29	1
OS01G0837500	CMH022C	58	54	0
OS01G0837800	CMC075C	27	27	1
OS01G0837900	CMR245C	38	20	1
OS01G0839700	CMS503C	62	62	1
OS01G0840700	CML106C	44	18	1
OS01G0841000	CMJ133C	18	9	1
OS01G0841600	CMQ172C	54	46	1
OS01G0841800	CMI107C	13	9	1
OS01G0842600	CME055C	47	41	1
OS01G0843300	CMJ069C	33	31	1
OS01G0844300	CMH076C	25	28	1
OS01G0844400	CMS290C	24	18	0
OS01G0844900	CMB079C	22	6	1
OS01G0846900	CMS144C	8	30	1
OS01G0847200	CML145C	59	60	1
OS01G0848200	CMQ024C	26	39	0
OS01G0848400	CMR153C	12	11	1
OS01G0848700	CMD062C	65	63	1
OS01G0850400	CMJ282C	21	17	1
OS01G0850400	CMQ253C	20	19	1
OS01G0850900	CMA069C	46	40	1
OS01G0851400	CMO349C	16	25	1
OS01G0851600	CMO284C	32	29	1
OS01G0851700	CMD184C	45	42	0
OS01G0855400	CMT134C	24	10	0
OS01G0856000	CME082C	17	17	0
OS01G0856600	CMP228C	16	4	1
OS01G0856850	CMV190C	40	13	1
OS01G0857200	CMR474C	35	24	1
OS01G0857700	CMG014C	31	19	0
OS01G0857900	CMB030C	13	2	1
OS01G0858500	CMS144C	15	29	1
OS01G0860300	CMP179C	61	61	1
OS01G0866300	CML129C	42	45	1
OS01G0866400	CMP129C	58	57	1
OS01G0866500	CMR255C	27	17	1
OS01G0866700	CMT262C	48	49	1
OS01G0867200	CMT331C	30	24	1
OS01G0867700	CMC067C	24	32	1
OS01G0868200	CMF075C	27	31	1
OS01G0868300	CMI176C	25	25	1
OS01G0871100	CMB154C	15	23	0
OS01G0871300	CMG066C	28	28	0
OS01G0872700	CMS302C	31	25	1
OS01G0873100	CMR240C	47	9	1
OS01G0874900	CMN332C	40	51	1
OS01G0875700	CMO101C	32	29	0
OS01G0876100	CMQ133C	18	22	0
OS01G0880200	CMR358C	18	17	1
OS01G0881000	CMQ215C	22	12	0
OS01G0881900	CMI121C	19	12	1
OS01G0883400	CME142C	7	2	1
OS01G0884900	CMP165C	50	16	1
OS01G0885000	CMJ212C	55	55	1
OS01G0886000	CMP037C	24	18	1
OS01G0886300	CMA075C	35	16	1
OS01G0886600	CMT045C	40	27	0
OS01G0886900	CMI124C	24	29	1
OS01G0887100	CMH115C	53	26	1
OS01G0888500	CMQ365C	44	24	0
OS01G0888700	CMN167C	29	28	1
OS01G0891400	CMI017C	38	34	1
OS01G0894000	CML172C	16	17	1
OS01G0895100	CMT244C	38	38	1
OS01G0896700	CMH071C	56	57	1
OS01G0896800	CMH071C	50	56	1
OS01G0897000	CMH128C	54	45	1
OS01G0897800	CML311C	10	18	1
OS01G0899275	CMW047C	35	37	1
OS01G0899350	CMW047C	29	36	1
OS01G0899425	CMV013C	52	11	1
OS01G0900900	CMJ174C	33	25	1
OS01G0901200	CMK061C	41	42	1
OS01G0902200	CMS446C	34	23	1
OS01G0903800	CMA095C	31	4	1
OS01G0904200	CMN159C	36	35	1
OS01G0904400	CMG189C	36	36	1
OS01G0905800	CME145C	61	61	1
OS01G0906200	CMR200C	29	13	1
OS01G0906600	CMN232C	22	23	1
OS01G0911300	CMO105C	33	18	1
OS01G0911900	CMD137C	24	24	1
OS01G0913000	CMN279C	27	27	0
OS01G0917400	CME096C	21	13	1
OS01G0918200	CME004C	33	33	1
OS01G0918300	CME004C	48	48	1
OS01G0919100	CMN115C	22	19	1
OS01G0920300	CMT537C	23	12	1
OS01G0920400	CME019C	36	39	1
OS01G0921200	CMF070C	20	18	0
OS01G0922800	CMA095C	21	7	1
OS01G0924300	CMT215C	24	23	1
OS01G0924800	CML317C	53	34	1
OS01G0926200	CMG008C	21	13	1
OS01G0927900	CMJ016C	41	39	1
OS01G0928600	CMJ240C	49	34	1
OS01G0928700	CMJ240C	49	34	1
OS01G0928800	CMJ240C	51	35	1
OS01G0929500	CMR042C	30	34	0
OS01G0931300	CMP142C	20	23	1
OS01G0931400	CMH016C	28	29	1
OS01G0932500	CMF073C	27	26	1
OS01G0932550	CMB148C	44	29	1
OS01G0934200	CMS091C	36	36	1
OS01G0935200	CMR350C	31	36	1
OS01G0935700	CMP152C	53	60	1
OS01G0938100	CMV089C	34	56	1
OS01G0938900	CMT271C	42	35	1
OS01G0939500	CMM111C	60	57	0
OS01G0939700	CMQ397C	50	50	0
OS01G0945001	CMK061C	34	33	1
OS01G0945800	CMR392C	19	25	0
OS01G0948100	CMI043C	16	17	1
OS01G0948400	CMH137C	32	26	0
OS01G0948400	CMI158C	39	38	0
OS01G0950866	CMS406C	45	41	0
OS01G0951200	CMK046C	45	46	1
OS01G0951400	CMK046C	42	43	1
OS01G0952200	CMM245C	13	12	1
OS01G0954400	CME030C	18	24	1
OS01G0955700	CMH097C	20	19	1
OS01G0955700	CMM254C	28	28	1
OS01G0957000	CMP315C	28	29	1
OS01G0957200	CMM247C	27	25	1
OS01G0958100	CMN250C	38	29	1
OS01G0958900	CMQ290C	26	23	0
OS01G0960300	CMF066C	54	49	1
OS01G0960800	CMK200C	37	31	1
OS01G0962300	CMQ323C	62	63	1
OS01G0962500	CMR280C	10	17	1
OS01G0962600	CMJ285C	43	43	1
OS01G0963400	CMS271C	38	21	1
OS01G0964000	CML129C	43	45	1
OS01G0964900	CMJ228C	28	28	1
OS01G0965700	CMR472C	10	4	1
OS01G0966000	CMP112C	53	46	0
OS01G0966100	CMC011C	38	15	0
OS01G0966200	CMT057C	26	25	1
OS01G0966300	CMK260C	33	29	1
OS01G0967000	CMN302C	31	10	1
OS01G0967900	CMG039C	41	41	1
OS01G0968700	CMS475C	21	20	0
OS01G0970400	CMN050C	31	34	1
OS01G0970600	CMR374C	30	23	1
OS01G0970700	CMS394C	44	37	1
OS01G0971500	CMP154C	43	35	0
OS01G0971600	CMD113C	52	51	1
OS01G0971700	CMA013C	24	20	1
OS01G0971800	CMB079C	24	7	1
OS01G0972900	CMQ242C	47	23	1
OS01G0973400	CMT478C	33	27	1
