Gene stable ID	Oryza longistaminata gene stable ID	% identity	Oryza longistaminata % identity	Orthology confidence [0 low, 1 high]
OS01G0121500	KN540446.1_FG004	68	98	1
OS01G0121700	KN540446.1_FG003	91	90	1
OS01G0121800	KN540446.1_FG006	67	100	1
OS01G0122000	KN542310.1_FG002	22	38	1
OS01G0123700	KN539123.1_FG023	95	98	1
OS01G0123800	KN539123.1_FG012	21	99	1
OS01G0123900	KN539123.1_FG003	93	96	1
OS01G0124000	KN539123.1_FG019	98	99	1
OS01G0124100	KN539123.1_FG014	54	90	1
OS01G0124200	KN539123.1_FG021	93	95	1
OS01G0124401	AMDW01012458.1_FG001	19	89	0
OS01G0124600	KN539123.1_FG009	92	94	1
OS01G0124650	KN539123.1_FG018	64	88	1
OS01G0124900	KN539123.1_FG016	90	37	0
OS01G0125600	KN539123.1_FG005	78	99	1
OS01G0125700	KN539123.1_FG008	99	99	1
OS01G0125800	KN539123.1_FG017	100	100	1
OS01G0125900	KN539123.1_FG002	96	97	1
OS01G0126100	KN539123.1_FG006	78	99	1
OS01G0126200	AMDW01040454.1_FG001	32	99	1
OS01G0126600	AMDW01044472.1_FG001	19	100	1
OS01G0126600	AMDW01069242.1_FG001	19	100	1
OS01G0126600	KN539123.1_FG011	81	35	1
OS01G0126600	KN540541.1_FG007	19	100	1
OS01G0126900	KN540541.1_FG005	68	95	1
OS01G0127000	KN540541.1_FG008	96	79	1
OS01G0127200	KN540541.1_FG010	51	94	1
OS01G0127300	KN540541.1_FG001	40	82	1
OS01G0127400	KN540541.1_FG003	69	46	0
OS01G0127900	KN541795.1_FG001	75	92	1
OS01G0128000	KN541795.1_FG002	65	98	1
OS01G0128100	KN541105.1_FG001	71	86	0
OS01G0128200	KN541105.1_FG004	64	83	1
OS01G0128300	KN541105.1_FG003	73	94	1
OS01G0128400	KN541105.1_FG002	90	99	1
OS01G0128800	AMDW01032634.1_FG001	27	100	1
OS01G0128800	AMDW01037945.1_FG001	19	86	1
OS01G0128800	AMDW01038459.1_FG001	1	2	1
OS01G0128800	KN541105.1_FG005	30	17	1
OS01G0131300	KN541188.1_FG001	70	68	1
OS01G0131600	KN541188.1_FG003	99	91	1
OS01G0131800	KN541188.1_FG002	52	98	1
OS01G0132000	AMDW01054742.1_FG001	70	99	0
OS01G0132100	KN538959.1_FG008	93	82	1
OS01G0132400	KN538959.1_FG005	86	87	1
OS01G0132700	KN538929.1_FG017	47	56	1
OS01G0132700	KN538959.1_FG016	55	94	1
OS01G0133100	KN538959.1_FG027	78	65	1
OS01G0133200	KN538959.1_FG015	83	96	1
OS01G0133400	KN538959.1_FG003	87	93	1
OS01G0133500	KN538959.1_FG022	73	90	1
OS01G0133600	KN538959.1_FG017	68	92	1
OS01G0133700	KN538959.1_FG025	98	73	1
OS01G0134200	KN538705.1_FG012	36	30	1
OS01G0134500	KN538959.1_FG018	86	95	1
OS01G0134700	KN538959.1_FG010	100	100	1
OS01G0134800	KN538959.1_FG020	80	64	1
OS01G0134900	KN538959.1_FG019	65	99	1
OS01G0135700	KN538959.1_FG011	60	98	1
OS01G0135800	KN538959.1_FG006	95	96	1
OS01G0135900	KN538959.1_FG009	84	73	1
OS01G0136200	KN538959.1_FG002	98	98	0
OS01G0136300	KN538959.1_FG007	99	99	1
OS01G0136400	KN538959.1_FG012	70	71	0
OS01G0136450	KN538959.1_FG024	92	82	1
OS01G0136500	KN543450.1_FG001	75	47	0
OS01G0136800	KN541572.1_FG001	65	99	1
OS01G0136900	KN541572.1_FG004	95	92	1
OS01G0137200	KN538959.1_FG024	78	77	1
OS01G0137250	KN543293.1_FG001	96	62	1
OS01G0137282	AMDW01024338.1_FG001	36	96	1
OS01G0137950	KN541572.1_FG002	78	28	1
OS01G0138300	KN542146.1_FG001	60	25	1
OS01G0138500	KN540867.1_FG002	85	34	0
OS01G0138600	KN540867.1_FG005	98	61	1
OS01G0138800	KN540867.1_FG004	83	92	1
OS01G0138900	KN540867.1_FG003	67	99	1
OS01G0139000	KN540867.1_FG006	98	98	1
OS01G0139200	KN540867.1_FG001	84	97	0
OS01G0139600	KN540870.1_FG002	84	84	1
OS01G0139700	KN540870.1_FG003	98	95	1
OS01G0139900	KN540870.1_FG004	98	97	0
OS01G0140400	KN540870.1_FG001	78	64	1
OS01G0140700	KN541712.1_FG001	45	95	1
OS01G0141100	KN540133.1_FG001	100	42	1
OS01G0141600	KN540133.1_FG004	60	47	1
OS01G0141700	KN540133.1_FG003	82	97	1
OS01G0142100	KN543667.1_FG001	82	91	0
OS01G0142200	KN540543.1_FG005	72	87	1
OS01G0142300	KN540543.1_FG002	97	99	1
OS01G0142500	KN540543.1_FG003	82	98	0
OS01G0142800	KN539974.1_FG004	11	22	0
OS01G0143100	KN540507.1_FG007	94	100	1
OS01G0143300	KN540507.1_FG002	80	91	1
OS01G0143400	KN540507.1_FG008	97	79	1
OS01G0143700	KN540507.1_FG001	72	85	1
OS01G0143800	KN540507.1_FG003	72	91	1
OS01G0144000	KN540507.1_FG006	69	48	1
OS01G0144100	AMDW01044964.1_FG001	29	100	1
OS01G0144200	AMDW01037570.1_FG001	48	91	1
OS01G0144200	KN539177.1_FG013	90	78	1
OS01G0144200	KN540507.1_FG004	65	93	1
OS01G0144340	KN541683.1_FG002	33	57	0
OS01G0144500	KN541683.1_FG003	59	67	1
OS01G0144800	KN541683.1_FG001	91	96	1
OS01G0145000	KN541191.1_FG002	83	83	0
OS01G0145200	KN542162.1_FG002	63	87	1
OS01G0146200	KN542629.1_FG001	95	95	1
OS01G0147001	KN541426.1_FG003	30	98	1
OS01G0147200	KN543884.1_FG001	72	93	1
OS01G0147300	KN544412.1_FG001	22	22	0
OS01G0147400	KN544412.1_FG002	84	94	1
OS01G0147700	KN541065.1_FG003	98	91	1
OS01G0147800	KN541065.1_FG002	98	58	1
OS01G0148000	KN541400.1_FG001	96	38	1
OS01G0148050	KN541400.1_FG001	95	45	1
OS01G0149500	KN542601.1_FG001	95	57	1
OS01G0149800	KN539329.1_FG006	100	100	1
OS01G0149900	KN539329.1_FG013	84	98	1
OS01G0150000	KN539329.1_FG012	89	73	1
OS01G0150100	KN539329.1_FG007	93	64	0
OS01G0150200	KN539062.1_FG007	59	63	0
OS01G0150500	KN539329.1_FG001	65	64	1
OS01G0151200	KN539329.1_FG014	77	44	1
OS01G0151400	KN539329.1_FG002	79	53	1
OS01G0151500	AMDW01015836.1_FG001	12	96	0
OS01G0151500	KN539329.1_FG008	36	66	0
OS01G0151600	KN539329.1_FG017	91	100	1
OS01G0151700	AMDW01038471.1_FG001	17	100	1
OS01G0151900	AMDW01040705.1_FG001	94	97	0
OS01G0151900	KN539329.1_FG009	97	97	0
OS01G0151900	KN543413.1_FG002	97	97	0
OS01G0152000	KN539329.1_FG003	84	94	1
OS01G0152200	KN541696.1_FG002	47	37	1
OS01G0152300	KN542601.1_FG002	43	100	1
OS01G0152600	KN541696.1_FG003	86	93	1
OS01G0152687	KN543413.1_FG001	2	1	1
OS01G0152800	KN541685.1_FG002	81	82	0
OS01G0152850	KN542918.1_FG002	87	63	1
OS01G0152950	KN540233.1_FG007	98	98	1
OS01G0153000	KN540233.1_FG005	97	97	1
OS01G0153150	KN539071.1_FG003	42	20	1
OS01G0153250	KN540233.1_FG002	95	83	1
OS01G0153400	KN540233.1_FG009	99	67	1
OS01G0153500	KN540233.1_FG001	67	56	1
OS01G0153600	KN540233.1_FG003	46	99	1
OS01G0154600	KN540891.1_FG002	87	81	1
OS01G0155200	KN540891.1_FG004	98	98	1
OS01G0155400	KN540891.1_FG006	71	55	1
OS01G0155600	KN540864.1_FG007	98	98	1
OS01G0155800	KN540864.1_FG005	100	99	1
OS01G0156000	KN540864.1_FG002	67	97	1
OS01G0156300	KN540864.1_FG008	95	95	1
OS01G0157200	KN540864.1_FG004	37	98	1
OS01G0157400	KN540864.1_FG009	32	59	1
OS01G0157600	AMDW01026158.1_FG001	24	84	1
OS01G0157600	AMDW01033583.1_FG001	50	95	1
OS01G0157700	KN540708.1_FG005	3	1	1
OS01G0158000	KN540708.1_FG001	95	99	1
OS01G0158200	KN540708.1_FG007	79	89	1
OS01G0158400	KN540708.1_FG003	90	99	1
OS01G0158500	KN540708.1_FG006	34	70	1
OS01G0158600	KN540708.1_FG002	52	98	1
OS01G0158900	KN542612.1_FG001	73	62	1
OS01G0159200	KN541553.1_FG005	61	90	1
OS01G0159300	KN541553.1_FG002	88	91	1
OS01G0159400	KN541553.1_FG003	85	90	1
OS01G0159600	KN541553.1_FG001	99	90	1
OS01G0160100	KN539819.1_FG005	74	99	0
OS01G0160700	KN539819.1_FG002	83	96	0
OS01G0161000	KN539819.1_FG003	59	73	1
OS01G0161000	KN539819.1_FG006	70	67	1
OS01G0161300	KN541189.1_FG006	30	34	0
OS01G0162200	KN542530.1_FG002	31	42	0
OS01G0162300	KN539819.1_FG009	83	21	1
OS01G0162400	KN541189.1_FG004	64	88	1
OS01G0162500	AMDW01077378.1_FG001	24	28	1
OS01G0162500	KN541189.1_FG002	61	43	1
OS01G0162800	KN540831.1_FG003	97	90	1
OS01G0163000	KN540831.1_FG004	78	92	0
OS01G0164075	KN539827.1_FG006	63	88	1
OS01G0164075	KN539827.1_FG010	49	91	1
OS01G0164400	KN539827.1_FG009	96	33	0
OS01G0164500	KN539827.1_FG012	99	98	1
OS01G0164600	KN539827.1_FG001	99	99	1
OS01G0164700	AMDW01040770.1_FG001	5	13	0
OS01G0164700	KN539827.1_FG004	68	25	0
OS01G0164800	KN539827.1_FG008	81	15	1
OS01G0164900	KN539827.1_FG008	69	25	1
OS01G0165000	KN539827.1_FG005	99	96	1
OS01G0165100	KN539827.1_FG011	99	39	1
OS01G0165600	KN539735.1_FG011	20	32	0
OS01G0165600	KN539827.1_FG002	32	30	0
OS01G0165800	KN541511.1_FG004	4	3	0
OS01G0166100	KN542167.1_FG002	65	96	0
OS01G0166100	KN543132.1_FG001	47	96	0
OS01G0166300	KN541452.1_FG001	75	36	1
OS01G0166700	AMDW01040695.1_FG001	84	97	1
OS01G0166700	KN541452.1_FG002	85	93	1
OS01G0166800	KN538799.1_FG034	96	97	1
OS01G0167500	AMDW01040623.1_FG001	64	99	1
OS01G0167500	KN538799.1_FG028	85	99	1
OS01G0167600	KN538799.1_FG038	16	92	1
OS01G0167750	KN538799.1_FG031	58	28	1
OS01G0167900	KN538799.1_FG030	98	98	1
OS01G0168100	KN538799.1_FG027	91	96	1
OS01G0168200	KN538799.1_FG040	92	65	0
OS01G0168300	KN538799.1_FG012	37	99	1
OS01G0168500	KN538799.1_FG007	91	33	1
OS01G0168800	KN538799.1_FG002	40	100	1
OS01G0169500	KN538799.1_FG005	68	95	1
OS01G0169800	KN538799.1_FG008	93	52	1
OS01G0169900	KN538799.1_FG004	97	98	1
OS01G0170000	KN538799.1_FG001	58	45	1
OS01G0170100	KN538799.1_FG013	97	52	1
OS01G0170500	KN538799.1_FG003	85	66	1
OS01G0170700	KN538799.1_FG010	94	78	1
OS01G0170800	KN538969.1_FG007	98	70	1
OS01G0171000	AMDW01040299.1_FG001	38	88	1
OS01G0171000	KN538969.1_FG004	99	95	1
OS01G0171100	KN538969.1_FG014	57	35	1
OS01G0171800	KN538969.1_FG003	80	69	1
OS01G0172000	KN538969.1_FG015	72	23	0
OS01G0172100	KN538969.1_FG023	60	89	1
OS01G0172200	KN538969.1_FG001	89	99	1
OS01G0172400	KN538969.1_FG009	81	100	1
OS01G0172400	KN538969.1_FG016	16	99	1
OS01G0172900	KN538969.1_FG018	83	48	0
OS01G0173000	KN538969.1_FG017	51	53	0
OS01G0173100	AMDW01040450.1_FG001	48	100	1
OS01G0173600	KN538969.1_FG010	24	80	1
OS01G0173900	KN538969.1_FG005	84	100	1
OS01G0174000	KN538969.1_FG008	27	70	1
OS01G0174100	KN538969.1_FG024	97	97	1
OS01G0174300	KN538969.1_FG019	83	94	0
OS01G0174500	KN538969.1_FG002	89	64	1
OS01G0174700	KN538969.1_FG006	58	90	1
OS01G0174900	KN538969.1_FG011	86	47	1
OS01G0175000	KN538969.1_FG022	99	99	0
OS01G0175500	KN540078.1_FG007	80	88	1
OS01G0175600	KN540078.1_FG005	86	91	0
OS01G0175700	KN540078.1_FG003	91	92	0
OS01G0176000	KN540078.1_FG008	71	99	1
OS01G0176100	KN540078.1_FG002	92	97	1
OS01G0176200	KN540078.1_FG006	99	99	1
OS01G0176300	KN540078.1_FG001	91	97	1
OS01G0176500	KN544203.1_FG001	80	98	1
OS01G0176800	KN538981.1_FG013	67	94	0
OS01G0177100	KN538981.1_FG002	44	97	1
OS01G0177200	KN538981.1_FG012	92	97	1
OS01G0177900	KN538981.1_FG004	87	22	1
OS01G0178000	KN538981.1_FG001	100	100	1
OS01G0178100	KN538981.1_FG014	87	63	1
OS01G0178400	KN538981.1_FG010	99	51	1
OS01G0178500	KN538981.1_FG003	96	93	1
OS01G0178700	KN538981.1_FG006	98	95	1
OS01G0179200	KN540021.1_FG002	75	100	1
OS01G0179400	AMDW01035637.1_FG001	0	0	1
OS01G0179400	KN540021.1_FG004	86	40	1
OS01G0179500	KN540021.1_FG003	99	69	1
OS01G0179700	KN539854.1_FG010	86	67	1
OS01G0179800	KN540021.1_FG006	95	67	1
OS01G0180300	KN539520.1_FG004	85	83	1
OS01G0180400	KN539520.1_FG006	41	38	0
OS01G0180600	KN539520.1_FG001	95	67	1
OS01G0180800	KN539520.1_FG009	95	100	1
OS01G0181000	KN539520.1_FG002	41	65	0
OS01G0182100	KN539520.1_FG005	97	96	1
OS01G0182200	KN539520.1_FG007	51	98	1
OS01G0182400	KN541104.1_FG002	81	95	0
OS01G0182500	KN541104.1_FG003	42	68	1
OS01G0182600	KN541104.1_FG001	97	93	1
OS01G0182832	KN539421.1_FG012	95	18	0
OS01G0182900	KN539421.1_FG012	100	9	0
OS01G0183100	KN539421.1_FG007	98	91	1
OS01G0183300	KN539421.1_FG002	70	94	1
OS01G0183800	KN539421.1_FG004	94	53	1
OS01G0183850	AMDW01022732.1_FG001	23	70	1
OS01G0184100	KN539421.1_FG001	89	99	1
OS01G0184500	KN539421.1_FG013	45	80	1
OS01G0184500	KN544909.1_FG001	34	99	1
OS01G0184800	KN539421.1_FG003	100	100	1
OS01G0184900	KN539421.1_FG006	98	94	0
OS01G0185000	KN539071.1_FG003	64	56	1
OS01G0185100	KN539421.1_FG010	76	68	0
OS01G0185200	KN540208.1_FG005	79	93	1
OS01G0185300	KN540208.1_FG001	100	100	1
OS01G0185400	KN540208.1_FG007	95	96	1
OS01G0185500	KN540208.1_FG003	75	79	1
OS01G0185900	KN540208.1_FG004	34	99	1
OS01G0186200	KN540208.1_FG002	49	58	1
OS01G0186600	KN539739.1_FG001	100	100	1
OS01G0186700	KN539739.1_FG006	77	86	1
OS01G0186900	KN539739.1_FG004	91	94	1
OS01G0187000	KN538755.1_FG027	61	55	1
OS01G0187400	KN538755.1_FG025	78	76	1
OS01G0187600	KN538755.1_FG032	7	9	1
OS01G0187600	KN538755.1_FG038	1	5	1
OS01G0187900	KN538755.1_FG040	87	98	1
OS01G0188100	KN538755.1_FG031	99	99	1
OS01G0188400	KN538755.1_FG037	84	93	1
OS01G0189700	KN540078.1_FG004	67	15	1
OS01G0190000	AMDW01026041.1_FG001	28	96	1
OS01G0190400	KN538755.1_FG034	90	91	0
OS01G0191200	KN538755.1_FG003	46	93	1
OS01G0191300	KN538755.1_FG008	90	75	1
OS01G0191500	KN538755.1_FG011	97	85	1
OS01G0191700	KN538755.1_FG001	99	99	1
OS01G0191800	KN538755.1_FG004	99	68	1
OS01G0192300	KN538755.1_FG005	96	99	1
OS01G0192600	KN538755.1_FG010	99	99	1
OS01G0192900	KN538755.1_FG002	41	99	1
OS01G0193400	KN542043.1_FG001	25	59	0
OS01G0193600	AMDW01020567.1_FG001	17	97	1
OS01G0193600	KN542043.1_FG002	71	58	1
OS01G0193900	KN538748.1_FG012	72	87	1
OS01G0194000	KN538748.1_FG006	61	94	1
OS01G0194200	KN538748.1_FG003	59	94	1
OS01G0194300	KN538748.1_FG011	68	95	1
OS01G0195000	KN538748.1_FG015	75	98	1
OS01G0195200	KN538748.1_FG001	100	43	1
OS01G0195300	KN538748.1_FG004	45	76	1
OS01G0195500	KN538748.1_FG010	82	92	1
OS01G0196600	KN538748.1_FG002	80	67	1
OS01G0197100	KN538748.1_FG007	83	98	1
OS01G0197200	KN538748.1_FG014	76	79	1
OS01G0197400	KN538748.1_FG008	97	97	1
OS01G0197450	KN538748.1_FG009	50	97	1
OS01G0197500	KN538748.1_FG031	52	37	0
OS01G0197700	KN538748.1_FG034	51	95	0
OS01G0197900	KN538748.1_FG037	99	34	1
OS01G0198200	KN538748.1_FG035	98	35	1
OS01G0199400	KN542759.1_FG001	49	99	1
OS01G0199900	KN538747.1_FG012	90	83	1
OS01G0200000	KN538747.1_FG007	96	99	1
OS01G0200300	KN538747.1_FG002	67	47	1
OS01G0200400	KN538747.1_FG005	52	87	0
OS01G0200500	KN538747.1_FG008	65	98	1
OS01G0201100	AMDW01025315.1_FG001	18	99	1
OS01G0201100	KN538747.1_FG013	24	64	1
OS01G0201100	KN545091.1_FG001	22	60	1
OS01G0201200	KN538747.1_FG009	99	99	1
OS01G0201700	KN538747.1_FG006	31	27	1
OS01G0201700	KN538747.1_FG010	58	47	1
OS01G0201800	KN538747.1_FG041	72	95	1
OS01G0201900	KN538747.1_FG028	98	73	1
OS01G0202700	KN538747.1_FG039	32	90	0
OS01G0202800	KN538747.1_FG031	69	53	1
OS01G0203000	KN538747.1_FG036	68	88	0
OS01G0203800	KN538747.1_FG027	40	70	0
OS01G0204000	KN538747.1_FG042	88	81	1
OS01G0205100	KN538747.1_FG038	39	68	0
OS01G0205100	KN539836.1_FG002	90	91	0
OS01G0205300	AMDW01040940.1_FG002	92	98	1
OS01G0205300	KN539836.1_FG005	92	98	1
OS01G0205500	KN539836.1_FG009	100	100	1
OS01G0205700	KN539836.1_FG004	100	68	1
OS01G0206200	KN539836.1_FG014	72	59	1
OS01G0206700	KN539836.1_FG003	96	99	1
OS01G0206800	KN539836.1_FG006	92	98	1
OS01G0207200	KN539836.1_FG011	76	39	0
OS01G0207600	KN539673.1_FG002	46	80	1
OS01G0207700	KN539673.1_FG010	48	50	1
OS01G0207900	KN539673.1_FG005	45	74	1
OS01G0208000	KN539673.1_FG007	59	43	1
OS01G0208400	KN539673.1_FG001	75	91	1
OS01G0208600	KN539673.1_FG011	99	98	1
OS01G0208700	KN539673.1_FG008	76	57	1
OS01G0209200	KN539673.1_FG006	91	80	1
OS01G0209400	KN539673.1_FG009	72	78	0
OS01G0209500	KN539561.1_FG012	38	5	0
OS01G0209700	KN539561.1_FG007	26	97	1
OS01G0209800	KN539561.1_FG002	40	98	1
OS01G0210300	KN539561.1_FG005	53	100	1
OS01G0210400	KN539561.1_FG008	42	98	1
OS01G0210500	KN539561.1_FG004	55	100	1
OS01G0210600	KN539561.1_FG001	99	99	1
OS01G0210700	KN539561.1_FG013	98	93	1
OS01G0210800	KN539561.1_FG009	53	20	1
OS01G0210900	KN539561.1_FG003	52	96	1
OS01G0211000	KN539561.1_FG006	93	98	1
OS01G0211200	KN539144.1_FG012	63	99	1
OS01G0211600	KN539144.1_FG007	54	98	1
OS01G0211800	KN539144.1_FG002	82	72	0
OS01G0212100	KN539144.1_FG005	57	93	0
OS01G0212400	KN539144.1_FG001	72	99	1
OS01G0212500	KN539144.1_FG013	63	83	1
OS01G0213300	KN539144.1_FG006	93	97	1
OS01G0214300	KN540424.1_FG004	89	36	1
OS01G0214400	KN540424.1_FG003	50	50	1
OS01G0214500	KN540424.1_FG006	100	100	1
OS01G0214600	KN540424.1_FG001	78	83	1
OS01G0214800	KN541745.1_FG004	87	100	1
OS01G0215000	KN542149.1_FG002	71	98	1
OS01G0215500	KN542149.1_FG001	95	77	1
OS01G0215700	KN542373.1_FG001	86	98	1
OS01G0216300	KN541135.1_FG003	77	93	1
OS01G0216500	KN541135.1_FG001	80	94	0
OS01G0217000	KN544700.1_FG001	45	95	0
OS01G0217400	AMDW01022810.1_FG001	25	61	1
OS01G0217500	AMDW01026245.1_FG001	12	98	1
OS01G0217800	KN538689.1_FG126	78	66	1
OS01G0218032	KN539324.1_FG001	3	0	1
OS01G0218200	KN538689.1_FG123	71	100	1
OS01G0218700	KN538689.1_FG119	45	18	0
OS01G0219200	KN538689.1_FG125	59	63	1
OS01G0219300	KN538689.1_FG109	57	88	0
OS01G0220200	KN538689.1_FG007	83	30	0
OS01G0220300	KN538689.1_FG004	45	50	0
OS01G0220500	KN538689.1_FG012	29	34	0
OS01G0220700	KN538689.1_FG019	37	21	0
OS01G0221100	KN538689.1_FG022	70	61	1
OS01G0221100	KN538689.1_FG114	3	8	1
OS01G0221300	KN538689.1_FG011	80	92	1
OS01G0221600	KN538689.1_FG018	99	99	1
OS01G0221700	KN538689.1_FG013	32	69	0
OS01G0221900	KN538689.1_FG020	17	7	1
OS01G0222300	KN538689.1_FG014	18	9	1
OS01G0222600	KN538689.1_FG009	90	93	1
OS01G0222700	KN538689.1_FG017	70	96	1
OS01G0223000	KN538689.1_FG005	79	91	1
OS01G0223200	KN538689.1_FG008	65	88	1
OS01G0223300	KN538689.1_FG021	72	88	1
OS01G0223700	KN538689.1_FG016	73	18	0
OS01G0223800	KN538689.1_FG002	90	97	1
OS01G0223900	AMDW01040101.1_FG001	33	97	1
OS01G0223900	KN538689.1_FG006	82	98	1
OS01G0224000	KN538689.1_FG092	89	98	1
OS01G0224100	AMDW01033884.1_FG001	35	97	0
OS01G0224100	KN538689.1_FG077	52	98	0
OS01G0224200	KN538689.1_FG080	85	96	1
OS01G0224400	KN538689.1_FG086	70	23	1
OS01G0224500	KN538689.1_FG081	99	99	1
