Gene stable ID	Leersia perrieri gene stable ID	% identity	Leersia perrieri % identity	Orthology confidence [0 low, 1 high]
OS01G0142500	LPERR01G02460	82	67	1
OS01G0143100	LPERR01G02490	95	94	1
OS01G0143300	LPERR01G02530	57	59	1
OS01G0143400	LPERR01G02550	65	55	1
OS01G0143700	LPERR01G02540	46	55	1
OS01G0143800	LPERR01G02560	70	72	1
OS01G0144000	LPERR01G02570	80	57	1
OS01G0144200	LPERR01G02580	94	94	0
OS01G0144300	LPERR01G02590	85	84	1
OS01G0144340	LPERR01G02600	60	93	0
OS01G0144500	LPERR01G02610	58	51	1
OS01G0144600	LPERR01G02620	88	88	1
OS01G0144700	LPERR01G02630	97	97	1
OS01G0144800	LPERR01G02650	40	17	1
OS01G0145000	LPERR01G02650	60	25	1
OS01G0145200	LPERR01G02650	32	17	1
OS01G0146200	LPERR01G02650	66	27	1
OS01G0147200	LPERR01G02690	96	96	1
OS01G0147300	LPERR01G02700	61	36	0
OS01G0147400	LPERR01G02710	78	40	1
OS01G0147600	LPERR01G02730	22	33	1
OS01G0147700	LPERR01G02750	84	82	1
OS01G0147800	LPERR01G02790	89	53	1
OS01G0148000	LPERR01G02810	88	34	1
OS01G0148050	LPERR01G02810	89	41	1
OS01G0149350	LPERR01G02820	84	85	1
OS01G0149500	LPERR01G02820	88	53	1
OS01G0149700	LPERR02G28040	47	56	1
OS01G0149800	LPERR01G02830	91	93	1
OS01G0149900	LPERR01G02840	82	82	1
OS01G0150000	LPERR01G02850	89	92	1
OS01G0150100	LPERR01G02860	85	36	1
OS01G0150950	LPERR02G17620	25	28	1
OS01G0151100	LPERR01G02870	89	92	1
OS01G0151200	LPERR01G02880	77	79	1
OS01G0151400	LPERR01G02900	85	38	1
OS01G0151500	LPERR01G02900	53	62	1
OS01G0151600	LPERR01G02910	92	77	1
OS01G0151700	LPERR01G02920	85	85	1
OS01G0151900	LPERR01G02940	54	80	1
OS01G0151900	LPERR01G02960	84	84	1
OS01G0152000	LPERR01G02980	84	43	1
OS01G0152000	LPERR01G02990	67	80	1
OS01G0152500	LPERR12G15180	31	28	1
OS01G0152600	LPERR01G03050	41	78	1
OS01G0152687	LPERR11G14020	42	2	1
OS01G0152950	LPERR01G03040	48	40	1
OS01G0152950	LPERR01G03070	59	33	1
OS01G0152950	LPERR02G28050	37	47	1
OS01G0153000	LPERR01G03060	70	71	1
OS01G0153100	LPERR01G03010	95	95	1
OS01G0153100	LPERR01G03030	92	93	1
OS01G0153250	LPERR01G03090	85	87	1
OS01G0153300	LPERR01G03010	95	97	1
OS01G0153300	LPERR01G03030	93	95	1
OS01G0153400	LPERR01G03130	81	38	1
OS01G0153500	LPERR01G03150	29	76	1
OS01G0153800	LPERR01G03180	67	42	1
OS01G0153800	LPERR01G03250	65	70	1
OS01G0153900	LPERR01G03190	61	11	1
OS01G0153950	LPERR01G03140	39	52	1
OS01G0154100	LPERR01G03220	63	34	1
OS01G0154500	LPERR01G03240	57	63	1
OS01G0154600	LPERR01G03230	76	39	1
OS01G0155000	LPERR01G03260	84	84	1
OS01G0155200	LPERR01G03280	83	84	1
OS01G0155300	LPERR01G03290	68	74	1
OS01G0155400	LPERR01G03300	90	58	1
OS01G0155500	LPERR01G03310	78	83	1
OS01G0155600	LPERR01G03320	88	79	0
OS01G0156000	LPERR01G03340	82	83	1
OS01G0156300	LPERR01G03360	49	50	1
OS01G0156300	LPERR01G03380	51	51	1
OS01G0157200	LPERR01G03350	50	52	1
OS01G0157200	LPERR01G03390	44	48	1
OS01G0157400	LPERR01G03410	31	55	1
OS01G0157500	LPERR01G03420	51	62	1
OS01G0157600	LPERR01G03430	69	67	1
OS01G0157700	LPERR01G03440	69	31	1
OS01G0157800	LPERR01G03450	94	26	1
OS01G0157900	LPERR01G03460	77	82	1
OS01G0158000	LPERR01G03470	92	92	1
OS01G0158100	LPERR01G03480	77	80	1
OS01G0158200	LPERR01G03490	90	93	1
OS01G0158400	LPERR01G03500	73	73	1
OS01G0158500	LPERR01G03510	70	55	1
OS01G0158600	LPERR01G03940	60	61	0
OS01G0158800	LPERR01G03520	37	43	1
OS01G0158900	LPERR01G03530	90	90	1
OS01G0159000	LPERR01G03540	79	54	1
OS01G0159200	LPERR01G03550	89	62	1
OS01G0159300	LPERR01G03560	71	73	1
OS01G0159400	LPERR01G03570	95	81	1
OS01G0159600	LPERR01G03580	91	86	1
OS01G0160100	LPERR01G03600	95	96	1
OS01G0160200	LPERR01G03610	58	75	1
OS01G0160800	LPERR01G03640	67	70	1
OS01G0160800	LPERR01G03950	51	50	1
OS01G0160800	LPERR01G03960	66	32	1
OS01G0160800	LPERR01G03980	67	67	1
OS01G0161300	LPERR01G03650	62	68	1
OS01G0162800	LPERR01G03660	44	46	0
OS01G0162900	LPERR01G03670	59	45	1
OS01G0164075	LPERR01G03700	68	65	1
OS01G0164300	LPERR01G03700	65	69	1
OS01G0164400	LPERR01G03710	93	38	1
OS01G0164500	LPERR01G03720	91	91	1
OS01G0164600	LPERR01G03730	80	87	1
OS01G0164700	LPERR01G03740	59	24	1
OS01G0164800	LPERR01G03750	80	13	1
OS01G0164900	LPERR01G03750	77	24	1
OS01G0165000	LPERR01G03760	79	79	1
OS01G0165100	LPERR01G03770	91	91	1
OS01G0165200	LPERR01G03780	63	66	1
OS01G0165600	LPERR06G17610	36	45	1
OS01G0166100	LPERR01G03870	95	94	1
OS01G0166300	LPERR01G03880	79	64	1
OS01G0166400	LPERR01G03890	72	71	1
OS01G0166500	LPERR01G03900	48	47	1
OS01G0166700	LPERR01G03910	61	63	1
OS01G0166700	LPERR01G03920	74	75	1
OS01G0166800	LPERR01G03930	94	94	1
OS01G0167500	LPERR01G03990	96	96	1
OS01G0167600	LPERR01G04000	44	73	1
OS01G0167700	LPERR01G04010	67	46	1
OS01G0167800	LPERR01G04020	81	39	1
OS01G0167900	LPERR01G04030	91	91	1
OS01G0168100	LPERR01G04040	84	79	1
OS01G0168200	LPERR01G04050	90	90	1
OS01G0168300	LPERR01G04060	76	87	1
OS01G0168400	LPERR01G04070	86	86	1
OS01G0168500	LPERR01G04080	97	97	1
OS01G0168600	LPERR01G04090	93	55	1
OS01G0168800	LPERR01G04100	79	80	1
OS01G0169400	LPERR01G04140	91	81	1
OS01G0169500	LPERR01G04150	84	87	1
OS01G0169800	LPERR01G04160	88	37	1
OS01G0169900	LPERR01G04170	86	87	1
OS01G0170000	LPERR01G04180	85	36	1
OS01G0170100	LPERR01G04190	88	53	1
OS01G0170300	LPERR01G04200	80	83	1
OS01G0170500	LPERR01G04210	87	77	1
OS01G0170600	LPERR01G04220	43	45	1
OS01G0170700	LPERR02G19630	26	23	0
OS01G0170800	LPERR01G04240	48	42	1
OS01G0170900	LPERR01G04250	56	68	1
OS01G0171000	LPERR01G04260	95	94	1
OS01G0171100	LPERR01G04270	67	46	1
OS01G0171200	LPERR01G04300	33	35	1
OS01G0171800	LPERR01G04330	71	70	1
OS01G0172000	LPERR01G04360	83	24	1
OS01G0172100	LPERR01G04370	82	83	1
OS01G0172200	LPERR01G04380	78	84	1
OS01G0172300	LPERR01G04390	87	88	1
OS01G0172400	LPERR01G04400	95	95	1
OS01G0172600	LPERR01G04410	90	60	1
OS01G0172900	LPERR01G04420	60	45	1
OS01G0173000	LPERR01G04430	49	42	1
OS01G0173600	LPERR01G04440	47	57	1
OS01G0173900	LPERR01G04450	88	88	1
OS01G0174000	LPERR01G04460	44	77	1
OS01G0174100	LPERR01G04470	80	74	1
OS01G0174300	LPERR01G04490	95	95	1
OS01G0174500	LPERR01G04500	79	75	1
OS01G0174600	LPERR01G04510	52	49	1
OS01G0174700	LPERR01G04520	87	84	1
OS01G0174900	LPERR01G04530	75	59	1
OS01G0175000	LPERR01G04540	95	84	1
OS01G0175100	LPERR01G04550	79	83	1
OS01G0175500	LPERR01G06430	54	53	1
OS01G0175600	LPERR01G04600	91	91	1
OS01G0175700	LPERR01G04600	93	93	1
OS01G0175850	LPERR10G03030	65	35	1
OS01G0176000	LPERR01G04650	73	73	1
OS01G0176100	LPERR01G04610	82	41	1
OS01G0176300	LPERR01G04620	83	83	1
OS01G0176400	LPERR01G04630	86	89	1
OS01G0176500	LPERR01G04640	90	91	1
OS01G0176700	LPERR01G04660	56	51	1
OS01G0176800	LPERR01G04670	78	77	1
OS01G0176900	LPERR01G04680	32	58	1
OS01G0177100	LPERR01G04700	72	86	1
OS01G0177200	LPERR01G04710	92	93	1
OS01G0177900	LPERR01G04730	98	26	1
OS01G0178000	LPERR01G04740	79	92	1
OS01G0178100	LPERR01G04750	79	75	1
OS01G0178200	LPERR01G04760	85	94	1
OS01G0178700	LPERR01G04820	86	92	1
OS01G0178850	LPERR01G04830	80	88	1
OS01G0179000	LPERR01G04840	75	82	1
OS01G0179200	LPERR01G04850	88	88	1
OS01G0179300	LPERR01G04860	63	83	1
OS01G0179400	LPERR01G04870	96	51	1
OS01G0179500	LPERR01G04880	75	56	1
OS01G0179600	LPERR01G04890	70	69	1
OS01G0179700	LPERR02G21410	97	39	1
OS01G0179800	LPERR01G04900	88	76	1
OS01G0180000	LPERR01G04910	60	76	1
OS01G0180300	LPERR01G04920	82	83	1
OS01G0180400	LPERR01G04930	63	52	0
OS01G0180600	LPERR01G04940	88	87	1
OS01G0180700	LPERR01G04950	77	76	1
OS01G0180800	LPERR01G04960	91	91	1
OS01G0181000	LPERR01G04980	50	63	1
OS01G0182100	LPERR01G01210	36	57	1
OS01G0182200	LPERR01G04990	91	90	1
OS01G0182300	LPERR01G05000	73	78	1
OS01G0182400	LPERR01G05010	71	78	1
OS01G0182500	LPERR01G05020	75	54	1
OS01G0182600	LPERR01G05030	89	93	1
OS01G0182700	LPERR01G05040	69	75	1
OS01G0183000	LPERR01G05050	89	8	1
OS01G0183300	LPERR01G05060	69	70	1
OS01G0183500	LPERR01G05070	90	17	1
OS01G0183633	LPERR01G05080	50	33	1
OS01G0183800	LPERR01G05100	78	81	1
OS01G0183850	LPERR01G05110	70	61	1
OS01G0184000	LPERR01G05130	88	91	1
OS01G0184100	LPERR01G05140	88	91	1
OS01G0184500	LPERR01G05150	84	84	1
OS01G0184800	LPERR01G05190	94	94	1
OS01G0184900	LPERR01G05200	97	97	1
OS01G0185100	LPERR01G05210	62	43	1
OS01G0185200	LPERR01G05220	96	96	1
OS01G0185300	LPERR01G05230	93	93	1
OS01G0185400	LPERR01G05240	84	71	1
OS01G0185500	LPERR01G05250	83	81	1
OS01G0185900	LPERR01G05260	79	79	1
OS01G0186000	LPERR01G05270	55	56	1
OS01G0186200	LPERR01G05280	87	86	1
OS01G0186400	LPERR01G09030	19	35	0
OS01G0186600	LPERR01G05290	43	38	0
OS01G0186700	LPERR01G05310	94	98	1
OS01G0187000	LPERR07G21510	44	37	0
OS01G0187000	LPERR07G22200	41	33	0
OS01G0187000	LPERR12G16960	21	24	0
OS01G0187400	LPERR01G05340	94	94	1
OS01G0187600	LPERR01G05370	73	32	1
OS01G0187900	LPERR01G05380	88	91	1
OS01G0188100	LPERR01G05390	87	93	1
OS01G0188200	LPERR01G00210	58	15	1
OS01G0188400	LPERR01G05400	82	81	1
OS01G0189100	LPERR01G04590	51	67	1
OS01G0189800	LPERR01G06430	48	49	1
OS01G0190000	LPERR01G05430	87	75	1
OS01G0190300	LPERR01G05440	63	60	1
OS01G0190400	LPERR01G05450	86	85	1
OS01G0190500	LPERR01G05460	60	67	1
OS01G0191000	LPERR01G05480	73	85	1
OS01G0191100	LPERR01G05490	90	90	1
OS01G0191200	LPERR01G05520	69	77	1
OS01G0191300	LPERR01G05530	89	90	1
OS01G0191500	LPERR01G05540	95	95	1
OS01G0191700	LPERR01G05550	97	96	1
OS01G0191800	LPERR01G05560	96	96	1
OS01G0192000	LPERR01G05580	74	85	1
OS01G0192300	LPERR01G05630	81	84	1
OS01G0192500	LPERR04G20820	48	47	1
OS01G0192600	LPERR01G05640	80	88	1
OS01G0192900	LPERR01G05650	71	82	1
OS01G0193400	LPERR01G05660	70	59	1
OS01G0193500	LPERR01G05670	25	68	0
OS01G0193500	LPERR01G05680	38	80	0
OS01G0193600	LPERR01G05690	86	90	1
OS01G0193900	LPERR01G05700	62	59	1
OS01G0193900	LPERR08G04910	55	66	1
OS01G0194000	LPERR01G05710	61	58	0
OS01G0194200	LPERR01G05720	89	90	1
OS01G0194300	LPERR01G05730	58	78	1
OS01G0194600	LPERR01G05740	72	76	1
OS01G0195000	LPERR01G05760	54	53	0
OS01G0195200	LPERR01G05780	90	38	1
OS01G0195300	LPERR01G05790	63	57	1
OS01G0195400	LPERR01G05800	76	71	1
OS01G0195500	LPERR01G05810	90	88	1
OS01G0195801	LPERR01G05820	52	38	1
OS01G0196300	LPERR01G05820	57	63	1
OS01G0196600	LPERR01G05850	84	80	1
OS01G0197100	LPERR01G05860	83	84	1
OS01G0197200	LPERR01G05870	96	89	1
OS01G0197400	LPERR01G05880	49	44	1
OS01G0197450	LPERR01G05890	58	41	1
OS01G0197700	LPERR01G05900	81	80	1
OS01G0197900	LPERR01G05910	83	28	1
OS01G0198200	LPERR01G05930	93	94	1
OS01G0198500	LPERR01G05940	65	62	1
OS01G0198900	LPERR01G05950	58	66	1
OS01G0199300	LPERR01G05970	60	64	1
OS01G0199400	LPERR01G05980	84	87	1
OS01G0199700	LPERR01G05990	40	47	1
OS01G0199900	LPERR01G06000	92	93	1
OS01G0200200	LPERR01G06010	61	65	1
OS01G0200300	LPERR01G06020	86	43	1
OS01G0200400	LPERR01G06030	87	86	1
OS01G0200500	LPERR01G06040	85	83	1
OS01G0200600	LPERR01G06070	31	49	1
OS01G0201100	LPERR01G06100	70	72	1
OS01G0201200	LPERR01G06110	90	90	1
OS01G0201250	LPERR01G06120	75	82	1
OS01G0201400	LPERR05G05530	47	51	1
OS01G0201600	LPERR01G06150	54	57	1
OS01G0201700	LPERR01G06160	72	38	1
OS01G0201800	LPERR01G06170	75	65	1
OS01G0201900	LPERR01G06170	76	58	1
OS01G0202500	LPERR01G06180	72	70	1
OS01G0202700	LPERR01G06190	83	79	1
OS01G0202800	LPERR01G06200	78	66	1
OS01G0203000	LPERR01G06210	92	94	1
OS01G0203300	LPERR01G06220	82	78	1
OS01G0203800	LPERR01G06230	83	84	1
OS01G0204000	LPERR01G06240	87	73	1
OS01G0205100	LPERR01G06300	84	82	0
OS01G0205300	LPERR01G06320	68	88	1
OS01G0205500	LPERR01G06330	99	99	1
OS01G0205700	LPERR01G06340	97	54	1
OS01G0206300	LPERR01G06390	79	79	1
OS01G0206700	LPERR01G06410	93	93	1
OS01G0206800	LPERR01G06420	85	86	1
OS01G0207200	LPERR01G06440	78	47	1
OS01G0207300	LPERR01G12330	95	39	1
OS01G0207400	LPERR01G06450	88	38	1
OS01G0207600	LPERR01G06460	62	64	1
OS01G0207700	LPERR01G06470	57	47	1
OS01G0207700	LPERR01G06490	57	44	1
OS01G0207700	LPERR01G06500	62	15	1
OS01G0207900	LPERR01G06470	53	63	1
OS01G0207900	LPERR01G06490	59	65	1
OS01G0207900	LPERR01G06500	67	24	1
OS01G0208000	LPERR01G06470	0	0	1
OS01G0208000	LPERR01G06490	5	2	1
OS01G0208000	LPERR01G06500	11	2	1
OS01G0208400	LPERR01G06510	81	82	1
OS01G0208600	LPERR01G06520	82	82	1
OS01G0208700	LPERR01G06530	84	91	1
OS01G0209000	LPERR01G06540	94	94	1
OS01G0209200	LPERR01G06560	65	50	1
OS01G0209400	LPERR01G06590	82	90	1
OS01G0209500	LPERR01G06600	12	1	0
OS01G0209700	LPERR01G06610	87	87	1
OS01G0209800	LPERR01G06620	89	88	1
OS01G0210200	LPERR01G06630	65	61	0
OS01G0210300	LPERR01G06640	89	88	1
OS01G0210400	LPERR01G06650	83	87	1
OS01G0210500	LPERR01G06670	93	92	1
OS01G0210600	LPERR01G06680	79	80	1
OS01G0210700	LPERR01G06690	88	88	1
OS01G0210800	LPERR01G06700	53	18	1
OS01G0210900	LPERR11G02430	64	79	1
OS01G0210900	LPERR12G02470	76	77	1
OS01G0210900	LPERR12G02530	69	76	1
OS01G0211000	LPERR11G02430	65	81	1
OS01G0211000	LPERR12G02470	76	78	1
OS01G0211000	LPERR12G02530	70	79	1
OS01G0211600	LPERR01G06710	93	57	1
OS01G0211800	LPERR01G06720	70	74	1
OS01G0212100	LPERR01G06730	92	97	1
OS01G0212400	LPERR01G06740	89	87	1
OS01G0212500	LPERR01G06750	72	76	1
OS01G0212700	LPERR01G06770	21	24	0
OS01G0212700	LPERR05G05780	22	26	0
OS01G0213100	LPERR01G06790	31	56	1
OS01G0213300	LPERR01G06800	51	43	1
OS01G0213400	LPERR01G06820	62	72	1
OS01G0213800	LPERR01G06830	55	54	1
OS01G0214200	LPERR01G06850	91	90	1
OS01G0214300	LPERR01G06860	68	19	1
OS01G0214400	LPERR01G06870	84	58	1
OS01G0214600	LPERR01G06880	73	66	1
OS01G0214800	LPERR01G06890	76	95	1
OS01G0215100	LPERR05G22800	82	27	1
OS01G0215700	LPERR01G06930	88	89	1
OS01G0216000	LPERR01G06940	65	71	1
OS01G0216300	LPERR01G06940	69	73	1
