Gene stable ID	Triticum urartu gene stable ID	% identity	Triticum urartu % identity	Orthology confidence [0 low, 1 high]
OS01G0152950	TRIUR3_22117	24	26	0
OS01G0152950	TRIUR3_22442	21	22	0
OS01G0152950	TRIUR3_22443	20	21	0
OS01G0152950	TRIUR3_24682	23	22	0
OS01G0152950	TRIUR3_25448	15	22	0
OS01G0152950	TRIUR3_26863	20	20	0
OS01G0152950	TRIUR3_27146	21	23	0
OS01G0152950	TRIUR3_27206	23	24	0
OS01G0152950	TRIUR3_27995	22	23	0
OS01G0152950	TRIUR3_28840	17	21	0
OS01G0152950	TRIUR3_30533	21	24	0
OS01G0152950	TRIUR3_30975	23	25	0
OS01G0152950	TRIUR3_33998	21	23	0
OS01G0153000	TRIUR3_06342	56	59	0
OS01G0153000	TRIUR3_07785	58	59	0
OS01G0153000	TRIUR3_10184	48	55	0
OS01G0153000	TRIUR3_15283	59	58	0
OS01G0153000	TRIUR3_15498	59	59	0
OS01G0153000	TRIUR3_16065	58	59	0
OS01G0153000	TRIUR3_17992	57	59	0
OS01G0153000	TRIUR3_30349	58	58	0
OS01G0153050	TRIUR3_10185	13	22	1
OS01G0153200	TRIUR3_22822	16	23	1
OS01G0153250	TRIUR3_22823	71	76	1
OS01G0153400	TRIUR3_28732	90	55	1
OS01G0153950	TRIUR3_11390	35	29	1
OS01G0154100	TRIUR3_12906	26	42	1
OS01G0154100	TRIUR3_22243	37	51	1
OS01G0154100	TRIUR3_25398	28	40	1
OS01G0154500	TRIUR3_25538	58	57	1
OS01G0154600	TRIUR3_25538	63	62	1
OS01G0155400	TRIUR3_08343	82	59	1
OS01G0155500	TRIUR3_18088	46	51	0
OS01G0155600	TRIUR3_08340	68	51	1
OS01G0156000	TRIUR3_06252	49	61	1
OS01G0157700	TRIUR3_22192	29	14	1
OS01G0157800	TRIUR3_22193	87	73	1
OS01G0157900	TRIUR3_09567	54	70	1
OS01G0158000	TRIUR3_09566	79	73	1
OS01G0158100	TRIUR3_33408	30	71	0
OS01G0158200	TRIUR3_18045	67	88	1
OS01G0158400	TRIUR3_18044	67	67	1
OS01G0158500	TRIUR3_19080	69	42	1
