Gene stable ID	Amborella trichopoda gene stable ID	% identity	Amborella trichopoda % identity	Orthology confidence [0 low, 1 high]
OS01G0105900	AMTR_s00011p00224000	65	65	1
OS01G0106200	AMTR_s00011p00228520	74	76	0
OS01G0106300	AMTR_s00011p00230840	51	52	1
OS01G0106300	AMTR_s00018p00144420	24	45	1
OS01G0106400	AMTR_s00011p00230840	56	57	1
OS01G0106400	AMTR_s00018p00144420	27	51	1
OS01G0106700	AMTR_s00058p00205060	26	57	1
OS01G0106800	AMTR_s00024p00244120	80	82	0
OS01G0106900	AMTR_s00058p00194850	85	85	1
OS01G0107700	AMTR_s00111p00027680	51	43	1
OS01G0107900	AMTR_s00058p00181770	43	43	1
OS01G0108000	AMTR_s00058p00177950	41	41	1
OS01G0108200	AMTR_s00001p00185410	71	71	0
OS01G0108400	AMTR_s00068p00166340	24	31	1
OS01G0108600	AMTR_s00068p00166340	27	34	1
OS01G0108800	AMTR_s00058p00171710	42	16	1
OS01G0109300	AMTR_s00058p00170360	64	67	0
OS01G0109700	AMTR_s00090p00182010	57	50	1
OS01G0110100	AMTR_s00024p00253180	62	63	1
OS01G0110400	AMTR_s00061p00203040	72	65	1
OS01G0110700	AMTR_s00024p00252690	72	68	1
OS01G0110800	AMTR_s00024p00252070	44	37	1
OS01G0111100	AMTR_s00024p00252620	48	39	0
OS01G0111200	AMTR_s00011p00261970	39	44	0
OS01G0111200	AMTR_s00024p00250820	45	47	0
OS01G0111400	AMTR_s00024p00250640	46	48	1
OS01G0111500	AMTR_s00024p00250370	34	32	1
OS01G0111600	AMTR_s00024p00249400	55	55	1
OS01G0112100	AMTR_s00078p00117800	27	24	1
OS01G0112500	AMTR_s00147p00032390	48	55	1
OS01G0113200	AMTR_s00079p00195720	16	18	1
OS01G0113200	AMTR_s00213p00028200	16	18	1
OS01G0113200	AMTR_s00213p00032300	15	18	1
OS01G0113200	AMTR_s01480p00009240	16	18	1
OS01G0113500	AMTR_s00079p00195720	28	53	1
OS01G0113500	AMTR_s00213p00028200	28	52	1
OS01G0113500	AMTR_s00213p00032300	29	53	1
OS01G0113500	AMTR_s01480p00009240	29	53	1
OS01G0113800	AMTR_s00079p00195720	28	52	1
OS01G0113800	AMTR_s00213p00028200	28	52	1
OS01G0113800	AMTR_s00213p00032300	29	53	1
OS01G0113800	AMTR_s01480p00009240	29	53	1
OS01G0114700	AMTR_s00079p00195720	29	52	1
OS01G0114700	AMTR_s00213p00028200	28	52	1
OS01G0114700	AMTR_s00213p00032300	29	53	1
OS01G0114700	AMTR_s01480p00009240	29	53	1
OS01G0114900	AMTR_s00079p00195720	52	46	1
OS01G0114900	AMTR_s00213p00028200	51	45	1
OS01G0114900	AMTR_s00213p00032300	51	46	1
OS01G0114900	AMTR_s01480p00009240	52	46	1
OS01G0115600	AMTR_s00079p00195720	30	55	1
OS01G0115600	AMTR_s00213p00028200	30	54	1
OS01G0115600	AMTR_s00213p00032300	30	55	1
OS01G0115600	AMTR_s01480p00009240	30	55	1
OS01G0116600	AMTR_s00002p00187140	53	50	1
OS01G0116900	AMTR_s00079p00195720	35	53	1
OS01G0116900	AMTR_s00213p00028200	35	52	1
OS01G0116900	AMTR_s00213p00032300	35	53	1
OS01G0116900	AMTR_s01480p00009240	36	54	1
OS01G0117100	AMTR_s00079p00195720	48	52	1
OS01G0117100	AMTR_s00213p00028200	48	51	1
OS01G0117100	AMTR_s00213p00032300	48	52	1
OS01G0117100	AMTR_s01480p00009240	49	52	1
OS01G0117300	AMTR_s00079p00195720	46	54	1
OS01G0117300	AMTR_s00213p00028200	46	53	1
OS01G0117300	AMTR_s00213p00032300	46	54	1
OS01G0117300	AMTR_s01480p00009240	47	54	1
OS01G0117400	AMTR_s00213p00035250	36	35	1
OS01G0117500	AMTR_s00079p00195720	37	51	1
OS01G0117500	AMTR_s00213p00028200	37	51	1
OS01G0117500	AMTR_s00213p00032300	37	51	1
OS01G0117500	AMTR_s01480p00009240	38	52	1
OS01G0117700	AMTR_s00079p00195720	28	53	1
OS01G0117700	AMTR_s00213p00028200	28	52	1
OS01G0117700	AMTR_s00213p00032300	28	53	1
OS01G0117700	AMTR_s01480p00009240	28	54	1
OS01G0117900	AMTR_s00006p00239950	56	65	1
OS01G0118000	AMTR_s00001p00172880	84	83	1
OS01G0118100	AMTR_s00006p00184140	78	53	1
OS01G0118300	AMTR_s00006p00177250	71	28	1
OS01G0118400	AMTR_s00007p00251750	25	35	0
OS01G0118600	AMTR_s00007p00251750	28	37	0
OS01G0118700	AMTR_s00006p00157810	30	36	1
OS01G0118700	AMTR_s00006p00165990	31	35	1
OS01G0119000	AMTR_s00006p00157810	32	36	1
OS01G0119000	AMTR_s00006p00165990	31	32	1
OS01G0119100	AMTR_s00006p00157810	29	40	1
OS01G0119100	AMTR_s00006p00165990	30	37	1
OS01G0120300	AMTR_s00106p00043170	27	57	1
OS01G0120300	AMTR_s00106p00044210	11	58	1
OS01G0120300	AMTR_s00106p00046740	72	59	1
OS01G0120400	AMTR_s00045p00197400	55	48	1
OS01G0120500	AMTR_s00006p00083160	54	52	1
OS01G0120600	AMTR_s00006p00057170	40	34	1
OS01G0120700	AMTR_s00006p00028150	34	35	1
OS01G0120800	AMTR_s00111p00041460	66	68	1
OS01G0121000	AMTR_s00105p00150760	33	37	1
OS01G0121100	AMTR_s00105p00145330	53	54	1
OS01G0121200	AMTR_s00105p00126340	52	52	1
OS01G0121300	AMTR_s00105p00121200	44	43	1
OS01G0121500	AMTR_s00105p00083010	32	24	0
OS01G0121600	AMTR_s00105p00083010	37	34	0
OS01G0121700	AMTR_s00105p00057070	70	70	1
OS01G0121800	AMTR_s00105p00046400	30	49	1
OS01G0122200	AMTR_s00004p00156470	15	18	0
OS01G0122200	AMTR_s00029p00125110	17	16	0
OS01G0123700	AMTR_s00004p00156470	19	20	0
OS01G0123700	AMTR_s00029p00125110	17	15	0
OS01G0125600	AMTR_s00005p00268350	29	34	0
OS01G0125700	AMTR_s00143p00032830	57	54	1
OS01G0125800	AMTR_s00005p00267370	72	72	1
OS01G0125900	AMTR_s00001p00271430	48	41	1
OS01G0126200	AMTR_s00005p00266890	52	55	0
OS01G0127300	AMTR_s00009p00267810	29	53	1
OS01G0127400	AMTR_s00005p00266220	63	64	1
OS01G0127500	AMTR_s00005p00268810	50	57	0
OS01G0127900	AMTR_s00079p00142130	57	58	1
OS01G0128000	AMTR_s00079p00140660	36	43	1
OS01G0128100	AMTR_s00079p00130410	64	64	1
OS01G0128300	AMTR_s00079p00127490	50	48	0
OS01G0128400	AMTR_s00106p00069950	45	44	0
OS01G0128800	AMTR_s00079p00116430	59	17	1
OS01G0129200	AMTR_s00079p00109960	33	32	1
OS01G0129500	AMTR_s00079p00101030	29	30	1
OS01G0130000	AMTR_s00079p00063830	61	60	1
OS01G0130400	AMTR_s00079p00035080	46	67	1
OS01G0130400	AMTR_s00079p00035400	15	60	1
OS01G0130400	AMTR_s00079p00038550	57	70	1
OS01G0131300	AMTR_s00079p00027120	31	26	1
OS01G0131600	AMTR_s00079p00020610	21	18	1
OS01G0131800	AMTR_s00005p00269140	35	53	1
OS01G0132100	AMTR_s00029p00234330	33	33	1
OS01G0132100	AMTR_s00029p00236200	32	33	1
OS01G0132700	AMTR_s00137p00031080	56	51	1
OS01G0132766	AMTR_s00057p00086480	24	29	0
OS01G0132800	AMTR_s00062p00164830	61	65	1
OS01G0132800	AMTR_s00079p00167690	39	61	1
OS01G0133400	AMTR_s00079p00172270	72	71	1
OS01G0133500	AMTR_s00079p00177100	48	52	1
OS01G0133600	AMTR_s00079p00180800	24	50	1
OS01G0133700	AMTR_s00079p00180800	45	48	1
OS01G0133900	AMTR_s00077p00144570	44	26	1
OS01G0134500	AMTR_s00079p00182550	68	69	0
OS01G0134700	AMTR_s00057p00092720	35	28	0
OS01G0135800	AMTR_s00009p00236890	53	48	0
OS01G0135800	AMTR_s00023p00248940	49	44	0
OS01G0135800	AMTR_s00048p00060010	53	52	0
OS01G0135800	AMTR_s00048p00062080	51	50	0
OS01G0135800	AMTR_s00136p00020380	50	47	0
OS01G0135800	AMTR_s00165p00019610	55	55	0
OS01G0135800	AMTR_s00165p00021050	55	54	0
OS01G0135800	AMTR_s00165p00049070	23	32	0
OS01G0135800	AMTR_s00165p00056090	49	45	0
OS01G0135800	AMTR_s00165p00056640	48	44	0
OS01G0136050	AMTR_s00023p00249070	42	46	1
OS01G0136050	AMTR_s00074p00154530	39	48	1
OS01G0136400	AMTR_s00079p00188790	39	47	1
OS01G0136800	AMTR_s00079p00188790	33	40	1
OS01G0138600	AMTR_s00007p00111110	25	13	1
OS01G0138800	AMTR_s00044p00212310	64	65	1
OS01G0138900	AMTR_s00044p00222680	59	69	0
OS01G0139000	AMTR_s00044p00221140	15	15	0
OS01G0139200	AMTR_s00007p00243380	37	36	1
OS01G0139600	AMTR_s00007p00242740	59	58	1
OS01G0140100	AMTR_s00007p00241440	61	62	1
OS01G0140400	AMTR_s00007p00239300	53	55	1
OS01G0140500	AMTR_s00022p00214810	53	47	0
OS01G0140500	AMTR_s00065p00088770	53	46	0
OS01G0140700	AMTR_s00007p00238950	51	42	1
OS01G0141000	AMTR_s00007p00238950	47	44	1
OS01G0141100	AMTR_s00168p00030500	91	64	0
OS01G0141300	AMTR_s00168p00030500	67	74	0
OS01G0141600	AMTR_s00029p00242750	55	32	1
OS01G0141700	AMTR_s00029p00242040	56	59	0
OS01G0141900	AMTR_s00029p00238480	48	46	1
OS01G0142100	AMTR_s00029p00233910	55	64	1
OS01G0142200	AMTR_s00029p00239730	73	73	1
OS01G0142300	AMTR_s00029p00223030	48	76	1
OS01G0142500	AMTR_s00029p00215750	39	41	1
OS01G0143300	AMTR_s00012p00263410	47	46	0
OS01G0143700	AMTR_s00012p00263410	35	34	0
OS01G0143800	AMTR_s00012p00263410	32	32	0
OS01G0144000	AMTR_s00137p00066590	49	63	1
OS01G0144000	AMTR_s00155p00007590	49	63	1
OS01G0144100	AMTR_s00012p00257960	69	60	1
OS01G0144200	AMTR_s00012p00253320	65	64	1
OS01G0144340	AMTR_s00012p00244490	60	59	1
OS01G0144600	AMTR_s00012p00240300	39	43	1
OS01G0147200	AMTR_s00012p00237600	56	61	1
OS01G0147400	AMTR_s00010p00167310	16	17	0
OS01G0147400	AMTR_s00012p00226630	34	13	0
OS01G0147400	AMTR_s00012p00228300	20	31	0
OS01G0147400	AMTR_s00012p00229720	32	23	0
OS01G0147400	AMTR_s00012p00230440	34	13	0
OS01G0147400	AMTR_s02578p00002400	31	22	0
OS01G0147700	AMTR_s00010p00167310	7	22	0
OS01G0147700	AMTR_s00012p00226630	31	34	0
OS01G0147700	AMTR_s00012p00228300	8	37	0
OS01G0147700	AMTR_s00012p00229720	14	29	0
OS01G0147700	AMTR_s00012p00230440	32	35	0
OS01G0147700	AMTR_s02578p00002400	14	30	0
OS01G0147800	AMTR_s00012p00225450	40	40	1
OS01G0147900	AMTR_s00012p00219470	80	80	0
OS01G0148000	AMTR_s00012p00210330	40	16	0
OS01G0148050	AMTR_s00012p00210330	43	20	0
OS01G0148400	AMTR_s00022p00215770	9	19	1
OS01G0150000	AMTR_s00012p00190030	74	73	1
OS01G0150100	AMTR_s00012p00169450	42	19	1
OS01G0150200	AMTR_s00033p00239320	71	64	0
OS01G0151100	AMTR_s00012p00152990	61	64	0
OS01G0151200	AMTR_s00012p00154880	63	64	0
OS01G0151400	AMTR_s00010p00064690	63	22	1
OS01G0151400	AMTR_s00010p00066490	26	14	1
OS01G0151500	AMTR_s00010p00064690	48	43	1
OS01G0151500	AMTR_s00010p00066490	36	49	1
OS01G0151600	AMTR_s00012p00053550	54	64	1
OS01G0151700	AMTR_s00012p00077460	69	69	1
OS01G0151900	AMTR_s00022p00129420	44	43	1
OS01G0152687	AMTR_s00029p00235340	31	12	1
OS01G0152687	AMTR_s00029p00236560	41	14	1
OS01G0152687	AMTR_s00029p00240040	30	22	1
OS01G0152700	AMTR_s00010p00228620	98	27	0
OS01G0152700	AMTR_s00012p00067980	98	27	0
OS01G0152700	AMTR_s00012p00085300	95	28	0
OS01G0152700	AMTR_s00012p00085960	98	27	0
OS01G0152700	AMTR_s00012p00088340	95	28	0
OS01G0152700	AMTR_s00085p00145460	95	29	0
OS01G0153200	AMTR_s00168p00026690	33	23	1
OS01G0153250	AMTR_s00019p00203030	39	39	1
OS01G0153400	AMTR_s00033p00135980	72	41	1
OS01G0153800	AMTR_s00004p00146330	37	42	1
OS01G0153800	AMTR_s00004p00146770	32	39	1
OS01G0155000	AMTR_s00004p00146330	41	42	1
OS01G0155000	AMTR_s00004p00146770	36	42	1
OS01G0155300	AMTR_s00034p00239800	35	38	1
OS01G0155300	AMTR_s00034p00240370	26	31	1
OS01G0155300	AMTR_s00034p00240460	38	35	1
OS01G0155400	AMTR_s00034p00227920	51	33	1
OS01G0155500	AMTR_s00080p00131040	40	44	1
OS01G0155600	AMTR_s00007p00189640	53	53	1
OS01G0157700	AMTR_s00080p00165150	31	21	1
OS01G0157800	AMTR_s00014p00248230	75	74	1
OS01G0157900	AMTR_s00023p00246550	46	46	1
OS01G0158000	AMTR_s00108p00104150	58	57	1
OS01G0158100	AMTR_s00034p00130400	31	33	1
OS01G0158200	AMTR_s00034p00161680	65	66	1
OS01G0158400	AMTR_s00032p00088190	18	24	1
OS01G0158500	AMTR_s00056p00173860	66	61	1
OS01G0158600	AMTR_s00029p00234330	37	34	1
OS01G0158600	AMTR_s00029p00236200	37	35	1
OS01G0158900	AMTR_s00007p00069060	21	42	1
OS01G0158900	AMTR_s00007p00070690	16	39	1
OS01G0159000	AMTR_s00130p00113960	37	26	1
OS01G0159200	AMTR_s00007p00166710	53	41	0
OS01G0159300	AMTR_s00144p00039220	18	15	1
OS01G0159400	AMTR_s00007p00127410	76	76	1
OS01G0160200	AMTR_s00029p00234330	37	35	1
OS01G0160200	AMTR_s00029p00236200	36	36	1
OS01G0160700	AMTR_s00029p00234330	36	34	1
OS01G0160700	AMTR_s00029p00236200	36	35	1
OS01G0161000	AMTR_s00029p00234330	37	23	1
OS01G0161000	AMTR_s00029p00236200	37	24	1
OS01G0161300	AMTR_s00029p00234330	37	35	1
OS01G0161300	AMTR_s00029p00236200	37	36	1
OS01G0162300	AMTR_s00071p00105770	26	25	1
OS01G0162800	AMTR_s00029p00234330	35	33	1
OS01G0162800	AMTR_s00029p00236200	35	34	1
OS01G0163000	AMTR_s00029p00234330	38	34	1
OS01G0163000	AMTR_s00029p00236200	38	35	1
OS01G0164075	AMTR_s00153p00017940	37	37	1
OS01G0164300	AMTR_s00153p00017940	36	40	1
OS01G0164400	AMTR_s00153p00073330	59	25	1
OS01G0164500	AMTR_s00002p00261540	56	57	1
OS01G0164500	AMTR_s00068p00202400	35	50	1
OS01G0164600	AMTR_s00153p00091840	52	48	1
OS01G0164700	AMTR_s00001p00176140	36	12	0
OS01G0164800	AMTR_s00023p00030650	38	7	0
OS01G0164900	AMTR_s00023p00030650	0	0	0
OS01G0165000	AMTR_s00023p00044590	34	25	0
OS01G0165100	AMTR_s00023p00065960	44	42	1
OS01G0165200	AMTR_s00062p00149140	6	13	1
OS01G0165600	AMTR_s00010p00060450	25	22	1
OS01G0165600	AMTR_s00023p00096640	26	26	1
OS01G0165800	AMTR_s00013p00186300	8	6	1
OS01G0166100	AMTR_s00023p00110360	58	58	1
OS01G0166300	AMTR_s00023p00110360	53	36	1
OS01G0166400	AMTR_s00044p00153590	39	40	1
OS01G0166500	AMTR_s00007p00226200	21	29	1
OS01G0166700	AMTR_s00007p00225690	36	38	1
OS01G0166800	AMTR_s00007p00218580	52	53	1
OS01G0167500	AMTR_s00077p00047910	80	81	1
OS01G0167750	AMTR_s00038p00179320	42	37	1
OS01G0167900	AMTR_s00077p00125570	25	22	1
OS01G0168100	AMTR_s00077p00125570	31	37	1
OS01G0168200	AMTR_s00077p00139260	60	55	1
OS01G0168300	AMTR_s00077p00157770	55	68	1
OS01G0168500	AMTR_s00077p00166590	71	70	1
OS01G0168600	AMTR_s00119p00025950	64	36	1
OS01G0168800	AMTR_s00024p00233790	27	38	0
OS01G0169500	AMTR_s00082p00059940	39	38	1
OS01G0169800	AMTR_s00011p00049200	54	25	1
OS01G0169900	AMTR_s00082p00053170	40	33	1
OS01G0170000	AMTR_s00085p00038660	62	27	1
OS01G0170100	AMTR_s00085p00040790	46	27	1
OS01G0170300	AMTR_s00032p00237810	52	52	1
OS01G0170500	AMTR_s00085p00068720	22	69	1
OS01G0170500	AMTR_s00085p00068770	34	59	1
OS01G0170800	AMTR_s00023p00121520	14	37	1
OS01G0170800	AMTR_s00023p00136270	13	37	1
OS01G0170800	AMTR_s00048p00164960	39	27	1
OS01G0171000	AMTR_s00085p00173590	72	72	1
OS01G0171800	AMTR_s00096p00046760	35	40	1
OS01G0172000	AMTR_s00045p00202440	50	17	0
OS01G0172100	AMTR_s00096p00070540	54	52	0
OS01G0172200	AMTR_s00096p00079870	45	45	1
OS01G0172300	AMTR_s00078p00048610	39	40	0
OS01G0172400	AMTR_s00078p00051300	82	82	1
OS01G0172600	AMTR_s00010p00198480	66	45	0
OS01G0172600	AMTR_s00010p00198860	66	45	0
OS01G0172800	AMTR_s00023p00176320	28	26	1
OS01G0172900	AMTR_s00104p00016370	21	20	1
OS01G0172900	AMTR_s00104p00026540	32	20	1
OS01G0173000	AMTR_s00104p00071110	44	45	1
OS01G0173100	AMTR_s00104p00132470	64	74	1
OS01G0173600	AMTR_s00081p00168190	46	57	1
OS01G0173900	AMTR_s00090p00174380	59	59	1
OS01G0173900	AMTR_s00090p00176020	58	59	1
OS01G0174000	AMTR_s00081p00174060	23	60	1
OS01G0174300	AMTR_s00081p00094290	69	64	1
OS01G0174500	AMTR_s00081p00029310	42	40	1
OS01G0174700	AMTR_s00081p00063880	55	58	1
OS01G0174900	AMTR_s00051p00012470	22	37	1
OS01G0175000	AMTR_s00042p00153000	76	76	1
OS01G0175100	AMTR_s00042p00213860	32	35	1
OS01G0175600	AMTR_s00052p00085150	67	67	0
OS01G0175700	AMTR_s00052p00085150	66	66	0
OS01G0176300	AMTR_s00061p00035580	31	33	1
OS01G0176400	AMTR_s00122p00139490	2	2	1
OS01G0176400	AMTR_s00122p00139890	36	33	1
OS01G0176500	AMTR_s00122p00134120	40	39	1
OS01G0176700	AMTR_s00122p00127250	24	30	1
OS01G0176800	AMTR_s00122p00129500	43	45	0
OS01G0176900	AMTR_s00122p00129760	22	32	1
OS01G0177100	AMTR_s00122p00094620	62	63	1
OS01G0177200	AMTR_s00072p00067600	73	67	1
OS01G0177400	AMTR_s00122p00090120	39	39	1
OS01G0177900	AMTR_s00122p00085720	73	19	1
OS01G0178000	AMTR_s00118p00074890	72	69	1
OS01G0178100	AMTR_s00042p00025510	47	44	1
OS01G0178200	AMTR_s00122p00036770	51	60	1
OS01G0178400	AMTR_s00031p00154390	26	33	1
OS01G0178400	AMTR_s00042p00019010	60	25	1
OS01G0178500	AMTR_s00122p00021940	39	31	1
OS01G0178700	AMTR_s00142p00106560	50	47	1
OS01G0179200	AMTR_s00173p00012350	72	70	1
OS01G0179300	AMTR_s00142p00083960	29	46	1
OS01G0179400	AMTR_s00142p00090900	66	31	0
OS01G0179500	AMTR_s00142p00066900	30	18	1
OS01G0179600	AMTR_s00032p00176750	34	37	1
OS01G0179700	AMTR_s00111p00145590	91	92	1
OS01G0179800	AMTR_s00078p00195500	55	55	1
OS01G0180000	AMTR_s00025p00231840	19	48	1
OS01G0180000	AMTR_s00025p00231860	30	26	1
OS01G0180300	AMTR_s00142p00033030	31	33	0
OS01G0180400	AMTR_s00142p00035060	33	15	1
OS01G0180600	AMTR_s00078p00191830	43	39	1
OS01G0180700	AMTR_s00078p00190280	36	35	1
OS01G0180800	AMTR_s00078p00190750	72	72	1
OS01G0181000	AMTR_s00078p00186900	25	26	1
OS01G0182200	AMTR_s00045p00046870	57	58	1
OS01G0182300	AMTR_s00078p00182690	20	34	1
OS01G0182300	AMTR_s00078p00182910	23	33	1
OS01G0182300	AMTR_s00078p00184130	25	35	1
OS01G0182300	AMTR_s00078p00184240	21	36	1
OS01G0182300	AMTR_s00078p00184980	25	36	1
OS01G0182300	AMTR_s00078p00185060	26	38	1
OS01G0182400	AMTR_s00175p00030950	16	11	1
OS01G0182500	AMTR_s00004p00061310	27	26	1
OS01G0182500	AMTR_s00078p00174210	17	20	1
OS01G0182600	AMTR_s00078p00173230	71	72	1
OS01G0182700	AMTR_s00078p00171140	38	50	1
OS01G0182832	AMTR_s00078p00166420	11	2	0
OS01G0182900	AMTR_s00078p00166420	67	6	0
OS01G0183000	AMTR_s00104p00089460	57	46	1
OS01G0183100	AMTR_s00024p00216120	59	61	1
OS01G0183300	AMTR_s00078p00163550	48	46	1
OS01G0183400	AMTR_s00078p00156890	21	38	1
OS01G0183500	AMTR_s00004p00043150	0	0	1
OS01G0183600	AMTR_s00004p00043150	7	13	1
OS01G0184100	AMTR_s00146p00031850	60	65	1
OS01G0184100	AMTR_s00146p00032860	61	68	1
OS01G0184100	AMTR_s00146p00033340	57	63	1
OS01G0184100	AMTR_s00146p00034270	60	67	1
OS01G0184100	AMTR_s00146p00035150	57	62	1
OS01G0184500	AMTR_s00078p00161460	55	59	0
OS01G0184800	AMTR_s00071p00062380	70	69	1
OS01G0184900	AMTR_s00078p00107740	68	68	1
OS01G0185100	AMTR_s00078p00111420	33	30	1
OS01G0185200	AMTR_s00006p00246940	73	74	1
OS01G0185400	AMTR_s00003p00191660	11	32	1
OS01G0185400	AMTR_s00057p00209380	36	31	1
OS01G0185500	AMTR_s00078p00120410	50	51	1
OS01G0185900	AMTR_s00078p00123870	39	33	1
OS01G0186200	AMTR_s00078p00078210	51	51	1
OS01G0186700	AMTR_s00146p00092580	72	77	1
OS01G0186900	AMTR_s00146p00085750	49	56	1
OS01G0187400	AMTR_s00136p00081990	69	68	1
OS01G0187900	AMTR_s00074p00097250	32	41	0
OS01G0188100	AMTR_s00056p00120420	66	68	1
OS01G0188100	AMTR_s00056p00122020	69	71	1
OS01G0188200	AMTR_s00142p00022670	28	7	1
OS01G0188400	AMTR_s00056p00119870	74	72	0
OS01G0190000	AMTR_s00056p00140230	62	54	1
OS01G0190300	AMTR_s00056p00143320	38	25	0
OS01G0190500	AMTR_s00056p00168250	36	36	0
OS01G0191000	AMTR_s00040p00174440	61	65	1
OS01G0191100	AMTR_s00071p00177850	67	64	1
OS01G0191150	AMTR_s00056p00159630	52	23	1
OS01G0191150	AMTR_s00056p00160320	48	21	1
OS01G0191300	AMTR_s02859p00001300	36	55	1
OS01G0191500	AMTR_s00056p00180950	64	65	1
OS01G0191700	AMTR_s00056p00183670	69	77	1
OS01G0191700	AMTR_s01089p00001250	40	75	1
OS01G0191800	AMTR_s00056p00185680	83	83	1
OS01G0192000	AMTR_s00056p00207550	52	45	1
OS01G0192600	AMTR_s00036p00240130	71	67	1
OS01G0192900	AMTR_s00036p00235090	46	64	1
OS01G0193500	AMTR_s00036p00220550	31	31	1
OS01G0193600	AMTR_s00036p00192600	62	63	1
OS01G0193900	AMTR_s00101p00125820	30	20	1
OS01G0194200	AMTR_s00109p00027450	49	49	1
OS01G0194300	AMTR_s00036p00114630	52	53	1
OS01G0194600	AMTR_s00036p00111760	42	43	1
OS01G0195000	AMTR_s00007p00061550	40	35	0
OS01G0195200	AMTR_s00036p00055660	66	21	1
OS01G0195400	AMTR_s00136p00047510	31	37	1
OS01G0195500	AMTR_s00025p00026830	68	42	1
OS01G0195801	AMTR_s00064p00208400	27	16	1
OS01G0196300	AMTR_s00064p00208400	22	20	1
OS01G0196500	AMTR_s00002p00265420	45	45	1
OS01G0196500	AMTR_s00052p00041770	47	52	1
OS01G0196600	AMTR_s00136p00050090	59	59	1
OS01G0197100	AMTR_s00064p00042840	55	58	1
OS01G0197200	AMTR_s00064p00050700	84	83	1
OS01G0197400	AMTR_s00136p00104320	30	21	1
OS01G0197450	AMTR_s00001p00116120	18	28	1
OS01G0197450	AMTR_s00039p00144170	19	26	1
OS01G0197450	AMTR_s00095p00038100	22	30	1
OS01G0197500	AMTR_s00136p00077480	45	12	1
OS01G0197900	AMTR_s00056p00110240	48	19	1
OS01G0198000	AMTR_s00056p00110240	43	26	1
OS01G0198200	AMTR_s00056p00104010	77	69	1
OS01G0198500	AMTR_s00056p00099370	24	27	1
OS01G0198900	AMTR_s00056p00095990	21	26	1
OS01G0199300	AMTR_s00056p00095990	23	26	1
OS01G0199400	AMTR_s00056p00093120	55	61	1
OS01G0199700	AMTR_s00056p00092670	28	29	0
OS01G0199900	AMTR_s00177p00010960	62	62	1
OS01G0200000	AMTR_s00111p00040160	60	67	1
OS01G0200200	AMTR_s00056p00092280	31	31	1
OS01G0200300	AMTR_s00056p00085520	57	29	1
OS01G0200400	AMTR_s00056p00082470	52	53	1
OS01G0200500	AMTR_s00056p00074670	45	44	1
OS01G0200600	AMTR_s00056p00064760	34	26	1
OS01G0201100	AMTR_s00068p00173020	50	55	1
OS01G0201250	AMTR_s00019p00075350	32	35	1
OS01G0201400	AMTR_s00045p00202280	32	39	1
OS01G0201600	AMTR_s00068p00158450	25	28	1
OS01G0201700	AMTR_s00021p00254030	55	38	1
OS01G0202500	AMTR_s00021p00250410	34	41	1
OS01G0202700	AMTR_s00066p00045830	55	55	1
OS01G0202700	AMTR_s00066p00047030	21	52	1
OS01G0203000	AMTR_s00170p00061300	50	63	1
OS01G0203300	AMTR_s00170p00058310	35	21	1
