Gene stable ID	Oryza sativa Indica gene stable ID	% identity	Oryza sativa Indica % identity	Orthology confidence [0 low, 1 high]
OS01G0116600	BGIOSGA002509	85	74	1
OS01G0117000	BGIOSGA023803	41	89	0
OS01G0117266	BGIOSGA002652	52	20	0
OS01G0117266	BGIOSGA026277	47	23	0
OS01G0117266	BGIOSGA026278	47	19	0
OS01G0117400	BGIOSGA002523	31	56	0
OS01G0117900	BGIOSGA002653	99	99	0
OS01G0118100	BGIOSGA002654	100	49	0
OS01G0118300	BGIOSGA002655	99	41	0
OS01G0118400	BGIOSGA002507	95	99	0
OS01G0118600	BGIOSGA002506	90	94	1
OS01G0118700	BGIOSGA002505	100	100	1
OS01G0119000	BGIOSGA002504	91	100	1
OS01G0119100	BGIOSGA002503	100	86	1
OS01G0119500	BGIOSGA038091	99	99	0
OS01G0120300	BGIOSGA002499	98	82	1
OS01G0120400	BGIOSGA002498	100	100	1
OS01G0120500	BGIOSGA002497	99	83	1
OS01G0120600	BGIOSGA002661	76	79	0
OS01G0120700	BGIOSGA002491	99	99	1
OS01G0120700	BGIOSGA002496	99	99	1
OS01G0120800	BGIOSGA002495	100	100	1
OS01G0121000	BGIOSGA002662	100	100	1
OS01G0121100	BGIOSGA002663	100	100	1
OS01G0121200	BGIOSGA002494	100	100	1
OS01G0121300	BGIOSGA002493	100	100	1
OS01G0121500	BGIOSGA002492	84	64	1
OS01G0121600	BGIOSGA002490	90	92	0
OS01G0121700	BGIOSGA002489	100	100	1
OS01G0121800	BGIOSGA002664	100	100	1
OS01G0121950	BGIOSGA002665	73	43	0
OS01G0122200	BGIOSGA002667	100	100	1
OS01G0122701	BGIOSGA002668	55	21	0
OS01G0123700	BGIOSGA002485	69	79	1
OS01G0123800	BGIOSGA002674	100	100	1
OS01G0123900	BGIOSGA002484	97	100	1
OS01G0124000	BGIOSGA002483	100	100	1
OS01G0124100	BGIOSGA002482	98	100	1
OS01G0124200	BGIOSGA002481	96	98	0
OS01G0124401	BGIOSGA002480	98	100	1
OS01G0124600	BGIOSGA002478	100	100	1
OS01G0124650	BGIOSGA002477	98	100	1
OS01G0124900	BGIOSGA002676	95	74	0
OS01G0125000	BGIOSGA002677	42	92	0
OS01G0125000	BGIOSGA002679	78	63	0
OS01G0125500	BGIOSGA002680	88	86	0
OS01G0125550	BGIOSGA002476	100	100	1
OS01G0125600	BGIOSGA002681	45	88	1
OS01G0125600	BGIOSGA002682	37	99	1
OS01G0125700	BGIOSGA002475	100	100	0
OS01G0125800	BGIOSGA002683	100	100	1
OS01G0125900	BGIOSGA002684	97	98	1
OS01G0126100	BGIOSGA002685	100	100	1
OS01G0126200	BGIOSGA002688	88	90	1
OS01G0126600	BGIOSGA002689	100	72	1
OS01G0126900	BGIOSGA002690	92	97	0
OS01G0127000	BGIOSGA002473	100	70	1
OS01G0127200	BGIOSGA002472	100	100	1
OS01G0127300	BGIOSGA002471	58	99	1
OS01G0127400	BGIOSGA002691	87	68	0
OS01G0127500	BGIOSGA002692	100	100	1
OS01G0127600	BGIOSGA002693	100	100	1
OS01G0127900	BGIOSGA002696	62	99	1
OS01G0128000	BGIOSGA002469	99	99	1
OS01G0128100	BGIOSGA002468	89	95	0
OS01G0128200	BGIOSGA002698	95	99	1
OS01G0128300	BGIOSGA002467	77	98	0
OS01G0128400	BGIOSGA002466	100	100	1
OS01G0128700	BGIOSGA002465	94	48	1
OS01G0128800	BGIOSGA002700	91	26	0
OS01G0129200	BGIOSGA002701	32	92	1
OS01G0129200	BGIOSGA002702	31	98	1
OS01G0129500	BGIOSGA002463	99	100	1
OS01G0129600	BGIOSGA002703	69	76	0
OS01G0129800	BGIOSGA002462	100	100	1
OS01G0130000	BGIOSGA002461	100	100	1
OS01G0130200	BGIOSGA002459	100	97	1
OS01G0130400	BGIOSGA002704	100	100	1
OS01G0130900	BGIOSGA002458	98	98	1
OS01G0131300	BGIOSGA002706	99	100	0
OS01G0131600	BGIOSGA002708	100	91	1
OS01G0131800	BGIOSGA002709	100	100	1
OS01G0131900	BGIOSGA002456	100	100	1
OS01G0132000	BGIOSGA002455	100	100	1
OS01G0132200	BGIOSGA002454	100	100	1
OS01G0132400	BGIOSGA002453	89	99	1
OS01G0132500	BGIOSGA002711	87	66	1
OS01G0132700	BGIOSGA002452	99	99	1
OS01G0132766	BGIOSGA002451	99	99	1
OS01G0132800	BGIOSGA002450	100	100	1
OS01G0133100	BGIOSGA002712	93	70	1
OS01G0133200	BGIOSGA002449	100	100	0
OS01G0133400	BGIOSGA002713	90	100	1
OS01G0133500	BGIOSGA002714	100	100	1
OS01G0133600	BGIOSGA002715	98	100	1
OS01G0133700	BGIOSGA002716	99	53	1
OS01G0133900	BGIOSGA012561	41	49	0
OS01G0134500	BGIOSGA002719	100	100	1
OS01G0134700	BGIOSGA002720	100	100	1
OS01G0134800	BGIOSGA002448	100	65	1
OS01G0134900	BGIOSGA002447	100	100	1
OS01G0135700	BGIOSGA002446	100	100	1
OS01G0135800	BGIOSGA002721	100	100	1
OS01G0135900	BGIOSGA002722	99	99	1
OS01G0136000	BGIOSGA002445	99	99	1
OS01G0136100	BGIOSGA002444	100	100	0
OS01G0136200	BGIOSGA002723	100	100	0
OS01G0136300	BGIOSGA002442	100	100	1
OS01G0136400	BGIOSGA002441	67	41	0
OS01G0136450	BGIOSGA002725	35	37	0
OS01G0136450	BGIOSGA002728	46	46	0
OS01G0136500	BGIOSGA002739	78	81	0
OS01G0136700	BGIOSGA002438	77	44	1
OS01G0136800	BGIOSGA002437	98	98	1
OS01G0136900	BGIOSGA002724	98	77	1
OS01G0137200	BGIOSGA002725	32	37	0
OS01G0137200	BGIOSGA002728	43	48	0
OS01G0137282	BGIOSGA002726	89	19	0
OS01G0137282	BGIOSGA002730	63	52	0
OS01G0137700	BGIOSGA002438	75	40	1
OS01G0138300	BGIOSGA002732	98	98	1
OS01G0138400	BGIOSGA002733	94	87	1
OS01G0138500	BGIOSGA002734	100	100	1
OS01G0138600	BGIOSGA002433	100	62	1
OS01G0138800	BGIOSGA002735	98	99	0
OS01G0138900	BGIOSGA002432	100	100	1
OS01G0139000	BGIOSGA002736	99	99	0
OS01G0139200	BGIOSGA002431	100	100	1
OS01G0139600	BGIOSGA002737	97	93	1
OS01G0139700	BGIOSGA002430	99	99	0
OS01G0139900	BGIOSGA002429	99	99	0
OS01G0140100	BGIOSGA002744	98	99	0
OS01G0140400	BGIOSGA002745	99	99	0
OS01G0140500	BGIOSGA002743	59	48	1
OS01G0140700	BGIOSGA002747	99	99	1
OS01G0141000	BGIOSGA002753	95	99	1
OS01G0141100	BGIOSGA002427	100	70	0
OS01G0141300	BGIOSGA002426	94	99	1
OS01G0141600	BGIOSGA002752	63	53	0
OS01G0141700	BGIOSGA002424	99	98	0
OS01G0141900	BGIOSGA002754	94	95	0
OS01G0142100	BGIOSGA002422	99	99	0
OS01G0142200	BGIOSGA002755	99	99	1
OS01G0142300	BGIOSGA002756	100	100	1
OS01G0142500	BGIOSGA002421	99	99	1
OS01G0143100	BGIOSGA002419	100	100	1
OS01G0143300	BGIOSGA002418	100	100	1
OS01G0143400	BGIOSGA002417	78	83	1
OS01G0143700	BGIOSGA002415	99	99	1
OS01G0143800	BGIOSGA002414	64	63	0
OS01G0143900	BGIOSGA002413	100	100	1
OS01G0144000	BGIOSGA002412	77	100	1
OS01G0144100	BGIOSGA002411	96	99	1
OS01G0144200	BGIOSGA002761	89	89	0
OS01G0144340	BGIOSGA002410	94	65	1
OS01G0144500	BGIOSGA002409	92	80	1
OS01G0144600	BGIOSGA002762	98	98	1
OS01G0144700	BGIOSGA002763	100	72	1
OS01G0144800	BGIOSGA002764	100	89	1
OS01G0145000	BGIOSGA002765	100	100	1
OS01G0145200	BGIOSGA002769	98	98	1
OS01G0146200	BGIOSGA002767	92	92	0
OS01G0146600	BGIOSGA002407	90	55	1
OS01G0147001	BGIOSGA002772	30	98	1
OS01G0147200	BGIOSGA002774	100	99	1
OS01G0147300	BGIOSGA002775	100	47	0
OS01G0147400	BGIOSGA002402	69	65	0
OS01G0147400	BGIOSGA002404	90	52	0
OS01G0147600	BGIOSGA002401	88	63	1
OS01G0147700	BGIOSGA002399	99	99	0
OS01G0147800	BGIOSGA002398	96	87	1
OS01G0147900	BGIOSGA002397	100	100	1
OS01G0148000	BGIOSGA002777	100	41	1
OS01G0148050	BGIOSGA002777	96	47	1
OS01G0148100	BGIOSGA002396	90	88	0
OS01G0148400	BGIOSGA002779	62	69	0
OS01G0148500	BGIOSGA002393	99	99	1
OS01G0148700	BGIOSGA002780	88	99	0
OS01G0149350	BGIOSGA002392	84	65	1
OS01G0149500	BGIOSGA002391	99	59	1
OS01G0149800	BGIOSGA002389	100	100	1
OS01G0149900	BGIOSGA002388	100	100	0
OS01G0150000	BGIOSGA002387	100	100	1
OS01G0150100	BGIOSGA002786	99	43	0
OS01G0150200	BGIOSGA002787	100	100	1
OS01G0150400	BGIOSGA002788	93	99	1
OS01G0150800	BGIOSGA002790	97	97	1
OS01G0151100	BGIOSGA002794	97	99	0
OS01G0151200	BGIOSGA002795	99	99	1
OS01G0151400	BGIOSGA002796	65	24	1
OS01G0151500	BGIOSGA002797	80	88	1
OS01G0151600	BGIOSGA002799	100	100	1
OS01G0151700	BGIOSGA002792	73	56	1
OS01G0151900	BGIOSGA002801	97	96	0
OS01G0152000	BGIOSGA002804	60	90	0
OS01G0152100	BGIOSGA002383	77	92	0
OS01G0152300	BGIOSGA002785	99	99	1
OS01G0152600	BGIOSGA002390	68	71	0
OS01G0152800	BGIOSGA002807	99	99	1
OS01G0152900	BGIOSGA002379	100	100	1
OS01G0152950	BGIOSGA002378	85	85	1
OS01G0153000	BGIOSGA002808	93	99	1
OS01G0153150	BGIOSGA002809	87	46	1
OS01G0153250	BGIOSGA002376	95	86	1
OS01G0153300	BGIOSGA002810	100	100	0
OS01G0153400	BGIOSGA002811	100	53	0
OS01G0153500	BGIOSGA002812	81	79	0
OS01G0153600	BGIOSGA002375	98	98	1
OS01G0153700	BGIOSGA002374	76	70	1
OS01G0153800	BGIOSGA002813	87	72	1
OS01G0153900	BGIOSGA002373	90	91	1
OS01G0153950	BGIOSGA002372	99	99	1
OS01G0154100	BGIOSGA002371	87	91	1
OS01G0154200	BGIOSGA002370	100	100	1
OS01G0154500	BGIOSGA002815	99	99	1
OS01G0154600	BGIOSGA002816	100	100	1
OS01G0155000	BGIOSGA002368	95	94	0
OS01G0155200	BGIOSGA002367	70	100	1
OS01G0155300	BGIOSGA002818	99	99	1
OS01G0155400	BGIOSGA002366	92	63	1
OS01G0155500	BGIOSGA002819	93	97	1
OS01G0155600	BGIOSGA002365	100	100	1
OS01G0155800	BGIOSGA002820	98	97	1
OS01G0156000	BGIOSGA002364	86	96	0
OS01G0156300	BGIOSGA002363	100	100	1
OS01G0157200	BGIOSGA002824	100	100	1
OS01G0157400	BGIOSGA002825	100	100	1
OS01G0157500	BGIOSGA002358	83	99	1
OS01G0157600	BGIOSGA002826	96	99	1
OS01G0157700	BGIOSGA002827	85	38	1
OS01G0157800	BGIOSGA002357	66	97	1
OS01G0157900	BGIOSGA002828	99	98	1
OS01G0158000	BGIOSGA002829	99	99	1
OS01G0158100	BGIOSGA002356	93	97	1
OS01G0158200	BGIOSGA002830	98	97	0
OS01G0158400	BGIOSGA002354	84	92	0
OS01G0158600	BGIOSGA002317	62	62	0
OS01G0158800	BGIOSGA002352	53	62	1
OS01G0158900	BGIOSGA002351	97	97	0
OS01G0159000	BGIOSGA002350	93	62	0
OS01G0159200	BGIOSGA002349	99	70	1
OS01G0159300	BGIOSGA002348	96	99	1
OS01G0159400	BGIOSGA002347	100	100	1
OS01G0159600	BGIOSGA002346	100	100	1
OS01G0160100	BGIOSGA002345	99	99	1
OS01G0160700	BGIOSGA002834	78	95	0
OS01G0161000	BGIOSGA002835	86	57	0
OS01G0161300	BGIOSGA002836	97	92	1
OS01G0162200	BGIOSGA002838	58	66	1
OS01G0162400	BGIOSGA002839	67	68	1
OS01G0162500	BGIOSGA036571	42	33	0
OS01G0163000	BGIOSGA002841	98	95	1
OS01G0164075	BGIOSGA002333	99	96	1
OS01G0164300	BGIOSGA002330	96	95	1
OS01G0164400	BGIOSGA002844	93	40	0
OS01G0164500	BGIOSGA002329	99	99	1
OS01G0164600	BGIOSGA002328	99	99	0
OS01G0164700	BGIOSGA002847	4	4	0
OS01G0164800	BGIOSGA002327	98	17	0
OS01G0164900	BGIOSGA002327	86	28	0
OS01G0165000	BGIOSGA002846	95	91	1
OS01G0165100	BGIOSGA002326	100	100	1
OS01G0165200	BGIOSGA002325	98	98	0
OS01G0165600	BGIOSGA002848	100	100	1
OS01G0165800	BGIOSGA002322	45	24	0
OS01G0166100	BGIOSGA002850	99	99	0
OS01G0166300	BGIOSGA002851	47	24	0
OS01G0166500	BGIOSGA002320	54	84	1
OS01G0166700	BGIOSGA002852	100	86	0
OS01G0166800	BGIOSGA002318	98	90	1
OS01G0167400	BGIOSGA002853	99	99	1
OS01G0167500	BGIOSGA002316	100	100	1
OS01G0167600	BGIOSGA002854	44	98	1
OS01G0167700	BGIOSGA002315	94	91	1
OS01G0167750	BGIOSGA002314	100	100	1
OS01G0167900	BGIOSGA002312	100	100	1
OS01G0168100	BGIOSGA002311	99	99	1
OS01G0168200	BGIOSGA002310	89	70	1
OS01G0168300	BGIOSGA002309	62	99	0
OS01G0168400	BGIOSGA002855	99	99	0
OS01G0168500	BGIOSGA002856	100	100	1
OS01G0168600	BGIOSGA002857	98	59	1
OS01G0168800	BGIOSGA002308	100	100	1
OS01G0169400	BGIOSGA002306	89	99	1
OS01G0169500	BGIOSGA002305	100	100	1
OS01G0169800	BGIOSGA002304	99	42	1
OS01G0169900	BGIOSGA002303	100	100	1
OS01G0170000	BGIOSGA002302	100	43	1
OS01G0170100	BGIOSGA002860	100	59	1
OS01G0170300	BGIOSGA002861	100	100	1
OS01G0170500	BGIOSGA002301	96	100	1
OS01G0170600	BGIOSGA002862	10	6	0
OS01G0170800	BGIOSGA002863	97	33	1
OS01G0170900	BGIOSGA002300	100	100	1
OS01G0171000	BGIOSGA002299	100	100	0
OS01G0171100	BGIOSGA002298	77	32	1
OS01G0171800	BGIOSGA002295	99	100	1
OS01G0172000	BGIOSGA002294	94	31	0
OS01G0172100	BGIOSGA002865	100	100	1
OS01G0172200	BGIOSGA002293	93	94	1
OS01G0172300	BGIOSGA002292	97	98	1
OS01G0172400	BGIOSGA002291	100	100	1
OS01G0172600	BGIOSGA002866	97	69	1
OS01G0172800	BGIOSGA002867	92	92	0
OS01G0172900	BGIOSGA002868	59	63	0
OS01G0173000	BGIOSGA002290	87	82	0
OS01G0173100	BGIOSGA002289	80	98	1
OS01G0173600	BGIOSGA002869	97	96	1
OS01G0173900	BGIOSGA002872	87	90	0
OS01G0174000	BGIOSGA002286	40	71	1
OS01G0174100	BGIOSGA002285	95	95	1
OS01G0174300	BGIOSGA002288	75	61	1
OS01G0174500	BGIOSGA002283	85	47	0
OS01G0174600	BGIOSGA002287	100	100	1
OS01G0174700	BGIOSGA002282	98	98	0
OS01G0174900	BGIOSGA002873	63	38	0
OS01G0174900	BGIOSGA003689	57	48	0
OS01G0175000	BGIOSGA002281	100	75	0
OS01G0175100	BGIOSGA002280	38	90	0
OS01G0175500	BGIOSGA002874	94	95	0
OS01G0175600	BGIOSGA002278	97	90	0
OS01G0175700	BGIOSGA002276	97	99	1
OS01G0175850	BGIOSGA002275	90	51	0
OS01G0176000	BGIOSGA002875	96	96	0
OS01G0176100	BGIOSGA002876	100	100	1
OS01G0176200	BGIOSGA002877	95	91	1
OS01G0176300	BGIOSGA002274	30	47	0
OS01G0176400	BGIOSGA002878	98	39	0
OS01G0176500	BGIOSGA002272	27	84	1
OS01G0176500	BGIOSGA002273	54	100	1
OS01G0176700	BGIOSGA002879	83	91	1
OS01G0176800	BGIOSGA002880	93	93	0
OS01G0176900	BGIOSGA002271	31	54	0
OS01G0177100	BGIOSGA002881	95	100	0
OS01G0177200	BGIOSGA002882	99	99	1
OS01G0177400	BGIOSGA002270	100	99	1
OS01G0177900	BGIOSGA002266	100	26	1
OS01G0178000	BGIOSGA002265	100	100	1
OS01G0178100	BGIOSGA002883	97	98	1
OS01G0178200	BGIOSGA002884	100	100	1
OS01G0178300	BGIOSGA002264	62	100	1
OS01G0178400	BGIOSGA002263	100	52	1
OS01G0178500	BGIOSGA002262	100	100	1
OS01G0178600	BGIOSGA023935	65	48	1
OS01G0178700	BGIOSGA002886	95	100	1
OS01G0179000	BGIOSGA002260	99	99	1
OS01G0179200	BGIOSGA002888	100	100	1
OS01G0179300	BGIOSGA002889	91	90	1
OS01G0179400	BGIOSGA002890	100	49	1
OS01G0179500	BGIOSGA002891	100	100	1
OS01G0179600	BGIOSGA002259	99	99	1
OS01G0179700	BGIOSGA002258	100	100	0
OS01G0179800	BGIOSGA002257	100	89	1
OS01G0180000	BGIOSGA002256	100	100	1
OS01G0180300	BGIOSGA002255	100	94	1
OS01G0180600	BGIOSGA002252	99	100	1
OS01G0180700	BGIOSGA002251	99	99	1
OS01G0180800	BGIOSGA002892	96	100	1
OS01G0181000	BGIOSGA002250	97	97	0
OS01G0182100	BGIOSGA016925	100	100	1
OS01G0182200	BGIOSGA014542	87	99	1
OS01G0182300	BGIOSGA002248	97	99	1
OS01G0182400	BGIOSGA002247	89	99	1
OS01G0182500	BGIOSGA002896	99	99	1
OS01G0182600	BGIOSGA002246	100	98	1
OS01G0182700	BGIOSGA002245	100	100	1
OS01G0182832	BGIOSGA002897	10	2	0
OS01G0182900	BGIOSGA002897	100	11	0
OS01G0183000	BGIOSGA002898	100	99	1
OS01G0183100	BGIOSGA002899	100	100	1
OS01G0183300	BGIOSGA002244	100	100	1
OS01G0183400	BGIOSGA002900	55	87	0
OS01G0183500	BGIOSGA002901	97	99	1
OS01G0183600	BGIOSGA002902	99	99	1
OS01G0183800	BGIOSGA002903	96	100	0
OS01G0183850	BGIOSGA002904	99	99	1
OS01G0184000	BGIOSGA002906	98	98	1
OS01G0184100	BGIOSGA002242	100	100	0
OS01G0184500	BGIOSGA002241	92	93	0
OS01G0184800	BGIOSGA002239	98	98	0
OS01G0184900	BGIOSGA002908	99	99	1
OS01G0185000	BGIOSGA017597	97	85	1
OS01G0185100	BGIOSGA002909	78	54	1
OS01G0185200	BGIOSGA002238	99	99	1
OS01G0185300	BGIOSGA002910	100	100	1
OS01G0185400	BGIOSGA002911	97	80	1
OS01G0185500	BGIOSGA002912	87	99	0
OS01G0185900	BGIOSGA002913	99	99	1
OS01G0186000	BGIOSGA002237	97	87	1
OS01G0186200	BGIOSGA002236	100	100	1
OS01G0186400	BGIOSGA002914	99	99	1
OS01G0186600	BGIOSGA002917	100	100	1
OS01G0186700	BGIOSGA002235	100	80	1
OS01G0186900	BGIOSGA002918	58	88	0
OS01G0187000	BGIOSGA002919	94	67	0
OS01G0187300	BGIOSGA002921	100	100	1
OS01G0187400	BGIOSGA002922	82	100	1
OS01G0187600	BGIOSGA002233	98	44	1
OS01G0187900	BGIOSGA002232	100	100	1
OS01G0188100	BGIOSGA002924	100	100	1
OS01G0188400	BGIOSGA002229	100	100	1
OS01G0188900	BGIOSGA002226	78	14	1
OS01G0189100	BGIOSGA002279	58	71	0
OS01G0189700	BGIOSGA002925	92	44	1
OS01G0189800	BGIOSGA002225	99	99	1
OS01G0190000	BGIOSGA002926	100	86	1
OS01G0190300	BGIOSGA002927	97	97	1
OS01G0190400	BGIOSGA002224	99	96	1
OS01G0190500	BGIOSGA002928	100	100	1
OS01G0191000	BGIOSGA002222	89	98	1
OS01G0191100	BGIOSGA002929	100	100	1
OS01G0191200	BGIOSGA002221	99	99	1
OS01G0191300	BGIOSGA002220	100	98	1
OS01G0191500	BGIOSGA002930	100	100	1
OS01G0191700	BGIOSGA002932	100	100	1
OS01G0191800	BGIOSGA002219	100	100	1
OS01G0191900	BGIOSGA002218	56	57	0
OS01G0192000	BGIOSGA002217	100	100	0
OS01G0192300	BGIOSGA002215	98	99	1
OS01G0192500	BGIOSGA002214	60	70	0
OS01G0192600	BGIOSGA002213	100	100	0
OS01G0192900	BGIOSGA002212	86	99	1
OS01G0193400	BGIOSGA002936	77	89	1
OS01G0193500	BGIOSGA002211	97	93	1
OS01G0193600	BGIOSGA002210	76	68	0
OS01G0193900	BGIOSGA002937	96	95	0
OS01G0194000	BGIOSGA002209	99	78	1
OS01G0194200	BGIOSGA002208	98	95	0
OS01G0194300	BGIOSGA002207	81	86	0
OS01G0194600	BGIOSGA002938	100	100	1
OS01G0195000	BGIOSGA002939	66	66	0
OS01G0195200	BGIOSGA002205	93	39	1
OS01G0195300	BGIOSGA002204	99	99	0
OS01G0195400	BGIOSGA002203	99	99	1
OS01G0195500	BGIOSGA002202	95	95	0
OS01G0195801	BGIOSGA002940	98	83	1
OS01G0196300	BGIOSGA002943	94	93	1
OS01G0196500	BGIOSGA002199	58	99	0
OS01G0196600	BGIOSGA002944	98	88	1
OS01G0197100	BGIOSGA002945	99	99	1
OS01G0197200	BGIOSGA002198	95	99	1
OS01G0197350	BGIOSGA002946	96	80	0
OS01G0197400	BGIOSGA002947	100	100	1
OS01G0197450	BGIOSGA002197	89	99	1
OS01G0197500	BGIOSGA002196	52	30	0
OS01G0197700	BGIOSGA002195	99	99	1
OS01G0197900	BGIOSGA002194	87	29	1
OS01G0198000	BGIOSGA002193	92	47	0
OS01G0198200	BGIOSGA002192	99	99	1
OS01G0198500	BGIOSGA002191	100	100	1
OS01G0198900	BGIOSGA002948	98	98	1
OS01G0199300	BGIOSGA002949	99	99	1
OS01G0199400	BGIOSGA002189	94	94	1
OS01G0199700	BGIOSGA002188	54	64	0
OS01G0199900	BGIOSGA002950	77	98	1
OS01G0200000	BGIOSGA002187	100	100	1
OS01G0200200	BGIOSGA002952	100	100	1
OS01G0200300	BGIOSGA002186	99	48	0
OS01G0200400	BGIOSGA002185	46	96	0
OS01G0200500	BGIOSGA002953	95	95	1
OS01G0200600	BGIOSGA002184	94	94	1
OS01G0200700	BGIOSGA002954	100	100	1
OS01G0201100	BGIOSGA002956	96	96	1
OS01G0201200	BGIOSGA002182	99	99	1
OS01G0201400	BGIOSGA002181	99	99	1
OS01G0201700	BGIOSGA002178	47	54	0
OS01G0201700	BGIOSGA002179	34	26	0
OS01G0201800	BGIOSGA002177	96	91	1
OS01G0201900	BGIOSGA002175	99	74	1
OS01G0202700	BGIOSGA002959	99	97	0
OS01G0202800	BGIOSGA002173	88	62	1
OS01G0203000	BGIOSGA002172	91	99	1
OS01G0203300	BGIOSGA002171	98	98	1
